,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/211641,Foo Fighters,Ain't It the Life,https://genius.com/Foo-fighters-aint-it-the-life-lyrics,http://api.genius.com/songs/211641,There Is Nothing Left to Lose,1999-11-02,"Dear Haley Can you save me from the borrowed cloud I'm on All you gotta do is try Pray you're just getting by Hey wait I thought you'd made it How'd your bottled crown fall off Tell me how'd you get so tired Faded down to the wire Try living a lie and kicking out the same old guise Wasting time, so very ordinary Wait until my bomb goes off See the actors run and hide Fake it all in stride One day we all can say we're gone And haunt the ground we're from Everything's so open wide Here within the divide Try living a lie and kicking out the same old guise Wasting time  Ain't it the life, got no crime, just sail on by",-0.9472,6,6,4,6,2,14,3,6,2,3
1,/songs/2114260,Foo Fighters,Ain't Talkin' 'Bout Love,https://genius.com/Foo-fighters-aint-talkin-bout-love-lyrics,http://api.genius.com/songs/2114260,None,2018-03-03,"I heard the news baby All about your disease Yeah, you may have all you want baby But I got somethin' you need, oh yeah Ain't talkin' 'bout love My love is rotten to the core Ain't talkin' 'bout love Just like I told you before, yeah before You know you're semi-good lookin' And on the streets again Oh yeah, you think you're really cookin' baby You better find yourself a friend, my friend Ain't talkin' 'bout love My love is rotten to the core Ain't gonna talk about love Just like I told you before, before Before, before, before Ain't talkin' 'bout love Babe, it's rotten to the core Ain't talkin' bout love Just like I told you before, before I been to the edge And there I stood and looked down You know I lost a lot of friends there baby I got no time to mess around So if you want it, got to bleed for it baby Yeah, got to, got to bleed, baby You got to, got to bleed, baby Hey, got to, got to bleed baby Ain't talkin' 'bout love My love is rotten to the core Ain't talkin' 'bout love Just like I told you before, before, before Ain't talkin' 'bout love Don't wanna talk about love Don't need to talk about love Ain't gonna talk about love No more, no more Hey, hey, hey Hey, hey, hey Hey, hey, hey ...",-0.9966,9,2,2,1,27,11,37,2,1,6
2,/songs/76168,Foo Fighters,All My Life,https://genius.com/Foo-fighters-all-my-life-lyrics,http://api.genius.com/songs/76168,One By One,2003-05-19," All my life I've been searching for something Something never comes, never leads to nothing Nothing satisfies, but I'm getting close Closer to the prize at the end of the rope All night long I dream of the day When it comes around, then it's taken away Leaves me with the feeling that I feel the most The feeling comes to life when I see your ghost   Come down don't you resist You have such a delicate wrist And if I give it a twist Something to hold when I lose my grip Will I find something in there? So give me just what I need Another reason to bleed One by one, hidden up my sleeve One by one, hidden up my sleeve   Hey, don't let it go to waste I love it, but I hate the taste Weight keep pinning me down Hey, don't let it go to waste I love it, but I hate the taste Weight keep pinning me down   Will I find a believer? Another one who believes? Another one to deceive? Over and over, down on my knees If I get any closer And if you open up wide And if you let me inside On and on, I've got nothing to hide On and on, I've got nothing to hide   Hey, don't let it go to waste I love it, but I hate the taste Weight keep pinning me down Hey, don't let it go to waste I love it, but I hate the taste Weight keep pinning me down   All my life I've been searching for something Something never comes, never leads to nothing Nothing satisfies, but I'm getting close Closer to the prize at the end of the rope All night long I dream of the day When it comes around, then it's taken away Leaves me with the feeling that I feel the most The feeling comes to life when I see your ghost And I'm done, done, on to the next one Done, done and I'm on to the next one Done, done and I'm on to the next one Done, done and I'm on to the next one Done, done and I'm on to the next one Done, done and I'm on to the next one Done, done and I'm on to the next one Done, I'm done and I'm on to the next...  Done, done, on to the next one Done, I'm done and I'm on to the next one Done, done, on to the next one Done, I'm done and I'm on to the next...   Hey, don't let it go to waste I love it, but I hate the taste Weight keep pinning me down Hey, don't let it go to waste I love it, but I hate the taste Weight keep pinning me down   Done, done, on to the next one Done, I'm done, and I'm on to the next",-0.7866,12,12,24,21,16,27,26,18,11,18
3,/songs/207847,Foo Fighters,Alone + Easy Target,https://genius.com/Foo-fighters-alone-easy-target-lyrics,http://api.genius.com/songs/207847,Foo Fighters,1995-07-04," They knew all along They're not dumb, they were so wrong She's not always fun Hate it now, call when I'm done Pieces fell in place Puzzles suck, laugh in my face Turn and swing the pace I'll give this, keep the good waist   Head is on I want out I'm alone and I'm an easy target Metronome I want out I'm alone and I'm an easy target   Crazy T.V. dreams might be true Not what it seems Food and cavities, chewing words Tear at the seams He don't feel so good, don't feel bad Not that he should I don't feel so good, don't feel bad Not that I should   Head is on I want out I'm alone and I'm an easy target Metronome I want out I'm alone and I'm an easy target  Head is on I want out I'm alone and I'm an easy target Metronome I want out I'm alone and I'm an easy target   Did you ever listen? Did you ever listen? Did you ever listen? Get out, get out, get out Get out, get out, get out Get out, get out, get out Get out, get out   Head is on I want out I'm alone and I'm an easy target Metronome I want out I'm alone and I'm an easy target  Head is on I want out I'm alone and I'm an easy target Metronome I want out I'm alone and I'm an easy target   Did you ever listen? Did you ever listen? Did you ever listen? Get out, get out, get out Get out, get out, get out Get out, get out, get out Get out, get out",0.9874,4,4,3,4,7,8,12,5,4,10
4,/songs/211751,Foo Fighters,A Matter of Time,https://genius.com/Foo-fighters-a-matter-of-time-lyrics,http://api.genius.com/songs/211751,Wasting Light,2011-04-12," Let’s change the subject to someone else You know lately I've been subject to change Normally I reel in the strange Hang over, I’m older You’re one to talk the heart is a clock Just like a bomb that keeps on tickin' away Counting down to detonate You will need an army Disarmin' me!   It doesn't matter much to me If it doesn't matter much to you, ooh It doesn't matter much to me If it doesn't matter much to you   It’s just a matter of time, before, before It’s just a matter of time, before, before An' though I hate to rewind, before, before It’s just a matter of time!   My past is getting us nowhere fast I was never one for takin' things slow Nowhere seems like somewhere to go Come over and over Doin' my time for line after line When will I learn to sing these crimes to myself? Prisoners to share a cell with I’m holdin', still holdin' Holdin' it well   It doesn't matter much to me If it doesn't matter much to you, ooh It doesn't matter much to me If it doesn't matter much to you   It’s just a matter of time, before, before It’s just a matter of time, before, before An' now I hate to rewind, before, before It’s just a matter of time!   Where the hell were you, oooh Where the hell were you, oooh Where the hell were you!   It’s just a matter of time, before, before It’s just a matter of time, before, before An' now I hate to revise, before, before It’s just a matter of time   What does it matter now? What does it matter now? What does it matter now? What does it matter now? It’s just a matter of time Time!",-0.9857,9,15,7,11,2,12,5,10,2,2
5,/songs/211687,Foo Fighters,Another Round,https://genius.com/Foo-fighters-another-round-lyrics,http://api.genius.com/songs/211687,In Your Honor,2005-06-14, When she goes storming out I run for cover Rolling like thunder clouds Hanging above her  Ring in the witching hour Spells that I'm singing Rain come and drown me out I'm sinking deep below   Can you go another round? I will follow you down and out Let's go another round I will follow you down and   We could just lay around Stare at the ceiling Want to forget about One for the feeling  Room for photographs Box full of letters Come on and make it last Nothing else matters right now   Can you go another round? I will follow you down and out Let's go another round I will follow you down and out Can you go another round? I will follow you down and out Let's go another round I will follow you down and out Let's go another round I will follow you down and out Let's go another round I will follow you down and out,-0.443,3,2,2,3,1,4,2,3,1,2
6,/songs/120559,Foo Fighters,Arlandria,https://genius.com/Foo-fighters-arlandria-lyrics,http://api.genius.com/songs/120559,Wasting Light,2011-09-18," Ain't that the way it always starts A simple round of conversation Became a shameful equation I flipped you station to station Hey, don't go and turn the other way Don't say there's nothin' more to say Come on, hear me out, hush, hush, settle down Button up, don't make a sound, shame, shame, go away Come again some other day   You used to say I couldn't save you enough So I've been savin' it up, I started savin' it up And when you said I couldn't give you enough I started givin' you up, I started givin' you up   You are not me, Arlandria, Arlandria You and what army, Arlandria, Arlandria? Oh, God, you gotta make it stop   Chase all of those memories away Save them all for another day Don't you remember it was rain that drowned you Wait, I want to see if you can shake I want to keep all I can take I feel much better now, use me up, spit me out Let me be your hand-me-down, fame, fame, go away Come again some other day   You used to say I couldn't save you enough So I've been savin' it up, I started savin' it up And when you said I couldn't give you enough I started givin' you up, I started givin' you up   You are not me, Arlandria, Arlandria You and what army, Arlandria, Arlandria? Oh, God, you gotta make it stop   My sweet Virginia, I'm the same as I was in your arms My sweet Virginia, I'm the same as I was in your heart   Shame, shame go away, some again some other day Memories keep hauntin' me, help me chase them all away Hush, now settle down, button up, don't make a sound Close your eyes, turn around, help me burn this to the ground Come now, take the blame, that's okay, I'll play the game I don't care, it's all the same, watch it all go up in flames Use me up, spit me out, let me be your hand-me-down Fame, fame, go away, come again some other day   You used to say I couldn't save you enough So I've been savin' it up, I started savin' it up And when you said I couldn't give you enough I started givin' you up, I started givin' you up   You are not me, Arlandria, Arlandria You and what army, Arlandria, Arlandria? Oh, God, you gotta make it stop   My sweet Virginia, oh, God, you gotta make it stop My sweet Virginia, oh, God, you gotta make it stop",0.9678,1,12,7,10,13,9,26,5,4,20
7,/songs/3128046,Foo Fighters,Arrows,https://genius.com/Foo-fighters-arrows-lyrics,http://api.genius.com/songs/3128046,Concrete and Gold,2017-09-15," She was a friend of mine, 'lone on a dead end street Dancing through life on the front lines She led a quiet life, ends, they don't always meet Years passed her by waiting to rise   She had arrows in her eyes Fear where her heart should be War in her mind   Arrows in her eyes, fear where her heart should be War in her mind, shame in her cries Arrows in her eyes, tears in her arteries War in her mind, shame as she cries Fire away   Under a silent light, screaming biology Queen Gemini, the world in her sights I want a new life forming inside of me Blessed and born into this fire   You had arrows in your eyes Fear where your heart should be War in your mind   Arrows in her eyes, fear where your heart should be War in your mind, shame in your cries Arrows in your eyes, tears in your arteries War in your mind, shame as you cry Fire away   Arrows in her eyes, fear where her heart should be War in her mind, hame in her cries Arrows in her eyes, tears in her arteries War in her mind, shame as she cries Fire away Oh-oh-oh-oh-oh",-0.9982,6,1,6,23,2,25,4,13,0,2
8,/songs/211637,Foo Fighters,Aurora,https://genius.com/Foo-fighters-aurora-lyrics,http://api.genius.com/songs/211637,There Is Nothing Left to Lose,1999-11-02," You believe there's something else To relieve your emptiness And you dream about yourself And you bleed and breathe the air And it's on and on and on and on (and on)  I just kind of died for you You just kind of stared at me We will always have the chance We can do this one more time   Hell yeah, I remember aurora Hell yeah, I remember aurora All this time Hell yeah, I remember aurora Take me now We can spin the sun around And the stars will all come out Then we'll turn and come back down Turn and come back down   You believe there's somewhere else Where it's easier than this And you see outside yourself And you buy the hole you'll fill And it's on and on and on and on (and on)   Hell yeah, I remember aurora Hell yeah, I remember aurora All this time Hell yeah, I remember aurora Take me now We can spin the sun around And the stars will all come out Then we'll turn and come back down Turn and come back down   On and and on, aurora wait for everyone Wait 'til the last one's done On and and on, aurora wait for everyone Wait 'til the last one's done   Take me now We can spin the sun around And the stars will all come out Then we'll turn and come back down Turn and come back down Turn and come back down Turn and come back down",-0.9637,6,13,6,6,8,10,8,7,4,9
9,/songs/1404091,Foo Fighters,Baby Hold On,https://genius.com/Foo-fighters-baby-hold-on-lyrics,http://api.genius.com/songs/1404091,None,2018-03-03,"Baby hold on to me Whatever will be, will be The future is ours to see So baby hold on to me Baby, what's these things You've been sayin' about me Behind my back Is it true you might want a better life Is it true you think These things are lies, now Think about it baby I'm gonna take you to the top So baby hold on to me Whatever will be, will be (I say) The future is ours to see When you hold on to me Hey-ey baby You know the future's lookin' brighter Every mornin' when I get up Don't be thinkin' 'bout what's not enough, now baby Just be thinkin' 'bout what we got Think of all my love, now I'm gonna give you all I got So baby hold on to me Whatever will be, will be The future is ours to see When you hold on to me Oh-oh, rich man, poor man, now Really don't mean all that much Mama's always told you, girl That money can't buy you love So baby hold on to me Whatever will be, will be The future is ours to see When you hold on to me Yeah, eh Baby hold on to me Whatever will be, will be The future is ours to see When you hold on to me I say Uh! Hold on Uh-huh! Hold on to me tighter I'm never gonna leave ya now Can't you please believe me now Never gonna let you go So hold on to me tighter Baby hold on to me Whatever will be, will be The future is ours to see When you hold on to me (Baby) Baby hold on to me (Baby) Whatever will be, will be (Baby) The future is ours to see (Baby) When you hold on to me Hold on!",0.9664,4,2,1,0,21,4,24,2,2,6
