,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/559320,Future,2Pac,https://genius.com/Future-2pac-lyrics,http://api.genius.com/songs/559320,Monster,2014-10-28," I got a bandana 'round my head, like I'm 2Pac My little brother, he ain't scared, he got two Glocks Put some blonde in my dreads, I went too pop My young nigga, he gon' shoot you for a tear drop A bandana 'round my head, like I'm 2Pac My lil' cousin duckin' feds, ridin' with two choppas And when you matchin' head to toe, they say you too fly Got a bandana 'round my head, like I'm 2pac   Got a bandana 'round my head screaming thug life I get faded off them Xans and a muddy drink Got a bandana round my head, like I’m Soulja Keep that choppa on a nigga, like Magnolia Put some blonde in my dread, I went to pop For my brother 16th birthday, bought him a new Glock These niggas taking off your head for a new watch My young nigga, he ain’t scared, he want a new body I done fucked around and cashed out on some new exotics Bitch ain’t never speak, now englo, I went too tropic Tie bandana ‘round my head, like I’m Birdie I left my dope with my grandma, had her servin'   I got a bandana 'round my head, like I'm 2Pac My little brother, he ain't scared, he got two Glocks Put some blonde in my dreads, I went to pop My young nigga, he gon' shoot you for a tear drop A bandana 'round my head, like I'm 2Pac My lil' cousin duckin' feds, ridin' with two choppas And when you matchin' head to toe, they say you too fly Got a bandana 'round my head, like I'm 2pac   These hood bitches loving a nigga, like I'm Alpo My lil' cousin got that yoppa on him and he broke Got designer on my collar, like I'm Bon Jovi I got all these problems, I just bought a bunch of doddi These niggas killing everybody's bitches, fuck that dirty pussy These niggas ain't used to no pimping, they gon' pay for pussy Got that bandana 'round my head like a rebel boy All this molly in my system, I can see the devil And I’m playin' round wit' these presidents Still tote a one-hundred round wit' a felony Keep a few kilos on me nephew, these links on me, they cuban Got banana clips on banana clips, on banana clips   I got a bandana 'round my head, like I'm 2Pac My little brother, he ain't scared, he got two Glocks Put some blonde in my dreads, I went to pop My young nigga, he gon' shoot you for a tear drop A bandana 'round my head, like I'm 2Pac My lil' cousin duckin' feds, ridin' with two choppas And when you matchin' head to toe, they say you too fly Got a bandana 'round my head, like I'm 2pac",-0.9763,12,12,10,19,7,26,15,7,9,8
1,/songs/3821791,Future,31 DAYS,https://genius.com/Future-31-days-lyrics,http://api.genius.com/songs/3821791,BEASTMODE 2,2018-07-05," Zaytoven Every now and then, you know what I'm sayin' Most of the majority of the time You dig We in that mode   This is a moment of clarity Everything VV's, I'm gone to the maximum Young nigga flood out a 'axima Flawless the face, then run through a pack of them Everything classical, everything magical When they was checking my catalogue Eating on caviar, smash on a stallion Draped in medallions, yeah Depending on the caliber, put on the passenger Whatever time, wherever I was at Look on the calendar, yeah we compatible I have her flying wherever I'm at You astronomical, way too phenomenal I have her naked where I land I got a second option, and fourth And fifth one wherever a nigga staying I had it falling right out of my pocket When I was just smashing her, she seen the bands Her body Coca-Cola and she seen a can The Glock was still on me while we was romancin' Think I fell in love with this girl, came from France She caramel, without getting a tan I need to pay her when I get the chance Gave her some drip, gave her a whole lot of splash Talkin' that shit, he get smoked like a blunt Took a few Pakistanians to lunch Got some little slim shit in Milan These niggas be hatin', putting on a front   Money get made, bitches don't ever get saved Saint Laurent shades, cookin' up dope, gettin' paid Trying to get laid, she been with me 31 days She like bitches anyways, so we been on the same damn page I took a little E, got red bottoms all on my feet I ran it up, I got your baby mama knee deep She ain't got no teeth, she know a young nigga eat beef She want me to leave, she know I'm not a rat, I got cheese I was quieter than a mouse When I got it in her mouth she couldn't breathe I was thinking like, ""Jeez,"" she done got a lil slob on my tee I done took a little E, I fucked her and made her pee Made her part of my team, then she asked me for a ring I was already red bottom, came on the scene It's hard to trust you when I'm painting this carpet green Money get made, bitches don't ever get saved Saint Laurent shades, cookin' up dope, gettin' paid Trying to get laid, she been with me 31 days She like bitches anyways, so we been on the same damn page   Doing it on a chinchilla, oh yeah You fucking a couple of strippers together Shawty my rider, she down for whatever Y'all give her capital murder, her swagger killer Shawty got more bags than a drug dealer I put her in a Patek, I put her in the Cs I'm on a whole 'other level with her Had to get a penthouse just for the freaks So they could all come and sleep with us We don't do nothing that's normal, everything we do is super gigantic We don't put on fugazi, everything we wear super Titanic I just caught me a wave, feel like a nigga done jumped in Atlantic One hell of a car collection, pulling it up, it's panoramic Picked her up in a Cayenne, soon as she got in she got nothing on   Trying to get laid, she been with me 31 days She like bitches anyways, so we been on the same damn page I took a little E, got red bottoms all on my feet I ran it up, I got your baby mama knee deep She ain't got no teeth, she know a young nigga eat beef She want me to leave, she know I'm not a rat, I got cheese I was quieter than a mouse When I got it in her mouth she couldn't breathe I was thinking like, ""Jeez,"" she done got a lil slob on my tee I done took a little E, I fucked her, made her pee Made her part of my team, then she asked me for a ring I was already red bottom, came on the scene It's hard to trust you when I'm painting this carpet green I was already red bottom, came on the scene It's hard to trust you when I'm painting this carpet green Money get made, bitches don't ever get saved Saint Laurent shades, cookin' up dope, gettin' paid Trying to get laid, she been with me 31 days She like bitches anyways, so we been on the same damn page Money get made, bitches don't ever get saved Saint Laurent shades, cookin' up dope, gettin' paid Trying to get laid, she been with me 31 days",-0.986,21,16,18,15,20,29,39,19,19,26
2,/songs/3280994,Future,4 da Gang,https://genius.com/Future-4-da-gang-lyrics,http://api.genius.com/songs/3280994,SUPER SLIMEY,2017-10-20," I get big high This a big guy, yeah Firk, got you Woo (Yeah)   We don't ever stop at red lights at night, nigga (Nah) We don't ever stop at red lights at night, nigga (No) Two letters, a P and a J, for all my flights, nigga (Private jet) Two letters, a P and a J, for all my flights, nigga (I'm on a bird) I'm drinking a fifth a day, now I'm rocking my ice, nigga You see my plain Patek (What?), cost Jerry Rice, nigga (Jerry Rice) I spent over 80K, just last night, nigga (Last night) Death can't get in my way (Nah) Don't believe the hype, nigga (Don't believe the hype) Made myself impeccable, and I'm so precise, nigga (So precise) It can be in the day time (No) Won't stop at the light, nigga (Get hit at the light) When I woke up at noon (Noon) I had went past the moon (Pluto) Got a seven car garage (Seven car garage) I done ran out of room (All foreign) Everything over a quarter (Over a quarter) Audemar on my daughter (Audemar) She rocking her third Rollie (Yeah) I can't help but spoil her (She a star) I was avoidin' the drug task (Task) When her mom gave birth (When her mama gave birth) I used to show up in class (Yeah) On Tues' and Thursdays (On Tues and Thursdays) Go check my profile, I beat the verdict (I beat the verdict) I'ma kick it in overdrive, for Seth Firkins (Yeah, yeah) My diamonds certified, my trigger workin' (Yeah, yeah) Got it out the mud, baby, that's why my cups dirty Yeah, yeah   And everything I do for my gang gang (My gang gang) Even though I made it on the Forbes, ain't a thing changed (Ain't a thing changed) I got more money than I ever had, I can take some more pain (More) You got booked for a controlled substance, I want more drank (Yeah) It's like a funeral when they see me, 'cause these hoes faint (Yeah) I done got used to dead homies, I stay in the bank (Yeah) Ain't got one more tear to shed on me, all my sons straight (Yeah) I put Casino in my will, nigga, I'ma die with this cake (Freebandz)   I take the plastic off the seal, a trillion miles away (Yeah) I know every nigga with me gon' kill, so I stay out the way (Gang) I ain't gotta walk around with my steel 'cause the streets made me I still keep a chopper at arm's reach, 'cause I stay faded (Yeah) Them Percocets got my homie arm itching, I'ma still take 'em (Oh yeah) I can finesse 'em without pulling out my gun, how he gon' still hate me? (For real) I'm a nine figure nigga, we ain't never worried about murder cases (Murder) My Slime nigga, buy him a Bugatti on your birthday (Slatt) Every time we plead, we plead not guilty in the first place (On God) I look my demon in the face, I'm booted up the worst way (Woo) She want my semen, so she can run with it and take it to the bank (Yeah) I can't grieve, 'cause ain't none of my grandma bills late (On gang) I bought my Mom a mansion and it came with a lake (Why?) I'm so real, my day one got every code to my safe (Oh yeah) I told all my ex hoes, ""Can't nobody take my place"" (No) I know I'm a rockstar and that's on everything   And everything I do for my gang gang (My gang gang) Even though I made it on the Forbes, ain't a thing changed (Ain't a thing changed) I got more money than I ever had, I can take some more pain (More) You got booked for a controlled substance, I want more drank (Yeah) It's like a funeral when they see me, 'cause these hoes faint (Yeah) I done got used to dead homies, I stay in the bank (Yeah) Ain't got one more tear to shed on me, all my sons straight (Yeah) I put Casino in my will, nigga, I'ma die with this cake (Freebandz)",-0.9903,21,14,8,28,11,38,26,17,6,19
3,/songs/70548,Future,4 My People,https://genius.com/Future-4-my-people-lyrics,http://api.genius.com/songs/70548,Dirty Sprite,2011-01-11," Announcements in apartments balling in the park Ballers in the club who be balling after dark For them project kids who jerseys living large I gotta represent for my people Even when your down when you on the ground Gotta walk around with a smile Gotta represent for your people Gotta represent for my people TOSH   All I know is hustle, grindin' , muscle shinin' So I ain't going home tonight This for my own struggle making Tussle just facing this what I call a hell of a life   A whole dollar worth of pennies cased up its a Penelope Its sad to say my favorite auntie is a crack smoke But I would serve it to her now I'm tryna shake off for it I been a star to her rappin' a Celia I'mma set the record straight I promise we gone be ok My auntie brinda use to bring me mad customers my people Had my back no matter what I gotta fuck with them My nigga quin we might as well be blood brothers Swear to GOD I ain't lyin I love you just like my blood brother I know you feel the same way on the GOD who judges us Hit me with a text up online got my songs money can't buy A real friends just wanna see you wrong come on TOSH   All I know is hustle, grindin' ,muscle shinin' So I ain't going home tonight This for my own struggle making Tussle just facing this what I call a hell of a life   Whatever girls do dont just show it at them Everytime im bout to leave thats when my girl start fussin So just give most of my time to her for her I wanna be able to buy her some chillings and furs I wanna be everything that your heart deserves I need to get rich my grandma getting old and her To see my old lady in pain I know her bones aching I pray is meant for you to see your grandson make it Marc told me I was destined for greatness I took a negative and made a great situation Im great at turning nothing to some you better act like And even when you hungry TOSH   All I know is hustle, grindin' , muscle shinin' So I ain't going home tonight This for my own struggle making Tussle just facing this what I call a hell of a life   I put my hoodie on my head when I'm in the vocal booth I scream lil mexico my real people holl it out to I heard some dudes actin funny cause the kid gettin money But I'm makin more for the same dudes that sound funny I make my hood official true story I did it We get respected in the streets like the mafia Young future in the cut with tilapia The feeling that you get to know your real niggas proud of ya They know we hit them licks in the todium the pass for me Spit that dog food on wax all they ask for me I can barely breath When I was writing this I bet I go extra hard after reciting this TOSH   All I know is hustle, grindin' , muscle shinin' So I ain't going home tonight This for my own struggle making Tussle just facing this what I call a hell of a life",-0.8997,21,14,10,17,17,25,26,15,9,25
4,/songs/729245,Future,56 Nights,https://genius.com/Future-56-nights-lyrics,http://api.genius.com/songs/729245,56 Nights ,2015-03-21," Waking up fresh, that's Kodak Killing these niggas, you know that Real street nigga, you know that Real street nigga, you know that   I think 56 nights crazy I think 56 nights crazy I think me and Esco crazy I think me and Young Sco' crazy I did 56 broads on the European tour and they was all crazy I did 56 broads on the European tour and they was all crazy I took 56 bars all in one month nigga and I'm still dranking I could still see the scar on a nigga hand, man this shit real crazy I been taking these molly's, still nodding off cause a nigga too faded I've been laying low key inside a nigga vault, money is my motivation   Money keep a nigga motivated Molly keep a nigga motivated Percocet keep em motivated Good drank keep a nigga motivated Lortabs on my conversation Talk a lot of bands then we conversatin' I was on my way to Rice Street In the paddie wagon and it had me numb The pain from the slum had me numb Tryna sell some dope and eat caviar Got the passport in Saudi Arabia We've been flossing in medallions We ain't nothing but some Talibans I pull up right now and embarrass ya I've just been hanging with savages Lately I've been hanging around with my savages I grew up on the block, 1 hunnid I go on The Bluff, it's 1 hunnid I done did enough in the jungle I done put in some work and they love me When I drink out the cup, it's so dirty Had the blow at the store, they was lurking Poured a 4 in a cup it was breakfast Sprinkled sauce in my drink and I took it   I think 56 nights crazy I think 56 nights crazy I think me and Esco crazy I think me and Young Sco' crazy I did 56 broads on the European tour and they was all crazy I did 56 broads on the European tour and they was all crazy I took 56 bars all in one month nigga and I'm still dranking I could still see the scar on a nigga hand, man this shit real crazy I been taking these molly's, still nodding off cause a nigga too faded I've been laying low key inside a nigga vault, money is my motivation   Promethazine took my concentration To another level then I elevated Diamonds hanging on me I'm intoxicated Diamonds hanging off me I'm intoxicated Chop it up with a sack chaser Told you I wasn't going back, baby Hanging out with some crack babies Fell in love with this cash baby Money touch a niggas hands On a few Xans might won't count it Spend it all in one night If we could rewind it, we'll still do it I'm true to this game, I jump on a plane And run to the stage I've been working some years for this Making music, I live for this Hit the trap in my Louboutins Count it up then I bag up a brick Mount it up then I smash out in it You know I'm gon' do the whole dash in this motherfucker I'm bout to pass out in this motherfucker I'm bout to pass out in this motherfucker This bitch exotic than a motherfucker These bitches  do anything for me   I think 56 nights crazy I think 56 nights crazy I think me and Esco crazy I think me and Young Sco' crazy I did 56 broads on the European tour and they was all crazy I did 56 broads on the European tour and they was all crazy I took 56 bars all in one month nigga and I'm still dranking I could still see the scar on a nigga hand, man this shit real crazy I been taking these molly's, still nodding off cause a nigga too faded I've been laying low key inside a nigga vault, money is my motivation",-0.9988,47,11,17,38,20,54,35,36,9,16
5,/songs/3597679,Future,Absolutely Going Brazy,https://genius.com/Future-absolutely-going-brazy-lyrics,http://api.genius.com/songs/3597679,None,2018-03-28," I'm gettin' some throat in a foreign Take me way, way out   I'm gettin' some throat in a foreign Take me way, way out I was just goin' on a run Goin' way, way out I paid these dues with my sons Moved 'em way, way out Took the detour, made 'em reroute Ground it up, we don't take a day off I stack it up, I don't take a day off Hit the winning shot, got us in the playoffs I never switched, I knew it'd pay off I'm absolutely goin' brazy   Fuck poppin' trunk lay the chopper, right on your lap Fuck all these comments, I was just sellin' crack I blame the streets for the way I was raised I cannot sleep with these demons behind me 'Xans, they takin' over all your thoughts If you get in the way of my plans, I'ma knock you out I laced my Sunkist with Molly I fucked that bitch, she in college I gave her game and bags Put that world on her tongue, she a swallower   I got the power of my dollar You know the power of a dollar Do you know the power of a dollar? I know the power of a dollar (I know the power of a dollar)   I'm gettin' some throat in a foreign Take me way, way out I was just goin' on a run Goin' way, way out I paid these dues with my sons Moved 'em way, way out Took the detour, made 'em reroute Ground it up, we don't take a day out I stack it up, I don't take a day off Hit the winning shot, got us in the playoffs I never switched, I knew it'd pay off I'm absolutely goin' brazy   I'm absolutely goin' brazy They try to stop me, I ain't hesitatin' (don't stop) Unwrap the bag and take this medication I crumple herb on the application I put a circuit in Kate like a waitress She gave me somethin', that's one hell of a facial I wasn't nervous, I hold it an' sprayed it I know you bogus, I seen this for days (I know you bogus, fuck) I'm absolutely gettin' revenge, I absolutely gotta win (yeah) I'm comin' through in the clutch (yeah) Burn the money up like a Dutch (Dutch) VVSs, no cut (woo) These Gucci flops like chucks (Gucci) Got that throat from a slut (who?) Best feelin' in the world (best feelin') When you come through the hood Ridin' in a foreign and you got your new girl (whoa) While you pourin' on syrup   I'm gettin' some throat in a foreign Take me way, way out I was just goin' on a run Goin' way, way out I paid these dues with my sons Moved 'em way, way out Took the detour, made 'em reroute Ground it up, we don't take a day out I stack it up, I don't take a day off Hit the winning shot, got us in the playoffs I never switched, I knew it'd pay off I'm absolutely goin' brazy",-0.9309,16,11,12,9,7,23,14,10,8,17
6,/songs/560189,Future,Abu's Boomin,https://genius.com/Future-abus-boomin-lyrics,http://api.genius.com/songs/560189,Monster,2014-10-28,"GotItAllBoy: Metro Boomin in this motherfucker *laughs*. My niggas love you, but anyway, look. Got it all, got it all, look man, I got my one, my last nigga in the city with the clean. I ain’t talking about that bottom of the bottle syringe shit with that plastic hair dryer reseal, or that blue top, we ain’t none of that bullshit. So look, the one rule is, when we go in don’t say nothing to Abu. He old school, you feel me?  A bell rings as the two enter the store, loud music is playing  GotItAllBoy: Cut.. Abu can you cut that shit down man! Please!  Abu: Ohhh Free Band, Free Band, welcome back to my store. Loyal customer. You see my store still booming in the drought  GotItAllBoy': Uh, he looking for some clean  Abu: Clean? What the fuck are you drinking, I thought we were drinking dirty?  GotItAllBoy: Naw, hell naw man, I got 80, $200 for you, right now. We just need a pint  GotItAllBoy: Well just go get it out the back, Abu, I’m out here waiting. Let me get some cigarillos and grab a couple of Sprites  Abu: Just for you only I give special price  GotItAllBoy: Keep that number right where I need it, baby and we gon...  Metro Boomin: Yeah bruh I’m tryna fuck with that 86 hunnid  Abu: Who the fuck is the friend?  GotItAllBoy: Goddamn…  Abu: What in the fuck are you talking my number? Hmm?  Metro Boomin: Man come on Abu, you open 24/7 now man  Abu: We say 7/24, not 24/7  [Metro Boomin: Man fuck out here with this country shit..  Abu: Abu boomin motherfucker!",-0.9374,5,5,5,5,10,11,16,4,2,9
7,/songs/200389,Future,Abu Turn Up (Intro),https://genius.com/Future-abu-turn-up-intro-lyrics,http://api.genius.com/songs/200389,Astronaut Status,2012-01-12,"Abu, it’s your boy! Oh, DJ X-Rated! Hey man I know you done re-ed up on the sprites already I have two cases in the bag already dirty Good, you need to go get those Cause every time a freeband gang come in here You know we got to turn up Hm? turn up? Man astronaut status man, turn up Turnip greens aisle five on the left you know that Man I- What the fuck? Turnip green? Man I’m not talking about no motherfucking turnip green! I’m talking about turn up man! Turn up? Turn up, turn up?",-0.8604,1,2,2,3,4,5,6,1,1,4
8,/songs/3284311,Future,Abu-What Is Pluto? (Outro),https://genius.com/Future-abu-what-is-pluto-outro-lyrics,http://api.genius.com/songs/3284311,True Story,2011-06-10,"Blast Off What are you still doing in my store Abu I know you got some cases in the back No more cases, I'm sick of Freebandz You come in take all the Sprite, mix your Dirty Sprite I'm sick of it, no more True Story We out, I'm bout to go to Pluto anyway! True Story Where Is Pluto?",-0.8193,2,1,3,5,2,9,3,4,1,2
9,/songs/4024989,Future,Afterlife,https://genius.com/Future-afterlife-lyrics,http://api.genius.com/songs/4024989,Future & Juice WRLD Present… WRLD ON DRUGS,2018-10-19," I'm poppin' my shit every morning (Poppin' my shit) Then I go to paradise (Wheezy outta here)   Cough syrup got me dozin' off, I can see you in my afterlife He snapped the clip in then drove off He know somebody's 'bout to die tonight I leave the baddies in the house, superfly That Draco sittin' in the couch, I'm mummified But I don't fuckin' miss it though, I'm gon' slide I think out loud, I'ma get my money and I don't get tired   Sit in the back of the Phantom and have a good night And have to take nothing off, lit up like a light I can't see nothin' in the way, was going outta sight I get her lace on daily basis, she my type I pop my shit and live lavish, never switch sides You can go to college, get a crib off the clothes I buy We in the top of the fuckin' Hills off a Sunset Drive I'm a product of the field, I'm just in my disguise Hit the trippin' off a pill but don't give me some cake I've been jumpin' on these Lears, that's the way I'ma chase 'em Franklins comin' by the layers, that's the way we gon' make 'em She don't know when I'ma pop 'em so she gotta sleep naked I can tell the way they treat me, they gon' say I'm the greatest Ain't no tellin' if I leave you, I'ma ever come back (Pluto) Ain't gon' never let a disloyal bitch hold me back (No) I done Goyard my bags so we could hold my racks And all the love I got for Atlanta, I got the same for Chiraq (Yeah) You can't help who you love nigga (Can't help who you love) That's why God made thug niggas (Yeah, straight up)   Cough syrup got me dozin' off, I can see you in my afterlife He snapped the clip in then drove off He know somebody's 'bout to die tonight I leave the baddies in the house, superfly That Draco sittin' in the couch, I'm mummified But I don't fuckin' miss it though, I'm gon' slide I think out loud, I'ma get my money and I don't get tired   I think out loud, I'ma get my checks, fuck you niggas I need to get it off my chest, fuck you niggas I got my hittas in the cut, I'm still that nigga I got her flattin' out her tummy, I'm that nigga (Super) Takin' my time, my new bank account gettin' taller I flood out Richard, that gon' cost me at least a quarter (Least a quarter) I done been in my bag lately and I been poppin my collar (My bag) I got a good taste in bitches 'cause they swallow (Yeah) I done birthed a lotta lil' niggas, I'm their father (Future) Can't be responsible, how you move? 'Cause I taught ya (I can) Keep it a thousand, ok bool That's how I was brought up (One thousand) Lil' nigga had to pay his dues, man, slaughter (free Lu) 9 bracelets on me, baby, hold on, wait (Hold on) 9 rings on me, baby, hold on, wait (I'm the champ) Got that Glizzy on me, baby, hold on wait (That's a Glock) Don't be shy with that pussy, hold on, wait (Yeah, mine) 90 vibes at the crib, pick a race (Yes) I would've said at least one hundred to play it safe (Robbin' the safe) When it comes to loud, I'ma roll with Grade A (Grade A) I don't go outta town unless I'm fillin' up the safe I done crocodile my Pradas, just to hold my racks And all the love I got for Atlanta, I got the same for Chiraq You can't help who you love, nigga That's why God made thug niggas   You can't help who you love, nigga I'm poppin' my shit every mornin' Then I go to paradise Can't help who you love, nigga That's why God made thug niggas",0.9873,17,17,13,16,22,34,37,14,11,28
