,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/191653,George Strait,4 Minus 3 Equals Zero,https://genius.com/George-strait-4-minus-3-equals-zero-lyrics,http://api.genius.com/songs/191653,Always Never The Same,1999-03-18, You always said you loved me And I always believed you did But now you say you're leaving And taking both of the kids   4 minus 3 equals zero Your leaving just don't add up It's all over for me if you go Cause I'll be nothing without your love   The babies are sleeping in the bedroom They don't know you're packing their clothes At least they didn't see me crying When you said that's the way love goes   4 minus 3 equals zero Cause I'll be nothing without your love,0.9491,0,0,0,0,4,1,6,1,0,3
1,1,/songs/191140,George Strait,80 Proof Bottle Of Tear Stopper,https://genius.com/George-strait-80-proof-bottle-of-tear-stopper-lyrics,http://api.genius.com/songs/191140,Right Or Wrong,1984-05-17, You aren’t never fell as far as when you fall in love Except the fall you take when you've been loved and given up When you have your heart and soul rubbed into the dirt An 80-proof bottle of tear-stopper will take away the hurt   Give me an 80-proof bottle of tear-stopper And I'll start feeling I forgot her Get a little loose and lose her memory And I won't think I'm close to dying Because it dries up all my crying An 80-proof bottle of tear-stopper always sets me free   It aren’t easy losing love although it's turned out bad All at once you're turning off old feelings you once had But I found a helping hand right here in my hand An 80-proof bottle of tear-stopper will help me take command  ,0.9496,7,3,6,6,5,12,5,11,3,7
2,2,/songs/192081,George Strait,A Better Rain,https://genius.com/George-strait-a-better-rain-lyrics,http://api.genius.com/songs/192081,It Just Comes Natural,2007-08-24," Baby, what do you say what love comes down on you Raining the blues on you Like it's never gonna end on you And all your dreams like leaves in the gutter go floating b No, baby, I don't know why all God's children cry I'll miss your skin, as golden as your Wheatfield hair And where you go I hope you find out there   A better rain The kind that comes in off the coast and paints the sky And lets you know that God's alive A better rain That'll wash me from your eyes so you can smile again And be all right again In a better rain   Someday is gonna find you in a sweeter place Long after time has earsed All the words like razor blades You'll remember you and me before the flood Once upon a time in love, a beautiful us I can see you on some stretch of sand Spinning round in circles barefoot dancin' in    A better rain That'll leave behind rainbow in the sky Lets you know that God's alive In a better rain A better rain",0.9928,0,10,1,5,14,2,19,3,3,10
3,3,/songs/191529,George Strait,Ace In The Hole,https://genius.com/George-strait-ace-in-the-hole-lyrics,http://api.genius.com/songs/191529,Beyond The Blue Neon,1989-07-17," You've got to have an ace in the hole A little secret that nobody knows Life is a gamble, a game we all play But you need to save something for a rainy day You've got to learn to play your cards right if you expect to win in life Don't put it all on the line for just one roll You've got to have an ace in the hole   If you're headed down a one way street And you're not sure it's the way you want to go In money or love, or all the above Have a little more than what you show  When life deals out a surprise Have a few surprises of your own No matter what you do, no matter where you go You've got to have an ace in the hole   Don't put it all on the line for just one roll You've got to have an ace in the hole No matter what you do, no matter where you go You've got to have an ace in the hole",0.9332,1,3,0,2,6,1,15,1,5,8
4,4,/songs/191624,George Strait,Adalida,https://genius.com/George-strait-adalida-lyrics,http://api.genius.com/songs/191624,Lead On,1995-03-20," Adalida, pretty little cajun queen Sweet dixie flower, the belle of the bayou You're every young man's dream Adalida, I'd walk through a hurricane To stand beside you sweet Adalida I'd swim the Pontchartrain   Oh no, here you coming down the road With your cotton dress a swishing You getting some attention From all the boys in Thibodaux Oh my, you really filling up their eyes Smiling and a winking I know what they're thinking But I'm the only one who loves you so!   Oh no, the hottest little dish I know I know you can tell it You making me so jealous From my head down to my toes Oh me, you could make a redneck green The way that you're a looking You got me cooking And I ain’t talking 'bout Etoufee'  ",0.4785,2,6,2,2,8,4,9,0,3,4
5,5,/songs/1215892,George Strait,A Father's Love,https://genius.com/George-strait-a-fathers-love-lyrics,http://api.genius.com/songs/1215892,Livin' It Up,1990-04-06," I got sent home from school one day with a shiner on my eye Fighting was against the rules and it didn’t matter why When Dad got home I told that story just like I’d rehearsed Then stood there on those trembling knees And waited for the worst   And he said, “Let me tell you a secret, about a father’s love A secret that my daddy said was just between us He said daddies don’t just love their children Every now and then It’s a love without end, amen, it’s a love without end, amen”   When I became a father in the spring of ‘81 There was no doubt that stubborn boy Was just like my father’s son And when I thought my patience had been tested to the end I took my daddy’s secret and I passed it on to him   And I said, “Let me tell you a secret, about a father’s love A secret that my daddy said was just between us I said daddies don’t just love their children every now and then It’s a love without end, amen, it’s a love without end, amen”    Last night I dreamed I’d died and Stood outside those pearly gates When suddenly I realized there must be some mistake If they know half the stuff I done they’ll never let me in Then somewhere from the other side I heard these words again   And they said, “Let me tell you a secret, about a father’s love A secret that my daddy said was just between us You see, daddies don’t just love their children Every now and then It’s a love without end, amen, it’s a love without end, amen""",0.9899,1,5,1,3,21,5,26,2,1,27
6,6,/songs/191106,George Strait,A Fire I Can't Put Out,https://genius.com/George-strait-a-fire-i-cant-put-out-lyrics,http://api.genius.com/songs/191106,Strait From The Heart,1983-05-19, I'm finding out how hot an old flame can burn You're a feeling I haven't forgot The love I can't unlearn You've become a memory I can't live without You'll always be a fire I can't put out   I don't know how to handle the dream you left behind It's like a lighted candle burning up my mind At least I'm happy knowing what love is all about You'll always be a fire I can't put out   Embers to ashes That's how it should be You'd think by now my heart would know And it could set you free The things I've tried The tears I've cried I guess there's no doubt You'll always be a fire I can't put out   You'll always be a fire I can't put out,-0.8894,2,2,1,6,4,3,7,2,2,5
7,7,/songs/192052,George Strait,A Heart Like Hers,https://genius.com/George-strait-a-heart-like-hers-lyrics,http://api.genius.com/songs/192052,It Just Comes Natural,2007-08-24, Every time that someone walks in She turns around to see if it's him She checks her watch by the clock I can't count the times he's stood her up And one's too much   How could anybody break a heart like hers I can't stand to watch her hurt I would gladly take her place If she'd just love me the way He must not know what it's worth I don't understand how anyone Could break a heart like hers   She keep saying he'll change someday He wasn't always this way She thinks he hung the moon and stars But all he's done is string her along like this It don't make sense   How could anybody break A heart like hers,0.8898,1,6,0,4,2,1,7,1,3,4
8,8,/songs/191136,George Strait,A Little Heaven's Rubbing Off On Me,https://genius.com/George-strait-a-little-heavens-rubbing-off-on-me-lyrics,http://api.genius.com/songs/191136,Right Or Wrong,1984-05-17, I used to like Making love then Getting up And never having to explain I've always been free I never could see me Dragging no ball and chain I like running around And being tied down Never was my cup of tea But since I've been holding an angel A little heaven's rubbing off on me   And I'm beginning to like just sitting and holding hands Looking into her eyes I'm thinking about future plans And then I get the feeling that the life that I'd been leading aren’t all it's cracked Up to be Since I've been holding an angel A little heaven's rubbing off on me   I used like To spend the night Sitting on an old bar stool Drinking wine and killing time With all over those other fools But since you took my hand I think I understand It aren’t the way it outta be Since I've been holding an angel A little heaven's rubbing off on me   Since I've been holding an angel A little heaven's rubbing off on me,0.7003,3,7,2,3,6,5,7,2,5,7
9,9,/songs/191658,George Strait,Always Never The Same,https://genius.com/George-strait-always-never-the-same-lyrics,http://api.genius.com/songs/191658,Always Never The Same,1999-03-18, I know why I'm intrigued You keep surprising me Somewhere between the lines There's no way to define Every move you make Always never the same   Call me mesmerized Somewhat hypnotized Somehow in Conversation I'm lost in sweet temptation Every word you say Always never the same   I can't count the ways You take my breath away Always never the same Always never the same Always never the same,0.1531,0,1,0,0,1,2,3,1,2,3
10,10,/songs/191103,George Strait,Amarillo By Morning,https://genius.com/George-strait-amarillo-by-morning-lyrics,http://api.genius.com/songs/191103,Strait From The Heart,1983-01-14," Amarillo by morning, up from San Antone Everything that I've got is just what I've got on When that sun is high in that Texas sky I'll be bucking at the county fair Amarillo by morning, Amarillo I'll be there   They took my saddle in Houston, broke my leg in Santa Fe Lost my wife and a girlfriend somewhere along the way Well I'll be looking for eight when they pull that gate And I hope that judge ain't blind Amarillo by morning, Amarillo's on my mind   Amarillo by morning, up from San Antone Everything that I've got is just what I've got on I ain't got a dime, but what I got is mine I ain't rich, but Lord I'm free Amarillo by morning, Amarillo's where I'll be Amarillo by morning, Amarillo's where I'll be",0.4201,0,2,1,1,2,4,6,2,2,5
11,11,/songs/191538,George Strait,"Angel, Angelina",https://genius.com/George-strait-angel-angelina-lyrics,http://api.genius.com/songs/191538,Beyond The Blue Neon,1989-07-17," Angel oh my angel, Angelina Heaven must be wondering where you are Morning finds me praying, ""Please let me keep her"" Each night finds me wishing on the star That always, always Angelina You'll be staying right here in my arms   Sweetest of the sweet those ruby lips No other has that touch, ooh those finger tips Bluest of the blue those sparkling eyes Like hand in glove we fit You know you're just my size You and all your special ways and needs Oh I love you Angelina   You'll be staying right here in my arms",0.9779,0,4,0,0,6,0,6,1,3,4
12,12,/songs/1328005,George Strait,Any Old Love Won't Do,https://genius.com/George-strait-any-old-love-wont-do-lyrics,http://api.genius.com/songs/1328005,Strait Out Of The Box,1995-09-11,"I've seen ladies look at me With want to in their eyes But each time they do I think of you and it makes me realize Just any old love won't do  No, any old love won't do I don't want to love If it isn't with you Just any old love won't do  You've got the only arms I've ever come runnin' to Love has always led me to your bed Just any old love won't do  No, Any old love won't do Just any old love won't do I don't want to love If it isn't with you Just any old love won't do  Just any old love won't do No, any old love won't do I don't want to love If it isn't with you Just any old love won't do  No, any old love won't do Just any old love won't do I don't want to love If it isn't with you Just, any old love won't do  No, any old love won't do Just any old love won't do I don't want to love If it isn't with you Just, any old love won't do...",0.9994,0,1,0,0,22,0,27,0,0,5
13,13,/songs/191256,George Strait,Any Old Time,https://genius.com/George-strait-any-old-time-lyrics,http://api.genius.com/songs/191256,Does Fort Worth Ever Cross Your Mind,1985-01-14," Any old time you get lonely Nights get cold or love is blue Just snuggle up honey; you're my one and only Any old time, I'm here for you   Pay no mind to the hour Or how far away you may be Any old time you can find me, drop in a dime and there I'll be   Any old time you start missing Somebody to hold, to keep you company I'll be willing when you want my kissing Any old time, just call on me   ",0.2023,1,7,1,2,2,3,3,3,0,1
14,14,/songs/191586,George Strait,Anything You Can Spare,https://genius.com/George-strait-anything-you-can-spare-lyrics,http://api.genius.com/songs/191586,Chill Of An Early Fall,1991-06-11," If you have any left of her kisses When you're through with your latest affair Don't let them just waste, I know how they taste I'll take anything you can spare   And if you have a few idle moments If you're lonely and nobody's there I'll gladly fill in until you find a new friend I'll take anything you can spare   Yes, I'll even take some heartaches from you Though I've already more than my share I love you all the time, so baby keep me in mind I'll take anything you can spare",0.918,1,3,2,1,5,3,6,2,1,4
