,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/21227,Gnarls Barkley,A Little Better,https://genius.com/Gnarls-barkley-a-little-better-lyrics,http://api.genius.com/songs/21227,The Odd Couple,2008-03-18," Now, I can sing you the storyline And if you like my story, fine But ain't none of the glory mine See, my life was a lonely one And I was still momma's only son With no idea what I'm gon' become And I didn't have long to know That you don't have to be grown to go I could have died so long before Then, I finally saw the sign And I made it on down the line One step at a time   I feel better I can smile at it now, I feel better Oh, better And, even a little, is still better Oh, have mercy on me   Oh, it's probably plain to see That I got a whole lot of pain in me And it will always remain in me So cold, it's a cryin' shame Yet here I am, tryin' again 'Cause I refuse to die in vain The circumstances put soul in me And there ain't no holdin' me I've got a heart made of gold, in me Huh, can you believe this is where I've been? And when adversity comes again I'll deal with it then   I feel better I can laugh at it now, I feel better Oh, better And, even a little, is still better Oh, have mercy on me   I said, everything's fine, you can take your time What would be on your mind, if you knew you was dyin'? I would wanna just feel this one more time I said, everything's fine, take your time What would be on your mind, if you knew you was dyin'? I would wanna just feel this one more time I wanna thank you, morning sun I wanna thank you, lonely gun Now, I know I'm not the only one I - I wanna thank you, friendly ghost When all the calls were close It seems like you cared the most I - I wanna thank you, Mom and Dad For hurtin' me so bad But you're the best I ever had I - I wanna thank you",5,13,5,9,8,10,12,8,5,8,0.9843
1,1,/songs/21229,Gnarls Barkley,Blind Mary,https://genius.com/Gnarls-barkley-blind-mary-lyrics,http://api.genius.com/songs/21229,The Odd Couple,2008-03-18,"Whoa-oh Yeah!   I love Mary (I love Mary) Blind Mary, marry me (Marry me) I love Mary (La la la)   She has never seen the sunshine (Sunshine) Yet, she's getting along just fine (Fine) She's not staying, she's just passing through (Through-ooh-ooh) Hey, do you mind if I follow you? You   I love Mary (I love Mary) Blind Mary, marry me (Marry me) I love Mary (La la la) Yeah   I heard a voice say, ""Catch me, if you can"" Before you know it, I was holding her hand It's harder to imagine than understand How she knows exactly who I am Yeah   She's my friend, she doesn't judge me She has no idea I'm ugly So, I've absolutely nothing to hide Because I'm so much prettier inside Yeah  ",0,4,1,5,13,3,13,0,5,5,0.9874
2,2,/songs/21231,Gnarls Barkley,Charity Case,https://genius.com/Gnarls-barkley-charity-case-lyrics,http://api.genius.com/songs/21231,The Odd Couple,2008-03-18," Ooh, ah (repeat throughout) Give, give, give it away, now Give, give, give it away, now Give it away, now   I-I-I-I don't know what matters to you, at this moment But that's all that matters to me How are you? (How are you?) Knock on wood Well, I'm not doin so good (I bet you probably couldn't tell) (Although you're worth it, I'm still not well) And I don't understand how I'm so understanding I guess that that's all I can be How are you? (How are you?) I think I can help But I can't help myself (Shouldn't I be happy? You need my help) (I usually just talk to myself)   Oh, can't you see, oh, can't you see? If I help somebody, baby there's mercy for me (me) Ah, charity (And you, for you) (One, for you, and you, and you)   Don't wanna bother you, baby, but I'm bleedin', too Are you needin' me like I'm needin' you? Even my shadow leaves me all alone at night Guess I need to start to take my own advice (La la la la lah, la la la-lahhhh) (La la la la lah, la la la-lahhhh)   Oh, can't you see, oh, can't you see? Somebody's a liar, whoever said freedom was free (free) Ah, charity   Ooh, ah (repeat throughout) Give, give, give it away, now Give, give, give it away, now Give it away, now Give it away, now Woo! Alright Yeah I want to be your baby Charity You better give it to somebody",0,3,1,0,9,2,16,0,3,8,0.9954
3,3,/songs/21248,Gnarls Barkley,Crazy,https://genius.com/Gnarls-barkley-crazy-lyrics,http://api.genius.com/songs/21248,St. Elsewhere,2006-04-04," I remember when I remember, I remember when I lost my mind There was something so pleasant about that place Even your emotions had an echo, in so much space And when you're out there without care Yeah, I was out of touch But it wasn't because I didn't know enough I just knew too much   Does that make me crazy? Does that make me crazy? Does that make me crazy? Possibly   And I hope that you are having the time of your life But think twice, that's my only advice Come on now, who do you Who do you, who do you, who do you think you are? Ha, ha, ha, bless your soul You really think you're in control?   Well, I think you're crazy I think you're crazy I think you're crazy Just like me   My heroes had the heart to lose their lives out on the limb And all I remember is thinkin' I wanna be like them Ever since I was little Ever since I was little, it looked like fun And it's no coincidence I've come And I can die when I'm done   But maybe I'm crazy Maybe you're crazy Maybe we're crazy Probably",10,6,1,11,5,12,5,12,5,5,-0.4014
4,4,/songs/21242,Gnarls Barkley,Feng Shui,https://genius.com/Gnarls-barkley-feng-shui-lyrics,http://api.genius.com/songs/21242,St. Elsewhere,2006-04-24," In this house the decor is the obvious obscure You can see clearly the theory of less is more A plant, a pet, and books on a shelf And a frame on the wall where you can Picture yourself And you're welcome to stay But even your company must complement The Feng Shui Ah, Even down to what I have on They do wonder to what extents I have gone Tailored and tapered, contoured to the curve Demanding the attention that it does deserve Fabrics for the forecast of the day Admit it: everything is fitted to fall in Feng Shui More importantly the way that I move If I'm in your town, my needle's down on the groove On sight they know my song And it ain't slow and it sure ain't long You see I do not play Forgive me father I was forced out of Feng Shui A flow as subtle as a summer breeze Like the whispering winds and the talking trees To big to be boxed in, it bobs and weaves It evolves, it solves, it gives and receives And everything I say is calculated appropriated Written and arranged in Feng Shui!",2,6,1,1,2,4,8,1,2,7,0.7548
5,5,/songs/21245,Gnarls Barkley,Go-Go Gadget Gospel,https://genius.com/Gnarls-barkley-go-go-gadget-gospel-lyrics,http://api.genius.com/songs/21245,St. Elsewhere,2006-04-24," Pump up the peculiar While I yell unique Aaaaah, let me show you right here Heeeeeeey, Aaaahaaaaahaaa Ooooh, yeah, yeah, yeah   I'm well on my way I'm almost everything And this is my day You make me want to say   I'm freeee! Look at me! Behold everything I'm allowed to see Freeee! Come and see Na, na, na, na, na na na   The shapeless, formless, heart is enormous Bore this, I've worn this, no never what the norm is Come hear this, it's fearless Contrast, colour, prisms, so warmin' Listen and love it   I'm freeee! Look at me! Freedom in hi-fidelity Freeee! come and see Na, na, na, na, na na na   What you waitin' on? I won't ask your, passion, smilin', laughin' Yieldin', feelin', helpin', healin' Introduce your neighbour to your saviour   I'm freeee! Look at me! Freedom in hi-fidelity Freeee! Na, na, na, na, na na na",1,1,0,2,6,4,8,1,2,6,0.9589
6,6,/songs/1474447,Gnarls Barkley,Go-Go Gadget Gospel (Instrumental),https://genius.com/Gnarls-barkley-go-go-gadget-gospel-instrumental-lyrics,http://api.genius.com/songs/1474447,St. Elsewhere,2006-04-24,"Pump up the peculiar While I yell unique If you see what you want If you're wondering what it look like, look at me  Hey, aah, aah Let me show you how to do it Hey, aah, oh Yeah, yeah, yeah, yeah, yeah  I'm well on my way I'm almost everything And this is my day Oh, make me want to sing  I'm free, look at me Behold everything I'm allowed to see Free, come and see Na, na, na, na, na na na  Shapeless, formless, heart is enormous Bore this, I've worn this No never what the norm is Come hear this, it's fearless Contrast and color Prisms so warmin' Listen and love it  I'm free, look at me Freedom in hi-fidelity Free, come and see Na, na, na, na, na na na  Ah, what you waitin' on? I want action, passion, smilin', laughin' Yieldin', feelin', helpin', healin' Introduce your neighbor to your saviour  I'm free, look at me Freedom in hi-fidelity Free Na, na, na, na, na na na",1,3,0,2,7,4,11,2,2,8,0.9935
7,7,/songs/21244,Gnarls Barkley,Going On,https://genius.com/Gnarls-barkley-going-on-lyrics,http://api.genius.com/songs/21244,The Odd Couple,2008-03-18," I've seen it with my own eyes How we're getting otherwise, without the luxury of leaving The touch and feeling of free is intangible, technically Something you've got to believe in Connect the cause and effect, one foot in front of the next This is the start of a journey And my mind is already gone And the fear of the unknown Somehow, just doesn't concern me And you can stand right there, if you want   But I'm going on And I'm prepared to go it alone I'm going on To a place in the sun that's nice and warm I'm going on And I'm sure they'll have a place for you, too   Anyone that needs what they want And doesn't want what they need I want nothing to do with I aim to do what I want, and to do what I please Is first off my to-do list But every once in a while, I think about her smile One of the few things I do miss But, baby, I've got to go Baby, I've got to know Baby, I've got to prove it And I'll see you, when you get there   But, I'm going on And I'm prepared to go it alone I'm going on May my love lift you up to the place you belong I'm going on And I promise I'll be waiting for you",2,7,1,4,10,3,13,1,3,6,0.9776
8,8,/songs/21246,Gnarls Barkley,Gone Daddy Gone,https://genius.com/Gnarls-barkley-gone-daddy-gone-lyrics,http://api.genius.com/songs/21246,St. Elsewhere,2006-04-24," Beautiful girl, lovely dress High school smiles, oh, yes Beautiful girl, lovely dress Where she is now, I can only guess   'Cause it's gone, daddy, gone The love is gone Yeah, it's gone, daddy, gone The love is gone It's gone, daddy, gone The love is gone Yeah, it's gone, daddy, gone The love is gone away   When I see you Eyes will turn blue When I see you A thousand eyes, turning blue   'Cause it's gone, daddy, gone The love is gone Yeah, it's gone, daddy, gone The love is gone It's gone, daddy, gone The love is gone Yeah, it's gone, daddy, gone The love is gone away   And I can tell by the way that you switch and walk And I can see by the way that you baby talk And I can know by the way that you treat your man I can love you baby, 'til it's a cryin'   'Cause it's gone, daddy, gone The love is gone Yeah, it's gone, daddy, gone The love is gone It's gone, daddy, gone The love is gone Yeah, it's gone, daddy, gone The love is gone away   Beautiful girl, lovely dress 15 smiles, oh, yes Beautiful girl, lovely dress Where she is now, I can only guess   'Cause it's gone, daddy, gone The love is gone Yeah, it's gone, daddy, gone The love is gone It's gone, daddy, gone The love is gone Yeah, it's gone, daddy, gone The love is gone away Going away Going away Gone away Going away Going away Gone away Going away",1,5,1,1,30,1,31,7,9,8,0.9992
9,9,/songs/21247,Gnarls Barkley,Just a Thought,https://genius.com/Gnarls-barkley-just-a-thought-lyrics,http://api.genius.com/songs/21247,St. Elsewhere,2006-04-24," All I want is your understanding As in the small act of affection ""Why is this my life?"" Is almost everybody's question   And I've tried Everything but suicide But it's crossed my mind   I prefer peace Wouldn't have to have one worldly possession But, essentially, I'm an animal So, just what do I do with all the aggression?   Well, I've tried Everything but suicide But it's crossed my mind   Life is a one-way street, and if you could paint it I'd draw myself going in the right direction So, I go all the way, like I really, really know But the truth is, I'm only guessin'   And I've tried Everything but suicide Oh, but it's crossed my mind Just a thought   It's even dark in the daytime It's not just good, it's Great Depression When I was lost, I even found myself Looking in the gun's direction   And so, I've tried Everything but suicide But yes, it's crossed my mind But I'm fine",7,3,1,7,4,10,8,7,1,7,-0.9511
