,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3461911,Gotye,(2nd Generation Dub) Lullaby,https://genius.com/Gotye-2nd-generation-dub-lullaby-lyrics,http://api.genius.com/songs/3461911,Boardface,2018-06-21,"Hush now, child And dream a shape Close your eyes tight And I sing a sweet lullaby You can sleep tonight  Sweet dreams tonight Everything's alright Sweet dreams tonight Every little thing's alright  And your greatest Leave beneath The few we fled Don't be sad You are proud Of another day  Sweet dreams tonight Everything's alright Sweet dreams tonight Every little thing's alright  Search for them Who I am Wants to sing My precious thing Don't be scared It's just my love  Sweet dreams tonight Everything's alright Sweet dreams tonight Every little thing's alright",0.9963,0,12,0,1,13,1,17,3,9,12
1,/songs/1691847,Gotye,A Distinctive Sound,https://genius.com/Gotye-a-distinctive-sound-lyrics,http://api.genius.com/songs/1691847,Like Drawing Blood,2006-05-22,"This will teach them how to groove All right, let's get aquatinted (hello there) Music from the bass perspective  This is a journey into sound A journey which along the way will to bring you New color, new diminution, new values And a new experience - stereophonic sound  (and now ladies and gentlemen, our feature act tonight) (Stop!) (Get it, get it, get it!)  Come on, Come on, Come on  That was the harpsichord Now-a-days, most homes seem to prefer The television or radio, to the harpsichord But you still hear the piano, all the time A flute couldn't do that  These are some of the difficulties With being in this position and talking to you And just wanting really deeply to relate to you And touch you - not physically - but with vibration (ha ha ha ha)  Never heard metal sound like that before  The drummer is the heartbeat Everything comes from him He is the beat, the time, the heartbeat It's just like a heart pumping blood To the rest of the body He is the heartbeat of a band, a group He is the heartbeat  I think around midpoint in my career I started to experiment with sounds And then it became very important to Get a distinctive sound Get a distinctive sound Get a distinctive sound  Maybe if I spend more time practicing Eventually I can get it together  Um - here's some more music  All right! Here we go! Now were going to use a little power kicks Like I showed you before We're going to chuck-em real good A-minor to F Just like all the heavy metal guys use, okay Lets get some of that smoke just like on MTV Yeah! all right!  Music - all right Yeah! all right! Would you say that again Yeah! all right! Let's play a note Yeah! all right! Here's some more music Yeah! all right!  Get a distinctive sound Get a distinctive sound Get a distinctive sound Get a distinctive sound  We've covered a lot of ground, haven't we? If there's a part of our story you don't understand Why don't you turn this record over And start playing over again Over again Over again",0.9933,2,9,0,3,8,3,19,6,3,10
2,/songs/1026017,Gotye,Baby,https://genius.com/Gotye-baby-lyrics,http://api.genius.com/songs/1026017,Boardface,2003-02-15,"Live from day to the next day Try to satisfy the cravings before they Consume you  Colours are brighter The world can excite you When you're under its spell You can tell All too well That without it life would be hell  And time is passing you by It marks no moment of your life When you submit yourself to be numb The fear disappears And everything seems clear  When the emptiness is upon you It fills you up like a balloon And you float High up over the real world And think of when You were a little girl again  Where would you go, baby? What could you do? Didn't you hear, baby? Nothing is sure but uncertainty  You can feel the hunger inside you But the longing will no longer guide you onwards Sinking into the floorboards Where the rats eat at your will And do it until Your belly aches And your soul will not be still  Wrench yourself from your demons For far too long you've believed them When they told you you were weak Take a step in the tunnel With the light 'round the bend In the end You can start to make amends Who knows where you'll go, baby So much you could do! Haven't you heard, baby? All will be well If you want it to",-0.9375,4,7,3,5,5,7,10,5,1,5
3,/songs/1153184,Gotye,Board With This Game,https://genius.com/Gotye-board-with-this-game-lyrics,http://api.genius.com/songs/1153184,Boardface,2003-02-15,I'll be waiting for you  Waiting for you (Here in this place) Waiting for you (Here in this place) Waiting for you (Here in this place)  Waiting... (Here in this place) Waiting... (Here in this place) Waiting...,0.0,0,0,0,0,0,0,0,0,0,0
4,/songs/492237,Gotye,Bronte,https://genius.com/Gotye-bronte-lyrics,http://api.genius.com/songs/492237,Making Mirrors,2011-08-19,Now your bowl is empty And your feet are cold And your body cannot stop rocking I know It hurts to let go  Since the day we found you You have been our friend And your voice still echoes in the hallways of this house But now It's the end  We will be with you When you're leaving We will be with you When you go We will be with you And hold you till you're quiet It hurts to let you go  We will be with you We will be with you We will be with you You will stay with us,-0.6194,2,0,0,2,2,3,3,3,0,2
5,/songs/3461793,Gotye,Children of the Universe,https://genius.com/Gotye-children-of-the-universe-lyrics,http://api.genius.com/songs/3461793,Boardface,2018-06-21,You are a child of the universe No less than dreams and stars You are a child of the universe You have a lot to be  And I had a lovely day I love you A lovely day I dreamed of you  You are a child of the universe No less than dreams and stars You have a lot  And I had a lovely day I love you I had a lovely day I dreamed of you I had a lovely day Love you Lovely day And I had a lovely day I dreamed of you  You are a child of the universe No less than dreams and stars You have a lot to be And I had a lovely day You are a child,0.993,0,16,0,0,19,0,19,8,8,11
6,/songs/2284830,Gotye,Coming Back,https://genius.com/Gotye-coming-back-lyrics,http://api.genius.com/songs/2284830,Like Drawing Blood,2006-05-21," You've been gone much longer than you Ever said you had the plan to I'm just gonna wait 'til you come home   Though I count the days, they're grey without you The weather's much better when I think about you I'm just gonna wait 'til you come home   Empty glasses, burnt out matches Curtains drawn on near-full blackness I'm sleeping through the day you're coming home To reclaim this heart you owned   Lover, leave me Make me burn You're coming back! You're coming back! I'll wait patiently For your return You're coming back! You're coming back!   I'm clutching at straws I'm climbing up the walls But every time I fall Back into my hole I'm feeling like a wretch I'm looking for a catch But you're an itch that I can't scratch I know you're coming back   You've been gone so long you're fading And it takes all the time I can find just retaining Thoughts of things we did while you were here But I know you will return my dear  (La composition)   Lover, leave me Make me burn You're coming back! You're coming back! I'll wait patiently For your return You're coming back! You're coming back!   I'm clutching at straws (You've been gone much longer than you) I'm climbing up the walls (Ever said you had the plan to) But every time I fall (I'm just gonna wait 'til you come home) Back into my hole I'm feeling like a wretch (Though I count the days, they're grey without you) I'm looking for a catch (The weather's much better when I think about you) But you're an itch that I can't scratch (I'm just gonna wait 'til you come home) I know you're coming back   You're coming back! Oh, you're coming back!",0.9789,4,30,5,3,4,16,8,9,6,6
7,/songs/492250,Gotye,Dig Your Own Hole,https://genius.com/Gotye-dig-your-own-hole-lyrics,http://api.genius.com/songs/492250,Making Mirrors,2011-08-19,"And you know it's the wrong way round Still you can't say no Ever playing upon your mind But you won't say why   (So shut up!) Unless you're ready to leave it (Or make up your mind) But you need it so much (Do you really believe in it?) Yes I do From time to time   In the end You dig yourself the hole you're in When you don't know what you want You just repeat yourself again In the end You just repeat yourself again When you don't know who you are You dig yourself the hole you're in  (Don't worry) It's only in your mind (Don't worry) But I do From time to time  You just repeat yourself again (Don't worry) You just repeat yourself again (Don't worry) You just repeat yourself again (Don't worry) You just repeat yourself again  Still it's the wrong way round And you won't say no Ever playing upon your mind But you won't say why   (So shut up!) Unless you're ready to leave it (Or make up your mind) But you need it so much (Do you really believe in it?) Yes I do, I do, this time   In the end You dig yourself the hole you're in When you don't know what you want You just repeat yourself again In the end You just repeat yourself again When you don't know who you are You dig yourself the hole you're in   In the end (Unless you're ready to leave it) You just repeat yourself again (But you don't know you need it) When you don't know who you are (Do you really believe in it?) You dig yourself the hole you're in",0.9528,0,13,0,5,0,10,11,8,3,11
8,/songs/492255,Gotye,"Don't Worry, We'll Be Watching You",https://genius.com/Gotye-dont-worry-well-be-watching-you-lyrics,http://api.genius.com/songs/492255,Making Mirrors,2011-08-19,Hey What's your name? Don't worry Don't be afraid We won't hurt you  Hey Lost your way? Don't worry Just do as we say And we won't hurt you  It's hard The world can lead you so astray It gets harder It's hard just to keep the faith  Do you need a reminder Of the love that we gave you? Don't worry You're walking away But we'll always be watching you  (We'll always be watching you) (We'll always be watching you),0.8349,2,4,0,7,2,8,7,6,0,5
9,/songs/3461891,Gotye,Down There Too,https://genius.com/Gotye-down-there-too-lyrics,http://api.genius.com/songs/3461891,Boardface,2018-06-21,"Sinking into everything you think to do I'm sinking too Swim or sink, you never think You'll make it through And I think it too I sink with you  Treading long and going on You're drowning soon And I'm drowning too You're heading for the gate Of everything you do And I'm holy too I'll take the dirt with you  Falling down and crawl around A hole you make And that's all it takes Down and down and down And watch your past mistakes At faster rates Now watch your fates",-0.6705,0,5,2,3,1,5,2,2,0,1
