,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/99899,Green Day,1000 Hours,https://genius.com/Green-day-1000-hours-lyrics,http://api.genius.com/songs/99899,1039/Smoothed Out Slappy Hours,1991-07-01," Starlit night The moon is shining bright You are the one that I need Up at your window I see a shadow Silhouette of your grace Here's this flower I picked for all the hours That you've spent with me The one I love That I've been dreaming of Sailing across the sea   Let my hands flow through your hair Moving closer, a kiss we'll share Passionate love to be all night long We'll never break, as one too strong   Nothing's more Than what our love is for As I kiss your cheek Oh, so softly Hands flowing down my back 1,000 hours, I'll never leave Our romance Is a love trance And now we'll never part 1,000 hours Of such a love shower We'll never stop, once we start   Let my hands flow through your hair Moving closer, a kiss we'll share Passionate love to be all night long We'll never break, as one too strong   Let my hands flow through your hair Moving closer, a kiss we'll share Passionate love to be all night long We'll never break, as one too strong   Ahhh...",0.997,0,16,0,1,19,3,24,2,9,7
1,1,/songs/99891,Green Day,16,https://genius.com/Green-day-16-lyrics,http://api.genius.com/songs/99891,39/Smooth,1990-04-13,"Every night I dream the same dream (Of getting older and older all the time) I ask you now, what does this mean? (Are these problems just in my mind?) Things are easy when you're a child (But now these pressures have dropped on my head) The length I've gone are just long miles (Would they be shorter if I were dead?)  Every time I look in my past I always wish I was there I wish my youth would forever last Why are these times so unfair?  Look at my friends and see what they've done (Ask myself why they've had to change) I like 'em better when they were young (Now all these times are rearranged) I look down and stand there and cry (Nothing ever will be the same) The sun is rising, now I ask why? (The clouds now fall and here comes the rain)  Every time I look in my past I always wish I was there I wish my youth would forever last Why are these times so unfair...? Go!  Every night I dream the same dream (Of getting older and older all the time) I ask you now, what does this mean? (Are these problems just in my mind?) Things are easy when you're a child (But now these pressures have dropped on my head) The length I've gone are just long miles (Would they be shorter if I were dead?)  Every time I look in my past I always wish I was there I wish my youth would forever last Why are these times so unfair?",0.94,6,19,3,6,9,9,9,11,5,2
2,2,/songs/99922,Green Day,2000 Light Years Away,https://genius.com/Green-day-2000-light-years-away-lyrics,http://api.genius.com/songs/99922,Kerplunk,1992-01-17," I sit alone in my bedroom Staring at the walls I've been up all damn night long My pulse is speeding My love is yearning   I hold my breath and close my eyes and... Dream about her Cause she's 2000 light years away She holds my malachite so tight so... Never let go Cause she's 2000 light years away Years Away!   I sit outside and watch the sunrise Lookout as far as I can I can't see her, but in the distance I hear some laughter We laugh together   I hold my breath and close my eyes and... Dream about her Cause she's 2000 light years away She holds my malachite so tight so... Never let go Cause she's 2000 light years away Years Away!   I sit alone in my bedroom Staring at the walls I've been up all damn night long My pulse is speeding My love is yearning   I hold my breath and close my eyes and... Dream about her Cause she's 2000 light years away She holds my malachite so tight so... Never let go Cause she's 2000 light years away Years Away!",0.9588,2,6,2,1,6,6,6,0,2,2
3,3,/songs/182153,Green Day,21 Guns,https://genius.com/Green-day-21-guns-lyrics,http://api.genius.com/songs/182153,21st Century Breakdown,2009-05-25," Do you know what's worth fighting for When it's not worth dying for? Does it take your breath away And you feel yourself suffocating? Does the pain weigh out the pride? And you look for a place to hide? Did someone break your heart inside? You're in ruins   One, twenty-one guns Lay down your arms Give up the fight One, twenty-one guns Throw up your arms into the sky You and I   When you're at the end of the road And you lost all sense of control And your thoughts have taken their toll When your mind breaks the spirit of your soul Your faith walks on broken glass And the hangover doesn't pass Nothing's ever built to last You're in ruins   One, twenty-one guns Lay down your arms Give up the fight One, twenty-one guns Throw up your arms into the sky You and I   Did you try to live on your own When you burned down the house and home? Did you stand too close to the fire? Like a liar looking for forgiveness from a stone   When it's time to live and let die And you can't get another try Something inside this heart has died You're in ruins   One, twenty-one guns Lay down your arms Give up the fight One, twenty-one guns Throw up your arms into the sky One, twenty-one guns Lay down your arms Give up the fight One, twenty-one guns Throw up your arms into the sky You and I",-0.9847,16,4,3,22,2,24,10,9,2,2
4,4,/songs/2903169,Green Day,21 Guns (Broadway),https://genius.com/Green-day-21-guns-broadway-lyrics,http://api.genius.com/songs/2903169,American Idiot: The Original Broadway Cast Recording,2010-04-20," Do you know what's worth fighting for? When it's not worth dying for? Does it take your breath away And you feel yourself suffocating?  Does the pain weigh out the pride? And you look for a place to hide Did someone break your heart inside? You're in ruins   One, 21 guns Lay down your arms, give up the fight   One, 21 guns Throw up your arms into the sky   You and I   When you're at the end of the road And you lost all sense of control And your thoughts have taken their toll When your mind breaks the spirit of your soul   Your faith walks on broken glass And the hangover doesn't pass   Nothing's ever built to last You're in ruins   You're in ruins   One, 21 guns Lay down your arms, give up the fight One, 21 guns Throw up your arms into the sky, you and I   (Did you?) Did you try to live on your own (When you-) When you burned down the house and home? (Did you?) Did you stand too close to the fire Like a liar looking for forgiveness from a stone?   When it's time to live and let die And you can't get another try Something inside this heart has died You're in ruins   You're in ruins!   One, 21 guns Lay down your arms, give up the fight One, 21 guns Throw up your arms into the sky One, 21 guns Lay down your arms, give up the fight One, 21 guns Throw up your arms into the sky, you and I   *Nobody likes you, everyone left you, they're all out without you having fun.*",-0.9874,16,5,3,24,3,26,11,11,2,2
5,5,/songs/81468,Green Day,21st Century Breakdown,https://genius.com/Green-day-21st-century-breakdown-lyrics,http://api.genius.com/songs/81468,21st Century Breakdown,2009-05-15,"Part I   Born into Nixon, I was raised in hell A welfare child where the teamsters dwelled The last one born and the first one to run My town was blind from refinery sun   My generation is zero I never made it as a working class hero   21st century breakdown I once was lost but never was found I think I'm losing what's left of my mind To the 20th century deadline   I was made of poison and blood Condemnation is what I understood Video games of the tower's fall Homeland security could kill us all   My generation is zero I never made it as a working class hero   21st century breakdown I once was lost but never was found I think I'm losing what's left of my mind To the 20th century deadline    Part II   We are the class of, the class of '13 Born in the year of humility We are the desperate in the decline Raised by the bastards of 1969   My name is no one, the long lost son Born on the 4th of July Raised in the era of heroes and cons That left me for dead or alive I am a nation, a worker of pride My debt to the status quo The scars on my hands are a means to an end It's all I have to show   I swallowed my pride and I choked on my faith I've given my heart and my soul I've broken my fingers and lied through my teeth The pillar of damage control I've been to the edge and I've thrown the bouquet Of flowers left over the grave I sat in the waiting room wasting my time And waiting for judgement day   I praise liberty ""The Freedom to Obey,"" It's the song that strangles me Well, don't cross the line  Part III   Oh, dream, America, dream I can't even sleep from the light's early dawn Oh, scream, America, scream Believe what you see from heroes and cons",-0.9853,11,13,9,12,17,25,23,18,9,19
6,6,/songs/99897,Green Day,409 in Your Coffeemaker,https://genius.com/Green-day-409-in-your-coffeemaker-lyrics,http://api.genius.com/songs/99897,1039/Smoothed Out Slappy Hours,1991-07-01,"I sit in the state of a daydream With all of your words flying over my head Even more time gets wasted In a daze  It should seem obvious to you Your screams and cries are never going to work And all of your time gets wasted In my daze  And I'm looking back now At where I have gone wrong And why I could not seem to get along My interests are longing To break through these chains These chains that control My future's aims, oh no  I sit in the state of a daydream With all of your words flying over my head Even more time gets wasted In a daze  Maybe I'm just too damn lazy Or maybe I was just brainwashed to think that way And all of your time gets wasted In my daze  And I'm looking back now At where I have gone wrong And why I could not seem to get along My interests are longing To break through these chains These chains that control My future's aims, oh no  I'm looking... Back now at... Where I have... Have gone wrong... And why I... Could not seem... Could not seem... To get along  And I'm looking back now At where I have gone wrong And why I could not seem to get along My interests are longing To break through these chains These chains that control My future's aims, oh no",-0.989,6,7,6,3,0,12,8,4,4,3
7,7,/songs/140982,Green Day,80,https://genius.com/Green-day-80-lyrics,http://api.genius.com/songs/140982,Kerplunk,1992-01-17," My mental stability reaches its bitter end And all my senses are coming unglued Is there any cure for this disease someone called love Not as long as there are girls like you   Everything she does questions my mental health It makes me lose control, I wanna hurt myself If anyone can hear me slap some sense into me But you turn your head and I end up talking to myself Anxiety has got me strung out and frustrated So I lose my head or I bang it up against the wall   Sometimes I wonder if I should be left alone And lock myself up in a padded room I'd sit and spew my guts out to the open air 'Cause no one wants to hear a drunken fool   Everything she does questions my mental health It makes me lose control, I just can't trust myself If anyone can hear me slap some sense into me But you turn your head and I end up talking to myself Anxiety has got me strung out and frustrated So I lose my head or I bang it up against the wall   I do not mind if this goes on Cause now it seems I'm too far gone I must admit that I am enjoying myself 80 please keep taking me away Away   Everything she does questions my mental health It makes me lose control, I just can't trust myself If anyone can hear me slap some sense in me But you turn your head and I end up talking to myself Anxiety has got me strung out and frustrated So I lose my head or I bang it up against the wall",-0.9908,20,6,14,14,2,22,8,14,12,3
8,8,/songs/370083,Green Day,86,https://genius.com/Green-day-86-lyrics,http://api.genius.com/songs/370083,Insomniac,1995-10-10, What brings you around? Did you lose something the last time you were here? You'll never find it now It's buried deep with your identity   So stand aside and let the next one pass Don't let the door kick you in the ass   There's no return from 86 There's no return from 86 There's no return from 86 There’s no return from 86 Don't even try   Exit out the back And never show your head around again Purchase your ticket And quickly take the last train out of town   So stand aside and let the next one pass Don't let the door kick you in the ass   There's no return from 86 There's no return from 86 There's no return from 86 There’s no return from 86 Don't even try   There's no return from 86 There's no return from 86 There's no return from 86 There’s no return from 86 Don't even try,-0.9955,3,1,1,2,0,4,5,2,1,6
9,9,/songs/329713,Green Day,8th Avenue Serenade,https://genius.com/Green-day-8th-avenue-serenade-lyrics,http://api.genius.com/songs/329713,¡Tré!,2012-12-07,Say hello from your window Say goodbye from your car Say goodnight from your pillow Say so long from the stars  Take a walk out of my life Sing to me a lullaby Cradle songs from a midlife Dont forget to pass me by  As my imagination runs away On the Eighth Avenue serenade Meet me at the Bathroom stall Met me at the whispering wall Before all the flames burn out  As my imagination runs away On the Eighth Avenue serenade Meet me at the Bathroom stall Met me at the whispering wall Before all the flames burn out,-0.2344,0,4,2,0,3,1,4,1,0,3
