,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/69961,Gym Class Heroes,7 Weeks,https://genius.com/Gym-class-heroes-7-weeks-lyrics,http://api.genius.com/songs/69961,As Cruel as School Children,2006-07-25," My life's these yellow lines, concrete, and parliament butts Exhaust fumes and rest stops who drive hard for their bucks Load in, sound check, play show, load out, let's go, next city, oh great, off day Hangovers, hangups, dialbacks, running make up, apologies and promises And nobody acknowledges that boys in bands got it so damn bad But we love like the last cigarette we'll ever have I'm putting miles on my body, bout due for a tune up and this gas station food ain't really helping but I'm loving every minute, every road sign's a reminder of exactly why we did it to begin with   This is how it has to be A kiss for luck, submerge myself And in 7 weeks resurface Even if we don't look back again Tired boys and wired eyes Exposing imperfections To the public eye we're perfect Even if we don't look back again   I like these hotels, passports, random bag checks, day dreams of love affairs that I haven't had yet Touch down, baggage claim, new town, different dame, same clothes, 7 days, whew, damn I need to change And it's a lifestyle that I wouldn't recommend Wild 'N Out on a level Nick Cannon couldn't comprehend (fuck outta here) We made a lot of friends and even more enemies Some of which were genuine and others just pretend to be It's all gravy baby, life's lovely Even when the gray rain cloud's right above me The girl's textin' me talkin' about gettin' all cuddly Cause you paint a pretty picture but the frame is so ugly   This is how it has to be A kiss for luck, submerge myself And in 7 weeks resurface Even if we don't look back again Tired boys and wired eyes Exposing imperfections To the public eye we're perfect Even if we don't look back again   And now it's back in a van with four of my mans Until we catchin' a tan on the Florida sands I feel like tourin' this land's made me more of a man From killa California to the shores of Japan Good times stayin' up late in Austin Coast to coast VA to Chicago To gettin' up with Johnny Cupcakes in Boston And smokin' the most grade A in Colorado Home ain't home no more I hug the road and kiss the concrete and sometimes I even hear her heartbeat No matter where we go or where we at We carry upstate on our back, it's like that   This is how it has to be A kiss for luck, submerge myself And in 7 weeks resurface Even if we don't look back again Tired boys and wired eyes Exposing imperfections To the public eye we're perfect Even if we don't look back again This is how it has to be A kiss for luck, submerge myself And in 7 weeks resurface Even if we don't look back again Tired boys and wired eyes Exposing imperfections To the public eye we're perfect Even if we don't look back again   ""So a lot of you don't realize There's a whole subculture of boys driving around in vans."" Even if we don't look back again ""Looking for your daughters, and your lottery tickets. Love it or leave it. I'm like this"" Even if we don't look back again ""I love my life. Bitches."" Even if we don't look back again Even if we don't look back again",0.998,8,22,14,6,27,31,56,6,14,32
1,/songs/1974871,Gym Class Heroes,A** back home (feat. neon hitch),https://genius.com/Gym-class-heroes-a-back-home-feat-neon-hitch-lyrics,http://api.genius.com/songs/1974871,None,2011-06-14,"Oh! You're so sexy, yo!  I don’t know, where you’re going Or when you’re coming home I left the keys under the mat to our front door For one more chance to hold you close I don’t know, where you’re going Just get yourself back home  We knew this type of life didn’t come with instructions So I’m trying to do my best to make something out of nothing And sometimes it gets downright in fact When you call and I don’t know what city I’m at Or what day of the week in the middle of the month  In a year I don’t recall It’s like my life’s on repeat and the last time we spoke I told you I wouldn’t be long That was last November, now December’s almost gone I’d apologize but I don’t realize what I’m doing wrong  I don’t know, where you’re going Or when you’re coming home I left the keys under the mat to our front door For one more chance to hold you close I don’t know, where you’re going Just get yourself back home  And you’ve been nothing but amazing And I never take that for granted Half of these birds would've flew the coop But you, you truly understand it And the fact you stood beside me Every time you heard some bogusness You deserve a standing o ‘cause they’d a just been over it  Let 'em talk, let 'em talk, let 'em talk, let 'em talk Like we don’t hear what they saying Let 'em walk, let 'em walk, let 'em walk, let 'em walk We’ll just drive by and keep waving  'Cause you and I above all that Just let them wallow in it Now they all choked up, yuck 'Cause they be swallowing it  I don’t know, where you’re going Or when you’re coming home I left the keys under the mat to our front door For one more chance to hold you close I don’t know, where you’re going Just get yourself back home  No one holds me down like you do sweetheart You keep doing that, I keep doing this We’ll be alright in the end Trust that We put the us in trust, baby Let’s go  I don’t care what you’re after As long as I’m the one, no I don’t care why you’re leaving You’ll miss me when you’re gone  I don’t know, where you’re going Or when you’re coming home I left the keys under the mat to our front door For one more chance to hold you close I don’t know, where you’re going Just get yourself back home  I'm home baby! Ha Ha",0.9921,2,10,2,0,3,4,26,3,4,23
2,/songs/21981,Gym Class Heroes,A Beautiful Day,https://genius.com/Gym-class-heroes-a-beautiful-day-lyrics,http://api.genius.com/songs/21981,...For the Kids,2001-12-23," Yo, My morning showers like a rebirth; reflections of the womb Crazy sentimental floatin' in lukewarm placental Now I chop a burden on the sink trying not to think about what Lies before me but the sun just reassured me that Everythings gonna be allright, the last thing on my mind is tonight Its like a sintch and getting Zestfully clean not to mention Scrub my ass and armpits for a bit and then I split over to the mirror Wipe the dew to make my vision clearer Then I moisturize my face with some aloe Vera This is that type of day cause I can feel it that You ain't letting bad vibes invade your spirit Anyway it's time to get the breath right So I grab the Crest and toothbrush, circular motions to the left, right Just enough to see the teeth sparkle a bit I fill my grill with Listerine and then it's gargle, gargle, spit And now that's good hygiene, you know what I mean? And my mouths the definition of so fresh and so clean (clean) I feel it's only right, since my words all I got And nobody wants to listen when your breath is hot But that's a story in itself so I head to my bedroom Throw on some drawers and pick out a costume I think ill rock these blue jeans and this tee shirt And whats a little polo sport gonna hurt? C'mon   This is that day cause I can feel it You know the type of day you ain't lettin' bad vibes invade your spirit As the birds chirp your favorite tune It's like I'm right back in my momma's womb Cause everything is so serine And the temperature is just right Not a worry in sight And plus the sun is shining bright, it's a beautiful day It's a beautiful day   Shall I continue where I left off? I'm feelin' kinda lovely but my Tummy is growlin' so I'm feeling kinda hungry So I hit the kitchen and I'm wishin' there's some food in sight What do ya know? I got that Cinnamon Life And now I'm real happy, fill my salad bowl up with cereal To my surprise it's Jackson Five up on the stereo I turn it up my words can't describe my reaction to Wakin' up and listening to prepubescent Michael Jackson Open up the Frigidair what do we have here? Seems like just enough milk to fill my morning craving Peep out the window just to see if Izzy is misbehaving He's staring at me with a grin like 'Yo, let me in man!' So I begin to fill his dish with Kibbles N' Bits Let him in so he can eat, and I'm eating my shit So now we both full and well fed Happier than that fat rat Templeton from Charlotte's Web And now its time to get our walk on Izzy can get his bark on It's a beautiful day maybe we'll get our state park on I know the lake is at its finest (you better take afvantage) I'll grab my backpack, this leash, and maybe make a sandwich I better grab my ghetto blaster and a few tapes A thurmos full of water and a bag of fresh grapes Some more tapes cause you know that music comes first And what's a little Jackson Five gonna hurt? C'mon  ",0.9981,17,17,11,13,20,25,35,16,11,20
3,/songs/893302,Gym Class Heroes,Apollo 3-1-5,https://genius.com/Gym-class-heroes-apollo-3-1-5-lyrics,http://api.genius.com/songs/893302,The Papercut Chronicles,2005-02-22,"I'll kill it, I don't give a fuck (Travis talking)  Traded in my hollow words for jelly-filled verbs And 5 pound pronouns and predicate, this is Schlep's etiquette For sloppy-fabled manners get ya napkins, Matty Duke kick the beat and I'm rappin Top of the line, top of the world, top of the mornin to ya top dog That's a top-notch tie ya got, tie it in a knot Till ya eyeballs pop out, so you can actually see what an actual mc looks like And if I had to pick and choose, I'd be the indecisive dick in the votin booth, laughin at my options like Stop the presser on the media, Schlep rock is leavin ya Walk with prosthetic concoctions, I thought I told you You just a toadstool while Mario with firepower stickin dick to the princess, it's just senseless like that David and Goliath drama Might as the slingin stone, you're basically defenseless Anyway you wanted Schlep rocks, cocks obnoxious, it feels like a midget is chillin in my boxers  I'm Sorry (Travis talking)",-0.631,5,6,3,3,0,11,14,6,2,7
4,/songs/59774,Gym Class Heroes,Ass Back Home,https://genius.com/Gym-class-heroes-ass-back-home-lyrics,http://api.genius.com/songs/59774,The Papercut Chronicles II,2011-10-31," Oh, it's so sexy, yo   I don't know where you're going Or when you're coming home I left the keys under the mat To our front door For one more chance to hold you close I don't know where you're going Just get your ass back home   We both knew this type of life didn't come with instructions So I'm trying to do my best to make something out of nothing, and Sometimes it gets down right shitty in fact When you call and I don't even know what city I'm at Or what day in the week in the middle of the month In a year I don't recall It's like my life's on repeat and the last time we spoke I told you I wouldn't be long That was last November now December's almost gone I'd apologize but I don't realize what I'm doing wrong, I don't know   I don't know where you're going Or when you're coming home I left the keys under the mat To our front door (that's love) For one more chance to hold you close I don't know where you're going Just get your ass back home   And you've been nothing but amazing and I'll never take that for granted Half of these birds would've flew the coop but you, you truly understand it And the fact you stood beside me every time you heard some bogusness You deserve a standing O cause they'd have just been over it Let 'em talk, let 'em talk, let 'em talk, let 'em talk Like we don't hear what they saying Let 'em walk, let 'em walk, let 'em walk, let 'em walk We'll just drive by and keep waving Cause you and I above all that, just let 'em wallow in it And now they all choked up, yuck - cause they be swallowin' it   I don't know where you're going Or when you're coming home I left the keys under the mat To our front door (that's love) For one more chance to hold you close I don't know where you're going Just get your ass back home   No one holds me down like you do sweetheart You keep doing that, I'll keep doing this We'll be alright, trust that We put the ""us"" in ""trust"" baby, let's go!   I don't care what you're after As long as I'm the one, no I don't care why you're leaving You'll miss me when you're gone   I don't know where you're going Or when you're coming home I left the keys under the mat To our front door (that's love) For one more chance to hold you close I don't know where you're going Just get your ass back home   I'm home baby",-0.9151,2,10,2,0,6,4,30,3,4,23
5,/songs/21985,Gym Class Heroes,Band Aids,https://genius.com/Gym-class-heroes-band-aids-lyrics,http://api.genius.com/songs/21985,The Papercut Chronicles,2005-02-22," Thank you, you know exactly who you are You played the role of superglue when I was fallin apart Through all the papercuts and all the broken hearts You played the role of superglue when I was fallin apart Thank you, you know exactly who you are You played the role of superglue when I was fallin apart Through all the nightmares and anxiety scares You played the role of superglue when I was fallin apart   Hi, it's so quiet Where did the music go? I was boppin my head and tappin my feet And having a grand old time, more please! I want more, give me more music Give me it, now! I want it Hey! Do you remember, that time when we were listening To some fine music, by the Gym Class Heroes And it was two minutes ago? Do you remember that? That was cool Hey! Do you remember, that time when we went fishing With Fat Tommy and we wore clown shoes And we caught some lake trout But they had big teeth and antlers and Fat Tommy said ""Those are not lake trout Those are space cowboys from West Lancanshire"" And I said, ""I don't believe you"" And Fat Tommy said, ""I don't believe me!"" Well, so be it, says I, do you remember that? And now it never happened HEY! Anyways I'm outta here Peace",0.9471,3,8,3,4,6,7,10,9,3,4
6,/songs/1031691,Gym Class Heroes,Biters Block,https://genius.com/Gym-class-heroes-biters-block-lyrics,http://api.genius.com/songs/1031691,As Cruel as School Children,2007-07-25," This is not novelty This is nothing delicate This is the result of some Google search for something relevant Stake claim immediately Cause hot products cool down At which point will flot the new sounds Take fame intravenously But when nature turns to habit I'll be sure to leave the scene and start stacking it This is nothing fraudulent This is that sure shot itchy finger lingering behind your target audience You got em all convinced But we ain't buying it buddy Demand for lies is high And you're supplying it Truth is brutal and consumes you if you let it Type that in your little away message and set it   Keep singing songs for me That I can write in my sleep like I'm counting sheep Keep singing songs for me Man you're boring me what you ought to be Keep singing songs for me Just following the leader with your blah blah blah Keep singing songs for me That I can write in my sleep like I'm counting sheep   And this is not a fashion statement It's elegant intuition Far beyond your bed wetter kindergarten compositions This is a part of me How can you sleep at night When what you don't bite you write half-heartedly Go join the army And be the best you can be Give new meaning to blowing up overseas Please We kick them doors down when nobody would let us in And give you that proverbial taste of your own medicine We took your formula and relabeled it And sat patiently and giggled it when you drank it See poison street cred weigh just about the same reflesh Pop bottles and dropped names And you'll dismiss it cause it isn't what you're used to But who the fuck died and made you King Koopa?   Keep singing songs for me That I can write in my sleep like I'm counting sheep Keep singing songs for me Man you're boring me what you ought to be Keep singing songs for me Just following the leader with your blah blah blah Keep singing songs for me That I can write in my sleep like I'm counting sheep   Wow congratulations on your new purchase I heard you bought a crib on biters block downtown plagiarism's paradise You're not a movement You're purely amusement The poster boy for Xerox and the role model for parasites You serve no purpose You're purely decorative And bore use to death with your auditory sedatives Oh they don't see No, we don't sleep And hog tie your runaway bride with cold feet We built this city on lock and load logic And burned it down the same night So go ahead and put your tears on ice baby I think we got a winner And kiss your crucifix your boy's a certified sinner   Keep singing songs for me That I can write in my sleep like I'm counting sheep Keep singing songs for me Man you're boring me what you ought to be Keep singing songs for me Just following the leader with your blah blah blah Keep singing songs for me That I can write in my sleep like I'm counting sheep",0.9801,10,10,10,6,7,25,28,7,6,18
7,/songs/533021,Gym Class Heroes,Biter's Block (feat. Speech from Arrested Development),https://genius.com/Gym-class-heroes-biters-block-feat-speech-from-arrested-development-lyrics,http://api.genius.com/songs/533021,None,2011-06-14," It's a dirty rotten shame...   This is not novelty This is nothing delicate This the result of a Google search for something relevant Stake claim immediately Cause hot products cool down At which point they'll flock to new sounds Take fame intravenously But when leisure turns to habit I'll be sure to leave the scene you started stagnant This is nothing fraudulent This is that joy shot itchy feeling lingering behind your target audience You got them all convinced, but we ain't buying it, buddy Demand for lies is high, and you're supplying it Truth is brutal; it consumes you if you let it Type that in your little away message and set it   Keep singing songs That I could write in my sleep It's like I'm counting sheep Keep singing songs Man, you're boring me with your monotony Keep singing songs Just following the leader with your blah, blah, blah Keep singing songs That I could write in my sleep It's like I'm counting sheep   And this is not a fashion statement, it's elegant intuition Far beyond your bed wetter kindergarten compositions This is a part of me How can you sleep at night when what you don't bite you write half-heartedly? Go join the army And be the best you can be Give a new meaning to blowing up over seas, please! We kick those doors down when nobody would let us in And give you that proverbial taste of your own medicine We took your formula and relabeled it And sat patiently and giggled when you drank it Street voice and street cred run just about the same While flash in the pan bands pop bottles and drop names And you'll dismiss it cause it ain't what ya used to But who the fuck died and made you King Koopa?     Wow congratulations on your new purchase I heard you bought a crib on biters block downtown plagiarism's paradise You're not a movement You're purely amusement The poster boy for Xerox and the role model for parasites You serve no purpose You're purely decorative And bore use to death with your auditory sedatives Oh they don't see No, we don't sleep And hog tie your runaway bride with cold feet We built this city on lock and load logic And burned it down the same night So go ahead and put your tears on ice baby I think we got a winner And kiss your crucifix your boy's a certified sinner  ",0.9839,10,10,12,7,10,26,30,9,8,17
8,/songs/1192635,Gym Class Heroes,Blinded by the Sun,https://genius.com/Gym-class-heroes-blinded-by-the-sun-lyrics,http://api.genius.com/songs/1192635,The Quilt,2008-09-09," You told me it's the truth but I'm still afraid I'm not the one who would jump the gun If I had proof, I'd take off my shades And be blinded by the sun   One lie, two lies, I shoulda said shoe flies Shame on me, I usually see through lies Said you loved me, yeah right, I thought we were air tight You were playing foul, It was far from a fair fight I hung onto your every word, sweetest shit I ever heard I even made you pinky swear just so I was reassured The rumors started gettin back, that so and so was hittin' that Silly me for being such a 'natic for that kitty cat   You told me it's the truth but I'm still afraid I'm not the one who would jump the gun If I had proof, I'd take off my shades And be blinded by the sun You said you were in love but the games you played I hope that you're having fun You see I need you to take off my shades And be blinded by the sun   Three lies, four lies, you shoulda been a tour guide The way you led me on, knowing I was one of four guys Said you loved me, okay, where were you the other day? Your car was parked at 38th but you were at your mothers place? Your mother lives on Broadway, I followed you all day I called but you ignored it when you kissed him in the hallway Call me crazy, call me odd, call me what you want to But Karma is a bitch, I pray to God she always haunts you   You told me it's the truth but I'm still afraid I'm not the one who would jump the gun If I had proof, I'd take off my shades And be blinded by the sun You said you were in love but the games you played I hope that you're having fun You see I need you to take off my shades And be blinded by the sun   I wear my sunglasses at night So I can, so I can I wear my sunglasses at night So I can, so I can I wear my sunglasses at night So I can, so I can I wear my sunglasses at night So I can, so I can I wear my sunglasses at night So I can, so I can   You told me it's the truth but I'm still afraid I'm not the one who would jump the gun If I had proof, I'd take off my shades And be blinded by the sun You said you were in love but the games you played I hope that you're having fun You see I need you to take off my shades And be blinded by the sun",0.9887,14,18,9,16,25,36,33,11,11,30
9,/songs/1056749,Gym Class Heroes,Boys in Bands (Interlude),https://genius.com/Gym-class-heroes-boys-in-bands-interlude-lyrics,http://api.genius.com/songs/1056749,As Cruel as School Children,2007-07-25,"And so it goes  We mouth your words when your tongues are too paralyzed We finish up the peanut butter jelly that you get on your router but never eat  We still pee in bottles We play at your graduation parties We have fallen comrades We just rebuild the team  Our friends are rich and we love it Cause it makes us look wealthy too Shit, I still got a Sidekick 1 with a crack in the fucking screen man  We were your favorite ""I'm the first person to know about these guys"" band We dance to ""Use Me"" by Bill Winters in a drunken stupor or two Until Ma and Gary to tell us to go the fuck home and kick us out  We make mistakes, we love, we hate We're not angry anymore though Still miss you, still love you Like a slug hates salt and we're still your heroes",0.9811,6,2,6,4,8,11,11,4,4,8
