,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/185158,Hinder,2 Sides of Me,https://genius.com/Hinder-2-sides-of-me-lyrics,http://api.genius.com/songs/185158,All American Nightmare,2010-12-07," HEY!   This ain't a love song But don't get me wrong I'm gonna love you all night long While you're turnin' me on Til the lovin' and the liquor's gone But if you wanna like me Girl you better find me Before the sun goes down And if you wanna hate me It ain't gonna take me long just stick around It's like a match to gasoline I'm nice as hell 'til I get mean   I'll be your prom king early Mr. Clean charmin' your Momma at your front door And then your late night, bar fight Damn right I'm the guy passed out on your floor Don't gotta spin me around to see There ain't no in-between the 2 sides of me   This ain't rehab I ain't that bad Too many good times to be had I ain't hangin' my hat Til I'm stumblin' down that path But if you wanna like me Better catch me right before The shot goes down And if you wanna hate me I won't think you're crazy There's other girls in town Right now I'm Mr. Right But that ain't gonna last all night   I'll be your prom king early Mr. Clean charmin' your Momma at your front door And then your late night, bar fight Damn right I'm the guy passed out on your floor Don't gotta spin me around to see There ain't no in-between the 2 sides of me   I'll be your prom king early Mr. Clean charmin' your Momma at your front door And then your late night, bar fight Damn right I'm the guy passed out on your floor Don't gotta spin me around to see There ain't no in-between the 2 sides of me    Prom king early Mr. Clean charmin your Momma at your front door And then your late night, bar fight Damn right I'm the guy passed out on your floor Don't gotta spin me around to see There ain't no in-between the 2 sides of me The 2 sides of me ONE - TWO",15,5,8,10,9,20,17,11,4,11,0.5337
1,1,/songs/573608,Hinder,All American Nightmare,https://genius.com/Hinder-all-american-nightmare-lyrics,http://api.genius.com/songs/573608,All American Nightmare,2010-12-07,"Let's go! Nightmare! Rock!   Dressed head-to-toe Black on black Three bunnies in the back Of my Cadillac  With me it's gonna be A good story to tell Cash, grass, and ass On the highway to hell  Be careful what you wish for When you dream   I make the good girls bad And bad girls worse Nice guys are last Cause I'm always first  I'm a freak-show sucker For how it feels Turn the girl next door Into hell on heels  I'm red, white, blue, tattooed, and just don't care I'm your all-american nightmare   If you want to run away I can give you a ride I'm a one-way ticket To your darker side  Come with me Baby, let's lose some sleep  Don't mistake me for a dream   I make the good girls bad And bad girls worse Nice guys are last Cause I'm always first  I'm a freak-show sucker For how it feels Turn the girl next door Into hell on heels  I'm red, white, blue, tattooed, and just don't care I'm your all-american nightmare   They try to lock me up And throw away the key But they're never gonna hold down A freak like me  I'm an outcast, smoking grass, living for speed And I'll be anything you want But nothing less than that  Stick to me baby   I make the good girls bad And bad girls worse Nice guys are last Cause I'm always first  I'm a freak-show sucker For how it feels Turn the girl next door Into hell on heels  I'm red, white, blue, tattooed, and just don't care I'm your all-american nightmare I'm your all-american nightmare I'm your all-american nightmare   Yeah  And I'll be nothing less than that Yeah",15,8,12,22,10,30,16,21,5,15,-0.9886
2,2,/songs/1245323,Hinder,Anyone But You,https://genius.com/Hinder-anyone-but-you-lyrics,http://api.genius.com/songs/1245323,Welcome to the Freakshow,2012-08-30,"Sorry I didn't call Before I showed up here drunk and all Messed up from the last time we talked When you hung up on me  It's Saturday, it's three a.m But I'm not sorry that I'm here again And I'm going crazy thinking you're with him And I don't wanna leave  You alone for another minute In that bed without me in it  I've tried all there is to try I'm not ever saying a lie To make myself believe in something I know isn't true I've drank all there is to drink I've thought all there is to think I'll disappear forever, if you want me to And I'll find somebody new But I can't love anyone but you  Oooh Anyone but you (I can't love anyone)  I know you said we need a little break But that was six months ago, yesterday And it ain't like I counted the days But I can't take one more That's why I'm out here in the rain That's why I'm willing to take the blame That's why I only ever wanna say your name  I've tried all there is to try I'm not ever saying a lie To make myself believe in something I know isn't true I've drank all there is to drink I've thought all there is to think I'll disappear forever, if you want me to And I'll find somebody new But I can't love anyone but you (Anyone but you)  If this is want you want Then look me in the eye But I'm praying you won't Say your last goodbye  I've tried all there is to try I'm not ever saying a lie To make myself believe in something I know isn't true I've drank all there is to drink I've thought all there is to think I'll disappear forever, if you want me to And I'll find somebody new But I can't love anyone but you (I can't love anyone) Ooh (I can't love anyone) Anyone but you (I can't love anyone) (I can't love anyone) Anyone but you You said we need a little break But that was six months ago, yesterday I can't love anyone but you",5,4,4,4,12,6,13,5,3,4,-0.9965
3,3,/songs/478922,Hinder,Bad Mutha Fucka,https://genius.com/Hinder-bad-mutha-fucka-lyrics,http://api.genius.com/songs/478922,All American Nightmare,2010-12-07,"Alright  I'm laying in bed With a lit cigarette Can't say if last night Was a blonde or brunette  Megawatts is on the phone Keeps blowing me up And there's three shots of whiskey In my coffee cup  I'm a bad mutha fucka, heeh (Hehehehe) I'm a bad mutha fucka (I'M A BAD MUTHA FUCKA! Hehehe)  I can polish off a bottle In the blink of an eye I can drink all night And not pay a dime  Just to soon kick your ass As I take a piss Fuck, even Chuck Norris Don't want none of this  I'm a bad mutha fucka (Hehe)  I can pick up any chick I meet at the bar I can even take the one Right off of your arm  I got a woman at home Got a kid on the way I got a girl in New York And four more in L.A  I'm a bad mutha fucka (Mutha fucka, hehehe) I'm a bad mutha fucka (Hehe) (Hahaha)  I got hookers by the hand Four-five at a time But they're the ones paying me By the end of the night  Pimps hunt me down And try to get the cash And then me and Samuel Jackson Bust a cap in their ass  We're bad mutha fuckas (Hæh!) Bad mutha fuckas, come on (Hahaha)  Writing bad checks To the I.R.S I'm a master at passing Sobriety tests  (Hahaha!)  Selling dope to the Hot Topic Kids at the mall I'm like O.J. baby I get away with it all  (Hahaha!) It wasn't me (Hahaha!)  I'm a bad mutha fucka (Hehehe) And he's in jail mutha fucka, come on  I got a room in my house For my ten foot bong I'm pretty sure George Thorogood Wrote me a song  I'm a bad, bad, bad To the bone, mutha fucka  Bad to the bone (Bad mutha fucka!)  There's only one motherfucker that may be badder than me And that would be Rob Corddry (Hahaha)  By the way Before I sing this You should know I was raised Catholic  But I'm a virgin alterboy  (hahaha)  I get stoned on sunday Take my grandma to church I pick up all the girls In catholic skirts  Tell them that I got A big van full of toys Hell it looks better than the preacher Jerking off little boys  He's WORSE than a bad mutha fucka (Hahaha)  I'm a bad mutha fucka He's a bad bad man  (HAHAHA!) Just saying Don't even know what to call that Burning in hell?  My dad is so proud of me, hahaha (Hahaha)",26,8,23,26,7,30,16,26,1,11,-0.9982
4,4,/songs/187405,Hinder,Better Than Me,https://genius.com/Hinder-better-than-me-lyrics,http://api.genius.com/songs/187405,Extreme Behavior,2007-02-06, I think you can do much better than me After all the lies that I made you believe Guilt kicks in and I start to see The edge of the bed Where your nightgown used to be   I told myself I won’t miss you But I remembered What it feels like beside you   I really miss your hair in my face And the way your innocence tastes And I think you should know this You deserve much better than me   While lookin’ through your old box of notes I found those pictures I took That you were lookin’ for If there’s one memory I don’t wanna lose That time at the mall You and me in the dressing room   I told myself I won’t miss you But I remembered What it feels like beside you   I really miss your hair in my face And the way your innocence tastes And I think you should know this You deserve much better than me   The bed I’m lyin’ is getting colder Wish I never would’ve said it’s over And I can’t pretend I won’t think about you when I’m older Cause we never really had our closure This can’t be the end   I really miss your hair in my face And the way your innocence tastes And I think you should know this You deserve much better than me I really miss your hair in my face And the way your innocence tastes And I think you should know this You deserve much better than me   And I think you should know this You deserve much better than me And I think you should know this You deserve much better than me And I think you should know this You deserve much better than me And I think you should know this,10,10,3,1,2,5,14,5,1,9,0.9907
5,5,/songs/187397,Hinder,Bliss (I Don't Wanna Know),https://genius.com/Hinder-bliss-i-dont-wanna-know-lyrics,http://api.genius.com/songs/187397,Extreme Behavior,2005-09-27," I don't wanna know I don't wanna know I don't wanna know   I’ll go ahead and pour myself a drink I really couldn’t care less what you think Well I don’t have to listen now Live this day down If I can’t feel a thing  You might as well save your goodbyes We can give this train wreck one last ride I’m gonna have to listen now, live this day down If I don’t make things right  I’ll tell you, one last time:   I don’t wanna know it’s over, so save your goodbye kiss I don’t wanna know it’s over, 'cause ignorance is bliss I can hardly see what’s in front of me 'cause the vodka’s running on empty I can’t stay sober If it’s over   (I don’t wanna know) (I don’t wanna know) (I don’t wanna know) So save your goodbye kiss (I don’t wanna know) (I don’t wanna know) (I don’t wanna know) So save your goodbye kiss   I woke up, with my heartbeat in my head I reached for the bottle by the bed I saw your side was not slept in, cold sheets again Reminded me of what you said:  “We need to take a break for a while It’s been so long since I smiled I don’t wanna listen now, live this day down With you so drunk and high""  ""So, I’ll say goodbye""   I don’t wanna know it’s over, so save your goodbye kiss I don’t wanna know it’s over, 'cause ignorance is bliss I can hardly see what’s in front of me 'cause the vodka’s running on empty I can’t stay sober If it’s over   I don’t wanna know it’s over, so save your goodbye kiss I don’t wanna know it’s over, 'cause ignorance is bliss Now I know I can’t stay sober, 'cause you left me here like this I don't wanna know   (I don’t wanna know) (I don’t wanna know) (I don’'t wanna know) So save your goodbye kiss (I don’t wanna know) (I don’t wanna know) (I don’t wanna know)   Cause ignorance is bliss I can hardly see What’s in front of me Cause the vodka’s running on empty I can’t stay sober If it’s over If it’s over I don’t wanna know If it’s over If it’s over I don’t wanna know",1,8,1,1,17,6,45,1,8,34,0.9935
6,6,/songs/1469102,Hinder,Born to Be Wild,https://genius.com/Hinder-born-to-be-wild-lyrics,http://api.genius.com/songs/1469102,Extreme Behavior,2007-02-06,"C'mon!  Get your motor runnin' Head out on the highway Lookin' for adventure And whatever comes our way, hey!  Yeah, try and gonna make it happen Take the world in a love embrace Fire all of your guns at once and Explode into space  I like smokin' lightnin' And heavy metal thunder Racin' with the wind And the feelin' that I'm under, wow!  Yeah, try and go to make it happen Take the world in a love embrace Fire all of your guns at once and Explode into space  Like a true nature child We were born (born), born to be wild We can climb so high Never wanna die  Born to be wild (Born to be wild) Born to be wild (Born to be wild)  One, two, three, four!  Get your motor runnin' And head out on the highway We're lookin' for adventure And whatever comes our way, hey!  Yeah, try and go to make it happen Take the world in a love embrace Fire all of your guns at once and Explode into space  Like a true nature child We were born (born), born to be wild We can climb so high I never wanna die  Born to be wild (Born to be wild) Born to be wild (Born to be wild)  One, two, three, c'mon!  Born to be wild (Born to be wild) Born to be wild (Born to be wild)",6,10,0,11,10,22,12,5,20,5,0.9927
7,7,/songs/187141,Hinder,By The Way,https://genius.com/Hinder-by-the-way-lyrics,http://api.genius.com/songs/187141,Extreme Behavior,2007-02-06," In the winding down hours I let your heart down again (What’d I do to make a scene so gory?) (I’m no better than the ones before me) Old habits die hard I always end up hating the end (What’d I do to make a scene so gory?) (I’m no better than the ones before me)   I’m in the middle of a breakdown Watching you scream In the middle of a breakdown Screaming at me   And by the way By the way What made you think you’d have it your way And by the way By the way Don’t say I didn’t warn you That I’ll always stay the same   Speechless and frozen Uncomfortable silence again (What’d I do to make a scene so gory?) (I’m no better than the ones before me)   I’m in the middle of a breakdown Watching you scream In the middle of a breakdown Screaming at me   And by the way By the way What made you think you’d have it your way And by the way By the way Don’t say I didn’t warn you That I’ll always stay the same   Battered and bruised Broken, confused It’s time we both knew Can’t stop what I started This time we both lose Lose   And by the way By the way What made you think you’d have it your way And by the way By the way Don’t say I didn’t warn you That I’ll always stay the same The same, the same I’ll always stay the same (Battered and bruised) The same (Broken, confused), the same I didn’t warn you that I’ll always stay the same",12,6,9,18,0,24,3,10,8,7,-0.9857
8,8,/songs/2959403,Hinder,Dead To Me,https://genius.com/Hinder-dead-to-me-lyrics,http://api.genius.com/songs/2959403,When the Smoke Clears,2015-01-01,"So much for the pretty life I guess we're living on the darker side I thought ""I do"" meant until we die But I guess I was mistaken  You had me thinking you were Heaven sent But you were gone once the money was spent You're a nightmare that just won't end And I'm not even sleeping But I won't hurt anymore...  There's no more tears for me to cry No more lovin' you tonight I won't regret you I'll just forget you You're dead to me  There's no more pieces of my heart I've been broken down so far You took it all, selfishly You're dead to me  So much for a second chance I gave you one too many of them You can sweet talk a heartless man You stole it, then you broke it  Now you're begging down on your knees Ain't that where you like to be You can stay there until they bleed 'Cause I'm not giving in  There's no more tears for me to cry No more lovin' you tonight I won't regret you I'll just forget you You're dead to me  There's no more pieces of my heart I've been broken down so far You took it all, selfishly You're dead to me  I'd give you a chance to speak your mind But I know it'd be a lie Your not even worth the time It takes to say goodbye  There's no more tears for me to cry No more lovin' you tonight I won't regret you I'll just forget you You're dead to me  There's no more pieces of my heart I've been broken down so far You took it all away from me You took it all, selfishly You're dead to me (You took it all away) Ohh, dead to me (You took it all away) Ooh, you're dead to me Ohh, you're dead to me",6,5,1,8,3,21,6,14,6,3,-0.999
9,9,/songs/1455528,Hinder,Everybody's Wrong,https://genius.com/Hinder-everybodys-wrong-lyrics,http://api.genius.com/songs/1455528,All American Nightmare,2010-12-07, Sittin' here with an empty bottle Down to my last cigarette No missed calls and alcohol I guess that's all that I got left No one saw what you did to me this time And a million times before I look like a devil's child You're the one who slammed the door   Everybody thinks they know me You're the saint and I'm the phony But you're the one who faked it all along Everybody sees you cryin' Lyin' lookin' like you're dyin' Everybody knows what's goin' on But everybody's wrong   Ain't I the kind of guy your momma Told you not to hang around? Sure enough you know who's gonna Break your heart and bring you down But she never saw you out at midnight Actin' like you own the bar To me you ain't no angel's child I know who you are   Everybody thinks they know me You're the saint and I'm the phony But you're the one who faked it all along Everybody sees you cryin' Lyin' lookin' like you're dyin' Everybody knows what's goin' on   But everybody's wrong about the one who needs To let it out and just come clean I've lost it all but I can't be your loser anymore   Everybody thinks they know me You're the saint and I'm the phony But you're the one who faked it all along Everybody sees you cryin' Lyin' lookin' like you're dyin' Everybody knows what's goin' on  Everybody thinks they know me You're the saint and I'm the phony But you're the one who faked it all along Everybody sees you cryin' Lyin' lookin' like you're dyin' Everybody knows what's goin' on But everybody's wrong,5,10,5,1,9,10,9,2,7,7,0.8719
