,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/156359,Jason Aldean,1994,https://genius.com/Jason-aldean-1994-lyrics,http://api.genius.com/songs/156359,Night Train,2012-10-16," Now girl I know you used to the same old same But we ain't floatin' that boat, no we ain't ridin' that train Hop on my rocket ship and let's get outta here Let me put a little shimmer in your atmosphere   Now let's get outta this town, outta this club Girl whatever you're sippin' I'ma mix it up Take a few tick tocks off of your clock Put a little Third Rock in your hip-hop I got that   1994, Joe Diffie comin' out my radio I'm just a country boy with a farmer's tan So help me girl I'll be your pickup man How 'bout a night to remember and a fifth of Goose 'Bout to bust out my honky tonk attitude A little feel good you ain't never felt before I'm talkin' 1994   Hey Joe, Joe, Joe Diffie Joe, Joe, Joe Diffie Joe, Joe, Joe Diffie   Girl don't you worry, now your ship just came in So go on tell your mama, tell all your friends That your new favorite color is John Deere green Hop in this truck aka Time Machine   1994, Joe Diffie comin' out my radio I'm just a country boy with a farmer's tan So help me girl I'll be your pickup man How 'bout a night to remember and a fifth of Goose 'Bout to bust out my honky tonk attitude A little feel good you ain't never felt before I'm talkin' 1994   Hey Joe, Joe, Joe Diffie Joe, Joe, Joe Diffie Joe, Joe, Joe Diffie   Baby if you're lookin' for a good time Let me take you to the C-O-U-N-T-R-Y Now baby let's go, holler if you're with me Hey Joe, come on and teach us how to Diffie   1994, Joe Diffie comin' out my radio I'm just a country boy with a farmer's tan So help me girl I'll be your pickup man How 'bout a night to remember and a fifth of Goose 'Bout to bust out my honky tonk attitude A little feel good you ain't never felt before I'm talkin' 1994   Hey Joe, Joe, Joe Diffie Joe, Joe, Joe Diffie Joe, Joe, Joe Diffie Will the real Joe Diffie please stand up",0.9914,7,10,4,1,10,11,16,1,5,12
1,1,/songs/3441717,Jason Aldean,Ain't No Easy Way,https://genius.com/Jason-aldean-aint-no-easy-way-lyrics,http://api.genius.com/songs/3441717,"Old Boots, New Dirt",2014-10-07, There ain't no easy way For me to hear the things you need to say But go on and say 'em anyway Baby I can take it   There ain't no easy out We both know where this is goin' now Once its rollin' you can't turn around There ain't no way to fake it   Life is hard but love is harder And when love won't go any farther Tears won't put it back together Sorry don't make it no better When you run out of ways to stay   There ain't no easy way To look somebody in the face And tell them your feelings have changed And you can't do it anymore  The ain't no easy way You can try to keep on tryin' Act like love ain't really dyin' You can just hang on for so long You can only be just so strong When you've run out of ways to stay T Here ain't no easy way For me to hear the things you need to say But go on and say 'em anyway Baby I can take it Baby I can take it  There ain't no easy way,0.9759,1,2,1,1,7,2,8,1,1,2
2,2,/songs/2821812,Jason Aldean,A Little More Summertime,https://genius.com/Jason-aldean-a-little-more-summertime-lyrics,http://api.genius.com/songs/2821812,They Don't Know,2016-07-15," They boarding up this water town Ain't nobody hanging 'round Another grey September day Was I crazy to think she'd stay   If that sun would have just hung up in that sky Just a little bit, yeah, just a little bit longer If those blue water waves Could've stayed at our feet on the beach 'Stead of going out with the tide If that wind was a friend It'd still be blowing in, like a warm southern whisper on her (on her) She might have stayed forever and never ever left these arms If only I, had a little more summertime   I brace myself against the cold And let her memory take hold Stirring that old fire up As if I don't miss her enough   If that sun would have just hung up in that sky Just a little bit, yeah, just a little bit longer (longer) If those blue water waves Could've stayed at our feet on the beach 'Stead of going out with the tide If that wind was a friend It'd still be blowing in, like a warm southern whisper on her (on her) She might have stayed forever and never ever left these arms If only I, had a little more summertime Just a little more summertime  If that sun would have just hung up in that sky Just a little bit, yeah, just a little bit longer (longer) She might have stayed forever and never ever left these arms If only I, had a little more summertime",0.9301,2,3,1,3,7,3,9,4,3,6
3,3,/songs/2856792,Jason Aldean,All Out Of Beer,https://genius.com/Jason-aldean-all-out-of-beer-lyrics,http://api.genius.com/songs/2856792,They Don't Know,2016-09-09," If you'd got here 'fore my buzz kicked in I'd a told you where to go, I'd a never let you in Crashed out on the couch waitin' on that sun to come up I'd probably still be hating on you Saying I'm just glad it's over, actin' like that was the truth I'd still have my walls, girl, I wouldn't care at all   So why you gotta wait until I'm gone to come around When I ain't got no fight left I got no way out When I'm 12 in, helpless The only time you show up here is when you're lonely And I'm all out of beer   I wish that you'd go find somebody new And I wish I had it in me, to just have one or two I wish I could draw a line, stick to it just one time But I'm drunk tonight, so never mind   So why you gotta wait until I'm gone to come around When I ain't got no fight left I got no way out When I'm 12 in, helpless The only time you show up here is when you're lonely And I'm all out of beer   You got me where you want me girl, no I can't stand it Looks like tonight's gonna go just the way you planned it   So why you gotta wait until I'm gone to come around When I ain't got no fight left I got no way out When I'm 12 in, helpless The only time you show up here  Is when I'm 12 in, helpless Girl you know I'm gonna give in When you're lonely And I'm all out of beer  When you're lonely And I'm all out of beer",-0.4976,8,10,4,12,6,15,9,9,1,5
4,4,/songs/150476,Jason Aldean,Amarillo Sky,https://genius.com/Jason-aldean-amarillo-sky-lyrics,http://api.genius.com/songs/150476,Jason Aldean,2006-06-26," He gets up before the dawn Packs a lunch and a thermos full of coffee It's another day in the dusty haze Those burnin' rays are wearin' down his body The diesel's worth the price of gold It's the cheapest grain he's ever sold But he's still holdin' on   He just takes the tractor another round And pulls the plow across the ground And sends up another prayer He says, ""Lord, I never complain, I never ask 'Why?' Please don't let my dreams run dry Underneath, underneath this Amarillo Sky""   That hail storm back in '83 Sure did take a toll on his family But he stayed strong and carried on Just like his Dad and Granddad did before him On his knees every night He prays, ""Please let my crops and children grow"" 'Cause that's all he is ever known   He just takes the tractor another round And pulls the plow across the ground And sends up another prayer He says, ""Lord, I never complain, I never ask 'Why?' Please don't let my dreams run dry Underneath, underneath this Amarillo Sky""   And he takes the tractor another round. (Another round) Another round (Another round), another round And he takes the tractor another round, another round He says, ""I never complain, I never ask 'Why?' Please do not let my dreams run dry Underneath, underneath this Amarillo Sky"" ""Underneath this Amarillo Sky""",0.7752,4,3,2,1,3,8,17,3,1,9
5,5,/songs/2856795,Jason Aldean,Any Ol' Barstool,https://genius.com/Jason-aldean-any-ol-barstool-lyrics,http://api.genius.com/songs/2856795,They Don't Know,2016-09-09," I guess you heard I was pedal to the metal on a downhill slide Girl, you know those rumors get to flyin' in a town this size No, I didn't feel a thing when you threw that ring and slammed the door If you wanna know the truth you gotta go straight to the source   Ask any ol' barstool in this town Ask my new found party crowd Sure I take more Jack in my Coke now A little more high in my smoke now Sure I stay 'til they're all long gone And I take the long way home But I ain't sittin' 'round Tryin' to drown The thought of you Ask any ol' barstool   I can finally stretch out in our king size bed if I make it that far But fillin' in all these blanks you left isn't all that hard No, I ain't wonderin' where you been or who you been with I guess you didn't hurt me half as bad as you think you did   Ask any ol' barstool in this town Ask my new found party crowd Sure I take more Jack in my Coke now A little more high in my smoke now Sure I stay 'til they're all long gone And I take the long way home But I ain't sittin' 'round Tryin' to drown The thought of you Ask any ol' barstool   Yeah, you think I'm down and out, hidin' out, hell-bent crazy But that ain't me, baby   Ask any ol' barstool in this town Ask my new found party crowd Sure I take more Jack in my Coke now But I'm a long way from broke down Sure I stay 'til they're all long gone And I take the long way home But I ain't sittin' 'round Tryin' to drown The thought of you Ask any ol' barstool Ask any ol' barstool   I guess you heard I was pedal to the metal on a downhill slide",-0.4664,4,11,3,8,5,9,7,9,4,5
6,6,/songs/2195819,Jason Aldean,Are the Good Times Really Over,https://genius.com/Jason-aldean-are-the-good-times-really-over-lyrics,http://api.genius.com/songs/2195819,Working Man's Poet: A Tribute To Merle Haggard,2014-04-01," I wish a buck was still silver It was back when the country was strong Back before Elvis And before the Vietnam war came along Before The Beatles and 'Yesterday' When a man could still work, and still would Is the best of the free life behind us now And are the good times really over for good   Are we rolling down hill Like a snowball headed for hell With no kind of chance For the flag or the Liberty Bell I Wish a Ford and a Chevy Would still last ten years, like they should Is the best of the free life behind us now Are the good times really over for good   I wish Coke was still Cola And a joint was a bad place to be It was back before Nixon lied to us all on TV Before microwave ovens When a girl could still cook and still would Is the best of the free life behind us now And are the good times really over for good   Are we rolling down hill Like a snowball headed for hell With no kind of chance For the flag or the Liberty Bell I wish a Ford and a Chevy Would still last ten years, like they should Is the best of the free life behind us now Are the good times really over for good  Stop rolling down hill Like a snowball headed for hell Stand up for the flag And let's all ring the Liberty Bell Let's make a Ford and a Chevy It'll still last ten years like they should Is the best of the free life is still yet to come And the good times ain't over for good",0.9973,4,18,4,6,15,6,16,4,16,15
7,7,/songs/193968,Jason Aldean,Asphalt Cowboy,https://genius.com/Jason-aldean-asphalt-cowboy-lyrics,http://api.genius.com/songs/193968,Jason Aldean,2005-07-26," The sun has opened up my eyes And I don't wanna leave your side For that lonesome road But here I go Climbin' back behind the wheel Of fifty feet of chrome and steel And a load they need in Chicago   Through the middle of the night unknown I am on a ride that won't let me go   I am an asphalt cowboy Born to run underneath the stars Pay no mind to my lonely heart I just ride, ride 'Til I'm back in your arms again I'll be out here on the wind   And sometimes late at night I see your picture by the dashboard light And it takes me Where I'd like to be Wrapped up in a blanket there Pulling ribbons from your hair, and your kiss Girl, thats what I miss   Still I drive these horses through the rain and snow This high-speed rodeo is all I know   I am an asphalt cowboy Born to run underneath the stars Pay no mind to my lonely heart I just ride, ride 'Til I'm back in your arms again I'll be out here on the wind   And I'll ride 'Til I'm back in your arms again I'll be out here on the wind And I'll ride Through the middle of the night unknown I'm on a ride that won't let me go",-0.8371,3,9,2,4,7,7,8,5,3,8
8,8,/songs/127616,Jason Aldean,Back in This Cigarette,https://genius.com/Jason-aldean-back-in-this-cigarette-lyrics,http://api.genius.com/songs/127616,Relentless,2007-05-29," It's 2A.M. in my new home This motel room An ashtray full of lucky strikes A half spent case of warm Bud Lite   Countin' regrets Fghtin' back tears Retracin' steps Gettin' nowhere   Callin' your name, it's a waste of my breath There's no reachin' you across this cold and empty bed Stirrin' up ashes, tryin' to find passion where there's no love left It's like tryna put smoke back... in this cigarette   Come sunrise, guess I'll check out And ditch this town Put a few more miles between us And keep drivin' 'til I finally mend this broken trust   Hangin' my hopes On highway signs If I lie here I'll lose my mind   Callin' your name, it's a waste of my breath There's no reachin' you across this cold and empty bed Stirrin' up ashes, tryin' to find passion where there's no love left It's like tryna put smoke... back in this cigarette   I may never know Your reasons why But someday I'm gonna see the good In your goodbye   Callin' your name, it's a waste of my breath There's no reachin' you across this empty bed Stirrin' up ashes, tryin' to find passion where there's no love left It's like tryna put smoke... back in this cigarette",0.8551,4,6,6,3,10,18,12,5,6,7
9,9,/songs/2856783,Jason Aldean,Bad,https://genius.com/Jason-aldean-bad-lyrics,http://api.genius.com/songs/2856783,They Don't Know,2016-09-09," When you're good, girl you're good Doing every little thing exactly like you should So sweet, with your angel eyes just killin' me On the porch, blue sky Yeah you hold my hand say you want to take a Sunday drive It's all good, when you're good   But when you're bad And you're lookin' at me just like that Reach up and you take my hat and you turn it around Steal my drink and you shoot it on down When you're wild, child, flashin' that come here smile Spinnin' in your little red dress Show a little too much When you dance like that Sayin' look don't touch I never know what I'll get when we get together When you're good, you're good But when you're bad, you're better   When you're good, girl you're good When you're countin' the stars in the sky layin' back On the hood, talkin' 'bout How you want to stay here 'til the moon goes out With your head, on my chest One innocent little kiss Aw it's so good, so good, when you're good   When you're bad And you're lookin' at me just like that Reach up and you take my hat and you turn it around Steal my drink and you shoot it on down When you're wild, child, flashin' that come here smile Spinnin' in your little red dress Show a little too much When you dance like that Sayin' look don't touch I never know what I'll get when we get together When you're good, you're good But when you're bad, you're better   Yeah I love every side of you All the wrong and the right of you All the day and the nighttime too But you're the best I've ever had   When you're bad And you're lookin' at me just like that Reach up and you take my hat and you turn it around Steal my drink and you shoot it on down When you're wild, child, flashin' that come here smile Spinnin' in your little red dress Show a little too much When you dance like that Sayin' look don't touch I never know what I'll get when we get together When you're good, you're good But when you're bad, you're better Girl when you're bad you're better",0.9952,15,22,8,14,29,19,35,11,24,31
