,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/4213480,Jason Derulo,Addicted,https://genius.com/Jason-derulo-addicted-lyrics,http://api.genius.com/songs/4213480,None,2010-02-10," Spadez and Derulo!   Look at her, look at her Call me crazy if she ain't the finest thing in this place, in this place Type of girl would hate to see you go with love to watch or walk away, girl walk away I get the feelin' that she's willin' to be all mine, mine When she's wit' it I'm addicted to her back side (side)   So addicted, bottoms got an apple in it, wanna feel it Bottoms got an apple in it So addicted, bottoms got an apple in it, wanna feel it Bottoms got an apple in it Her back is so ridonkulous, it's so ridonkulous Her back is so ridonkulous Her momma put her onto this Her back is so ridonkulous How did she get this way? Her back is so, her back is so, her back is so ridonkulous   Shawty, what's in your pants? I think you got an apple in 'em Come back to the tele, girl, I'm tryina get you out that denim Girl, that thing be killin' me, you got that booty venom If them buns is in my vision, I'ma go ahead and get em I love it when you walkin', donk is movin' left and right Baby, I'm addicted and I wanna taste you're cake all night   So addicted, bottoms got an apple in it, wanna feel it Bottoms got an apple in it So addicted, bottoms got an apple in it, wanna feel it Bottoms got an apple in it Her back is so ridonkulous, it's so ridonkulous Her back is so ridonkulous Her momma put her onto this Her back is so ridonkulous How did she get this way? Her back is so, her back is so, her back is so ridonkulous   Damn, it's so ridonkulous, i wanna just hop onto this I ain't the violent type, but baby, I just wanna hit Your momma gave it to you and I gotta thank her for it Booty like a soccer ball, ooh, and I just gotta score it I got a proposition, baby, take a gander Let me get that apple and I'll give you this banana Drop it on my wood, up and down like a hammer Bedroom gettin' steamy, shawty hot like the Savannah Desert, Desert Damn!",0.8818,10,3,7,7,6,17,10,12,2,0
1,/songs/4412453,Jason Derulo,All We Need Is Us*,https://genius.com/Jason-derulo-all-we-need-is-us-lyrics,http://api.genius.com/songs/4412453,Unreleased Tracks,2016-08-21,"(Verse 1) We signed up for the long run Love is a race and a marathon If our hearts beat at the same pace We'll be there till we're both gone (Oh yeah)  (Chorus) All I need is you All you need is me All we need is us Right now, now, now Even if the world was ending tomorrow, oh All we need is us, right now, now, now  (Verse 2) Forever's a long time But you get every minute that I got (Oh) No one deserves all of mine We will be here till the clock stops  (Chorus) All I need is you All you need is me All we need is us Right now, now, now Even if the world was ending tomorrow, oh All we need is us, right now, now, now  (Chorus) All I need is you All you need is me All we need is us Right now, now, now Even if the world was ending tomorrow, oh All we need is us, right now, now, now",-0.2732,0,7,0,0,1,0,4,0,0,0
2,/songs/3241193,Jason Derulo,Automatic,https://genius.com/Jason-derulo-automatic-lyrics,http://api.genius.com/songs/3241193,Unreleased Tracks,2011-03-08," J Jason Derulo!   Right in front of me Right out my dreams Feel my heartbeat to the way you move The energy pourin' into me Girl, you shocked me with your electricity   We can control the magic between us Tell me you feel the love all around us, yeah Girl, let’s make love to the rhythm Sit back and enjoy the ride Uh-huh-huhhh, uhh, uhh Uh-huh-huhhh, uhh, yeah yeah yeah   We’re movin' automatic, matic, ohh! We’re movin' automatic, matic (matic, matic, matic) We’re movin' auto matic, ohh! We’re movin' automatic, matic, matic, matic (matic, matic)   Right in front of me Right out my dreams Feel my heartbeat to the way you move The energy pourin' into me Girl, you shocked me with your electricity   We can control the magic between us Tell me you feel the love all around us, yeah Girl, let’s make love to the rhythm Sit back and enjoy the ride Uh-huh-huhhh, uhh, uhh Uh-huh-huhhh, uhh, yeah yeah yeah   We’re movin' automatic, matic, ohh! We’re movin' automatic, matic (matic, matic, matic) We’re movin' auto matic, ohh! We’re movin' automatic, matic, matic, matic (matic, matic)   Everybody’s watchin', let’s put on a show Put your arms around me, right above the floor Oh, oh oh oh oh, oh, oh oh oh oh, oh oh, ohhh oh oh Ohhh oh oh, oh oh, oh oh oh oh, oh oh, ohhh oh oh Oh oh oh oh ohhhhhh yeah!",0.9928,0,2,0,0,6,0,10,0,0,9
3,/songs/3889397,Jason Derulo,Bad Behavior,https://genius.com/Jason-derulo-bad-behavior-lyrics,http://api.genius.com/songs/3889397,None,2018-08-10," Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah   You a good girl, that's the way California raised ya You looking good, girl, huh, shaking what your mama gave ya You know it's alright, 'cause we all naughty by nature It's a good night For a little bit of bad behavior   Just a little bit (Hey, hey, hey, hey, hey, hey, hey) Ba-bad behavior (Hey, hey, hey, hey) Just a little bit (Hey, hey, hey)   Your body bananas (Girl) In them itty, bitty, bitty, bitty jeans Pardon my manners (Yeah, yeah, yeah, girl) I have many, many, many, many dreams (Yeah, yeah, yeah)   I-I-I-I-I-I-I Deep down, we're only animals I-I-I-I-I-I-I Show me that freaky side of you   You a good girl, that's the way California raised ya You looking good, girl, huh, shaking what your mama gave ya You know it's alright, 'cause we all naughty by nature It's a good night For a little bit of bad behavior   Just a little bit (Hey, hey, hey, hey, hey, hey, hey) Ba-bad behavior (Hey, hey, hey, hey) Just a little bit (Hey, hey, hey)   I'ma make you come back like a boomerang I'ma make you talk down like Pootie Tang I'ma bo-bo-boom, boom, bo-bo-boom, boom Give me that pu-pu-pum, pum, pu-pu-pum, pum Remember when you walked in all serious Now you like a freshman, bi-curious It's like bo-bo-boom, boom, bo-bo-boom, boom You want that pu-pu-pum, pum, pu-pu-pum, pum   I-I-I-I-I-I-I Deep down, we're only animals I-I-I-I-I-I-I Show me that freaky side of you   You a good girl, that's the way California raised ya You looking good, girl, huh, shaking what your mama gave ya You know it's alright, 'cause we all naughty by nature It's a good night For a little bit of bad behavior   Just a little bit (Hey, hey, hey, hey, hey, hey, hey) Ba-bad behavior (Hey, hey, hey, hey) Just a little bit (Hey, hey, hey) Slow it down on 'em (Hey, hey, hey) Just a little bit (Hey, hey, hey, hey) Ba-bad behavior (Hey, hey, hey, hey) Just a little bit (Hey, hey, hey)   Drop the bass on 'em Bo-bo-boom, boom, bo-bo-boom, boom (Yeah, yeah, yeah) Give me that pu-pu-pum, pum, pu-pu-pum, pum (Yeah, yeah, yeah) I'm-I'm bo-bo-boom, boom, bo-bo-boom, boom (Yeah, yeah, yeah) Give me that pu-pu-pum, pum, pu-pu-pum, pum (Yeah, yeah, yeah)   You a good girl, that's the way California raised ya You looking good, girl, huh, shaking what your mama gave ya You know it's alright, 'cause we all naughty by nature It's a good night For a little bit of bad behavior   Just a little bit (Hey, hey, hey, hey, hey, hey, hey) Ba-bad behavior (Hey, hey, hey, hey) Just a little bit (Hey, hey, hey) Just a little bit (Hey, hey, hey, hey, hey, hey, hey) Ba-bad behavior (Hey, hey, hey, hey) Just a little bit (Hey, hey, hey)",0.9959,10,13,10,14,12,18,14,10,12,15
4,/songs/115334,Jason Derulo,Be Careful,https://genius.com/Jason-derulo-be-careful-lyrics,http://api.genius.com/songs/115334,Future History,2011-09-16," Have you ever had the feeling you were being watched? Footsteps behind you like a shadow when you walk? Can’t tell if your mind is playing tricks or not? Ayy, ayy, ayy, ayy, no What I’m going through is now a rock in my brain Thinking 'bout like do I got any enemies? Where I’ve been, what I did, what did I say? Ayy, ayy, ayy, ayy, no, woah   Come to think of it, I remember one chick That I was messing with while I was in Connecticut I met her after my show, I took her back to my room The next day I had to go, I never thought it would   Get (get) this deep (deep) Now I got this problem following me (ayy) You better be careful, better be careful, better be careful Whose heart (heart) you’ll break (break) You’re never knowing what she’ll do or say (say) Will send ’em over the edge so, next time I’ll be careful   Yeah, I’m getting letters every other day addressed to me Saying, ""Dear Jason, you and I were meant to be"" Tell me you feel the same or it will be the death of me Ayy, ayy, it gets worse now She reaching out to all my people, friends and family (look) Got me so paranoid; I’m stacking up security (woah) It’s getting crazy here, it’s difficult for me to sleep Ayy, ayy, ayy, ayy, you know   Now all I’m thinking is, how do I get out of this? I’m feeling kind of sick, damn, this is some crazy shit I met her after my show, I took her back to my room The next day I had to go, I never thought it would   Get (get) this deep (deep) Now I got this problem following me (ayy) You better be careful, better be careful, better be careful Whose heart (heart) you’ll break (break) You’re never knowing what she’ll do or say (say) Will send ’em over the edge so, next time I’ll be careful Yeah, oh, I'll be careful Oh, yeah, woah, yo, yo   This got so out of control, I learned my lesson now so Oh, oh, oh, oh, oh, oh, oh, be careful (yeah, yeah) She’s holding, no won’t let go (oh), she wants a piece of my soul (oh) Oh, oh, oh, oh, oh, oh, oh, be careful (yeah, yeah)   I met her after my show, I took her back to my room The next day I had to go, I never thought it would   Get (get) this deep (deep) Now I got this problem following me (ayy) (following me) You better be careful, better be careful, better be careful Whose heart (heart) you’ll break (break) (whose heart you'll break) You’re never knowing what she’ll do or say (say) (or say) Will send ’em over the edge so I never thought it would get (get) this deep (deep) Now I got this problem following me (ayy) You better be careful, better be careful, better be careful Whose heart (heart) you’ll break (break) You’re never knowing what she’ll do or say (say) (or say) Will send ’em over the edge so, next time I’ll be careful Oh, yeah, be careful",0.9784,9,12,7,12,4,16,30,11,13,8
5,/songs/1637824,Jason Derulo,Bleed Out,https://genius.com/Jason-derulo-bleed-out-lyrics,http://api.genius.com/songs/1637824,Future History,2011-09-16," This isn't love This isn't love, oh Ayy, I love hard love Why you wanna put a gun on my heart? I just gotta say, ayy, oh I just gotta say, ayy, oh   I've always loved hard, so I took it slow I guess it's my fault 'cause I'm on the go But I always cared for you Not saying I'm perfect, not even close But I don't deserve this but, girl, I suppose I wasn't there for you enough 'cause   You're coming home late, with nothing to say Can't look me in my face, I can't live on this way Can't live on this way Can't live on this way, hey, hey, hey You put a thorn in my heart (heart) That's when it starts (starts) Just a little tear (tear), just a little tear (tear) That's when I bleed (oh, oh, oh)   When I bleed (bleed), I bleed out (out) When I cry (cry), I cry loud (loud) When I love, you can bet I'm all in But when you leave, I bleed out When I bleed (bleed), I bleed out (out) When I cry (cry), I cry loud (loud) When I love, you can bet I'm all in But when you leave, I bleed out   I look in those eyes, there's nothing there I'm looking into, the coldest stare I've ever seen We haven't touched each other forever Don't know what I'd do, if we're not together I'm not ready to leave, no, baby, baby, no, oh   You're coming home late, with nothing to say Can't look me in my face, I can't live on this way Can't live on this way (this way) Can't live on this way, hey, hey, hey You put a thorn in my heart (heart) That's when it starts (starts) Just a little tear (tear), just a little tear (tear) That's when I bleed (oh, oh, oh)   When I bleed (bleed), I bleed out (out) When I cry (cry), I cry loud (loud) When I love, you can bet I'm all in But when you leave, I bleed out When I bleed (bleed), I bleed out (out) When I cry (cry), I cry loud (loud) When I love, you can bet I'm all in But when you leave, I bleed out   Ayy, I love hard love Why you wanna put a gun on my heart? I just gotta say, ayy, oh I just gotta say, ayy, oh Ayy, I love hard love (love hard) Why you wanna put a gun on my heart? I just gotta say, ayy, oh I just gotta say, ayy, oh (woo)   When I bleed (bleed), I bleed out (out) When I cry (cry), I cry loud (loud) When I love, you can bet I'm all in But when you leave, I bleed out When I bleed (bleed), I bleed out (out) When I cry (cry), I cry loud (loud) When I love, you can bet I'm all in But when you leave, I bleed out When I bleed, I bleed out When I cry, I cry load When I love, you can bet I'm all in When you leave, I bleed out",-0.9993,4,9,0,3,19,37,23,31,9,5
6,/songs/114930,Jason Derulo,Blind,https://genius.com/Jason-derulo-blind-lyrics,http://api.genius.com/songs/114930,Jason Derulo,2010-03-02," Never thought that I'd say I wish I didn't love you ever since the first date When you got close, my heart would just stop Thought me and you together would end up on top You changed me for better, for worse I know I was caught up, always put you first I never once thought you would be trifling But oh, I was blinded   I was like (oh, oh, oh) Haha, never wanna let you (go, go, go) 'Cause I was open before (I was open before) But now I know   That love made me blind, so I couldn't see All the lies you told were right in front of me Since love made me blind, you made a fool of me You made it look so perfect when it wasn't meant to be Your love made me blind (blind) Your love made me blind (blind) Your love made me blind (blind) Your love made me blind (blind)   I gave all of my trust Didn't think being faithful was asking too much But I'm good, glad that I know now I was fooled but fate let me see how They say every tear has its reasons Every smile has its own season Never once thought you'd be this trifling But oh, I was blinded   I was like (oh, oh, oh) Haha, never wanna let you (go, go, go) 'Cause I was open before (I was open before) But now I know   That love made me blind, so I couldn't see All the lies you told were right in front of me Since love made me blind, you made a fool of me You made it look so perfect when it wasn't meant to be Your love made me blind (blind) Your love made me blind (blind) Your love made me blind (blind) Your love made me blind (blind)   'Cause I felt your lips pressed against mine Though the sweet smell of your perfume was all mine I love the way you scream my name, oh, woah   That love made me blind, so I couldn't see All the lies you told were right in front of me Since love made me blind, you made a fool of me You made it look so perfect when it wasn't meant to be Your love made me blind (blind) Your love made me blind (blind) Your love made me blind (blind) Your love made me blind (blind)",-0.9992,5,12,8,2,27,42,30,4,4,9
7,/songs/64016,Jason Derulo,Breathing,https://genius.com/Jason-derulo-breathing-lyrics,http://api.genius.com/songs/64016,Future History,2011-09-19," Oh, woah, oh Yeah, yeah   I only miss you when I'm breathing (uh) I only need you when my heart is beating You are the color that I'm bleeding (uh) I only miss you when I'm breathing This ain't no ordinary feeling You are the only thing that I believe in I know you're coming back to me, and I will be waiting here for you 'til the end   I only miss you when I'm breathing (breathing) I only miss you when I'm breathing (breathing) Without your love, don't know how I survive It's you, it's you that's keeping me alive I only miss you when I'm breathing Woo Aye-aye-aye-aye-aye-aye-oh Aye-aye-aye-aye-aye-aye-oh Aye-aye-aye-aye-aye-aye-oh   I wanna see pictures of you leaning On these four walls and on the ceiling Gave you a kiss, but I'm dreaming These crazy thoughts are so deceiving You are the drug, I am feining Paradise that I'm still seeking I'm still alive, hope there's a reason Can't move my lips, but my heart is screaming   I only miss you when I'm breathing (breathing) I only miss you when I'm breathing (breathing) Without your love, don't know how I survive It's you, it's you that's keeping me alive I only miss you when I'm breathing Oh, oh, oh, breathing, woo Aye-aye-aye-aye-aye-aye-oh Aye-aye-aye-aye-aye-aye-oh (oh, baby, I only miss you when I) Aye-aye-aye-aye-aye-aye-oh   I'm screaming out your name, but you don't answer me I know I kissed your face, is this my fantasy? So sound the alarm Tell everyone that I only miss you   I only miss you when I'm breathing (breathing) (yeah, babe, yeah, babe) I only miss you when I'm breathing (breathing) (when I'm breathing, when I'm breathing) Without your love, don't know how I survive It's you, it's you that's keeping me alive (aye-aye-aye-aye-aye-aye-oh) I only miss you when I'm breathing (aye-aye-aye-aye-aye-aye-oh) Hey, hey, woo, hey (aye-aye-aye-aye-aye-aye-oh) I only miss you when I'm breathing",-0.4402,5,9,4,7,11,8,73,4,4,12
8,/songs/1869277,Jason Derulo,Broke,https://genius.com/Jason-derulo-broke-lyrics,http://api.genius.com/songs/1869277,Everything Is 4,2015-03-29," Mo' money, mo'-mo' money Mo' money, mo' problem Oh yeah   If I was flipping burgers on the night shift Would you choose me? (Ooh) Would you let me take you home If I drove a hooptie? (Ooh)   'Cause every time I see you, I be screaming ""Hallelujah"" But you're all about the Benjamins, I see right through ya (oh)   I'm still gonna get stoned So you could go ahead and break your bones 'Cause all I've ever been told Mo' money, mo' problems, so I'd rather be broke (woo)   Ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy (drums) Ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy And all my people say, woah (haha, yeah) And all my people say, woah Mo' money, mo' problems So I'd rather be broke (woo)   You just want one thing My love ain't enough I was so busy tryna make this shit last That I didn't notice she was chasing my cash   'Cause every time I see you, I be screaming ""Hallelujah"" (oh) But you're all about the Benjamins, I see right through ya (oh)   I'm still gonna get stoned So you could go ahead and break your bones (break your bones) 'Cause all I've ever been told Mo' money, mo' problems, so I'd rather be broke (drums)   Ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy (drums) Ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy (woo-hoo) And all my people say, woah (oh) And all my people say, woah Mo' money, mo' problems So I'd rather be broke (woo)   Ooh, yeah, yeah (haha) Whatcha gonna do when you're out of favors? Are you gonna chase this paper? (yeah) Whatcha gonna do when the good Lord age ya? Are you gonna chase this paper? Woah (woah), woah (woah), woah   'Cause all I've ever been told Mo' money, mo' problems So I'd rather be broke Stevie ready for 'em   Ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy Ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy Mo' money, mo' problems So I'd rather be broke   Say, say, mo' money, mo'-mo' money Mo' money, mo' problems, baby (yeah, woah) Mo' money, mo'-mo' money Mo' money, mo' problem, babe (aw yeah)   Mo' money, mo' problems So I'd rather be broke Ah, mmm, gotta get this damn TV fixed, yeah",-0.9946,21,21,5,20,20,26,23,17,20,20
9,/songs/4262225,Jason Derulo,Broken Record,https://genius.com/Jason-derulo-broken-record-lyrics,http://api.genius.com/songs/4262225,None,2009-12-18," Girl you've been good to me for so long And I know what I did was wrong But this time, this time, this time, I'ma change I won't lie to you no more I know you heard this song before But this time,this time, this this time,is not the same   Take a, take a, take a, another chance I know I don't deserve to have your love ever again But I need you baby yeahh How can I make it, make it, make it up to you Your wish is my command give me your hand and I'll do Cuz it hurts me when you say   I sound like a broken record, record, record A broken record, record, record All the times I said I was gonna change I'ma sound like a broken record A broken record, record, record Every time I lie, your ears bleed with pain Form the sounds of a broken record   I didn't know what I had till you left Since you've been gone my life's been a mess I'm sorry, sorry, sorry, I'm too blame The times you took me back, it got worse Wish I could take back all the hurt I'm sorry, sorry, so-sorry, I'm ashamed   Take a, take a, take a, another chance I know I don't deserve to have your love ever again But I need you baby yeahh How can I make it, make it, make it up to you Your wish is my command give me your hand and I'll do Cuz it hurts me when you say   I sound like a broken record, record, record A broken record, record, record All the times I said I was gonna change I'ma sound like a broken record A broken record, record, record Every time I lie, your ears bleed with pain Form the sounds of a broken record",-0.9901,19,15,6,19,5,23,9,20,3,5
