,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/1486197,Jason Mraz,"10,000 Motherfuckers (That'll Do)",https://genius.com/Jason-mraz-10000-motherfuckers-thatll-do-lyrics,http://api.genius.com/songs/1486197,Sold Out (In Stereo),2002-10-15,"When I wake up And the day begins Do I hold my breath And count to ten Or will it be three We'll see We'll see It depends on which day of the week So I sing out I sing out loud I'm just one tiny motherfucker singing proud Singing glory Glory Hallelujah Yeah, that'll do Yeah, that'll do In the arms Of a city That holds no trace For this friendly face of you and me Go make your life Not a living Singing glory Glory Hallelujah Yeah, that'll do There's things to know And so we're told But the days Keep rolling on so painfully slow They say there's ways to grow But blow by blow You see, it all gets lost somewhere See, I already forgot So sing out loud Sing out loud You can be another motherfucker singing proud Singing glory Glory Remind me, glory, glory, glory, hallelu . .  We should all keep pretending That our dreams are patent pending You should see Some of the scenes that I've seen And I know love Because I've flown above And beyond But it's still too long of a wait So I sing out I sing out loud We can be 10,000 motherfuckers singing proud Sing out glory, glory, glory, glory, hallelu . .  Yeah, that'll do Yeah, that'll do I'll sing my stories for you And you will sing for me, too And together We can make it through They say When you sing you're praying twice Don't that sound nice So, rise up Come on, and give it a try So sing out Sing out loud We can be 6 billion motherfuckers singing proud Oh, sing it loud Sing glory Glory, glory, glory Hallelu . . . hallelu . . . hallelu . .  Hal . . . hal . . . hallelu . . . hallelu . . . jah . .  Hallelujah Hallelu . .  Oh, say hallelu . .",0.9985,1,39,0,0,38,4,41,16,0,39
1,1,/songs/206633,Jason Mraz,3 Things,https://genius.com/Jason-mraz-3-things-lyrics,http://api.genius.com/songs/206633,Yes!,2014-07-11," There are three things I do when my life falls apart Number one: I cry my eyes out and dry up my heart Not until I do this will my new life start So that’s the first thing that I do when my life falls apart   Well the second thing I do is I close both of my eyes And sing my thank yous to each and every moment of my life I go where I know the love is and let it fill me up inside Gathering new strength from sorrow I’m glad to be alive   And things are looking up I know above the clouds the sun is shining Things are looking up Love is still the answer I'm relying on Three little things Things are looking up   Well the third thing that I do now when my world caves in Is I pause, I take a breath and bow And I let the chapter end I design my future bright Not by when my life has been And I try try try try, try again Yes I try try try try, try again   Things are looking up I know beyond the dark the sun is rising Things are looking up And I know above the clouds the sun is shining Things are looking up Uh, love is still the answer I'm relying on Three little things Three little things",0.9788,0,10,0,1,12,4,13,6,3,7
2,2,/songs/71412,Jason Mraz,5/6,https://genius.com/Jason-mraz-5-6-lyrics,http://api.genius.com/songs/71412,Love is a Four Letter Word,2012-04-13," Are you dancing with your partner, or are you pushing them around? Are you begging for attention, or do you love the one you've found? Are you giving up your Saturdays to waltz all over town? Or is everyday a jolly holiday with whomever you're with now?   You could give it all away Give it all and be unstoppable All away, everything is really possible, all away You never really owned it anyway It'll all fall in place if you just let go   Don't dress up your children like dolls from your past They'll run from you madly, they'll never look back And when they grow older, they'll do just the same The world's a reflection of how children play   You could give it all away Give it all and be unstoppable All away, everything is really possible, all away You never really owned it anyway It'll all fall in place if you just let go   When you're in the mood, baby Hear just what your heart has to say When the world is turning topside and turvy then you better hurry down To the bottom of your soul and be love   Your word is your access, your mouth is your door Let's slide down inside there, and see what's in store In the middle there's a rhythm kicking, it's a freaking hard beat At the bottom there's a lot of water keeping your soul deep   You could give it all away Give it all and be unstoppable All away, everything is really possible, all away You never really owned it anyway It'll all fall in place if you just let go   When you're in the mood, pretty baby Hear just what your heart has to say When the world is turning topside and turvy then you better hurry To the bottom of your soul Get down, get it all, and be love  Be Love Be Love Be Love Be Love Be Love Be Love",0.9948,1,8,0,0,18,7,24,7,1,5
3,3,/songs/71414,Jason Mraz,93 Million Miles,https://genius.com/Jason-mraz-93-million-miles-lyrics,http://api.genius.com/songs/71414,Love is a Four Letter Word,2012-03-27," 93 million miles from the Sun, people get ready get ready Cause here it comes it's a light, a beautiful light, over the horizon into our eyes Oh, my my how beautiful, oh my beautiful mother She told me, ""Son in life you're gonna go far, and if you do it right you'll love where you are Just know, that wherever you go, you can always come back home""   Ohh, ohh, ohh Ohh, ohh, ohh   240 thousand miles from the Moon, we've come a long way to belong here To share this view of the night, a glorious night, over the horizon is another bright sky Oh, my my how beautiful, oh my irrefutable father He told me, ""Son sometimes it may seem dark, but the absence of the light is a necessary part Just know, you're never alone, you can always come back home""   Ohh, ohh, ohh Ohh, ohh, ohh   You can always come back, back  Every road is a slippery slope There is always a hand that you can hold on to Looking deeper through the telescope You can see that your home's inside of you  Just know, that wherever you go, no you're never alone, you can always get back home   Ohh, ohh, ohh Ohh, ohh, ohh   93 million miles from the Sun, people get ready get ready Cause here it comes it's a light, a beautiful light, over the horizon into our eyes",0.9879,0,12,0,1,10,2,15,3,2,6
4,4,/songs/206638,Jason Mraz,A Beautiful Mess,https://genius.com/Jason-mraz-a-beautiful-mess-lyrics,http://api.genius.com/songs/206638,We Sing. We Dance. We Steal Things.,2008-05-12," You've got the best of both worlds You're the kind of girl who can take down a man And lift him back up again You are strong but you're needy Humble but you're greedy And based on your body language And shoddy cursive I've been reading Your style is quite selective Though your mind is rather reckless Well I guess it just suggests That this is just what happiness is   Hey, what a beautiful mess this is It's like picking up trash in dresses   Well it kind of hurts when the kind of words you write Kind of turn themselves into knives And don't mind my nerve you could call it fiction But I like being submerged in your contradictions, dear Cause here we are, here we are   Although you are biased I love your advice Your comebacks ‒ they're quick And probably have to do with your insecurities There's no shame in being crazy Depending on how you take these Words i'm paraphrasing this relationship we're staging   Hey, what a beautiful mess this is It's like picking up trash in dresses   Well it kind of hurts when the kind of words you say Kind of turn themselves into blades And ""kind and courteous"" is a life I've heard But it's nice to say that we played in the dirt Cause here, here we are, here we are Here we are Here we are Here we are Here we are Here we are Here we are Here we are  We're still here What a beautiful mess this is It's like taking a guess when the only answer is ""Yes""   Through timeless words and priceless pictures We'll fly like birds not of this earth  And tides ‒ they turn ‒ and hearts disfigure But that's no concern when we're wounded together   And we tore our dresses and stained our shirts But it's nice today. Oh, the wait was so worth it",0.9748,5,2,10,6,13,19,25,7,2,14
5,5,/songs/109518,Jason Mraz,Absolutely Zero,https://genius.com/Jason-mraz-absolutely-zero-lyrics,http://api.genius.com/songs/109518,Waiting For My Rocket To Come,2002-10-15," You, you were a friend You were a friend of mine, I let you spend the night You see how it was my fault Of course it was mine   I'm too hard at work Have you ever heard of anything so absurd Ever in your life I'm sorry for wasting your time   Who am I to say that this situation isn't great? Well it's my job to make the most of it How could I ever know that it would happen to me? Not that easy   Hey what's that you say? You're not blaming me for anything, well that's great But I don't break that easy Does it fade away?   So that's why I'm apologizing now For telling you I thought that we could make it I just don't get enough to believe that We've both changed   When all along the fault's been up for grabs Why can't you have it well it's for sale go make your offer I will sell it for no less than what I bought it for Pay no more than absolutely zero   Well neither one of us deserves the blame Because opportunities moved us away And it's not an easy thing to learn to play A game that's made for two that's you and me The rules remain a mystery See it's hardly easy   When all along the fault is up for grabs and there you have it Well it's for sale, go make your offer I will sell it for no less than what I bought it for Pay no more than absolutely zero, Lord, Lord",-0.9819,3,7,4,2,4,11,13,4,2,9
6,6,/songs/480819,Jason Mraz,A World With You,https://genius.com/Jason-mraz-a-world-with-you-lyrics,http://api.genius.com/songs/480819,Yes!,2014-07-11," Let's hit the road and throw out the map Wherever we go, we won't look back Cause we're going places and we're going there fast And let's move to Paris and get ourselves a loft Let's live in squalor, and spare no cost Let's throw caution to the wind and start over again   Think how many doors we'll open Just as many stars will shine Who knows where we're going Yeah who knows what we'll find I wanna see the world the way I see a world with you   Let's hike in the mountains and challenge our will Let's leap over canyons and get lost in the hills I want to see the world the way I see a world in you   Think how many doors we'll open Just as many stars are sure to shine Who knows where we're going Who knows what we'll find I wanna see the world the way I see a world with you   All of our prayers will be answered The sum of all our failures, they cannot hurt us now Let's hoist up our sails And shove off to China and climb up a wall Then we'll keep on climbing looking over at all Laughing it up and having a ball   Think how many doors we'll open Just as many stars are gonna shine Who knows where we're going And who knows what we'll find I wanna see the world the way I see a world with you I wanna see the world the way I see a world with you",0.5538,5,6,1,4,4,7,7,3,0,3
7,7,/songs/467816,Jason Mraz,Back To The Earth,https://genius.com/Jason-mraz-back-to-the-earth-lyrics,http://api.genius.com/songs/467816,Yes!,2014-07-11,"Whenever my head starts to hurt Before it goes from bad to feeling worst I turn off my phone I get down low I put my hands in the dirt  I try to stop the world from moving so fast Try and get a grip on where I'm at To simplify this dizzy life And get my feet in the grass  I'm going back to the Earth I'm going back to the Earth I'm going back to work I'm going back to the Earth Yes I'm going Back...  The only explanation for a high rise Must be that everybody wants to get it high And Move on up to a deluxe apartment in the sky Well, The higher we go, the taller we grow old We lose sight of our land below You can have your place up in outer space Cause my home is where my food is grown  I'm going back to the Earth I'm going back to the Earth I'm going back to work I'm going back to the Earth   We are animals (we are animals) We are wild (we are wild) It started with the motion from the bottom of the ocean Now we're swinging from the tops of the trees  We are animals (we are animals) We are wild (we are wild)  And to truly be forgiven we must all get back to living With the land in harmony  I'm going back to the Earth I'm going back to the Earth I'm going back to work I'm going back to the Earth I'm going Back! ",-0.7199,5,7,5,4,6,11,11,5,8,7
8,8,/songs/71419,Jason Mraz,Be Honest,https://genius.com/Jason-mraz-be-honest-lyrics,http://api.genius.com/songs/71419,Love is a Four Letter Word,2012-04-13," Ok go, go hang your heart on, any tree You can make yourself available to anybody Cause every living' person knows you are a prize Whichever way you go I'll be easy to find I don't ask for much, just be honest, with me I don't ask for much   Think of this song as a promise, you can do what you want If you decide you wanna move into a new stage Deleting me from pages in your mission statement My love is unconditional, make no mistake I don't ask for much, just be honest, with me I don't ask for much, just be honest, with me   Who we are, when love is what it wants to be We are free, and we are, having the best day ever by far Being treated to the life, like a superstar   I can hold space while you see what your heart has to say about me I acknowledge you for what you do to keep strong There's no dotted line to sign away your freedom I'll always stand beside you, don't get me wrong I don't ask for much, just be honest, with me   Who we are, when love is what it wants to be We are free, and we are, having the best day ever by far Being treated to the life, like a superstar   If I miscommunicated I apologies If the picture that I painted wasn't very nice My love is standing by you whatever you decide I don't ask for much, just be honest, with me I don't ask for much, just be honest, with me   Who we are, when love is what it wants to be We are free, and we are having the best day ever by far Yes we are",0.9979,7,1,7,6,16,2,27,7,1,20
9,9,/songs/205874,Jason Mraz,Bella Luna,https://genius.com/Jason-mraz-bella-luna-lyrics,http://api.genius.com/songs/205874,Mr. A-Z,2005-07-26," Mystery the moon A hole in the sky A supernatural nightlight So full but often right A pair of eyes, a closin' one A chosen child of golden sun A marble dog that chases cars To farthest reaches of the beach and far beyond into the swimming sea of stars   A cosmic fish they love to kiss They're giving birth to constellation No riffs and oh, no reservation If they should fall you get a wish or dedication May I suggest you get the best For nothing less than you and I Let's take a chance as this romance is rising over before we lose the lighting Oh bella bella please Bella you beautiful luna Oh bella do what you do Do do do do do   You are an illuminating anchor Of leagues to infinite number Crashing waves and breaking thunder Tiding the ebb and flows of hunger You're dancing naked there for me You expose all memory You make the most of boundary You're the ghost of royalty imposing love You are the queen and king combining everything Intertwining like a ring around the finger of a girl I'm just a singer, you're the world All I can bring ya Is the language of a lover Bella luna, my beautiful, beautiful moon How you swoon me like no other   May I suggest you get the best Of your wish may I insist That no contest for little you or smaller I A larger chance happened, all them they lie On the rise, on the brink of our lives Bella please Bella you beautiful luna Oh bella do what you do Bella luna, my beautiful, beautiful moon How you swoon me like no other, oh oh oh",0.998,2,10,3,5,17,4,28,4,8,8
