,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/899,Jay Sean,2012 (It Ain't the End),https://genius.com/Jay-sean-2012-it-aint-the-end-lyrics,http://api.genius.com/songs/899,MuchDance 2011,2010-08-03," 2-0-1-2, oh-yeah It's alright, oh it's alright   You know what they say Life ain't always easy and every day We're survivors So forget the day It's all about tonight; act a fool and start a riot, a-riot be a rebel   Bottles poppin' til we can't stand We keep it rockin' til six AM New York to London over to Japan Turn it up, turn it up, mash it up   We gonna party like Party like it's the end of the world We gonna party like, like it's 2012 You know it doesn't matter as long as we got each other Turn it up, turn it up, mash it up It ain't the end of the world Gonna live like it's the end of the world Gonna party like Turn it up, turn it up, mash it up It ain't the end of the world   Similes, metaphors, and we pop pills Sick flow, inundated with the doc bills Work hard, now we know how the top feels In the middle of the street doing cartwheels Lot of them try to do it but it's not real Wasn't a rapper then I could've got a pop deal White curls in a hot pink Hot Wheels Lot of bottles and a lot of fruity cocktails Uh, days of our lives You wink it goes by So we'll just get it with no edits Anything goes, so no time for closed minds And free my Lil' Weezy And let's just get right Young money, cash money in the building Let's go the world ends tonight   Have a drink with me And let's make tonight go down In history, in history yeah Lets make believe It's the last 24 hours and this whole world is ours Eternally, eternally   Hey, bottles poppin' til we can't stand We keep it rockin' til six AM New York to London over to Japan Turn it up, turn it up, mash it up   We gonna party like Party like, like it's the end of the world We gonna party like, like it's 2012 You know that it doesn't matter as long as we got each other Turn it up, turn it up, mash it up It ain't the end of the world We gotta live like it's the end of the world We gotta party like Turn it up, turn it up, mash it up It ain't the end of the world   No, I'm not gonna follow Anything that they say anymore It's never too late to start livin' So let's start it with here and right now   Party like like its the end of the world We gonna party like like it's 2012 You know that it doesn't matter as long as we got each other Turn it up, turn it up, mash it up It ain't the end of the world We gonna live like it's the end of the world We gotta party like Turn it up, turn it up, mash it up It ain't the end of the world   The world Because the world keeps spinnin' The world keeps spinnin' around",0.9971,8,14,2,4,6,9,12,2,6,8
1,/songs/581121,Jay Sean,All I Want,https://genius.com/Jay-sean-all-i-want-lyrics,http://api.genius.com/songs/581121,The Mistress II,2014-11-14," Early in the morning I wake up to you Asking me if I'd ever lie to you   Cause if you didn't notice I came home to you Cause baby lovin' you is all I ever wanna do   Girl I only want you You're the only one I want It's only us two Cause baby you're the one And lovin' you is all I ever wanna do Girl I only want you You're the only one I want It's only us two Cause baby you're the one And lovin' you is all I ever wanna do  All I wanna do All I wanna do And lovin' you is all I ever wanna do   Yo what's with the all the questions asking me what time I came home to you? And what's with all the checking on me, I only got one thing to prove   Cause if you didn't notice I came home to you Cause baby lovin' you is all I ever wanna do It's all I ever want   Girl I only want you You're the only one I want It's only us two Cause baby you're the one And lovin' you is all I ever wanna do Girl I only want you You're the only one I want It's only us two Cause baby you're the one And lovin' you is all I ever wanna do  All I wanna do All I wanna do And lovin' you is all I ever wanna do   Take my phone if it helps, it ain't even password protected It's just the truth I've accepted It's what I should have expected You saw those messages from next bitches I told you all of those lies I thought we dealt with it so why mention it? I can't move on if you don't try Nah, nah, nah, never that, think again Shit, I've been there through thick and thin Baby there was that once you keep reminding me of But you can't call that shit love, she can't come in between us Us no girl, no I only want you   You're the only one I want It's only us two Cause baby you're the one And lovin' you is all I ever wanna do Girl I only want you You're the only one I want It's only us two Cause baby you're the one And lovin' you is all I ever wanna do All I wanna do All I wanna do And lovin' you is all I ever want",0.8457,5,3,5,1,10,5,14,3,0,3
2,/songs/1840320,Jay Sean,All on Your Body,https://genius.com/Jay-sean-all-on-your-body-lyrics,http://api.genius.com/songs/1840320,Neon,2013-07-30,All on your body A a a all on your body girl All on your body A a a all on your body girl All on your body A a a all on your body girl All on your body A a a all on your body girl  Girl you're too fine 10 out of 10 I'll be your rude boy ad your gentleman So just let me do it I'll be your special friend Call me whenever you need me Girl I'll be your take us all  You know no lie so let's go  Girl you know you the shit Can't get enough of it Sweeter than liquorish When I get up on it So just let me do it I'll be your special friend Call me whenever you need me Cause baby I can fool a tube  Can say you really need somebody To coke over and appease your body I ain't even gonna tell nobody That I was getting all up in your body  All on your body A a a all on your body girl All on your body A a a all on your body girl All on your body A a a all on your body girl All on your body A a a all on your body girl  Rubbing in touching in kissing on me Said you got a man girl What's it gonna be? So just let me do it I'll be your special friend Call me whenever you need me I take you so high You know No lie So let's go  So baby I can tell that you Can say you really need somebody To coke over and appease your body I ain't even gonna tell nobody That I was getting all up in your body All on your body A a a all on your body girl All on your body A a a all on your body girl All on your body A a a all on your body girl All on your body A a a all on your body girl  O o o open a cookie jar Put my tongue in the goodies Tell her gimme that pussy I swear to God I'm a bullet Nothing close to a rookie Keep my clip on a foolie Shorty bad as a felon Know I want it she looking The things I would do to you How you scream hallelujah Your body your goddess Just I got to get time with you You sock with a Theraflu This chocolate body  So baby I can tell that you Can say you really need somebody To coke over and appease your body I ain't even gonna tell nobody That I was getting all up in your body All on your body A a a all on your body girl All on your body A a a all on your body girl All on your body A a a all on your body girl All on your body A a a all on your body girl,0.969,5,3,7,4,11,8,13,3,1,7
3,/songs/1749063,Jay Sean,All Or Nothing,https://genius.com/Jay-sean-all-or-nothing-lyrics,http://api.genius.com/songs/1749063,All or Nothing,2009-11-23,"Baby, oh yeah, ooh, woah, yeah, oh There wasn't anything I didn't love about you You'd do some stupid things and I'd laugh at those too And we went together like the summer in June But who'd have known that it'd rain so soon Thought I'd be the only one that'd make you smile Thought I'd be the only one that'd really know how But you showed me different and I know better now I gotta get you out my system somehow I replay it over and over again You were my girl, now we ain't even friends You could've been my all or nothing, all or nothing Now to me you're nothing Girl, you're nothing, now you're nothing Put you on a pedestal, girl, I held you so high Was never too good at finding the words to describe Just how I felt for you but you know that I tried But somehow we went and changed inside You damn near were my everything you're still on my mind But I'd rather be here all alone and I'm doing just fine Gotta take it back to the days before we met And live our lives as strangers again I replay it over and over again You were my girl, now we ain't even friends You could've been my all or nothing, all or nothing Now to me you're nothing Girl, you're nothing, now you're nothing I replay it over and over again You were my girl, now we ain't even friends You could've been my all or nothing, all or nothing Now to me you're nothing Girl, you're nothing, now you're nothing December days, my summer turned to winter When you went away, I can't help but wonder Was he worth my pain? You should know better and I should've too And I cried, and you cried and we tried to make it work Almost died while we tried, is that what our love was worth? If I could do it again, I would be a better man Now I'm living with just memories I replay it over and over again You were my girl, now we ain't even friends You could've been my all or nothing, all or nothing Now to me you're nothing Girl, you're nothing, now you're nothing I replay it over and over again You were my girl, now we ain't even friends You could've been my all or nothing, all or nothing Now to me you're nothing Girl, you're nothing, now you're nothing",-0.9478,1,3,1,2,11,4,14,1,3,9
4,/songs/1840563,Jay Sean,Break of Dawn,https://genius.com/Jay-sean-break-of-dawn-lyrics,http://api.genius.com/songs/1840563,Neon,2013-07-30," Jay Sean, Bus-a-Bus YMCMB Ain't no curfew law over here ,baby!   Yo, you got me in a zone, I'm in a zone You with your girls tell 'em come on, let's get it on Let's pop some battles of Patron, Dom Pérignon I know you wid it, that's alright Cause I can tell it's gon' be one hell of a night I'm in my car, I'm in my car She said she meet me at the bar, she at the bar The ViP is poppin' off, we fuckin' stars, YMCMB Girl you know that when we do it girl You know we do it right   We runnin' from the AM to the AM Treating every day like the weekend And we gon' rock without no sleepin' So tell a friend to tell a friend That we ain't goin' home   Till the early morn' (the early morn') We be goin' on till the break of dawn (the break of dawn) No, we ain't goin' home till the early morn' (early morn') Keep it goin' on till the break of dawn (break of dawn) Until the break of dawn Until the—until the break of dawn   Ayo Jay Sean let me take it from here homie! Look   Put it on me shawty while we keep them glasses up Yes we in the party, bet that molly keep they asses up She could hardly walk with a donkey ass, pass another cup We could hardly talk when I watch her pass and I ain't even drunk Playin' catch up then I snatch her up, ""Let's get it on"" And try to pull it out right on the couch without no type of warning Shawty keep it easy, baby girl let's keep the liquor pouring Pacing and be patient, we gon' turn it up until the morning   We runnin' from the AM to the AM Treating every day like the weekend And we gon' rock without no sleepin' So tell a friend to tell a friend That we ain't goin' home  [Hook: Jay Sean (R. City)] Till the early morn' (we ain't goin' home) We be goin' on till the break of dawn (until the break of dawn baby) No, we ain't goin' home till the early morn' (yeah) Keep it goin' on till the break of dawn (keep it goin' on till the break of dawn) Until the break of dawn Until the—until the break of dawn (until the break of dawn)   You know we only got one lifetime And I'm making the most of mine I'm living a good life, I'm having a good time I'm looking to go oh  [Hook: Jay Sean (R. City)] We ain't goin' home till the early morn' (no) We be goin' on till the break of dawn (on till the break of dawn) No we ain't goin' home till the early morn' (until the early mornin') Keep it goin' on till the break of dawn Until the break of dawn Until the—until the break of dawn (We gon' keep it going on till the break of dawn Till the break of dawn) Till the break of dawn",0.9771,3,35,2,3,32,6,37,3,46,30
5,/songs/498801,Jay Sean,Can't fall in love,https://genius.com/Jay-sean-cant-fall-in-love-lyrics,http://api.genius.com/songs/498801,The Mistress,2011-09-06," I just can't fall in love   I'm lying in the wrong bed You got me thinking with the wrong head And I thought that the heart was supposed to be Just for her and not for you girl   I shouldn't feel what I feel when I look in your eyes We shouldn't go where we go when we turn off the lights I can't believe i'm cheating And baby that's why I just can't fall in love   So put your sho-o-o-oes back on I put my sho-o-o-oes back on And girl this never happened And don't say that you fell in love You know I can't love you back Cause I got my baby waiting And I can't do her like that I just can't fall in love So if I never call you back Well baby that's a chance i'm taking And I can't do it like that I just can't fall in love   Girl I wish I never met you Cause now I gotta just forget you yeah And everytime I touch her I always think about the things we used to do   I shouldn't  feel what I feel when I look in your eyes We shouldn't go where we go when we turn off the lights You know exactly why i'm leaving And baby that's why I just can't fall in love   So put your sho-o-o-oes back on I put my sho-o-o-oes back on And girl this never happened And don't say that you fell in love You know I can't love you back Cause I got my baby waiting And I can't do her like that I just can't fall in love So if I never call you back Well baby that's a chance i'm taking And I can't do it like that I just can't fall in love   You got me sprung I can't deny, I cannot hide I just can't fall in love You got me sprung I can't help myself I know that I can't I just can't fall in love   You know I can't love you back Cause I got my baby waiting And I can't do her like that I just can't fall in love So if I never call you back Well baby that's a chance i'm taking And I can't do it like that I just can't fall in love",-0.9957,2,1,1,1,24,18,26,13,3,2
6,/songs/3787483,Jay Sean,Cherry Papers,https://genius.com/Jay-sean-cherry-papers-lyrics,http://api.genius.com/songs/3787483,The Mistress III,2018-06-14," You took all my papers, now I hit the pen Had a different view, now I'm on the fence Never split the bill, now it's making sense We did it for the thrill, that's past tense Had some wild times with some fine wine Could watch you all night, couldn't find time Faded conversations on a cloud nine I think of them sometimes when I'm   Driving down westside and hit 14th Not in the path of green   I know we got lost by chasing moonlight Smoking cherry papers Headlights make your lips shine You know that's my favorite Fast forward, time moves so quick I'm looking at my dashboard see that lipstick On those cherry papers   Look to my right, I might be a fool, but They're all that I got to remind me of you, yeah There's no way around to know what you're doing Don't know what I want, don't know what I'm proving How could I forget those circle windows? Smoke alarms, and purple lendo Leftover Nobu rental Listening to instrumentals   Driving down westside and hit 14th Not in the path of green   I know we got lost by chasing moonlight Smoking cherry papers Headlights make your lips shine You know that's my favorite Fast forward, time moves so quick I'm looking at my dashboard see that lipstick On those cherry papers   Your love's not forgotten I know I should've thrown them long ago The truth is it's hard to fake it Sometimes I just need remind-ness of you Cause we've divided in two   I know we got lost by chasing moonlight Smoking cherry papers Headlights make your lips shine You know that's my favorite Fast forward, time moves so quick I'm looking at my dashboard see that lipstick On those cherry papers",-0.4912,3,11,1,4,7,13,23,4,3,8
7,/songs/1486863,Jay Sean,Close to you,https://genius.com/Jay-sean-close-to-you-lyrics,http://api.genius.com/songs/1486863,Neon,2013-07-30,Baby girl lay your body down on the bed Let me cater to you And all them fantasies going on in your head Imma do 'em to you I know what you plan to do girl You're just like an animal So just do what's so natural to you Cause you don't know how many times I've been thinking about you I wanna get close close close close closer to you Close close closer to you Close close close close closer to you Close close closer to you I wanna get Closer to I wanna get Closer to Say baby you should drop the act And maybe we should start again 'Cause girl you know I'm here for that So are you And I know I know I know what you plan to do You're just like an animal So just do what's so natural to you Cause you don't know how many times I've been thinking about you I wanna get close close close close closer to you Close close closer to you Close close close close closer to you Close close closer to you You got something that I ain't seen before (I wanna get) That only makes me want you more (closer to) Let me put it down like I'm supposed to do (I wanna get) Cause I just wanna get close to you (closer to) You got something that I ain't seen before (I wanna get) That only makes me want you more (closer to) Let me put it down like I'm supposed to do (I wanna get) Cause I just wanna get close to you (closer to) I wanna get I wanna get close to you I wanna get close to you Close close close close closer to you Close close closer to you Close close close close closer to you Close close closer to you I wanna get Closer to I wanna get Closer to I wanna get Closer to I wanna get Closer to,0.9323,0,5,0,0,2,0,5,0,0,2
8,/songs/947821,Jay Sean,Come With Me,https://genius.com/Jay-sean-come-with-me-lyrics,http://api.genius.com/songs/947821,None,2019-03-08,"Yeah, yeah, when I wake up in the morning I see Everybody's looking at me Whispering and talking, pointin' fingers at me What is it that they want me to be Can't keep up this fight no more Won't keep up this fight no more So I run to my world, my world, my world Where I can do what I want and be free to be myself I gotta run to my world, yeah, yeah, my world 'Coz I ain't comfortable with trying to be somebody else I gotta get away from this crazy life Get away from the hype Get away from this, two and two makes five So just take a look beyond what they see Maybe you will realize So come with me on my roller-coaster ride When you go to sleep at night you dream Of all the things you've always wanted to be But when you wake up in the morning you see That everything is out of your reach Can't keep up this fight no more Won't keep up this fight no more So you run, your world, your world Where I can do what I want and be free to be myself You gotta run to your world, your world 'Coz I ain't comfortable with trying to be somebody else, no I gotta get away from this crazy life Get away from the hype Get away from this, two and two makes five So just take a look beyond what they see Maybe you will realize So come with me on my roller-coaster ride Come with me Let me show you all the things you don't see Come with me If you don't already know This life you see Is so different on the inside If you come with me Let me know, yeah Gotta get away from this crazy life Get away from the hype Get away from this, two and two makes five So just take a look beyond what they see Maybe you will realize So come with me on my roller-coaster ride I gotta get away from this crazy life Get away from the hype Get away from this, two and two makes five So just take a look beyond what they see Maybe you will realize So come with me on my roller-coaster ride I gotta get away from this crazy life Get away from the hype Get away from this, two and two makes five So just take a look beyond what they see Maybe you will realize So come with me on my roller-coaster ride",-0.9802,9,5,0,9,0,14,2,5,0,3
9,/songs/1228589,Jay Sean,Cry,https://genius.com/Jay-sean-cry-lyrics,http://api.genius.com/songs/1228589,All or Nothing,2009-11-23," I need to see you cry I wanna, I wanna see you cry Won't rest until I see you cry Yeah, I cry, I cry, I cry   Had me convinced that I just wasn't enough Me and you fussin' and fightin', cussin' all of that stuff Now I know that I might've done you wrong Didn't know I'd pay so long 'til you did the same I know I'd done you wrong, I was makin' it up to you I apologized in a million ways But I thought that was that But I guess you got me back Didn't know it'd be like that but you did the same   Now we're caught in a circle, a constant battle The day that you hurt me The clouds cast a shadow on us And I hope that you're happy we're even now So cry, baby, cry   Let me see you cry, cry, cry I need to see you cry, cry, cry Until your tears run dry, dry, dry Like the deserts need the rain Want ya tears to fall down on me Cry, cry, cry I need to see you cry, cry, cry Until your tears run dry, dry, dry Like the deserts need the rain Want ya tears to fall down on me   Before the love just turns to hate Before I ask for you to stay And just before you walk away   What is this what happens to relationships? Started off so good and ended up so bad Baby, I just wanna know, ooh, tell me do you know, baby? Before we knew it we were at it again, no, no, no Somehow I don't think we can ever be friends Wish it wasn't so, ooh, wish it wasn't so but you did the same   Now we're caught in a circle, a constant battle The day that you hurt me The clouds cast a shadow on us And I hope that you're happy we're even now So cry, baby, cry   Let me see you cry, cry, cry I need to see you cry, cry, cry Until your tears run dry, dry, dry Like the deserts need the rain Want ya tears to fall down on me Cry, cry, cry I need to see you cry, cry, cry Until your tears run dry, dry, dry Like the deserts need the rain Fall down on me   So we go on and on on this merry-go-round Tryin' to chase a love that can never be found Time to say goodbye and step off of it now It's over, girl, it's over So we go on and on, on this merry-go-round Tryin' to chase a love that can never be found Time to say goodbye and step off of it now It's over, girl, it's over    Let me see you cry, cry, cry I need to see you cry, cry, cry Until your tears run dry, dry, dry Like the deserts need the rain Want ya tears to fall down on me Cry, cry, cry I need to see you cry, cry, cry Until your tears run dry, dry, dry Like the deserts need the rain Want ya tears to fall down on me   I need to see you cry I wanna, I wanna see you cry Won't rest until I see you cry Yeah, I cry, I cry, I cry",-0.9996,12,10,8,10,18,74,23,68,4,13
