,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/450271,Jennifer Lopez,Acting Like That,https://genius.com/Jennifer-lopez-acting-like-that-lyrics,http://api.genius.com/songs/450271,A.K.A.,2014-06-13," I been down since day one, yeah I'm the only one that's been right here Why you acting like you don't care? I been down since day one   Don't let the tables turn Don't let the bridges burn Been down for you, don't get it confused Boy, you could lose your turn Don't let the tables turn Don't let the bridges burn 'Cause everything could change in a matter of days Depending if you've learned   (Ooh, ooh, ooh) Why you acting like that? (Ooh, ooh) You gon' miss me when I'm gone Why you acting like that? (Why you acting like that?) (Ooh, ooh) Why you acting like that? (Ooh, ooh) You gon' miss me when I'm gone Why you acting like that? When I leave I'm taking off   Baddest bitch in the world right here You ain't even gotta go nowhere Boy, you better watch the way you walk 'Cause if you trip you're gonna fall, oh   Don't let the tables turn Don't let the bridges burn Been down for you, don't get it confused Boy, you could lose your turn Don't let the tables turn Don't let the bridges burn 'Cause everything could change in a matter of days Depending if you've learned   (Ooh, ooh, ooh) Why you acting like that? (Ooh, ooh) You gon' miss me when I'm gone Why you acting like that? (Why you acting like that?) (Ooh, ooh) Why you acting like that? (Ooh, ooh) You gon' miss me when I'm gone Why you acting like that? (Iggy, Iggy, Iggy, Iggy, Iggy, Iggy) When I leave I'm taking off   Oh, well shit, she ain't me (Never) My love cost too, baby, ain't nothing free (Nah) Check my angle, daddy, you could call me angel, daddy (Uh) But you gon' turn your beauty right into a beast (Uh) Now, this is the business or pleasure, let's keep 'em separate (Separate) I ain't tryna be second, just for the record (Record) I see you slippin' you trippin', thought I should let you know I admire your effort but I need better love See many men try to play me 'til they get scared away (Right) I told 'em that's a fall, try out another day (Right) This is different, now I'm seeing that it isn't (Mmm) Promise I'm not gon' cry here like Mary J Now ain't that funny, that you was something special 'til I noticed that you just like these losers who come in severals But I, know that if you leave you comin' right back So my question boy is, why you acting like that?   Don't let the tables turn Don't let the bridges burn Been down for you, don't get it confused Boy, you could lose your turn Don't let the tables turn Don't let the bridges burn 'Cause everything could change in a matter of days Depending if you've learned   (Ooh, ooh, ooh) Why you acting like that? (Ooh, ooh) You gon' miss me when I'm gone Why you acting like that? (Why you acting like that?) (Ooh, ooh) Why you acting like that? (Ooh, ooh) You gon' miss me when I'm gone Why you acting like that? When I leave I'm taking off",0.9928,6,3,10,9,7,18,26,11,9,19
1,/songs/305860,Jennifer Lopez,Adiós,https://genius.com/Jennifer-lopez-adios-lyrics,http://api.genius.com/songs/305860,Como Ama una Mujer,2007-03-23," Hoy he venido a despedirme A hablar de tantas cosas que nunca quisiste oirme Y ya no quiero mas excusas Tu nunca tienes tiempo se te escapo la musa   Adios, Adios Me voy, Adios Y no me dejas ni tan solo la esperanza Adios, amor, adios   Si hay una lagrima en mis ojos Es que voy recogiendo de mi vida los trozos Si hemos jugado a una aventura Nos hemos embriagado con tragos de locura   Adios, Adios Me voy, Adios Y no me dejas ni tan solo la esperanza Adios, amor, adios Adios, Adios Me voy, Adios Y no me dejas ni tan solo la esperanza Adios, amor, adios   Y no me dejas ni tan solo la esperanza Adios, Amor, Adios",0.8402,0,0,0,0,0,0,0,0,0,0
2,/songs/305639,Jennifer Lopez,Again,https://genius.com/Jennifer-lopez-again-lyrics,http://api.genius.com/songs/305639,This is Me... Then,2002-11-25," Like an angel, out the sky you came Clearing up all the clouds, the sadness and the rain So pure and healing was the love you bring I knew inside it felt so right   For me, I've struggled all my life To find that thing that makes it right With you, it seems I may have found Some other kind of love   I will love you all my life Always be by your side And I will give you all I have 'Cause you gave me peace and joy again Again, again   I was scared to let go and trust your love After what I've been through, I have had enough Whispering through your eyes, you never said a word But something said, ""You're insane""   For me, I've struggled all my life To find that thing that makes it right With you, it seems I may have found Some other kind of love   I will love you all my life Always be by your side And I will give you all I have 'Cause you gave me peace and joy again Again, again   A friend is what you'll always have in me I'm so grateful for the man you turned out to be And it doesn't matter who you happen to meet You'll forever be a sacred part of me   I will love you all my life Always be by your side And I will give you all I have 'Cause you gave me peace and joy again Again, again",0.9957,1,6,0,1,20,2,23,1,1,13
3,/songs/305544,Jennifer Lopez,Ain't It Funny,https://genius.com/Jennifer-lopez-aint-it-funny-lyrics,http://api.genius.com/songs/305544,J.Lo,2001-06-20," Estoy Loca Enamorada De ti   It seemed to be like the perfect thing for you and me It's so ironic you're what I had pictured you to be But there are facts in our lives we can never change Just tell me that you understand and feel the same This perfect romance that I've created in my mind (In my mind) I'd live a thousand lives, each one with you right by my side But yet we find ourselves in a less-than-perfect circumstance (Ooh) And so it seems like we'll never have the chance   Ain't it funny how some feelings you just can't deny (Oh) And you can't move on even though you try? (Oh) Ain't it strange when you’re feeling things you shouldn't feel? Oh, I wish this could be real Ain't it funny how a moment could just change your life (Oh) And you don't want to face what's wrong or right? (No) Ain't it strange how fate can play a part In the story of your heart?   Sometimes I think that a true love can never be (Never be) I just believe that somehow it wasn't meant for me (Ooh) Life can be cruel in a way that I can't explain And I don't think that I could face it all again I barely know you but somehow I know what you're about (You're about) A deeper love I've found in you, and I no longer doubt (Ooh) You've touched my heart, and it altered every plan I've made And now I feel that I don't have to be afraid   Ain't it funny how some feelings you just can't deny (Oh) And you can't move on even though you try? (Oh) Ain't it strange when you’re feeling things you shouldn't feel? Oh, I wish this could be real Ain't it funny how a moment could just change your life (Oh) And you don't want to face what's wrong or right? (No) Ain't it strange how fate can play a part In the story of your heart?   I locked away my heart But you just set it free Emotions I felt Held me back from what my life should be (Ooh) I pushed you far away And yet you stayed with me I guess this means That you and me were meant to be   Ain't it funny how some feelings you just can't deny (Oh) And you can't move on even though you try? Ain't it strange when you’re feeling things you shouldn't feel? Oh, I wish this could be real (Oh, yeah) Ain't it funny how a moment could just change your life  (Oh, yeah) And you don't want to face what's wrong or right? (No, no) Ain't it strange how fate can play a part In the story of your heart? (Oh, yeah) Ain't it funny how some feelings you just can't deny (Funny) And you can't move on even though you try? (Even if you try) Ain't it strange when you’re feeling things you shouldn't feel? Baby, ain't it funny? Ain't it funny how a moment could just change your life (Change your life) And you don't want to face what's wrong or right? (Wrong or right) Ain't it strange how fate can play a part Baby, ain't it funny? Ain't it funny how some feelings you just can't deny (Can't deny) And you can't move on even though you try? (Even though you try) Ain't it strange when you’re feeling things you shouldn't feel? Baby Ain't it funny how a moment could just change your life? And you don't want to face what's wrong or right? Ain't it strange how fate can play a part Ain't it funny how some feelings you just can't deny And you can't move on even though you try? Ain't it strange when you’re feeling things you shouldn't feel?",0.7394,20,22,13,23,23,34,34,15,15,31
4,/songs/2450498,Jennifer Lopez,Ain't Your Mama,https://genius.com/Jennifer-lopez-aint-your-mama-lyrics,http://api.genius.com/songs/2450498,"Bravo Hits, Vol. 94",2016-04-07," I ain't gon' be cooking all day, I ain't your mama I ain't gon' do your laundry, I ain't your mama, hmm I ain't your mama, boy, I ain't your mama When you gon' get your act together? I ain't your mama No, I ain't your mama No, I ain't your mama, no   Wake up and rise and shine, ah-yeah-yeah-yeah Best get to work on time, ah-yeah-yeah-yeah No more playing video games, ah-yeah-yeah-yeah Things are about to change, 'round here, 'round here   We used to be crazy in love Can we go back to how it was? When did you get too comfortable? Cause I'm too good for that, I'm too good for that Just remember that, hey!   I ain't gon' be cooking all day, I ain't your mama I ain't gon' do your laundry, I ain't your mama, hmm I ain't your mama, boy, I ain't your mama When you gon' get your act together? I ain't your mama No, I ain't your mama No, I ain't your mama, no   Lucky to have these curves, ah-yeah-yeah-yeah Stop getting on my nerves, ah-yeah-yeah-yeah You still tryna ride this train? Ah-yeah-yeah-yeah Cause some things have gotta change, 'round here, here, here   We used to be crazy in love Can we go back to how it was? When did you get too comfortable? Hey Cause I'm too good for that, I'm too good for that Just remember that, hey!   I ain't gon' be cooking all day, I ain't your mama (I ain't your mama, no) I ain't gon' do your laundry, I ain't your mama (I ain't your mama, hey, hey) I ain't your mama, boy, I ain't your mama (oh, hey!) When you gon' get your act together? I ain't your mama (I ain't your mama) No, I ain't your mama No, I ain't your mama, no I ain't your mama, no   We used to be crazy in love Can we go back to how it was? When did you get too comfortable? Cause I'm too good for that, I'm too good for that Just remember that, hey!   I ain't gon' be cooking all day, I ain't your mama (I ain't your mama) I ain't gon' do your laundry, I ain't your mama (I ain't your mama, hey) I ain't your mama, boy, I ain't your mama (ah no no, ah no no) When you gon' get your act together? ('Cause I ain't your mama, hey!) I ain't gon' be cooking all day, I ain't your mama I ain't gon' do your laundry, I ain't your mama ('cause I ain't your mama, hey!) I ain't your mama, boy, I ain't your mama (na na na, na na na) When you gon' get your act together? (No, I ain't your mama, no) No, I ain't your mama No, I ain't your mama No, I ain't your mama No, I ain't your mama, no",0.9966,3,7,5,5,10,8,12,3,7,6
5,/songs/450470,Jennifer Lopez,A.K.A.,https://genius.com/Jennifer-lopez-aka-lyrics,http://api.genius.com/songs/450470,A.K.A.,2014-06-17," La-la-la-la-la-la-la-la Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Can you hear me now?   This is not the girl you used to know Talking to you now I don't think you want me to explode It's a countdown   It took you too long to find out What you want right now I'm too gone to stay around Switching up my style   Now I'm Mrs. Never-Stick-Around, A.K.A Never hold you down, A.K.A Can't figure me out, A.K.A You don't know me now, oh, you don't know me now A.K.A, A.K.A Oh, oh, oh You don't know me now, A.K.A You don't know me now, oh, you don't know me now   (In space) They always seem to want you when you go I was here, oh, I was here before What goes around, comes back around for sure So I'ma let you, I'ma let you know, oh, oh   It took you too long to find out What you want right now I'm too gone to stay around Switching up my style   Now I'm Mrs. Never-Stick-Around, A.K.A Never hold you down, A.K.A Can't figure me out, A.K.A You don't know me now, oh, you don't know me now A.K.A, A.K.A Oh, oh, oh You don't know me now, A.K.A You don't know me now, oh, you don't know me now  [Verse 3: T.I. & Jennifer Lopez] (Ay, ay) Ay, what it is now shawty? (Yeah, what it is?) You was fuckin' with a sucker but you dealin' with a real now shawty (For real) Anybody got a problem, they can feel my .40 (Brap) Tell me how you feel now, shawty (How you feel?) Goddamn (Uh-huh), is you as good as you look? (Ay) Standin' in the hood but, you look like you came off the page of a book Pretty face and your ass off the hook (Skrrt!) In the rain, like a crab when I look (What that?) Whew, you are such a distraction You act like you want it, I give you the business (I will) Tear that shit up, girl, as God as my witness (I will) Would you bend if you don't know me? (What?) Honey, I'm considered your OG Bitch don't like life ‘cause you don't want me Think you could do better? Well we sure gon' see (Okay) Hold up, back in '04, try, you don't know me (I did) The moral of the story, you, you don't know me (Ay) Got there right now, I'm the man right now Anybody get it, we can get it in right now (Yup) Listen one thing still in the pen right now (What?) Kill your gun, take your cell, I'd be dead by now (Oh, yeah) But stare right now, get bread like wow (Ay, ay, ay) When the drop hit, now get head like oww (Hahaha) We let that A.K. go by JLo, don't get it twisted You don't know me now, oh, you don't know me now Hustle Gang over everything, brother  [Pre-Chorus: Jennifer Lopez & T.I.] It took you too long to find out (G.D.O.D., do or die) What you want right now (It's the king, bitch!) I'm too gone to stay around (Uh-huh) Switching up my style (Play with it, no million dollars)  [Chorus: Jennifer Lopez & T.I.] Now I'm Mrs. Never-Stick-Around, A.K.A (Tell 'em, tell 'em) Never hold you down, A.K.A (Tell 'em, okay) Can't figure me out, A.K.A (Tell 'em! Okay) You don't know me now (Tell 'em, tell 'em), oh, you don't know me now (Tell 'em, tell 'em, tell 'em) A.K.A (Tell 'em, tell 'em, tell 'em), A.K.A  (Tell 'em, tell 'em, tell 'em) Oh, oh, oh You don't know me now, A.K.A You don't know me now (Ayy, tell 'em), oh, you don't know me now (Tell 'em, ay, ay, yeah)",-0.8651,10,7,4,10,3,13,45,6,2,32
6,/songs/32015,Jennifer Lopez,All I Have,https://genius.com/Jennifer-lopez-all-i-have-lyrics,http://api.genius.com/songs/32015,This is Me... Then,2002-12-14,"[Intro: Jennifer Lopez, Sample & LL Cool J] Love is life and life is living It's very special All my love… Oh-oh-oh Uh, baby, don't go All my, all my, all my love Baby, don't go, yeah Very special Baby, don't go, uh All my love Baby, don't go, yeah Baby, don't go All my, all my, all my love I understand, just chillin' Baby, don't go, yeah, yeah Why you actin' like that?  [Verse 1: Jennifer Lopez & LL Cool J] It's such a shame, but I'm leaving (Uh) Can't take the way you mistreated me (Uh) And it's crazy, but oh, baby (Come on, yo, uh, uh, uh) It don't matter, whatever, don't phase me I don't believe you wanna leave like this I don't believe I just had my last real kiss I do believe we'll laugh and reminisce Wait a minute, don't bounce, baby, let's talk about this, man  [Pre-Chorus: Jennifer Lopez & LL Cool J] Well, I'm bouncing and I'm out, son (What you want, baby?) I gotta leave you alone (Come on now) 'Cause I'm good, holding down my spot And I'm good reppin' the girls on the block (Don't go, baby) And I'm good, I got this thing on lock So without me you'll be fine, right? (Come on, baby)  [Chorus: Jennifer Lopez & LL Cool J] All my pride is all I have Pride is what you had, baby girl, I'm what you have You'll be needing me, but too bad Be easy, don't make decisions when you mad The path you chose to run alone I know you're independent, you can make it on your own Here with me you had a home, oh, yeah But time is of the essence, why spend it alone? Huh  [Verse 2: Jennifer Lopez & LL Cool J] The nights I waited up for you (Oh, boy) Promises you made about coming through So much time you wasted That's why I had to replace you (Uh, uh, uh) It makes a cat nervous, the thought of settling down Especially me, I was creepin' all over town (Creepin') I thought my tender touch could lock you down (Yeah) I knew I had you, as cocky as it sounds That's the way you used to giggle right before I put it down It's better when you angry, come here, I'll prove it now (Come here) Stop playing (Haha, aw), you gaming I gotta leave you alone (What you want now?)  [Pre-Chorus: Jennifer Lopez & LL Cool J] 'Cause I'm good holding my spot Stop acting like that And I'm good reppin' the girls on the block Now you know you need to stop And I'm good, I got this thing on lock So without me you'll be fine, right? Here we go  [Chorus: Jennifer Lopez & LL Cool J] All my pride is all I have Pride is what you had, baby girl, I'm what you have You'll be needing me, but too bad Be easy, don't make decisions when you mad The path you chose to run alone I know you're independent, you can make it on your own Here with me you had a home, oh, yeah But time is of the essence, why spend it alone? Huh  [Verse 3: LL Cool J & Jennifer Lopez] People make mistakes to make up, to break up, to wake up Cold and lonely, chill, baby, you know me, you love me (Oh) I'm like your homie, instead of beefin', come hold me I promise I'm not a phony, don't bounce, baby, console me (Come here) Ain't nothing you can say to me that Can change my mind, I got to let you go now (Chill, baby) And nothing will ever be the same, so just (Yeah) Be on your way, go ahead and do your thing now (Baby, don't go) And there's no more to explain to me, you know (Come on, now) I know your game and I'm feeling what you do (Come on, now) So I'm bouncing and I'm out, son (Don't bounce) I gotta leave you alone, yeah, yeah (Don't bounce, don't bounce, baby)  [Chorus: Jennifer Lopez & LL Cool J] All my pride is all I have (Don't bounce, baby) Pride is what you had, baby girl, I'm what you have You'll be needing me, but too bad (Don't bounce, baby) Be easy, don't make decisions when you mad (Uh) The path you chose to run alone I know you're independent, you can make it on your own Here with me you had a home, oh, yeah But time is of the essence, why spend it alone? Huh All my pride is all I have (Don't bounce, baby) Pride is what you had, baby girl, I'm what you have (Baby, don't go) You'll be needing me, but too bad (You're everything to me) Be easy, don't make decisions when you mad (You mean everything to me, baby) The path you chose to run alone I know you're independent, you can make it on your own (We all make mistakes, you know what I'm sayin'?) Here with me you had a home, oh, yeah (I still love you, baby) But time is of the essence, why spend it alone? Huh (I'll always love you, baby)   I promise you You know what I'm sayin'?",0.9897,14,18,15,14,59,25,104,19,14,38
7,/songs/305818,Jennifer Lopez,Amarte es Todo,https://genius.com/Jennifer-lopez-amarte-es-todo-lyrics,http://api.genius.com/songs/305818,Como Ama una Mujer,2007-03-23," Y llegas sin decirme nada Vienes envuelto en el silencio Vienes detras de una mirada O en el temor de un beso Detras de las pequenas cosas que Me hacen sentir la emocion de creer Entras en mi tan sutilmente Invisible como el aire mismo Me asaltas y jamas me adviertes que Es el amor el que abraza esta piel, esta piel   Amarte asi es pleno y es total Amarte es todo Amarte asi es locura y libertad Amarte es todo Amarte hasta llenar mi vida De suenos y de fantasias Amarte asi me da seguridad   Y quien puede contra tu boca Que me hace hasta pedir auxilio Y quien puede con tus detalles que Me hacen vivir y sentirme mujer, mujer   Amarte asi es pleno y es total Amarte es todo Amarte asi es locura y libertad Amarte es todo Amarte hasta llenar mi vida De suenos y de fantasias Amarte asi me da seguridad",0.1027,1,0,1,1,0,1,0,1,0,0
8,/songs/3057631,Jennifer Lopez,"Amor, Amor, Amor",https://genius.com/Jennifer-lopez-amor-amor-amor-lyrics,http://api.genius.com/songs/3057631,Por Primera Vez,2017-11-10,"Letra de ""Amor Amor Amor"" ft. Wisin  Damas y Caballeros W Los poderes   Dos cuerpos entregados Un par de enamorados Flechados, cansados Sudor desenfrenado Cuando tú y yo nos juntamos Sin piedad (Aquí no aguantamos) Nos damos   Cuando hacemos el amor Amor, amor, amor Vuelvo a la vida, siento que vuelo  Cuando hacemos el amor Amor, amor, amor Vuelvo a la vida cuando toco tu cuerpo   La la la eh, el sudor en tu piel A mí me vuelves loco Tus besos saben a miel Ahora, eh! Quiero tu desnudez A mí si tú te vuelves lo hacemos otra vez  Cuando se pone el babydoll ¡Uf, arrasa! Una copa de vino y tumba la casa No sé qué me pasa Pero cuando me abrasa Con su fuego me traspasa Y en el medio de la cama se entrega Siempre pa' alante Sabe como se breva Y se pega, se pega   Cuando hacemos el amor Amor, amor, amor Vuelvo a la vida, siento que vuelo  Cuando hacemos el amor Amor, amor, amor Vuelvo a la vida cuando toco tu cuerpo   Amor toda la noche Bañados en sudor Tenemos la fortuna De perder el control  Se oculta la luna Cuando sale el sol Se pierde mi blusa Y tu pantalón  Suma la cama Resta la ropa Bésame rico Vuélveme loca Así, así, así Así, así, así  Sabes a cielo Hueles a gloria Dame la vida y la victoria Así, así, así Así  Yo quiero hacértelo lento Tu cuerpo Fluyendo así como el viento Sin mezclar los sentimientos   Bien lento, muy lento (muy lento) Para aprovechar el tiempo, contigo bebé (¡JLo!)   Cuando hacemos el amor Amor, amor, amor Vuelvo a la vida, siento que vuelo  Cuando hacemos el amor Amor, amor, amor Vuelvo a la vida cuando toco tu cuerpo   Hay emociones que no puedes controlar Y gente que te vuelve loca W, Jennifer Lopez Señores, bienvenidos al otro nivel",0.9987,3,0,3,2,0,2,1,2,0,1
9,/songs/308701,Jennifer Lopez,Amor Se Paga Con Amor,https://genius.com/Jennifer-lopez-amor-se-paga-con-amor-lyrics,http://api.genius.com/songs/308701,None,2001-01-23," Piensas que me tienes y ya voy No le pongas precio a lo que soy El amor que te doy Se paga con amor Todo para ti tiene un valor Mira de una vez soy como soy El amor que te doy Se paga con amor   Tu llegaste alli, y como un rey En la discoteque, me gustaste Me senti volar, al mirarme asi Tu sonrisa me basto para llegar a mi Para impresionar, estabas tu Junto a los demas, brindando un champagne Con tu vanidad, y ese En tu mundo te sentias como el mejor   Y si asi tomaras, de lo que me das El amor que siento no se puede comprar, yeah, yeah   Piensas que me tienes y ya voy No le pongas precio a lo que soy El amor que te doy Se paga con amor Todo para ti tiene un valor Mira de una vez soy como soy El amor que te doy Se paga con amor   Tu me quieres dar, todo material Pero te falto, el romance Para que comprar, lo que es tuyo ya Lo que busco, en la tienda no se vende Yo te pido mas, y no me lo das Necesito amor, algo mas real Si no puede ser, ven y dimelo Ya no puedo un dia mas entiendelo   Y si asi tomaras, de lo que me das El amor que siento no se puede comprar, yeah, yeah   Piensas que me tienes y ya voy No le pongas precio a lo que soy El amor que te doy Se paga con amor (Se paga con amor) Todo para ti tiene un valor Mira de una vez soy como soy El amor que te doy Se paga con amor Se paga con amor Amor Amor   No hay un millon ni mucho mas (Mucho mas) Que ami me pueda conquistar (Conquistar) Para comprar mi corazon Te cuesta mas amor si compras un amor (Amor te cuesta mas) Te puedo dar una vez mas Si quieres a mi amor llegar No hay precio que puedas pagar Para ganar mi amor se gana con amor   Piensas que me tienes y ya voy No le pongas precio a lo que soy El amor que te doy se paga con amor (Se paga con amor) Piensas que me tienes y ya voy (Y ya voy) No le pongas precio a lo que soy (Lo que soy) El amor que te doy Se paga con amor (El amor que te doy se paga con amor) Todo para ti tiene un valor Mira de una vez soy como soy El amor que te doy se paga con amor Piensas que me tienes y ya voy No le pongas precio a lo que soy El amor que te doy se paga con amor Todo para ti tiene un valor Mira de una vez soy como soy El amor que te doy se paga con amor",0.9991,0,1,0,1,1,0,7,1,1,7
