,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/248914,Jessie J,Abracadabra,https://genius.com/Jessie-j-abracadabra-lyrics,http://api.genius.com/songs/248914,Who You Are,2011-02-25," I don't wanna be the reason we don't get down So I'ma let you do the leading, and follow you now See, I just don't usually do this, but you're bringing me out All the doubts I had have gone away When you're touching me, I'm not afraid   Know this ain't going away, here to stay I just wanna be your girl (your girl) I can be all you want, will you say? I just wanna be your girl Yeah, yeah, yeah, yeah   'Cause you got my heart on lock It's so unreal, you know Don't want this to stop You're so damn keepable Feel your magic touch, it's unbelievable I gotta have ya, like abracadabra You got my heart on lock It's so unreal, you know Don't want this to stop You're so damn keepable Feel your magic touch, it's unbelievable I gotta have ya, like abracadabra   I didn't even see you coming It was such a surprise I wasn't expecting nothing Now I'm lit up inside You're bringing out all the colours No more black and white You won the race and got the gold So here I am, we're good to go   Know this ain't going away, here to stay I just wanna be your girl (your girl) I can be all you want, will you say? I just wanna be your girl Yeah, yeah, yeah, yeah   'Cause you got my heart on lock It's so unreal, you know Don't want this to stop You're so damn keepable Feel your magic touch, it's unbelievable I gotta have ya, like abracadabra You got my heart on lock It's so unreal, you know Don't want this to stop You're so damn keepable Feel your magic touch, it's unbelievable I gotta have ya, like abracadabra   I don't wanna take my time I don't wanna wait in line I just want you by my side Come and gimme what I like I don't wanna take my time I don't wanna wait in line, no I just want you by my side Come and gimme what I like   'Cause you got my heart on lock It's so unreal, you know Don't want this to stop You're so damn keepable Feel your magic touch, it's unbelievable I gotta have ya, like abracadabra You got my heart on lock It's so unreal, you know Don't want this to stop You're so damn keepable Feel your magic touch, it's unbelievable I gotta have ya, like abracadabra",0.9796,6,8,6,3,3,17,18,2,2,17
1,/songs/458269,Jessie J,Ain't Been Done,https://genius.com/Jessie-j-aint-been-done-lyrics,http://api.genius.com/songs/458269,Sweet Talker,2014-06-01," I'mma do it like it ain't been done I'mma do it like it ain't been done (go) I'mma do it like it ain't been done I'mma do it like it ain't been done (go)   Can't beat me I'm a show sharp winner One of a kind, I'm original I'm so ill, gonna need a painkiller Stealing the show like a criminal   Don’t fight, follow the leader Give a little and you might get some This one's for the non-believers All together now, everyone   I'mma do it like it ain't been done On top, only just begun Better believe I'll be your number one I'mma do it like it ain't been done And I hope you're holding on ‘Cause I'm going, going, gone I'mma do it like it ain't been done I'mma do it like it ain't been done I'mma do it like it ain't been done I'mma do it like it ain't been done I'mma do it like it ain't been done I'mma do it like it ain't been done   Both hands tied and I get gold medals Still alive and I’m goin' hard Make my mark and I'm breaking all records You know me, I'm a superstar   Don’t fight, follow the leader Give a little and you might get some This one's for the non-believers All together now, everyone (go)   I'mma do it like it ain't been done On top, only just begun Better believe I'll be your number one I'mma do it like it ain't been done I hope you're holding on ‘Cause I'm going, going, gone I'mma do it like it ain't been done I'mma do it like it ain't been done Ain't been done   Like it, like it ain't been done Like it ain't been (done), like it ain't been (done) Like it ain't been (done, done, done) Like it ain't been dobe I'mma do it like it ain't been done On top, only just begun Better believe I'll be your number one I'mma do it like it ain't been done (ain't been done), yeah!   I'mma do it like it ain't been done On top only just begun (on top right now) Better believe I'll be your number one (better believe) I'mma do it like it ain't been done (ain't been done) And I hope you're holding on (I hope you're holding on) ‘Cause I'm going, going, gone (I'm going, going, gone) I'mma do it like it ain't been done (ain't been done) I'mma do it like it ain't been done (Ain't been done, huh, sing it, go) I'mma do it like it ain't been done I'mma do it like it ain't been done Better believe I'll be your number one I'mma do it like it ain't been done I hope you're holding on ‘Cause I'm going, going, gone I'mma do it like it ain't been done I'mma do it like it ain't been done",0.998,4,18,3,5,11,5,21,2,7,23
2,/songs/3222784,Jessie J,Bang Bang (Without Rap),https://genius.com/Jessie-j-bang-bang-without-rap-lyrics,http://api.genius.com/songs/3222784,None,2014-07-28," She got a body like an hourglass But I can give it to you all the time She got a booty like a Cadillac But I can send you into overdrive (You've been waiting for that, step on up, swing your bat) See, anybody could be bad to you You need a good girl to blow your mind, yeah   Bang bang into the room (I know you want it) Bang bang all over you (I’ll let you have it) Wait a minute let me take you there (ah) Wait a minute 'til you (ahhh, hey!) Bang bang there goes your heart (I know you want it) Back, back seat of my car (I’ll let you have it) Wait a minute let me take you there (ah) Wait a minute 'til you (ahhh, hey!)   She might've let you hold her hand in school But I'mma show you how to graduate No, I don't need to hear you talk the talk Just come and show me what your momma gave, oh yeah (I heard you've got a very big shhh, mouth but don’t say a thing) See anybody could be good to you You need a bad girl to blow your mind   Bang bang into the room (I know you want it) Bang bang all over you (I’ll let you have it) Wait a minute let me take you there (ah) Wait a minute 'til you (ahhh, hey!) Bang bang there goes your heart (I know you want it) Back, back seat of my car (I’ll let you have it) Wait a minute let me take you there (ah) Wait a minute 'til you (ahhh, hey!)   Bang bang bang bang, ooh Yeah, yeah, yeah, yeah, ooh Bang bang bang bang, ooh Yeah, yeah, yeah, yeah, ooh B to the A to the N to the G to the, hey B to the A to the N to the G to the, hey B to the A to the N to the G to the, hey B to the A to the N to the G to the, hey   See, anybody could be good to you You need a bad girl to blow your mind, your mind   Bang bang into the room (I know you want it) Bang bang all over you (I’ll let you have it) Wait a minute let me take you there (ah) Wait a minute 'til you (ahhh, hey!) Bang bang there goes your heart (I know you want it) Back, back seat of my car (I’ll let you have it) Wait a minute let me take you there (ah) Wait a minute 'til you (ahhh, hey!) Bang bang into the room (I know you want it) Bang bang all over you (I’ll let you have it) Bang bang there goes your heart (I know you want it) Back, back seat of my car (I’ll let you have it) Wait a minute let me take you there (ah) Wait a minute 'til you (ahhh, hey!)",0.9878,35,18,35,35,3,49,7,35,36,8
3,/songs/1990433,Jessie J,Best of me,https://genius.com/Jessie-j-best-of-me-lyrics,http://api.genius.com/songs/1990433,None,2018-08-23,"Yeah, yeah, yeah  You've got away of holding me But you never hold me back, oh yeah You've got away of pushing me But you never push me off track  I was looking for someone Someone to love me Just as I am   I know someone who loves you Sure as the stars need the night I know someone who loves you Darling when you see me Do you notice You've got the best of me  When we're alone you dance with me No one else can move me like that You say that you'd give me everything But I would give everything back  I was looking for someone Someone to love me Just as I am   Don't ask me to stay If I'm in your way When love at first sight Keeps you up all night  You've got a way of seeing me, oh Just as I am   Yeah yeah yeah  Darling when you see me Darling when you go Darling when your with me Darling don't you know  Darling when you wake-up Darling when your home Darling when you kiss me Don't you ever go  Darling when your laughin' Darling when you cry Darling when your dreamin' I'll be by your side You've got the best of me",0.999,0,3,0,0,19,1,22,1,1,16
4,/songs/221201,Jessie J,Breathe,https://genius.com/Jessie-j-breathe-lyrics,http://api.genius.com/songs/221201,Alive ,2013-09-23," Everything outside is grey and lonely Spark electricity in our city, yeah Let's light it up Falling under pressure, I can feel the butterflies Oh, you blow smoke inside my mouth You light me up   I can be your work of art for life You just show me what you want tonight   So together we can breathe I wanna give you all of me Open up your eyes and love me, love me, love me When I'm falling to my knees I wanna give you all of me You know how to take care of me, of me, of me Together we can breathe Oh, oh, oh Oh, oh, oh Love me, love me Together we can breathe Oh, oh, oh Oh, oh, oh Love me, love me   Addicted to the colors that you're using on me Clouds above my head are beautiful and red Blow it up It's crystal clear with you, nothing's a blur Just inhale me into your world And blow it up   I can be your work of art for life You just show me what you want for life   So together we can breathe I wanna give you all of me Open up your eyes and love me, love me, love me When I'm falling to my knees I wanna give you all of me You know how to take care of me, of me, of me Together we can breathe Oh, oh, oh Oh, oh, oh Love me, love me Together we can breathe Oh, oh, oh Oh, oh, oh Love me, love me   Together we can breathe In and out, it's all I need To taste the sweet To feel complete, woah In and out, it's all I need To breathe, to breathe We can breathe, oh   I wanna give you all of me Open up your eyes and love me, love me, love me When I'm falling to my knees I wanna give you all of me You know how to take care of me, of me, of me So together we can breathe Oh, oh, oh Oh, oh, oh You love me, you love me So together we can breathe, oh yeah Oh, oh, oh Oh, oh, oh You love me, you love me So together we can breathe",0.9988,1,3,1,1,25,7,27,7,4,3
5,/songs/510163,Jessie J,Burnin' Up,https://genius.com/Jessie-j-burnin-up-lyrics,http://api.genius.com/songs/510163,Sweet Talker,2014-01-01," Walkin' through the fire, please don't let me go Take me to the river, I need you to know   I'm burnin' up Come put me out Come and put me out I'm burnin' up Come put me out Come and put me out   Hot in the kitchen like a thousand degrees That's how I'm feelin' when you're next to me I got a fever, tell me, what did you do? Temperature risin' when I look at you, look at you   Subliminal, sex Drippin' in, sweat I'm losing my, breath (Huh, huh, huh, huh) Look what I've, found It's 'bout to go, down I want it right, now (Huh, huh, huh, huh)   Walkin' through the fire, please don't let me go Take me to the river, I need you to know   I'm burnin' up Come put me out Come and put me out I'm burnin' up Come put me out Come and put me out I'm burnin' up Come put me out Come and put me out I'm burnin' up Come put me out Come and put me out   I got the matches, you got the gasoline Light up the floor like it's Billie Jean The way we're movin', by the end of the song They're gonna have to pull the fire, f-fire alarm   Subliminal, sex Drippin' in, sweat I'm losing my, breath (Huh, huh, huh, huh) Look what I've, found It's 'bout to go, down I want it right, now (Huh, huh, huh, huh)   Walkin' through the fire (Walkin' through the fire) Please don't let me go (Please don't let me go) Take me to the river (Take me to the river) I need you to know (I need you, I need you to know)   2 Chainz! Everything hot like it's fresh off the grill Million dollar grill look fresh on the hill Plus I'm 6'5"", she need to step in some heels 'Fore she step up in here you need to step up your gear Wish a Lamborghini had four doors (four doors) From the corner store to the corridor (corridor) Me and my homie on the dance floor White girl in the middle, looking like an Oreo (I'm burnin' up) Roof on fire, we can burn up Turn down for what, nigga turn up Motherfucker must ain't learn nothin' Back in the day used to down with a burn coat (I'm burnin' up) Light got the Lord on the top floor In a Ford, wearin' Tom Ford Walk in the club and her ass start clappin' Tell shawty I want an encore   Come, put me out Come and put me out I'm burnin' up Come, put me out Come and put me out Come, put me out Come and put me out I'm burnin' up Come, put me out Come and put me out I'm burnin' up Come, put me out Come and put me out I'm burnin' up Come, put me out Come and put me out I'm burnin' up Come, put me out Come and put me out I'm burnin' up Come, put me out Come and put me out",-0.4753,6,6,1,11,6,7,19,2,1,12
6,/songs/2921691,Jessie J,Can't Take My Eyes Off You x MAKE UP FOR EVER,https://genius.com/Jessie-j-cant-take-my-eyes-off-you-x-make-up-for-ever-lyrics,http://api.genius.com/songs/2921691,None,2016-12-02," Makeup forever Life is a stage   You're just too good to be true Can't take my eyes off of you You'd be like Heaven to touch I wanna hold you so much At long last love has arrived And I thank God I'm alive You're just too good to be true Can't take my eyes off you   Pardon the way that I stare There's nothing else to compare The sight of you leaves me weak There are no words left to speak But if you feel like I feel Please let me know that it's real You're just too good to be true Can't take my eyes off you   I love you, baby And if it's quite alright I need you, baby To warm a lonely night I love you, baby Trust in me when I say: Oh, pretty baby Don't bring me down, I pray Oh, pretty baby, now that I found you, stay And let me love you, baby Let me love you   You're just too good to, good to be true Can't take my eyes, eyes, eyes off of you You'd be like Heaven, Heaven to touch I wanna hold you, hold you so much At long last love, love has arrived And I thank God, God, God I'm alive You're just too good, good, good to be true Can't take my eyes, eyes, eyes off you   I love you, baby And if it's quite alright I need you, baby To warm a lonely night I love you, baby Trust in me when I say: Oh, pretty baby Don't bring me down, I pray Oh, pretty baby, now that I found you, stay And let me love you, baby Let me love you",0.9995,2,22,2,8,50,2,55,2,10,33
7,/songs/248927,Jessie J,Casaulty of Love,https://genius.com/Jessie-j-casaulty-of-love-lyrics,http://api.genius.com/songs/248927,None,2011-02-22," We may not have all the answers Oh, I know that we can change some of the things that are beyond our control And the vision of us may be blurry But use your heart to see Just follow the beat, the rhythm will lead you right back to me   Sometimes it's a game of give and take It's easy to break but hold on and wait Have a little faith   I will go down to the last round I'll be your strength to find you when you get lost in the crowd So I'll stand up tall, if by chance I fall Then I'll go down as a casualty of love   Love love love - casualty - love Love love love - casualty - love Love love love love casualty A casualty of love   The battle of us could be simple Escape without being hurt Cause love is our shield, keeps us concealed From what could get even worse So baby let me be your soldier Don't be overtaken by pride Just close your eyes, take my hand Promise to keep us alive     All is fair in love and war Knock me down and I'll get back up wanting more Through the fire and rain, it makes me numb from the pain That's the price, that's the price, I'll pay     Love love love love  I'll be your casualty - casualty Casualty of love A casualty of love - casualty of love - casualty of love",0.9989,14,7,0,19,30,23,38,18,3,6
8,/songs/766476,Jessie J,Casualty of Love,https://genius.com/Jessie-j-casualty-of-love-lyrics,http://api.genius.com/songs/766476,Who You Are,2011-02-22," We may not have all the answers Oh, I know that we can change some of the things that are beyond our control And the vision of us may be blurry, but use your heart to see Just follow the beat The rhythm will lead you right back to me   Sometimes it's a game of give and take It's easy to break, but hold on and wait Have a little faith   I will go down to the last round I'll be your strength to find you when you get lost in the crowd So I'll stand up tall, if by chance I fall Then I'll go down as a casualty of love   (Love, love, love, love) Casualty (Love, love, love, love) Casualty Casualty of, a casualty of love   The battle of us could be simple Escape, without being hurt 'Cause love is our shield Keeps us concealed from what could get even worse So baby, let me be your soldier Don't be overtaken by pride Just close your eyes, take my hand Promise to keep us alive   Sometimes it's a game of give and take It's easy to break, but hold on and wait Have a little faith   I will go down to the last round I'll be your strength to find you when you get lost in the crowd So I'll stand up tall, if by chance I fall Then I'll go down as a casualty of love   All is fair in love and war Knock me down, and I'll get back up wanting more Through the fire and rain It makes me numb from the pain That's the price, that's the price I'll pay   And I will go down to the last round I'll be your strength to find you when you get lost in the crowd So I'll, I'll stand up tall, and baby, if I fall Then I'll go down as a casualty of love   (Love, love, love, love, love, love, love, love) Casualty, casualty (Love, love, love, love) Casualty of, a casualty of love A casualty of love, casualty, casualty of love",0.9982,17,9,0,22,37,31,47,25,5,9
9,/songs/419308,Jessie J,Catwalk,https://genius.com/Jessie-j-catwalk-lyrics,http://api.genius.com/songs/419308,Unreleased,2010-01-01," I'm walking down a catwalk, I can't talk Can't hide that I'm feeling bored High heels make me really tall, but I can't walk Still they clap like they want more   Switch up to a tight fitted T And some high top kicks in pink black and green I wanna dance, I wanna dance I wanna, I wanna, I wanna d-d-d-d-d-dance Switch up to some baggy jeans And bright colored boxers for all to see I wanna dance, I wanna dance I wanna, I wanna, I wanna d-d-d-d-d-dance   Working like a model (yeah, yeah, yeah) You're Naomi Campbell (yeah, yeah, yeah) You're on the catwalk (yeah, yeah, yeah) Yeah Working like a model (yeah, yeah, yeah) You're Naomi Campbell (yeah, yeah, yeah) You're on the catwalk (yeah, yeah, yeah) Yeah   Going back down the runway I wanna run away But it feels like the wrong I wanna stay, stay on stage But it's the time to change I wanna do my daance   Switch up to a tight fitted T And some high top kicks in pink black and green I wanna dance, I wanna dance I wanna, I wanna, I wanna d-d-d-d-d-dance Switch up to some baggy jeans And bright colored boxers for all to see I wanna dance, I wanna dance I wanna, I wanna, I wanna d-d-d-d-d-dance   Working like a model (yeah, yeah, yeah) You're Naomi Campbell (yeah, yeah, yeah) You're on the catwalk (yeah, yeah, yeah) Yeah Working like a model (yeah, yeah, yeah) You're Naomi Campbell (yeah, yeah, yeah) You're on the catwalk (yeah, yeah, yeah) Yeah   For the beat, then let me know (one) Nod your head if you wanna let go (two) Clap your hands if you're in the show (three) Come on ladies, do your thang For the beat, then let me know (one) Nod your head if you wanna let go (two) Clap your hands if you're in the show (three) Come on ladies, do your thang   I'm feeling what I'm rocking Fly for a white chick, Lips cherry pink (shocking) Switched up baby, some man shopping Swallowed down the wrong pipe Got me c-c-coughing! Nudge, nudge, wink, wink (holla, holla) I'll struck your follow, follow Cause your crazy cooked My vocals are booked Cause you like the way i look   Working like a model (yeah, yeah, yeah) You're Naomi Campbell (yeah, yeah, yeah) You're on the catwalk (yeah, yeah, yeah) Yeah Working like a model (yeah, yeah, yeah) You're Naomi Campbell (yeah, yeah, yeah) You're on the catwalk (yeah, yeah, yeah) Yeah Working like a model (yeah, yeah, yeah) You're Naomi Campbell (yeah, yeah, yeah) You're on the catwalk (yeah, yeah, yeah) Yeah Working like a model (yeah, yeah, yeah) You're Naomi Campbell (yeah, yeah, yeah) You're on the catwalk (yeah, yeah, yeah) Yeah",0.9989,5,10,2,5,22,10,42,5,3,25
