,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/185815,Jonas Brothers,6 Minutes,https://genius.com/Jonas-brothers-6-minutes-lyrics,http://api.genius.com/songs/185815,It's About Time,2006-08-08," She's the kinda girl that you see in the movies Seen her in my dreams and now she's standing next to me Down by the shore, first weekend of the summer Gotta take a chance and just ask for her number I wish I had a song on MTV 'Cause in a crowded room, I'd be the only one shed see She's looking bored and now, I'm running out of time I've only got six minutes if I'm gonna make her mine   One minute and the earth begins to shake Two minutes and my heart begins to break Another minute and she makes me feel brand new That's just three minutes with you Four minutes and she's everything I see Five minutes and she's where I wanna be Another minute, everything just feels so new I need six minutes with you Six minutes   She's looking at her watch while the DJ is spinning This could be the end or it's just the beginning She's the kinda girl that I wanna know better Reaching for her keys so I guess it's now or never I wish that I was on the radio I'd sing her favorite song, she'd be front row at every show This parties lame and now, I'm running out of time I've only got six minutes if I'm gonna make her mine   One minute and the earth begins to shake Two minutes and my heart begins to break Another minute and she makes me feel brand new That's just three minutes with you Four minutes and she's everything I see Five minutes and she's where I wanna be Another minute, everything just feels so new I need six minutes with you Six minutes   Sometimes I feel like the catcher in the rye Sometimes I wish that I could catch her eye Sometimes I wish that I could be that guy that guy, that guy, that guy Yeah Time is passing by I'm losing my mind I need One, two, three, four, five minutes with you   One minute and the earth begins to shake Two minutes and my heart begins to break Another minute and she makes me feel brand new That's just three minutes with you Four minutes and she's everything I see Five minutes and she's where I wanna be Another minute, everything just feels so new I need six minutes with you Six minutes",0.9567,2,5,0,1,2,3,4,2,6,3
1,1,/songs/185824,Jonas Brothers,7:05,https://genius.com/Jonas-brothers-7-05-lyrics,http://api.genius.com/songs/185824,It's About Time,2006-08-08," We had a lot of good times when we were together And I thought we'd last forever, you and I I.M. for so long, I couldn't wait to get you're phone call Dreaming 'bout you makes me feel alright Tonight you called me on the phone Said you had to stay at home Is there something I should know? Yeah   I was fine 'til 7:05 'Til she walked out the door and right out of my life If you're gone, I'll move on But it only would have taken two seconds to say Goodbye (Goodbye), Goodbye (Goodbye) Goodbye, whoa-oh   The night after you're phone call Me and friends were hanging at the mall I was not believing what I saw, whoa Holding hands with him and sitting closer then six inches Hoping she's not gonna kiss him now How can I call you a friend? You stood me up in the end I know that it's over, yeah   I was fine 'til 7:05 'Til she walked out the door and right out of my life If you're gone, I'll move on But it only would have taken two seconds to say Goodbye (Goodbye), Goodbye (Goodbye) Goodbye, whoa-oh   Don't keep telling me that you're sorry now But let me tell you how much this hurts me too Yeah, oh   I was fine 'til 7:05 'Til she walked out the door and right out of my life If you're gone, I'll move on But it only would have taken two seconds to say Goodbye, goodbye, goodbye, whoa-oh I was fine 'til 7:05 'Til she walked out the door and right out of my life If you're gone, I'll move on But it only would have taken two seconds to say Goodbye (Goodbye), Goodbye (Goodbye) Goodbye   But it only would have taken two seconds to say Goodbye (Goodbye), Goodbye (Goodbye), whoa-oh Goodbye",0.957,3,6,1,2,4,4,6,2,2,5
2,2,/songs/185708,Jonas Brothers,A Little Bit Longer,https://genius.com/Jonas-brothers-a-little-bit-longer-lyrics,http://api.genius.com/songs/185708,A Little Bit Longer,2008-08-12," Got the news today Doctor said I had to stay a little bit longer and I'll be fine When I thought it'd all been done When I thought it'd all been said A little bit longer and I'll be fine   But you don't know what you got 'til it's gone And you don't know what it's like to feel so low And every time you smile, you laugh, you glow You don't even know, no, no You don't even know   All this time goes by, still no reason why A little bit longer and I'll be fine Waiting on a cure, but none of them are sure A little bit longer and I'll be fine   But you don't know what you got 'til it's gone And you don't know what it's like to feel so low And every time you smile, you laugh, you glow You don't even know, no, no You don't even know   You don't even know, no, no You don't even know, no, no Yeah   But you don't know what you got 'til it's gone And you don't know what it's like to feel so low, yeah And every time you smile, you laugh, you glow You don't even know, yeah, oh You don't even know, no, no   So I'll wait 'til kingdom come All the highs and lows are gone A little bit longer and I'll be fine I'll be fine",0.9963,0,10,0,0,9,1,25,0,6,21
3,3,/songs/3714549,Jonas Brothers,American Dragon: Jake Long Theme Song,https://genius.com/Jonas-brothers-american-dragon-jake-long-theme-song-lyrics,http://api.genius.com/songs/3714549,None,2005-01-21,"    He's cool, he's hot like a frozen sun He's young and fast, he's the chosen one People, we're not bragging He's the American Dragon   He's gonna stop his enemies with his dragon power Dragon teeth, dragon tail, burning dragon fire A real live wire   American Dragon (Dragon up) American Dragon Whoa whoa whoa whoa whoaaaa He's the American Dragon (break down with the dragon)    His skills are getting faster with Grandpa he master! His destiny will walk up streets! It's showtime baby for the legacy!    American Dragon I'm a dragon, I'm not braggin', it's my destiny (American Dragon) I'm the magical protector of the NYC, ya heard? (American Dragon) American Dragoooon!  (Gong rings)",-0.6331,2,3,1,16,4,1,9,0,4,3
4,4,/songs/185785,Jonas Brothers,Australia,https://genius.com/Jonas-brothers-australia-lyrics,http://api.genius.com/songs/185785,Jonas Brothers,2007-08-07," You never listen to me I know I'm better off alone Everybody knows it's true Yeah, we all see through you No, it won't be hard to do Throw away my stuff from you   And I'll wait for her to come She won't break my heart 'Cause I know she'll be from Australia She is so beautiful She's my dream girl La, la, la, la, la, la She's my dream girl   You were the one I thought I Needed, I'm better off alone Everybody knows it's true They know all your secrets The only thing you knew was true Has just walked out of your life How does it feel?   So I'll wait for her to come She won't break my heart 'Cause I know she'll be from Australia She is so beautiful She's my dream girl La, la, la, la, la, la She's my dream girl   She will be there, to love and to care I know there's no need to worry The girl of my dreams The one that will be There to hold me when I'm down 'Til she's around   And I'll just wait for her to come She won't break my heart 'Cause I know she'll be from Australia She is so beautiful She's my dream girl La, la, la, la, la, la She's my dream girl Oh yeah And I'll wait for her to come She won't break my heart 'Cause I know she'll be from Australia She is so beautiful She's my dream girl La, la, la, la, la, la She's my dream girl (Dream girl)",0.9945,0,6,0,1,8,5,8,1,4,4
5,5,/songs/190136,Jonas Brothers,Baby Bottle Bop Theme Song,https://genius.com/Jonas-brothers-baby-bottle-bop-theme-song-lyrics,http://api.genius.com/songs/190136,Jonas Brothers,2007-08-07," One, two, three, four! Baby Bottle Pop, baby bottle pop You can lick it, shake it, and dunk it Sweet candy fun!   Baby Bottle Pop, baby bottle Pop You can lick it, shake it and dunk it   I love it Gotta have it Never see me without it my baby Baby Bottle Pop!   I love it Gotta have it There’s no seeing me without it my baby, yeah Uh oh, oh!   Baby Bottle Pop, baby bottle pop You can lick it, shake it and dunk it Sweet candy fun!   Baby Bottle Pop, baby Bottle Pop You can lick it, shake it and dunk it Uh! Oh! Uh! Oh, oh! Uh oh, oh!   Baby Bottle Pop, baby bottle pop You can lick it, shake it and dunk it",0.9563,0,4,5,0,19,16,19,0,13,2
6,6,/songs/185654,Jonas Brothers,BB Good,https://genius.com/Jonas-brothers-bb-good-lyrics,http://api.genius.com/songs/185654,A Little Bit Longer,2008-08-12," I'll pick you up at seven, we can drive around and see a movie Every scene will have a meaning, but you'll be the one that moves me I've been hurt before, so baby, promise that you're gonna be true I'm gonna be be good so tell me that you're gonna be good too, yeah   You gotta be be good to me I'm gonna be be good to you We'll be happy as can be Just gotta be be good to me Baby   Gonna treat you right, we're never gonna fight Now baby, you can trust me When I hold you tight, I feel alright I guess that I'm just lucky I've been hurt before, so baby, promise that you're gonna be true I'm gonna be be good so tell me that you're gonna be good too   You gotta be be good to me I'm gonna be be good to you We'll be happy as can be Just gotta be be good to me Baby   Listen girl, you gotta be good I don't wanna hurt you I wanna kiss you!   You gotta be be good to me I'm gonna be be good to you We'll be happy as can be Just gotta be be good to me Baby You gotta be be good to me I'm gonna be be good to you We'll be happy as can be Just gotta be be good to me Yeah   Listen girl, you're outta control I think that you and me would be a great coup- Oh... Yeah",0.9991,6,23,1,5,34,5,36,4,22,28
7,7,/songs/185859,Jonas Brothers,Black Keys,https://genius.com/Jonas-brothers-black-keys-lyrics,http://api.genius.com/songs/185859,"Lines, Vines and Trying Times",2009-06-12," She walks away Colors fade to gray Every precious moment's now a waste She hits the gas hoping it would pass The red lights starts to flash It's time to wait   And black keys never looked so beautiful And a perfect rainbow never seemed so dull And the lights out never had this bright a glow And the black keys Showing me a world I never knew, no A world I never knew   She hates the sun 'cause it proves she's not alone And the world doesn't revolve around her soul, no She loves the sky 'cause it validates her pride Never lets them know when she is wrong   And black keys never looked so beautiful And a perfect rainbow never seemed so dull And the lights out never had this bright a glow And the black keys Showing me a world I never knew, no Yeah, and the walls are closing in Don't let 'em get inside of your head Don't let 'em get inside of your head Don't let 'em get inside of your head Don't let them inside   And black keys never looked so beautiful And a perfect rainbow never seemed so dull, oh And the lights out never had this bright a glow And the black keys Showing me a world I never knew, no   Don't let 'em get (Don't let 'em get) Inside of your head (No) Don't let 'em get inside of your head Don't let 'em get (Don't let 'em get) Inside of your head Don't let 'em get (No) Inside of your head Sometimes, you'll find it's better black and white",0.9933,2,12,3,1,14,16,25,12,2,18
8,8,/songs/190201,Jonas Brothers,Bounce,https://genius.com/Jonas-brothers-bounce-lyrics,http://api.genius.com/songs/190201,None,2019-03-05," Lets get it bouncing in here   Bounce, just bounce Let me see that body bounce Because my rhymes are so fly And my jeans are so tight That I make these people bounce  Bounce just bounce Let me see that body bounce Because my rhymes are so fly And my jeans are so tight That I make these people bounce   Let me see that body bounce, baby Let me see that body bounce Let me see that body bounce right (Yeah Man)   Now I'm the kind of guy that likes to bounce Now I'm the kind of guy that's got a pet mouse I'm the kind of guy that likes to scream And all these other people want to do it like me   So bounce Just bounce Let me see that body bounce Because my rhymes are so fly And my jeans are so tight That I make these people bounce  So bounce Just bounce Let me see that body bounce Because my rhymes are so fly And my jeans are so tight That I make these people bounce   Dance Break   Uh, uh, uh B to the O to the U to the N to the C to the E Wait I can't dance   That's okay. We'll show you how to bounce   B to the O to the U to the N to the C to the E Wait I can't dance   That's okay. We'll show you how to bounce   B is for bouncing O is for opportunity U is for unity N is for nutrition C is for community And E is for Everybody   And do the bounce now And do the bounce Let me see you bounce Just bounce Just bounce Let me see that body bounce Because my rhymes are so fly And my jeans are so tight That I make these people bounce   Let me see that body bounce Because my rhymes are so fly And my jeans are so tight That I make these people bounce   Do the ham and cheese Do the ham and cheese   (Let me see that body bounce)   Do the ham and cheese Do the ham and cheese   (Let me see that body bounce)   Do the chicken wing Do the chicken wing   Yeah, man Just remember one thing Keep on bouncing I want to thank MC D Love DJ Danger KJ 2 And my main man Big Rob Productions (BRP) That's all we got for now But keep it funky And keep it bouncing All the way to the top Aha ha!",0.826,2,5,2,5,8,6,14,2,2,10
9,9,/songs/174671,Jonas Brothers,Burnin' Up,https://genius.com/Jonas-brothers-burnin-up-lyrics,http://api.genius.com/songs/174671,A Little Bit Longer,2008-06-19," I'm hot, you're cold You go around like you know Who I am, but you don't You've got me on my toes   I'm slipping into the lava And I'm trying to keep from going under Baby, who turned the temperature hotter? 'Cause I'm burnin' up, burnin' up for you, baby Come on, girl  [Verse 2: Joe Jonas & Nick Jonas] I fell (I fell) so fast (So fast) Can't hold myself back High heels (High heels), red dress (Red dress) All by yourself, gotta catch my breath   I'm slipping into the lava And I'm trying to keep from going under Baby, who turned the temperature hotter? 'Cause I'm burnin' up, burnin' up for you, baby   Walk in the room, all I can see is you, oh Staring me down, I know you feel it, too   I'm slipping into the lava And I'm trying to keep from going under Baby, who turned the temperature hotter? 'Cause I'm burnin' up, burnin' up for you, baby   Slipping into the lava And I'm trying to keep from going under Baby, who turned the temperature hotter? 'Cause I'm burnin' up, burnin' up for you, baby  [Verse 3: Big Rob & (The Jonas Brothers)] Yo, we're burning up in this place tonight Your Brothers sing it loud (And we're feeling right) Get up and dance (Don't try and fight it) Big Rob's for real (And that's no lie) Stop, drop and roll (And touch the floor) (It keeps on burnin' up) more and more I got JB with me (Laying it down) Come on boys, let’s bring the chorus around   I'm slipping into the lava And I'm trying to keep from going under (Yeah) Baby, who turned the temperature hotter? (Come on, man) 'Cause I'm burnin' up, burnin' up for you, baby   Burnin' up (Sup?), burnin' up for you, baby",-0.87,11,2,5,9,14,17,20,7,2,8
