,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/2282659,Jordin Sparks,1000,https://genius.com/Jordin-sparks-1000-lyrics,http://api.genius.com/songs/2282659,Right Here Right Now,2015-08-21," Oh yeah Okay, woo, ha Let me tell you a little something   You ain't gotta lie to me (nope, nope) Just keep it real for me baby Oh, I chill with you cause You understand the limitations So I'm off in the cut (ain't worried 'bout nothing) Cause I know what we got (so why you tripping?) Move how we move, no smoke screen Keep it 1000, 1000, 1000 I love it, one, zero, zero, zero   Ain't no strings, whats understood Ain't gotta be explained Cause we keep it 1000, thousand, baby We keep it 1000, baby, just like my momma   No second guessing Cause we both know That it ain't a thing If we had to let this go So we do what we want (ain't worried about nothing) Cause we know what we go (so why you tripping?) Won't waste my time pretending That's why I keep it 1000 babe   Ain't no strings, whats understood Ain't gotta be explained Cause we keep it 1000, thousand, baby We keep it 1000, baby, just like my momma  [Verse 3: J-Doe] I been tryna keep it 1000, I be tryna keep it 1000 Cause my girl find out about everything If I do some bullshit she gon' know about it If I move around with some bust downs It gonna Instagram her just like a pic She gonna call me up out of nowhere on some psychic shit I'm convinced she do voodoo, I'm convinced she got screws loose I'm convinced all the ugly girls saying all the pretty ones coo coo The OG told me ""look, that's how it is, that's how it be"" As long as I ain't coming back with no kids, why you trippin' on me? I be strapped up when I be out here if it is   Ain't no strings, it's understood Ain't gotta be explained Cause we keep it 1000, thousand, baby We keep it 1000, baby, just like my momma   Just like my momma",0.928,6,4,4,0,9,11,10,5,0,5
1,1,/songs/2261396,Jordin Sparks,100 Years,https://genius.com/Jordin-sparks-100-years-lyrics,http://api.genius.com/songs/2261396,Right Here Right Now,2015-07-24," There's nothing better than you babe Can't wait to kiss you every day Could it really be, I got that special key To lock your heart in place What am I supposed to do? Wishing when you're in the other room You're the only one who can break through All I think about is pleasing you   A hundred years is not enough time with you I fantasize about all that we could do I wish you knew how much I really love you Don't go nowhere, baby, yeah   All I need is more time, more time Just a little more time, more time Need a little more time, more time With you, hey   This morning when we kissed I felt everything you wanted to say No words even needed to be said You looked right in my eyes And I knew   Let me catch you staring at me Can't begin to describe that feeling Things are running through my mind Chills go down my spine You take me to bed I can't get enough of your smile One day I'll see it at the end of an aisle You put your hand in mine We'll leave the past behind And start our brighter days   A hundred years is not enough time with you I fantasize about all that we could do I wish you knew how much I really love you Don't go nowhere, baby, yeah   All I need is more time, more time Just a little more time, more time Need a little more time, more time With you, hey   The seconds, the minutes, the hours Are just too precious to waste So when your arms are wrapped around me I can take on anything Can love transcend past this place? Cause when we're gone, I still think I love you, let me say it again   A hundred years is not enough time with you I fantasize about all that we could do I wish you knew how much I really love you Don't go nowhere, baby, yeah   All I need is more time, more time Just a little more time, more time Need a little more time, more time With you, hey",0.9914,2,26,2,1,13,6,18,2,7,6
2,2,/songs/268534,Jordin Sparks,11:11,https://genius.com/Jordin-sparks-11-11-lyrics,http://api.genius.com/songs/268534,#ByeFelicia,2013-11-17," It's 11:11 and the world is windin' down Thinkin' damn, I could use a shooting star right now I wish I was perfect enough for you, I wish I was flawless, just like you I wish I was sane enough, but I'm just crazy, baby   Crazy over you Crazy over you Can you play me? Will you save me? Lookin' at you makes me weak Can you help me? Would you tell me? You don't want nobody else but me I wish you were (already mine, already mine) I wish you were (already mine, already mine) Just gotta hear you one time Just gotta hear you one time I wish you were, already mine   Now it's 11 past 12, I keep lookin' at my caller ID But you ain't even got my number, why the hell would you be callin' me? I wish you were closer, closer to me, and if I would grow, can be all I need Maybe you noticed, and seen me, call me crazy, baby   Crazy over you Crazy over you Can you play me? Will you save me? Lookin' at you makes me weak Can you help me? Would you tell me? You don't want nobody else but me I wish you were (already mine, already mine) I wish you were (already mine, already mine) Just gotta hear you one time Just gotta hear you one time I wish you were, already mine   It's 11:11 and the world is windin' down",0.9711,9,7,2,8,7,9,9,7,0,7
3,3,/songs/466163,Jordin Sparks,Battlefield,https://genius.com/Jordin-sparks-battlefield-lyrics,http://api.genius.com/songs/466163,Battlefield,2009-05-08," Don't try to explain your mind I know what's happening here One minute it's love and suddenly It's like a battle-field One word turns into war Why is it the smallest things that tear us down? My world's nothing when you're gone I'm out here without a shield Can't go back now   Both hands tied behind my back for nothing Oh no These times when we climb so fast to fall again Why we gotta fall for it now?   I never meant to start a war You know I never wanna hurt you Don't even know what we're fighting for Why does love always feel like... A battlefield (battlefield) A battlefield (battlefield) A battlefield (battlefield) Why does love always feel like... A battlefield (battlefield) A battlefield (battlefield) A battlefield (battlefield) Why does love always feel like...   Can't swallow our pride Neither of us wanna raise that flag If we can't surrender Then we both gonna lose what we had, oh no   Both hands tied behind my back for nothing Oh no These times when we climb so fast to fall again I don't wanna fall for it now?   I never meant to start a war You know I never wanna hurt you Don't even know what we're fighting for Why does love always feel like... A battlefield (battlefield) A battlefield (battlefield) A battlefield (battlefield) Why does love always feel like A battlefield (battlefield) A battlefield (battlefield) A battlefield (battlefield)  [Post-Chorus I guess you better go and get your armor (get your armor) Get your armor (get your armor) I guess you better go and get your armor (get your armor) Get your armor (get your armor) I guess you better go and get your...   We could pretend that we are friends tonight And in the morning we'd wake up and we'd be alright Cause baby, we don't have to fight And I don't want this love to feel like...   A battlefield (battlefield) A battlefield (battlefield) A battlefield (battlefield) Why does love always feel like... A battlefield (battlefield) A battlefield (battlefield) A battlefield (battlefield) Guess you better go and get your armor   I never meant to start a war You know I never wanna hurt you Don't even know what we're fighting for Why does love always feel like... A battlefield (battlefield) A battlefield (battlefield) A battlefield (battlefield) Why does love always feel like... A battlefield (battlefield) A battlefield (battlefield) A battlefield (battlefield)   I guess you better go and get your armor (get your armor) Get your armor (get your armor) I guess you better go and get your armor (get your armor) Get your armor (get your armor)   Why does love always feel like... Why does love always feel like... A battlefield (battlefield) A battlefield (battlefield)   I never meant to start a war Don't even know what we're fighting for I never meant to start a war Don't even know what we're fighting for",-0.8086,11,7,1,81,15,75,44,9,8,29
4,4,/songs/2280386,Jordin Sparks,Boyz in the Hood,https://genius.com/Jordin-sparks-boyz-in-the-hood-lyrics,http://api.genius.com/songs/2280386,Right Here Right Now,2015-08-14," Hey, ey, ey, ey, ey, ey   See every good girl looking for a bad boy You know them 'let they pants sag' boys Cause I love the way his tattoos show (ooh) And I love the way his dreads hang low (ooh) Drop top on the Benz, stunting real low (real low) On twenty-two's at a minimal (minimal)   And we rolling down the street (street) And them Jay's on his feet (feet) And his chains all on me, yeah, his chains all on me, yeah   Oh, oh, oh, oh, oh My baby from the block so he know just how to show me love Oh, oh, oh, oh, oh All around the world, yeah, every girl know what's up   I swear all, I swear all, I swear all (I swear all them girls) All the girls (tell me what they like) They like them boyz in the hood, boyz in the hood Boyz in the hood, boyz in the hood All, all the girls (tell me what they want?) They like them boyz in the hood, boyz in the hood Boyz in the hood, boyz in the hood   See every good girl looking for a bad boy You know them 'grill-lit smile' boys And he always got some bands in his jeans And I love it when his hands all over me Snapbacks, tattoos and a V-neck (V-neck) Is all he'll ever need to be fresh (be fresh)   And we rolling down the street (street) And them Jay's on his feet (feet) And his chains all on me, yeah, his chains all on me   Oh, oh, oh, oh, oh My baby from the block so he know just how to show me love Oh, oh, oh, oh, oh All around the world, yeah, every girl know what's up   I swear all, I swear all, I swear all (I swear all them girls) All the girls (tell me what they like) They like them boyz in the hood, boyz in the hood Boyz in the hood, boyz in the hood All (I swear all), all the girls (tell me what they like) They like them boyz in the hood, boyz in the hood Boyz in the hood, boyz in the hood   I said he knows how to love me And every time he touch me I'm so high when he put it down All my ladies say, oh, oh, oh Let me hear the ladies say, oh, oh, oh, oh I said he knows how to love me And every time he touch me I love it when my baby come around All my ladies say, oh, oh, oh Now everybody say, oh, oh, oh, oh Oh, Oh hey yeah   I swear all (I swear all them girls) All the girls (tell me what they like!) They like them boyz in the hood, boyz in the hood Boyz in the hood, boyz in the hood All (All them girls), all the girls (tell me what they like) They like them boyz in the hood, boyz in the hood Boyz in the hood, boyz in the hood   Hey, hey, hey Oh",0.9935,26,6,30,28,14,32,28,2,3,20
5,5,/songs/2285103,Jordin Sparks,Casual Love,https://genius.com/Jordin-sparks-casual-love-lyrics,http://api.genius.com/songs/2285103,Right Here Right Now,2015-08-21," You've been here all this time Ooh, your love's been heavy on my mind Don't know how to describe The way you made me feel Took me on a high   And I know I'm hurting when you're not around And I know I'm yearnin' for your love, baby   I don't wanna be just another girl to you I don't wanna be just a casual lover I don't wanna be just another girl you knew I don't wanna be just a casual love   Don't want no fussin' fight The pain I've been through, baby Now I see the light No more lonely days and night No, I might not know if what we have is right   And I know I'm hurting when you're not around And I know I'm yearnin' for your love, baby   I don't wanna be just another girl to you I don't wanna be just a casual lover I don't wanna be just another girl you knew I don't wanna be just a casual love   This love can last forever if we just hold on tight I know that I am better with you by my side I gave my heart so freely and laid it all on the line Cause lovin' you is like breathin' It's so easy   Cause loving's you is so easy She love when (?), my love is guaranteed, yeah I'm one phone call away, girl, if you need me I'm your's, if you need a shoulder if you lean, yeah You don't (?) my love you know Relax and drop your arms, (?) Regard the things I do for you comes naturally Not anyone can get it casually, aye   I don't wanna be just another girl to you I don't wanna be just a casual lover I don't wanna be just another girl you knew I don't wanna be just a casual love   I don't want to be no, no I don't want to be no, no, no",0.9972,4,4,1,5,18,5,37,4,0,23
6,6,/songs/2275718,Jordin Sparks,Don't Let It Go to Your Head,https://genius.com/Jordin-sparks-dont-let-it-go-to-your-head-lyrics,http://api.genius.com/songs/2275718,Battlefield,2009-08-14," So what if I came clean and told you all you mean to me So what if I meant every word I said Baby, don't let it go to your head So what if I write your name 'cause you're always on my brain In a heart, I paint it crimson red Baby, don't let it go to your head   Don't be getting any big ideas Let me make it clear   Just 'cause I can't go on Just 'cause I die when you're gone Just 'cause I think of you in bed Don't let it go to your head If I looked in your eyes One, two, too many times And memorized every word you said Don't let it go to your head, oh Don't let it go to your head, oh   So what if I want to kiss from your toes up to your lips It don't mean that you've had me yet You're gonna be good, I bet   I'm the one whose in control here Let me make it clear   Just 'cause I can't go on Just 'cause I die when you're gone Just 'cause I think of you in bed Don't let it go to your head If I looked in your eyes One, two, too many times And memorized every word you said Don't let it go to your head, oh Don't let it go to your head, oh   Now you think you got me Well, I'm gonna get you Now you think you can touch me Well, I'm gonna let you   Just 'cause I can't go on Just 'cause I die when you're gone Just 'cause I think of you in bed Don't let it go to your head Just 'cause I can't go on Just 'cause I die when you're gone (die when you're gone) Just 'cause I think of you in bed Don't let it go to your head If I looked in your eyes (eyes) One, two, too many times (too many times) And memorized every word you said Don't let it go to your head, oh (Don't let it go to your head) Don't let it go to your head, oh (Don't let it go to your head) Your head   Don't let it go to your head (don't let it go) Don't let it go to your head (don't let it go) Don't let it go to your head (don't let it go)",-0.0609,0,6,0,5,5,5,31,5,2,28
7,7,/songs/690618,Jordin Sparks,Double Tap,https://genius.com/Jordin-sparks-double-tap-lyrics,http://api.genius.com/songs/690618,#ByeFelicia,2014-11-25," Hair done, fitted and I'm on one Bet I look better than your last one Babe, I know we don't care Instafamous ova night, yeah Don't be scared to admit it Seen you look from the start, oh On my Instagram, you be lookin' Secret looks on your phone, I know   Baby, on the low You stay on my page 'cause I guess I'm your favorite But you won't let it show, no way If you like what you see then you gotta let me know That you won't double tap that ho That you won't double tap that ho   Go and lemme know about ya Hashtag, somethin', show you're gangsta Oh no, don't be no square Just say it, just say it if ya want me   Baby, on the low You stay on my page 'cause I guess I'm your favorite But you won't let it show, no way If you like what you see then you gotta let me know That you won't double tap that ho (hey) That you won't double tap that ho   2 Chainz, yeah You must be a psychic 'cause I've been lookin' Ya ass gettin' fine, what ya been cookin'? Niggas know I woulda been took it School of hard knocks, they were playin' hooky I really did it 'cause I say I did it It's a turn on if a girl say she independent It's a turn on if a girl say she ain't offended If I ask her, can a homegirl come to dinner? Keepin' a picture, is you a singer or a stripper? Tryna get with you, your other nigga unofficial Now is it an issue? Well, I ain't think it was an issue 'Cause when I get with you, I double tap more than a picture   Baby, on the low You stay on my page 'cause I guess I'm your favorite But you won't let it show, no way If you like what you see then you gotta let me know That you won't double tap that ho That you won't double tap that ho That you won't double tap that ho Hey, hey, hey, hey That you won't double tap that ho Double tap, double tap Double tap that, watch me double tap",0.6661,1,2,0,1,6,2,10,1,3,12
8,8,/songs/1443150,Jordin Sparks,Emergency (911),https://genius.com/Jordin-sparks-emergency-911-lyrics,http://api.genius.com/songs/1443150,Battlefield,2009-08-14," You know my ringtone (Why don't you answer the phone?) If you don't get here (I'm dancing alone) Get in the fast lane, 'cause someone will ask me If you don't I hear the music (I'm ready to go) You better get here ('Cause I'm dancing alone) You better get driving and turn on the siren 'Cause you're in the danger zone   You know it's Friday Why don't you call me? You got my number Hey, I'm still waiting Why don't you call me? Aren't you my boyfriend? You were supposed to be here Like an hour ago   I bought this dress for you I got my legs so smooth I got my mani pedi Went and got my hair done too All dressed up and nowhere to go, oh   It's an emergency I need you here with me It's a 911, 911 It's an emergency Can't you see? It's a 911, 911 Dying of dance deprivation Emotional starvation I need resuscitation Gettin' impatient It's an emergency (Emergency) Emergency (Emergency) 911, 911   You know I told you You can't be late now Watching my watch tick, tick, tick, tick, tick There goes my attitude I'm almost over you You were supposed to be here like an hour ago   That's what you always do, give me some lame excuse Like you were workin', sleepin' Come on baby, try the truth All dressed up and nowhere to go, oh   It's an emergency I need you here with me It's a 911, 911 It's an emergency Can't you see? It's a 911, 911 Dying of dance deprivation Emotional starvation I need resuscitation Gettin' impatient It's an emergency (Emergency) Emergency (Emergency) 911, 911   You know my ringtone (Why don't you answer the phone?) If you don't get here (I'm dancing alone) Get in the fast lane 'Cause someone will ask me If you don't I hear the music (I'm ready to go) You better get here ('Cause I'm dancing alone) You better get driving and turn on the siren 'Cause you're in the danger zone   It's an emergency I need you here with me It's a 911, 911 (it's a 911) It's an emergency Can't you see? It's a 911, 911 Dying of dance deprivation Emotional starvation I need resuscitation Gettin' impatient (oh, yeah, yeah) It's an emergency (emergency) Emergency (emergency) 911, 911  ",-0.9711,6,6,6,32,6,36,15,32,18,12
9,9,/songs/1724829,Jordin Sparks,Faith,https://genius.com/Jordin-sparks-faith-lyrics,http://api.genius.com/songs/1724829,Battlefield,2009-08-14," Hey there sad eyes What's on your mind? Don't look so down Give it some time You don't have to be so hard on yourself I know the world can be a brutal place Please, don't let it steal your smile away   Cause when the sky's the darkest You can see the stars And when you fall the hardest You find how strong you are Close your eyes Rest awhile It's been a long long day So come on baby baby Have a little faith   Let those tears fall You gave it your all It's all you can do I'll be here for you And there goes your pride Crushed on the ground Sometimes it takes a wall to tumble down For you to see who's gonna stick around   Cause when the sky's the darkest You can see the stars And when you fall the hardest You find how strong you are Close your eyes Rest awhile It's been a long long day So come on baby, baby Have a little faith   Sometimes it gets worse before it gets better, yeah And it takes so much to be brave Sometimes you're afraid it'll hurt forever But when all the lights begin to fade   And when the sky's the darkest You can see the stars When you fall the hardest You find how strong you are Close your eyes And rest awhile It's been a long long day So come on baby, baby Come on baby, baby And have a little faith Have a little faith Oohh oh oohh Have a little faith Have a little faith",0.9304,4,16,1,6,19,12,28,8,1,14
