,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/3934241,Josh Groban,99 Years,https://genius.com/Josh-groban-99-years-lyrics,http://api.genius.com/songs/3934241,Bridges,2018-09-21," Boy meets girl and the world stops turning She makes him forget all the rules he was learning They give a toast to the ones who never stop hoping With not much to lean and eyes wide open And they look up high and wonder what the future's gonna hold   Will we look back down on 99 years of a wonderful life? Where we laughed till we cried and our love grew stronger with every fight There'll be a thousand moments for you to say ""I told you"" And a million more for us to say ""I love you"" So let's look forward to you and I looking back At 99 years like that, at 99 years like that   They build a house of love in the face of worry But life has a way of rewriting the story There were times when it looked like nothing could save them And there were times when it looked like nothing could break them They keep promising each other what the future's gonna hold   Will we look back down on 99 years of a wonderful life? Where we laughed and we cried and our love grew stronger with every fight There'll be a thousand moments for you to say ""I told you"" And a million more for us to say ""I love you"" So let's look forward to you and I looking back To 99 years   Of nothing unspoken Live every day hoping That when we feel broken Our scars make us golden Still choose you and I   Will we look back down on 99 years of a wonderful life? Where we laughed till we cried and our love was stronger with every fight There'll be a thousand moments for you to say ""I told you"" And a million more for us to say ""I love you"" So let's look forward to you and I looking back At 99 years like that Oh, at 99 years like that At 99 years like that",0.9948,5,3,2,7,12,8,18,3,4,5
1,1,/songs/893628,Josh Groban,Alejate,https://genius.com/Josh-groban-alejate-lyrics,http://api.genius.com/songs/893628,Josh Groban,2001-11-20,"Jamas senti en el alma tanto amor Y a nadie mas que tu, mi amor Por ti rei, llore, renaci tambien Lo que tuve di, por tenerte aqui Ya se que despedirnos es mejor Sufriendo pagare mi error Ya nada sera igual, lo tengo que aceptar Y hallar la fuerza en mi para este adios Alejate, no puedo mas Ya no hay manera de volver el tiempo atras Olvidate de mi Y dejame seguir a solas con mi soledad Alejate, ya dime adios Y me resignare a seguir sin tu calor Y jamas entendere que fue lo que paso Si nada puedo hacer, alejate No voy a arrepentirme del ayer Amando te hice mujer Por el amor aquel, por serte siempre fiel Hoy tengo que ser fuerte y aprender Alejate, no puedo mas Ya no hay manera de volver el tiempo atras Olvidate de mi Y dejame seguir a solas con mi soledad Alejate, ya dime adios Y me resignare a seguir sin tu calor Y jamas entendere que fue lo que paso Si nada puedo hacer, alejate Alejate, no puedo mas Ya no hay manera de volver el tiempo atras Olvidate de mi Y dejame seguir a solas con mi soledad Alejate, ya dime adios Y me resignare a seguir sin tu calor Y jamas entendere que fue lo que paso Si nada puedo hacer, alejate",-0.9169,3,0,3,3,0,4,1,4,0,0
2,2,/songs/2252742,Josh Groban,"All I Ask Of You (From ""The Phantom Of The Opera"")",https://genius.com/Josh-groban-all-i-ask-of-you-from-the-phantom-of-the-opera-lyrics,http://api.genius.com/songs/2252742,Stages,2015-04-20," No more talk of darkness Forget these wide-eyed fears I'm here, nothing can harm you My words will warm and calm you Let me be your freedom Let daylight dry your tears I'm here, with you, beside you To guard you and to guide you   Say you'll love me every waking moment Turn my head with talk of summer time Say you need me with you now and always Promise me that all you say is true That's all I ask of you   Let me be your shelter Let me be your light You're safe, no one will find you Your fears are far behind you   All I want is freedom A world with no more night And you, always beside me To hold me and to hide me   Then say you'll share with me one love, one lifetime Let me lead you from your solitude Say you want me with you here, beside you Anywhere you go, let me go too That's all I ask of you   Say you'll share with me one love, one lifetime Say the word and I will follow you   Share each day with me, each night, each morning   Say you love me   You know I do   Love me, that's all I ask of you Anywhere you go, let me go too Love me, that's all I ask of you",0.9905,3,4,0,6,14,5,23,1,0,13
3,3,/songs/2189180,Josh Groban,All'Improvviso Amore,https://genius.com/Josh-groban-allimprovviso-amore-lyrics,http://api.genius.com/songs/2189180,Closer,2003-11-11,"Il vento che soffia piano Questa notte cambia il mio destino E sento che il cuore Ancora si sorprenderà  La vita ora ha più senso Se guardo questo cielo immenso E la luna inamorata Si illuminerà di me E sarà  All'improvviso amore Come il mare M'invade il cuore e l'anima E mi salverà E sarà naturale come respirare L'aria in me, mi parlerà di te  Adesso tutto è diverso Respiro te nell'universo I tuoi occhi sono due stelle nell'oscurità  All'improvviso amore Come il mare M'invade il cuore e l'anima E mi salverà E sarà naturale come respirare  E sarà vero amore Che guarisce il cuore Luce dentro me nascerà",0.34,2,0,0,2,0,2,0,2,2,0
4,4,/songs/1463587,Josh Groban,Angels We Have Heard on High,https://genius.com/Josh-groban-angels-we-have-heard-on-high-lyrics,http://api.genius.com/songs/1463587,Noël,2016-10-28,"Angels we have heard on high Sweetly singing o'er the plains And the mountains in reply Echoing their joyous strains  Gloria In excelsis deo Gloria In excelsis deo  Come to Bethlehem and see Christ whose birth the angels sing Come, adore on bended knee Christ the Lord, the newborn King  Gloria In excelsis deo Gloria In excelsis deo  On the day that Christ was born The angels sang Such a heavenly song In excelsis deo, ohh  Gloria In excelsis deo Gloria In excelsis deo  Gloria In excelsis deo In excelsis deo",0.9274,0,8,1,1,8,1,10,1,3,8
5,5,/songs/2067098,Josh Groban,"Anthem (From ""Chess"")",https://genius.com/Josh-groban-anthem-from-chess-lyrics,http://api.genius.com/songs/2067098,Stages,2015-04-20,"No man, no madness Though their sad power may prevail Can possess, conquer, my country's heart They rise to fail She is eternal Long before nations' lines were drawn When no flags flew, when no armies stood My land was born And you ask me why I love her Through wars, death and despair She is the constant We who don't care And you wonder will I leave her -- but how? I cross over borders but I'm still there now How can I leave her? Where would I start? Let man's petty nations tear themselves apart My land's only borders lie around my heart",-0.9372,5,4,3,6,2,9,6,6,3,4
6,6,/songs/929852,Josh Groban,Au Jardin des Sans-Pourquoi,https://genius.com/Josh-groban-au-jardin-des-sans-pourquoi-lyrics,http://api.genius.com/songs/929852,Illuminations,2010-09-13,"Retournons avant la guerre Avant la fin Avant le besoin de toutes ces prieres Aucun mal Aucun bien Aucun mot croche Ni mots malins que l'on dit quand on n'sait pas  Sous un ciel bleu, ciel sans nuage Retournons la-bas Sans orage Retournons la-bas Au jardin des sans pourquoi  Je t'ai vue te promener la-bas Sous l'arc-en-ciel Brillante comme une etincelle dans la nuit Ou je t'ai vue aussi Tombant du ciel Comme une larme de st laurent, disparaissant Dans un ciel blue, ciel sans nuage Retournons la-bas Sans orage Retournons la-bas Au jardin des sans pourquoi",0.0,0,0,0,0,0,0,0,1,0,0
7,7,/songs/1279116,Josh Groban,Ave Maria,https://genius.com/Josh-groban-ave-maria-lyrics,http://api.genius.com/songs/1279116,Noël,2016-10-28,"Ave Maria Gratia plena Maria, gratia plena Maria, gratia plena Ave, ave dominus tecum Benedicta tu in mulieribus Et benedictus Benedictus fructus ventris tui Tui, Jesus Ave Maria  Ave Maria Gratia plena Maria, gratia plena Maria, gratia plena Ave, ave dominus Dominus tecum  Benedicta tu in mulieribus Et benedictus Benedictus fructus ventris tui Tui, Jesus Ave Maria Ave Maria",0.0,0,0,0,0,0,0,0,0,0,0
8,8,/songs/1581830,Josh Groban,Awake,https://genius.com/Josh-groban-awake-lyrics,http://api.genius.com/songs/1581830,Awake,2006-11-07,"A beautiful and blinding morning The world outside begins to breathe See clouds arriving without warning I need you here to shelter me  And I know that only time will tell us how To carry on without each other  So keep me awake to memorize you Give me more time to feel this way We can't stay like this forever But I can have you next to me today  If I could make these moments endless If I could stop the winds of change If we just keep our eyes wide open Then everything would stay the same  And I know that only time will tell me how We'll carry on without each other  So keep me awake for every moment Give us more time to be this way We can't stay like this forever But I can have you next to me today  We'll let tomorrow wait, you're here, right now, with me All my fears just fall away, when you are all I see  We can't stay like this forever But I have you here today  And I will remember Oh I will remember Remember all the love we shared today",0.1238,2,6,0,4,3,4,4,2,0,2
9,9,/songs/1582392,Josh Groban,Bells of New York City,https://genius.com/Josh-groban-bells-of-new-york-city-lyrics,http://api.genius.com/songs/1582392,Illuminations,2010-09-13,"There's a pale winter moon in the sky coming through my window And the park is laid out like a bed below It's a cold, dark night and my heart melts like the snow And the bells of New York City tell me not to go  It's always this time of year that my thoughts undo me With the ghosts of many lifetimes all abound But from these mad heights I can always hear the sound Of the bells of New York City singing all around  Stay with me, stay with me Refuge from these broken dreams  Wait right here oh wait with me On silent snow filled streets  Sing to me one song for joy and one for redemption And whatever is in between that I call mine With the street lamp light to ILLUMINATE the gray And the bells of New York City calling me the stay The bells of New York City calling me to stay",0.4215,2,7,2,3,3,6,5,5,1,1
