,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/3026497,Josh Turner,All About You,https://genius.com/Josh-turner-all-about-you-lyrics,http://api.genius.com/songs/3026497,Deep South,2017-05-15," Friday night, gonna pick you up Where it goes from there, it doesn't matter much 'Cause it's all about you Yeah, it's all about you Heading out or hanging in Movie on the couch or a hillbilly band Girl, it's all about you Yeah it's all about you   I don't care what we do, what we don't girl I'm just freaking digging living in your world You got the hot, I gotta get next to Where we go, where we get, how we get down Don't matter girl, as long as we're getting around Just messing around, baby ooh, baby ooh Yeah, it's all about you   Bust my butt for every cent Just to spend all them dead presidents Yeah, it's all about you Girl it's all about you All my buddies giving me lip Saying that there boy's just a little bit whipped Well, maybe that's true 'Cause it's all about you   I don't care what we do, what we don't girl I'm just freaking digging living in your world You got the hot, I gotta get next to Where we go, where we get, how we get down Don't matter girl, as long as we're getting around Just messing around, baby ooh, baby ooh Yeah, it's all about you   Find me a banjo I can bang on Just might write me a little love song Going ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh Ooh, ooh, yeah, it's all about you   I don't care what we do, what we don't girl I'm just freaking digging living in your world You got the hot, I gotta get next to Where we go, where we get, how we get down Don't matter girl, as long as we're getting around Just messing around, baby ooh, baby ooh Yeah, it's all about you Yeah, it's all about you   Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh Ooh, ooh, yeah, it's all about you Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh It's all about you Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh Ooh, ooh, yeah, it's all about you Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh It's all about you Ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh",5,4,3,2,9,4,21,3,1,12,0.7943
1,1,/songs/445699,Josh Turner,All Over Me,https://genius.com/Josh-turner-all-over-me-lyrics,http://api.genius.com/songs/445699,Haywire,2010-02-09," Well the weather man says it's going to be a hot one, heard it on the radio Load up the boat, grab your girl if you got one, nice little breeze going to blow Baby I'm on my way to come and get you, meet me at the end of your drive Grab your shades and your string bikini and your Coppertone 45   Bring on the sunshine, bring on the good times, girl let me look at you Jump in the front seat, kick up your bare feet, honey let your hair down too I know a spot down on the river, underneath the Sycamore tree Save all your kisses, but bring on your sweet love, pour it all over me All over me   We can build us a fire when we run out of daylight, let it light up your face Lay on a blanket, listen to the river, get a little carried away Well I can take a side kiss on your sweet lips, ain't going to want it to end So when the morning comes, we'll roll on out, and do it all over again     Come on Come on Come on Come on   Pour it all over me All over me",5,7,1,1,11,3,14,0,6,6,0.976
2,2,/songs/3974896,Josh Turner,Amazing Grace,https://genius.com/Josh-turner-amazing-grace-lyrics,http://api.genius.com/songs/3974896,I Serve a Savior,2018-10-26," Amazing Grace How sweet the sound That saved a wretch like me I once was lost, but now am found Was blind but now I see   T'was Grace that taught my heart to fear And Grace, my fears relieved How precious did that grace appear The hour I first believed   Through many dangers, toils and snares I have already come His grace has kept me safe thus far And grace will lead me home   The Lord has promised good to me His word my hope secures He will my shield and portion be As long as life endures   When we’ve been there ten thousand years Bright shining as the sun We've no less days to sing God's praise Than when we first begun",3,10,2,5,11,8,20,4,5,13,0.9918
3,3,/songs/445713,Josh Turner,Angels Fall Sometimes,https://genius.com/Josh-turner-angels-fall-sometimes-lyrics,http://api.genius.com/songs/445713,Your Man,2006-01-24," My chances weren't good she was way out of my reach How could she ever fall for some ol' boy like me But here she lies asleep tonight in these arms of mine And that goes to show angels fall sometimes She's been here long enough to see that I'm no saint by now Every mornin' I wake surprised to find her still around The love that she give to me could be no truer sign Every now and then angels fall sometimes She brings pieces of heaven every day into my life She's been my inspiration with her by my side I'm not afraid to dream high The love that she gives to me could be no truer sign Every now and then angels fall sometimes Yeah, I thank the Lord angels fall sometimes",1,8,3,1,9,9,10,6,8,8,0.9772
4,4,/songs/445736,Josh Turner,Another Try,https://genius.com/Josh-turner-another-try-lyrics,http://api.genius.com/songs/445736,Everything Is Fine,2007-10-30," All the things I felt and never shared All the times she was lonely with me there Tears I wouldn't let fall from my eyes, and how I let her go without a fight   The reasons I`m alone I know by heart, but I don`t want ti spend forever in the dark I swear next time I`ll hang on for dear life. If love ever gives me another try   There is no changing things that we regret The best that we can hope for is one more chance If the hands of time could just move in reverse, I wouldn't make the same mistake again with her   The reasons I`m alone I know by heart, but I don`t want ti spend forever in the dark I swear next time I`ll hang on for dear life. If love ever gives me another try The reasons I`m alone I know by heart, but I don`t want ti spend forever in the dark I swear next time I`ll hang on for dear life. If love ever gives me another try    Oh if love ever gives me another try",2,6,1,2,5,5,17,7,2,7,0.9884
5,5,/songs/445694,Josh Turner,As Fast As I Could,https://genius.com/Josh-turner-as-fast-as-i-could-lyrics,http://api.genius.com/songs/445694,Haywire,2010-02-09," Baby, I know that you've been waiting patiently For a man to give you all that you need And love you like he should Sticking to your guns, looking for the right one Just somebody who treats you good It took me a while but I got here as fast as I could   I ran full speed ahead Without stopping to rest Not knowing where I was running too Now that I'm here It's perfectly clear That I was making my way to you Can't believe how long it took But I got here as fast as I   I've ended up on at least 100 dead end roads Where my heart and I just end up broke Lost and misunderstood I tried to rush finding true love It didn't pan out how I thought it would It took me some time But I got here as fast as I could  ",2,5,1,3,6,4,10,3,2,3,0.8109
6,6,/songs/445744,Josh Turner,"Baby, I Go Crazy",https://genius.com/Josh-turner-baby-i-go-crazy-lyrics,http://api.genius.com/songs/445744,Everything Is Fine,2007-10-30," Every time you shake your hips Baby, I go crazy When you kiss me on my lips Baby, I go crazy When you call me on the phone Your sexy talking turns me on You make it tough just holding on You got me going crazy Baby, I go crazy   I see it coming and I can't help myself You give me loving like nobody else You got me falling now, I'm calling for help Girl, I'm going crazy   When you put on that party dress Baby, I go crazy You got me hooked, I must confess You got me going crazy Baby, I go crazy     You really know how to drive me wild Baby, I go crazy Crawling 'round just like a child Baby, I go crazy Darling, I go crazy Baby, I go crazy",12,4,0,12,12,17,13,14,2,3,-0.8596
7,7,/songs/445611,Josh Turner,Baby's Gone Home To Mama,https://genius.com/Josh-turner-babys-gone-home-to-mama-lyrics,http://api.genius.com/songs/445611,Your Man,2006-01-24," Rains coming down on the roof of my trailer house With my luck I'd probably step outside and drown How long will it take to get used to this doing without Guess I'll just lay around in my pajamas Baby's gone home to mama, Baby's gone home to mama   Baby's gone home, she left me alone But she said she'd phone me sometime Sad old song, left me long gone outta my mind Well, we did our best but we didn't have enough in common Sittin' here lonesome, baby's gone home to mama   Glance through the paper lookin' for somethin' to read Even the funnies weren't that funny to me It's written in the stars the future was plain to see, yeah Might've known she'd leave if I'd read Nostradamus Baby's gone home to mama   Y'all, I miss her alot but at least she took the little Chiwawa Sitting here lonesome, baby's gone home to mama Baby's long gone, baby's gone home to mama She's gone Aaah, sitting here in my pajamas My pajamas",0,6,0,1,10,4,10,4,3,1,-0.3837
8,8,/songs/445651,Josh Turner,Backwoods Boy,https://genius.com/Josh-turner-backwoods-boy-lyrics,http://api.genius.com/songs/445651,Long Black Train,2003-10-14," Woke up at 5 am, put on my camouflage Wiped off my .243 and fired up my dodge Headed out to my old dearest and back in the pines Going to get me a ten point buck with 11 inch tines, yeah Settled in, hiding from the wind, waiting on the sun You might end up being my supper if you get in the way of my gun It's so still I can hear the train from ten miles away If I'm here eight hours from now it'll be ok, yeah   Cause I'm a backwoods boy Grew up on a dirt road I'm a backwoods boy With no better place to go Waiting on a deer, wishing on a star I'll always be true to my heart Cause I'm a backwoods boy I'm a backwoods boy   Sitting on the back of Lynches River with a little campfire Sleeping on the ground, digging The sound of a backwoods choir Talking to the man in the moon Way up in the sky He told me to let my worries Roll on by   Cause I'm a backwoods boy Grew up on a dirt road I'm a backwoods boy With no better place to go Waiting on a deer, wishing on a star I'll always be true to my heart Cause I'm a backwoods boy I'm a backwoods boy I'm a backwoods boy I'm a backwoods boy I'm a backwoods boy I'm a backwoods boy",1,4,14,4,6,18,8,2,3,7,0.6369
9,9,/songs/3026501,Josh Turner,Beach Bums,https://genius.com/Josh-turner-beach-bums-lyrics,http://api.genius.com/songs/3026501,Deep South,2017-03-10," I wanna go to the riverbank Right down the road, we'll take it slow If I can get my truck to crank I wanna lay with you there in the sand Yeah, it oughta be fun layin' in the sun Working on my farmer's tan   And we can be beach bums for a while Naw, we don't even need palm trees 'Cause that's just a matter of style And we can get away from everything Yeah it's gonna be just you and me When the weekend comes And we can be beach bums   When it gets hot, let's take a dip I'll be baptized by your angel eyes And I'll taste heaven on your lips We might pack a tent and spend the night I'll play your favorite song as you sing along Right there in the firelight   And we can be beach bums for a while Naw, we don't even need palm trees 'Cause that's just a matter of style And we can get away from everything Yeah it's gonna be just you and me When the weekend comes And we can be beach bums   No I don't need no ocean breeze I got the river and you here with me   And we can be beach bums for a while Naw, we don't even need palm trees 'Cause that's just a matter of style And we can get away from everything Yeah it's gonna be just you and me When the weekend comes And we can be beach bums for a while Naw, we don't even need palm trees 'Cause that's just a matter of style We oughtta get away from everything Yeah it's gonna be just you and me   When the weekend comes And we can be beach bums Beach bums We can be beach bums",5,8,13,0,18,10,15,10,6,14,0.9642
