,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/340753,Journey,After The Fall,https://genius.com/Journey-after-the-fall-lyrics,http://api.genius.com/songs/340753,Frontiers,1983-02-23," So now love is gone I can't t go on, love is gone I want to say Now it's just too late Waited far too long   Should have told you then I knew Should have told you right From the staaart (hey) But the words Didn't come out right So I'll tell you Straight from my heart   You meant more to me Than I let you see You held on somehow All your tenderness And your sweet caress I miss you now But a headstrong stubborn man Only works it out the best he caaan Valentines he never sent There's not enough time He's a working maaan   Can't stop falling Heartaches calling Finds you after the fall Saints or sinners Take no prisoners What's left after you fall No not much no Oh I say love is gone I can't go on Now love is gone I want to say But It's just too late Waited far too long   Should have told you then I knew Should have told you right From the staaart But the words Didn't come out right So I'll tell you Straight from my heaaaart   Can't stop falling Heartaches calling Finds you after the fall Saints or sinners Take no prisoners What's left after you fall No not much no Ohh no not much Ohh no no no... After you fall ,  after you fall....  ",0.7997,4,6,4,4,8,16,12,16,3,5
1,/songs/1448379,Journey,All That Really Matters,https://genius.com/Journey-all-that-really-matters-lyrics,http://api.genius.com/songs/1448379,Time 3,1985-01-08,"See the headlines Have you heard the news They're tryin' to turn the world upside down We sit and watch it on TV Programmed prophets trying to bring us down  Give us a break now We know it can't all be bad news Let's get away now Cause when I'm holding on to you  We're all, we're all that really matters The time is now For taking our own chances We're all, all that really matters  More brain power Just to keep alive Some computer trying to shut you down Robots watchin' the way you live On a mission pushing us around  Give us a break now No way we're gonna lose We'll find a way now Cause when I'm making love to you  We're all, we're all that really matters The time is now For taking our own chances We're all, all that really matters  I wanna love you I'm gonna try to make it right Nothing can touch you We'll make a dream come true tonight  We're all, we're all that really matters The time is now For taking our own chances We're all, all that really matters  We're all, we're all that really matters We're all, all that really matters",0.9694,2,6,2,3,4,2,5,2,6,3
2,/songs/341532,Journey,Anything Is Possible,https://genius.com/Journey-anything-is-possible-lyrics,http://api.genius.com/songs/341532,Eclipse,2011-05-24," Up against the wall as you face your destiny Don't let today's regrets affect tomorrow's dreams When you shoot for the moon and you miss your mark Baby you'll still end up so high among the stars Anyone can give up when it's time to risk it all Knowing where you stand and you will never fall   If you can see how you imagine your life You want to dream now and you know that anything is possible It's not who you are, it's where you want to go You don't need a miracle, believe that anything is possible   Take it brick by brick, throw away the stone Take a chance on something, build a castle you call home Live for the moment, you cannot put into words Don't keep a song inside, let your voice be heard Find your true desire, don't be afraid to cry Better to reach for something, than to never have tried   It's time to see how you imagine your life You want to dream, you know that anything is possible It's not who you are, it's where you want to go You don't need a miracle, believe that anything is possible   It's not who you are, it's where you want to go You don't need a miracle, believe that anything is possible It's time to see how you imagine your life You want to dream, anything is possible It's not who you are, it's where you want to go You don't need a miracle, anything is possible   It's the choice you make, it's the time you take It's the risk you take, you know that anything is possible It's a choice you make, it's a time you take It's a risk you take, believe that anything is possible",-0.3134,2,14,0,5,7,9,19,3,5,14
3,/songs/340655,Journey,Anytime,https://genius.com/Journey-anytime-lyrics,http://api.genius.com/songs/340655,Infinity,1978-01-20," Ooh, ooh, anytime that you want me Ooh, ooh, anytime that you need me   Ooh, ooh, anytime that you want me to Ooh, ooh, anytime that you need me   I'm standing here with my arms a mile wide Hoping and praying for you Listen to me and enlighten me, yeah I hope that you need me too, 'cause   Ooh, ooh, anytime that you want me Ooh, ooh, anytime that you need me   Give me all of your sunshine A spark is all I need To take it away, all of the shadows Well, what more can I say, yeah, yeah   Oh, anytime at all Anytime at all Anytime at all   Ooh, ooh, anytime that you want me Ooh, ooh, anytime that you need me   Ooh, ooh, anytime that you want me to Ooh, ooh, anytime that you want me   Ooh, ooh, anytime that you need me Ooh, ooh, anytime that you want me to",0.9761,0,1,0,0,3,0,4,0,1,2
4,/songs/98480,Journey,Any Way You Want It,https://genius.com/Journey-any-way-you-want-it-lyrics,http://api.genius.com/songs/98480,Departure,1980-03-23," Any way you want it That's the way you need it Any way you want it   She loves to laugh She loves to sing She does everything She loves to move She loves to groove She loves the loving things   Ooh, all night All night Oh, every night So hold tight Hold tight Ooh, baby, hold tight Oh, she said   Any way you want it That's the way you need it Any way you want it She said, Any way you want it That's the way you need it Any way you want it   I was alone I never knew What good love could do Ooh, then we touched Then we sang About the loving things   Ooh, all night All night Oh, every night So hold tight Hold tight Ooh baby, hold tight Oh, she said   Any way you want it That's the way you need it Any way you want it I said, any way you want it That's the way you need it Any way you want it   She said ohh Hold on Hold on Hold on   Oh, she said any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it   Oh, she said any way you want it That's the way you need it Any way you want it Any way you want it That's the way you need it Any way you want it   Any way you want it That's the way you need it Any way you want it Any way you want it That's the way you need it Any way you want it   (Any way) Any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it   (Any way) Any way you want it That's the way you need it Any way you want it (Any way) Any way you want it That's the way you need it Any way you want it",0.9926,0,2,0,0,13,1,13,1,2,4
5,/songs/341558,Journey,Ask The Lonely,https://genius.com/Journey-ask-the-lonely-lyrics,http://api.genius.com/songs/341558,Frontiers,1983-02-23," You've been picked and it's over What's that chip on your shoulder? Outside were solid rainbows Inside is where the heart grows Picking up the pieces Something more to believe in   As you search the embers Think what you've had, remember Hang on, don't let go now You know, with every heartbeat, we love Nothing comes easy Hang on, ask the lonely   You've got some fascination With your high expectations This love is your obsession Your heart, your prized possession Let down your defenses Won't be up to the one who cares    When you are feeling love's unfair You just ask the lonely When you are lost in deep despair You just ask the lonely   Ask the lonely When you are down in deep despair Ask the lonely Lonely",-0.6131,12,3,11,11,4,12,10,11,1,3
6,/songs/1085809,Journey,Baby I'm a Leavin' You,https://genius.com/Journey-baby-im-a-leavin-you-lyrics,http://api.genius.com/songs/1085809,Trial By Fire,1981-07-31,"You know that my heart is true And I never lie to you We try each and everyday Still there's something in the way   I like moonlight, simple things Now you want a diamond ring I got news for you Baby I'm leaving you  We both want a love that last Girl you're moving away too fast I live for your fantasy A real love is what I need   Let me tell you girl I hear what you say, I see what you're doing girl I don't wanna play We're livin' in two different worlds  Tell me girl it ain't true The rumors that I hear about you About all the boys you knew before Who come and go right out your door   Gone I got news for you",0.955,1,0,2,0,6,3,8,2,0,4
7,/songs/340818,Journey,Baby I'm Leaving You,https://genius.com/Journey-baby-im-leaving-you-lyrics,http://api.genius.com/songs/340818,Trial By Fire,1981-07-31," You know that my heart is true And I never lie to you We try each and everyday Still there's something in the way   I like moonlight, simple things Now you want a diamond ring I got news for you Baby I'm leaving you   We both want a love that last Girl you're moving away too fast I live for your fantasy A real love is what I need   Let me tell you girl I hear what you say, I see what you're doing girl I don't want to play We're living in two different worlds   Tell me girl it ain't true The rumors that I hear about you About all the boys you knew before Who come and go right out your door   Gone I got news for you",0.9569,1,0,2,0,6,3,8,2,0,4
8,/songs/340757,Journey,Back Talk,https://genius.com/Journey-back-talk-lyrics,http://api.genius.com/songs/340757,Frontiers,1983-02-23," I work all day to make a living No one needs Your kind of attitude Your sharp tongue It cuts me like a razor Lip service gets you nowhere No, no, no Back talk I don't need it B-B-B-back talk I don't need it No, no, no back talk Don't want to hear it Don't give me no back talk Watch that temper You watch what you're saying Don't talk to me With that tone of voice Your act is pushing me To the limit Can't stand it, can't stand it Can't take it any more Don't wan't back talk I don't need it Don't give me back talk I don't want to hear it Don't give me back talk Don't need it, no I believe you enjoy This aggravation Lately that's all I get from you You were born to drive me crazy Can't take it, can't take it any more from you No, no more Back talk, I don't need it Back talk, Don't want to hear it Don't give me no back talk Sassy back talk Don't give me no sassy back talk No I don't want to hear it No don't really need it No don't give me no Give me no don't you give me no",0.17,2,3,1,5,2,3,34,2,0,21
9,/songs/340769,Journey,Be Good To Yourself,https://genius.com/Journey-be-good-to-yourself-lyrics,http://api.genius.com/songs/340769,Raised On Radio,1986-04-21," Running out of self-control Getting close to an overload Up against a no win situation Shoulder to shoulder, push and shove I'm hangin' up my boxing gloves I'm ready for a long vacation   Be good to yourself when, nobody else will Oh be good to yourself You're walking a high wire, caught in a cross fire Oh be good to yourself   When you can't give no more They want it all but you gotta say no I'm turning off the noise that makes me crazy Lookin' back with no regrets To forgive is to forget I want a little peace of mind to turn to   Be good to yourself when, nobody else will Oh be good to yourself You're walking a high wire, caught in a cross fire Oh be good to yourself   Be good to yourself when, nobody else will",0.9094,5,11,0,5,9,8,12,5,7,10
