,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/587,Juelz Santana,45th,https://genius.com/Juelz-santana-45th-lyrics,http://api.genius.com/songs/587,None,2018-05-07," up Uh, Uh Yeah We back in the fucking building Diplomats, Young Guru, Jim Jones, Santana, Freaky Came in second half Shit man, only thing we really wanna know right now is What? Is what's really good? That's the question   Suicide sickness, child negligence Homicide fingerprints, wild evidence (But what?) But thou shall, respect me bloa, bloa Clap, clap, pow, pow, bow down, nigga Be in Columbus never seen Bow Wow (Nope) We big dogs, all on the chow down Chow, and Mr. Giles lay back Santana locked up, get 'em out ASAP Aight, now boy, not tonight I where a bomb to the court like it's a ice white I'm real ice right, still in the hood But the question for y'all is (DMX) What's Really Good? (Cam) Nothing, see me on 55th, black scooped it up A-k activated, act stupid, one did act stupid Mac had to move it, from the hood like (DMX) What's really good? (Cam) I had to lay 'em down, clip him up, sprayed around Split him up, he played the ground, leave, nine stayed around Outlaw on the street, shot four from the three Southpaw Portuguese (What's Really Good?)   + (DMX) To all my ladies, ghetto to ghetto Heals, sneakers, slipper stilettos, hello Diplomats are coming to your hood And we wanna know (What's really good?) All my niggas, block for block Rock for rock, top for top Top a top, stash your clocks under the hood And niggas wanna know (What's really good?)   Okay I admit I mean they said I was trippin' had to re-edit the spin 44 lead when I'm spitting Shots to the head of my victims Big deserts we grippin' to dry out, you in the desert is slippin' They go through extreme measures to get 'em Them chains and them treasures the glistening You got three hideouts, a bed in the system My brethren I miss them So please tell me y'all (DMX) What's really good? (J.Jones) Top of the drop when it's missing MY block when it's clickin', these rocks when they glistening (DMX) What's really good? (J.Jones) 145th on this crunk, big 45th in my trunk Big gouty wrists on you chumps Mostly me and sometimes them But mostly me, oh shit man, that's one time them Squally, so through your set up please And let me know if you really good And let me know if you really hood     I like this beat, drums and bells Remind me of bullets, bodies, guns and shells I don't talk the verse, Polly wanna cracker When she on the stand, you probably wanna smack her Probably wanna clap her, end your day properly Air the shit out like the end of State Property No run away robber, gunner stay half of me the end I see prophecy (DMX) What's Really Good? I'm in the buggy mon', with the Rugby on Air Force Ones, looking like Lucky Charms Lotta dudes, yelling out ""Fuck me, uh?"" I'll blow this bitch dog, what the fuck we on   It's Santana, I'm straight out the box homey Straight to the stoop, straight to the booth when I stepped out the box homey I still got the sun of the box on me Grimy clothes, funky arms, my socks dirty I told you I can count on my boy I'm in trouble, needed bail money, dialed on my boy Shit, and just when I thought it was getting worst I was bailed out scot-free, spittin' this verse, uh-huh You don't sit in the dirt, clips'll disperse (Dmx) What's Really Good (Santana) ME MOTHERFUCKER!!! Don't play with this, I'm so great at this Santana, bandana, release the eight a spit (COME ON...)  ",26,32,24,23,22,41,43,16,21,34,-0.9449
1,1,/songs/109673,Juelz Santana,Awesome,https://genius.com/Juelz-santana-awesome-lyrics,http://api.genius.com/songs/109673,God Will'n,2013-01-14,"{Jokey on the track}   Awesome, she awesome My bitch is so awesome Yeah, she awesome My bitch is so awesome She awesome, my bitch is so awesome I done been with all them; she better than all them (yeah)   She look like the kind of girl that I would like to sponsor (yeah) Butt like a truck I think I'm gonna call her Tonka Titties so pretty like she drew with a marker If I could use two words to describe her she awesome (she awesome) She awesome, I think Im gonna ti-ti-tip her Body booming like a system, I'm the radio killa, killa Plus she hold it down for her nigga (yup) So she deserves everything I give her (yeah) Yeah I keep her fresh (yeah), yeah I pay her rent (yeah) No I don't trip (yeah), nigga I invest cause   She awesome, she awesome - my bitch is so awesome I done been with all them; she better than all them She awesome, she awesome - my bitch is so awesome I done been with all them; she better than all them Them other bitches don't know what to call them But I know what to call you: you awesome, you awesome Them other bitches don't know what to call them But I know what to call you: you awesome, you awesome   Uh, she outta mind, she outta sight (yeah) Fuck a fire cracker, my bitch is dynamite (uh-huh) Thought I was superman (damn), she got that kryptonite (damn) And we so connected, satellite These other bitches buggin', they just parasites And they don't have a life, they wish they had your life I'm never hungry cause you satisfy my appetite That ass is apple right so dont mind if I have a bite Look at you, you so fucking beautiful (yeah) Standing there with nothing on - I know what to do with you (hmm) Look like a bag of mula got me thinking bout the jeweler Not a ring, but a watch, matching rollies how I do ya (haha) YSL, Chanel, Celine, Mcqueen That's a must; none of that canal street stuff Got a smile like Colgate, smart with a dope shape Both rocking red bottoms looking like soul mates   She awesome, she awesome - my bitch is so awesome I done been with all them; she better than all them Them other bitches don't know what to call them But I know what to call you: you awesome, you awesome   Pull up in that all what? What is that tour bus? What is that Givenchy? Got these bitches star struck Now they speaking on us, on me, on thee Fact that I got women by the armies in arm reach Salutening, misogynistic sue me And that convo got yo inspired mascato make her woozy And I gotta tell ya truly not your booty its your beauty No offense that plane ticket I'mma get you two seats truly out Whoo, and that's a compliment baby love I'm just relaying all the feelings I don't say is much And really who gonna say its love, and really gonna say it ain't But until that bouquet go up, I tell you this err'day Wale  ",18,9,17,17,15,24,28,16,5,22,0.9989
2,2,/songs/24772,Juelz Santana,Back Again,https://genius.com/Juelz-santana-back-again-lyrics,http://api.genius.com/songs/24772,From Me to U,2003-08-19," Yeah nigga (okay, y'know) I heard my man Luca was out I guess you..   (Back again) Back with my .45, got a new car to drive Tryin' to stay alive (Back again) Same gangsta team, new gangsta lean Chasin' the fuckin' green (Back again) Fitted to the back, throwy well intact Ladies holla back (Back again) This time we're here to stay Ain't got no time to play Stay out my fuckin' way   Now I'm (back again), just like flash was Bad like Shaft was, react like Cassius Clay did in the ring with his back up Against the ropes, jab, jab, back up It's all for what, all for us, all for bucks You chumps remind me of mister softee trucks Icy niggas, banana boat milkshake ice cream niggas I don't like these niggas, nope I pop shots, hot Glocks, shoot through vans too Ooo bop bopa-alu bam boo, move And I'm fo' really with the milli yo Oh, leave many holes like the cereal Cheerios You into funny money, I'm rakin' in silly dough The type that don't really fold, just sittin' gettin' old I got the game in a loop kid, kinda like Snoop did It's more than me, it's more than the music, I'm   (Back again) Back with my .45, got a new car to drive Tryin' to stay alive (Back again) {Rocky} Same gangsta team {I'm back}, new gangsta lean Chasin' the fuckin' green (Back again) Fitted to the back, throwy well intact Ladies holla back (Back again) This time we're here to stay {uhh} Ain't got no time to play Stay out my fuckin' way   Yeah, come through new coupe Z Three plus fitty, me plus Jimmy Speed up slow, ease up quickly Yeah we puff really, yeah we just silly Puddy-buddies, yeah he just kills me, shit And I'm sick in the mind They don't understand this trife style lifestyle livin' of mine But still I'm (back again) Back with my .45, Cadillac that my shorty drives Maggy-mackin' my shorty's live (back again) Straight from 445, West five three in Amsterdam Also known as Gramsterdam (oh!), way before the Santana, man Long time ago, way before the bandana, damn Young scrammy scram on the block, hand to hand Hard, I was slangin' it, straight LaRon James with it No big star, no big car One big rock, one big block, I'll go far   (Back again) Back with my .45, got a new car to drive Tryin' to stay alive (Back again) Same gangsta team, new gangsta lean Chasin' the fuckin' green (Back again) Fitted to the back, throwy well intact Ladies holla back (Back again) This time we're here to stay Ain't got no time to play Stay out my fuckin' way   Now this has been one hell of a year This has been one hell of a ride, I'm tellin' you guys They'd thought we'd never survive, Jekyll and Hyde Or the great American pie, weapons collide Dead or alive, left with no choice but to um, better our lives Get up and strive, but um, get up and roll, get up ya know Get up and go, these motherfuckers ain't lettin' us go (no!) So we get up and take it, get up and make it happen for us Nobody can get up and take this In rappin' we trust, gat packin's a must It's part of my nature, part of my wake up Part of my waist yup, pardon my waist chump For this part of my waist chump, come part of your face, yup (Yeah) It's Santana, part of the great stuff But really man, pardon I'm great chump   (Back again) Back with my .45, got a new car to drive Tryin' to stay alive (Back again) Same gangsta team, new gangsta lean Chasin' the fuckin' green (Back again) Fitted to the back, throwy well intact Ladies holla back (Back again) This time we're here to stay Ain't got no time to play Stay out my fuckin' way",12,23,6,8,17,15,29,8,8,25,0.9931
3,3,/songs/4380,Juelz Santana,Back to the Crib,https://genius.com/Juelz-santana-back-to-the-crib-lyrics,http://api.genius.com/songs/4380,"Born to Lose, Built to Win",2009-12-14," Santana, yeah Chris Breezy, yeah P-O-L-O Da Don, yeah Haha, we got one, ayy, yeah (what up?)   Shawty said she really feeling me like yeah, oh yeah (yeah, yeah) Yeah, yeah Shawty said she wanna roll with me I said yeah, oh yeah (yeah, yeah) I think we got one right here, ayy She don't know that we going back to the crib 'cause she know that I'm on her Yeah, haha She don't know that we going back to the crib, back to the crib, yeah What you say? Let's go get it, let's go   She wanna roll with me, she wanna go with me But she don't know I'm tryna take her back home with me I told her have a seat in my ride She said I look like I taste good and she wanna eat me alive She lookin' good in them new tall heels I'm lookin' at her like a full course meal Chill, I got all the girls checkin' me They know I'm a dog but they love my pedigree Yeah, just call me Mr. Orgasm And if you come with me, I guarantee you gon' have one The hottest in the hood, the freshest on the block (c'mon) Why stop all this Gucci and the Louis that I rock? If not, I stay Polo down to the socks Rings, chains and watch worth more than Fort Knocks Temporary plates on the Audi R8 Diamonds match what I'm wearin', she can't stop starin' (haha)   Shawty said she really feeling me like yeah, oh yeah (yeah, yeah) Shawty said she wanna roll with me I said yeah, oh yeah (yeah, yeah) She don't know that we going back to the crib 'cause she know that I'm on her She don't know that we going back to the crib, back to the crib, yeah   Runway walk, beauty queen face Video body, see the curves and the shape (woah) And everythin' her mama gave her, she know how to shake Thicker than a milkshake and I'm tryna get a taste Hair did, manicure, pedicure Attitude like Vivica, when she played in Set It Off She feelin' my swag, she feelin' my G Not only is she dancin', she feelin' on me And I'm feelin' you too, so I put my hands on her Just to let her know the feelings mutual No mama, we could birthday text Yes, I said text but I know you know what I really meant (sex) Tell me what you will do, tell me what you won't do Tell me what you don't know how to do so I could show you (uh-huh) I'ma give it to you give it to you like I owe you And after I'm done, I'ma tell you I told you, so   Shawty said she really feeling me like yeah, oh yeah, I'm like, yeah, yeah (yeah, yeah) Shawty said she wanna roll with me I said yeah, oh yeah, oh, no, girl (yeah, yeah) She don't know that we going back to the crib 'cause she know that I'm on her, she don't know, she don't know She don't know that we going back to the crib, back to the crib, oh, baby yeah Shawty said she really feeling me like yeah, oh yeah, oh, baby, woo (yeah, yeah) Shawty said she wanna roll with me I said yeah, oh yeah, I said yeah, I said, yeah (yeah, yeah) She don't know that we going back to the crib 'cause she know that I'm on her, they don't know She don't know that we going back to the crib, back to the crib, yeah, we going, going   You should, know me, I can see myself in your future (hey, hey) That's hood, O.G., I made up my mind, I'm choosing ya (hey, hey) Don't say, you won't try to lean in, I'm feining, yeah (hey, hey) The apartment's waiting on us, girl, meet me at the valet Lamborghini Breezy I'ma transform ya, name you Mrs. Breezy Stunting so hard but I make it look easy Let's do it like we do it when we doing it for TV, yeah   Shawty said she really feeling me like yeah, oh yeah, yeah, oh, no, no, no (yeah, yeah) Shawty said she wanna roll with me I said yeah, oh yeah, yeah, yeah (yeah, yeah) She don't know that we going back to the crib 'cause she know that I'm on her, oh, woah She don't know that we going back to the crib, back to the crib, yeah, don't, yeah   I'm like yeah, I'm like yeah (yeah, yeah) Yeah (yeah, yeah) She don't know that we going, hey, yeah, yeah, yeah She don't know that we going, oh, woah, yeah, oh",8,13,8,9,17,9,45,6,9,34,0.9995
4,4,/songs/109633,Juelz Santana,Bad Guy,https://genius.com/Juelz-santana-bad-guy-lyrics,http://api.genius.com/songs/109633,God Will'n,2013-01-14,"[Intro: Tony Montana from Scarface (1983)] You're all a bunch of fuckin' assholes You know why? You don’t have the guts to be what you wanna be You need people like me You need people like me so you can point your fuckin' fingers and say, ""That's the bad guy"" So, what that make you? Good? You’re not good You just know how to hide, how to lie Me? I don’t have that problem   Uh, say hello to the bad guys Feds takin' pictures, hope they got my good side (Yeah) The price of life's gettin' cheaper And I'm just gettin' richer, lil' nigga (Lil' Nigga) Nigga talkin' static, I hear feedback, eat that Niggas lame and they rejects, I see that (I see that) Believe that (Believe that) Shotty bounce, body count 28 bodies found, killin' niggas by the ounce (Ooooh)   Niggas get killed tryna play tough (Yep) Niggas get killed tryna play us (Yep) Wassup? Don't be a fuckin' dumb dumb (Dumb) I get your whole clique hit for a lump sum (Bow!) Uh, brought guns to the knife war (Yeah) Fuck a nigga tryna fight for (Naw) When that sawed off could knock your jaw off (Heh) Don't make my young boys knock yours off (Whooo!) I know niggas that'll shoot you then go to your funeral (Yeah) I know niggas that'll kill you then pay for a mural (Yeah) Just to stand in front of it and take a picture wit'chu (Damn) Shit, you niggas accident murderers Got professionals, make it look like a accident, murderers (Murderers) Then I got my reckless murderers Dropped a gun, cops come, they go gon' tell 'em they murdered ya (Tell 'em) Harlem's new Bumpy Johnson, protecting my empire, uh, Nucky Thompson   Uh, say hello to the bad guys Feds takin' pictures, hope they got my good side (Yeah) The price of life's gettin' cheaper And I'm just gettin' richer, lil' nigga (Lil' Nigga) Nigga talkin' static, I hear feedback, eat that Niggas lame and they rejects, I see that (I see that) Believe that (Believe that) Shotty bounce, body count (Ooooh) 28 bodies found, killin' niggas by the ounce   There's a war going on outside, nobody safe (Nope) Gotta ball to you fall, if not, life's a waste (Yeah) Gotta watch them niggas, they tryna take your place (Watch) Tell them money hungry niggas my gun is all on the plate (Aight) Clip so long it's hangin' off the plate (Yeah) I got enough for whoever ain't ate (Who else?) Extra clips for a side dish (Uh), who want try this? (Haha) Still got bricks, who want try this? (This) I don't cook coke (Nope), I deep fry fish (Fish) Fly nigga, she just wanna see the cockpit (Haha) Hot topic, dead bodies in the courtyard (Yard) Fuck it, keep the money comin' like porn stars (Porn stars) I could get you killed for a bag of reefer (Reefer) I could get you laced for a pair of sneakers (Sneakers) Imagine what these niggas do for a feature (Imagine) And the story gets even deeper (Yeah)   Uh, say hello to the bad guys Feds takin' pictures, hope they got my good side The price of life's getting cheaper And I'm just gettin' richer, lil' nigga (Lil' nigga) Nigga talkin' static, I hear feedback, eat that Niggas lame and they rejects, I see that (I see that) Believe that Shotty bounce, body count 28 bodies found (Uh, AH-HAAEEEH), killin' niggas by the ounce   Now what I do? go out, get it, try to bring it back (Yeah) They always gon' need somebody to point the finger at (Uh-huh) On me now harder than they was when I was slingin' crack I'm a tax payin' citizen, I ain't slingin' jack Keep my name in the mix 'cause they know me I ain't never hung out wit' 'em, we ain't homies A lot of the hate really come from bein' lonely And as soon as you stop fuckin' with 'em, you bein' phony (Mhm) I ain't playin' with 'em (Nah) Shotty for the youngsters Give 'em the whole thing (Yep), body in the dumpsters Truer niggas that tie niggas up, call it the trunksters (Mhm) The way I'm on it, it's like a new Gotti is amongst us What!   Uh, say hello to the bad guys Feds takin' pictures, hope they got my good side The price of life's getting cheaper And I'm just gettin' richer, lil' nigga (Lil' nigga) Nigga talkin' static, I hear feedback, eat that Niggas lame and they rejects, I see that (I see that) Believe that Shotty bounce, body count 28 bodies found, killin' niggas by the ounce",30,20,21,31,21,46,41,24,15,32,-0.9992
5,5,/songs/109516,Juelz Santana,Black Out,https://genius.com/Juelz-santana-black-out-lyrics,http://api.genius.com/songs/109516,God Will'n,2013-01-14," Fly nigga, I'm taking off (whooo, uh) Fly-fly nigga I'm taking off (yeah, ay)   Fly nigga, I'm taking off (uh), bad bitches, they take it off (uh) Oh that look like what's her name, yeah what's her name's baby mom's (yeah) I eat the pussy, no plate or fork; the pussy bushy, gotta shave it off (uh) She said band's make her dance, I'm beating drums and blowing horns She told me that if I give her a tip she give me bank head like Bowen Homes She tried to lock that pussy up, but I came through like bail bonds White seat (yeah), white mink (yeah), white car, I'm the black Fonz (Fonz) Www.I-fucked-the-shit-out-of-her.com Say yeah nigga I'm back (I'm back), yeah nigga I'm back (I'm back) Tell Mitt Romney fall back, my president still black I ain't gotta press no buttons nigga, I wake up with my swag on Y'all niggas is broke (broke) your pockets should have a cast on (hah) Bitches think I'm a photographer, my next tape with that flash on My waist stay with that flash on, it's lights out when I clap on I'm lit nigga, I'm lit nigga, like Times Square when the ball drop (drop) Word is they be sleeping on me, well make this they alarm clock Bitch I..   Black out in that pussy, I black out in that pussy I'm addicted, like she got a crackhouse in that pussy Man I smash out in that pussy, then I pass out in that pussy We stomp that nigga out, and watch him drag out that pussy   She don't even know me like that, uh But she gon' learn today, yeah And every big dog like cat, girl And they done let me out my cage and she told me She need me in her life, but I told her You need dick in your life, and she said You know, you're probably right Great minds think alike, and then I paint her white So I can   Living la vida loca, I hate being sober These niggas sayin' I broke but, I bet them nigga broker (ha) I'm Batman and you Joker's, she gave me neck, choke her And I have the super, so yeah nigga I soaked her (yup) Damn, that's your lady? Damn, that's your lady? She got your name tatted, that's crazy, I cover that with my babies (yup) Told her to come downstairs, we did it all in my Caddy' Asked her where them kids is at, she said upstairs with they daddy (WHOOO) Money coming in by the packs, everyday I pop tags In the club wasting this cash; bitch, keep bouncing that ass She said real niggas don't last, they say real niggas don't last Nah, it's just too many fake niggas making real niggas look bad Get lost with your lame ass, livin' fast - no brake pads Stop (stop), wait (wait), now frame that My lifestyle ain't for bitch niggas, I use lifestyles on your bitch, nigga I see a bitch, I want a bitch, and I just tell my bitch get it And I   YEEEAAH~! {*echoes*}",21,13,16,22,11,35,23,26,4,18,-0.9987
6,6,/songs/110035,Juelz Santana,Blog That,https://genius.com/Juelz-santana-blog-that-lyrics,http://api.genius.com/songs/110035,God Will'n,2013-01-14," Just put a picture up on Instagram Now I'm in the kitchen whipping Insta-grams I'm getting money nigga, blog that Your girl wanna fuck me nigga, blog that You a hater, eat a dick nigga, blog that I just bought another whip nigga, blog that I'm back, tell the motherfucking blogs that And I'm bout to pop it off, bra strap   Fresh off my hiatus, fresh off my hiatus Santana back in business, now let's get reacquainted I'm that nigga, A.K.A. not the one to play with I'm all these bitches favorite I'm flyer than your planets Big gun where my waist is Screaming out hi haters All you niggas targets, I'm just shooting, I'm not aiming Still whipping that Katy, still whipping that Katy Perry till she ready, then I pass it, Tom Brady Twenty bands in the rubber band On my neck about one hundred grand Blood diamonds like I just came from the motherland Told you niggas I'd be up again   Fly up, or get flown over Swag up, or get swagged on Boss up or get bossed around We don't cuff hoes, they get passed on Bad bitches, I got that Big money, I got that Four doors, coupe ? , top back, I got that Still keep that big thing and that thing'll blow your top back Who said they gon' take something? We right here, they ain't take nothing Fall back or get flat lined Red beam on that black nine Cold steel with these hot shells, you talk shit and I back mine I ball even when it's halftime Your bitch call, it's that time I'm lit like a candle, she tryna' get her wax on If it ain't the 'Rari, it's the Bentley Mussolini Or the Phantom or the Ghost, wondering if they can see me Hash tag, my bitch bad Hash tag, my jewels real Hash tag, my pockets fat And that's cause I just made a sale Hash tag my clique kill Your bitch think I'm a big deal Fucked up with my J's on, hit her with that windmill  ",18,7,10,14,6,26,12,12,5,8,-0.9927
7,7,/songs/2446856,Juelz Santana,Blowmymnd,https://genius.com/Juelz-santana-blowmymnd-lyrics,http://api.genius.com/songs/2446856,None,2018-05-07,"Blunt full of that Buddha Car full of them shooters Bad chick from Bermuda But my Brazilian girl even cuter She drop down to her knees like 'I don't do this all the time' And that's when I reply Girl you know you lyin' I looked right in her eyes and said 'girl you know you fine' She said men think with they penis So I told her blow my mind That foreign car parked outside She know that shit is mine And a real ni-a, son, like me She know that's hard to find I pulled up, I'm turnt up No, I don't wait on no line That Jesus piece, that cuban link Versace shades on my eyes Now I know how B.I.G. felt I'm strapped boy, no seat belt You a bitch nigga, yeah a female I'm a G male, no E-mail Still got that comeback Wholesale and retail I'm riding on that money train And I don't wanna be derailed I don't pop them mollies But I know that she will I'm high up, that weed smell And that codeine got me ill  45 on my hip, 45 on my wrist 2 45 for my whip, now that's what I call lick Vegas night roulette table, lost 45 in one spin I'm a harlem nigga, I double duck, bet 45 again Lost that, made it right back, in a 45 minute trip Nigga wanted to and I fronted 2, charging 45 each brick Nigga you road boat, and I'm show boat And you're joe rogan, I'm hulk hogan My car foreign, next season You jet skiing, my jet leaving And I brought your girl with me She a zombie, she be head eating Wanna see a movie come see me Fuck hd, I'm 3d What I smoke be 1 hunned And I'm 300 like chief keef Screaming oh I, bang, bang, you know the drill Overkill  Fly up, or get flown over Swag up, or get swagged on Boss up or get bossed around We don't cuff hoes, they get passed on Bad bitches, I got that Big money, I got that Four doors, coupe ? , top back, I got that Still keep that big thing and that thing'll blow your top back Who said they gon' take something? We right here, they ain't take nothing Fall back or get flat lined Red beam on that black nine Cold steel with these hot shells, you talk shit and I back mine",17,8,14,11,3,25,15,12,7,11,-0.976
8,8,/songs/98789,Juelz Santana,Bodies,https://genius.com/Juelz-santana-bodies-lyrics,http://api.genius.com/songs/98789,God Will'n,2012-11-27," + (Lil Reese) We put it down, we give it up We lookin' down cause we so up We put 'em down, now pick 'em up We lookin' down, cause we so up (At the top) bodies keep on poppin' up (At the top) cops wanna question us (At the top) but we got nothin' to discuss (At the top) Just keep them bodies pilin' up   Ain't gettin' money can't get with us These niggas, they ain't with us Heard Juelz and Reese, she was quick to fuck Can't trust niggas that's why it's only us   These niggas be actin up and if these niggas keep actin' up Ain't got let chopper make noise nigga, 4-5'll be loud enough And tell them niggas don't challenge us, big mode in my challenger Come through like zoom nigga, big gun like boom nigga (boom) Big dogs need food nigga, you fuck around and get chewed nigga Memorial day for you nigga and it won't be in Cancun nigga You a smart boy, school nigga, I ain't none of that, I'm a fool nigga 3 hunnid like 3 o'clock with your punk ass after school nigga Swept up with that broom nigga, hit his ass with that T-Pain That auto'll tune niggas, that +Heat+ with me like D-Wade I can smell the pussy on you niggas, you bitch-made, perfume nigga All fake, cartoon nigga, I make a casket your room nigga (boom)     And I live it up, throwin' 3 hunnid up, bodies gettin' dropped, police hot as fuck (man down) We love stains, now give it up, now you down and I'm up (uh) Snitch niggas givin' names up; when the people hit the bar we put them things up I never switch up cause I'm the same one, we on your ass, ain't no letting up We at the top, haters lookin' up in a film with them niggas who don't give no fucks And, uh, all-all my niggas wild as fuck And-and, uh, fuck niggas be mad as fuck And, uh, counting paper, I got paper cuts     Uh, bodies keep on poppin' up Bodies keep on poppin' up Bodies keep on poppin' up Just keep them bodies pilin' up {*echoes*}",9,7,6,8,3,15,13,4,2,14,-0.9973
9,9,/songs/109508,Juelz Santana,Both Sides,https://genius.com/Juelz-santana-both-sides-lyrics,http://api.genius.com/songs/109508,God Will'n,2013-01-14,"{Ronnie-Ronnie-Ron...}   No niggas want these problems (let's get it) Young real niggas and we ballin' (ballin') My poker face, I'm going all in (ells) From Chicago back to Harlem (let's get it) These niggas can't fuck with us (why) These niggas can't fuck with us (let's get it) From Chicago back to Harlem (ells) These niggas can't fuck with us (let's get it)   WOOOOO, aight I be going hard with my Chicago niggas (yea) If it's beef, fold 'em up, make 'em a taco nigga (yea) Keep that trigger like a motherfucking throttle nigga (uh) The more I rev it up the quicker bodies dropping nigga My pockets cheesy (cheesy), lasagna nigga (uh) My neck clear (clear), vodka nigga (vodka nigga) I'm eating good (good), Benihana nigga (haha) Still selling white, Pina Colada nigga My new connect, he got it like he Pablo nigga You gon' rob who? You a liar nigga Fast money, never slowing up, these niggas can't fuck with us Bang bang, anywhere, yeah these niggas know what's up with us   See Cabrini Greens (true), went and tore 'em down (paper) Like 9/11 my 911, the roof fall down ((tell em) On the southside (what), north's true king (cool) Let the birds fly, like two wings All a man need in his life man is two things (right) Balls and his word (what), that's true thing (kill) You know 300, like O Block Them my young niggas, them 300 in your whole block (boom, boom, boom) Fly nigga, simple with it, gold watch Summertime, And One's; no sides with the hoes jock (chill) At the top there's a lot of fuck niggas (fuck em though) But them niggas know I don't give a fuck nigga   I be going hard for my Harlem niggas (let's get it) Talk to them, that A.K. takin' part to niggas (ells) My shooters ain't gon' argue with you (rrrah) I just bought a chopper, it play target with you (bang) Juelz in the cut, not my nigga Fredo (Santana) Be cool before your t-shirt turn into a dago (rrrah) My youngin's in the field, shawty they don't play though (number 9) And I love New York, like my nigga Tego (ells) I just spend a chicken on my breitling bitch (my watch) Bitch I pack a punch, on some Tyson shit (rrrah) And I run my city and I'm liking it (Chi-raq) Bitch I run my city and I'm liking it (ells)  ",12,9,9,14,13,15,23,11,9,15,-0.6054
