,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/224521,Justin Timberlake,Amnesia,https://genius.com/Justin-timberlake-amnesia-lyrics,http://api.genius.com/songs/224521,The 20/20 Experience: The Complete Experience,2013-09-30," Keeps coming closer I don‘t, but she thinks I know her Beautiful smile with those sad eyes That was my type Amnesia that’s over I can see your breathing, girl, is colder I can see you need me but I don’t care My whole memory of me and love Gone so far from me, girl It’s not fair I could feel it almost start to change (Almost starts to change) But then it hurts too much That’s when it starts to fade   So cold, baby, now I’m going crazy I don’t know why you need me alone If it was true, if it was you Don’t you think? Don’t you think I would know? Amnesia, every memory fades away till it’s gone Where did you go? Amnesia, went from everything to nothing No we anymore, she’s a stranger that I used to know   Now, these photos of us So happy, so in love Tell me what happened Who are they? Where did they go? And when was enough, enough When did all the fire turn colder? When did your heart start to beat slower? My whole memory of me in love,is gone so far from me, It's not fair And I can feel it almost start to change (almost start to change) But it just hurts to much, I let it go away   So cold, baby, now I’m going crazy I don’t know why you need me alone If it was true, if it was you Don’t you think? Don’t you think I would know? Amnesia, every memory fades away till it’s gone Where did you go? Amnesia, went from everything to nothing No we anymore, she’s a stranger that I used to know I can feel it almost start to change (almost start to change) But then it hurts too much I let it go away uuuh   So cold, baby (so cold), now I’m going crazy I don’t know why you need me alone If it was true, if it was you Don’t you think? Don’t you think I would know? Amnesia, every memory fades away till it’s gone Where did you go? Amnesia, everything and nothing No we anymore she’s a stranger Amnesia, every memory fades away till it’s gone Where did you go? Amnesia, everything and nothing No we anymore she’s a stranger that I used to know And I don’t know you anymore Everything to nothing Everything to nothing She’s a stranger that I used to know Amnesia, amnesia, amnesia   Go on and tear me apart And do it again tomorrow I almost forgot Who you are I try to forget about it every time I see ya, See ya Thought I could do without it Now I know I need ya, need ya This is turning into some kind of fucking amnesia, I need ya Memories fade away Love is so insane I try to forget about it, every time I see ya, see ya Thought I could do without it Now I know I need ya, need ya This is turning into some kind of fucking amnesia, I need ya Memories fade away Love is so insane So tear me apart and do it again tomorrow I almost forgot who we are I’ll let you drive me crazy for another day Isn’t this love insane, insane? Yeah",11,16,0,23,17,43,31,7,1,19,0.9388
1,1,/songs/132022,Justin Timberlake,(And She Said) Take Me Now,https://genius.com/Justin-timberlake-and-she-said-take-me-now-lyrics,http://api.genius.com/songs/132022,Justified,2002-11-04," Uh... Uh... Uh... What you waiting for? I know you're watching me Hey boy, come on and take me now What you waiting for? I know you're watching me Hey boy, come on and take me now   Can I talk to you for a minute? You've been looking all night for your shining star Well, baby, here I am, so why you waiting? Step on over, let me show you how bad you are   Just let me take the lead All you gotta do is let your mind be free Let's hit the floor and cause a scene Get real wet if you know what I mean What you say, baby?   (And she said) Take me now I'm hungry for your loving (And she said) Show me how You got me working, honey (And she said) Right now I'm hot just like an oven (And she said) So take me now Boy, you make me feel like I gotta dance (I gotta dance, gotta dance baby, I gotta dance...)   I feel good to you, you try to hide it And I can tell by the way you push up close to me Your body temperature, is arising Something's going down as far as I can see   Just let me take the lead All you gotta do is let your mind be free Let's hit the floor and cause a scene Get real wet if you know what I mean What you say, baby?   (And she said) Take me now I'm hungry for your loving (And she said) Show me how You got me working, honey (And she said) Right now I'm hot just like an oven (And she said) So take me now Boy, you make me feel like I gotta dance   You know Don't I Say don't I make you feel like you gotta dance   Once I get to know ya (No) I'm gonna show ya (No) That there's no better way (Yeah) Let's dance the night away (Yeah) I wanna control ya (No) Just wanna hold ya (No) Dance the night away So what you say baby, what you say? (What you saying to me?)  [Chorus: Justin Timberlake, Janet Jackson & Timbaland] (And she said) Take me now (Oh) I'm hungry for your loving (Hungry for you) (And she said) Show me how (Oh) You got me working, honey (Got me working) (And she said) Right now (Oh) I'm hot just like an oven (Hot just like an oven) (And she said) So take me now Boy, you make me feel like I gotta dance (And she said) Take me now (Oh) I'm hungry for your loving (Hungry for you) (And she said) Show me how (Oh) You got me working, honey (Got me working) (And she said) Right now (Oh) I'm hot just like an oven (And she said) So take me now Boy you make me feel like I gotta dance   Like you gotta dance, like you gotta dance, like you gotta dance, no... Like you gotta dance, like you gotta dance, like you gotta dance, no... Here we go now Oh, oh Oh Oh Oh Oh Oh Oh   I'm like a hurricane Just coasting along You better grab me girl I hope you take me now I'm like a hurricane Just coasting along You better grab me girl I hope you take me now I'm like a hurricane Just coasting along You better grab me girl I hope you take me now I'm like a hurricane Just coasting along You better grab me girl T-t-t-take me now Take me now I'm hungry for you loving Show me how You got me working, honey Right now I'm hot just like an oven So take me now Take me now Take me now Take me now I'm hungry for you loving Show me how You got me working, honey Right now I'm hot just like an oven So take me now Boy, you make me feel like I gotta dance",14,14,8,6,34,26,56,1,4,40,0.9985
2,2,/songs/109290,Justin Timberlake,An Open Letter to you (the fans),https://genius.com/Justin-timberlake-an-open-letter-to-you-the-fans-lyrics,http://api.genius.com/songs/109290,None,2018-10-04,"I hope this gets to you the right way. It’s the only way I know to do it. Some people may criticize me for the last 3 days. But it was fun, right?? Right?!?! Besides, I’d rather speak directly to all of you. And, who can knock me for having a little bit of fun with it?  Well… No more teasing. Although, it was A LOT of fun. (Did I mention that I’m having fun with this?? Ha!) *Makes a serious face*  So, here goes:  This year is an exciting one for me. As you probably have heard through the “grapevine,” I’m gearing up for a big 2013 Back in June of last year, I quietly started working on what is now, my next journey with that thing I love called MUSIC The inspiration for this really came out of the blue and to be honest, I didn’t expect anything out of it. I just went into the studio and started playing around with some sounds and songs. It was probably the best time I’ve had in my career…  Just creating with no rules and/or end goal in mind and really enjoying the process  What I came up with is something I couldn’t be more excited about! It is full of inspiration that I grew up listening to and some newfound muses that I’ve discovered along the way  I’m calling it “The 20/20 Experience,” and it’s coming out this year  I hope you enjoy listening to it as much as I enjoyed making it  That’s all I’m giving you for now… I know, I know! Again, with the teasing!!!  Get ready. This is going to be fun (well, at least it is for me)",4,19,2,6,17,3,22,4,5,8,0.998
3,3,/songs/1333292,Justin Timberlake,(Another Song) All Over Again,https://genius.com/Justin-timberlake-another-song-all-over-again-lyrics,http://api.genius.com/songs/1333292,FutureSex / LoveSounds,2006-09-08," (One, two, three)   You've been alone You've been afraid I've been a fool in so many ways But I would change my life if you thought you might try to love me So please give me another chance to write you another song And take back those things I've done 'Cause I'll give you my heart if you would let me start all over again   I'm not a saint I'm just a man who had heaven and Earth in the palm of his hand But I threw it away So now I stand here today asking forgiveness And if you could just please give me another chance to write you another song And take back those things I've done 'Cause I'll give you my heart if you would let me start all over again   Little girl, you're all I've got Don't you leave me standing here once again 'Cause I'll give you my life Yes, I would, if you would let me try to love you So please give me another chance to write you another song and take back those things I've done 'Cause I'll give you my heart if you would let me start all over again   ..Again No, no, no You know I love you Give me one more chance No, no, no",0,5,1,2,4,3,6,1,6,2,0.9895
4,4,/songs/143410,Justin Timberlake,Bank Robber,https://genius.com/Justin-timberlake-bank-robber-lyrics,http://api.genius.com/songs/143410,Unreleased,2009-01-01," Eheh, eheh Eheh, eheh Eheh, eheh Listen...   She got a mean walk, her attitude's cold She got you beggin', waitin' - lookin' like an asshole And now you're pullin' up your shit like a valet You hangin' on to every little lyric she say You bought a big rock hopin' she'd show it off You tried to go hard but you end up lookin' soft It took a couple stacks just to make her fall And when you wasn't lookin' she took it all   She got her nails done red and they're sharp as a knife Don't turn your back, cause she moves like a thief in the night Your little plan had a (hiccup), got held up like a (stick up) So watch it - she don't care if you're dead or alive   You're dealin' with a bank (bank, bank) robber Another hustler with a hand in your pocket Takin' off with a rocket full of dough And there she go You're dealin' with a bank (bank, bank) robber She's just a hustler with a hand in your pocket Takin' off with a rocket full of dough And there she go   I heard her say: ""I love you, baby!"" I thought I heard her say: ""I love you, baby!"" I heard her say: ""I love you, baby!"" I thought I heard her say : ""I-I-I love-""  No, you don't...   She got you bankrupt - now you're recession-proof The IRS withholding hoes that would have sex with you Invested your bread before you thought of it She used them baby VVS's out your starter kit She made the checks stop like it's a red light It didn't take a lot - just a red light You need a couple stacks just to make her fall And when you wasn't looking she took it all, yeah   She got her nails done red and they're sharp as a knife Don't turn your back, cause she moves like a thief in the night Your little plan had a (hiccup), got held up like a (stick up) So watch it - she don't care if you're dead or alive   You're dealin' with a bank (bank, bank) robber Another hustler with a hand in your pocket Takin' off with a rocket full of dough And there she go You're dealin' with a bank (bank, bank) robber She's just a hustler with a hand in your pocket Takin' off with a rocket full of dough And there she go   I heard her say: ""I love you, baby!"" I thought I heard her say: ""I love you, baby!"" I heard her say: ""I love you, baby!"" I thought I heard her say : ""I-I-I love-""  Follow me?   Your deal went South, maybe call Mr. West... You need them 808s for that heartbreak up in your chest She took your home account and she don't even care Not even a dream couldn't save you from this nightmare She got the swagger - a T.I. with a little Hov And you got swaggered right out of your house and home It's pretty painful but you can make it stop And now you're Weezy, effed up - you got your lollipop   You're dealin' with a bank (bank, bank) robber Another hustler with a hand in your pocket Takin' off with a rocket full of dough And there she go You're dealin' with a bank (bank, bank) robber She's just a hustler with a hand in your pocket Takin' off with a rocket full of dough And there she go   I heard her say: ""I love you, baby!"" I thought I heard her say: ""I love you, baby!"" I heard her say: ""I love you, baby!"" I thought I heard her say : ""I-I-I love-""  No, you don't...  I heard her say: ""I love you, baby!"" I thought I heard her say: ""I love you, baby!"" I heard her say: ""I love you, baby!"" I thought I heard her say : ""I-I-I love-""  No, you don't...",12,18,12,14,35,23,50,7,3,35,0.9909
5,5,/songs/2516117,Justin Timberlake,Battle Of The Sexxxes,https://genius.com/Justin-timberlake-battle-of-the-sexxxes-lyrics,http://api.genius.com/songs/2516117,Unreleased,2007-07-01," Don't hurt her Justin! That was the past Put it all behind you, homeboy Let me talk to you Let me, let me talk to you I just, I just wanna talk to you Let me, let me, let me talk to you I just wanna talk to you Is it alright if I talk to you? Just listen   Baby girl, don't be afraid I know you remember me, I'm your boy from back in the day I heard you singin' you're back, and your mind seems right And I can't even lie to you, your body still drives me wild   So don't be afraid to get nasty Don't be afraid to get wild Just point to your spot and ask me I'll make it worth your while Don't be afraid to get nasty Don't be afraid to get wild Just point to your spot and ask me I'll make it worth your while   Let's explore explicit Let's express reflexes Exploit your pleasure It's the battle of the sexxxes Let's explore explicit Let's express reflexes Exploit your pleasure It's the battle of the sexxxes   Talk to me Make it talk to me Talk to me Make it talk to me Talk to me Make it talk to me Talk to me Make   Baby boy, I know you want my love Already gave you a hit so you know that it's like a drug You remember my flavor, you still know my taste I still got it, baby, it'd be a shame if it went to waste   So don't be afraid to get nasty Don't be afraid to get wild Just point to your spot and ask me I'll make it worth your while Don't be afraid to get nasty Don't be afraid to get wild Just point to your spot and ask me I'll make it worth your while   Let's explore explicit Let's express reflexes Exploit your pleasure It's the battle of the sexxxes Let's explore explicit Let's express reflexes Exploit your pleasure It's the battle of the sexxxes   Talk to me Make it talk to me Talk to me Make it talk to me Talk to me Make it talk to me Talk to me Make  ",11,4,9,15,4,29,38,7,9,10,-0.1068
6,6,/songs/3750507,Justin Timberlake,Better Not Together,https://genius.com/Justin-timberlake-better-not-together-lyrics,http://api.genius.com/songs/3750507,Unreleased,2009-01-01," Oooh, oooh, hmmm Love is lost, where is it to be found? My heart is still here and we have to go 'round and 'round And all the time I was loving you faithfully And you took my love and you turned it around on me   Now, I don't wanna fight with you I've done everything I can do (everything I can do) Don't you leave me like that, I just want my girl back Can we work it out, or is it over?   (What are we doin'?) What are we doin'? Why can't we seem to work things out (What are we doin'?) What are we doin'? Did we forget what love was about? (It feels like I'm losing)Feels like I'm losing But when that was everything to me But now I realize we are just better not together   It's hard to let go Girl we've been through so many things But for you to grow, it had to go and spread your wings I see your tears, you're searching for a brighter day Oh, you should've thought it through when you gave my love away   Now, I don't wanna fight with you I've done everything I can do (everything I can do) I hate to leave you like that but I thought you had my back We tried to work it out but it's over   (What are we doin'?) What are we doin'? Why can't we seem to work things out (It was you and me together) (What are we doin'?) What are we doin'? Did we forget what love was about? (It feels like I'm losing) Feels like I'm losing But when that was everything to me But now I realize we are just better not together   Girl it's just too much for me to say, for you to tell me that you love me And then to watch you walk away But girl the way we fight, it just ain't right That's why it's better this way (hehey hehey yeah yeah yeah) Now no what else to say, but girl you know that (I) I (still) still (love) love (you) you (yeah) Yeaaah   (What are we doin'?) What are we doin'? Why can't we seem to work things out (What are we doin'?) What are we doin'? Did we forget what love was about? (Come on baby!) (It feels like I'm losing) Feels like I'm losing But when that was everything to me But now I realize we are just better not together I've realized we are just better not together",10,5,1,5,13,16,16,10,2,6,0.9973
7,7,/songs/227049,Justin Timberlake,Blindness,https://genius.com/Justin-timberlake-blindness-lyrics,http://api.genius.com/songs/227049,The 20/20 Experience – 2 of 2,2013-09-30,"Why can’t I see you Stuck in black and white You’re in technicolor brightness Why can’t I see you I’ve been struck by blindness  I close my eyes cause you’ve been gone Such a long time, I fantasize You close so long fantasy Began to see, it altered my mind Am I crazy When I open my eyes The world was gone Reached out when I heard you call my name But all I felt was cold  Tell me why can’t I see you I’m stuck in black and white You’re in technicolor brightness Why can’t I see you I’ve been struck by blindness  If I close my eyes and concentrate You illuminate your brightest slide And I let you go the worst mistake It’s clear as day But I can’t wrap my mind around it baby And when I open my eyes The world is gone, long gone, long gone Reached out when I heard you call my name But all I felt was cold  Tell me why can’t I see you I’m stuck in black and white You’re in technicolor brightness Why can’t I see you I’ve been struck by blindness  Tell me why can’t I see you It’s like I’m stuck in black and white And you’re in technicolor brightness Why can’t I see you I’ve been struck by blindness  Why can’t I see you In black and white You’re in technicolor brightness Why can’t I see you I’ve been struck by blindness",1,11,0,1,7,14,12,12,1,5,0.34
8,8,/songs/115744,Justin Timberlake,Blue Ocean Floor,https://genius.com/Justin-timberlake-blue-ocean-floor-lyrics,http://api.genius.com/songs/115744,The 20/20 Experience: The Complete Experience,2013-03-15," Frequencies so low Heart on a string A string that only plays solos Rain made of echoes Tidal wave rushing on and on   Under the water you scream so loud but the silence surrounds you But I hear it loud and you fall in the deep and I'll always find you   If my red eyes don't see you anymore And I can't hear you through the white noise Just send your heartbeat I'll go to the blue ocean floor Where they find us no more On that blue ocean floor On that blue ocean floor On that blue ocean floor On that blue ocean floor On that blue ocean floor   Shell made out of gold Found on a beach picked up and you held so close Rain washed out its glow Heartbeat steadily leads me down below   Under the water you scream so loud but the silence surrounds you But I hear it loud and you fall in the deep and I'll always find you   If my red eyes don't see you anymore And I can't hear you through the white noise Just send your heartbeat I'll go to the blue ocean floor Where they find us no more On that blue ocean floor On that blue ocean floor On that blue ocean floor On that blue ocean floor On that blue ocean floor   20,000 leagues away, catch up to you on the same day Travel at the speed of light, thinking the same thoughts at the same time Heartbeat set at steady pace, I’ll let the rhythm show me the way No one can find us here, fade out and disappear   If my red eyes don't see you anymore And I can't hear you through the white noise Just send your heartbeat I'll go to the blue ocean floor Where they find us no more On that blue ocean floor On that blue ocean floor On that blue ocean floor On that blue ocean floor On that blue ocean floor",3,8,2,4,6,11,14,21,5,10,-0.9527
9,9,/songs/129203,Justin Timberlake,Body Count,https://genius.com/Justin-timberlake-body-count-lyrics,http://api.genius.com/songs/129203,The 20/20 Experience,2013-03-15," Timbo Yeah It's what we do You know ya'll been waiting but   Hey girl I bet you I talk you right out out out them them them them Drawers I bet you I talk you right out out out them them them them Drawers I bet you I take you right out out them them them them Drawers Hey JT, sing that shit, as I.... pause   I was a boxer til I knocked that out I played a doctor til I made that house... Call I had a shy little quiet girl but now she sings opera loud But my train is on yo track now So watch out   With the music in the lights in the middle of the night I’m gettin’ my way like a kid in a candy store I think you got what I want And by the end of the night when you hot like a light It'll be cause you and me burned up the floor And if you're on what I'm on, then you already know, c'mon   Help me I’m going down That’s what I hear her say Baby my body count Is blowing up all the way, hey Sign up, put your name down Make my body count Make my body count Make my body count     That’s what I’m talkin’ bout Waitress til she got that tip Sailor until I sunk that ship Yeah I had a hot little fire girl But now she just smoke that’s it And I ain’t gon stop til I get you out on top of this list  ",5,7,2,4,4,3,14,5,1,8,0.8686
