,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/480181,Kanye West,1996 Fat Beats Freestyle,https://genius.com/Kanye-west-1996-fat-beats-freestyle-lyrics,http://api.genius.com/songs/480181,None,1996-08-01,"Yo it's the Lake Shore Drive Keep it live, tight, raw You better hurry up, they can't keep it in the store To be the format, your whole style on one beat Insert the disk, watch a nigga press delete Tryna flex your technique You gettin' blasted with a TEC, that shit is mad ironic Like Alanis Morisette, you try but can't jet Bunch of airline lyrics, rhymes for low fare Flyin' out of O'Hare While these no-name ass niggas wanna go there, nobodies Livin' three blocks from nowhere, down the street from nothin' Let me show these niggas somethin', visual aid, the page And the nigga who fronted, word to God, they don't want it But they wanna play the role, actin' hardcore Watch the whole career, flow, my style is too cold Always, forever like Luther, but it ain't original Because I stole it from the future, now I'm wanted in three centuries The verbal killin', ask me where I got the style Told 'em from my grandchildren, put it on files Document it in the books You niggas can't see me so cease the hard looks I'll rather it get took Live and die for rhymes, dedicated to hip-hop Shit don't stop Niggas they wanna know what and who's next And you roll up in a Lex That's the train stop, my brain drop mad lyrics I rhyme with the spirit off the top, I drop nonstop Verbally killin', my style is ready to willin' Y'all niggas stay back chillin' Like EPMD y'all niggas ain't seein' me, what We're enormous, nah, do or die I got the rhymes on the brain They tried to bomb me on the plane so I rode the train Before I got here, spawned here I'm 'bout to save this shit, yo it's my year, what!? Bring it on, pass it to my man Tariq Rock the mic all week",7,8,5,8,2,10,12,5,1,7,-0.9871
1,1,/songs/2846871,Kanye West,2016 MTV VMAs Speech,https://genius.com/Kanye-west-2016-mtv-vmas-speech-lyrics,http://api.genius.com/songs/2846871,None,2016-08-28,"I am Kanye West, and that feels really great, especially to say this year. I came here to present my new video, but before that, I'ma talk. Now... Later tonight, ""Famous"" might lose to Beyoncé, but I can't be mad—I'm always wishing for Beyoncé to win, so, you know! But for people to understand just how blessed we are. It was an expression of our now. Our fame right now. Us on the inside of the TV. You know, just to put... the audacity to put Anna Wintour right next to Donald Trump... I mean, like, I put Ray J in there, bruh! This is fame, bro! Like... I see you, Amber! My wife is a G, not a lot of people's wives would let 'em say that! We came over in the same boat, now we all in the same bed. Well... maybe different boats, but you know. If you think about it, last week, it was 22 people murdered in Chicago. You know, like, people come to me like, ""Man, that's right! Tell Taylor to..."" Bro, like, I love all y'all! That's why I called her! So, I was speaking at the Art Institute last year and one kid came up to me and said, ""Three of my friends died and I don't know if I'm gonna be the next."" And it has to... you know, you have to think like, you know when you're a senior and it's like the last month and you just don't feel like doing anymore work? If you feel like you're seeing people dying right next to you, you might feel like what's the point? You know, like, life could be, like, start to feel worthless in a way. I know times for me, I sit down and talk to older, rich people, you know -- aka white -- and uh, they tell me, ""Don't compare yourself to Steve Jobs, don't compare yourself to Walt Disney."" And my friend Sekaya told me -- ayy, bruh, bruh!  They tell me, ""Don't compare yourself to these people,"" right? My friend Sekaya told me it's three keys to keeping people impoverished: taking away their esteem, taking away their resources, and taking away their role models. My role models are Artists Merchants. It's less than 10 I can name in history. Truman, Ford, Hughes, Disney, Jobs, West  (Audience cheer) Bro! Broooo!  Tonight, we're here to have fun. I'm standing in front of my idol, Puff Daddy. I'm standing in front of my wife, Kim Kardashian West. I'm standing in front of the future, Chance The Rapper, 2 Chainz, Jaden Smith. Bro! We are undeniably the influence, the thought leaders. I'm gonna play y'all a piece of my art and I hope y'all have a good time",4,13,4,3,14,6,34,8,9,18,0.998
2,2,/songs/2421955,Kanye West,30 Hours,https://genius.com/Kanye-west-30-hours-lyrics,http://api.genius.com/songs/2421955,The Life of Pablo,2016-02-12," Baby lion goes Where the islands go   You say you never saw this comin', well you're not alone Million dollar renovations to a happy home My ex says she gave me the best years of her life I saw a recent picture of her, I guess she was right I wake up, assessin' the damages Checkin' MediaTakeOut Pictures of me drunk walkin' out with a bitch But it's blurry enough to get the fake out I wake up, all veggies no eggs I hit the gym, all chest no legs Yep, then I made myself a smoothie Yeah, then me and wifey make a movie Chicago - St. Louis, St. Louis to Chicago Ándale ándale E.I, E.I, uh-oh You had me drivin' far enough to switch the time zone You was the best of all time at the time though Yeah, you wasn't mine though   But I still drove 30 hours And I, I still drove 30 hours to you, yeah   I remember rappin' for Jay and Cam Young producer just trying to get his flows off I remember being nervous to do Victoria's Secret 'Til I pictured everybody with they clothes off Expedition was Eddie Bauer edition I'm drivin' with no winter tires in December Skrrt skrrt skrrt like a private school for women Then I get there and all the Popeye's is finished, girl You don't love me, you just pretendin' I need a happy beginnin', middle and endin' Chicago, St. Louis, St. Louis to Chicago It's gettin' hot in here, that's all that I know Got a hotel room, 3 stars for you You call down for an omelet Girl it's 5 in the morning You realize we at the DoubleTree, not the Aria Only thing open is Waffle House, girl don't start with me I used the Western Union for you like it's no prob' 'Cause you was in college complainin' 'bout it's no jobs But you were suckin' a nigga dick the whole time Well I guess a blowjob's better than no job   And I drove back 30 hours   Where the main ties onto the sail Better on sighting For astern, oh   3 Stacks, can you help me out? 30 hours Yeah, this type of shit you just ride out to 30 hours 30 hours I just be like, it was my idea to have an open relationship Now a nigga mad Now I'm 'bout to drive 90 miles like Matt Barnes to kill... 30 hours Just to kill.. Just to... Just to... I'm about to drive 90 90 miles like Matt Barnes just to whoop a nigga ass It was my idea and now a nigga (30 hours) Now a nigga mad, now a nigga, uh A stunna Whoop him after school just to show I got class Duh-duh-duh-duh-duh-duh-duh-duh Duh-duh with you, yeah (30 hours) You know what I'm sayin'? Drop some shit like that Ayy, ayy woop him after school just to 30 hours Whoop him after school just to show I got class Uh, 3 Stacks 30 hours Just ride out to that Check it out: this the bonus track, this the bonus 30 hours My favorite albums used to have like bonus joints like this That's why they kick it off like this Yeah, just did that Madison Square Garden 30 hours Had to put the flyest nigga on this shit, ayy, ayy The pyramids shall rise 30 hours Look at these ultralight beams flowin' For all the moms, the dads, the kids, the families that shared this moment with us Let's rock out for 'bout 30 hours You know, ayy, you know Ayy, you know, ayy, you know 30 hours Whole design team, Yeezy team, music team Remember when the whole block'd get shout out? This my version of a shout-out track 30 hours Let that mothafucka rock, let that, let that, yeah To my brother Yasiin, holding it down in Africa 30 hours To my family: thank you for holding me down The media be acting like 30 hours That's Gabe calling Yo Gabe I'm just doing a... I'm just doing an adlib track right now What's up? 30 hours 30 hours  [Produced by Mike Dean, Kanye West & Karriem Riggins]",16,19,7,7,14,17,26,8,8,17,0.9913
3,3,/songs/2448,Kanye West,Addiction,https://genius.com/Kanye-west-addiction-lyrics,http://api.genius.com/songs/2448,Late Registration,2005-08-30,"[Produced by Jon Brion & Kanye West]   You make me smile with my heart, ohh   Why everything that's supposed to be bad make me feel so good? Everything they told me not to is exactly what I would Man, I tried to stop man, I tried the best I could But You make me smile  [Verse 1: Kanye West, Etta James] What's your addiction? Is it money? Is it girls? Is it weed? I've been afflicted by not one, not two, but all three She's got the same thing, about me, but more, about us She's coming over, so I guess, that means, I'm her drugs (You make me smile) Just let me peek now, I mean damn, I'm so curious She's got a lover, so the lies, and the lust, is a rush Time's of the essence, I need, you to be spontaneous Roll up the doja, Henny and Co-Co-Coca-Cola (You make me smile with my heart, ohh) Then I'm co-coming over cause it's ne-never over   Why everything that's supposed to be bad make me feel so good? Everything they told me not to is exactly what I would Man, I tried to stop man, I tried the best I could But You make me smile  [Verse 2: Kanye West, Etta James] I see the emotion in your eyes, that you, try not to show We get the closest when you high, or you drunk, or you blown So I pour the potion, so we could both get high, as we could go Then I'll get the lotion, and do somethin' to me, when your thighs is exposed (You make me smile) There's no turning back now, I mean I don't mean to impose Not now but right now, I need you to undress, and then pose I'm into that now, catch a vibe, when the doors, get closed Roll up the doja, Henny and Co-Co-Coca Cola (You make me smile with my heart) And I keep co-coming over cause it's ne-never over   Why everything that's supposed to be bad make me feel so good? Everything they told me not to is exactly what I would Man, I tried to stop man, I tried the best I could But You make me smile   Why everything that's supposed to be bad make me feel so good? Everything they told me not to is exactly what I would Man, I tried to stop man, I tried the best I could But You make me smile   I just wanted to ask you Just wanted to um, let me, how would I put this uhh Let's say all your friends, remember the one You said if you ever she would be the one Ok, ok, ok (You make me smile with my heart) Well I was thinking, hypothetically I mean don't take this seriously Don't take me: I mean just, uhh, not credibly I'm feeling incredibly, I mean let it be I just let it be I mean you, her and me (You make me smile with my heart) I mean you, her and me Maybe, baby, baby You know I was just kidding Unless you gon' do it (You make me smile)",8,12,7,5,22,12,25,6,20,24,0.9941
4,4,/songs/4021975,Kanye West,Adrenalin (Kırıldı Karyola),https://genius.com/Kanye-west-adrenalin-krld-karyola-lyrics,http://api.genius.com/songs/4021975,None,2015-03-03," Sene 2015, ben Fear StyLa Burası İsyanqar Duygular Records Kimseden korkumuz yok amınakoyayım   Bana diss atacak adam anasından doğmadı Anasının amına geri sokarım adamı Baban bile belli değil la yarrağın çocuğu Anan beni metresim lan orospu çocuğu Birak rapi Sero, babanı geç dinle Anan bilir, gel altımda inim inim inle Kasırga Part 4'te lan cevabını bekliyorum Bu disste af yok lan ananın amına saplıyorum Geçenlerde doktora gittim yazdı reçete Ananı sikerken lazım peçete Arabamda kornalara anan girdi pornolara Fear böyle sikertmiş neden diye de sorma bana Part 2'yi dinle sikimin havası İsyankar bir çocuk orospu anası Sikimin kırma kolu, yarrağımın zirvesi Götün yiyorsa diss at Ananı sikme partisi   Ot, kubar, jamaika, bonzai Anan lezbiyen babansa gay Ortada bir çocuk, adı İsyankar Bacını sikerken patladı zar Yarım metre oğlum bak yarrağımın anteni Anan orospu işte, platformun mankeni Seni siktim yarrak binsene kamyona Ananı sikerken kırıldı karyola   Eskişehir'de kasırga Konya'da yağmur Anan orospu işte, sen ise mağdur Reklam için bana diss atan ergen Klibimi koymuş bir de göt kafalı dörtgen Adrenalin patlaması, ritim çok pis tutturuyom Hayranların piç kurusu, sağda solda haykırıyor Laftan falan anlamıyon, anan burada sallanıyor Baban ananı sikerken takma yarrak kullanıyor Götveren Arjantin'i sike sike doymadım Şerefimiz var bizim gidip de vatanı satmadık Sizin gibi götlere bu sözlerim az bile Soka soka patladı, çekinek mi selfie'ye Bizi tanı lan piç, yoksa seni yaşatmam Kerhane değil bura, siker siker çıkartmam Dokuz canlı olsan bile bitireceğim lan seni Diss attığın adamlar götüne soktu anteni Diyorlar ki lan bana ""Küfür etme bilader"" Karışma lan piç kurusu, göte yarrak lak girer Ananı, bacını, tüm sülaleni sike sike morarttım Ananı hata bağlayıp amdan sakat bıraktım Kasırga Part 3 ulan, Alper Çakır söylüyor Sazını mazını siktim işte, köpek gibi havlıyor Başkan olmuş gaylere, götünde var kanaması Yasta sana yasladı, oldun yarrak hastası   Ot, kubar, jamaika, bonzai Anan lezbiyen babansa gay Ortada bir çocuk, adı İsyankar Bacını sikerken patladı zar Yarım metre oğlum bak yarrağımın anteni Anan orospu işte, platformun mankeni Seni siktim yarrak binsene kamyona Ananı sikerken kırıldı karyola   Al sana diss amınakoyduğumun oğlu al sana diss Götün yiyorsa cevap at amınakoyayım Seni tüm Konya'ya siktirmezsem ben de en adiyim Götün yiyorsa diss at amınakoyayım Götün yiyorsa diss at Kasırga Part 4'te lan cevabını bekliyorum",5,0,3,2,0,5,0,0,0,0,-0.7506
5,5,/songs/482233,Kanye West,All Day,https://genius.com/Kanye-west-all-day-lyrics,http://api.genius.com/songs/482233,None,2015-03-02," All day, nigga (Dance, ayy, ayy ayy ayy)   All day, nigga How long you niggas ball? All day, nigga How much time you spent at the mall? All day, nigga How many runners do you got on call? All day, nigga Swish, swish, how long they keep you in court? All day, nigga Take you to get this fly? All day, nigga Tell your P.O. how-how long you been high? All day, nigga You already know I’m straight from the Chi, all day, nigga South, south, south side! All day, nigga   This Ye, nigga Shoppin' for the winter and it’s just May, nigga Ball so hard, man, this shit cray, nigga And you ain't gettin' money 'less you got eight figures For that Jesus piece, man, I've been saved, nigga Just talked to Farrakhan, that's sensei, nigga Told him I've been on ten since the 10th grade, nigga Got a middle finger longer than Dikembe, my nigga, uh I don't let 'em play with me I don't let 'em talk to me no kind of way Uh, they better watch what they say to me Niggas still gettin' popped on the day to day Yeah, I still got the hundred with the small face, nigga Might spend 50 racks on my off day, nigga You a fake Denzel like the Allstate nigga If you run into me, better have Allstate with yah You a Rico Suave nigga Ride 'round listen to Sade, nigga If you ain't with us, you in our way, nigga You an actor, you should be on Broadway, nigga 'Cause you do shit the broad way, nigga Your bitch got a ass, but my broad way thicker Late for the class, in the hallway, nigga Yeah, the dropout at it as always nigga, as always All day, nigga   I took a young sweet breath, and I reached into my Earth Gave him what I had left At that moment I dispersed At that moment I dispersed   All day, nigga How-h-how long you ball? All day, nigga How much time you spent at the mall? All day, nigga How long it take you to get this fly? All day, nigga Tell your P.O. how-how long you been high? All day, nigga Pour some Hen out for my niggas that died, all day, nigga And I keep a bad bitch on the passenger side, all day, nigga You already know I’m straight from the Chi, all day, nigga South, south, south side! All day, nigga   I could do this all day, boy, I'm finna turn this bitch out They need that Ye in the streets, boy, there's been a mothafuckin' drought Don't really matter what I make, boy, you know I still go wild Like a light-skinned slave, boy, we in the mothafuckin' house! Right now, you lookin' real sus right now I swear I've been on this flight like a month right now Stupid niggas gettin' money, Forrest Gump right now Shout-out to Jackie Chan, I need to stunt right now They've been lookin' at the Gram, I've been lookin' at the Grammys Like, huh, that's us right now 24/7, 365 days, everybody gettin' paid Niggas lookin' at me like I'm worth both MJs People saying, ""Ye, Ye, take it easy"" 20 Gs for the Yeezys off of eBay Niggas do the most and they ain't done shit Only way I can sum it up, sumbitch   (Hands up, hands up, hands up) Hands up, hands up, hands up So won't you dance? ayy, ayy ayy ayy (All day, nigga)   I took a young sweet breath, and I reached into my Earth Gave him what I had left At that moment I dispersed At that moment I dispersed   Get low, alright Get low, alright What up? Alright, alright Stay low, alright Stay low, alright Stay low, alright South, south, south side! All day, nigga   Whistling   Well, well, well, let me run (let me run) Let me run to see who came undone You've been right in my face Let me run 'til you're off my case Whooooa, whooooa Whooooa, whooooa Whooooa, whooooa Whooooa, whooooa  [Produced by Velous, Kanye West, Diddy and Charlie Heat; Co-produced by Mike Dean, French Montana and Noah Goldstein; Additional production by Plain Pat, Travi$ Scott, Allen Ritter & Mario Winans]",12,18,11,8,9,22,17,8,8,12,-0.9045
6,6,/songs/745685,Kanye West,All Day (Kendrick Lamar Reference),https://genius.com/Kanye-west-all-day-kendrick-lamar-reference-lyrics,http://api.genius.com/songs/745685,None,2015-03-02,"[Intro: Theophilus London, sample, & (Kanye West) ] Nothing bout you Nothing bout you I wanna tell you (All day, nigga) Dance, ayy, ayy ayy ayy (All day, nigga)   How long you niggas ball? All day, nigga How much time you spent at the mall? All day, nigga How many...do you got on call? All day, nigga Swish, swish...they keep you in court? All day, nigga Take you to get this fly? All day, nigga Tell your P.O. how-how long you been high? All day, nigga You already know I’m straight from the Chi, all day, nigga South, south side! All day, nigga  [Verse 1: Kanye West & Kendrick Lamar] This Ye, nigga Shoppin' for the winter and it’s just May, nigga Ball so hard, man, this shit cray, nigga And you ain't gettin' money 'less you got eight figures Talkin' big face, nigga Put yo' ass back of pocket like a switch blade, nigga, uh I ain't tryna play, nigga Got a middle finger longer than Dikembe, my nigga, uh All day, nigga 'Ye in the building like a hallway, nigga Still got the hundred with the small face, nigga Might spend 50 racks on my off day, nigga Might...naturally all day, nigga If...have Allstate with you, uh You a Rico Suave nigga Ride 'round listen to Sade, nigga Ride 'round something and it's all day, nigga You an actor, you should be on Broadway, nigga Cause you do shit the broad way, nigga Your bitch got a ass, but my broad way thicker ...then booked it like the Barclays Center, uh   Nothing bout you Nothing bout you I wanna tell you (All day, nigga)   I took a young sweet breath, and I reached into my Earth Gave him what I had left At that moment I dispersed At that moment I dispersed I took a young sweet breath, and I reached into my Earth Gave him what I had left At that moment I dispersed At that moment I dispersed   All day hoe, my neck look sweeter than parfait hoe Rap Derek Jeter in a red two-seater I can throw this dick from far away hoe (swish it, swish it) Ask me how long do it take to be the greatest I'm a bar away hoe (swish it, swish it) Damn Kanye never will it be safe Bitch I already know (swish it, swish it) 24/7 365 days everybody gettin' paid Nigga lookin' at me like I'm worth both MJ's Chitown, PJ all of BJ Chitown, we play for the freebase These days, don't believe what police say DJ's and the B-boys run shit Only way I can sum it up, sumbitch   Nothing bout you Nothing bout you I wanna tell you So won't you dance, ayy, ayy ayy ayy   Little darling, let me run (let me run) Until I find myself In the morning sun Give me freedom (give me freedom) Give me space I want to find myself In that special place Whooooa, whooooa Whooooa, whooooa Whooooa, whooooa Whooooa, whooooa",14,11,7,4,13,16,18,3,6,13,0.9489
7,7,/songs/86,Kanye West,All Falls Down,https://genius.com/Kanye-west-all-falls-down-lyrics,http://api.genius.com/songs/86,The College Dropout,2004-02-10," Oh, when it all, it all falls down Yeah, this the real one, baby I'm tellin' you all, it all falls down Uh, Chi-Town, stand up! Oh, when it all, it all falls down Southside, Southside We gon' set this party off right I'm tellin' you all, it all falls down Westside, Westside We gon' set this party off right Oh, when it all   Man, I promise, she's so self-conscious She has no idea what she doin' in college That major that she majored in don't make no money But she won't drop out, her parents'll look at her funny Now, tell me that ain't insecurr The concept of school seems so securr Sophomore, three yurrs, ain't picked a carurr She like, ""Fuck it, I'll just stay down hurr and do hair."" ‘Cause that's enough money to buy her a few pairs Of new Airs, ‘cause her baby daddy don't really care She's so precious with the peer pressure Couldn't afford a car, so she named her daughter Alexis She had hair so long that it looked like weave Then she cut it all off, now she look like Eve And she be dealin' with some issues that you can't believe Single black female addicted to retail, and well   Oh, when it all, it all falls down And when it falls down, who you gon' call now? I'm tellin' you all, it all falls down C'mon, c'mon, and when it falls down Oh, when it all   Man, I promise, I'm so self-conscious That's why you always see me with at least one of my watches Rollie's and Pasha's done drove me crazy I can't even pronounce nothin', pass that Ver-say-see! Then I spent four hundred bucks on this Just to be like, ""Nigga, you ain't up on this."" And I can't even go to the grocery store Without some Ones that's clean and a shirt with a team It seem we livin' the American Dream But the people highest up got the lowest self-esteem The prettiest people do the ugliest things For the road to riches and diamond rings We shine because they hate us, floss 'cause they degrade us We tryna buy back our 40 acres And for that paper, look how low we'll stoop Even if you in a Benz, you still a nigga in a coupe   Oh, when it all, it all falls down Come on, come on I'm tellin' you all, it all falls down And when it falls down, who you gon' call now? Oh, when it all, it all falls down Come on, come on I'm tellin' you all, it all falls down And when it all falls down   I say, ""Fuck the police,"" that's how I treat 'em We buy our way out of jail, but we can't buy freedom We'll buy a lot of clothes, but we don't really need 'em Things we buy to cover up what's inside 'Cause they made us hate ourself and love they wealth That's why shorty's hollerin', ""Where the ballers at?"" Drug dealer buy Jordan, crackhead buy crack And the white man get paid off of all of that But I ain't even gon' act holier than thou 'Cause fuck it, I went to Jacob with 25 thou Before I had a house and I'd do it again ‘Cause I wanna be on 106 & Park, pushin' a Benz I want to act ballerific like it's all terrific I got a couple past-due bills, I won't get specific I got a problem with spendin' before I get it We all self-conscious, I'm just the first to admit it   Oh, when it all, it all falls down C'mon, c'mon And when it falls down, who you gon' call now? I'm tellin' you all, it all falls down C'mon c'mon, and when it falls down Oh, when it all, it all falls down Southside, Southside We gon' set this party off right I'm tellin' you all, it all falls down Westside, Westside We gon' set this party off right Oh when it all, it all falls down Chi-Town, Chi-Town We gon' show 'em how we get down I'm tellin' you all, it all falls down Now, Syleena, you just like a safe belt, you saved my life C'mon Oh when it all, it all falls down I'm tellin' you all, it all falls down  ",7,9,4,11,18,39,29,34,6,20,0.9888
8,8,/songs/25725,Kanye West,All Falls Down (Original),https://genius.com/Kanye-west-all-falls-down-original-lyrics,http://api.genius.com/songs/25725,Freshmen Adjustment Vol. 1,2005-03-21," I hear you, I hear you, L-Boogie Remember they used to call you that? What you say, Lauryn? You just keep singing, I'mma tell 'em Oh when it all, it all falls down I'm telling you all when it all falls down (Oh when it all)   Man I promise, she's so self conscious She has no idea what she doing in college That major that she majored in don't make no money But she won't drop out, her parents will look at her funny Now, tell me that ain't insecurr The concept of school seems so securr Sophmore three yurrs ain't picked a carurr She like fuck it, I'll just stay down hurr and do hair Cause that's enough money to buy her a few pairs of new Airs Cause her baby daddy don't really care She's so precious with the peer pressure Couldn't afford a car so she named her daughter Alexis She had hair so long that it looked like weave Then she cut it all off now she look like Eve And she be dealing with some issues that you can't believe Single black female addicted to retail and well   Oh when it all, it all falls down Uh, and when it falls down who you gon' call now? Oh when it all, it all falls down C'mon c'mon, and when it falls down   Man I promise, I'm so self-conscious That's why you always see me with at least one of my watches Rollies and Pashas done drove me crazy I can't even pronounce nothing, pass that versace! Then I spent 400 bucks on this Just to be like, ""Nigga, you ain't up on this!"" And I can't even go to the grocery store Without some Ones that's clean and a shirt with a team It seems we living the American Dream But the people highest up got the lowest self-esteem The prettiest people do the ugliest things For the road to riches and diamond rings We shine because they hate us, floss cause they degrade us We trying to buy back our 40 acres And for that paper, look how low we a stoop Even if you in a Benz, you still a nigga in a coupe   Oh when it all, it all falls down Uh, and when it falls down who you gon' call now? Oh when it all, it all falls down C'mon c'mon, and when it falls down   I say fuck the police, that's how I treat 'em We buy our way out of jail, but we can't buy freedom We'll buy a lot of clothes but we don't really need 'em Things we buy to cover up what's inside Cause they make us hate ourself and love they wealth That's why shorties holler, ""Where the ballers at?"" Drug dealer buy Jordan, crackhead buy crack And the white man get paid off of all of that But I ain't even gonna act holier than thou Cause fuck it, I went to Jacob with 25 thou Before I had a house and I'd do it again Cause I wanna be on 106 & Park pushing a Benz I wanna act ballerific like it's all terrific I got a couple past-due bills, I won't get specific I got a problem with spending before I get it We all self-conscious I'm just the first to admit it   Oh when it all, it all falls down Uh, and when it falls down who you gon' call now? Oh when it all, it all falls down C'mon c'mon, and when it falls down  Don't stop that shit, keep that shit Keep that part where I ran out of breath We ain't doing no punch-ins, man That's that fake shit If I was on stage, how I gotta spit it? It's from the heart anyway Might cause shortness of breath, ya know? Couldn't have got nobody better for the job Thank you very much this a beautiful Beautiful young lady that's inspired me definitely",10,10,8,11,20,33,32,25,9,19,0.9938
9,9,/songs/3720959,Kanye West,All Mine,https://genius.com/Kanye-west-all-mine-lyrics,http://api.genius.com/songs/3720959,ye,2018-06-01," Yeah, you supermodel thick Damn, that ass bustin' out the bottom I'ma lose my mind in it Crazy, that medulla oblongata Get to rubbin' on my lamp Get the genie out the bottle  [Bridge: Ty Dolla $ign & Ant Clemons] Fuck it up, fuck it up Pussy good, go 'n back it up Pipe her up, I'ma pipe her up Make her mine, I done fell in love Juicy thing, make that pussy sing One more time, baby, do it big Make it cry, come boohoo this shit   Yeah, you supermodel thick Damn, that ass bustin' out the bottom I'ma lose my mind in it Crazy, that medulla oblongata Get to rubbin' on my lamp Get the genie out the bottle   If I pull up with a Kerry Washington That's gon' be an enormous scandal I could have Naomi Campbell And still might want me a Stormy Daniels Sometimes you gotta bag the boss up I call that takin' Corey Gambles Find yourself up in the food court You might have to enjoy a sample All these thots on Christian Mingle Almost what got Tristan single If you don't ball like him or Kobe Guarantee that bitch gonna leave you Ayy, time is extremely valuable And I prefer to waste it on girls that's basic That's just some Ye shit Right now, let's do what we want Let's have a threesome: me, you, and a blunt I love your titties 'cause they prove I can focus on two things at once   Yeah, you supermodel thick Damn, that ass bustin' out the bottom I'ma lose my mind in it Crazy, that medulla oblongata Get to rubbin' on my lamp Get the genie out the bottle Get the genie out the bottle   Let me hit it raw like fuck the outcome Ayy, none of us'd be here without cum Ayy, if it ain't all about the income Ayy, ayy, let me see you go ahead and spend some Ayy, if you drivin' 'round in some Dri-Fit Ayy, I'ma think that you the type to dry snitch Hm, mhm, if I see you pull up with the three stripes Ayy, ayy, I'ma fuck around and make you my bitch   Yeah, you supermodel thick Damn, that ass bustin' out the bottom I'ma lose my mind in it Crazy, that medulla oblongata Get to rubbin' on my lamp Get the genie out the bottle Get the genie out the bottle",18,7,13,13,8,30,18,19,6,8,-0.995
