,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/1471957,Kesha,31 Seconds Alone,https://genius.com/Kesha-31-seconds-alone-lyrics,http://api.genius.com/songs/1471957,Unreleased,2017-01-01," 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7   Caught up, I'm drowning in this crowded sound I've fallen underneath So loud, it's pounding all around me There's no time for you and me   We could be having the night of our lives   Pull the fire alarm I would scream ""there's a bomb in the building"" For 31 seconds alone Break the hands on the clocks I would change all the locks in a minute For 31 seconds alone Baby, I'm tired of running wild With all this time, I'm on my own Pull the fire alarm I would scream ""there's a bomb in the building"" For 31 seconds alone   1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7   I need more than a pinch of sand This hourglass is running out now Much more than your promises Need some consciousness To turn this around   We could be having the night of our lives   Pull the fire alarm I would scream ""there's a bomb in the building"" For 31 seconds alone Break the hands on the clocks I would change all the locks in a minute For 31 seconds alone Baby, I'm tired of running wild With all this time, I'm on my own Pull the fire alarm I would scream ""there's a bomb in the building"" For 31 seconds alone   1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7   We could be having the night of our lives If only we had some time Time, time, time, time   Pull the fire alarm I would scream ""there's a bomb in the building"" For 31 seconds alone Break the hands on the clocks I would change all the locks in a minute For 31 seconds alone Baby, I'm tired of running wild With all this time, I'm on my own Pull the fire alarm I would scream ""there's a bomb in the building"" For 31 seconds alone   1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7, 8 1, 2, 3, 4, 5, 6, 7   We could be having the night of our lives 31 seconds alone We could be having the night of our lives 31 seconds alone We could be having the night of our lives 31 seconds alone",-0.9978,12,12,6,27,4,24,17,6,24,1
1,/songs/2016885,Kesha,7AM,https://genius.com/Kesha-7am-lyrics,http://api.genius.com/songs/2016885,Unreleased,2017-01-01," It's 7 in the morning   You were rolling in the cash, yeah, you were rolling in bitches And I was rolling in my Lincoln, I was a shitty waitress And boy, you had me kinda thinking you were making me famous And I was getting cozy with the thought of giving you kisses   I was a fresh 18 (I've been such a good girl) You call me while I sleep (get into my world) You're making me phat beats (you've got the sound I'm lookin' for) You're saying that you think I got star quality   Got you stuck, stuck in my head (stuck in my) Playing like a song in the back of my head (stuck in my) How'd you get stuck, stuck, stuck in my head (stuck in my) Playing like a song in the back of my head It's 7 in the morning   Oh, it's 7 in the mornin' and I'm not even tired Your voice is spinnin', screwing with my mind Boy, you've got me wired Put your hands all over me, on your synthesizer I got this nasty crave, I need a drop of your tranquilizer   I was a fresh 18 (I've been such a good girl) You call me while I sleep (get into my world) You're making me phat beats (you've got the sound I'm lookin' for) You're saying that you think I got star quality   Got you stuck, stuck in my head (stuck in my) Playing like a song in the back of my head (stuck in my) How'd you get stuck, stuck, stuck in my head (stuck in my) Playing like a song in the back of my head It's 7 in the morning   I don't know what's wrong, I'm just not tired And boy, I need a tranquilizer I want you to come over (come get inspired) And play me like your synthesizer   You were rolling in the cash, yeah, you were rolling in bitches And I was rolling in my Lincoln, I was a shitty waitress   Got you stuck, stuck in my head (stuck in my) Playing like a song in the back of my head (stuck in my) How'd you get stuck, stuck, stuck in my head (stuck in my) Playing like a song in the back of my head, it's 7 in the Got you stuck, stuck in my head (stuck in my) Playing like a song in the back of my head (stuck in my) How'd you get stuck, stuck, stuck in my head (stuck in my) Playing like a song in the back of my head",0.4617,5,9,6,5,8,9,11,3,4,8
2,/songs/3184515,Kesha,A Bad Girl's Lament,https://genius.com/Kesha-a-bad-girls-lament-lyrics,http://api.genius.com/songs/3184515,Unreleased,2017-01-01," I did it   I did it but I'm sorry, well, I'm really not that sorry Why are you staring at me like that? Stop looking at me like that Okay, I did it but I'm sorry, but, I'm really not, well, maybe It's like it's not you, it's just me You know I love you, baby   He's just so tempting, he's addictive I'm like an addict, I can't help it, I keep going back   I'm a bad, bad girl, I kissed that boy again He does things to me that I just can't explain Yeah, sure, I know better, promised you I'd quit Please forgive me, baby for I have sinned   Yeah, so I did it but I'm sorry, well not, listen here's my story It's just surface, it's so silly, he's so sexy, but that's all, really See the first time that I met him, he was taken, so I took him Ever since then when I see him I try so hard to keep my distance, but   He's just so tempting, he's addictive I'm like an addict, I can't help it, I keep giving in   I'm a bad, bad girl, I kissed that boy again He does things to me that I just can't explain Yeah, sure, I know better, promised you I'd quit Please forgive me, baby for I have   I'm so sorry, I'm not sorry I say I am but really.. well..   I'm a bad, bad girl, I kissed that boy again He does things to me that I just can't explain Yeah, sure, I know better, promised you I'd quit Please forgive me, baby, I'm just who I am A bad, bad girl, I kissed that boy again He does things to me that I just can't explain Yeah, sure, I know better, promised you I'd quit Please forgive me, baby for I have   That's just who I am (I did it) I'm a bad, bad girl That's just who I am That's just who I am (I did it) A bad, bad, bad girl I did it",0.5955,13,1,17,13,7,23,15,13,0,4
3,/songs/2905305,Kesha,A La Discotheque,https://genius.com/Kesha-a-la-discotheque-lyrics,http://api.genius.com/songs/2905305,Unreleased,2017-01-01," Disco, disco, discotheque   Whatever, V.I.P Sneaking in the back, corrupt the whole scene Sure, come scan my fake I.D Sure, buy me a ten dollar drink Gon' take you for a ride, kid If you got the balls, if you can take the discotheque   I got the joint, I know the spot, I got my ride tricked I got the right fix, boy, can you hang with this? Where you wanna go is not the case (uh, oh) We're about to go to outer space (so) Come with me to my special place   Oh-oh, oh-oh, and then we'll fall in love Oh-oh, oh-oh, under the neon sign Oh-oh, oh-oh, watching the mirrored ceilings And dance all night, a la discotheque   Oh-oh, oh-oh, a la discotheque Oh-oh, oh-oh, discotheque   Think you're so fresh, so fresh I'm sayin' I'm not impressed Let's roll to the east-side Hollywood's freeze dried, boring For you, an exception Come play in my direction There's spray paint, there's whiskey There's beats that'd make you rock til' you drop   I got the joint, I know the spot, I got my ride tricked I got the right fix, boy, can you hang with this? Where you wanna go is not the case (uh, oh) We're about to go to outer space (so) Come with me to my special place   Oh-oh, oh-oh, and then we'll fall in love Oh-oh, oh-oh, under the neon sign Oh-oh, oh-oh, watching the mirrored ceilings And dance all night, a la discotheque   Oh-oh, oh-oh, discotheque Oh-oh, oh-oh, discotheque Oh-oh, oh-oh, discotheque Oh-oh, oh-oh, discotheque   Oh mi amor (a la discotheque) Solo quiero bailar (a la discotheque) I want to dance with you, my love A la discotheque   Oh-oh, oh-oh, and then we'll fall in love Oh-oh, oh-oh, under the neon sign Oh-oh, oh-oh, watching the mirrored ceilings And dance all night, a la discotheque Oh-oh, oh-oh, and then we'll fall in love Oh-oh, oh-oh, under the neon sign Oh-oh, oh-oh, watching the mirrored ceilings And dance all night, a la discotheque   Oh-oh, oh-oh, discotheque Oh-oh, oh-oh, discotheque Oh-oh, oh-oh, a la discotheque Oh-oh, oh-oh, discotheque",0.9872,0,1,2,3,12,12,13,6,0,6
4,/songs/2432373,Kesha,Aliens Invading,https://genius.com/Kesha-aliens-invading-lyrics,http://api.genius.com/songs/2432373,Unreleased,2017-01-01," Don't be afraid!   Robots found water La la la la Come take me higher Take all the things that I know for sure Come take them to slaughter Let's take a trip to outer space I'm so sick of LA Everybody's got another face Somebody come show me the way   Let the skies open up Take my eyes open them up Don't be afraid, don't be afraid, don't be afraid Don't be afraid!   Aliens invading, run for your life Grab your wife and babies It's going down tonight Standing on the strip malls since starlight We're aliens invading (aliens invading) Are aliens invading? Run for your life   Signs have been written (all around us) Rocks where we're sitting (la la la la) So much we can't see Heavenly bodies Come down and touch me Let's take a trip to outer space Get me high on the Milky Way I'll give you a taste Just a little taste of the human race   Let the skies open up Take my eyes open them up Don't be afraid, don't be afraid, don't be afraid Don't be afraid!   Aliens invading, run for your life Grab your wife and babies It's going down tonight Standing on the strip malls since starlight We're aliens invading (aliens invading) Are aliens invading? Run for your life   I am in love with an alien You are in love with an alien I am (I am) an alien You are an alien We all are ALIENS! Landing on the strip malls (strip malls) Starlight I am an alien   Aliens invading Run for your life Grab your wife and babies It's going down tonight Standing on the strip malls since starlight We're aliens invading (aliens invading) Are aliens invading? (aliens invading) Are aliens invading? Run for your life",0.7481,4,1,22,30,7,39,26,7,3,12
5,/songs/443678,Kesha,All That Matters (The Beautiful Life),https://genius.com/Kesha-all-that-matters-the-beautiful-life-lyrics,http://api.genius.com/songs/443678,Warrior,2012-11-30," Hey! Uh-ha Hey! Yah-ha Hey! It’s Kesha! Let’s do it   The lights are all off, it’s time to play Got work to do, but that can wait I wanna let go Let everyone know that fuck it, I don’t care Been spending too much energy on stupid shit When honestly I wanna get high Just wanna get high with everyone else here   Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life   We’re made in stars, we’re up in space Now in the dark, come kiss my face We’re swimming in gold, we’re swimming in gold Like fuck it, we don’t care Yeah, this just got sick before my eyes We’ll stay up here, 'til the end of time I feel so alive I’m losing my mind Like everyone else here   Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life   Yeah, uh, it’s raining down Been up all night There’s no excuses, we kiss the sky Don’t wanna come down, don’t wanna come down Is anyone out there? Baby, all that matters...   Put your motherfucking phones up Light ‘em up, oh yeah Put your motherfucking phones up Light ‘em up   Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life Baby, all that matters is the beautiful life Yeah, is the beautiful life Yeah, is the beautiful life   Baby, all that matters",0.9998,2,7,2,0,54,6,61,3,2,6
6,/songs/3813985,Kesha,American Fool,https://genius.com/Kesha-american-fool-lyrics,http://api.genius.com/songs/3813985,Unreleased,2017-01-01," Oh say can you see The bombs bursting in air Get off the plane Open my mouth Say I’m to blame For what’s going down   Okay, let’s talk about it Okay, let’s talk about it From the USA-A-A Up in my fa-a-ace Oh, I-I-I-I   I guess I’m just another heart American fool So what you gonna do? With this American With this American fool I’m just an American fool Just an American I’m just an American fool Just an American   We're dropping bombs I know it’s wrong But I can’t help Where I’m from C'mon, let’s talk about I want to talk about it   From the USA-A-A-A Such a fucking disgra-a-ace Oh, I-I-I-I   I guess I’m just another heart American fool So what you gonna do? With this American With this American fool I’m just an American fool Just an American I’m just an American fool Just an American   Stop giving me shit, stop Stop it Stop giving me shit, stop Stop it Stop giving me shit, stop Stop it Stop giving me shit, stop Stop it   I guess I’m just another heart American fool So what you gonna do? With this American With this American fool I’m just an American fool Stop giving me shit, stop Just an American Stop it I’m just an American fool Stop giving me shit, stop Just an American Stop it",-0.9984,9,0,19,2,0,22,12,2,6,0
7,/songs/3168181,Kesha,Amnesia,https://genius.com/Kesha-amnesia-lyrics,http://api.genius.com/songs/3168181,Unreleased,2017-01-01," Don't say you don't remember last night At the party all your friends were there You said you really liked my hair You asked me, would I go for a walk? Where we could find a quiet place to talk I asked, well what ya wanna talk about And you kissed me on the mouth   Do you have a case of amnesia? You look the other way every time that I see ya You're acting like you don't even know my name Hey, what's your game, what's your play Why you wanna be that way? Like you have amnesia, amnesia   Hanging out at the mall today You saw me there, don't even lie But you walked right by Don't you remember how you held my hand And said you couldn't wait to do it again? Then you drove me to my house And you kissed me on the mouth   Do you have a case of amnesia? You look the other way every time that I see ya You're acting like you don't even know my name Hey, what's your game, what's your play Why you wanna be that way? Like you have amnesia, amnesia   If that's the way you feel It's really no big deal, really no big deal You can do what you wanna do Paradoxically, paradoxically The next time you come for me I won't remember, no, I won't remember you And you'll be singing   Do you have a case of amnesia? Do you have amnesia? I'll have you singing boy, I'll have you singing Do you have a case of amnesia? Every time I see ya I'll have you singing Do you have a case of amnesia You look the other way every time that I see ya You're acting like you don't even know my name Hey, what's your game, what's your play Why you wanna be that way? Why you wanna be that way? Like you have amnesia, amnesia Like you have amnesia, amnesia",0.9847,2,8,3,6,3,23,13,8,4,10
8,/songs/2893114,Kesha,Angel*,https://genius.com/Kesha-angel-lyrics,http://api.genius.com/songs/2893114,Unreleased,2017-01-01," I don't know what I would do without you, oh no I don't know where I would be without your love Cause every time I close my eyes, you're there right by my side You're my angel tonight You're my angel tonight",-0.357,0,3,0,0,3,0,5,0,2,4
9,/songs/25974,Kesha,Animal,https://genius.com/Kesha-animal-lyrics,http://api.genius.com/songs/25974,Animal,2010-01-01," I am in love with what we are Not what we should be And I am I am starstruck with every part of this whole story   So if it's just tonight The animal inside Let it live and die Like it's the end of time Like everything inside Let it live and die   This is our last chance, give me your hand 'Cause our world is spinning at the speed of light The night is fading, heart is racing Now just come and love me like we're gonna die, oh   I'm not asleep, I'm up for the fight Into the magic And I don't want the concrete I am alive Comes with the tragic   So if it's just tonight The animal inside Let it live and die   This is our last chance, give me your hand 'Cause our world is spinning at the speed of light The night is fading, heart is racing Now just come and love me like we're gonna die, oh This is our last chance, give me your hand 'Cause our world is spinning at the speed of light The night is fading, heart is racing Now just come and love me like we're gonna die, oh   Love",0.9611,1,2,0,7,6,8,7,6,3,2
