,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/3262561,Keyshia Cole,Act Right,https://genius.com/Keyshia-cole-act-right-lyrics,http://api.genius.com/songs/3262561,11:11 Reset,2017-10-20," When I pull up on you, act right When I pull up on you girl you better act right   One time I had to pull up on a late night My flight just landed on a red eye So when I see you better act right, act right Damn right, you got me running every red light And I remember when you said it's all mine So when I see you better act right, act right   When you pull up on me act right When you pull up on me girl you better When you pull up on me act right When you pull up on me girl you better act right   Make sure your cellular is not on silent I'm in the uber truck running that mileage I got this feeling that you about to try it I know your boys be only trying to roll up Put down that 2k, time to win me over We can get You already got me, right where you want me to be I can't stay no later than three And it's already two thirty You can't tell nobody, no I'm not just anybody No I'm not just anybody   One time I had to pull up on a late night My flight just landed on a red eye So when I see you better act right, act right Damn right, you got me running every red light And I remember when you said it's all mine So when I see you better act right, act right   I remember when you said you love me I never treat you like a hood rat You claim to be ready but I (?) that And I keep me some bread in the [?] If you fuck around start bussin' she gone buss back Should I tell her to hurry up or I should rush that I eat that puni I got hair on my chest jack We make her moan in the bed and the legs back That pupu red in this [?] I put the Xan on ya Put some bands on ya I ain't playing with you I'm sprayin on ya You know me girl I heard you brazy From the West Side yea But I'm a south side baby I go go crazy, I go go brazy I go go hard on you like I'm with the Navy Now don't you tell 'em Or inform 'em bout nothing Oh no no baby When I pull up you better act right",7,8,7,6,5,11,18,6,2,5,0.8447
1,1,/songs/778703,Keyshia Cole,A Different Me (Outro),https://genius.com/Keyshia-cole-a-different-me-outro-lyrics,http://api.genius.com/songs/778703,A Different Me,2008-12-18,Thank you for coming out buying this album I'd also like to thank you Thannk you for hanging with the sexier side of me Now that u met me me me me I'd like you enjoy a different me Uh...,1,2,1,1,1,1,1,1,0,1,0.9042
2,2,/songs/779175,Keyshia Cole,Beautiful Music,https://genius.com/Keyshia-cole-beautiful-music-lyrics,http://api.genius.com/songs/779175,A Different Me,2008-12-18,Yea yea yea yea yea oooh oooh oooh oooh oooh ay ay ay ay ay o o o o o Every time I see your face Ever since that day met Sparks flying every where Gotta get my chance with you boy You seem to be the one for me let's make it happen baby  No one else can do what you can do No one else can fill the void u fill only you (baby yea yea) And I seem to not have control And I don't think I want to   Baby she don't have to know What we been up to And he don't have what we been up to Beautiful music Let's make beautiful music  (I want u to) Check my summer love everything feels so right Everything seems like we could work it out Another time that the 2 of us that shared so let's make it happen baby No one else can do what you can do No can else fill the void u fill only you (baby yea yea) And I seem to not have control And I don't think I want to   Baby she don't have to know What we been up to And he don't have to know What we been up to Beautiful music Let's make beautiful music  So let's dance the night away The beat of your music so right every time I feel the rhythm in my soul There ain't no way u won't feel my magic boy Let's dance all night yeah  Gimme your love 2 x I know why I stay around cause I'm deeply in love With the way u make me feel do not stop Pretty girl holding my hips kissing my lips don't stop I love ya smile kid me often  With ya Style and swag can't pay to get off ya And I your digging me I'm priceless Got my Own Cars cribs and my rocks are flawless   Baby she don't have to know What we been up to And he don't have to know What we been up to Beautiful music Let's make beautiful music Ay ay ay o o o Ay ay ay o o o  Ay ay o o Gimme your love ,0,7,2,1,30,2,56,7,2,18,0.9955
3,3,/songs/533451,Keyshia Cole,Believer,https://genius.com/Keyshia-cole-believer-lyrics,http://api.genius.com/songs/533451,Point Of No Return,2014-10-07," It’s only right, boy To touch you like I’m touching you, right now To give you everything you need, ooh boy You don’t have to worry, not at all Remember last night boy I screamed out “Oh my God!” It felt right, boy We got so loud, they told us to pipe down But once we turn it on, can’t turn it off   In the morning right before I let you, get up I love you down and make it where its hard to get up From my lips won’t miss a spot, then work your way up Lift my hands and feet up   Make you a believer, a true believer On your knees believer Boy I'mma leave ya Prayin' that this night will never end, believer Make a believer Tonight your faith is going deeper As your knees get weaker I'mma have you shoutin' out   It’s only right boy To do you like a woman is supposed to Won’t stop until you will want to propose, ooh Rush into forever, let’s go It’s only right boy You wanna get a kiss to me right now The one to your heart , boy We got something special, I know   (x2)",0,4,8,2,6,10,7,2,2,9,0.9446
4,4,/songs/730927,Keyshia Cole,Better Me,https://genius.com/Keyshia-cole-better-me-lyrics,http://api.genius.com/songs/730927,Calling All Hearts,2010-12-21," Never known nobody else That knows me even more than I know myself And I'm still trying to see what you see in me And understand, the one I am And you are the one who changed me with your love You make me   You make me wanna be a better me You make me wanna get it right And be the one who deserves to be the one always in your life You make me wanna be the one you see What's beautiful in your eyes You make me, you make me wanna be a better me   You make me feel I'm 10 feet tall You make me think I can do anything at all And I'm here to make sure you find all you need in me Because you give the love that lifts me up I swear to you right now, I won't let you down You make me   You keep me strong, you keep me on track What you give, I wanna give back Thank God for you, thank God for you   Make me wanna be a, make me Make me wanna be a better me You make me, make me wanna be a You make me, make me wanna be a You make me, make me wanna be a You make me wanna be a better me You make me wanna get it right You make me wanna be a better me You make me, you make me wanna be a better me You make me wanna be a better me You make me wanna get it right",0,3,0,2,5,0,6,0,0,3,0.9924
5,5,/songs/778936,Keyshia Cole,Brand New,https://genius.com/Keyshia-cole-brand-new-lyrics,http://api.genius.com/songs/778936,A Different Me,2008-12-18,"I want you to, wrap your hands around my body Take me to another place let's get away from here I want you to, let me know exactly how you feel No holding back, no strings attached Wanna touch your body   Let me show you something brand new When we're through, we'll talk All night, what's on your mind Let me show you something brand new When we're through, we'll talk All night, what's on your mind   (Tell me what's on your mind) What's on your mind? What's on your mind? What's on your mind? What's on your mind? (Talk to me baby) What's on your mind? What's on your mind? What's on your mind? Yeah... (I need your love)  No one can make me make me feel this way Way when you touch me touch my soul And make me lose control I wanna feel everything you give to me (I need your love) Take my heart (Take my heart) Take my body (Take my body) Take my love (Take my love) But give me all you got I don't wanna stop lovin you Make me over baby don't go   Let me show you something brand new When we're through, we'll talk All night, what's on your mind Let me show you something brand new When we're through, we'll talk All night, what's on your mind",1,0,1,1,6,1,13,1,1,6,0.3699
6,6,/songs/3262557,Keyshia Cole,Cole World (Intro),https://genius.com/Keyshia-cole-cole-world-intro-lyrics,http://api.genius.com/songs/3262557,11:11 Reset,2017-10-20," Ayo, Keyshia Cole, I’m just gon’ tell you how it is They wanna finish you, they want you broke They want you miserable, they want you unhappy That will never happen They played themselves We the greatest ever It’s a process for progress I respect those that weather the storm We weather any storm We gon’ continue climbing the mountaintop More wins, more success, more blessings Notice how I said ‘more’ It’s a cole world—a Keyshia Cole world Bundle up, special cloth alert—DJ KHALED!   Special (Another one) cloth alert A cole, cole, cole, Cole World And I put that on everything A cole, cole, cole, Cole World",4,6,2,1,6,5,7,3,0,3,0.9697
7,7,/songs/3262565,Keyshia Cole,Cole World (Outro),https://genius.com/Keyshia-cole-cole-world-outro-lyrics,http://api.genius.com/songs/3262565,11:11 Reset,2017-10-20,"[Too $hort + (Keyshia Cole)] This is Too $hort, I need to let you know one thang It’s a dope ass album, girl—I’m fuckin’ wit it I fucks wit’ you, for real though You know we love it, girl (Know that I love it) Keep making that good music I know you remember what 2Pac taught you (Oh yeah) ‘Cause you’ve been smashing ever since (Getting…) Smashing on the game (…money) Getting money Been all over the world I gotta say I respect 100 percent How you give these little girls the game How you give grown ass women that knowledge How you ain’t no punk, yeah   Special cloth alert A cole, cole, cole, Cole World And I put that on everything A cole, cole, cole, Cole World So cole, so Cole World  [Too $hort + (Keyshia Cole)] You know where we’re going, Keyshia (Straight to the top) To the top…",2,6,0,0,8,0,14,1,3,8,0.8481
8,8,/songs/779142,Keyshia Cole,Confused in Love,https://genius.com/Keyshia-cole-confused-in-love-lyrics,http://api.genius.com/songs/779142,Calling All Hearts,2010-12-21,"You know what? I won't lie about it, you know me I'm feeling like I couldn't go no more Because I feel now for real I never would have trust him my... let me do it, no So many times I've been hurt before, my soul won't let... walk through the door Cause nothing compares doing that song one more see How strong these feelings are deep inside They know there is nowhere that you can hide Your love hurt baby and I just couldn't hide it if I try Rather keep it deep inside than let me feelings show... now I know I can't do you I can only do me And God knows oh why I used to be doing love, confused in love No way in knowing what I wanna do in love And... no more, I would stress no more Used to cry at night late awake at night hold my pillow tight, it will be alright, baby girl  At first I couldn't see me fall in deep in love again I'd rather give it all than let my heart get broke again, again Used to fall to my knees and act oh please tell me what do I do?  I know this love's untrue, I'm heart-broken... soul trust nobody really nowhere  This ain't the way to live, I've gotta get this thing together when I'm stronger, I could love again And God knows  I used to be doing love, confused in love No way in knowing what I wanna do in love And... no more, I would stress no more Used to cry at night late awake at night hold my pillow tight, it will be alright, baby girl   See I want you to listen you ain't got to worry about a thing You ain't gotta cry no more, no more late at night If you waiting up, don't wait no more, you wanna leave, heya  I used to be doing love, confused in love No way in knowing what I wanna do in love And... no more, I would stress no more Used to cry at night late awake at night hold my pillow tight, it will be alright, baby girl  Don't hurt me again, no, cause I'm gonna cry no more",8,8,4,13,22,27,31,22,4,11,0.9881
9,9,/songs/32196,Keyshia Cole,Didn't I Tell You,https://genius.com/Keyshia-cole-didnt-i-tell-you-lyrics,http://api.genius.com/songs/32196,Just Like You,2007-09-25," 'Ey Keyshia, it's your big homey $hort Dog from the town I know you big ballin, baby But I don't wanna get no phone calls, talkin 'bout ""Keyshia at the house, curled up cryin with her heart broke"" Know you wahn't raised like that! (AY!!) You need to hit a club or somethin (AY!!) ...goin out (AY!!) Keyshia...   So while you goin out, havin yo' fuuuuuun I should sit here, waitin for you? All this time I've invested in you, baby Now you gettin yo', dubs and Makin yo' runs and, poppin yo' drank and Havin yo' fuuuuuuuuuun But see, it's okay Cause what goes around, comes around It's always been that way, yeah   Didn't I tell you I, was gonna be the one? (be the one) Be the one, and when it's all done boy (She cain't love you like I do) Didn't I tell you, boy-oy? Huh? Didn't I tell yoooooou? (Huh?) Didn't I tell yoooooou? (Huh?) Didn't I tell yoooooou? (Huh?) Didn't I tell you, boy-oy?   So now the sun comin up, you wanna change But I ain't sittin up and cryin and shit So while you rollin out, doin yo' thang I be poppin my, bot-tles Rollin me dubs, hangin wit my girls I be havin my FUUUUUUUN Cause I don't deserve, all the games you play Now you comin back this way-ay, but..  [Chrous w/ Keyshia's ad-libs]   (Too $hort) You goin out knowin everybody's watchin (You cain't play her!) But she can never be me and you know it baby (She play the GAME!) The truth is in the puddin, ain't no way to hide it Didn't I tell you, boy-oy? (I know she told you!)   You think you got her stuck? You must be smokin She got a lotta money too, she ain't no joke man! We raised her good, she got the game befo' the fame Keyshia Cole, ain't nuttin changed, you know her name You see her ridin somethin clean, lookin hella fly I know you heard she ""Changed Her Mind"", I'm 'bout to tell you why She ain't stayin at the house, she's goin out! To some exclusive {shit}, that you don't know about Keyshia won't be curled up, cryin wit her broke heart She 'bout to get dressed and go HARDAnd if you wanna run the streets, chasin hoes dude She'll be out chillin, cause you ain't doin what you S'POSED to    (Didn't I tell yoooooou?) (Didn't I tell yoooooou?) (Didn't I tell yoooooou?) Didn't I tell you, boy-oy?",8,5,7,4,8,14,20,2,3,9,0.8577
