,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/63119,Kid Cudi,09' Freestyle,https://genius.com/Kid-cudi-09-freestyle-lyrics,http://api.genius.com/songs/63119,Dat Kid From Cleveland,2009-02-24,"Born to do it Even though all my friends lookin at me like who knew it Run to it The hoods just spit by new nigga Feel cats talkin like who nigga Is he Where did he come from CL My mom prayed for me on my journey Treat me like an alien something like sigourney Live through the game for the fame and the gurney Tried to put me on the pedestal Hoes treated me like who are you Now I get to choose like you and her too I just like girls not whores But I have a chill time make s'mores But if I wanna plow someone like a snow blower I can work that ass like a workout plan And then I holla at fam Talkin bout Ye, Don C., Jigga man Been representing since I met 'Quence and I get style tips from my homeboy Ibn Common's the homie Really Doe is the homie GLC is the homie And Big Sean what a gwan' I go monkey paw on the record and they think I’m cookoo Niggas is sign and dated like they recorded in fubu Most niggas will quote you play scrabble with your words man Till you see them at your shows is my dick that they blow man I would sit up some nights and think about my own place Probably cause I took so many blunts of Kush to the face My bad thoughts I can’t erase Or eat what’s on the devils plate I just tell the devil wait Cause murder will not be the case In london with hudson And them girls want some cuttin I’m with him so I’m cool Plus my face on the telly But I’m pissed at the moment I got charged for some roamin' AT&T is some bullshit man I wish they’d stop frontin' But when I roll back to brooklyn Hit the store for a dutchie I say homie keep rappin I say homie its nothin I’m This is Dream on Now when I roll back to cleveland Hit the store for a phillie Niggas tell me keep rappin Cause them young niggas feel me Hear me Hah hem Hear me Yep yep Hear me Yep yep yep Hear me Hear me When I roll out to cali Hit the store for a swisher Niggas tell me keep rappin I say homie I get'cha Hear me Hear me Cudder This is the Dopest shit Hope Niggas like that shit (""Dream On"", ""Dream On"")",-0.9786,12,15,11,10,5,19,14,6,5,6
1,1,/songs/6247,Kid Cudi,50 Ways to Make a Record,https://genius.com/Kid-cudi-50-ways-to-make-a-record-lyrics,http://api.genius.com/songs/6247,A Kid Named Cudi,2008-07-17," You sit and think about how you can hit the scene Take one look inside, your mirror clear to see You need to find yourself as honest as can be There must be 50 ways to make a record Now don't get wrapped into the hype and what they think This shit ain't rocket science and the scene changes with beats And now you ask yourself, how you want to be seen There must be 50 ways to make a record He's up inside the clubs, they like to lean and rock, oh Stands around and looks intrigued by what he saw, now he asks me How he can make hit songs to reach the top There must be 50 ways to make a record 50 ways to make a record   You got talent and your soul cannot be bought He looked and smiled at me and told me ""Thanks a lot."" See I could use your help And would you please explain about the 50 ways It's kind of easy if you have a open mind This game is more than spending money and fucking dimes It's all within your words, some shit that outlives time There must be 50 ways to make a record 50 ways to make a record",0.9424,7,4,3,2,3,5,9,1,1,7
2,2,/songs/2375537,Kid Cudi,Adventures,https://genius.com/Kid-cudi-adventures-lyrics,http://api.genius.com/songs/2375537,Speedin' Bullet 2 Heaven,2015-12-04," And we're floating out to nowhere No safety, fall, we'll land safely   Inadequate, feeling so unwanted Make him want to disappear From the fire calling Damn, that is so unfair Inadequate, he is so unwanted Make him want to disappear From the fire calling Damn, that is so unfair How could I care? How could I care? How could I care?   And we're floating out to nowhere No safety, fall, we'll land safely   Lost in my reflection, how do I chill? Only crazy makes sense, it's starting to make sense While I'm still Her vagina is moist and warm I'll keep you safe, just hold my arm Hell is beyond the door Heaven doesn't want one more No more chicken sandwiches Yes, I'll pay for the damages I explore through the galaxy nightly, numb my body Accept yourself, except yourself Exit yourself, access yourself   No safety, fall, we'll end safely Inadequate, he is so unwanted Make him want to disappear No safety, fall, we'll end safely   ""That song was kinda freaking me out, Butthead. 'And we're floating out in nowhere...'"" ""No safety, fall, we will land safely, Beavis."" ""Kind of makes me think about my life, you know? ""What life?"" ""Yeah, yeah, exactly. The part, you know, 'we're floating out in nowhere...'"" ""Don't worry, Beavis, we will land safely."" ""How come you're talking like that, Butthead?"" ""Like what?"" ""Come on, stop it."" ""I'm not talking any differently than I normally talk, Beavis. Take some of these mushrooms that Cudi gave us, they'll make you feel better."" ""Stop talking like that, Butthead."" ""Like what, Beavis?"" ""You're freaking me out."" ""Take some mushrooms, Beavis. Take some."" ""Oh boy, these mushrooms suck. But they're fast acting, aren't they? These taste horrible."" ""Eat them all, Beavis."" ""They're doing something. Give me some more."" ""Come with me, Beavis, to burning, man. Take some.""",-0.6984,9,4,9,11,4,22,13,16,2,5
3,3,/songs/133902,Kid Cudi,Afterwards (Bring Yo Friends),https://genius.com/Kid-cudi-afterwards-bring-yo-friends-lyrics,http://api.genius.com/songs/133902,Indicud,2013-04-12," Have us a good time, and I ain’t gonna lie Got some friends around, nigga slide by, Have us a good time and I ain’t gonna lie Got some friends around me, got some friends around me Have us a good time, and I ain’t gonna lie Got some friends around, nigga slide by, Have us a good time and I ain’t gonna lie Got some friends around me, got some friends around me    We should go to my home Afterwards, come on Bring your friends, we should go to my home Afterwards, come on We should go to my home Afterwards, come on Bring your friends, we should go to my home Afterwards, come on Bring your friends Bring your friends Bring your friends   My people be on across the globe Don't box me in, claustrophobe Tonight we alive, we should give em a show And my living room dance floor is ready to go My people be on across the globe Don't box me in, claustrophobe Tonight we alive, we should give em a show And my living room dance floor is ready to go  (Bring your friends) Ready to go (Bring your friends) Ready to go   Bring your friends Bring your friends Bring your friends Bring your friends Bring your friends Bring your friends Bring your friends Bring your friends   Just bounce, no hands Girl show you how to do this dance, just bounce, no hands Girl show you how to do this dance, just bounce, no hands Girl show you how to do this dance, just bounce, no hands Girl show you how to do this dance, just bounce, no hands Girl show you how to do this dance, just bounce, no hands Girl show you how to do this dance, just bounce, no hands Girl show you how to do this dance, just bounce, no hands Girl show you how to do this dance, just bounce, no hands Just bounce with me (No hands) Just bounce with me (Girl show you how to do this dance) Just bounce with me (No hands) Just bounce with me (Girl show you how to do this dance) Ain't it nice, ain't it nice, so right, come rage with me Ain't it right, so nice, yeah, come rage with me, yeah So right, so right, so nice, come rage with me, yeah",0.9944,7,14,4,0,39,7,41,4,4,53
4,4,/songs/2417,Kid Cudi,All Along,https://genius.com/Kid-cudi-all-along-lyrics,http://api.genius.com/songs/2417,Man on the Moon II: The Legend of Mr. Rager,2010-11-09," Hey Ma-ma-ma, ma-moon Hey Ma-ma-ma, ma-moon   When the days change So does my attitude I'm messy at home I eat a lot of junk food When the nights change So do my nightmares too I dream reality Is my dream   All along All along I guess I'm meant to be alone All along All along I guess I'm meant to be alone Out there on my own Yeah   When the weeks change The rumors change too I'm addicted to highs Would you like to know why? When the months change So do my love point of views I don't want what I need What I need hates me What I need hates me   I know all along All along I know I'm meant to be alone It's crazy But all along All along I knew I was meant to be alone Out there on my own, yeah   Suppose somehow the lionhearted Failed to win Who will be the villain? All the strangers voted for him Suppose somehow the lionhearted Failed to smile Who will be the villain? All the strangers voted for him   All along All along I guess I'm meant to be alone All along All along I guess I'm meant to be alone Out there on my own, yeah",-0.9389,3,0,3,13,3,11,5,4,5,3
5,5,/songs/2456464,Kid Cudi,All In,https://genius.com/Kid-cudi-all-in-lyrics,http://api.genius.com/songs/2456464,"Passion, Pain & Demon Slayin'",2016-12-16," Ohhhh, ahhhh Ohhhh, ohhhh Ummmm, ohhhh   Hold on, let me explain Sometimes I just don't know what to believe And I hate things that I said, I didn't mean them (hm-hm) So difficult tryna piece my thoughts Don't wanna be no burden, I always piss you off How could a man not wanna disappear? (hmm)   I'm exposed and I am pure No one makes me feel secure Except you and now we're all in All in, I am all in Whatever happens, happens We're all in, all in I am all in Whatever happens, happens   Why all the fussin', I can explain I know your heart is all in no one takes your place I hate the man that I was so I'm becoming (hm-hm) We're learning together anyhow We're learning together right now Facing the man that I was, tired of running   I'm exposed and I am pure No one makes me feel secure Except you and now we're all in All in (we're all in deep, baby), I am all in Whatever happens, happens We're all in, all in I am all in Whatever happens, happens   Happens, happens, happens, happens, happens All in, all in, all in Happens, happens, happens, happens, happens All, all in, all in, all in, all in, all in Whatever happens, happens",-0.9423,2,1,2,4,1,5,7,2,0,4
6,6,/songs/2375539,Kid Cudi,Amen,https://genius.com/Kid-cudi-amen-lyrics,http://api.genius.com/songs/2375539,Speedin' Bullet 2 Heaven,2015-12-04," I can see through you I can see through you   Amen, amen I will slay them, I won't save men The demons walk around with an appetite I see them demons walk around in daylight, I see 'em Amen, I will slay them   Oh, beware of the manic man A man can equal bandstand Rip faces up with my bare hands You fake niggas and bitches Yeah, I know you're wearing a mask Yeah, I know you're wearing a mask Get out with your phony ass With your stories and your phony plans   Amen, amen I will slay them, I won't save me Demons walk around with an appetite Demons walk around in daylight And I will slay them, I won't save men   Oh, beware of the manic man A man can equal bandstand Rip faces up with my bare hands You fake niggas and bitches Yeah, I know you're wearing a mask Yeah, I know you're wearing a mask Get out with your phony ass With your stories and your phony plans   Amen, amen I will slay them, I won't save men Demons walk around with an appetite Demons walk around in daylight Amen, I will slay them",-0.9809,18,4,12,10,12,22,12,8,0,12
7,7,/songs/2375544,Kid Cudi,Angered Kids,https://genius.com/Kid-cudi-angered-kids-lyrics,http://api.genius.com/songs/2375544,Speedin' Bullet 2 Heaven,2015-12-04," Yeah Hello, hello, doctor, doctor Doctor, there's something wrong inside of me There's something, I don't know doctor, help me Well is there, is there something I can do?   No remorse, no remorse Got a couple bundles of dynamite And some hand grenades No remorse, no remorse You never should've angered the kids   The darkness is coming The darkness is coming   No remorse, no remorse Hell like you wouldn't believe   The darkness is coming The darkness is coming Oh you fools start running Dead man walking   Right foot, left foot Left foot, right foot Doctor, what am I to do? What am I to do?   The darkness is coming And guess what it's wanting Fools start running Dead man walking",-0.9911,6,7,3,7,0,17,6,13,1,6
8,8,/songs/2264,Kid Cudi,Ashin' Kusher,https://genius.com/Kid-cudi-ashin-kusher-lyrics,http://api.genius.com/songs/2264,Man on the Moon II: The Legend of Mr. Rager,2010-11-09," Uhh, yeah, uhh Uh-huh... yeah   First things first, been rippin', get it in Cudder Niggas know the name, it's none other I know you know me, the double-O repper Two-stepper, gun toter nah-nah, smoke kusher I know you lovin' how I do it when I switch up the lizzane Skinny niggy niggy in your city gettin chizzange Like I'm Carmelo, meet me in the pizzaint Yammin' on you sucker niggas, yammin' on these hoes Roll Swishers in the whip, I'm dippin' so quick Ask Mel Whiskey motherfucker we up in this bitch Hoes love Cudder, smooth duder, courtois I'm climbing, I'm climbing and I, know why   Y'all know I keep it funky, motherfucker, better get it right Get it right, better get it right, get it right Ooooooooh-ooooooooh (yeah) Ooooooooh-ooooooooh And I'll be rockin' along, zoning, yeah Movin' along, zoninnnnnnnn Ooooooooh-ooooooooh (yeah) Ooooooooh-ooooooooh - hey   Doing what I want, no need to front Skinny and tatted the fuck up, hey pass me the blunt Baby get up, we in this bitch, 'laxin Dennis know the game, he in the crowd mackin All up off the dome, no need to pen it, friend Me and my niggas be gettin ends again Told my man Plain Pat, dawg, ever since day one We gon' get it poppin, that's what I'm here for If you knew me, man I don't really worry about a nigga trying to Judge Who are you, Judy?! Girl shake a feather, do your thang 'til you feel right I know you know the name, the team, we takin' flizzight   Y'all know I keep it funky, motherfucker, better get it right Get it right, better get it right, get it right Ooooooooh-ooooooooh (yeah) Ooooooooh-ooooooooh And I'll be rockin' along, zoning, yeah Movin' along, zoninnnnnnnn Ooooooooh-ooooooooh (yeah) Ooooooooh-ooooooooh - hey   Life, together, we all in together now All in together, all-all baby 'Cause we all in together now Life, together, we all in together now All in together, all-all baby 'Cause we all in together now   Doing what I need, hater I am A-Okay How many times must I tell 'em we don't care what people say Even if I do somethin' unruly I be like ""Fuck it nigga, I was probably zooted!"" Off top... Honestly The kush and Goose combination harmful G Find my own rhythm while I'm looking through my Viennas Everybody gon' talk that shit until they see him Then they all on my ball sack, word Then I bounce and they saying I'm absurd You old jive-ass nigga, look around Ay, we be around, fam, I'm in the cloud   Y'all know I keep it funky motherfucker, better get it right Get it right, better get it right, get it right Ooooooooh-ooooooooh (yeah) Ooooooooh-ooooooooh And I'll be rockin' along, zoning, yeah Movin' along, zoninnnnnnnn Ooooooooh-ooooooooh (yeah) Ooooooooh-ooooooooh (hey) Y'all know I keep it funky motherfucker, better get it right Get it right, better get it right, get it right Ooooooooh-ooooooooh (yeah) Ooooooooh-ooooooooh And I'll be rockin' along, zoning, yeah Movin' along, zoninnnnnnnn Ooooooooh-ooooooooh Ooooooooh-ooooooooh (hey)   Ooooooooh-ooooooooh And I'll be rockin' along, zonin', yeah Movin' along, zoninnnnnnnn Ay...",-0.9606,8,3,5,6,5,10,13,4,0,6
9,9,/songs/94620,Kid Cudi,Attention,https://genius.com/Kid-cudi-attention-lyrics,http://api.genius.com/songs/94620,None,2019-04-15," Uh! Attention, I’d be on my campaign Did I mention I’d be popping champagne? I’d be sipping, flying in the airplane Holla at your band name, I ’ma do it same damn    It’s been a couple days since I started drinking It’s been a couple days since I started thinking Bout You Pal How is you in her arms I want to do a Die in your arms song Armstrong I’m strong, I’m a reach the moon I tell tales of the world in my tunes I’ll show them one day that this my sacrifice I’ve got the skills to sing crackles crackling 5 I stand here still waiting for rain Damn I know this life is so painful yet Hateful but Graceful I don’t care adjectives, meanings are fateful My girl faithful before we broke up She says we were not right her eyes soaked up She left me there with my heart broken No matter if she’s taken I’ve got the tokens   Uh! Attention, I’d be on my campaign Did I mention I’d be popping champagne? I’d be sipping, flying in the airplane Holla at your band name, I ’ma do it same damn   Look Here Baby It’s me and Don coda Low on the border high on the soda Chuck! Don coda really hot! Me! I’ve got a kind of cold heart Shawty still bowling We ain't rolling Roll some Change in my cart we ain't holding We ain't folding we are sold in We are out of the house It’s too much cold inside You see that thing bright That our ring light Scary looking down because us at much height We going to fight because we are fighters May see us running but we not hiders We burn it to the ground we lighters Doubles! Sorry Missed Me because it’s My Turn They’ll maybe burn you again and again Hey I think in this lane I’ve been playing Baby   Uh! Attention, I’d be on my campaign Did I mention I’d be popping champagne? I’d be sipping, flying in the airplane Holla at your band name, I ’ma do it same damn   Hey Girl Long Time No See Everyone thought you was dead but me Trust me, you love me Everything’s going down like the fluffy music Dub-D Ah! If haters could reach us we’d be flying World crying! And Attention this is violence Hey Man Don’t you see this band is dying Sorry we couldn’t save it a tick of silence Homie Lean on me Trust is love you’ve shown me Without you I’m feeling lonely Nobody’s there you are the only I rap about the winning map Rap about the fastest lap Lapping and I’m happy And I’m happy because I’m rapping Tapping phone calls My knees have faced fall I liked baseball Now, Attention I hate halls   Uh! Attention, I’d be on my campaign Did I mention I’d be popping champagne? I’d be sipping, flying in the airplane Holla at your band name, I ’ma do it same damn",0.6509,17,8,12,17,12,22,30,15,2,16
