,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/342228,Kid Rock,3 CATT Boogie,https://genius.com/Kid-rock-3-catt-boogie-lyrics,http://api.genius.com/songs/342228,Rebel Soul ,2012-11-19," I’m hitting heavy, I’m swinging low Slow and steady, I don’t know Who can go the distance when karma comes gunning for you? You can say what you want baby, but there aren’t nothing we can do   Now the preacher man’s yelling that Book of Revelation And Uncle Sam’s selling us a one-world nation Banks hedging bets for the next generation And all while building us a big space station   I bought a Chevy in Idaho Hey where I’m headed, I don’t know But my existence is a glorified story of the truth They can talk all they want baby, but that’s all they ever do   Now the preacher man’s yelling that Book of Revelation And Uncle Sam’s selling us a one-world nation Banks hedging bets for the next generation And Wall Street’s stirring up the whole situation   So come and catch me, if you can Maybe Egypt or Iran Starting revolutions baby, hey that’s what I do You can be who you want momma, but it’s better being you   Now the preacher man’s yelling that Book of Revelation And Uncle Sam’s selling us a one-world nation Banks hedging bets for the next generation And Bobby’s upset because there aren’t nothing changing There aren’t nothing changing",0.8537,2,1,0,1,3,2,10,2,3,10
1,1,/songs/1627316,Kid Rock,3 Sheets to the Wind (What's My Name),https://genius.com/Kid-rock-3-sheets-to-the-wind-whats-my-name-lyrics,http://api.genius.com/songs/1627316,The Polyfuze Method,1993-03-16,"I'm here and it's clear I'm gonna flow, so yo, black Just get on up or yo, get the bozak 'Cause it ain't Kojack or Dr. Seuss It's the Kid motherfucker and I'm gonna get loose 'Cause I got the juice to spruce and get nice And so enticin', strong like a bison Rough like brandy and no one knows That I got more riffs than Randy Rhodes Smash, slash and when I thrash I bash I get ill, I chill but you don't know the half I trip I rip and though I think I'm slick I'm nothin but a funky country hick But I still get down with a sound that pumps And you can hear me from the trucks and the trunks that bump Never been questioned by the F.B.I Although I've tried every method just to get high L.S.D. is what I'm trippin on And O.E. bitch is what I'm sippin on A big fat booty's what I'm grippin on But for now I'm gonna rock and keep rippin on Down to the muther fuckin A.M As I co bump and jump and keep the crowd in mayhem No brain no pain...Now c'mon yall and tell me what's my name  Kid Rock Rock Kid Rock Rock Come On, Come On What's My Name Kid Rock Rock Kid Rock Rock Sing that shit Kid Rock Rock Kid Rock Rock Uhh I said what's my name? Kid Rock Rock Kid Rock Rock Now break it down like this  3 sheets 2 the wind is the state I'm in Half off the wagon with my feet draggin Taggin hoes gettin lots of trim Gettin jocks and props for all the spots I rock I'm true I'm blue like Captain Kangaroo And for the few who knew yo I'm a bang for you Because the Kid Rock ain't no bitch yo And I ain't no radio wanna get rich ho So count my props you can't get with me And fuck all u cops u ain't shit to me But hoes with guns playin hard for fun So stay off my dick because I ain't the one For anyone tryin to bust And I show no shame cuz I'm down for mine Now tell me what's my name  Kid Rock Rock Kid Rock Rock Come on bitch What's my name Kid Rock Rock Kid Rock Rock Come on, come on Kid Rock Rock Kid Rock Rock Uhh I said what's my name Kid Rock Rock Kid Rock Rock Kid Rock",-0.9881,11,2,10,11,4,15,48,12,3,7
2,2,/songs/341567,Kid Rock,Abdul Jabar Cut,https://genius.com/Kid-rock-abdul-jabar-cut-lyrics,http://api.genius.com/songs/341567,Grits Sandwiches for Breakfast,1990-12-11," Uh Kick on back to the rap I format When its through what you do is just play it back Rewind it Find it That's how I desinged it And fellas if you see a big butt get behind it And grind on it I mean push and bump Cause it's about time we made this party jump Take a drink of your forty And lets get naughty Get on the floor and just move your body to the sound I found and also developed Lets trip don't sit, come on get the hell up Look at the black man, now what'd up He's not a skin head, that's the Abdul Jabar Cut   Yeah[?]Yeah Streets of Romeo Mt. Clemens Detroit All over   Now people always me and KDC If we take this activity a seriously I reply, with a sigh rather uniquely And say does Donald Trump have a lotta money Yes a stupid question, but I won't quote ya Cause I'm the Geraldo, Philmore, Oprah I'm the K-I-D R-O-C-K Down with Jive, RCA Hey how could you judge me cause what I am Be blind to my mind And take a look and say fuck him Look at the black man, now what up He's not a skin head, that's the Abdul Jabar Cut   Okay[?]Yeah Like I said Top Dog One, two, to the three And we always come back for more   Kenny wears a low fade Danny wears no fade I wear the high fade And we all get paid Tryin to blow my rap down the sink But go ahead cause my rap's made of brick And it sticks Kicks Hits And uplifts At shows, it flows but never drifts It's too swift and moves with quickness Top Dog again and you say what is this Its the under rated MC on top The young six foot one Kid Rock Look at the black man, now what's up He's not a skin head, that's the Abdul Jabar Cut   Okay[?]Yeah Get down Come back The black man from New Jersey KDC Kid Rock It's the crew right here Bitch   Now Patty keep it going with the guitar Yeah, all you punk ass bitches Hahahaha This is Kid Mother Fucking Rock The beast crew is in the house All you suckers This is a mother fuckin party You better ask somebody So get your mother fucking hands up in the air This ain't no joke Yo this is the mother fucking east side Detroit is in this mother fucker Uh haha   Yo the black man From parts unknown Can you dig it You Bitch Yeah[?]Yeah For the nineties[?]Ho",-0.9878,10,14,4,6,10,32,23,14,6,18
3,3,/songs/26091,Kid Rock,Abortion,https://genius.com/Kid-rock-abortion-lyrics,http://api.genius.com/songs/26091,The History of Rock,2000-05-30,"My veins are poppin from this love inside I just can't let it out This pipe and these needles are my only guide They've got me on the wrong route What is my life about Living in the shadows of a man I've never seen Dreamin' like a lonely child I know your brothers and your sister and your mother too  Man I wish you could see them too Oh Lord Oh Lord Man I wish that you could see them too Man I wish that you could see them too  So can I come to see you sometime Cause I been missin you I've never heard you cry I've never seen you whine I'm feeling oh so young But still I must die to get to you And if I do I wonder how just you will see me And implicate the things I've done I'm dyin in the shadows of this man I've never seen I'll see you soon Now where's my gun  Oh Lord Oh Lord Oh Lord Wheres my gun Oh wheres my gun Oh Lord Wheres my gun Oh Lord My gun  Let me open your eyes Let me see who you are I am you, you are me We are a part of The second coming of christ It's God himself in a jar Yeah...yeah Yeah...yeah  Let me open your eyes Let me see who you are I am you, you are me We are a part of The second coming of christ Its god himself in a jar Yeahhhh Heyyyyyyy  You got me, sad and lonely When I'm me...me You know you make me so lonely I am so alone And I will pray and then I'll cry And I will pray and then I'll cry And I will pray and then I'll cry And I will pray and then I'll cry",-0.0615,10,12,12,16,11,26,21,12,6,17
4,4,/songs/342263,Kid Rock,A Country Boy Can Survive,https://genius.com/Kid-rock-a-country-boy-can-survive-lyrics,http://api.genius.com/songs/342263,Fire It Up,1993-06-01," The preacher man say's it's the end of time The Mississippi river, she's going dry The interest is up, and the stock market's down You only get mugged if you go down town I live back in the woods you see My woman, my kids, and my dogs, and me I got a shotgun, and a rifle, and a 4 wheel drive A Country boy can survive And a Country boy can survive See, I can plow a field all day long I can catch catfish, from dusk till dawn We make our own whisky, and our own smoke too Isn't too many things these ole boys can't do, no We grow good ole tomatoes, make homemade wine A Country boy can survive And a Country boy can survive Because you can't starve us out, can't make me run Hey there boy, I got a big shotgun We say grace, and we say Mam If you ain't into that, we don't give a God damn I had a good friend in N.Y. city He never called me Kid Rock, he called me hillbilly My grandpa taught me how to live off this land His taught him to be a businessman He used to send me pictures of the Broadway night I'd send him some of that homemade wine But he was killed by a man with a switchblade knife For 43 dollars, my friend lost his life I want to spit some beechnut in the dudes eyes Shoot him with my mother fuckin 45 A country boy can survive Because you can't starve us out, can't make us run Hey there boy, I got a big shotgun We say grace, and we say Mam If you aren't into that, we don't give a God damn Were from North California, and South Alabama And little towns all around this land Well I can skin a buck, and run a trout line A Country boy can survive Well a Country boy can survive Survive",0.908,4,9,13,5,9,18,26,2,5,13
5,5,/songs/713483,Kid Rock,Ain't Enough Whiskey,https://genius.com/Kid-rock-aint-enough-whiskey-lyrics,http://api.genius.com/songs/713483,First Kiss,2015-02-24," They talk about money, talk about jobs Talk about religion and playing the odds Talk about freedom, talk about faith They talking ’bout taking my guns away Monkeys in suits writing laws and rules, they just bicker and fight But I ain’t gotta listen to them goddamn fools ’cause I know what’s right   Ain’t enough whiskey, women and wine Ain’t enough money, stitches and time Moonshine honey, little white line Ain’t enough change to change my mind  (Rock on)   They talk about the greedy, talk about the poor They talking ’bout sending my daughter to war Talk about spending, talk about pay, they talk about defending the NSA Monkeys in suits writing laws and rules, there’s no end in sight But I ain’t gotta listen to them goddamn fools ’cause I know what’s right   Ain’t enough whiskey, women and wine Ain’t enough money, stitches and time Moonshine honey, little white line Ain’t enough change to change my mind   I might be crazy but I ain’t no fool I got them red-blooded white boy blues   Ain’t enough whiskey, women and wine Ain’t enough money, stitches and time Moonshine honey, little white line Ain’t enough change to change my mind   Ain’t enough whiskey, women and wine Ain’t enough money, stitches and time Moonshine honey, little white line Ain’t enough change to change my mind",-0.9914,10,16,5,14,14,11,31,2,5,18
6,6,/songs/4333,Kid Rock,All Summer Long,https://genius.com/Kid-rock-all-summer-long-lyrics,http://api.genius.com/songs/4333,Rock n Roll Jesus,2007-10-09," It was 1989, my thoughts were short my hair was long Caught somewhere between a boy and man She was seventeen and she was far from in-between It was summertime in Northern Michigan Ahh Ahh Ahh Ahh Ahh Ahh   Splashing through the sand bar Talking by the campfire It's the simple things in life, like when and where We didn't have no internet But man, I never will forget The way the moonlight shined upon her hair   And we were trying different things We were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle, not thinking 'bout tomorrow Singing Sweet home Alabama all summer long Singing Sweet home Alabama all summer long   Catching wild life from the dock Watching the waves roll off the rocks She'll forever hold a spot inside my soul We'd blister in the sun We couldn't wait for night to come To hit that sand and play some rock and roll   While we were trying different things We were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle, not thinking 'bout tomorrow Singing Sweet home Alabama all summer long Singing Sweet home Alabama all summer long   Now nothing seems as strange as when the leaves began to change Or how we thought those days would never end Sometimes I'll hear that song and I'll start to sing along And think man I'd love to see that girl again   And we were trying different things We were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle, not thinking 'bout tomorrow Singing Sweet home Alabama all summer long Singing Sweet home Alabama all summer long And we were trying different things We were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle, not thinking 'bout tomorrow Singing Sweet home Alabama all summer long Singing Sweet home Alabama all summer long   Singing Sweet Home Alabama all summer long Singing Sweet Home Alabama all summer long Singing Sweet home Alabama all summer long Singing Sweet home Alabama all summer long",0.999,5,35,2,1,23,10,25,1,14,18
7,7,/songs/342190,Kid Rock,Amen,https://genius.com/Kid-rock-amen-lyrics,http://api.genius.com/songs/342190,Rock n Roll Jesus,2007-10-09," It's another night in hell Another child won't live to tell Can you imagine what it's like to starve to death And as we sit free and well Another soldier has to yell Tell my wife and children I love them in his last breath   Come on now amen, amen, amen   Habitual offenders, scumbag lawyers with agendas I'll tell you sometimes people I don't know what's worse Natural disasters or these wolves in sheep clothes pastors Now damn it I'm scared to send my children to church And how can we seek salvation when our nations race relations Got me feeling guilty of being white But faith in human nature, our creator and our savior, I'm no saint But I believe in what is right   Come on now amen, amen I said amen, amen   Stop pointing fingers and take some blame Pull your future away from the flame Open up your mind and start to live Stop short changing your neighbors Living off hand outs and favors, and maybe Give a little bit more than you got to give Simplify, testify, identify, rectify And if I get high stop being so uptight It's only human nature and I am not a stranger So baby won't you stay with me tonight It's a matter of salvation from them patience up above So don't give up so damn easy on the one you love, one you love Somewhere you got a brother, sister, friend, grandmother, niece or nephew Just dying to be with you You know there's someone out there who unconditionally, religiously, loves you So just hold on cause you know it's true And if you can take the pain And you can withstand anything, and one day Stand hand in hand with the truth   Come on now amen, amen I said amen, amen   Amen",0.9728,13,18,10,12,31,15,42,10,6,30
8,8,/songs/26092,Kid Rock,American Bad Ass,https://genius.com/Kid-rock-american-bad-ass-lyrics,http://api.genius.com/songs/26092,The History of Rock,2000-04-18," Yeah! and I've set up and torn down this stage with my own two hands We've traveled this land packed tight in minivans And all this for the fans, girls, money, and fame I play their game, and then they scream my name I will show no shame, I live and die for this If I come off soft, then chew on this.... Are you scared?   Devil without cause, and I'm back With the beaver hats and Ben Davis slacks 30-pack of Stroh's, 30-pack of hoes No rogaine in the propane flows Chosen one, I'm the living proof With the gift of gab from the city of truth I jabbed and stabbed and knocked critics back And I did not stutter when I said that I'm goin platinum sellin' rhymes I went platinum seven times And still they ill they wanna see us fry I guess because of only God knows why Why why why why   Ohhhhh They call me cowboy, I'm the singer in black Throw a finger in the air, let me see where you're at And say ""Hey, hey"" Let me hear where you're at and say ""Hey, hey"" I'm giving it back so say ""Hey, hey"" Show me some metal and say ""Hey, hey, hey, hey"" (Fuck all y'all)   I like AC/DC and ZZ Top Bocephus, Beasties, and the Kings of Rock Skynyrd, Seger, Limp, Korn, the Stones David Allan Coe, and No Show Jones Yeah! Pass that bottle around Got the rock from Detroit and soul from Motown The underground stoned fuckin' pimp With tracks that mack and slap back the whack Never gayed away, I don't play with ass But watch me rock with Liberace flash Punk rock the Clash, boy bands are trash I like Johnny Cash and Grandmaster Flash   Ohhhhh They call me cowboy, I'm the singer in black Throw a finger in the air, let me see where you're at And say ""Hey, hey"" Let me hear where you're at and say ""Hey, hey"" I'm giving it back so say ""Hey, hey"" Show me some metal and say ""Hey, hey, hey, hey""   Yeah, I saw your band Jumping around on stage like a bunch of wounded ducks (Psh!) When you gonna learn sucker? You just can't fuck with Twisted BBBBBBrown Truckkkkkeeeeerrrr   I'm an American Bad Ass, watch me kick You can roll with Rock or you can suck my dick I'm a porno flick, I'm like Amazing Grace I'm gonna fuck some hoes after I rock this place Super fly living double wide Side car on my Glide so Joe C can ride Full sack to share, bringin flash and flair Got the long hair swinging, middle finger in the air Snake skin suit, 65 Chevelle See me ride in sin hear the rebel yell I won't live to tell, so if you do Give the next generation a big ""Fuck you!"" Who knew I'd blow up like Oklahoma Said fuck high school, pissed on my diploma Smell the aroma, check my hits I know it stinks in here, cause I'm the shit   Ohhhhh They call me cowboy, I'm the singer in black Throw a finger in the air, let me see where you're at And say ""Hey, hey"" Let me hear where you're at and say ""Hey, hey"" I'm giving it back so say ""Hey, hey"" Show me some metal and say ""Hey, hey, hey, hey""   I'm a cowboy, bad ass in black singing ""Hey, hey, hey, hey"" From side to side, from front to back Say ""Hey, hey, hey, hey"" I put Detroit City back on the map by singin' ""Hey, hey, hey, hey"" Kid Rock's in the house and that's where I'm at!",0.9892,18,13,13,15,6,35,28,12,6,14
9,9,/songs/3291087,Kid Rock,American Rock 'n Roll,https://genius.com/Kid-rock-american-rock-n-roll-lyrics,http://api.genius.com/songs/3291087,Sweet Southern Sugar,2017-11-03," Midnight riding in my old two seater rolling down the boulevard Headlights shining on rusty fences as I pass the rail yard Black leather jacket on a Friday night Fire up the lighter and a lucky strike The radio's saying ""Take a walk on the wild side"" And it's got me feeling like...   Go wide open it's a pedal down kind of a thing Little bit of Mo-Town smooth A little bit of Memphis Blues A sea of emotion raining all over me Give me that heart and that soul American rock 'n roll   I can see the banner on the courthouse flying proud red, white, and blue I can see her waiving on the corner smiling cause she feels just like I do Now she's sitting right next to me Everything's how it oughta be Being young in the land of the free And she's got me feeling like...   Go wide open it's a pedal down kind of a thing A little bit of Folsom Blues A little bit of gangster smooth A sea of emotion raining all over me Give me that heart and that soul American rock 'n roll   Midnight riding in my old two seater rolling down the boulevard Headlights shining on rusty fences as I pass the rail yard And it's got me feeling like...   Go wide open it's a pedal down kind of a thing A little bit of Delta Blues A little ""Blue Suede Shoes"" A sea of emotion raining all over me Give me that heart and that soul American rock 'n roll American rock 'n roll American rock 'n roll American rock 'n roll",0.9231,6,12,3,5,13,10,25,9,6,8
