,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2285763,Kip Moore,Backseat,https://genius.com/Kip-moore-backseat-lyrics,http://api.genius.com/songs/2285763,Wild Ones (Deluxe),2015-08-21," We was just kids, but she looked like a woman Everything she was, was everything I wanted We were both willing, but still a little guarded She smiled that smile, that's where it all started   The two of us in the backseat Lights off on a backstreet I showed her and then she showed me Right there, right there in the backseat Yeah in the backseat   Flashed the headlights, she slipped out the back door Didn't have to say nothing, we knew what we were in for With every first kiss, I could feel her heart race I'd fumble with the buttons while she was touching my face What to do next, she knew that I didn't know She'd smile and say, ""Boy, make it up as you go""   The two of us in the backseat Lights off on a backstreet I showed her and then she showed me Right there, right there in the backseat Yeah in the backseat   Sometimes I think about her, yeah sometimes I guess you never forget your first time   The two of us in the backseat Lights off on a backstreet I showed her and then she showed me Right there, right there in the backseat Yeah in the backseat",0.9834,0,3,1,0,3,3,3,0,4,3
1,/songs/2302231,Kip Moore,Beer Money,https://genius.com/Kip-moore-beer-money-lyrics,http://api.genius.com/songs/2302231,Up All Night,2012-07-09," When the lights go down And you're stuck here in this town With nowhere to go So you escape through the radio  And you worked all week To barely make ends meet Well, I gotta a little cash burning holes in my pocket Foot on the gas, taking off like a rocket   So come on, come on, baby, I'm buying I got enough to last us all night and You got the kiss that tastes like honey And I got a little beer money Tonight, tonight, baby, we're drinking Let's wake the town that never stops sleeping You got the kiss that tastes like honey And I got a little beer money   We can dance in the dark Blow the speakers out of this car Light it up, burn it down Until the morning rolls around  In a field where we can scream Get away with almost anything Yeah, every now and then you gotta raise a little hell Hope we get lucky and stay out of jail   So come on, come on, baby, I'm buying I got enough to last us all night and You got the kiss that tastes like honey And I got a little beer money Tonight, tonight, baby, we're drinking Let's wake the town that never stops sleeping You got the kiss that tastes like honey And I got a little beer money   So come on, come on, baby, I'm buying I got enough to last us all night and You got the kiss that tastes like honey And I got a little beer money Tonight, tonight, baby, we're drinking Let's wake the town that never stops sleeping You got the kiss that tastes like honey And I got a little beer money   So come on, come on Yeah, come on, come on",0.9872,10,15,2,5,28,7,36,3,15,9
2,/songs/3150057,Kip Moore,Bittersweet Company,https://genius.com/Kip-moore-bittersweet-company-lyrics,http://api.genius.com/songs/3150057,Slowheart,2017-08-25,"Yeah  Yeah, ah   We were summer, love was burning We were white magnolias in bloom By the time the leaves had fallen I had already fallen for you Then winter came, brought the rain Something in between us changed Now we can't get it back   Oh, but I remember when we Loved each other so fearlessly So tell me how the hell did we Turn into bittersweet company, yeah   Our chemistry the jealousy A symphony of things gone wrong There's something here behind the tears For all the years that we've held on It'd be easier to let you go Let this thing go up in smoke Leave and let it turn to ash   Oh, but I remember when we Loved each other so fearlessly So tell me how the hell did we Turn into bittersweet company  Aw, yeah   Oh, I remember when we Loved each other so damn fearlessly So tell me how the hell did we Turn into bittersweet company   Oh, I remember when we Yeah, loved each other so damn fearlessly So tell me how the hell did we Turn into bittersweet company",-0.0967,7,4,7,5,4,10,4,6,1,2
3,/songs/3150068,Kip Moore,Blonde,https://genius.com/Kip-moore-blonde-lyrics,http://api.genius.com/songs/3150068,Slowheart,2017-08-18," I saw you in a magazine just the other day When they asked you where you came from, funny you forgot this place I guess you caught amnesia, we've been knowing you before Pre-K Can't hide the real you behind that new fake name   You can chase the lights You can chase the fame Used to be the captain of the cheer team Now you're just a never coming homecoming queen Don't sell yourself long girl You must be confused You ain't even Blonde girl Or even true to your roots, yeah Wooooo Wooooo   I saw your Mama and your sister on Sunday Your little brother starts school on Monday Your granddaddy'd roll over in his grave If he saw the way you changed   You can chase the lights You can chase the fame Used to be the captain of the cheer team Now you're just a never coming homecoming queen Don't sell yourself long girl You must be confused You ain't even Blonde girl Or even true to your roots Yeah, ah, ah Yeah, ah, ah Yeah, ah, ah, ah Yeah, ah, ah Yeah, ah, ah Yeah, ah, ah, ah   I used to love your lips girl They had a down home taste So why'd you go and fill 'em girl Mess up the ones that God gave   You can chase the lights You can chase the fame Used to be the captain of the cheer team Now you're just a never coming homecoming queen Don't sell yourself long girl You must be confused You ain't even Blonde girl Or even true to your roots   (Yeah, ah, ah) We were right there when your Daddy wasn't (Yeah, ah, ah) We were there the first time you got drunk (Yeah, ah, ah, ah) Couldn't even hold up your head So I picked you up and put you in bed (Yeah, ah, ah) My shirt dried your tears when Brett broke your heart (Yeah, ah, ah) I took the blame in that old cop car (Yeah, ah, ah, ah) Laughed when you choked on your first smoke Watching you now is a damn joke, yeah Yeah, ah, ah Yeah, ah, ah Yeah",0.9858,2,12,3,5,8,14,20,2,4,18
4,/songs/2289692,Kip Moore,Burn the Whole World Down,https://genius.com/Kip-moore-burn-the-whole-world-down-lyrics,http://api.genius.com/songs/2289692,Wild Ones (Deluxe),2015-08-21," I'm goin' back through that open door And I won't be back no more If I'm gone, if I'm gone too long Don't write me no sad song I'll send you love through the cold black dark From the bottom of my heart   You say it's hard to say I love you But it's hard to say I don't And that ain't enough to keep me hangin' 'round If your daddy tries to stop me I'm gonna make damn sure he don't I'm gonna get out of this town And burn the whole world down Yeah, yeah ahhh Yeah, yeah ahhh   Don't shed a tear, don't shed a tear for me I'll be in good company Just my guitar and a lonesome road Where I ain't scared to go and if in the night You miss my kiss, girl Just remember this   You say it's hard to say I love you But it's hard to say I don't And that ain't enough to keep me hangin' 'round If your daddy tries to stop me I'm gonna make damn sure he don't I'm gonna get out of this town And burn the whole world down Yeah, yeah ahhh Yeah, yeah ahhh   I'm gonna find the place Where I'll make my mark It's so far to the dark   You say it's hard to say I love you But it's hard to say I don't And that ain't enough to keep me hangin' 'round If your daddy tries to stop me I'm gonna make damn sure he don't I'm gonna get out of this town You say it's hard to say I love you But it's hard to say I don't And that ain't enough to keep me hangin' 'round If your daddy tries to stop me I'm gonna make damn sure he don't I'm gonna get out of this town And burn the whole world down Yeah, yeah ahhh Yeah, yeah ahhh   Yeah, yeah ahhh Yeah, yeah ahhh Yeah, yeah ahhh Yeah, yeah ahhh Yeah, yeah ahhh",0.9967,4,3,4,0,7,10,18,5,2,12
5,/songs/2278938,Kip Moore,Come and Get It,https://genius.com/Kip-moore-come-and-get-it-lyrics,http://api.genius.com/songs/2278938,Wild Ones (Deluxe),2015-08-21," I've got a fever running high I need a lover to get me right Tonight   I've got a picture in my head Of your lipstick, cherry red Tonight, tonight   Girl, what's the matter with you Can't you see it when it's standing right in front of you Come and get it baby Girl what's the matter with you Can't you see it when it's standing right in front of you Come and get it tonight   You got my engine, revving high Girl I'm beggin' for a try Tonight, tonight   Girl, what's the matter with you Can't you see it when it's standing right in front of you Come and get it baby Girl what's the matter with you Can't you see it when it's standing right in front of you Come and get it tonight   My heart, you ain't gotta steal it It's all yours, so just come and get it My heart, you ain't gotta steal it It's all yours, so just come and get it tonight   Girl, what's the matter with you Can't you see it when it's standing right in front of you Girl, what's the matter with you Can't you see it when it's standing right in front of you Come and get it   My heart, you ain't gotta steal it It's all yours, just come and get it My heart, you ain't gotta steal it It's all yours, just come and get it tonight    Oooh oooh Tonight",0.9314,4,1,0,5,3,4,10,4,0,1
6,/songs/2284281,Kip Moore,Comeback Kid,https://genius.com/Kip-moore-comeback-kid-lyrics,http://api.genius.com/songs/2284281,Wild Ones (Deluxe),2015-08-21," I'm a new used car with a couple dents And I'll get where I'm going Cause I know where I've been When it all goes south, I'm gonna rise again Just call me the comeback kid   I'm a hail Mary pass on homecoming night Six points down with the clock ticking by Come hell or high water I still believe I can win Just call me the comeback kid   Oh, oh, oh Girl I'm glad that you never did Oh, oh, oh Lose faith in this comeback kid   Baby, all life's bullets I've took to the chest Should've buried me alive, should've left me dead But when I reach for that white flag You won't let me quit And you call me the comeback kid   Oh, oh, oh Girl I'm glad that you never did Oh, oh, oh Lose faith in this comeback kid   Someday I'm gonna get you that white picket fence And that little pink house just like Mellencamp said Cause I want to taste the good life Before the Lord puts us to bed   Girl keep holding on, keep hangin' in Oh, oh, oh Don't ever do what you never did Oh, oh, oh Don't give up on this comeback kid Oh, oh, oh Girl, I'm glad that you never did Oh, oh, oh Lose faith in this comeback kid   Just keep holding on Just keep holding on Just keep holding on",0.9513,5,12,5,6,11,9,15,5,4,11
7,/songs/4016022,Kip Moore,Come Home With You,https://genius.com/Kip-moore-come-home-with-you-lyrics,http://api.genius.com/songs/4016022,Room to Spare: The Acoustic Sessions – EP,2018-11-16," What a night There's lovers on the left and to the right Tangled up beneath the dancefloor lights Everybody's got somebody, what a shame You're all alone just sippin' on champagne Lookin' like a picture in a frame And no one here has even got your name   We all know what it feels like When a hungry heart gets cold When barely gettin' through the night gets old And you look like you need someone Well, darlin', I do too Is it alright if I come home with you?   If you don't mind Well I'll sit down here and talk with you awhile You can tell me your story, I'll tell ya mine We can drink and laugh and listen to the band And maybe once we're tipsy we can dance Everyone will think that I'm your man Let's take a chance   'Cause we all know what it feels like When a hungry heart gets cold When barely gettin' through the night gets old And you look like you need someone Well, darlin', I do too Is it alright if I come home with you? Yeah, you With you? Yeah, you   It's getting late And girl, I know that look there on your face   'Cause we all know what it feels like When a hungry heart gets cold And barely gettin' through the night gets old And you look like you need someone Well, darlin', I do too Is it alright if I come home No, I don't want to be alone Is it alright if I come home with you? With you? Yeah, you",0.9872,0,4,1,1,3,10,6,2,2,4
8,/songs/2287143,Kip Moore,Complicated,https://genius.com/Kip-moore-complicated-lyrics,http://api.genius.com/songs/2287143,Wild Ones (Deluxe),2015-08-21," Girl I know I drive you mad And I know I make you cry And I wish I knew the reason But I don't know why And you know all the things to do To get under my skin when you want to girl Here we are, yeah we made it this far With both hands on the wheel Of a getaway car   With the window down Baby wave goodbye To your mama standin' there in the drive From the day we married We were goin' too fast We were born to run We were built to last   All I know sometimes you love it Sometimes you hate it But what good's love if it ain't A little complicated No it don't always go just like you Hoped it would But sometimes complicated's pretty damn good   Girl you made your choice and you had your pick Of a little bit smoother ride than this Coulda played it safe Coulda got out clean But ya rolled the dice and you're stuck with me   With the window down Baby wave goodbye To your mama standin' there in the drie From the day we married We were goin' too fast We were born to run We were built to last   All I know sometimes you love it Sometimes you hate it But what good's love if it ain't A little complicated No it don't always go just like you Hoped it would But sometimes complicated's pretty damn good   Not much in the bank account Just enough to get us by So I'm scared as hell The way you're smilin' at me With those two pink lines   And oh I know sometimes you love it and you hate it But what good's love if it ain't a little complicated Now all I know sometimes you love it Sometimes you hate it But what good's love if it ain't a little complicated No it don't always go just like you hoped it would But sometimes complicated's pretty damn good   Pretty damn good Damn Sometimes complicated's pretty damn good",0.9973,12,14,12,6,26,21,33,7,9,22
9,/songs/1784408,Kip Moore,Crazy One More Time,https://genius.com/Kip-moore-crazy-one-more-time-lyrics,http://api.genius.com/songs/1784408,Up All Night,2012-04-24,"Come on out Mary-jane I'm looking through your window pane I heard the word, you're back in town I got some cheap cigarettes, your favorite beer Girl wear the dress I always dream about Aah  We'll chase the moon, ride the stars Find the muscle in this car, I know we've still got something left Yeah come on out take my hand feel my heart Girl understand I've got a thunder pounding in my chesthey yeah  Hey I, can't see you as nothing but mine And girl tonight let's go crazy one more time  We'll park the car, climb the hood turn it up when something good Starts playing through these rusty doors In the sticky sweet air tonight, I'll kiss you girl till I get it right Cause I know, that'll lead to more The weeds have all grown around where I gently lay you down And I try to tell you how I feel But you'll place your finger on my mouth, whisper ""baby, no not now"" The night is young and we still got time to steal  Hey I, can't see you as nothing but mine Girl tonight, let's go crazy one more timehey  (hey hey)  With the engine burning through my jeans, I watch you fall Fast asleep and this small town sky, fade from black to blue And I wipe a tear from my eye but you'll never know Cause baby I'll smile, as I wave goodbye to you  Hey he yeah, can't see you as nothing but mine And girl tonight let's go crazy one more time (aaaaah aaaah aaah)  I guess I'll always have this longing in my heart And you'll have a piece of me But tonight there's a fire to start in our red, burning hearts And you're all that I'll ever need",0.8724,5,12,2,7,10,14,13,8,7,7
