,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/2247379,KT Tunstall,1000 Years,https://genius.com/Kt-tunstall-1000-years-lyrics,http://api.genius.com/songs/2247379,None,2013-01-01,"A thousand years Is a long long time Even for a star up in the sky I could count the tears And the long long nights But I'd rather just remember how you smile  In a thousand years I know that our love will still be here So close your eyes, my dear Knowing that our love is going to last one thousand years  The time flies by In a blinking eye No matter how we try to make it last But if souls are strong They'll go on and on And we will hardly know the time has passed  In a thousand years I know that our love will still be here So close your eyes, my dear Knowing that our love is going to last one thousand years  We'll disappear If we can keep each other here Inside our hearts We will never be apart so don't you fear Dry your tears  In a thousand years I know that our love will still be here In a thousand years Ohh So close your eyes, my dear Knowing that our love is going to last one thousand years",1,8,0,2,8,1,17,0,1,4,0.9953
1,1,/songs/3061970,KT Tunstall,All Or Nothing,https://genius.com/Kt-tunstall-all-or-nothing-lyrics,http://api.genius.com/songs/3061970,Golden State EP ,2016-06-16," How come I'm always wanting more? I really got myself a knack I walk through every open door Feel it slam into my back  I have all my love to give The world is emptiness to fill This is how I'm gonna live And I'm gonna live until I'm only  High hopes that you'll understand My need for freedom to survive I don't need no confirmation That my spirit is alive  I won't ever give it up Regardless of the mess I'm in Won't be leaving it to luck If I'm living in sin It can get lonely   Giving it all or nothing I never take the time to look behind What's the point in that When this could be something To lead me to a life that's new and I can do it my way   So don't give me any low excuse To lift my foot up off the pedal [??? at 1:41. Sounds kind of like 'fireman'] won't be coming at ya Full of passion, love, and metal  You and I we have much to do I have no time for dirt and dish Gonna take it all away Come along should you wish Don't wanna show me   Giving it all or nothing I never take the time to look behind What's the point in that When this could be something To lead me to a life that's new and I can do it my way   Ahh, yeah Do it my way baby Ahh, yeah Do it my way baby Ahh, oh   Giving it all or nothing I never take the time to look behind What's the point in that When this could be something To lead me to a life that's new and I can do it  Giving it all or nothing I never take the time to look behind me What's the point in that When this could be something To lead me to a life that's new and I can do it my way",3,10,4,3,10,7,25,4,3,12,0.9818
2,2,/songs/1471029,KT Tunstall,Another Place To Fall,https://genius.com/Kt-tunstall-another-place-to-fall-lyrics,http://api.genius.com/songs/1471029,Eye to the Telescope,2006-03-13,"Are you blind? Blind to me trying to be kind? Volunteering for your firing line Waiting for one precious sign  The flicker of a smile You should try it just once in a while Baby, it's not quite your style It's simply too easy to do And you might not see it through See it through  So find yourself another place to fall Find yourself up against another brick wall See yourself as a fallen angel Well I don't see no holes in the road but you Find another place to fall  Are you proud To have founded a brand new behaviour With hatred and hurt as your saviour But nobody's choosing to follow So you choke back the tears and you swallow Men who have ruined your life You consume them with minimum strife But now you have got indigestion The antacid comes as a question  So find yourself another place to fall Find yourself up against another brick wall See yourself as a fallen angel Well I don't see no holes in the road but you Find another place to fall  There isn't much more I can say I don't understand the delay You're asking for friendly advice But remaining in permanent crisis Affection is yours if you ask First you must take off your mask When your back's turned I've decided You'll throw it away just like I did  So find yourself another place to fall Find yourself up against another brick wall See yourself as a fallen angel Well I don't see no holes in the road but you Find another place to fall Well I don't see no holes in the road but you Find another place to fall Well I don't see no holes in the road but you Find another place to fall",6,6,3,4,10,18,17,13,5,15,0.4418
3,3,/songs/3917594,KT Tunstall,Backlash & Vinegar,https://genius.com/Kt-tunstall-backlash-and-vinegar-lyrics,http://api.genius.com/songs/3917594,WAX,2018-08-24," I carved a hole in the sun Black edges Easy to get lost in there Easy to get lost out there I found myself underweight Trying to fill the gaps To stop the draft Where the hope escapes   I gotta hold myself better Fold out just like a map of a mountain Be the upsetter And let these bridges burn   So take it back That I'm lacking anything Saying it might make it easier But it's backlash and vinegar I'm just a being, being Wondering if that's even feasible And if it's unreasonable To feel   I starved my soul of the one Thing that now I see I should've had I just repeated 'Til I went mad And this body knows What this body never shows Just leave it to guessing   I should write you a letter Hold out up until the final chapter Be the successor And watch this spectre burn   So take it back That I'm lacking anything Saying it might make it easier But it's backlash and vinegar I'm just a being, being Wondering if that's even feasible And if it's unreasonable To feel",1,7,1,3,3,10,4,5,3,5,-0.2448
4,4,/songs/458477,KT Tunstall,Black Horse & The Cherry Tree,https://genius.com/Kt-tunstall-black-horse-and-the-cherry-tree-lyrics,http://api.genius.com/songs/458477,Eye to the Telescope,2005-02-21," Two Three Go (Woo Hoo, Woo Hoo) (Woo Hoo, Woo Hoo)   Well my heart knows me better Then I know myself so I'm going to let it do all the talking (Woo Hoo, Woo Hoo) I came across a place In the middle of nowhere With a big black horse And a cherry tree (Woo Hoo, Woo Hoo) I felt a little fear upon my back I said don't look back, just keep on walking (Woo Hoo, Woo Hoo) Well the big black horse said, ""Look this way."" He said, ""Hey lil' lady Will you marry me?""   But I said, No no, no no no no I said, No no You're not the one for me No no, no no no no I said, No no, you're not the one for me (Ohhh Woo Hoo)   And my heart had a problem in the early hours So I stopped it dead for a beat or two (Woo Hoo, Woo Hoo) But I cut some cord and I shouldn't have done it And it won't forgive me after all these years (Woo Hoo, Woo Hoo) So I sent her to a place in the middle of nowhere With a big black horse and a cherry tree (Woo Hoo, Woo Hoo) Now it won't come back cause its oh so happy And now I've got a hole for the world to see, yeah (Woo Hoo, Woo Hoo)   And it said, No no, no no no no I said, No no You're not the one for me No no, no no no no I said, No no, you're not the one for me (Ohhh Woo Hoo)   But I said, No no, no no no no I said, No no You're not the one for me No no, no no no no I said, No no, you're not the one for me (Ohhh Woo Hoo)   Big black horse and a cherry tree (No no, no no no no) I can't quite get there Cause my heart's forsaken me, yeah, yeah, yeah (No no) Big black horse and a cherry tree (No no, no no no no) I can't quite get there cause my heart's Forsaken me",7,6,4,3,6,9,12,8,5,12,-0.9986
5,5,/songs/1341219,KT Tunstall,Black & White,https://genius.com/Kt-tunstall-black-and-white-lyrics,http://api.genius.com/songs/1341219,None,2013-01-01,Under my feet Miles of nothingness Testing my senses Strange as it seems Feels as if I've been Here before It's beautiful So simple Like black and white I said goodbye Waving with a smile As I left the planet The message was short My radio was old As the universe It's in the paper The picture In black and white And when I look through The window It's black and white,0,3,0,0,5,4,6,4,1,4,0.8115
6,6,/songs/1444272,KT Tunstall,Carried,https://genius.com/Kt-tunstall-carried-lyrics,http://api.genius.com/songs/1444272,Invisible Empire // Crescent Moon,2013-06-10,"Oh, tell me how to let it go Just like this In the medicated bliss Is it still a terrifying overload A stultifying open road? If I pay your ferry boat Will you carry my load?  And I'll paint all the ways in which I've failed Set my glories alight And my still fight you tooth and nail But my youth is screaming The door never really shuts Despite agoraphobic ifs and buts You're close to going through Will you carry me too?  And I know that I have it all in the same way as you do But we all take a unique fall in the final scene To a violin string Or a crashing train We all need somebody to teach us How to be carried  Oh, do you see Eden through the gates? Who has the list? Has this all been uber fate? Is every move a known footprint fossilized A rare remake realized? And if you fall too soon I'll carry you  And I know that I have it all in the same way as you do But we all take a unique fall in the final scene To a violin string Or a crashing train In the pounding rain And the thunder rolls in And the vertigo comes and goes And comes and goes and comes We each need somebody to teach us How to be carried",3,4,1,4,6,8,9,4,5,5,-0.755
7,7,/songs/1255327,KT Tunstall,Chimes,https://genius.com/Kt-tunstall-chimes-lyrics,http://api.genius.com/songs/1255327,Invisible Empire // Crescent Moon,2013-06-10,Somewhere behind us We went the way of the White willow whale Barely holding it All together With a hollowed out nail  Lifting off the lid of all I know Lifting off the lid Finding out about a love I'll grow Into something big  Stepping in beat As if on repeat Reciting made up rhymes Slipstream flows The west wind knows Inciting broken chimes  Lifting off the lid of all I know Lifting off the lid Finding out about a love I'll grow Into something big,1,3,0,1,5,1,6,1,0,3,0.743
8,8,/songs/1081362,KT Tunstall,"Come On, Get In",https://genius.com/Kt-tunstall-come-on-get-in-lyrics,http://api.genius.com/songs/1081362,Tiger Suit,2010-09-22,"Well I worked it out I gotta say goodbye I can see it clear as day With a naked eye Smells like thunder You look like rain And it's spelling out Disaster is my name  Oh, we could make it easy We could do it right 'Cos you know the time has come It must be done We are going downhill   Come on, can you see the light Come on, you know it feels right The door is open Are you gonna take the ride We're playing it all wrong That's why I'm saying it Come on, get it  Gotta do it friendly Gotta do it soon Got to get this mean old beast Out of the room 'Cos he's been greedy And we've been blind While we let him creep up on us From behind  Oh but he's not gonna get me He's not getting you 'Cos you know the time has come It must be done  We are going downhill   Come on, can you see the light Come on, you know it feels right The door is open Are you gonna take the ride We're playing it all wrong That's why I'm saying it Come on, get in  I'll take the anger You take the pain And we'll promise that we Won't go back again Oh 'cos the time The time has come We could break these chains And baby we could run So keep your eyes on the road and Keep your hands on the wheel Cos we know the time is right We just might Make it going downhill   Come on, can you see the light Come on, you know it feels right The door is open Are you gonna take the ride We're playing it all wrong That's why I'm saying it Come on, get it",4,6,3,3,3,11,4,2,2,2,-0.9194
9,9,/songs/1619410,KT Tunstall,Crescent Moon,https://genius.com/Kt-tunstall-crescent-moon-lyrics,http://api.genius.com/songs/1619410,Invisible Empire // Crescent Moon,2013-06-10,I'm a crescent moon Looking for a place to lay my head and settle in Never found a refuge up there in the sky But never thought it would be you and I  Was there anyone Able to remain alive upon this place? Space is only precious when I'm filling in All the spaces waiting to be filled  Waxing and waning  So feel me Pulling all your oceans up around my body And if it should ever let me leave this place too soon You'll always know that I'm the crescent moon,0,3,0,0,3,1,4,1,2,2,0.8462
