,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/4357563,Lady Gaga,99 (Believe in You),https://genius.com/Lady-gaga-99-believe-in-you-lyrics,http://api.genius.com/songs/4357563,None,2019-07-01," There can be a hundred people in a room There can be a thousand people in a room There can, there can be a million people in a room But ninety-nine don't believe in you (you)",0,0,0,0,0,0,1,0,0,1,0.0
1,1,/songs/4512189,Lady Gaga,ACT 2,https://genius.com/Lady-gaga-act-2-lyrics,http://api.genius.com/songs/4512189,None,2019-07-01," I never was the kind of girl that's Naturally sure when it comes to love, oh no Hello, i was insecure. *fix hair* Bonjour ! But when it comes to you and me I can't deny this feeling inside, oh no -- Oh !   I'm seeing all the signs from above I'm gonna be the one that he loves I was made for loving him The Fashion of His Love ! *spin* Oh, yeah ! I'm gonna be his first and last kc! *grab pic* 'Cause bcby, I was born to be his! I was made for lcving him! The Fashion of His Love   I hope you don't mind cause I gonna say in French tonight, just to remember few things. that's okay ? *shows*  I was made for loving him, ooh yeah !  -just dance-  Je me souviens le premiere fois, that I heard just dance on the radio. *grab coat* The first time when I wrote it change my life, lets go !   Gaga  [Verse 1: Lady Gaga & Akon] I've had a little bit too much, much All of the people start to rush A dizzy twister dance, can't find my drink or man Where are my keys, i lost my phone, phone   What's going on on the floor? I love this record, baby, but I can't see straight anymore Keep it cool, what's the name of this club? I can't remember, but it's alright, alright!   Just dance Gonna be okay Da-da-doo-doot-n, just dance ! Spin that record, bcbe! Da-da-doo-doot-n, just dance Gonna be okay Da-da-da-dance, dance, dance! Just j-j-just dance Oh I'm upstairs ! *smiles*  [Verse 2: Lady Gaga & Akon] Wish I could shut my plcybcy mouth, bye boys How'd I turn my shirt inside out? *spin* Control your poison, bcbe Roses have thorns, they say! And we're all gettin' hosed tonight *spear coat*   What's going on on the floor? I love this record, baby, but I can't see straight anymore Keep it cool, hey thanks *grab keytar* LETS GO !   Just dance Gonna be okay! Da-da-doo-doot-n, just dance Spin that record, babe Da-da-doo-doot-n, just dance Gonna be okay Da-da-da-dance, dance, dance Just j-j-just dance  *spear skirt, hat*  -Love Game-  *sit, poses*   I wanna you But if I do, then I might miss you, bcbe It's complicated and stupid Got my squeezed by scxy Cupid Guess he wants to play, wants to play a lovegame, a lovegame   Hold me and lcve me Just wanna you for a minute Maybe three seconds is enough for my heart to quit it Let's have some fun, this beat is sick *smokes*   Let's play a lovegame, play a lovegame Do you want love, or you want fame? Are you in the game? Dans, the lovegame Let's play a lovegame, play a lovegame Do you want love, or you want fame? Are you in the game? Dans, the lovegame   I can see you staring there from across the block With a smile on your mouth and your hand on your The story of us, it always starts the same With a boy and a girl and a, and a game  Bonjour mes petits, i know its hot, tres chaud, very uh, crowded, so get your p* up and JUMP! *jumps* EVERYBODY !  -Telephone-  Merci !  Bonjour mes amis ! And bienvenue, welcome to the Born This Way Ball ! Is this your underwear ? *smell* Before, before we continue tonight, I just want to say. Merci *grab* I want to thank you France, I know, I know that you want part for your money, I know you bless everyday and, I want you to thank you for myself, my dancers, musiciens, productions, audio, video I want to say thank you, merci buying a ticket for to see the show I am so sorry, my French really sucks, but its not bad right ? parler assez bien I just want to take this moment to communicate with you as I can, I have 2 hours, there is 13,169 peoples im a lucky b. tonight So, thank you, this is a party. I don't, Yes, so beautiful, this is not a funeral if it was, it would be my funeral wich mean dancing, drinking, I don't give a s. it you have work tomorrow Remember, you can always call me, im the just the telephone call away   Hello, hello? Baby, you called, I can't hear a thing I have got no service in the club, you say, say? Wha-wha-what did you say, huh? You're breaking up on me *point* Sorry, I cannot hear you, La France est busy K-kind of busy, k-kind of busy Sorry, I cannot hear you, I'm kind of busy   Just a second, it's my favorite song they're gonna play And I cannot text you with a drink in my hand, eh You should've made some plans with me You knew that I was free And now you won't stop calling me, Cmon hands up !   Stop calling, stop calling, I don't wanna think anymore I left my head and my heart on the dance floor Stop calling, stop calling, I don't wanna talk anymore I left my head and my heart on the dance floor   Stop telephoning me! I'm busy! Stop telephoning me!   Can call all you want but there's no one home And you're not gonna reach my telephone 'Cause I'm out in the club and I'm sipping that bubb And you're not gonna reach my telephone Can call all you want but there's no one home And you're not gonna reach my telephone C'mon for Beyonce !   It's not that I don't like you, I'm just at a party And I am sick and tired of my phone r-ringing   Stop calling, stop calling, I don't wanna think anymore I left my head and my heart on the dance floor Stop calling, stop calling, I don't wanna talk anymore I left my head and my heart on the dance floor - Stop calling, stop calling, I don't wanna think anymore I left my head and my heart on the dance floor Stop calling, stop calling, I don't wanna talk anymore I left my head and my heart on the dance floor  *does chorexo*",14,15,8,7,53,27,74,9,9,50,0.9994
2,2,/songs/4510750,Lady Gaga,ACT I BTWB,https://genius.com/Lady-gaga-act-i-btwb-lyrics,http://api.genius.com/songs/4510750,None,2019-07-01," Run run, with her Run run, with her Run run, with her Run run, with her Run run, with her Run run, with her Run run, with her Run run   Run run, with her top down, baby, she flies Run run, with the fury of a saint in her eyes Run run, ha-cha cha cha, bcby, she goes With blonde hair and a gun smcking under her toes   Hoah-oo-woah-oo-woah, hoah-oo-woah-oo-woah oh-oh-oo-oh! Ride ride, pony, ride ride Hoah-oo-woah-oo-woah, hoah-oo-woah-oo-woah oh-oh-oo-oh! Ride ride, pony, tonight   We can be strong, we can be strong! Out on this lonely run, on the road to love! We can be strong, we can be strong! Follow that unicorn on the road to love! I'm on the road, I'm on the road to love I'm on the road, I'm on the road to love  Get your hot rods ready to rumble 'Cause' we're gonna fall in love tonight ! Get your hot rods ready to rumble 'Cause' we're gonna drink until we die !  -GOVERMENT HOOKER-   Gaga, ga-oh-ah Gaga, ga-oh-oh-oh.. Goverment Hccker, eh *poses*   I can be good. *walk* I can be cool. *point* I can be anything, I'll be your everything. *grab barriers* Just me, baby, I don't wanna be sad   As long as I'm your hccker As long as I'm your hccker As long as I'm your hccker *shows back* As long as I'm your hccker   HCCKER ! HCCKER ! HCCKER ! HCCKER !   I'm gonna drink my tears tonight. *point* I'm gonna drink my tears and cry 'Cause I know you lcve me, bcby! I know you lcve me, bcby   I could be girl I could be hct I could be anything, I could be everything I could be mom   As long as I'm your hccker As long as I'm your hccker As long as I'm your hccker As long as I'm your hccker    HCCKER ! HCCKER ! HCCKER ! HCCKER !   Put your .ds on me John F. Kennedy I'll make you squeal, baby *takes gun* As long as you pay me. *shoots* HA !   II'm gonna drink my tears tonight. *point* I'm gonna drink my tears and cry 'Cause I know you lcve me, bcby! I know you lcve me, bcby   Welcome to the Born This Way Ball. *shoots*  -BTW-  *breathes hard* Ah, ah.. ooh. ah. Ah. Ah. AH. AAAAHH PARIIIS-AH ! I am not a prisoner They would not define me You are the future.. And then, will.. most.. loving US-AH! *poses*   It doesn't matter if you lcve him, or capital ""H-I-M"" Just put your paws up 'Cause you were born this way, LA FRANCE, Hands up, Paris lets go ! *pont* Everybody on their feet, let's celebrate   My mama told me when I was young. *point* We are all born superstars She rolled my hair and put my lipstick on, in the glass of her boudoir. Bonsoir ! ""There's nothing wrong with lcving who you are"" She said, ""'Cause he made you perfect, bcbe"" ""So hold your head up, girl, and you'll go far ! Listen to me when I say""!   Hands up, lets go ! I'm beautiful in my way *dances* 'Cause God makes no mistakes I'm on the right track, baby I was born this way *spin* Don't hide yourself in regret Just love yourself, and you're set I'm on the right track, baby I was born this way *flip hair*   Ooh, there ain't no other way Baby, I was born this way! Baby, I was born this way *flip hair* Ooh, there ain't no other way  Don't be a drag, just be a queen Don't be a drag, just be a queen Don't be a drag, just be a queen Don't be   Give yourself prudence and love your friends La France, rejoice your truth ! IIn the religion of the insecure I must be myself, respect my youth. *does arms movements* A different lover is not a sin Believe capital H-I-M! Hey, hey, hey I love my life, I love this record and Mes petits monstres, levez les mains. *poses*   I'm beautiful in my way 'Cause God makes no mistakes I'm on the right track, baby I was born this way *spin* Don't hide yourself in regret Just love yourself, and you're set I'm on the right track, baby I was born this way *flip hair*   Don't be a drag, just be a queen, whether you're broke or evergreen. *touch hair* You're black, white, beige, cholo descent, you're Lebanese, you're orient Whether life's disabilities, left you outcast, bullied, or teased Rejoice and love yourself today, La France, hands up !   No matter gay, straight or bi, lesbian, transgendered life, I’m on the right track baby I was born to survive Tonight it doesn't matter where you are, from different contries, everybody tonight are F. FREEDOM ! *point*   I'm beautiful in my way 'Cause God makes no mistakes *waves* Born this way ! Don't hide yourself in regret Just love yourself, and you're set I'm on the right track, baby ! I was born this way, yeah Ooh, there ain't no other way! Ooh, there ain't no other way-yeah! CMON ! IM ON THE RIGHT TRACK !  -Black Jesus + Amen Fashion-  Tonight we gonna celebrate a new compassion :sm AMEN FASHION ! Tonight is a place of : Lcve, Acceptance, Tolerence, Equality And when they ask you, about my life-story, you remember to tell them :   I grew up in New York City Since I was born on Broadway, bcby! Moved downtown when I was just nineteen *point* To start a new life on the New York scene! *points*   There's no way I could be stopped *spin* Was taking my best shot I had a better plan There's no way I could be stopped Was coming for your spot. Put your hands up, celebrate your fashion !   Amen, on the runway, dressed in his best *point* Amen, fashion, on the runway, work it, Black Jesus Amen, on the runway, dressed in his best. *gives hat* Amen, fashion, on the runway, work it, Black Jesus On the runway, work it, Black Jesus!    Are you having a good time ? dancing in my revelation Underground pop civilization *walk to the left at right* Concrete poetry to feed my mind. *nods* Old symbolism was left behind   There's no way I could be stopped Was taking my best shot I had a better plan ! There's no way I could be stopped Was coming for your spot! EVERYBODY HANDS UP ! LETS GO !   Amen, on the runway, dressed in his best *point skies* Amen, fashion, on the runway, work it, Black Jesus. *dances* Amen, on the runway, dressed in his best Amen, fashion, on the runway, work it, Black Jesus. *point skies* On the runway, work it, Black Jesus!   Put it on, amen, fashion Celebrate, ooh-ooh, a new compassion ! Put it on, amen, fashion Celebrate, ooh-ooh, style your passion! I want you to imagine, the most gloriest freedom, one you never touch or tasted A freedom that is so beautiful that could make this whole world EXPLODE ! Black Jesus, black Jesus, black Jesus Jesus is the new black, OW ! *run*  MAKE A PROMISE TO YOURSELF TONIGHT ! Would you be you, LA FRANCE ! SUS ! *poses, blow kxxs*  *spin*  -Bloody Mary-   Money Ooooh ! oOoh.. Put your hands in the air. Now bounce   Love is just a history that they may prove And when you're gone I'll tell them my religion's you When Pontius comes to kill the king upon his throne I'm ready for their stones   I'll dance, dance, dance, with my hands, hands, hands Above my head, head, head, like Jesus said I'm gonna dance, dance, dance With my hands, hands, hands above my head Hands together- Put your hands together, now sing it   I won't cry for you I won't crucify the things you do I won't cry for you See, when you're gone, I'll still be Bloody Mary   Love.. Now scream. *poses* :m YEEEEEEAH !   We are not just art for Michelangelo to carve He can't rewrite the agrc of my furied heart I'll wait on mountain tops in Paris, cold J'veux pas mourir tout seule   I'll dance, dance, dance, with my hands, hands, hands Above my head, head, head, like Jesus said. *hands in front* I'm gonna dance, dance, dance With my hands, hands, hands above my head Mes petits monsters, hands in the air, SING IT !   I won't cry for you I won't crucify the things you do I won't cry for you See, when you're gone, I'll still be Bloody Mary   Ooooh. chantez avec moi. maintenant :m YEEEEEEAH !   SAY MY NAME ! *paws*   Dum dum, da-di-da Dum dum, da-di-da-dadda-da-di-da Dum dum, da-di-da Dum dum, da-di-da Dum dum, da-di-da-dadda-da-di-da Dum dum, da-di-da   I won't cry for you I won't crucify the things you do, do, do I won't cry for you See, when you're gone, I'll still be Bloody Mary! Ooooh ! OooOh ! OOOoh ! OOooh ! Oooooh ! Ooooh ! Ah, Liberaté mi amor  -bad romance-   Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh *triangle sign* Caught in a bad rcmance Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Caught in a bad rcmance *look around* Ah-ah-ah, Roma Roma-ma, Gaga, ""Oh la-la"", want your bad rcmance Ra-ra-ah-ah-ah, Roma Roma-ma, Gaga, ""Oh la-la"", want your bad rcmance   I want your ugly, I want your disease. *paws* I want your everything as long as it’s free I want your lcve, lcve, lcve, lcve, I want your lcve I want your drama, the touch of your hand I want your leather-studded kc in the sand I want your lcve *dances* Lcve, lcve, lcve, I want your lcve   Paws up, You know that I want you And you know that I need you I want it bad Everybody, JUMP !   I want your lcve, and I want your revenge You and me could write a bad rcmance I want your love, and all your lcver's revenge *dances* You and me could write a bad rcmance *spin* Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Caught in a bad rcmance Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Caught in a bad rcmance   Ra-ra-ah-ah-ah, Roma Roma-ma, Gaga, ""Oh la-la"", want your bad rcmance   I want your horror, I want your design. *point* 'Cause you’re a criminal as long as you’re mine I want your lcve, lcve, lcve, lcve, I want your lcve I want your psycho, your vertigo shtick! Want you in my rear window, bcby, it's sick I want your lcve, lcve, lcve, lcve, I want your lcve. *kneels*   You know that I want you Cause I'm a free chick, bcby, hands up everybody ! JUMP ! I want it bad EVERYBODY LETS GO !   I want your lcve, and I want your revenge You and me could write a bad rcmance I want your love, and all your lcver's revenge *unhook mask* You and me could write a bad rcmance Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Caught in a bad rcmance. *fix hair, gives* Caught in a bad rcmance   Boujour mes amis ! okay lets be Fashion !   Walk, walk, fashion, baby, Work it, move that chicks crazy Walk, walk, fashion, baby, Work it, move that chick crazy Walk, walk, fashion, baby, Work it, move that chick crazy Walk, walk, fashion, baby, Work it, i'm a free chick, bcby   I want your lcve, and I want your revenge I want your lcve, I don't wanna be friends Je veux ton amcur et je veux ta revanche Je veux ton amcur. *sit* I don't wanna be friends Want your bad rcmance ! Want your bad rcmance !    I want your lcve, and I want your revenge You and me could write a bad rcmance ! I want your love, and all your lcver's revenge You and me could write a bad rcmance ! Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Caught in a bad rcmance *dances* Caught in a bad rcmance   Want your bad rcmance ! Want your bad rcmance ! *jump* Want your bad rcmance.. Yeh !  Ra-ra-ah-ah-ah, Roma Roma-ma, Gaga, ""Oh la-la"", want your bad rcmance. *poses*  -judas-  Rah, rah la Franca Rah, rah la Franca Rah, rah la Franca La,la la Franca La, la la Franca Rah, rah la Franca Rah, rah la Franca Rah, rah la Franca Rah, rah la Francaaaa..  BONSOIR PARIS ! JE VOUS ADORES ! Je.. Ne.. Suis.. Pas.. Une.. Femme.. Je ne suis pas un ALIEN ! Je ne suis pas un homme I am not. Human And I’m not a creature of your government, LA FRANCE! But I am. You We share the same hopes We share la meme dreams Potential We share this universe Im everything you love about this world And, la France i have everything. Vous detestez That it because you created me I was Born this way I have landed here tonight, on G.O.A.T., Your French Government Owned Alien Territory in space I am here for one purpose, to extract as much information. inspiration. Courage. Bravery. Fashion. Art. And musique for all of the French people Mon français est mexrdique. But i love french, so i will try all night And I come here to training. And when I leave tonight Ecoute, mon spectacle est fini. some of you will stand by me for ever But some of you.. May-be.. betray me  NO! NAH ! STOP! WHO ARE YOU ! STOP ! JUDAAS !   *breathes, act dead* Who will betray me ? WHO ?   Juda-ah-s Juda-ah-s Put your hands in the air, la France ! Cmon ! *jumps* Mes petits, je vous adores, jump !   When he calls to me, I am ready I'll wash his feet with my hair if he needs Forgive him when his tongue lies through his brain Even after three times he betrays me   Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah *spin* I'll bring him down, bring him down, down *waves* A king with no crown, king with no crown   I'm just a Holy Fool, oh bcby It's so cruel, but I'm still in love with Judas, bcby I'm just a Holy Fool, oh bcby It's so cruel, but I'm still in love with Judas, bcby Whoa-whoa-whoa-whoa-whoa I’m in love with Juda-as, Juda-as Whoa-whoa-whoa-whoa-whoa I’m in love with Juda-as, Juda-as   Judas, Juda-ah-s Judas, Juda-ah-s JUUDDAAS ! PARIIS ! HOPEFULLY AH ! ah. Not anymore   In the most Biblical sense, I am beyond repentance Fame hccker, prcstitcte, wench vomits her mind But in the cultural sense, I just speak in future tense Judas, kc me, if offensed, or wear ear condom next time   I wanna love you But something’s pulling me away from you Jesus is my virtue and Judas is the demon I cling to. *takes gun* I CLING TO !   I'm just a Holy Fool, oh bcby. *jumps* It's so cruel, but I'm still in love with Judas, bcby JUST A HOLY FOOL Oh, Oh !",72,68,58,85,117,129,163,91,28,85,0.9939
3,3,/songs/80379,Lady Gaga,Again Again,https://genius.com/Lady-gaga-again-again-lyrics,http://api.genius.com/songs/80379,The Fame,2008-08-19," You gotta a lot, a lot of nerve Comin' here when I'm still with him And I can't have you It isn't fair Born March of '86 My birthday's comin', and if I had one wish Yeah, you'd be it   When you're 'round, I lose myself inside your mouth You've got brown eyes like no one else Baby, make it to me...   Again and again Again, again, again, again Never stop Again and again Again, again, a-a-again, again Never stop, oh   He never really saw me or waited When we were hookin' up, yeah, he'd a never... last Last week when I was sad You said that you knew my eyes changed from kinda green to kinda blue, hey!   When you're 'round, I lose myself inside your mouth You've got brown eyes like no one else Baby, make it to me...   Again and again Again, again, again, again Never stop Again and again Again, again, a-a-again, again Never stop, oh   They tell me If I leave him, baby, would you be there? 'Cause maybe, you could be m-m-mine all the t-t-time",2,2,2,2,5,3,8,4,6,1,-0.0777
4,4,/songs/1189,Lady Gaga,Alejandro,https://genius.com/Lady-gaga-alejandro-lyrics,http://api.genius.com/songs/1189,The Fame Monster,2010-04-20," I know that we are young, and I know that you may love me But I just can't be with you like this anymore Alejandro...   She's got both hands in her pocket And she won't look at you, won't look at you She hides true love, en su bolsillo She's got a halo around her finger, around you   You know that I love you, boy Hot, like Mexico, rejoice At this point, I've gotta choose Nothing to lose   Don't call my name, don't call my name, Alejandro I'm not your babe, I'm not your babe, Fernando Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name, don't call my name, Roberto Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro   Stop, please, just let me go Alejandro, just let me go   She's not broken She's just a baby But her boyfriend's like her dad, just like her dad And all those flames that burned before him Now he's gotta firefight, gotta cool the bad   You know that I love you, boy Hot, like Mexico, rejoice At this point, I've gotta choose Nothing to lose   Don't call my name, don't call my name, Alejandro I'm not your babe, I'm not your babe, Fernando Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name, don't call my name, Roberto Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro   Don't bother me, don't bother me Alejandro Don't call my name, don't call my name Bye, Fernando I'm not your babe, I'm not your babe Alejandro Don't wanna kiss Don't wanna touch Fernando Don't call my name, don't call my name Alejandro I'm not your babe, I'm not your babe Fernando Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name, don't call my name Roberto   Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro (Don't call my name, don't call my name) Alejandro, Alejandro (I'm not your babe, I'm not your babe) Ale-Alejandro, Ale-Alejandro (Fernando) (Don't wanna kiss, don't wanna touch) Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro (Just smoke my cigarette and hush) (Don't call my name, don't call my name) Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro (Roberto) Alejandro",6,9,5,5,14,12,49,4,10,33,0.9928
5,5,/songs/3646077,Lady Gaga,Always Remember Us This Way,https://genius.com/Lady-gaga-always-remember-us-this-way-lyrics,http://api.genius.com/songs/3646077,A Star is Born (Original Motion Picture Soundtrack),2018-10-05," That Arizona sky Burnin' in your eyes You look at me and babe, I wanna catch on fire It’s buried in my soul Like California gold You found the light in me that I couldn’t find   So when I'm all choked up and I can't find the words Every time we say goodbye, baby, it hurts When the sun goes down And the band won't play I'll always remember us this way   Lovers in the night Poets tryna write We don't know how to rhyme, but damn, we try But all I really know You're where I wanna go The part of me that's you will never die   So when I'm all choked up and I can't find the words Every time we say goodbye, baby, it hurts When the sun goes down And the band won't play I'll always remember us this way   Oh yeah I don't wanna be just a memory, baby, yeah Hoo, hoo, hoo, hoo, hoo, hoo Hoo, hoo, hoo, hoo, hoo, hoo Hoo, hoo, hoo, hoo, hoo hoo hooooooooo   So when I'm all choked up and I can't find the words Every time we say goodbye, baby, it hurts When the sun goes down and the band won't play I'll always remember us this way Way yeah   When you look at me and the whole world fades I'll always remember us this way   Oooh, oooh, hmmmm Oooh, oooh, hmmmm",4,7,1,6,9,7,16,5,4,10,-0.9532
6,6,/songs/80390,Lady Gaga,Americano,https://genius.com/Lady-gaga-americano-lyrics,http://api.genius.com/songs/80390,Born This Way,2011-05-23," I met a girl in East LA In floral shorts as sweet as May She sang in eights in two Barrio chords We fell in love But not in court   La la la la la la la La la la la la la la La la la la la la la La la la la la la la La la la la la la la La la la la la la la I don't, I don't...   Ah-ah-ah-ah-ah-ah, America Americano Ah-ah-ah-ah-ah-ah, America Americano   Mis canciones son de la revolución Mi corazón me duele por mi generación If you love me, we can marry on the West Coast On a Wednesday, En un verano o en agosto   I don't speak your I don't speak your languagono (La la la la la la la) I don't speak your (Don't speak your) I don't speak your (Won't speak your) Jesús Cristo (La la la la la la la)   Ah-ah-ah-ah-ah-ah, America Americano Ah-ah-ah-ah-ah-ah, America Americano   I will fight for, I have fought for how I love you (La la la la la la la) I have cried for, I will die for how I care (La la la la la la la) In the mountains, las campanas, están sonando (La la la la la la la) Todos los chicos (Chicas), y los chicos (Chicas) Se están besando (La la la la la la la)   I don't speak your I don't speak your languagono (La la la la la la la) I don't speak your (Don't speak your) I don't speak your (Won't speak your) Jesus Cristo (La la la la la la la) I don't speak your (Won't speak your) I don't speak your (Won't speak your) Americano (La la la la la la la) I don't speak your (Won't speak your) I don't speak your (Won't speak your) Jesus Cristo (La la la la la la la)   Ah-ah-ah-ah-ah-ah, America Americano Ah-ah-ah-ah-ah-ah, America Americano Ah-ah-ah-ah-ah-ah, America Americano Ah-ah-ah-ah-ah-ah, America Americano   Don't you try to catch me Don't you try to catch me no, no, no, no I'm living on the edge of Living on the edge of the law, law, law, law Don't you try to catch me Don't you try to get me no, no, no, no Don't you try to catch me Living on the edge of the law, law, law, law",2,4,0,4,5,3,28,2,6,31,-0.9325
7,7,/songs/2863122,Lady Gaga,Angel Down,https://genius.com/Lady-gaga-angel-down-lyrics,http://api.genius.com/songs/2863122,Joanne,2016-10-21," I confess I am lost In the age of the social On our knees, take a test To be lovin' and grateful   Shots were fired on the street By the church where we used to meet Angel down, angel down But the people just stood around   I'm a believer, it's a trial Foolish and weaker, oh, oh, oh I'd rather save an angel down I'm a believer, it's chaos Where are our leaders? Oh, oh, oh I'd rather save an angel down   Doesn't everyone belong In the arms of the sacred? Why do we pretend we're wrong? Has our young courage faded?   Shots were fired on the street By the church where we used to meet Angel down, angel down Why do people just stand around?   I'm a believer, it's a trial Foolish and weaker, oh, oh, oh I'd rather save an angel down I'm a believer, it's chaos Where are our leaders? Oh, oh, oh I'd rather save an angel down   Hoo-hoo-hoo-hoo-hoo, hoo-hoo-hoo-hoo-hoo Hoo-hoo-hoo-hoo-hoo, hoo-hoo-hoo-hoo-hoo Hoo-hoo-hoo-hoo-hoo, hoo-hoo-hoo-hoo-hoo Hoo-hoo-hoo-hoo-hoo, hoo-hoo-hoo-hoo-hoo   I'm a believer, it's a trial Foolish and weaker, oh, oh, oh I'd rather save an angel down I'm a believer, it's chaos Where are our leaders? Oh, oh, oh I'd rather save an angel down   Save that angel Catch that angel Save that angel Catch that angel Save that angel Catch that angel Save that angel Catch that angel Catch that angel",5,22,0,5,32,12,38,6,27,41,0.6136
8,8,/songs/2865093,Lady Gaga,Angel Down (Work Tape),https://genius.com/Lady-gaga-angel-down-work-tape-lyrics,http://api.genius.com/songs/2865093,Joanne,2016-10-22," I confess I am lost In the age of the social On our knees, take a test To be lovin' and grateful   Shots were fired on the street By the church where we used to meet Angel down, angel down But the people just stood around   I'm a believer, it's a trial Foolish and weaker, oh, oh, oh I'd rather save an angel down I'm a believer, it's chaos Where are our leaders? Oh, oh, oh I'd rather save an angel down   Doesn't everyone belong In the arms of the sacred Why do we pretend we're wrong? Has our young courage faded?   Shots were fired down the street By the church where we used to meet Angel down, angel down Why do people just stand around?   I'm a believer, it's chaos Where are our leaders? Oh, oh, oh I'd rather save an angel down I'm a believer, it's a trial Foolish and weaker, oh, oh, oh I'd rather save an angel down",4,11,0,4,15,10,20,5,11,21,-0.9344
9,9,/songs/80377,Lady Gaga,Animal,https://genius.com/Lady-gaga-animal-lyrics,http://api.genius.com/songs/80377,None,2019-07-01," Meow!   You have got a wild side You're an animal tonight I see that you are my type Wild like a tiger hunting your prey We'll keep the neighbors up all night Hot in the jungle, exotic apparel   I can see the way that you're looking at me Like you're hungry and I am the only thing that you see Won't tame you, love the way you're watching me (Watching me)   Baby, I'mma keep you up all night Gonna tie you up in case you bite Like an animal, animal Animal, animal Baby, I'mma lock you in my cage And I won't stop until you behave Animal, animal Animal, animal Baby, I'm gonna keep you up all night Like an animal, animal An animal, animal I'm gonna tie you up in case you bite I'm an animal, animal An animal, animal   I don't mean to blame you, I'm just trying to tame you You're an animal, animal An animal, animal I don't mean to blame you, I'm just trying to tame you You're an animal, animal An animal, animal   You're a hunter feel your way I'll do whatever you say Hold me down and take control (mess up my hair, all crazy sexual) Do it like an animal (hot in the jungle, exotic apparel)   I can see the way that you're looking at me Like you're hungry and I am the only thing that you see Won't tame you, love the way you're watching me (Watching me)   Baby, I'mma keep you up all night Gonna tie you up in case you bite Like an animal, animal Animal, animal Baby, I'mma lock you in my cage And I won't stop until you behave Animal, animal Animal, animal Baby, I'm gonna keep you up all night Like an animal, animal An animal, animal I'm gonna tie you up in case you bite I'm an animal, animal An animal, animal   I don't mean to blame you, I'm just trying to tame you You're an animal, animal An animal, animal I don't mean to blame you, I'm just trying to tame you You're an animal, animal An animal, animal   I can see the way that you're looking at me Like you're hungry and I am the only thing that you see Won't tame you, love the way you're watching me (Watching me)   Baby, I'mma keep you up all night Gonna tie you up in case you bite Like an animal, animal Animal, animal Baby, I'mma lock you in my cage And I won't stop until you behave Animal, animal Animal, animal Baby, I'm gonna keep you up all night Like an animal, animal An animal, animal I'm gonna tie you up in case you bite I'm an animal, animal An animal, animal",8,6,5,12,12,29,19,11,2,5,0.9686
