,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3090522,Lana Del Rey,13 Beaches,https://genius.com/Lana-del-rey-13-beaches-lyrics,http://api.genius.com/songs/3090522,Lust for Life,2017-07-21," I don't belong in the world, that's what it is Something separates me from other people Everywhere I turn, there's something blocking my escape   It took thirteen beaches to find one empty But finally, it's mine With drippin' peaches, I'm camera ready Almost all the time   But I still get lonely And baby, only then do I let myself recline Can I let go, and let your memory dance In the ballroom of my mind? Across the county line   It hurts to love you, but I still love you It's just the way I feel And I'd be lyin', if I kept hidin' The fact that I can't deal And that I've been dyin' (yeah) For somethin' real That I've been dyin' for somethin' real   It took thirteen beaches to find one empty But finally, I'm fine Past Ventura and lenses plenty In the white sunshine   But you still can find me, if you ask nicely Underneath the pines With the daisies, feelin' hazy In the ballroom of my mind Across the county line   It hurts to love you, but I still love you It's just the way I feel And I'd be lyin', if I kept hidin' The fact that I can't deal And that I've been dyin' (yeah) For somethin' real That I've been dyin' for somethin' real   It hurts to love you, but I still love you It's just the way I feel And I'd be lying', if I kept hidin' The fact that I can't deal The fact that I can't deal",0.9886,5,10,4,5,18,7,23,5,6,20
1,/songs/187449,Lana Del Rey,1949,https://genius.com/Lana-del-rey-1949-lyrics,http://api.genius.com/songs/187449,None,2012-07-01," Carry me up them stairs Put my white socks on And my pretty song You like my blue nail polish? ""What is all this?"", you said ""The mess upstairs Don't be scared""   Daddy dearest, you know How I like to take trips Pops, first stop at the K-Mart Buy me my peach lip gloss Cigarettes and lollipops Mad magazines, and white socks All in your car for Our trip across the U.S.A   We going to party Like it's 1949 We in the Pontiac From July to July It's a flower motel nation Day and night on our last vacation We going to see it all Before we say goodbye   Daddy likes Blackpool Pleasure Beach and road stops Baby likes some Swiss Alps Souvenir gift shops Late night, midnight Radio show talks Daddy, baby Big jail break   Ponytail and lollipops Dinerettes and soda pops New blue bathing suit Ruched tops and Cadillacs Blue lake car to Dunks Hopscotch, shit talk Alabama hard knocks Motel brass locks   We going to party Like it's 1949 We in the Pontiac From July to July It's a motel flower nation Day and night on our last vacation We going to see it all Before we say goodbye",0.9775,2,7,3,2,9,8,15,6,6,8
2,/songs/4001042,Lana Del Rey,(2018 song),https://genius.com/Lana-del-rey-2018-song-lyrics,http://api.genius.com/songs/4001042,None,2019-03-29,": Da da da da da da Da da da da da da Baby, da da da da da Lately, but I see a sun I know when, I know why I see a sun I know when, I know why",0.0,0,2,0,0,3,0,3,0,2,2
3,/songs/2286561,Lana Del Rey,24,https://genius.com/Lana-del-rey-24-lyrics,http://api.genius.com/songs/2286561,Honeymoon,2015-09-18," There's only 24 hours in a day And half as many ways for you to lie to me, my little love There's only 24 hours in a day And half of those, you lay awake With thoughts of murder and carnage   If you lie down with dogs, then you'll get fleas Be careful of the company you keep   There's only 24 hours And that's not enough To lie like you lie or Love like you love   There's only 24 hours in a day And half of those you lay Between the sheets with me, my lying love There's only 24 hours, so you'd say For most of them you pay For all the things they paid you for, my love   If you lie down with dogs, then you'll get fleas Be careful of the ones you choose to leave   There's only 24 hours And that's not enough To lie like you lie or Love like you love   Give me your heat Give me your diamonds You hit that street And my crooked words You count to three While they're all dying You're hard to reach You're cold to touch",0.9836,12,2,13,3,9,16,13,11,3,3
4,/songs/196866,Lana Del Rey,Afraid,https://genius.com/Lana-del-rey-afraid-lyrics,http://api.genius.com/songs/196866,None,2012-08-23," I'm America's Sweetheart Trying to get away You make it hard to leave But it's easier for me to stay I am so afraid And I've had it up to here With the fighting, baby, we're Not fooling anyone these days I don't wanna stray But boy, I'm so afraid   But it's not love that keeps me here And it's not what you want to hear   So I'm going Back to Santa Monica New York to L.A Never coming back, boy No matter what you do or say 'Cause I'm so afraid And I've had it up to here With the panic and the fear There's nothing in your heart Thought that I could make you change I'm so afraid   We were just teenagers when we fell in love Driving in your fast car Looking at the stars above But it was not enough You should never come between A woman and her dream And a man that never knew his place There's no easy way To come back from where you came   So, baby, now I'm going Back to Santa Monica New York to L.A Never coming back, boy No matter what you do or say 'Cause I'm so afraid I-I've had it up to here With the panic and the fear Nothing in your heart, boy I thought that I could make you change I'm so afraid   And it's not love, it's just the fear That you've put down for all these years   But I'm leaving now I'm going Back to Santa Monica New York to L.A Never coming back, boy No matter what you do or say I am done being afraid Oh, I've had it up to here With the panic and the fear There's nothing in your heart I thought that I could make you change I'm so afraid   Oh, it's not love that keeps me here It's not love that keeps me here I'm done being afraid I'm done being afraid Oh, oh, oh",-0.9954,5,8,5,20,9,26,10,3,1,3
5,/songs/4135121,Lana Del Rey,Afraid (Turkish Translation),https://genius.com/Lana-del-rey-afraid-turkish-translation-lyrics,http://api.genius.com/songs/4135121,None,2019-03-29,"I'm America's sweetheart tryna get away Amerika'nın gözbebeğiyim; kaçmaya çalışan You make it hard to leave Gitmemi zorlaştırıyorsun But it's easier for me to stay Ama benim için kalmak daha kolay Why I'm so afraid Neden bu kadar korkağım  And I've had it up to here with the fighting Ve bu kavgalar canıma tak etti Baby, we're not fooling anyone these days Bebeğim, kimseyi kandırmıyorum bu günlerde I don't wanna stay Kalmak istemiyorum  But, boy, I'm so afraid Ama, oğlum, çok korkağım  But it's not love that keeps me here Ama beni burada tutan şey aşk değil And it's not what you want to hear Ve bunlar senin duymak istediğin şeyler değil  So, I'm going back to Santa Monica, New York to L.A Yani, geri dönüyorum; Santa Monica'ya New York'a ve Los Angeles'a Never coming back, boy, no matter what you do or say Asla geri dönmeyeceğim, Ne yaparsan yap ne söylersen söyle 'Cause I'm so afraid Çünkü çok korkağım And I've had it up to here Ve canıma tak etti With the panic and the fear Panik ve korku ile There's nothing in your heart Senin kalbinde hiçbir şey yok Thought that I could make you change Değiştirebileceğimi düşünmüştüm seni I'm so afraid Çok korkağım  We were just teenagers when we fell in love Birbirimize aşık olduğumuzda sadece çok gençtik Driving in your fast car Arabanla gezer; Looking at the stars above Gökyüzündeki yıldızlara bakardık But it was not enough Ama bunlar yeterli değildi  You should never come between a woman and her dream Asla bir kadınla onun hayalleri arasına girmemelisin And a man who never knew his place Ve bir adam asla haddini bilmeyen There's no easy way Kolay bir yol değil;  To come back from where you came Geldiğin yere geri dönmek  So, I'm going back to Santa Monica, New York to L.A Yani, geri dönüyorum; Santa Monica'ya New York'a ve Los Angeles'a Never coming back, boy, no matter what you do or say Asla geri dönmeyeceğim, Ne yaparsan yap ne söylersen söyle 'Cause I'm so afraid Çünkü çok korkağım And I've had it up to here Ve canıma tak etti With the panic and the fear Panik ve korku ile Nothing in your heart Senin kalbinde hiçbir şey yok Boy, I thought that I could make you change Oğlum, seni değiştirabileceğimi sandım But I'm so afraid Ama çok korkağım  And it's not love, it's just the fear Ve bu aşk değil, bu sadece korku You've put down for all these years Bunca yıl boyunca mahvettin But I'm leaving now Ama şimdi gidiyorum  I'm going back to Santa Monica, New York to L.A Yani, geri dönüyorum; Santa Monica'ya New York'a ve Los Angeles'a Never coming back, boy, no matter what you do or say Asla geri dönmeyeceğim, Ne yaparsan yap ne söylersen söyle I am done being afraid Korkmaktan bıktım And I've had it up to here Ve canıma tak etti With the panic and the fear Panik ve korku içinde There's nothing in your heart Senin kalbinde hiçbir şey yok I thought that I could make you change Seni değiştirabileceğimi sandım But I'm so afraid Ama çok korkağım Oh, it's not love that keeps me here Oh, Beni burada tutan şey aşk değil It's not love that keeps me here Beni burada tutan şey aşk değil I'm done being afraid Korkmaktan yoruldum I am done being afraid Korkak olmaktan yoruldum",-0.9954,5,8,5,20,8,25,9,3,1,3
6,/songs/439626,Lana Del Rey,All Smiles,https://genius.com/Lana-del-rey-all-smiles-lyrics,http://api.genius.com/songs/439626,None,2014-02-22," All dressed up, with nowhere to go That's the story of the girl you know Me I'm all smiles but inside I frown Cause I've seen you walkin' around with Betty Lou Didn't I tell you what I heard about her?   It don't matter to you It don't matter to you It don't matter to you what them other girls do You'll date anyone, you'll date anyone   Are they more fun than me, baby? I'm smiling, the New Jersey queen And you're the best thing I ever seen So won't you pull up your white corvette Jimmy, let me get a better look at your face I know it ain't doing But I know what you like So come on inside and I'll fix you ice-cream A little banana split for you, Jim   You're so fine, you're like silk la roux Guess that's why you keep slipping through my fingers You're the state's number one Everybody knows it You smile all the time Cause how can you not show it When even you know That you're so To die for, to die for What do I need to get high for? When I have you When I have you   It don't matter to you It don't matter to you It don't matter to you what those other girls done I'm gonna prove to you I'm gonna prove to you You'll never find nobody more fun Dah, dah, dah More fun",0.9861,0,6,0,2,9,4,19,3,4,10
7,/songs/439536,Lana Del Rey,All You Need,https://genius.com/Lana-del-rey-all-you-need-lyrics,http://api.genius.com/songs/439536,Sirens,2006-01-01,"You have a right to live your life Like no one else does, like no one else might If you have visions, come on and live them out  All you need is some peace while you are here Just let go until you are home, dear  I had a dream when I was young I dreamt our lives were going to be fun We were always waiting to live  All you need is some peace while you are here Just let go of it all, dear  You have a choice to hear the noise Or hear the sweet sound of your sweet voice I know I've heard it, I heard it in my sleep  All you need is some peace while you are here Just let go, don't say no, dear  Wake up each night at the same time Roll up the blind and look outside And in the orange light, the fog is rising  This is life, this tonight, peace in the quiet Happiness is the sky",0.9865,0,12,0,0,10,2,18,1,3,7
8,/songs/96798,Lana Del Rey,American,https://genius.com/Lana-del-rey-american-lyrics,http://api.genius.com/songs/96798,Born to Die: The Paradise Edition,2012-11-09," Play house, put my favorite record on Get down, get your crystal method on You were like tall, tan, driving ‘round the city Flirtin’ with the girls like you’re so pretty ""Springsteen is the King, don’t ya think?"" I was like, ""Hell yeah, that guy can sing"" Like ooh-ooh-ooh-ooh-ooh Ooh-ooh-ooh-ooh-oh   You make me crazy, you make me wild Just like a baby, spin me 'round like a child Your skin so golden brown Be young, be dope, be proud Like an American Ooh-ooh-ooh-ooh-ooh-ooh-ooh Like an American Ooh-ooh-ooh-ooh-ooh-ooh-ooh   Drive fast, I can almost taste it now L.A., I don’t even have to fake it now You were like so sick, everybody said it You were way ahead of the trend, get, get it Elvis is the best, hell yes Honey, put on that party dress Like ooh-ooh-ooh-ooh-ooh Ooh-ooh-ooh-ooh-oh   You make me crazy, you make me wild Just like a baby, spin me 'round like a child Your skin so golden brown Be young, be dope, be proud Like an American Ooh-ooh-ooh-ooh-ooh-ooh-ooh Like an American Ooh-ooh-ooh-ooh-ooh-ooh-ooh   Everybody wants to go fast But they can’t compare I don’t really want the rest Only you can take me there I don’t even know what I’m saying But I’m praying for you   You make me crazy, you make me wild Just like a baby, spin me 'round like a child Your skin so golden brown Be young, be dope, be proud Like an American Ooh-ooh-ooh-ooh-ooh-ooh-ooh Like an American Ooh-ooh-ooh-ooh-ooh-ooh-ooh   Like an American Ooh-ooh-ooh-ooh-ooh-ooh-ooh Like an American Ooh-ooh-ooh-ooh-ooh-ooh-ooh Like an American",0.9926,5,11,3,5,15,10,25,7,6,10
9,/songs/4001052,Lana Del Rey,A new little tropical song (Starry Eyed),https://genius.com/Lana-del-rey-a-new-little-tropical-song-starry-eyed-lyrics,http://api.genius.com/songs/4001052,None,2018-01-01,": Da da da da da da Da da da da da da Baby, da da da da da Lately, but I see a sun I know when, I know why I see a sun I know when, I know why       I'd like her to sing this that i wrote  Tasting like Pepsi Fire Cinnamon take me higher Highs and goodbyes Your lies, my lullabies Your fucking rich I'm your Venice Bitch National anthem within a ride My head on your shoulder's side Your voice is like Elvis's When he gave Priscilla kisses Really don't tell Norman Rockwell Blond, red and brown Take me downtown Tapes and snippets rewind Woodstock in my mind Jacqueline, Marilyn and Kennedy Playing ukelele, hawaiian baby The bees and sweet acid velvet shotgun Mullholland and the salon is where we run",0.9292,3,5,2,3,7,3,10,3,4,6
