,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/254508,La Roux,Armour Love,https://genius.com/La-roux-armour-love-lyrics,http://api.genius.com/songs/254508,La Roux,2009-02-08," You pull on your armour You put up defences Why do you want to? Because I'm here to protect you So take it easy I'll make it so easy You can lay your head down And we'll leave it 'til tomorrow   You seem to believe you belong to somebody else When you leave me alone in this world you know that I'm in hell Do you know what it's like to be lonely and by yourself?   When your life is tangled You wear your disguises But why do you need to When I'm standing here beside you? So take it easy I make it so easy You can lay your head down And we'll leave it 'til tomorrow   You seem to believe you belong to somebody else When you leave me alone in this world you know that I'm in hell Do you know what it's like to be lonely and by yourself?   Slipping through my fingers and into another's Tell me why won't you turn back?   You seem to believe you belong to somebody else (You know what it's like, you shouldn't have to be told) When you leave me alone in this world you know that I'm in hell (It's hard enough when you're alone in the world) Do you know what it's like to be lonely and by yourself? You seem to believe you belong to somebody else (You know what it's like, you shouldn't have to be told) When you leave me alone in this world you know that I'm in hell (It's hard enough when you're alone in the world) Do you know what it's like to be lonely and by yourself?",-0.9721,8,2,8,8,0,16,3,14,6,1
1,/songs/2279045,La Roux,As If by Magic,https://genius.com/La-roux-as-if-by-magic-lyrics,http://api.genius.com/songs/2279045,La Roux,2009-06-26, Emerging from my world Imagine living in a box And I won't come out Until I've broken all the locks Slurring all my words Until something sticks But in this smoky universe My mind keeps playing tricks   And although you're the only home I know As if by magic thoughts of you are gone And now I'm keeping my head in the clouds And it's not so tragic if I don't look down   Submerging from your world And back into my bliss A day rolled into one Is burning on my lips Blurring all your words Until they don't exist And in a parallel universe It's me you can't resist  (x2) And although you're the only home I'll ever know As if by magic thoughts of you are gone And now I'm keeping my head in the clouds And it's not so tragic if I don't look down  (You say I'm a rose tinted lover come on) (You know I'll never love another) (I won't stay a lonely for long),0.9526,2,4,1,2,3,6,8,2,1,6
2,/songs/66262,La Roux,Bulletproof,https://genius.com/La-roux-bulletproof-lyrics,http://api.genius.com/songs/66262,La Roux,2009-06-21," Been there, done that, messed around I’m having fun, don’t put me down I’ll never let you sweep me off my feet I won’t let you in again The messages I’ve tried to send My information’s just not going in Burnin’ bridges shore to shore I’ll break away from something more I’m not turned on to love until it’s cheap Been there, done that, messed around I’m having fun, don’t put me down I’ll never let you sweep me off my feet   This time, baby I’ll be bulletproof This time, baby I’ll be bulletproof   I won’t let you turn around And tell me now I’m much too proud To walk away from something when it’s dead Do, do, do your dirty words Come out to play when you are hurt? There’s certain things that should be left unsaid Tick, tick, tick, tick on the watch And life’s too short for me to stop Oh baby, your time is running out I won’t let you turn around And tell me now I’m much too proud All you do is fill me up with doubt   This time, baby I’ll be bulletproof This time, baby I’ll be bulletproof This time, baby I’ll be bulletproof This time, baby I’ll be bulletproof   This time, I’ll be bulletproof This time, I’ll be bulletproof   This time, baby I’ll be bulletproof This time, baby I’ll be bulletproof This time, baby I’ll be bulletproof This time, baby I’ll be bulletproof",0.34,1,18,1,3,16,4,32,2,1,7
3,/songs/139949,La Roux,Colourless Colour,https://genius.com/La-roux-colourless-colour-lyrics,http://api.genius.com/songs/139949,La Roux,2009-06-26," You say it's coming But I can't see it at all You know me well, but I don't know you at all No, I don't know you at all It's always just on the horizon So my hopes rise and fall You know me well, but I don't know you at all No, I don't know you at all   Early '90s décor It was the day for We wanted to play But we had nothing left to play for Colourless colour Once in fashion, soon to be scene   Early '90s décor It was the day for We wanted to play But we had nothing left to play for Colourless colour Once in fashion, soon to be scene   Been dreaming of blue skies New horizon and sides from my eyes The discovery of the unknown Is something to tell the folks back home I want to get away To feel the sun on my skin To feel it really sinking in   Early '90s décor It was the day for We wanted to play But we had nothing left to play for Colourless colour Once in fashion, soon to be scene   Early '90s décor It was the day for We wanted to play But we had nothing left to play for Colourless colour Once in fashion, soon to be scene   Early '90s décor It was the day for We wanted to play But we had nothing left to play for Colourless colour Once in fashion, soon to be scene   Early '90s décor It was the day for We wanted to play But we had nothing left to play for Colourless colour Once in fashion, soon to be rediscovered",0.9909,0,6,0,1,2,2,10,2,2,6
4,/songs/2279028,La Roux,Cover My Eyes,https://genius.com/La-roux-cover-my-eyes-lyrics,http://api.genius.com/songs/2279028,La Roux,2009-06-26," No wonder I'm scared to look in your eyes You've turned me away so many times You can take it away at any given moment It's hard to believe while you're in this disguise   So would you hold me please? I'm trying hard to breathe I'm just surviving So would you hold me please? I'm trying hard to breathe Stop me from crying   When I see you walking with her I have to cover my eyes (I have to cover my eyes) Every time you leave with her Something inside me dies (Something inside of me dies)   No wonder it hurts to sit by your side (Turned me away so many times) There's a different song I can play you tonight (We don't have to sit here in silence) We can break the pattern, we can change the colour (It's just a little sacrifice) You don't need to worry about the others (It's all in your mind)   So would you hold me please? I'm trying hard to breathe I'm just surviving So would you hold me please? I'm trying hard to breathe Stop me from crying  (x2) When I see you walking with her I have to cover my eyes (I have to cover my eyes) Every time you leave with her Something inside me dies (Something inside of me dies)  Something inside me dies  (x2) When I see you walking with her I have to cover my eyes (I have to cover my eyes) Every time you leave with her Something inside me dies (Something inside of me dies)  Something inside me dies",-0.8861,1,6,0,3,0,7,2,7,4,8
5,/songs/478934,La Roux,Cruel Sexuality,https://genius.com/La-roux-cruel-sexuality-lyrics,http://api.genius.com/songs/478934,Trouble In Paradise,2014-07-18," I've been talkin' to myself Oh, I think I need your help All this love is make-believe Trapped inside a fantasy   And he came runnin' out of the water In the dead of the night, he could see As his shadow came before her She felt what she wanted to see She whispered ""use me""   What you touch you believe It's a dangerous scene When passion turns into greed   Cruel sexuality Am I a fool to let you trouble me? Cruel sexuality   I don't even know myself Cause I'm becomin' someone else Where is rationality? When I'm locked inside a dream I say ""just use me""   When we choose to deceive It's a dangerous scene When passion turns into greed   Cruel sexuality Am I a fool to let you trouble me? Cruel sexuality   Oh, you make me happy in my everyday life Why must you keep me in your prison at night? Oh, you make me happy in my everyday life Why must you keep me, why must you keep me? Oh, you make me happy in my everyday life Why must you keep me in your prison at night? Oh, you make me happy in my everyday life Why must you keep me, why must you keep me? Oh, you make me happy in my everyday life Why must you keep me in your prison at night? Oh, you make me happy in my everyday life Why must you keep me, why must you keep me?  Oh, you make me happy in my everyday life Why must you keep me in your prison at night? Oh, you make me happy in my everyday life Why must you keep me, why must you keep me? Oh, you make me happy in my everyday life Why must you keep me in your prison at night? Oh, you make me happy in my everyday life Why must you keep me in your prison at night?  Cruel sexuality",-0.9641,14,12,10,13,13,18,14,12,0,13
6,/songs/2279054,La Roux,Fascination,https://genius.com/La-roux-fascination-lyrics,http://api.genius.com/songs/2279054,La Roux,2009-06-26," It's been seven hours long And your shadow still hangs on You've been two weeks gone And so tonight I followed you home   There are so many different ways Of collecting all the strays The ones that get away   Old fascinations, we crave new sensations Old fascination, it's feeding my frustrations It's feeding my frustrations And I haven't got the patience   These sheets are still warm This bed is our only home We make arrangements over the phone Where has all the conversation gone?   There are so many different ways Of collecting all the strays The ones that get away   Old fascinations, we crave new sensations Old fascination, it's feeding my frustrations It's feeding my frustrations And I haven't got the patience  (x2) Frustrations, sensations Fascinations, fascinations   Old fascinations, new sensations Old fascinations, new sensations Old fascinations, we crave new sensations Old fascinations, it's feeding my frustrations",-0.8658,6,6,0,0,0,8,14,0,0,4
7,/songs/1260085,La Roux,Finally My Saviour,https://genius.com/La-roux-finally-my-saviour-lyrics,http://api.genius.com/songs/1260085,La Roux,2009-06-26," In my ear, finally my saviour is here In my ear, finally my saviour is here   I hear you call me from the other room You say my name as if you know what you're about to do You say you're tired and you must be leaving soon When will we ever see this through ? And I continue to drown my sorrows After you are gone And look around for somebody else to Hang my hopes on   In fact it's easier now that You're not here I'm no longer dreading you muttering those words in my ear  In my ear, finally my saviour in here In my ear, finally my saviour is here   I can't explain the dark expression on my face To the people that I'm surrounded by But you understand me more than most And you let me try   In fact it's easy now In fact it's easy now In fact it's easy now In fact it's easy now I'm no longer dreading you muttering those words in my ear  In my ear, finally my saviour is here In my ear, finally my saviour is here In my ear, finally my saviour is here In my ear, finally my saviour is here",0.8772,0,10,8,2,9,3,13,3,9,18
8,/songs/2279076,La Roux,Growing Pains,https://genius.com/La-roux-growing-pains-lyrics,http://api.genius.com/songs/2279076,La Roux,2009-06-26," My heart, it melts like plastic I fell through the hole yesterday Your smile pulled me in like elastic I felt my mind detonate   Oh, I've made mistakes And you just say it's growing pains When I feel ashamed You tell me it's just growing pains   We broke in two like a matchstick It burns in my soul every day, every day Your world, it was to me so fantastic And hell seemed so far away, far away   Oh, I've made mistakes And you just say it's growing pains When I feel ashamed You tell me it's just growing pains When I'm crying out for change You tell me it's just growing pains And oh, I've made mistakes And yes, I know it's growing pains   The truth, it feels like concrete I drove into its walls yesterday I wish I could be realistic But like children, my dreams run away   I know I've made mistakes You say it's growing pains Then when I feel ashamed You say it's growing pains When I'm crying out for change You say it's growing pains I know I've made mistakes I know it's growing pains   Oh, I've made mistakes And you just say it's growing pains When I feel ashamed You tell me it's just growing pains When I'm crying out for change And oh, I've made mistakes And yes, I know it's growing pains",-0.9914,1,1,5,19,2,31,3,30,2,2
9,/songs/476979,La Roux,I'm Not Your Toy,https://genius.com/La-roux-im-not-your-toy-lyrics,http://api.genius.com/songs/476979,La Roux,2009-02-08," Love, love is like a stubborn youth That you'd rather just deny I'm walking on a broken roof While I'm looking at the sky   It's all false love and affection You don't want me You just like the attention Yes, it's all false love and affection You don't like me You just want the attention   I'm not your toy This isn't another girl-meets-boy I'm not your toy This isn't another girl-meets-boy   Love, love hides in a smoky light I can never find the truth Boy, your touches leave me mystified I wish I could believe in you   Yes, it's all false love and affection You don't want me You just like the attention Yes, it's all false love and affection You don't like me You just want the attention   I'm not your toy This isn't another girl-meets-boy I'm not your toy This isn't another girl-meets-boy Oh, oh, I'm not your toy This isn't another girl-meets-boy I'm not your toy, ohh This isn't another girl-meets-boy   All false love and affection You don't want me You just like the attention Yes, it's all false love and affection You don't like me You just want the attention   I'm not your toy This isn't another girl-meets-boy I'm not your toy, oh, oh This isn't another girl-meets-boy I'm not your toy, ohh This isn't another girl-meets-boy I'm not your toy, ohh This isn't another girl-meets-boy",0.9977,3,1,11,3,17,14,31,2,2,13
