,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/550980,Lee Brice,Beautiful Every Time,https://genius.com/Lee-brice-beautiful-every-time-lyrics,http://api.genius.com/songs/550980,Love Like Crazy,2010-06-08,"Verse 1  I've been around the ocean since I was a kid I don't get to see it much these days This mornin' I walked down to it just to say I did And damned if it didn't take my breath away  I guess some things are just that way  Chorus  Like a baby sleeping A mama kneeling A Key-West sunset sky Yeah the chills I get When you lay your lips on mine That's beautiful, Beautiful Every Time  Verse 2 Well I could hear the music drifting over the dunes It sounded like a weddin' on the beach I Figured I'd take a closer look Had nothin' better to do Yes I forgot the sight a blushing bride could be  Well I guess amazing is always amazing  Chorus Like a baby sleeping A mama kneeling A Key-West sunset sky Yeah the chills I get When you lay your lips on mine That's beautiful, Beautiful Every Time  Musical Bridge  I guess amazing will always be amazing  Chorus Like a church choir singing A nation healing A soldier coming home alive The love for me Girl I see in your eyes That's beautiful, Beautiful Every Time",0.9965,2,11,0,0,17,1,25,3,4,8
1,/songs/646182,Lee Brice,Beer,https://genius.com/Lee-brice-beer-lyrics,http://api.genius.com/songs/646182,Hard 2 Love,2012-12-03," Friday, the week was long Can't wait to get my twist-off off One sip and all the bull shish is gone Um-hmm, Hey, Freddie, I'm already ready For another down here, beer Saturday, mown the grass Some people think it's a pain in the back Me, it's just another way to work up a thirst real fast It's why I like to do her with a bungee strapped cooler To my old John Deere, beer   I like it ice cold I take it with a lime Canadian, Mexican, Heineken, American They're all real good friends of mine I like it in a mug, in a bottle, in a cup I like it with a shot Mmm, it hits the spot, Beer   Sunday, football game Hot dog and a mustard stain Cussing out the ref But I guess I can't complain I've got it made in the shade Of a 60 inch Sony and my lazy boy chair…Beer   I like it ice cold I take it with a lime Canadian, Mexican, Heineken, American They're all real good friends of mine I like it in a mug, in a bottle, in a cup I like it with a shot I like it when I'm fishin' on the lake I like it when I'm wishing I was fishing on the lake   Beer, I'll take it anyway I can get, beer I may have a problem I'll admit it, beer I ain't never going to quit it, beer It tastes good, it tastes too good, beer Hey Freddie, I'm already ready for another down here Beer, I think I love you",0.9936,7,10,3,6,18,16,23,8,8,9
2,/songs/642589,Lee Brice,Carolina Boys,https://genius.com/Lee-brice-carolina-boys-lyrics,http://api.genius.com/songs/642589,Love Like Crazy,2010-06-08," Did you see me with my coat and my white t-shirt And my cowboy boots, and my baby blues Staring at you from across the room? Did you see me looking at you? Yes, you did I was looking at your eyes, looking at your legs Looking at your thigh, looking at the old back side Did you see me looking at you, man? I don't understand what a women like you Would want in a boy like him, and boy like him Well, I saw your man standing there and I gave him a glare And I swear he looked pretty scared to me I saw him swallow his pride and I looked deep in his eyes And it ended with, ""You want to take this outside?""   Because Carolina boys get crowd and loud Yes, we do, don't look at me I'll turn you whole world upside down Because we get crowd and loud   I didn't mean to scare you with my rowdy redneck friends But I couldn't help to notice you walk in with him His 3 piece suit and his penny loafer shoes Girl, tell me what am I going to do with you?   Do you want to ride? Do you want to dance all night? Do you want to take a little Trip in my lifted ride? It might get crowd and loud   Now tell the truth, girl, you saw a new world The moment you layed your pretty little eyes on me Well, I give you something to think about, something to talk about Tell the whole world about a girl like me   Because we get rowdy No, we get rowdy We get rowd and loud",0.9642,2,4,3,2,7,10,13,1,2,9
3,/songs/646142,Lee Brice,Don't Believe Everything You Think,https://genius.com/Lee-brice-dont-believe-everything-you-think-lyrics,http://api.genius.com/songs/646142,Hard 2 Love,2012-12-03," I know you're thinking That you got me all figured out A music man like me ain't ever going to settle down And you're just waiting around for the day That you're convinced ain't ever gonna come And just the thought of wedding bells Would make me want to run away Well all I can say   Is don't believe everything you think Baby, I might just have a ring in my pocket right now So settle on down girl Reel that wild imagination in Baby, come on back to me again Yeah, oh the mind's a funny thing Don't believe everything you think   Every-time another pretty girl comes walking by I see your wheels turning The way you watch my eyes, girl I don't know why You let it cross your mind that I ain't crazy over you And I don't want all the very same things you do Babe, all I'm going to say   Is don't believe everything you think Baby, I might just have a ring in my pocket right now So settle on down girl Reel that wild imagination in Baby, come on back to me again Yeah, the mind's a funny thing Don't believe everything you think   Girl, you need to get on out of your head And into your heart instead Like I said  Don't believe everything you think Baby, I might just have a ring in my pocket right now So settle on down girl Reel that wild imagination back in Baby, come on back to me again Yeah, the mind's a funny thing Don't believe everything you think   Mmmm, yeah the mind's a funny thing, don't believe everything you think",0.9849,2,4,0,3,8,5,17,3,3,11
4,/songs/552898,Lee Brice,Falling Apart Together,https://genius.com/Lee-brice-falling-apart-together-lyrics,http://api.genius.com/songs/552898,Love Like Crazy,2010-06-08,Verse 1 My baby's sweet talkin' the cable man While I'm a diggin' around up here Sweatin' my ass off in the attic Trying to find the rabbit ears The screen doors off the hinges And there's a flat tire on the Olds And this GE Fridgerator ain't keeping nothin' froze  Chorus We're falling apart together Well it's another flashlight dinner in the dark When times get hard We just shake us on a little more salt and pepper Yeah the good thing is we might be falling apart But we're falling apart together  Verse 2 Well I got me some good friends that swing a hammer at a nail But there ain't no houses going up Ain't no checks in the mail Well the gas tanks might be empty But the tailgates still full We pass a guitar and a bottle around Everybody take a pull  Repeat Chorus  Bridge  These days ain't stayin' forever They're gonna get better But till they do  Repeat Chorus,0.9608,0,5,0,0,5,3,11,4,4,4
5,/songs/642592,Lee Brice,Four on the Floor,https://genius.com/Lee-brice-four-on-the-floor-lyrics,http://api.genius.com/songs/642592,Love Like Crazy,2010-06-08," We got the horses moving We got woofers grooving We got the Waylon wailing Everybody's head is bobbing I got the muffler flowing I got my horn a blowing I got the rubber burning Down on all fours Pull in the club We hear the band bang Roll through the door Everybody hey, hey   Four on the floor, feel the beat in your soul Moving to the rhythm, pumping till you can't take no more Dance if you want to, do what you came to You can't ignore the feeling of that four on the floor   Aw yeah, D.J. is really wigging He got the old school mixing The fellas heads are spinning All the girls are finger licking We got the bubbly bubbling I got her shoulders rubbing I got my game a spitting Kicking it in low She grabs my arm Pulls me to the main stage Out on the floor Everybody sing, sing   Four on the floor, feel the beat in your soul Moving to the rhythm, pumping till you can't take no more Dance if you want to, do what you came to You can't ignore the feeling of that four on the floor   Take a little walk outside Honey wants to see my ride You know I think I might Turn on a little Barry White   Four on the floor, feel the beat in your soul Moving to the rhythm, pumping till you can't take no more Dance if you want to, do what you came to You can't ignore the feeling of that four on the floor   Feeling of that four on the floor Feeling of that four on the floor",0.8715,8,8,6,6,11,10,19,8,6,14
6,/songs/646173,Lee Brice,Friends We Won't Forget,https://genius.com/Lee-brice-friends-we-wont-forget-lyrics,http://api.genius.com/songs/646173,Hard 2 Love,2012-12-03," Well, I remember Friday nights We were full of bull and natural light Rock stars under the parking lot lights Killing time in a little town Window's tinted up, tailgate's down Running our mouths, riding up and down Just looking for a fight We heard all our stories a thousand times Somebody go on and tell them again Ain't nobody going to mind   Here's to the good old boy The guitars that made the noise And all the girls that we annoyed And the ones we kissed goodnight To the trucks that drove us home Secrets we never told And all the talks on old dirt roads That somehow changed our lives Here's to the nights we don't remember And the friends we won't forget   Like I still smell the craw-fish stand Diving head first in the morning drink Standing in the lake watching water skis go by Got a pretty girl sitting on my shoulders And another pretty girl trying to push her over My boys on the bank letting the horse shoes fly Well, I can still see it now All of us piling in our trucks and heading back into town   Here's to the good old boy The guitars that made the noise And all the girls that we annoyed And the ones we kissed goodnight To the trucks that drove us home Secrets we never told And all the talks on old dirt roads That somehow changed our lives Here's to the nights we don't remember And the friends we won't forget   Here's to last call when we didn't care Holding our shots up in the air A bunch of reckless boys Man I swear, it's a wonder we survived To the trucks that drove us home The secrets we never told And all the talks on old dirt roads That somehow changed our lives Here's to the nights we don't remember Here's to the nights we don't remember And the friends we won't forget",0.9179,5,7,8,4,8,17,20,2,4,23
7,/songs/550018,Lee Brice,Happy Endings,https://genius.com/Lee-brice-happy-endings-lyrics,http://api.genius.com/songs/550018,Love Like Crazy,2010-06-08,"Well, I love her and she's leaving She met a man, plays in a band last weekend And he lives out on the west coast And she says she's got to go  But it's a long, long way from Myrtle Beach to L.A Anything could change her mind One sunset or one regret She could turn around, come back and be mine Happy endings happen all the time  She's almost finished packing There's over 2,000 miles, a lot could happen There's going to be days and days of long stretches Maybe she'll come back to her senses  Cause it's a long, long way from Myrtle Beach to L.A Anything could change her mind One sunset or one regret And she could turn around, come back and be mine Happy endings happen all the time  Well, I ain't waiting on no phone call I ain't getting my hopes up at all I ain't setting myself up for a fall  But it's still a long, long way from Myrtle Beach to L.A Anything could change her mind One sunset or one regret She could turn around, come back and be mine Then everything would be just fine Yea, happy endings happen all the time  It's a long, long way from Myrtle Beach to L.A",0.9167,0,23,0,3,9,4,9,4,1,4
8,/songs/387536,Lee Brice,Hard To Love,https://genius.com/Lee-brice-hard-to-love-lyrics,http://api.genius.com/songs/387536,Hard 2 Love,2012-05-14,"I am insensitive I have a tendency to pay more attention to the things that I need Sometimes I drink to much, sometimes I test your trust, sometimes I dunno Why you're staying with me?  I'm hard to love, hard to love, I don't make it easy, I couldn't do it if I Stood where you stood I'm hard to love, hard to love, you say that you need me, I don't deserve It but I love that you love me. goood  I am a short fuse, I am a wrecking ball crashing into your heart like I do You're like a Sunday morning full of grace and full of Jesus I wish that I Could be more like you  I'm hard to love, hard to love, I don't make it easy, I couldn't do it if I Stood where you stood I'm hard to love, hard to love, you say that you need me, I don't deserve It but I love that you love me. Goood Love me good  Girl you've given me a million second chances and I don't ever wanna take You for granted, I'm just a man, I'm just a man  Hard to love, hard to love, oh I don't make it easy and I couldn't do it if I stood where you stood I'm hard to love, hard to love and you say that you need me, I don't Deserve it but I love that you love me. good. (x2)  You love me good",0.9992,3,7,0,0,24,0,40,0,4,16
9,/songs/156377,Lee Brice,I Drive Your Truck,https://genius.com/Lee-brice-i-drive-your-truck-lyrics,http://api.genius.com/songs/156377,Hard 2 Love,2012-12-03," Eighty-nine cents in the ash tray Half empty bottle of Gatorade rolling in the floorboard That dirty Braves cap on the dash Dog tags hangin’ from the rear view Old Skoal can, and cowboy boots And a Go Army shirt folded in the back   This thing burns gas like crazy, but that’s alright People got their ways of copin', oh, and I’ve got mine   I drive your truck I roll every window down And I burn up Every back road in this town I find a field, I tear it up 'Til all the pain’s a cloud of dust Yeah, sometimes I drive your truck   I leave that radio playin' That same ol' country station where ya left it Yeah, man I crank it up And you’d probably punch my arm right now If you saw this tear rollin’ down on my face Hey, man I’m tryin’ to be tough   And momma asked me this mornin' if I’d been by your grave But that flag and stone ain’t where I feel you anyway   I drive your truck I roll every window down And I burn up Every back road in this town I find a field, I tear it up 'Til all the pain’s a cloud of dust Yeah, sometimes I drive your truck   I’ve cussed, I’ve prayed, I’ve said goodbye Shook my fist and asked God why These days when I’m missin' you this much   I drive your truck I roll every window down And I burn up Every back road in this town I find a field, I tear it up 'Til all the pain’s a cloud of dust Yeah, sometimes (Brother, sometimes) I drive your truck   I drive your truck I drive your truck I hope you don’t mind, I hope you don’t mind I drive your truck",0.952,4,4,1,7,3,16,7,8,4,16
