,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/1250635,Lloyd,A Day in the Life,https://genius.com/Lloyd-a-day-in-the-life-lyrics,http://api.genius.com/songs/1250635,None,2009-06-16,"Umm umm oh I love what you do and I love what you doing to me girl Yeah yeah yeahhh   Check it out Lately I been hearing that you alone yeah you finally quit him on your now so I'm wishing that You would come to me and play the pisition be in my world oh baby girl you know that you got the part without the Audtion cause you know that you the right type that I been missing I need you in my life oh yeah   I just want you to understand the kind of love I got kind of man I'm I just need to hold you Baby let me show you (you) ain't gone worth of nothing let me introduce you to a day in the life, a day in the life, a day in the life If beening my girl come let me in joy you treat you like a queen a spoil you can nobody love you better when you with me forever Never wanna go a day in the life, a day in the life, a day in the life of beening my girl baby come experience what it like in my world Can nobody can love you better when you with me forever never wanna go never wanna you don't wanna go   If your body is causing problems just let me touch on it I bet I can solve them all I listen to your wispering Say what you like cause all I need is premission to you there on a get away welcome to my world baby it's your day I'm about you in a real inmagine a life time baby this is your first taste oh yeah     Oh baby girl yeah you know that I be giving you the utlc I'm diggin on you you diggin on me ohhhh and your my queen so come with me yeah So you can the life live and want you to be right beside me ohhhhh baby girl I'm talking about forever let's start by spending the day together  ",0.9953,1,4,3,4,17,6,21,3,2,7
1,1,/songs/477615,Lloyd,All I Need,https://genius.com/Lloyd-all-i-need-lyrics,http://api.genius.com/songs/477615,Hotter Than July 19th,2014-07-22,"[Prod. by Slade Da Monsta]   Oh shit, oh shit It's another hit, get up on it I'm so horny and I want it So get up on this, get up on the dick   I want you to know how deep my love goes I ain't gotta a lot of time, no speech, just follow Some tricks in and up my sleeve, at the magic show Got your body on top of me, all around, in and out you go These stars come from within' before I knew your name I was curious that you know that you feel the same And to see a smile on your face Ill do almost anything Serious, girl, I don't play no games   I wanna take you out, freak you out, bust my gun and take the charge As long as you say my name every time I break you off, girl I'll Give you what you want, cause your love is all I need Imma turn you on with all the things I do Girl you're made for me cause your love is all I need And you gon' make that sound from all the things you do   Take a break as we escape to my Decatur love Girl your wet as a dream And I'm ready to break you off I switched up, my routine is something you never saw I'mma make you scream all night long When I look into your eyes I know it's real Spend my whole life tryna find a way to show you how I feel You're the only one on my mind and you know the deal Make you feel alright, girl you know I will     I wanna take you out, freak you out, bust my gun and take the charge As long as you say my name every time I break you off, girl I'll",0.1861,7,11,4,5,7,9,13,1,8,9
2,2,/songs/86813,Lloyd,All of Me,https://genius.com/Lloyd-all-of-me-lyrics,http://api.genius.com/songs/86813,Playboy Diaries,2012-08-31," I appreciate your resistance shawty I wouldn't fuck with me either All of me that is   Hey girl, I like what you got on How bout you take it off It's just you and me don't be shy Baby show me what you're working with Damn you're so fine I've never seen a body so divine What you waiting on, come and get it Baby I just want a little bit, better yet   Take all of me All of me Cause I just wanna give you my all So can you take all of me All of me Your body's telling me what you want So Ima give it all   Where you going girl, don't run away You was talking all that shit the other day Bout how you can take it and how I wasn't ready Baby I think your mistaken Cause you're over there, I'm over here Now you're looking scared, watch it disappear Told you Ima come correct And I ain't even break a sweat Girl I ain't even finished yet   Can you take all of me All of me Cause I just wanna give you my all So can you take all of me All of me Your body's telling me what you want So I'ma give it all   Hold up, Wale though Love what she need But a brova really just can't give in But that's it what she bring Got me thinking I can reconsider Got me thinking she can be my Mrs Got me thinking that I need to stop tripping Smoke and talk about our pain Drink until we in our feelings Uh, what's rough for her is I like her when I like her And she dislike the fact cause I like the fact that can't fight back But she loves more And she loves hard when she does so when Im on and on Cause the last time I said the last to my old flame was a false alarm I know I know I'm not the best A monogamy would be a optimist And let God protect as far as having you Give me half of you, He can have the rest No promises believe it's all just game girl Cause if I go inside that I bet you go insane girl   Take all of me (work) All of me Cause I just wanna give you my all So can you take all of me All of me Your body's telling me what you want So I'ma give it all So I'ma give it all So I'ma give it all Yea, this that good ole top down For you shawty, just you So I'ma give it all",0.9627,10,7,4,10,10,13,18,3,4,12
3,3,/songs/1812840,Lloyd,All of Me Lyrics,https://genius.com/Lloyd-all-of-me-lyrics-lyrics,http://api.genius.com/songs/1812840,None,2016-06-28,"(Intro - Wale) I appreciate your resistance shawty I wouldn't fuck with me either All of me that is  (1st Verse - Lloyd) Hey girl, I like what you got on How bout you take it off It's just you and me don't be shy Baby show me what you're working with Damn you're so fine I've never seen a body so divine What you waiting on, come and get it Baby I just want a little bit, better yet  (Chorus - Lloyd) Take all of me All of me Cause I just wanna give you my all So can you take all of me All of me Your body's telling me what you want So Ima give it all  (2nd Verse - Lloyd) Where you going girl, don't run away You was talking all that shit the other day Bout how you can take it and how I wasn't ready Baby I think your mistaken Cause you're over there, I'm over here Now you're looking scared, watch it disappear Told you Ima come correct And I ain't even break a sweat Girl I ain't even finished yet  (Chorus - Lloyd) Can you take all of me All of me Cause I just wanna give you my all So can you take all of me All of me Your body's telling me what you want So Ima give it all  (3rd Verse - Wale) Hold up, Wale though Love what she need But a brova really just can't give in But that's it what she bring Got me thinking I can reconsider Got me thinking she can be my Mrs Got me thinking that I need to stop tripping Smoke and talk about our pain Drink until we in our feelings Uh, what's rough for her is I like her when I like her And she dislike the fact cause I like the fact that can't fight back But she loves more And she loves hard when she does so when I'm on and on Cause the last time I said the last to my old flame was a false alarm I know I know I'm not the best A monogamy would be a optimist And let God protect as far as having you Give me half of you, He can have the rest No promises believe it's all just game girl Cause if I go inside that I bet you go insane girl  (Chorus - Lloyd) Take all of me (work) All of me Cause I just wanna give you my all So can you take all of me All of me Your body's telling me what you want So Ima give it all (x3) Yea, this that good ole top down For you shawty, just you So Ima give it all",0.9627,10,7,4,10,10,13,21,3,4,12
4,4,/songs/53340,Lloyd,All The Way,https://genius.com/Lloyd-all-the-way-lyrics,http://api.genius.com/songs/53340,None,2016-06-28,  Hey its Taniya So what time you coming through? I think I'm ready   Do you like Love baby? Hey Baby how u off and on You know I never ever do you wrong I never ever put no pressure on Even though instead I guess your bed hear me coming   Baby I been thinking bout it for a long time I just bein’ real my body right Tonight is the night Will you be the one to change my life?   When I touch you (shooting star) Start to feel good (take me far) All the night and (you’re in my heart) You’ve got me going all the way   Wanna be the first Wanna be the last Wanna be the best That you’ve ever had Baby cause tonight we go all the way And then tomorrow we won’t be the same   Baby take it slow I’ll tell you where to go Take it from the bed down to the floor   Baby girl tonight we go all the way And then tomorrow we won't be the same Baby would u trust me Tell me all the things you wanna try I know we’ve talked about it a thousand times But that’s on the phone so Now that we’re alone I Think its time   Im not afraid I know you’re gonna make my body shake I hope you think I was worth the wait Were doing big things Your patience I so appreciate   When I touch you My heart beats Start to feel good I’m so ready Wanna touch you Boy set me free Tonight were going all the way   Wanna be the first Wanna be the last Wanna be the best That you’ve ever had Baby cause tonight we go all the way And then tomorrow we won't be the same  Girl I take it slow Tell me where to go Take it from the bed down to the floor Baby girl tonight we go all the way Then tomorrow it won't be the same  We almost there We can't turn back now Its too late Just relax And baby I won’t hurt you no!  You’ve got my heart and you rock my world And its gonna be everything that you could ever want in your dreams  Wanna be the first Wanna be the last Wanna be the best That you’ve ever had  Baby cause tonight we go all the way And then tomorrow we won't be the same  Girl I'll take it slow Tell me where to go Take it from the bed Down to the floor  ,0.9934,3,22,1,4,16,9,20,2,4,7
5,5,/songs/1051947,Lloyd,Angel,https://genius.com/Lloyd-angel-lyrics,http://api.genius.com/songs/1051947,King Of Hearts,2011-08-09,Heaven put an Angel at my side With wings like shelter in the night Just hold me close for a little bit longer Stay with me 'til the morning flight  Maybe I'm a fool to fall for angels Maybe I'm a fool to fall for angels Maybe I'm a fool to fall for angels 'Cause they always fly away  Fly on angel go be free Won't you come back home and dance with me Hold me close just a little bit longer Until heaven calls you away from me  Maybe I'm a fool to fall for angels Maybe I'm a fool to fall for angels Maybe I'm a fool to fall for angels  Give me wings to fly away Like Icarus I'm having a bad day See your shadow on the sun As you're flying far away  Maybe I'm a fool to fall for angels Maybe I'm a fool to fall for angels Maybe I'm a fool to fall for angels 'Cause they always fly away,-0.9287,1,12,10,2,13,19,15,10,12,14
6,6,/songs/2797835,Lloyd,Another Try,https://genius.com/Lloyd-another-try-lyrics,http://api.genius.com/songs/2797835,None,2016-06-28," You still my shawty from the south side Down to ride for me, shotgun in my ride You was there through the good and the bad, when we lost what we had Never meant for it to end like that, aw no I remember how it felt for ya When I started playing games, it was hell for ya You told me if I chose to be a player, I would regret it later All that's really left for me to say is   Girl, I never meant to break your heart And I know I let it go too far Now that I'm not with you Girl, I really miss you Cause I never thought I'd say goodbye And I never meant to make you cry Now that I'm here trying to make things right Could you give me another try? Could you give me another try? Girl, I never meant to break your heart And I know I let it go too far Now that I'm not with you Girl, I really miss you Cause I never thought I'd say goodbye And I never meant to make you cry Now that I'm here trying to make things right Could you give me another try? Girl, I never meant to break your heart And I know I let it go too far Now that I'm not with you Girl, I really miss you Cause I never thought I'd say goodbye And I never meant to make you cry Now that I'm here trying to make things right Could you give me another try?",-0.9724,2,4,2,2,1,8,1,7,4,1
7,7,/songs/3914840,Lloyd,Appreciation Day,https://genius.com/Lloyd-appreciation-day-lyrics,http://api.genius.com/songs/3914840,Tru,2018-08-31," I wanna say thank you to my mama and my daddy For making love the night that you had me Wanna thank my friends, my sister and my brother Mercedes for my peers, damn I love you like no other (I) wanna thank my teachers, (I) shout out to my preachers (I) wanna thank my speakers, for giving me something to reach for (I) wanna thank my fans from the Cali or the Compton They know in this time I get this motherfucker popping I wanna say to my cousin thanks for showing love When I really needed guidance, but selling dope or thugging Seventeen with a gun, a day I got arrested Saved by Irv Gotti, he told me drop my blessing   So many lessons I'd been learned the hard way Just look how far we came from hanging in the hallways Now I dedicated my life to what the song say There for me, here for you, yeah that’s what I’ll do I wanna be there for you, will you be there for me, yeah, baby   I send the letter to the eastside of heaven In reason, miss your dollar, nobody need it better My best friend Bonnie was [?] at twenty Until you have your freedom, I keep [?] money Seems I’ve been getting older, from a two seater to a Rover Needed more room for brandy, lil’ Henny and a stroller Gotta live stronger since I went vegetarian I hope I live longer, dying ain’t that scary   So much love I’ve been giving in my lifetime Without this music, damn I swear, I’d probably lose my mind She’s there for me, and I’m here for you, yeah that's what I’ll do For me   Ah yeah Shh, quiet, Khujo’s  coming, ok ok Blessing, well, what is a blessing? Well, blessing is a gift from the creator of heaven and earth to see in all and [?] Well, in order to receive a gift from the father You must have favor Well how do I have favor man? By being obedient to his word which are instructions from heaven Well, what is his word man? Well, you can hear him talking man, in genesis all the way to Malachi Man, that’s the law and the prophecy, you know what they called the Old Testament Like, yeah, might heard of that man That’s what’s up So study this all yourself, approve man And get that blessing Open your hand wide So you can receive your blessing Don’t close your hands, open them wide Not gonna receive your blessings when you got your hands close Yeah Amen, thank you God for this life Thank you God, I’m so thankful Thank you God",0.9994,8,20,5,7,26,7,40,6,6,29
8,8,/songs/32042,Lloyd,ATL Tales/Ride Wit Me,https://genius.com/Lloyd-atl-tales-ride-wit-me-lyrics,http://api.genius.com/songs/32042,Southside,2004-07-20," Nobody cares... Trouble's like a cancer, you gotta get it early You don't get it early it gets to big, it kills you Nobody cares... that's why you gotta cut it out Nobody cares, capeesh Worry about yourself, your family, and people that are important to you Let me tell you something... When your alone late at night in the bed Just you and her under the covers You're only allowed three great women in your life (Is it better to be loved or feared?) They come along like the great fighters, once every ten years Nobody cares (That's a good question It's nice to be both but it'd be very difficult) That's it, capeesh (If I had my choice I'd rather be feared, see fear last longer than love) Don't forget where you came from {*beat begins*} Yeah, hell yeah I'd like to welcome everybody Inside the world of Murder I-N-C And I'd like to introduce to y'all My nigga, ATL's own huh Lloyd, Lloyd   Ladies come step inside with me To take this ride with me To see the top of the globe Courtesy of Murder I-N-C's Provided privacy, nobody'll know Yeah I know I brought the mob with me Cause obviously a lot of niggas snitch on the low Just open your eyes, and see all these blind lies he done told I realize how niggas fantasize And the unreal truth gets sold to the youth While others try to provide their souls to the booth Fuck that, I'm bustin' back through the roof Thugs tact or not, hard top or drop Show em' how to rock and rock and roll and rock How to relocate and open shop Bringin' everything I know I got   Ain't no stoppin' what we doin' Oh, feels like I been waitin' a while Know it's been a long time comin' so ride We gon' keep on movin' It's my time to steer it now Oh, right here and now   Niggas come and take this ride with me Bricks and pies we'll see on the side of the road Where everyday different bodies decay Niggas is rotten in graves gettin' dropped in a hole Follow me and come ride with this Hide with and keep your eyes on watchin' for the po's Cause they don't know about Where we be hidin' out better turn up your jets Headed right there yet, better build up your rep Cause my niggas cash checks from Hollis to the Dec Holla at me my nigga I gotta good connect Outbid for the complex, polishin' the Lex Redbone bagets, French robes is fresh Love money and sex, the best of the best When it's all said and done it's your time to invest You just got to do it for yourself   Yeah, yo Look here my lil' nigga, let me talk to you for a minute I'mma tell you about this business and these cash incentives About these fake ass bitches and these bitch ass niggas How to spot the cowards from the killers, the flowers from the spitters This industry is all smoke and mirrors But we in the street niggas so our focus is to finish niggas off How often do we put a nigga on So you must be the chosen one Your priority concern is never leave your residence without your gun Cause you'd rather be caught with than without one Trust me I'm like that old gangsta named Lucky Niggas know that my hands are dirty but still can't touch me In this game, if you clean, you can get all the money When it starts gettin' dirty they look at you funny Cause it's ""A Bronx Tale"" like Calogero and Sonny And that bus don't stop for everybody, call it Keep your nose clean fuckin' with addicts and alcoholics Cause I'll have us on the bed with some hood bitches from Georgia That's ATL for you, New York's no different It's L.A. and Miami that's how they visit Keep your eyes on these snitches and fraud ass niggas They claim to be gangstas as soon as you see em' split em' It's a cold world, be grateful that the Lord's forgiving And be happy you ain't dead, sick, or in prison My nigga   Ladies come take this ride with me Niggas come take this ride with me Ladies come take this ride with me Niggas come take this ride with me Ride with me, ride with me Oh, it's Murder INC",-0.9896,21,17,17,23,14,31,39,17,10,24
9,9,/songs/907309,Lloyd,Bang!!!!,https://genius.com/Lloyd-bang-lyrics,http://api.genius.com/songs/907309,King Of Hearts,2011-05-05," Bang bang, switch lanes like a drive-by I am so fly, man I might as well sky dive Black girls, white lies, you know that ain't your damn sister Every time you on that liquor, all you do is damn lick her Pick of the litter, man I'm dogging that Kitten, are you kidding that? Like a head roll, this gon get horrific I like mine real specific, that's petite with a big purse And some tattoos and a hairdo I'mma whip it till my wrist hurt I'mma get it to the dessert Eat her up like dessert Heard that you been a bad bitch, I did my research   Girl, you know it You sexy, love how you show it Yeah you bad, explosive Go tell them bloggers that they can quote me You got that bomb bomb B-b-b-bomb that bomb Booty clapping the thunderstorm Girl you know you t-turn me on really You go hum hum when them cameras on I think got it all from your mom Please correct me girl if I'm wrong Easy, your booty   And how you drop it just makes me wanna beat it up Slow it down and speed it up up (your body bang) See that bubble butt mixed with what's up in my cup Makes me want you in this club club (your body bang)   Bang bang bang bang Your body bang Bang bang bang bang   Shawty call me Chef Boyardee, how I be cooking The way I whip it up in the kitchen My recipe for love, that's what you came for If it get too hot, don't worry shawty, I can cool off Down down d-d-d-down Every time that you c-come around I can tell that I l-love you now Really for, really Every day girl and any hour Anyway girl I need you now No delay girl you should just come see me, see me   And how you drop it just makes me wanna beat it up Slow it down and speed it up (your body bang) See that bubble butt mixed with what's up in my cup Makes me want you in this club club (your body bang)   Bang bang bang bang Your body bang Bang bang bang bang Your body body...   Uh, uh, my body bang I make them doggies bark bark Keep his soldier on march When I drop this pretty little thang I tear it up like ""Beat it!"" This booty popping, slap it I bet you fall in love with fantasy Fantasy, fa-fa-fan-tasy, ay Be my dirty boy-boy, let's play naughty ga-a-a-ames Rock paper scissors, I'mma give you shivers Giddy up horsey, I'mma show you how I ride it trigger Uh, uh-oh daddy! I see you want my body So keep biting your lips just while I bang   And how you drop it just makes me wanna beat it up Slow it down and speed it up up (your body bang) See that bubble butt mixed with what's up in my cup Makes me want you in this club club (your body bang)   Bang bang bang bang Your body bang Bang bang bang bang  [Post-Hook/Pre-Hook: Lloyd] And how you drop it just makes me wanna beat it up Slow it down and speed it up up (your body bang) See that bubble butt mixed with what's up in my cup Makes me want you in this club club (your body bang)",0.5935,62,8,51,52,8,75,18,56,46,7
