,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/304803,Lorde,2014 Tour Dates,https://genius.com/Lorde-2014-tour-dates-lyrics,http://api.genius.com/songs/304803,None,2018-02-14,Lorde - 2014 Tour DatesClick on the images to see if Lorde is coming to your city!  USA Tour (Part 1)   North America Tour (Part 2)   New Zealand Tour (Part 3),0.0,0,1,0,0,0,0,0,0,0,0
1,/songs/215157,Lorde,400 Lux,https://genius.com/Lorde-400-lux-lyrics,http://api.genius.com/songs/215157,Pure Heroine,2013-09-27,"   We're never done with killing time Can I kill it with you 'Til the veins run red and blue? We come around here all the time Got a lot to not do, lemme kill it with you   You pick me up and take me home again Head out the window again We're hollow like the bottles that we drain You drape your wrists over the steering wheel Pulses can drive from here We might be hollow but we're brave   (And I like you) I love these roads where the houses don't change (And I like you) Where we can talk like there's something to say (And I like you) I'm glad that we stopped kissing the tar on the highway (And I like you) We move in the tree streets I'd like it if you stayed   Now we're wearing long sleeves And the heating comes on You buy me orange juice We're getting good at this Dreams of clean teeth I can tell that you're tired But you keep the car on While you're waiting out front   You pick me up and take me home again Head out the window again We're hollow like the bottles that we drain You drape your wrists over the steering wheel Pulses can drive from here We might be hollow, but we're brave   (And I like you) I love these roads where the houses don't change (And I like you) Where we can talk like there's something to say (And I like you) I'm glad that we stopped kissing the tar on the highway (And I like you) We move in the tree streets I'd like it if you stayed   We're never done with killing time Can I kill it with you? 'Til the veins run red and blue We come around here all the time Got a lot to not do, let me kill it with you   (And I like you) I love these roads where the houses don't change (And I like you) Where we can talk like there's something to say (And I like you) I'm glad that we stopped kissing the tar on the highway (And I like you) We move in the tree streets I'd like it if you stayed   And I like you... And I like you... I like you",0.999,5,12,3,9,11,11,19,12,4,8
2,/songs/2218876,Lorde,All Apologies,https://genius.com/Lorde-all-apologies-lyrics,http://api.genius.com/songs/2218876,None,2014-04-10," What else should I be? All apologies What else could I say? Everyone is gay What else could I write? I don't have the right What else should I be? All apologies   In the sun, in the sun, I feel as one In the sun, in the sun Married, buried   I wish I was like you Easily amused Find my nest of salt Everything is my fault I'll take all the blame Aqua seafoam shame Sunburn, freezer burn Choking on the ashes of her enemy   In the sun, in the sun, I feel as one In the sun, in the sun Married, buried Married, buried Yeah, yeah, yeah ,yeah   All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are All in all is all we are",0.5362,2,8,3,5,9,8,12,5,8,10
3,/songs/215152,Lorde,A World Alone,https://genius.com/Lorde-a-world-alone-lyrics,http://api.genius.com/songs/215152,Pure Heroine,2013-09-27,"   That slow burn waits while it gets dark Bruising the sun I feel grown up with you in your car I know it's dumb   We've both got a million bad habits to kick Not sleeping is one We're biting our nails, you're biting my lip I'm biting my tongue But people are talking, people are talking But people are talking, people are talking   Raise a glass, 'cause I'm not done saying it They all wanna get rough, get away with it Let 'em talk, 'cause we're dancing in this world alone World alone, we're alone   All my fake friends and all of their noise Complain about work They're studying business, I study the floor And you haven't stopped smoking all night Maybe the Internet raised us, or maybe people are jerks (the people are talking, people are talking) But not you (the people are talking, people are talking)   Raise a glass, 'cause I'm not done saying it They all wanna get rough, get away with it Let 'em talk, 'cause we're dancing in this world alone World alone, we're alone   All the double-edged people into schemes They make a mess, then go home and get clean You're my best friend and we're dancing in a world alone A world alone, we're all alone   I know we're not everlasting We're a trainwreck waiting to happen One day the blood won't flow so gladly One day we'll all get still, get still (The people are talking, people are talking...) (The people are talking, people are talking...) (The people are talking, people are talking...) (The people are talking, people are talking...)   Raise a glass, 'cause I'm not done saying it They all wanna get rough, get away with it Let 'em talk, 'cause we're dancing in this world alone World alone, we're alone   All the double-edged people in schemes They make a mess, then go home and get clean You're my best friend and we're dancing in a world alone A world alone, we're all alone   But people are talking, people are talking... But people are talking, people are talking... But people are talking, people are talking... But people are talking, people are talking... Let 'em talk",-0.8963,4,3,3,1,6,11,14,3,2,7
4,/songs/197655,Lorde,Biting Down,https://genius.com/Lorde-biting-down-lyrics,http://api.genius.com/songs/197655,Pure Heroine (Extended),2013-03-08," It feels better biting down It feels better biting down It feels better biting down It feels better biting down It feels better biting down It feels better biting down   Skip a hit, don't make a sound (It feels better biting down) Breathed so deep, I thought I'd drown (It feels better biting down) Listen to the beats resound (It feels better biting down) It feels better biting down (It feels better biting down)   It feels better biting down It feels better biting down   Skip a hit, don't make a sound (It feels better biting down) Breathed so deep, I thought I'd drown (It feels better biting down) Listen to the beats resound It feels better biting down It feels better biting down   The electronics of your heart See how fast they fall apart (It feels better biting down) The electronics of your heart See how fast they fall apart (It feels better biting down)   (It feels better biting down) Skip a hit, don't make a sound (It feels better biting down)",0.9938,3,2,0,2,0,10,3,4,0,3
5,/songs/138669,Lorde,Bravado,https://genius.com/Lorde-bravado-lyrics,http://api.genius.com/songs/138669,Pure Heroine (Extended),2013-03-08,"   All my life, I've been fighting a war I can't talk to you or your friends It's not only you My heart jumps around when I'm alluded to This will not do Cause I was raised up to be admired, to be noticed But when you're withdrawn It's the closest thing to assault when all eyes are on you This will not do   I'm faking glory Lick my lips, toss my hair And turn the smile on And the story's brand new But I can take it from here I'll find my own bravado   It's a switch flipped, it's a pill tipped back, it's a moon eclipse And I can tell you that when the lights come on I'll be ready for this It's in your bloodstream, a collision of atoms that happens before your eyes It's a marathon run or a mountain you scaled without thinking of size I was frightened of every little thing that I thought was out to get me down To trip me up and laugh at me but I learned not to want the quiet of a room with no one around to find me out I want the applause, the approval, the things that make me go oh   It's a switch flipped, it's a pill tipped back, it's a moon eclipse And I can tell you that when the lights come on I'll be ready for this It's in your bloodstream, a collision of atoms that happens before your eyes It's a marathon run or a mountain you scaled without thinking of size I was frightened of every little thing that I thought was out to get me down To trip me up and laugh at me but I learned not to want the quiet of a room with no one around to find me out I want the applause, the approval, the things that make me go oh",0.9563,4,7,1,4,8,9,17,2,9,7
6,/songs/215166,Lorde,Buzzcut Season,https://genius.com/Lorde-buzzcut-season-lyrics,http://api.genius.com/songs/215166,Pure Heroine,2013-09-27,"   I remember when your head caught flame It kissed your scalp and caressed your brain (I remember when your head caught flame) Well you laughed, baby, it's okay It's buzzcut season anyway (Well you laughed, baby, it's okay)   Explosions on TV And all the girls with heads inside a dream So now we live beside the pool Where everything is good   We ride the bus with our knees pulled in People should see how we're living (We ride the bus with our knees pulled in) Shut my eyes to the song that plays Sometimes this has a hot, sweet taste (Shut my eyes to the song that plays)   The men up on the news They try to tell us all that we will lose But it's so easy in this blue Where everything is good   And I'll never go home again (place the call, feel it start) Favourite friend (and nothing's wrong when nothing's true) I live in a hologram with you We're all the things that we do for fun (and I'll breathe, and it goes) Play along (Make-believe it's hyper real) But I live in a hologram with you   Cola with the burnt-out taste I'm the one you tell your fears to There'll never be enough of us   Explosions on TV And all the girls with heads inside a dream So now we live beside the pool Where everything is good   And I'll never go home again (Place the call, feel it start) Favourite friend (And nothing's wrong when nothing's true) I live in a hologram with you We're all the things that we do for fun (And I'll breathe, and it goes) Play along (Make-believe it's hyper real) But I live in a hologram with you",0.9881,3,8,2,4,12,7,16,2,7,10
7,/songs/312949,Lorde,Everybody Wants to Rule the World,https://genius.com/Lorde-everybody-wants-to-rule-the-world-lyrics,http://api.genius.com/songs/312949,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack),2013-11-15," Welcome to your life There's no turning back Even while we sleep We will find you   Acting on your best behavior Turn your back on Mother Nature Everybody wants to rule the world   It's my own designs It's my own remorse Help me to decide Help me make the most of freedom And of pleasure Nothing ever lasts forever   Everybody wants to rule the world   There's a room where the light won't find you Holding hands while the walls come tumbling down When they do, I'll be right behind you So glad we've almost made it So sad we had to fade it Everybody wants to rule the ( world ) Everybody wants to rule the ( world ) Everybody wants to rule [ instrumental hold ] the world",0.9542,0,2,0,5,3,3,4,2,0,7
8,/songs/576834,Lorde,Flicker (Kanye West Rework),https://genius.com/Lorde-flicker-kanye-west-rework-lyrics,http://api.genius.com/songs/576834,"The Hunger Games: Mockingjay, Pt. 1",2014-11-10,"[Produced by Kanye West, Mike Dean and Noah Goldstein]   I'm a princess cut from marble, smoother than a storm And the scars that mark my body, they're silver and gold My blood is a flood of rubies, precious stones It keeps my veins hot, the fires find a home in me I move through town, I’m quiet like a fight And my necklace is of rope, I tie it and untie it   And now people talk to me, but nothing ever hits home People talk to me, and all the voices just burn holes I’m done with it (ooh)   This is the start of how it ever ends They used to shout my name, now they whisper it I'm speeding up and this is the Red, orange, yellow flicker beat sparking up my heart We’re at the start, the colors disappear I never watch the stars, there’s so much down here So I just try to keep up with them Red, orange, yellow flicker beat sparking up my heart   I dream all year, but they're not the sweet kinds And the shivers move down my shoulder blades in double time   And now people talk to me I'm slipping out of reach now People talk to me, and all their faces blur But I got my fingers laced together and I made a little prison And I'm locking up everyone who ever laid a finger on me I’m done with it (ooh)   This is the start of how it ever ends They used to shout my name, now they whisper it I'm speeding up and this is the Red, orange, yellow flicker beat sparking up my heart We’re at the start, the colors disappear I never watch the stars, there’s so much down here So I just try to keep up with them Red, orange, yellow flicker beat sparking up my heart   And this is the red, orange, yellow flicker beat Sparking up my heart And this is the red, orange, yellow flicker beat-beat-beat-beat",-0.8191,10,12,1,10,6,9,14,4,4,5
9,/songs/222402,Lorde,Glory and Gore,https://genius.com/Lorde-glory-and-gore-lyrics,http://api.genius.com/songs/222402,Pure Heroine,2014-03-11,"   There's a humming in the restless summer air And we're slipping off the course that we prepared But in all chaos, there is calculation Dropping glasses just to hear them break You've been drinking like the world was gonna end (it didn't) Took a shiner from the fist of your best friend (go figure) It's clear that someone's gotta go We mean it, but I promise we're not mean   And the cry goes out (oh!) They lose their minds for us And how it plays out (oh!) Now we're in the ring And we're coming for blood   You could try and take us But we're the gladiators Everyone a rager But secretly they're saviors Glory and gore go hand in hand That's why we're making headlines You could try and take us But victory's contagious   Delicate in every way but one (the swordplay) God knows we like archaic kinds of fun (the old way) Chance is the only game I play with, baby We let our battles choose us   And the cry goes out (oh!) They lose their minds for us And how it plays out (oh!) Now we're in the ring And we're coming for blood   You could try and take us But we're the gladiators Everyone a rager But secretly they're saviors Glory and gore go hand in hand That's why we're making headlines You could try and take us But victory's contagious   No one 'round here's good at keeping their eyes closed The sun's starting to light up when we're walking home Tired little laughs, gold lie promises, we'll always win at this I don't ever think about death It's alright if you do, it's fine We gladiate but I guess we're really fighting ourselves Roughing up our minds so we're ready when the kill time comes Wide awake in bed, words in my brain, ""Secretly you love this Do you even wanna go free?"" Let me in the ring, I'll show you what that big word means   You could try and take us But we're the gladiators Everyone a rager But secretly they're saviors Glory and gore go hand in hand That's why we're making headlines You could try and take us But victory's contagious",0.9958,10,17,10,15,17,19,22,11,9,18
