,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/29497,Ludacris,1st & 10,https://genius.com/Ludacris-1st-and-10-lyrics,http://api.genius.com/songs/29497,Incognegro,2000-05-16," Click, click Click, click Yeah Click, click DTP nigga!  [Verse 1: Infamous 2-0] I started with ten mack tens and ten clips and ten pens Got ten times richer in the span of ten years Bitch, I'm ten times two on a scale of one to ten I'll battle ten crews with the strength of ten men   At nine, I was into crime, sex, and drugs Pushin' an '89 Box Chevy sittin' on dubs Nine thugs all ski masks, black suited with gloves Break the imprinted chest with at least nine slugs   Man I ate eight clips with eight chicks, watching eight flicks You's 8-6 if you ate pussy with fake lips I figure eight when my mind goes in circles Did I do that? Or was it Mystikal and Urkel?  [Verse 4: Infamous 2-0] On to 7 Ak 47, so what? I got seven hoes stoppin' by at seven to fuck Then put seven in your chest seven days a week And add a foot for good measure you'll be seven feet deep  [Chorus: Infamous 2-0, Fate Wilson & Ludacris] It goes 10-9-8-7-6-5-4 3-2-murder 1 lyrics at your door These DTP niggas come ready for war So don't start the fucking game if you won't settle the score   I got six hoes distributing on six blocks It's blistering from cops tryna stop these rocks from distributing Six gun shots left, one pint of Vodka before this pimp will hit It's street justice, now it's six hole in your casket   Give me a high five and I'll put that nine lower than your esophagus Then smack you so hard that you have to come with 2Pacalypse Five stars, twenty rims, five cars I'd add more but I had to subtract one from five bars  [Verse 7: Infamous 2-0] I got four forty-fours on a rip on the floor For you niggas talkin' shit, I'm fixin' to show you what for I did four months in the bing instead of a hearse Now it's DTP for life, dog for better or worse   I fuck three best friends, ran on all three the same game In these streets I'm a murderer, I got three alias names I'm three times insane, three shots will cave your brain On 3 fire and ready, cock back and aim  [Chorus: Infamous 2-0, Fate Wilson & Ludacris] It goes 10-9-8-7-6-5-4 3-2-murder 1 lyrics at your door These DTP niggas come ready for war So don't start the fucking game if you won't settle the score   I'm packing two twenty-twos and twice the ammunition But at Friday the 13th, what's up now superstition? I'm a two timer with a couple of twins, double jeopardy With a pair of two deuces in the two seater Benz   I got one motto get dough 'til you're gone I got one main lady the rest of y'all is hoes I'm numero uno with one more before I go If you think I ain't the one bitch you too slow  [Verse 11: Infamous 2-0] And all you zero ass niggas ain't nothin' to me Because I chop up O's, move dro', and chop keys 0-6 is my clique along with PC Pretty Rick, Calil, V-Slim and Shondrez   It goes 1 to 10 and 10 to 1 Ludacris, Fate Feeze, and that nigga I-Twun It goes 1 to 10 and 10 to 1 Ludacris, Fate Feeze, and that nigga I-Twun  [Chorus: Infamous 2-0, Fate Wilson & Ludacris] It goes 10-9-8-7-6-5-4 3-2-murder 1 lyrics at your door These DTP niggas come ready for war So don't start the fucking game if you won't settle the score",23,23,16,28,8,44,22,13,10,14,-0.989
1,1,/songs/147963,Ludacris,9 Times Out Of 10,https://genius.com/Ludacris-9-times-out-of-10-lyrics,http://api.genius.com/songs/147963,#IDGAF,2013-05-03,"   9 time out of 10 I’m probably fucking with some hoes At the strip club playing ""eeny meeny miny moe"" Walk in side the booty club, I’m picking any one I want 9 times out of 10 I’m probably fucking with some hoes   9 time out of 10 I’m probably fucking with some hoes At the strip club playing ""Eeny meeny miny moe"" Walk in side the booty club, I’m picking any one I want 9 times out of 10 I’m probably fucking with some hoes like ""Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe""   50 thousand hanging from my earlobe With a bank account that most niggas would kill for Stupid retarded crib, and all my whips clean Rocking some Jays that don’t come out 'til 2015 I’m moonwalking bitch, yeah I’m Michael Jackson Thriller fresh Slipped inside the Mirror, saw a pimp nigga in the flesh Spray some Polo cologne, to match my Polo socks Now Coke bottle bitches, make your soda pop And drop it like I ain't ever seen you drop it before ho Drop it for a legend or this DTP logo Drop it for a little free marketing and promo And let me Instagram this photo   9 time out of 10 I’m probably fucking with some hoes At the strip club playing ""eeny meeny miny moe"" Walk in side the booty club, I’m picking any one I want 9 times out of 10 I’m probably fucking with some hoes like ""Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe""   Scrolling through my Ho-lodex ""eeny meeny miny moe"", let’s see what hoe is next So many to choose from, I can’t make up my mind But whoever I pick better get up on the dick real quick, don’t waste my time 'Cause I got shit to do, so I’m just bout to smash Soon as I’m through with you, back to counting this cash I’m hung low to all these women, I’m their antidote And when they on my dick look like they riding a banana boat But on they period, I don’t want them mislead So it’s a sign by my bed that say “No turn on red” Treating women like spades, I’m so unstoppable Just tying to leave the club with 'bout 3 and I’m possible   9 time out of 10 I’m probably fucking with some hoes At the strip club playing ""eeny meeny miny moe"" Walk in side the booty club, I’m picking any one I want 9 times out of 10 I’m probably fucking with some hoes like ""Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe""   Whattup French? Holla at 'em Coke Boys in the house that cost a house Disturbing The Peace, smoking that loud Throw up 50 like nothing 'cause bitch I’m worth 20 Ms Brick throwing got your bitch jumping like Shawn Kemp Got a neck full of gold, fresh out the 'lympics (bling) Stack never fold, pussy clap on the pole Louis tax counting mills, Louis on that field Coming fresh out the corner now he on that hill With your, bitch, blowing smoke nigga I ain’t, gang, banging, but Luda that’s my folk nigga 9 times out of ten house money I spend Take your bitch and her friends Montana   9 time out of 10 I’m probably fucking with some hoes At the strip club playing ""eeny meeny miny moe"" Walk in side the booty club, I’m picking any one I want 9 times out of 10 I’m probably fucking with some hoes like ""Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe Eeny meeny miny moe, eeny meeny miny moe""",16,19,11,12,6,27,15,15,3,14,-0.914
2,2,/songs/29551,Ludacris,Act a Fool,https://genius.com/Ludacris-act-a-fool-lyrics,http://api.genius.com/songs/29551,Chicken-n-Beer,2003-05-20," Drop! 2 Fast Drop! 2 Furious I'm too fast for y'all, man Drop! 2 Fast Drop! 2 Furious I'm too fast for y'all, man   AHH, you just came home from doin a bid Tell me whatcha gon do? ACT A FOOL Somebody broke in and cleaned out your crib BOY whatcha gon do? ACT A FOOL Just bought a new pair and they scuffed your shoes Tell me whatcha gon do? ACT A FOOL Now them cops tryna throw you in them county blues BOY whatcha gon do? ACT A FOOL   Talkin about gats, traps, cops and robbers It's 9-1-1, PLEASE CALL THE DOCTOR Evacuate the building and trick the pigs Since everybody wanna piece, we gon split ya wigs See some fools slipped up and over-stepped they boundaries You about to catch a cold, STAY THE FUCK AROUND FROM ME Ya peeps talkin 'bout what kinda shits he on You disappear like ""POOF, BITCH BE GONE"" You think twelve gon' catch me, GIMMIE A BREAK I'm super-charged with the hide-away license plate It seems they wanna finger print me and gimmie some years They'll only get one finger while I'm shifting gears I got suede on my roof, wood grain on the dash Sheep skin on the rug, Golden Grain on the stash Hydraulics all around so I shake the ride We go FRONT, BACK AND SIDE TO SIDE, WHAT   Some punk just tripped up and made you spill your drink Tell me whatcha gon do? ACT A FOOL Now your car just stopped on a empty tank BOY whatcha gon do? ACT A FOOL If you got late bills and you lost your job Tell me whatcha gon do? ACT A FOOL If you about to get drunk and you ready to mob BOY whatcha gon do? ACT A FOOL   Let's take it to the streets cuz I'm ready to cruise Just bought me and my cars all some brand new shoes And the people just stare so I LOVE TO PARK IT And I just put a computer in the glove compartment With the pedal to the floor, radar in the GRILLE TV in the middle of my STEERING WHEEL It's my car's birthday so we BLOWIN THEM CANDLES More speakers in the trunk than my ride can handle Got my name in the headrest, read it and weep NOS tank in the back, camel hair on the seat And when I pull up to the club, I get all the affection Cuz the women love the paint and they can see their reflection I'm about to take off, so F what ya heard Because my side mirrors flap like a FUCKIN BIRD And the fools, we gon CLOCK ONE and we'll POP ONE Cuz my folk ridin shotgun with a shotgun   You just got hustled for a wad of cash Man whatcha gon do? ACT A FOOL Now your friends just smoked up your brand new stash Say whatcha gon do? ACT A FOOL Now them gulls up the block still runnin they mouth BOY whatcha gon do? ACT A FOOL If anyone talk bad about the Dirty South Tell me what I'm gon do? ACT A FOOL   I got my eyes wide shut and my trunk wide open Did donuts last week and the streets still smoking See, I'm off that anti-freeze and my car is TIPSY Off the off ramp doin about a hundred and fifty Rollin through East Point, on way to Ben Hill Slide a five to the junkie to clean my windshield Got the whole crew ridin and we startin SHIT I even got a trailer hitch with the barbeque pit Now all you wanna do is get drunk and pout Plus your new name is Fire cuz we stomped you out And yeah, we blow trees and beez that's fantastic So gulls hold ya weave while I'm weaving through traffic I kicked to fifth gear and teared the road apart You'll be like lil John Q and get a Change of Heart It's one mission, two clips and some triple beams I'm ABOUT TO BLOW THIS WHOLE SHIT UP TO SMITHEREENS   The pot holes in the street just bentcha rims Tell me whatcha gon do? ACT A FOOL MAN, THAT AIN'T STICKY, THAT'S JUST STICKS AND STEMS BOY whatcha gon do? ACT A FOOL Catch ya man with another bitch up in ya bed Ladies whatcha gon do? ACT A FOOL If the bottles all gone and your eyes are red BOY whatcha gon do? ACT A FOOL   2 Fast, 2 Furious... 2 Fast... ACT A FOOL 2 Fast, 2 Furious... 2 Fast... ACT A FOOL 2 Fast, 2 Furious... 2 Fast... ACT A FOOL 2 Fast, 2 Furious... 2 Fast... ACT A FOOL",16,6,47,14,9,60,16,8,9,11,-0.9988
3,3,/songs/738,Ludacris,Area Codes,https://genius.com/Ludacris-area-codes-lyrics,http://api.genius.com/songs/738,Word of Mouf,2001-06-26," I’ve got hoes, I’ve got hoes In different area codes (Area), area codes (Codes) Hoes! Hoes, hoes, in different area codes (Area) Area codes (Codes) Hoes!   Now you thought I was just 7-7-0, and 4-0-4? I'm worldwide, bitch act like y'all don't know It's the abominable ho man Globe-trot international post man Neighbor-dick dope man 7-1-8's, 2-0-2's I send small cities and states I-O-U's 9-0-1, matter of fact 3-0-5 I'll jump off the G4, we can meet outside So control your hormones and keep your drawers on 'Til I close the door and I'm jumping your bones 3-1-2's, 3-1-3's (oh) 2-1-5's, 8-0-tree's (oh) Read your horoscope and eat some hors d'oeuvres 10 on pump one; these hoes is self serve 7-5-7, 4-1-0's, my cell phone just overloads   I’ve got hoes, I’ve got hoes In different area codes (Area), area codes (Codes) Hoes! Hoes, hoes, in different area codes (Area) Area codes (Codes) I’ve got hoes!   Now every day is a ho-ly day, so stop the violence and put the 4-4 away Skeet, shoot a ho today 5-0-4, 9-7-2's 7-1-tree, whatcha gon' do? You checking out the scene, I'm checking a ho tonight With perpendicular, vehicular ho-micide 3-1-4, 2-0-1 (hey) Too much green, too much fun (hey) I bang cock in Bangkok Can't stop, I turn and hit the same spot, think not I'm the Thrilla in Manila, schlong in Hong Kong Pimp 'em like Bishop, Magic, Don Juan Man after Henny with a coke and a smile I just pick up the motherfuckin' phone and dial I got my condoms in a big ass sack I'm slanging this dick like a New Jack   Is it cause they like my gangsta walk? Is it cause they like my gangsta talk? Is it cause they like my handsome face? Is it cause they like my gangsta ways? Whatever it is, they love it and they just won't let me be I handles my biz, don't rush me, just relax and let me be free Whenever I call (I call), come running 2-1-2 or 2-1-3 You know that I ball (I ball), stop fronting Or I'll call my substitute freak (hoes)   I’ve got hoes, I’ve got hoes In different area codes (Area), area codes (Codes) Hoes! Hoes, hoes, In different area codes (Area) Area codes (Codes) I’ve got hoes!   9-1-6, 4-1-5, 7-0-4 Shout out to the 2-0-6 Everybody in the 8-0-8 Ha-ah, 2-1-6, 7-0-2, 4-1-4 3-1-7, 2-1-4's and the 2-8-1's 3-3-4, 2-0-5, I see ya Uh-uh, 3-1-8, 6-0-1's, 2-0-tree 8-0-4, 4-0-2, 3-0-1 9-0-4, 4-0-7, 8-5-0 7-0-8, 5-0-2 Hoes in different area codes, know that Southern Hoes-pitality, Northern Exhoes-ure Ha-ha, ho ridin' on the West coast Ya understand what I'm saying? Ho-cus pocus, you the dopest Hoes to the right, hoes to the left, 5 hoes this time Whoo! Ho no! The Hip-hop ho-ller-coaster, that's what we on right now Ha-ha, no need to get all ho-stile Def Jam South baby, Disturbing Tha Peace Jazze Pheezy, Uncle Face Ludacris, uh, hoes... I'm sweating like a motherf",9,9,6,5,10,10,19,4,6,12,0.7499
4,4,/songs/59251,Ludacris,Badaboom,https://genius.com/Ludacris-badaboom-lyrics,http://api.genius.com/songs/59251,1.21 Gigawatts: Back To the First Time,2011-11-15,"Big Bada boom, Luda’s in this bitch Pussy niggas clear the room I came through the door, I said it before I’m the truth in this booth and you niggas all hoes Counterfeit rappers say I’m stealing their flows But I can’t steal what you never made up bitch Y’all some duplicate rap cloning niggas I manufacture you hoes -- put on your makeup, bitch Let me explain, nothing’s been new since Big Daddy Kane Flows will get recycled passed around to different names But what’s the same, that every verse I spit is insane Got more styles than any rapper in the game, 11 years and still counting And y'all get a couple hit records, make some noise and have the nerve to start shouting Who’s gassing ‘em, they blowing smoke up your ass, you fired up but I’m just puff puff passing ‘em Until they roaches, buried in my ashtray Nigga burn slow, better pray like it’s your last day You lying to yourself, just admit it May not like the way I use it but you know you ain't invent it boy Do your research before you make a claim so bogus That's disrespecting pioneers in the game Fuck the fame but go ahead and get ya 5 minutes Then you front line cadets can report to your lieutenants See I’m ya past, I’m ya future and ya present So watch ya fucking mouth when you speak about a legend 16 times platinum, 6 number 1 peaks So I can give a fuck what you sold in ya first week You’s weak, softer than the Pillsbury dough boy Don’t make me expose the truth, you’s a ho, boy Don’t make me get on that ""Stomp"" shit and get back at it You rappers ain't even in my fucking tax bracket Why am I wasting my time Yeah I admit I get a little ludicrous with my rhymes, sometimes But my fans know the difference because “My Chick Bad” went platinum Still winning, motherfucker  The nerve of you niggas man You ain't got enough medals on your jacket to address me boy Fall back in formation, y’all outta line I was told not to kill a mosquito with a cannon So the next time you gnats got a real problem Don’t be a coward like a nigga that used to be signed to me going on twitter rants and shit Nigga, say it to my face",13,10,18,16,4,27,18,13,5,12,-0.9961
5,5,/songs/720797,Ludacris,Beast Mode,https://genius.com/Ludacris-beast-mode-lyrics,http://api.genius.com/songs/720797,Ludaversal,2015-03-31," Uh, mic check 1-2 (Go get 'em) Listen close, nigga, yeah   Uh, if rappers want it, they can get it Flow tighter than four fat bitches sittin' in a Civic My flows are unimaginable, Hannibal Lecter shit Eatin' emcees for breakfast, bitch Since I was born to touch the mic,The First Time it's been a problem Your life was a mistake, your pops should've wore a condom You niggas think you hard, I think you better come harder (Go hard) I leave rappers confused, like will.i.am's barber Ah, fuckin' with Luda's not a great look A verse'll make your fans, unfriend you on Facebook Click, my styles are goin' into labor So if stars won a war, I'm their daddy like Darth Vader And since I'm always high, it's kind of hard to overlook me For over a hundred stacks, it's kind of hard to overbook me And a whole 'nother house for my cars is on my checklist Cause to fit 'em in one garage, is like a nigga playin' Tetris But they say patience is a virtue, cause I got your bitch stayin' out way past her curfew Guess I was a thief, that got away with these words Slangin' chickens out my whip, like I been playin' Angry Birds In a black Rolls Royce, Dark Knight like Batman Everywhere you turn, the Ghost follows like Pac-Man And I sleep with the John Dillinger And always keep an eye half-open, like Forest Whitaker No, you boys ain't ready for combat Be more worried if I renew my Def Jam contract What path is he on? Opponents, I laugh and be gone They handin' in the towels like they work in Bed, Bath & Beyond But in the midst of all the melee, y'all niggas just bitches with dicks like Sheneneh Your rap styles are phony, your lines are just dead And I be on them lines, like a nigga just played Guess I'm tryin' to say I'm advanced, you intermediate You wouldn't know the real me, if your bitch Wikipedia'd it Just know that I never tried to be hard Probably cause Mr. Glock 40's my security guard You'll get chopped like judo Gangs in my hood make you reverse And change your color like the block's playin' Uno And, yes, some of my friends is still sellin' them drugs But I just say they Weight Watchers like Jennifer Hud They show me love That's why I'll always stay reppin' until the death of me Rappers talk shit, but ain't nobody ever stepped to me I hereby command all my fans' to inject it Overdose on Red Bull in your veins, if you ever slept on me (wake up) Yeah, my mind is sharper than a guillotine All the nines extended, from the knuckles of Wolverine Not a X-Man, but, man, I got that X Some of my artists switch labels, but I still get a check The more albums they sell, the more we all win And I can be seen in thirty rocks like Alec Baldwin Or watchin' CBS in a Cadillac DTS I plan to reach the world, man, your plan is MetroPCS (can you hear me now) I changed my music up cause I was gettin' bored You may not like the way I shoot, but my points go on the board My name still engrained and these books will be the outcome And this one verse is harder than a lot of niggas' albums   Peace, fuck out of here, rewind that shit Ha-ha-ha, Luda, ain't shit changed",20,13,20,21,10,34,27,17,10,15,-0.1456
6,6,/songs/29516,Ludacris,Blow It Out,https://genius.com/Ludacris-blow-it-out-lyrics,http://api.genius.com/songs/29516,Chicken-n-Beer,2003-09-28," AOWWWW! I never used to snore in my sleep 'til this rap shit started Warm thoughts fill the hot-headed and cold-hearted Your whole paycheck, you burp it and then fart it And y'all think I'm gon' stop? BLOW IT OUT YA ASS! In one year I got rich, now life's movin so fast But bein broke with no food is just a thing of the past Plus I'm the new phenomenon like white women with ass And y'all prayin that I flop? BLOW IT OUT YA ASS! In New York I buy clothing, in Cali I get green In Atlanta I get sleep, in Texas I sip lean All these rappers wanna know what I'm gettin for sixteens Try 80, want a discount? BLOW IT OUT YA ASS! See in just six months I infiltrated the system If you find somebody better, then I'm sorry I missed him Niggas hate givin me props cause I might use it against them C'mon, get Ludacris out! BLOW IT OUT YA ASS!   If you mad I'm on top, then wish me gone If you mad I'm on the road, then wish me home And if you mad that I'm right, punk wish me wrong But after your three wishes - BLOW IT OUT YA ASS!   It's time to saddle up the Tontos cause I'm the Lone Ranger I eat dinner with Jews but don't talk to strangers I'm just a few albums from filling your disc changer If you ever think of stoppin me - BLOW IT OUT YA ASS! I'm a hustler by nature but criminal by law Any charges set against me, chunk it up and stand tall Next year I'm lookin into buyin Greenbriar Mall You probably own a lot of property! BLOW IT OUT YA ASS! C'mon and take a look, he's got gigantic balls Plus his money keeps flowin like Niagara Falls We all know Jesus saves and Ludacris withdraws I'm 'bout to go on vacation - BLOW IT OUT YA ASS! Shout out to Bill O'Reilly, I'mma throw you a curve You mad cause I'm a THIEF and got away with words I'mma start my own beverage, it'll calm your nerves Pepsi's the New Generation - BLOW IT OUT YA ASS!   My black people show me love when I'm up on the block And Latinos always waitin for my CD's to drop White people love the flow, they say, ""Dude, you fuckin rock!"" Yo' fans are my fans, right? BLOW IT OUT YA ASS! So find my album in the stores and look for the white steam Rip it open, play it and yo' momma might scream It's hard, other albums are softer than ice cream Yo' scans are my scans, right? BLOW IT OUT YA ASS! Now Luda's throwin up A's, and I'm lightin up L's Around the globe gettin paid, you home bitin yo' nails DTP, the only label that practice fightin ourselves We probably gettin on your nerves, huh? BLOW IT OUT YA ASS! I been eatin and gettin FAT while y'all dyin of hunger I get drunk in the winter, stay high in the summer Watch out, my album's puttin up McDonald's numbers You over 6 million served, huh? BLOW IT OUT YA ASS!    BLOW IT OUT YA ASS! WHOO!",13,12,11,11,11,19,27,12,5,16,-0.9992
7,7,/songs/29527,Ludacris,Blueberry Yum Yum,https://genius.com/Ludacris-blueberry-yum-yum-lyrics,http://api.genius.com/songs/29527,The Red Light District,2004-12-07," Yeah, uhh Think I'mma try somethin that I ain't I ain't never did before on this one Let's go   Get your lighters, roll that sticky, let's get higher (let's get higher) Got that blueberry yum yum and it's that fire (it's that fire) Get your lighters, roll that sticky, let's get higher (let's get higher) Got that blueberry yum yum and it's that fire (it's that fire)   Got a little bit of blueberry yum yum And I never woulda thought that it could taste this gooooooooood Thank God for the man who put it in my hooooooood It's got me singin melodies I never thought I woooooould I'm feelin sorry for the homies who be smokin woooooood Chop chop, break it down for a player like ye ye ye ye.. I'm 'bout to find me a woman and skeet skeet skeet skeet.. I'mma keep smokin 'til I reach my peak peak peak peak.. Or 'til I'm stuck and my body feels weak weak weak weak.. Headed down to the Dungeon, wonderin, if they got some mooooore And if they don't then I'mma haveta, settle fa, some 'droooooo But it just ain't cool cause right on after, I'mma have-ta go And continue on my mission fishin for the yum yum but I'm movin slowwww   Get your lighters, roll that sticky, let's get higher (let's get higher) Got that blueberry yum yum and it's that fire (it's that fire) Get your lighters, roll that sticky, let's get higher (let's get higher) Got that blueberry yum yum and it's that fire (it's that fire)   Yes fire fire got me so tired, I'mma stop drop and rollllllll Put a wet towel under the doooooooooooor Don't pass it I can't take it no moooooooooooore Somebody take a trip down to the stoooooooore Hurry please, cause I need some snacks snacks snacks snacks.. And how long will it take it to get back back back back..? Yes indeed, I'm a little off track track track track.. Off this weed, and I'm full of that 'gnac 'gnac 'gnac 'gnac.. Get on in that stankin Lincoln, crank it up, and riiide And it ain't enough room to fit the, other chicks, insiiiide I'm so hungry with the munchies I'mma eat eveyrthing, in siiight Me and my blueberries together and everything's, alriiiiight   Get your lighters, roll that sticky, let's get higher (let's get higher) Got that blueberry yum yum and it's that fire (it's that fire) Get your lighters, roll that sticky, let's get higher (let's get higher) Got that blueberry yum yum and it's that fire (it's that fire)   Get the propane, roll dem thangs, and let's blow dis place uuuuuuuup You already know what'suuuuuuuuuuuup I mighta had to pay some extra buuuuuuuucks But I really don't give a fuuuuuuuuuuck Cause a brother feels great great great great.. But I'm barely awake wake wake wake.. All bent out of shape shape shape shape.. So stomp on yo' brake brake brake brake.. If you tokin good then all the smokers, let me see, your flame Don't know what you got but my bag'll, put yo' stuff, to shame All the different kinds and other flavors, they don't mean, a thang You can't compare it don't stare cause I got the ultimate Mary Jane   Get your lighters, roll that sticky, let's get higher (let's get higher) Got that blueberry yum yum and it's that fire (it's that fire) Get your lighters, roll that sticky, let's get higher (let's get higher) Got that blueberry yum yum and it's that fire (it's that fire)",1,14,9,21,4,10,20,2,3,12,-0.773
8,8,/songs/639220,Ludacris,Burning Bridges,https://genius.com/Ludacris-burning-bridges-lyrics,http://api.genius.com/songs/639220,Ludaversal,2015-03-31," When all your love is lost And burning bridges can't be crossed Lord won't you let me know Or give me one more reason to go When all your love is lost And burning bridges can't be crossed Lord won't you let me know Or give me one more reason to go   I done took all I could take from you Need a little bit more than a break from you Matter of fact fuck you, don't need you in my life You done did so much wrong I hope you get it right But not at my expense, I did all I could do You just took me for granted, you thought I was a fool When I did everything in my power to help and please you But I don't know you no more, fuck it, I caught amnesia Too many emotions I try to bury But the higher I climb, the less weight I'm trying to carry Dem niggas holdin' on for dear life, bringin' me drama But I'm only responsible for my daughters Cai and Karma Nigga you's a grown man, get yourself together Forget about the past, now's a better time than never Matter of fact, It's time to start making better decisions So put your fires out, and stop burning 'Cris' bridges You little bitches   When all your love is lost And burning bridges can't be crossed Lord won't you let me know Or give me one more reason to go   Yeah, this industry's full of bullshitters And all this time you thought you had me fooled niggas In my ferrari partner thought he saw a spaceship Cos I move in speed not to get caught up in this fake shit Smiling in my face when I'm around y'all But soon as I leave, niggas be prayin' on my down fall Is it cause you'll never sell as many records? My bitches always look better, you fail at business endeavours? Or that people thought you were clever, but now they know you stupid? And misery loves company now that you're going through it? Somebody tell these rappers I walk hard in these Louis So get out of here, you don't want no part of this shit, Dewey I see them drugs got y'all trippin' too soon That's why you find me in the club, every once in a blue moon So while you contemplate making your first million I'll be somewhere contemplating on making my first billion And then, trillion   When all your love is lost And burning bridges can't be crossed Lord won't you let me know Or give me one more reason to go   The biggest mistake we make as individuals Is thinking everyone lives by the same principles But when I talk by the same teachers and principals For you to know it's not the money, it's the principle So I can't expect you to know what I'm talkin' 'bout Our issues are deep within, we can't just talk 'em out Niggas is fighting inside, we can't just walk 'em out These bridges burning so fast, we can't just stomp 'em out As if you know what I'm talkin' 'bout   When all your love is lost And burning bridges can't be crossed Lord won't you let me know Or give me one more reason to go",9,12,12,5,11,28,35,14,6,17,-0.9749
9,9,/songs/29561,Ludacris,Call Up the Homies,https://genius.com/Ludacris-call-up-the-homies-lyrics,http://api.genius.com/songs/29561,Theater of the Mind,2008-11-24," + (The Game) I just touched down in killa Cali, strapped up my boots Got scooped up by Game so I hopped up in the Coupe (Ahh, whattup nigga?) What the hell is goin on? I'm tryin to ease back and get my head in the zone (Then where the fuck you tryin to go?) Nigga this yo' city Anywhere, I'm just tryin to see some ass and titties So fool mash the gas, the night is young All bullshit aside I'm tryin to have some fun Hit the hop in Lakewood, or ride down Slauson Or the casino, they say it's just like Compton (ha ha) Really doesn't matter, long as shots don't rang out (Nigga I stay strapped, I don't wanna pull the thang out) Well keep the heat heat right up under the seat And let's roll to Roscoe's and grab somethin to eat But check your rearview mirror, I swear somebody's followin Rollin in that dark blue SS Impala and All up on the bumper, man I'm just sayin Tell me you know this nigga (nah, they better stop playin) He sped up around and drove right in front of us Could be one-time just tryin to bust one of us 'Til he smashed the brakes and we almost hit him Throwin signs out the window like somethin was wrong wit him Before we jump out and get ready to clown (Nigga call up the homies, it's about to go down)   + (The Game) Keep one eye open cause the streets don't sleep (If the streets get hungry then the streets gon' eat) That's why I keep some heat and a couple of rounds, nigga (Call up the homies, it's about to go down) Call up the homies, it's about to go down? (Yeah, call up the homies, it's about to go down) Yeah that's why I keep some heat and a couple of rounds Nigga call up the homies, it's about to go DOWN   + (Ludacris) Somebody tell Luda I'm on the way now (aight) Just stepped one size 12 Air Force 1 in the A-Town (ha ha ha) And you know where I'm headed To the Lennox Mall to get it done head to toe NWA style (do it) Keep it gangsta from the waist down And this chrome trey-pound got me feelin Atlanta +Brave+ now (right) Disturbin' Tha Peace, I'll let the lead spray I'm startin to love this place, they even got Red Clay (okay) Hit a different strip club e'ry day (yeah) And I don't make it rain, it's a hurricane on the way (ha ha ha) And I got the A-Town pump It'll make your whole body do the A-Town stomp (woo!) Then it's off to the Waffle House And pancake mix ain't the only thing comin out her mouth And her 42 D's comin out her blouse Her baby daddy comin in (Game, get out the house, and)   Yeah, I'm in a real-life movie, so this is take three When Luda step foot out in Phoenix, A-Z Superbowl super hoes, rappers on stroll So I put the call in to Willy Northpole   + (Ludacris) Woo, big homie I got ya, stick to you like a cactus Welcome to the Bird City, Chris, take off your jacket I know you kinda used to big booties in the club But ain't nothin wrong to have a lil' sauce in your blood I see a couple thugs with some bitch tendencies My town, but I still got Phoenix enemies (yup) Haters wanna stop 'em and I really wanna pop 'em But it's hard to fight back when you got an album droppin (connects) We in South Phoenix, niggas Africa bang Matter fact, Chris, tuck in your Africa chain (what?) Cause I see some niggas starin at us with a lame frown I'mma call up the homies (it's about to go DOWN)  [Hook/Outro: Ludacris] + (Willy Northpole)",14,8,6,9,7,24,22,9,6,8,0.8444
