,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/187519,Luke Bryan,All My Friends Say,https://genius.com/Luke-bryan-all-my-friends-say-lyrics,http://api.genius.com/songs/187519,I'll Stay Me,2007-01-22," I got smoke in my hair My clothes thrown everywhere Woke up in my rocking chair Holding a beer in my hand Sporting a neon tan   My stereo cranked up I can't find my truck How'd I get home from the club Ain't got a clue what went down So I started calling around   And all my friends say I started shooting doubles When you walked in All my friends say I went a little crazy Seeing you with him You know I don't remember a thing But they say I sure was raising some cain I was a rock star, party hard Getting over you comeback kid Yay I must have did What all my friends say Yeah, Yeah, Yeah   I found my billfold I cried oh no no Good time Charlie got me now I'm broke But it was worth acting like a fool Yeah girl I must have really showed you   Cause all my friends say I started shooting doubles When you walked in All my friends say I went a little crazy Seeing you with him You know I don't remember a thing But they say I sure was raising some cain I was a rock star, party hard Getting over you comeback kid Yay I must have did What all my friends say Yeah, Yeah, Yeah   I was Elvis rocking on the bar Working the crowd pouring out my heart   And all my friends say I started shooting doubles When you walked in All my friends say I went a little crazy Seeing you with him You know I don't remember a thing But they say I sure was raising some cain I was a rock star, party hard Getting over you comeback kid Yay I must have did What all my friends say Yeah, yeah, yeah",0.9977,6,6,1,7,15,8,23,4,1,18
1,/songs/187575,Luke Bryan,Apologize,https://genius.com/Luke-bryan-apologize-lyrics,http://api.genius.com/songs/187575,Doin' My Thing,2009-10-06," I'm holding on your rope Got me ten feet off the ground I'm hearing what you say But I just can't make a sound You tell me that you need me Then you go and cut me down but wait You tell me that you're sorry Didn't think I'd turn around, and say   That it's too late to apologize It's too late I said it's too late to apologize It's too late   I take another chance Take a shot, take a fall for you I need you like a heart needs a beat But it's nothing new I loved you with the fire red Now it's turning blue, and you said Sorry like the angel Heaven let me think was you But I'm afraid   That it's too late to apologize It's too late I said it's too late to apologize It's too late   I said it's too late to apologize It's too late It's too late to apologize It's too late It's too late to apologize It's too late I said it's too late to apologize It's too late   I'm holding on your rope Got me ten feet off the ground",0.8549,1,2,0,4,1,21,9,27,3,11
2,/songs/698641,Luke Bryan,Are You Leaving With Him,https://genius.com/Luke-bryan-are-you-leaving-with-him-lyrics,http://api.genius.com/songs/698641,Spring Break... Checkin' Out,2015-03-10," I've been watching and talked down to you all night long Girl it's so wrong How he, don't even wanna dance with you Flipping through his phone like he don't even see You're too pretty to be left alone Sooner or later somebody's gonna take you home   Are you leaving with him? Are you leaving with me? I'm looking for my end, and it's all in While he's just waiting for the night to end I ain't never seen nothing like you But I got it in my mind what I wanna do Are you really leaving with him? Are you leaving with me?   You can sit there letting time pass Looking at your nails, staring down in your glass Or you can just look up my way See me wanting you, written on my face I ain't gonna tell you what you wanna do Cause you gonna do what you wanna do   Are you leaving with him? Are you leaving with me? I'm looking for my end, and it's all in While he's just waiting for the night to end I ain't never seen nothing like you But I got it in my mind what I wanna do Are you really leaving with him? Or are you leaving with me?   It's the last song of the night You take a sip and we locked eyes   Are you leaving with him? Are you leaving with me? I'm looking for my end, and it's all in While he's just waiting for the night to end I ain't never seen nothing like you But I got it in my mind what I wanna do Are you really leaving with him? Are you leaving with me? Are you really leaving with him? Or are you leaving with me? Come on girl, won't you go with me",0.8428,0,3,0,0,2,3,4,1,0,4
3,/songs/187522,Luke Bryan,Baby's on the Way,https://genius.com/Luke-bryan-babys-on-the-way-lyrics,http://api.genius.com/songs/187522,I'll Stay Me,2007-08-14," I aren’t been doing to right Since I met her last night Some kind of burning breakfast Lost at work state of mind We're meeting here because She mentioned that she loves This kind of sushi, veggie, raw and edgy natural stuff But I'm feeling out of place But baby's on the way   I'm just boots and a rusty Chevy My hands are sweating heavy Something she's got got me feeling like this All I got to do is play it cool And end the night with a kiss Hey, hey, baby's on the way   Aren’t going to try those lines Been used so many times Like ""when you fell from heaven did it hurt and did you cry?"" I'm just going to wear this smile Sit back and talk a while Pull a few questions from my get to know her better file Hey it’s a real good day Cause baby's on the way   I'm just boots and a rusty Chevy My hands are sweating heavy Something she's got got me feeling like this All I got to do is play it cool And end the night with a kiss Hey, hey, baby's on the way  Oh, yeah yeah   It's just a simple case of can't wait Got to be great to see her again Got to be tough to hide what's inside And in my eyes when she walks in   I'm just boots and a rusty Chevy My hands are sweating heavy Something she's got got me feeling like this All I got to do is play it cool And end the night with a kiss Hey, hey, baby's on the way   Hey, yeah, my baby's on the way Yeah, yeah, baby's on the way",0.9975,5,10,4,7,19,15,27,10,9,10
4,/songs/3262989,Luke Bryan,Bad Lovers,https://genius.com/Luke-bryan-bad-lovers-lyrics,http://api.genius.com/songs/3262989,What Makes You Country,2017-12-08," Sun coming up through the blinds on your pretty face I'm just laying in these tangled sheets, watching you walk away We been deep in love, all messed up, and everything in between From fly to fall, we tried it all Girl, we been a lot of things   But baby, we ain't never been Baby, we ain't never been bad lovers Love, we can laugh it off We both know we're better off, under covers Yeah, we might not string all the good times together But one thing's certain, not one time never, no Baby, we ain't never been Baby, we ain't never been bad lovers Not one time, baby   Weather man calling for rain on Saturday Girl, what you got goin' on, your place or my place? When its tapping on the roof, ain't nothing like you Doing what you do to me When the lightning hits, I'll be kissing on your lips Girl, the rest is history   Baby, we ain't never been Baby, we ain't never been bad lovers Love, we can laugh it off We both know we're better off, under covers Yeah, we might not string all the good times together But one thing's certain, not one time never, no Baby, we ain't never been Baby, we ain't never been bad lovers No, no, no, no, no, no  Baby, we ain't never been Baby, we ain't never been bad lovers Baby, we ain't never been Baby, we ain't never been bad lovers Love, we can laugh it off We both know we better off, under covers Yeah. we might not string all the good times togeher But one thing's certain, not one time never, no Baby, we ain't never been We ain't never been bad lovers Baby, we ain't never been Baby, we ain't never been bad lovers No, no, no",0.9926,10,21,8,9,36,12,37,9,8,16
5,/songs/187629,Luke Bryan,"Been There, Done That",https://genius.com/Luke-bryan-been-there-done-that-lyrics,http://api.genius.com/songs/187629,Tailgates & Tanlines,2011-09-05," Girl you and me ain't talking much I just slam the door and leave in my truck There aren’t nothing left for us I think enough's enough I look down see your name there on my phone Then I hit ignore and just drive on We've been living like this too long And there ain't no reason to turn around, baby you can have it all   I ain't, I ain't coming back I've already been there done that And I'm done with you messing with my mind The last time's the last time baby I can only change who I am so much And all I can give is all my love And my love ain't never been enough So I aren’t coming back I've been there done that   Street by street and town after little town Feels like I'm on the right road now I bet you're probably wondering how I could just walk out I put you high up as I could And I know I've done everything I should To try to make a bad thing good I guess it just took too long for me to see We weren't meant to be   I ain't, I ain't coming back I've already been there done that And I'm done with you messing with my mind The last time's the last time baby I can only change who I am so much And all I can give is all my love And my love ain't never been enough So I ain't coming back I've been there done that   I'll wake up, and I'll start to second guess myself And I'll crave your touch, oh but I know too well   That I ain't, I ain't coming back I've already been there done that And I'm done with you messing with my mind The last time's the last time baby I can only change who I am so much And all I can give is all my love And my love ain't never been enough So I ain't coming back No, I ain't coming back I've been there done that",0.9798,3,18,1,5,11,5,12,2,5,2
6,/songs/561181,Luke Bryan,Beer in the Headlights,https://genius.com/Luke-bryan-beer-in-the-headlights-lyrics,http://api.genius.com/songs/561181,Crash My Party,2013-08-13," Honey suckle in the air, breeze blowing through your hair Hundred stars hanging high, under your still tide Up in every move you make, baby I'm your DJ You're my favorite song, won't you let me sing along   Sittin' right here, out here in the middle of nowhere I swear I've never seen, ever seen nothing like you anywhere I got the key turned back, windows down I'm turning it up and you're spinnin' around Takin' a sip, swingin' your hips Girl, you're looking so fine, with your beer in the headlights   Heart beating like a drum, call me the lucky one Shining these Hi-Beams on you baby Boots stiring up the dirt Cottonfield concert You got the beautiful, I got the cooler full   Sittin' right here, out here in the middle of nowhere I swear I've never seen, ever seen nothing like you anywhere I got the key turned back, windows down I'm turning it up and you're spinnin' around Takin' a sip, swingin' your hips Girl, you're looking so fine, with your beer in the headlights With your beer in the headlights   Sittin' right here, out here in the middle of nowhere (nowhere) I swear I've never seen, ever seen nothing like you anywhere Oh, oh, oh   I got the key turned back, windows down I'm turning it up and you're spinnin' around Takin' a sip, swingin' your hips Girl, you're looking so fine, with your beer in the headlights With your beer in the headlights With your beer in the headlights With your beer in the headlights With your beer in the headlights",0.66,2,11,2,2,17,3,22,3,1,6
7,/songs/1448930,Luke Bryan,Better Than My Heart,https://genius.com/Luke-bryan-better-than-my-heart-lyrics,http://api.genius.com/songs/1448930,Crash My Party,2014-11-03," I'm feeling kind of banged up Slow out of the bed Neon noise and honkey-tonk wine ringing in my head Last night I saw your car I overheard your name Pilled my hat down low, wouldn't want you to know I was in this shape   Now these old beer bones Are like a rusty old plow These cigarettes eyes are 'Bout to burn out But they're still doing better Better than my heart These whiskey worn lips can't muster up a smile The soles on my boots have walked their last mile But they're still doing better Better than my heart   You filled it with your love Then you drained it out Sometimes I think you built it up Just to break it down Now that's really left Is an emptiness inside A river running cold, memories growing old Dying right there on the vine   Now these old beer bones Are like a rusty old plow These cigarettes eyes are 'Bout to burn out But they're still doing better Better than my heart These whiskey worn lips can't muster up a smile The soles on my boots have walked their last mile But they're still doing better Better than my heart Now these old beer bones Are like a rusty old plow These cigarettes eyes are 'Bout to burn out But they're still doing better Better than my heart These whiskey worn lips can't muster up a smile The soles on my boots have walked their last mile But they're still doing better Better than my heart   Yeah, they're still doing better Better than my heart Better than my heart",0.9953,5,1,2,2,9,16,10,6,5,5
8,/songs/561186,Luke Bryan,Blood Brothers,https://genius.com/Luke-bryan-blood-brothers-lyrics,http://api.genius.com/songs/561186,Crash My Party,2013-08-13," We were as young as we were dumb When we piled in an old pile of junk It was one for all, and all for one A bunch of outlaws without a gun Shootin' bad booze outta Dixie cups Chasin' every girl that wasn't fast enough No matter how bad the break or how bad the luck Or how bad the day we still had us   Blood brothers closer than your next to kin Thick as thieves and the best of friends Take a bullet for each other Yeah, brothers like that don't come cheap You fight, you cry, you lie, you bleed And you lean on one another Blood brothers   I got a scar on my cheek from a bar room brawl Wasn't meant for me but I took the fall It's a cowboy code, it's an unwrote law When you mess with one you gotta take us all   Blood brothers closer than your next to kin Thick as thieves and the best of friends Take a bullet for each other Yeah, brothers like that don't come cheap You fight, you cry, you lie, you bleed And you lean on one another Blood brothers, yeah, yeah, uh huh   Time can fly on by, everything can change Until the day we die, we'll always remain Yeah, we'll remain Yeah, yeah, yeah   Blood brothers closer than your next to kin Thick as thieves and the best of friends Take a bullet for each other Yeah, brothers like that don't come cheap You fight, you cry, you lie, you bleed And you lean on one another Blood brothers   Yeah, yeah Oh, oh Blood brothers",0.9806,16,3,13,15,5,29,18,16,6,17
9,/songs/2255958,Luke Bryan,Buddies,https://genius.com/Luke-bryan-buddies-lyrics,http://api.genius.com/songs/2255958,Kill the Lights,2015-08-07," Buddies, roll up in the morning and hand you a coffee Tell ya hurry up, the fish ain't gonna wait on you Buddies, don't give you no warning When they shoot up a stop sign out on some old county road   I've got ones that I've fought with and outrun the law with Ones that I'd give my last dime if I had it One on the wagon and one out there dragging a plow Behind an old John Deere They work hard for their money, their boots all stay muddy All my beer drinking, deer dragging, dusty dirt road riding buddies   Buddies, smell trouble 'fore it happens And when it starts to happen they're right with you rolling in a parking lot Buddies, make your girlfriends so mad, and keep your mama from sleeping 'Cause they both know too well that I've got   Ones that I've fought with and outrun the law with Ones that I'd give my last dime if I had it One on the wagon and one out there dragging a plow Behind an old John Deere They work hard for their money, their boots all stay muddy All my beer drinking, deer dragging, dusty dirt road riding buddies   I got one in a Humvee that keeps all of us free One that got his heart broke and went half crazy Got one that moved far away, one that rings my phone every day The one when he hears this he'll shed a tear They work hard for their money, everything they've got's muddy All my beer drinking, deer dragging, dusty dirt road riding, tailgating good time, trash, tall walking buddies All my buddies   Ya'll know who you are Catch ya'll on the flipside",-0.9488,7,17,11,5,15,19,17,4,5,16
