,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/60421,Lupe Fiasco,1st & 15th,https://genius.com/Lupe-fiasco-1st-and-15th-lyrics,http://api.genius.com/songs/60421,None,2018-10-01," Say is this home Widely received, whenever I touchdown Call me Young Touchdown, nothin' deeper than the end zone I had a good year, like the blimp Ice Cube's a pimp on I lips poem, the same blocks where I made everything rock like Flintstones Drop with the rims on, clock with the gemstones Can't call it like blocks on a Sprint phone Flow incredible, remember, L-U-P-Emperor Nickname December, move birds like winter Mind on my tender, move words like verb Drop lines like ""enter"" Go on and get it Crunk I ain't really gotta jump like centers Wait, while you popping and panicking Peep the demeanor that I'm standing in Unfazed like I'm mocking a mannequin Don't think its fluff cause the pampering I'm still ruff like the unpaid man Like the unpaved Madison Straight where I stay like dogs that don't move Obedient school made me so cool I was so unruly I used to chase cars, run behind female dogs Wouldn't sit with shit Now you cats can't move me   I'm a chaser And niggas tryin' to take me off my paper Like erasers Let me put you on to somethin' All I got is the other end for them And their brother men that wanna get it bubblin' It's nothing So be clear Like I'll pretend that me here Not just help a friend, believe it But if you feel you need it Then I can be your last one like Jesus With the ease to speak your English You could be as hard as sign language with no fingers Drama for the Domas, sky it so it lingers And you'll never forget, like elephants Thought you had yourself a slippa, like Cinderella prince But instead you got yourself pimpa Who wasn't hesitant to help yo limp like impotence Jack Viagra to be more exact, Emperor to Emgera Perhaps I rap to much on the issue It's back to my ritual We'll be back If I happen to miss you Clappin' the pistol Burning like clap when you piss dude Laughin' a little",0.9645,5,7,3,2,6,12,20,3,2,11
1,/songs/302059,Lupe Fiasco,4 Real,https://genius.com/Lupe-fiasco-4-real-lyrics,http://api.genius.com/songs/302059,None,2018-10-01," My heat too hard, I'm scarin' 'em Forreal, not only holding we bust Err'Day in the street my heat too hard, I'm scarin' 'em Forreal, not only holding we bust Err'Day in the street my heat too hard, I'm scarin' 'em Forreal, not only holding we bust  I'm a pimped out nigga that walk with canes Talk with slang, who ball from New York to Spain   Here's the issues, pistols next to what I piss through I speak, get it clear like lalique crystals Keep a vigil, your peeps want me to sleep where the fish do So when I sleep I keep my eyes open like a fish do So official, he's a gift too, give to them who ah Wanna see me in hell like breathin' in With nines to blow my mind like Eve and Gwen Don't speak to him, he get offended by words And send in them birds to get him disturbed While they got in their cars and protectin' their pockets like Revenge of The Nerd, ob-serve, games I play no like Injured ankle, pulled hamstring glass half empty but full canteen They always wanna rub you off when you lamping but...   It's the young capital, L-U from the Avenue Brush natural(???) in suttin' plus casual Lay a mac to get the mackerel(???), hush mad atchu Plus bullet stack crush clavicle and other bones Run up in ya mother homes, still in the office hustle on I got the forte of a young Boston Jorge who want horse play? Thorough Breds wit colt 45's in a Porsche Bring it to your doorway, we all from the streets But you do it the Broadway, you know? The kid handle who Toys better, you better play right like Andrew Lloyd Webber Never, change when I'm back at the source Niggas chains in the back of the Source So I gotta watch for that rob report, rock watches out the Robb Report And cop copper out the cop revolver   This the nigga that, push lambs in brook-land Party with thieves, keep geneves at inner in the sleeve And cook grams, you wanna see me oxed up, propped up Judge cotched up over my cases, me and K Swiss, please Small drop for the races, rocks for the bracelets Glocks for the waist, you ain't want what I pulled out The dressing draw, get pulled out like dresser draws Now undress till you draw, raw salmonella, 40 cal. Carrera Excel-or, right on top like umbrella, wait young fella Hold your horses like Trojan forces, of course this is Scarriets (???), ya'll sweet like chariots, I move work Like Marriotts(???), still pimpin', hustlin' in the same Clothes like the Simpsons, niggas keep your distance  ",0.9795,11,13,4,15,8,19,20,11,8,13
2,/songs/5556,Lupe Fiasco,Absolute Freestyle,https://genius.com/Lupe-fiasco-absolute-freestyle-lyrics,http://api.genius.com/songs/5556,Lupe the Jedi,2011-09-13,"You know My mind remain on gunplay While y'all niggas sleep like Jermaine on Sunday The heat stay packed like the train on Monday Yes, I lick off the time you gotta be there, (nine) Push by the time that you get off (five) And I pump 8's till I reach lunch break (twelve) It's bout the time that you get home (that's six) That's the gist homes That's the unofficial master plan Minus any unforeseen traffic jams Like my songs carrying the clubs like Bagger Vance Or getting' caught by them long arms Like Mr. Fantastic damn But I can't fade like Fantastic Sams and taper off I'm a better nigga man this is Edward Scissorhands with my back against the wall Till I'm a V12 6er I'm a 130-round clipper As if I was Elton Brand But I could never leave Chicago Unless heavily cargo, my jeans heavily argo My stride is stiff see I rides as if I don't need a helpin' hand, uh Pride is this, never you see I is content I'm slick I slde, I don't slip I ride Don't flip I grind when the shit hits the fan Like a line drive into the stands The shoe fits the foot the mitt fits the hand Misfits hollow tips hits ya man Swallow nicks when dicks hit the land like Snoop Dogg in his wheelchair But I'm comin' from the Chi And I flip pies 3 14-inch rims and they runnin' on the side West that is, yes, F to the I (West Side) throw it up Now back to the pies Wasn't talking 'bout Snoop Dogg's wheels there I am Farrahkahn with the Heroin Salvatore Ferragamo on my feet Pair of charms 'round my neck Skeleton Vacheron on my arm Gangsta, runnin the streets like marathon With 26 Ks now lemme break it down I'm the leader of the pack That's hard to believe if you fatiguin' in the back I'm back to the master plan I'm up front with the Africans They swallow birds like Sylvester It's the French connector Cooperstown collector Yessuh my lifestyle's the shit They shit lifestyles of that shit Yeah To sum it up I'm having a nice run You have a nice one Peace!",0.9972,10,7,6,0,3,20,12,2,5,6
3,/songs/49160,Lupe Fiasco,Accept the Troubles,https://genius.com/Lupe-fiasco-accept-the-troubles-lyrics,http://api.genius.com/songs/49160,Before There Were Lasers,2017-05-12," There's a lot of things in this world you got to accept, you know Especially me, listen   A lot of niggas be playin' the fool And I ain't havin' that shit like prayin' in school I'm gonna keep more tools than True Values that I know how to use I don't need ""how to's"" Nigga's don't believe they can bleed or bruise That's why solo niggas always leave in two's Weed and booze'll have nigga's leaking from wounds Ain't no comin' back home, Mom's leasin' your room Nigga's will lose their grins when it's Lupe and friends And them orange juice Timb's in a foregin coupe that swims Now a days emcee's be wildin' And my mic check be better than they whole album They wonder why they can't touch it Cause my shit stay over there head like carry on luggage I'd give it to any performer on any budget The rhyme in the I am niggas want nothin' of it   You got to, accept the troubles, it's not like it's hard Yeah no choice but to, accept the troubles, it's not like it's hard You know you got to, accept the troubles, it's not like it's hard Accept the troubles nigga, live with it You got to, accept the troubles, it's not like it's hard Yeah, listen, yeah   I'm never blunted Cause table's can turn like 1200s But I keep a 'three-eight' on that burn next to my stomach Shells punished concerned well from it Cause I learn customers return if the product is humming Yo it's Was, one hundred will walk for duke Runnin' best believe them bullets be in hot pursuit Especially don't pull it dawg it's not for you You dressed up like prom and deaded I'm the alarm I got Winter in my grill and Summer in my palms And numbers on your Moms dumb and dumbers for the strong I know them bars is hurting cause I'm a hard working dark child Like R. Jerkins I see the sharks lurkin', honest, hungry CCF sponser the alumni and rep Madison constant money I'm a fast learner with a fast burner And I hope you can fast, cause there's no eating when it's my turn to   Am I what you expected, the good die young and I've been resurrected The hood's my son, I'm quite impressive Best believe it's yayo with WJ Goals and them writin' credits Yo, I mouth piece niggas swearing ya tough And you're that sweet, that nasty, that gushy stuff And that 8-40 hoody with the wooden guts With the AK 4-fully that'll cook you and ya tux Ya ain't thorough, you got it mixed up like Dourough Just cause they in suits that don't mean they the Bureau Your small time so close to worthless Only feds at your house is the Postal Service It's all love why try and hate us Don't make me call thugs And you shook like vibrators Head shots to ruin your linings and tapers We hustlas flip cane like five Phi Thetas Understand nigga  ",0.9941,17,13,13,17,12,25,27,16,12,18
4,/songs/663358,Lupe Fiasco,Adoration of the Magi,https://genius.com/Lupe-fiasco-adoration-of-the-magi-lyrics,http://api.genius.com/songs/663358,Tetsuo & Youth,2015-01-20,"   You're so smart, you're like, a contemporary museum of art That farts, that's harsh, narcissism, on narcotics On sharp objects in large pockets At dark, you ain't gotta hide it, keep it, ""Metal Gear Solid"" Lead the leaders, that's how you file it, then clobber it Low on energy, find peach cobbler then gobble it, yeah It's food in them drums and boxes If you beat 'em up then they'll drop it And they'll rapidly flicker till they disappear Blinking gradually quickens 'til they isn't here And that's da da da da da da da da da da... Just to be back in, reincarnated, exact twin Exact ten, exact twelve Ba ba ba ba ba ba ba ba ba ba (Exact self) Do I really gotta say it? Didn't we all play it? Dojo, Abobo, over shoulder throw, polo Billy, Jimmy, even on the low low   Why you ready to die? You just a baby Why them tears up under your eyes? You just a baby Keep your head up in the sky, you just a baby Quit chasing money, never mind, you just a baby These Magi adore you, Adoration of the Magi These Magi adore you Why you wanna be born again? You just a baby Why you playing in the streets? You just a baby   Now let's vogue (Vogue) mountain pose (Pose) Downward facing dog (Pose) warrior pose (Pose) Tree pose, bridge pose (Pose, pose) Triangle pose, seated twist (Pose, pose) Upward facing dog (Pose, pose) pigeon pose In this bitch, that's vulgar, that's yoga Let's try it again with clothes, and closer, enclosure, exposures Quiet is kept like Rosicrucian meet Cosa Nostras on Oprah's sofa With both controllers watchin' Gazans and Ashkenazis ride roller coasters Say yeah, yeah, lots of options, now up is down, two player Now A is jump and B is punch, you seein' somethin' that wasn't there To find friendliness in a nemesis, it's a old test Three buttons, see somethin', that's emphasis on Genesis, oh yeah   Why you ready to die? You just a baby Why them tears up under your eyes? You just a baby Keep your head up in the sky, you just a baby Quit chasing money, never mind, you just a baby These Magi adore you, Adoration of the Magi These Magi adore you Why you wanna be born again? You just a baby Why you playing in the streets? You just a baby   Can't be eyes closed when you side scroll You not the first person The first person from your first curse until your first cursive And your curse words is in the curve version It occurs virgin is the word version That refers perfect to the first person In the third verse, who's really me In the third person but prefers the first one That's me, again Master cleanse in a syringe From a gerber until your first burger Pamper to her depends Everything between is just drawers Even in between is no loss Even where the king is no boss Meet it with a swing it's so south, yeah Unless you Bamm Bamm Knocking them pitches into the grand stands In the club, watching the women just do them handstands Like you a man's man That's washing down a ham with the Zam Zam Who got a baby in here with these strippers? She's two weeks pregnant Didn't even know, he's dancing with her, damn...   Why you ready to die? You just a baby Why them tears up under your eyes? You just a baby Keep your head up in the sky, you just a baby Quit chasing money, never mind, you just a baby These Magi adore you, Adoration of the Magi These Magi adore you Why you wanna be born again? You just a baby Why you playing in the streets? You just a baby",0.9803,11,16,6,12,37,31,55,11,6,21
5,/songs/6361,Lupe Fiasco,Airplanes,https://genius.com/Lupe-fiasco-airplanes-lyrics,http://api.genius.com/songs/6361,Extra Lasers,2012-07-02," Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now, wish right now Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now, wish right now   Wishes that the world could see From the position of my girl and me From the perspective of laying on the hood of a car Looking up at the stars with all the connections cut Cause when you stuck, advantages vanishes Bandages on the damages of what depression does Sequestered cause, who are they to question us? Beating up our ear drums like Question Love With all of their requests from above Press from below, only directions to bus Thus we laying in the cut on the Cutlass Supreme Looking up at the scene Hoping it doesn’t cut, the fresh and the make up Get re-fed the lines and reminded of what they mean The importance of really acting like they important And if you don’t feel ‘em you should force ‘em Now...   Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now, wish right now Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now, wish right now   Wishes that mend the broken heart Fill the open palm, pardon my flow and thoughts My departure from the norm, to parts that's more warm War torn from the marchin' of your armies and the droppin' of your bombs The walking on the waters now stomping on the pond The ripples now a wave It can’t be peaceful with a pistol in your face You can’t beat the people so you picking on they place I jump to defend, I wage with a page My pen’s mightier than them and I got missiles on the stage This couch is for the cowards and stretchers for the brave And I happily lay upon the bed that I have made Like house keep, sheets and pillow case But I don’t sleep, dreams keeping me awake They went up thinking they would never touch the ground But we gon wish it ‘pon ‘em on the way back down   Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now, wish right now Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now, wish right now   We are Lasers We shed light on injustice and inequality Lasers stand for peace Lasers stand for progression Lasers are the future We’re not losers We are",0.9966,14,12,3,18,13,28,35,12,2,19
6,/songs/3955900,Lupe Fiasco,Alan Forever,https://genius.com/Lupe-fiasco-alan-forever-lyrics,http://api.genius.com/songs/3955900,DROGAS WAVE,2018-09-21," (Are you scared? Are you scared?) Uhh, turn up, turn up   Let me flex, get up, brush sand off myself I was just holding my breath Blue shorts, red shirt, how I'm dressed I look fresh, and I feel Bleeeeeeeeeeessed What's your name? My name Alan Sounds like Aylan, I love smiling I got talents, I can do flips I can keep my balance, I love dancing Matter of fact, can I have one? Right now, y'all heard the man, lights out And the moon turns into a disco ball Heaven, better come and get your daughter Waltzing all on top of that water Then Whip, then Nae-Nae, then dip Down in my submarine I got a pair of seats Raise the periscope, to see parakeets And the dinosaurs don't be scaring me I got my own personal Dairy Queen Satisfaction is guaranteed I'm rather dashing, apparently Got an airplane too, won't you come fly through the air with me? Best thing of all My mother says that I'm very sweet Jonylah says ""It's all cool, but what about school? And ain't you Muslim? You can't talk 'til you marry me”   The waves can be your cover, the beach can be your pillow My heart can be your house, my eyes can be your windows To teach you how to swim and then we'll play Nintendo Beating all of your friends, dancing to the tempo Go Alan, go Alan Go Alan, go Alan Go Alan, go Alan, go Alan, go Alan Go Alan, go Alan, go Alan, go Alan, yeah   And they say, yeah (now entering) Now entering that Canadian Olympic swimming team And those medals are just glistening, so gold So cold, yeah And Alan did the most, all those world records he broke That's why his nickname is the lifeguard and my God is he dope Michael Phelps cannot believe it even though he is his coach He might be the next Steve Zissou, or maybe Jacques Cousteau Where he saw that little boy, go and fall off of that boat So he jumped off in that water swam him right back to the shore Now ain't that wild, crowd goes wild Little boy scared so the child won't smile So Alan get a towel to dry him off and wipe him down Put an ice cream out, that's more his style Father runs down that beach Sees his son just playin' in the sand Hugs Alan who says he's a brave little man Walk away little boy, turns around and waves his hand Call Jonylah say, ""Guess what I did today? Got my rescue on saved a kid today Had my wet suit on and my fins today Even taught him next time how to swim away"" You should really feel good that you gave your help Might get you into heaven, might raise your health Might get a lot of blessings, might raise your wealth Bet you ain't even know that you saved yourself   The waves can be your cover, the beach can be your pillow My heart can be your house, my eyes can be your windows To teach you how to swim and then we'll play Nintendo Be with all of your friends, dancing to the tempo Go Alan, go Alan Go Alan, go Alan Go Alan, go Alan, go Alan, go Alan Go Alan, go Alan, go Alan, go Alan, yeah   The waves can be your cover, the beach can be your pillow My heart can be your house, my eyes can be your windows To teach you how to swim and then we'll play Nintendo Be with all of your friends, dancing to the tempo (Are you scared?) Go Alan, go Alan Go Alan, go Alan Go Alan, go Alan, go Alan, go Alan Go Alan, go Alan, go Alan, go Alan, yeah",0.9983,2,16,3,9,31,11,38,5,13,29
7,/songs/4712,Lupe Fiasco,All Black Everything,https://genius.com/Lupe-fiasco-all-black-everything-lyrics,http://api.genius.com/songs/4712,Lasers,2011-02-22," Sometimes, you just gotta — Go!   You would never know what you could ever be If you never try, you would never see Stayed in Africa, we ain't never leave So there were no slaves in our history Were no slave ships, were no misery Call me crazy, or isn't he? See I fell asleep and I had a dream It was all black everything   Uh, and we ain't get exploited White man ain't fear it so he did not destroy it We ain't work for free, see they had to employ it Built it up together so we equally appointed First 400 years, see we actually enjoyed it Constitution written by W.E.B. Du Bois Were no reconstructions, civil war got avoided Little black sambo grows up to be a lawyer Extra extra on the news stands Black woman voted head of Ku Klux Klan Malcolm Little dies as an old man Martin Luther King read the eulogy for him Followed by Bill O'Reilly who read from the Qu'ran President Bush sends condolences from Iran Where Fox News reports live That Ahmadinejad wins the Mandela Peace Prize   You would never know what you could ever be If you never try, you would never see Stayed in Africa, we ain't never leave So there were no slaves in our history Were no slave ships, were no misery Call me crazy, or isn't he? See I fell asleep and I had a dream It was all black everything   Uh, and it ain't no projects Keepin' it real is not an understood concept Yeah, complexion's not a contest 'Cause racism has no context Hip-hop ain't got a section called ""Conscious"" Everybody rappin' like crack never happened Crips never occurred nor Bloods to attack them Matter of fact, no hood to attack in Somalia is a great place to relax in Fred Astaire was the first to do a backspin The Rat Pack was a cool group of black men That inspired five white guys called The Jacksons Eminem fitted in, but then again He inspired a black rapper tryin' to mimic him And that's what really rose up out of Michigan The ""sounding white"" rapper by the name of 50 Cent   You would never know what you could ever be If you never try, you would never see Stayed in Africa, we ain't never leave So there were no slaves in our history Were no slave ships, were no misery Call me crazy, or isn't he? See I fell asleep and I had a dream It was all black everything   Uh, and I know it's just a fantasy I cordially invite you to ask why can't it be Now we can do nothing about the past But we can do something about the future that we have We can make it fast or we can make it last Every woman queen and every man a king and When those color lines come we can't see between We just close our eyes 'til its all black every-thing   You would never know what you could ever be If you never try, you would never see Stayed in Africa, we ain't never leave So there were no slaves in our history Were no slave ships, were no misery Call me crazy, or isn't he? See I fell asleep and I had a dream It was all black everything",-0.9782,21,10,7,23,7,41,18,34,7,11
8,/songs/3289067,Lupe Fiasco,All While Doing A Rubik's Cube One-Handed,https://genius.com/Lupe-fiasco-all-while-doing-a-rubiks-cube-one-handed-lyrics,http://api.genius.com/songs/3289067,None,2017-10-25," What they say, what they say now What they say, what they say now What they say, what they say now What they say, what they say now Protect Lil B, at all costs, namsayin'   Last club, left the bathtub Like a flash flood baptism Caps sizzle packs in the van That's thizzle as Mac Drizzle Deal is half pickle Jammed as bad pistols The poorly dressed The correlated, the laureates No relation unless it's coronated to coronets As well, Oswald Cobblepot, Alpo How so Pepperpot love a heartless man in a letter that's penned to Gwyneth Paltrow The ends justify the outro Black hue, Hugh Heffner to the heifers The boy cow's a gaucho L'Oreal, story tales Brush blush on the rough cuts of the Maury fails You are not the cannon fodder, relax Catch me outside, how 'bout dat Trust all the Einsteins, if you want the facts Fuck Harvey Weinstein, if you want to act White people having serious brand issues, can't kiss you Behind the scenes, fuckin' us from the back Got too comfortable with Barack Now uncle Trump's making me feel so un-wonderful with the hat Who watchin' you by the cap Make America great again I just don't to wait at these great American gates again Patiently staying in place for 3 hours for a rollercoaster is Ridiculous Well isn't it? Protect Lil B, and all lowercase betas To overtake the haters To motivate the saviors Yeah, yeah, yeah, yea   It's all love, I don't promote violence, I'm never with the violence. So I love them and it's all good, you feel me? I'm still here, I got jumped by like 10 mothafuckas, you know what I'm sayin? Been by myself. It's all love though, like I said, it's all love",0.9939,7,8,3,5,10,14,17,5,6,12
9,/songs/1138,Lupe Fiasco,American Terrorist,https://genius.com/Lupe-fiasco-american-terrorist-lyrics,http://api.genius.com/songs/1138,Lupe Fiasco's Food & Liquor (Advance/Pre-Release Leak),2006-09-19," Close your mind Close your eyes See with your heart How do you forgive the murderer of your father? The ink of a scholar Is worth a thousand times more Than the blood of a martyr Terrorist   We came through the storm Nooses on our necks And a smallpox blanket to keep us warm On a 747 on the Pentagon lawn Wake up, the alarm clock is connected to a bomb Anthrax lab on a West Virginia farm Shorty ain't learned to walk, already heavily armed Civilians and little children is especially harmed Camoflauged Torahs, Bibles, and glorious Qurans The books that take you to heaven And let you meet the Lord there Have become misinterpretated reasons for warfare Reread them with blind eyes I guarantee you there's more there Rich must be blind 'Cause they ain't see the poor there Need to open up a park Just close ten schools, we don't need 'em Can you please call the fire department? They're down here marching for freedom Burn down their tepees Turn their TVs on to teach 'em And move   The more money that they make The more money that they make The better and better they live Whatever they wanna take Whatever they wanna take Whatever, whatever it is The more that you wanna learn The more that you try to learn The better and better it gets American Terrorist   Now the poor Ku Klux man See that we all brothers Not 'cause things the same But 'cause we lack the same color And that's green Now that's mean Can't burn his cross 'Cause he can't afford the gasoline Now if a Muslim woman Strapped with a bomb on a bus With the seconds running Give you the jitters Just imagine an American-based Christian organization Planning to poison water supplies To bring the second coming quicker Nigga! They ain't living properly Break 'em off a little democracy Turn their whole culture to a mockery Give 'em Coca-Cola for their property Give 'em gum Give 'em guns Get 'em young Give 'em fun But if they ain't givin' it up Then they ain't gettin' none And dont give 'em all Naw man, just give 'em some It's the paper Some of these cops must be Al-Qaeda Nigga, uh   The more money that they make The more money that they make The better and better they live Whatever they wanna take Whatever they wanna take Whatever, whatever it is The more that you wanna learn The more that you try to learn The better and better it gets American Terrorist The more money that they make The more money that they make The better and better they live Whatever they wanna take Whatever they wanna take Whatever, whatever it is The more that you wanna learn The more that you try to learn The better and better it gets American Terrorist   It's like Don't give the black man food Give red man liquor Red man fool Black man nigga Give yellow man tool Make him railroad builder Also give him pan Make him pull gold from river Give black man crack, Glock, and things Give red man craps, slot machines Now bring it back, bring it back, bring it back, bring it back Bring it back, bring it back, bring it back, bring it back Don't give the black man food Give the red man liquor Red man fool Black man nigga Give yellow man tool Make him railroad builder Also give him pan Make him pull gold from river Give black man crack, Glocks, and ting Give the red man craps, slot machines Now bring it back, bring it back, bring it back, bring it back Bring it back, bring it back, bring it back, bring it back, uh   American Terrorist",-0.6376,22,15,14,18,17,38,41,22,18,25
