,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3046519,Mabel,Bedroom,https://genius.com/Mabel-bedroom-lyrics,http://api.genius.com/songs/3046519,Bedroom - EP,2017-05-11," You can only see me from the waist down And I know that you can only want me when I lay down You only ever need me when the light's out Now I'm stuck in the dark 'Cause you've taken it too far   So I broke your guitar up against your television And I smashed every glass that you had in your kitchen Why don't we turn off our phones for the weekend? Don't tell your friends that we haven't been sleeping 'Cause we're keeping it secret   You can only see me in the bedroom, bedroom See me in the bedroom, bedroom You can only see me in the bedroom, bedroom See me in the bedroom, bedroom You can only see me in the bedroom, bedroom See me in the bedroom, bedroom You can only see me in the bedroom, bedroom See me in the bedroom, bedroom   Two days of the week I was your main thing 'Cause soon enough, I found out that the other days were taken So I don't believe a word that you've been saying Telling me to come over, but you know that I wasn't sober when I   Broke your guitar up against your television And I smashed every glass that you had in your kitchen Why don't we turn off our phones for the weekend? Don't tell your friends that we haven't been sleeping 'Cause we're keeping it secret   You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom, bedroom   Tension in my body A light reflecting off of me Don't we look beautiful? It's a hell of a way to fall So put your hands upon my body The sheets around me softly I know it's a broken home But I don't wanna let it go   So I throw your guitar up against your television And we break every glass that you have in your kitchen Why don't we turn off our phones for the weekend? Don't tell your friends that we haven't been sleeping 'Cause we're keeping it secret   You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom You can only see me in the bedroom, bedroom See me in the bedroom, bedroom",-0.9814,3,0,1,4,5,7,19,6,1,20
1,/songs/3269782,Mabel,Begging,https://genius.com/Mabel-begging-lyrics,http://api.genius.com/songs/3269782,Ivy to Roses (Mixtape),2017-10-11," Put your, put your, put your hands up Drop it to the floor, be a baby You used to let me drive you crazy So tell me would you go, tell me would you go, oh, oh Maybe this is good, but that's not good enough, oh, oh I blame it on you 'cause   You're not even trying, baby When we touch it's not the same So why you tryna make me stay? So why you tryna make me stay? You've been self obsessed for months You couldn't even love me once But now you tryna make me stay But now you tryna make me stay   Go on, tryna make me stay (ooh ah) I wanna see you on your knees Wanna see you begging Go on, tryna make me stay (ooh ah) I wanna see you on your knees Wanna see you begging (ooh ah) I wanna see you on your knees Wanna see you begging (ooh ah) I wanna see you on your knees Wanna see you begging   We were hanging out in the same club Bodies so busy, always rolling No sure, now you're ghosting So tell me would you go, tell me would you go, oh, oh Maybe this is good, but that's not good enough, oh, oh I blame it on you 'cause   You're not even trying, baby When we touch it's not the same So why you tryna make me stay? So why you tryna make me stay? You've been self obsessed for months You couldn't even love me once But now you tryna make me stay But now you tryna make me stay   Go on, tryna make me stay (ooh ah) I wanna see you on your knees Wanna see you begging Go on, tryna make me stay (ooh ah) I wanna see you on your knees Wanna see you begging (ooh ah) Do it like you mean it, wanna see you on your knees I wanna see you on your knees Wanna see you begging (ooh ah) I wanna see you on your knees Wanna see you begging   I wanna see you on your knees Wanna see you begging I wanna see you on your knees Under your skin, bodies rolling, no No controlling, bodies rolling, no   You're not even trying, baby When we touch it's not the same So why you tryna make me stay? So why you tryna make me stay? You've been self obsessed for months You couldn't even love me once Now you tryna make me stay Now you tryna make me stay (ooh woah)   Go on, tryna make me stay (ooh ah) I wanna see you on your knees Wanna see you begging Go on, tryna make me stay (ooh ah) I wanna see you on your knees Wanna see you begging (ooh ah) Do it like you mean it, wanna see you on your knees I wanna see you on your knees Wanna see you begging (ooh ah) I wanna see you on your knees Wanna see you begging",-0.941,4,4,3,2,11,17,11,2,4,4
2,/songs/3269798,Mabel,Come Over,https://genius.com/Mabel-come-over-lyrics,http://api.genius.com/songs/3269798,Ivy to Roses (Mixtape),2017-10-13," Won't you come over? If you don't come over Then I'm coming to you Won't you come over? If you don't come over Then I'm coming to you Don't turn your back on me Baby, turn your back on me You should know better Than to fuck with me Don't turn your back on me Baby, turn your back on me You should know better Than to fuck with me   You ask me baby, your's or mine? Why even ask? You know I'm tired If I have to call you one more time Don't make me that 'Cause you can hang out With your boys, if you want to You know I'm easy with it It's not a problem But if you told me before I would've turned my phone off Taking my clothes off   I don't want your sorrys down in writing If you were sorry, then you would've been true Do you really think it's worth us fighting? Ooh...   Won't you come over? If you don't come over Then I'm coming to you Won't you come over? If you don't come over Then I'm coming to you Don't turn your back on me Baby, turn your back on me You should know better Than to fuck with me Don't turn your back on me Baby, turn your back on me You should know better Than to fuck with me   Nah-nah Nah-nah Nah-nah, nah-nah Nah-nah-nah Nah-nah Nah-nah Nah-nah, nah-nah Nah-nah, nah-nah Nah-nah   I'm not gonna sit around all night I change my clothes, then I change my mind So long, waiting on you And that's not cool 'Cause I could've been out with my girls Like it's my birthday You know, we're always celebrating Every Thursday So, when you call me up and tell me That you want to get together That'd better come together   I don't want your sorrys down in writing If you were sorry, then you would've been true Do you really think it's worth us fighting? Ooh-aah...   Won't you come over? If you don't come over Then I'm coming to you Won't you come over? If you don't come over Then I'm coming to you Don't turn your back on me Baby, turn your back on me You should know better Than to fuck with me Don't turn your back on me Baby, turn your back on me You should know better Than to fuck with me   Nah-nah Nah-nah Nah-nah, nah-nah Nah-nah-nah Nah-nah Nah-nah Nah-nah, nah-nah Nah-nah, nah-nah Nah-nah   Maybe it's not such a big deal But I just wanna feel like a big deal To ya, late night fucking And I know we've both been working hard But we gotta make time for each other And I know we're both individual But won't you come over Won't you come over   Turn your back on me Baby, turn your back on me (Don't turn your back) You should know better Than to fuck with me Don't turn your back on me Baby, turn your back on me You should know better Than to fuck with me (You should know better)   Nah-nah (nah-nah) Nah-nah (nah-nah) Nah-nah, nah-nah Nah-nah (nah-nah, nah-nah, nah-nah) Nah-nah (nah-nah) Nah-nah (nah-nah) Nah-nah, nah-nah Nah-nah, nah-nah   Nah-nah Nah-nah Nah-nah, nah-nah Nah-nah-nah (You know you should come over) Nah-nah Nah-nah (So baby, just come over) Nah-nah, nah-nah Nah-nah, nah-nah Nah-nah",0.9317,2,13,1,3,16,6,37,2,3,21
3,/songs/4233405,Mabel,Don't Call Me Up,https://genius.com/Mabel-dont-call-me-up-lyrics,http://api.genius.com/songs/4233405,Ivy to Roses (Mixtape) [Reissue],2019-01-18," When I'm underneath the bright lights When I'm tryna have a good time 'Cause I'm good now you ain't mine Now, now, now, now, don't call me up When you're looking at my photos Getting hot, losing control You want me more now I let go Now, now, now, now   I'm over you and I don't need your lies no more 'Cause the truth is, without you, boy, I'm stronger And I know you said that I changed with my cold heart But it was your game that left scars Ooh, I'm over you   Don't call me up I'm going out tonight Feeling good now you're outta my life Don't wanna talk about us Gotta leave it behind One drink and you're outta my mind Now, now take it up Baby, I'm on a high You're alone, going out of your mind When I'm here up in the club And I don't wanna talk So don't call me up   'Cause I'm here looking fine, babe And I got eyes looking my way And everybody's on my vibe, babe Now, now, now, now, don't call me up My friends said you were a bad man I should have listened to them back then And now you're tryna hit me up again Now, now, now, now   I'm over you and I don't need your lies no more 'Cause the truth is, without you, boy, I'm stronger And I know you said that I changed with my cold heart But it was your game that left scars Ooh, I'm over you   Don't call me up I'm going out tonight Feeling good now you're outta my life Don't wanna talk about us Gotta leave it behind One drink and you're outta my mind Now, now take it up Baby, I'm on a high You're alone, going out of your mind When I'm here up in the club And I don't wanna talk So don't call me up   Don't call me up So don't call me up Don't call me up   I'm over you and I don't need your lies no more 'Cause the truth is, without you, boy, I'm stronger And I know you said that I changed with my cold heart But it was your game that left scars Ooh, I'm over you   Don't call me up I'm going out tonight Feeling good now you're outta my life Don't wanna talk about us Gotta leave it behind One drink and you're outta my mind Now, now take it up Baby, I'm on a high You're alone, going out of your mind When I'm here up in the club And I don't wanna talk So don't call me up",0.9797,13,9,13,7,12,21,41,14,11,32
4,/songs/3018553,Mabel,Finders Keepers,https://genius.com/Mabel-finders-keepers-lyrics,http://api.genius.com/songs/3018553,Ivy to Roses (Mixtape),2017-03-09," Yeah Yo, yo, yo, yo Mabel, uh   Mama, don't run away You know I got it, I know you want it I'm a phone call away You know you're on my mind I know that you wanna stay Let me take you to space I can smell you from miles away Wanna see you in lingerie Oh yeah, yeah, yeah, yeah You've got it, I want it When I'm willing to put my all in Wanna see you in the mornings It should be me that you're callin' You've got it, I want it When I'm willing to put my all in Wanna see you in the mornings It should be me that you're callin'   Put your arms all around it Take it now that you've found it It don't need to be no deeper It's finders keepers Put your arms all around it Take it now that you've found it It don't need to be no deeper It's finders keepers It's finders keepers It's finders keepers It don't need to be no deeper It's finders keepers   I got what you want If you trust me, trust me I got what you want If you trust me then trust me I got what you want, cause I got you   I don't need miracles from ya Stop going all digital on me Don't feel like you need to try and love me 'Cause I don't need a spiritual journey   Boy, why you living in fear? You don't live around here Let's make use of the timing These are the ends I stay I don't plan on coming your way Let's make use of the timing   Put your arms all around it Take it now that you've found it It don't need to be no deeper It's finders keepers Put your arms all around it Take it now that you've found it It don't need to be no deeper It's finders keepers It's finders keepers It's finders keepers It don't need to be no deeper It's finders keepers   I got what you want If you trust me then trust me I got what you want If you trust me then trust me I got what you want, cause I got you   I don't need miracles from ya' So let's keep the talk minimal Is it criminal for me to want you right here, right now? They say it's all chemical   Boy, why you living in fear? You don't live around here Let's make use of the timing No I don't mind if you take me home Didn't come here to leave on my own Let's make use of the timing   Put your arms all around it Take it now that you've found it It don't need to be no deeper It's finders keepers Put your arms all around it Take it now that you've found it It don't need to be no deeper It's finders keepers It's finders keepers It's finders keepers It don't need to be no deeper It's finders keepers   I got what you want If you trust me then trust me I got what you want If you trust me then trust me I got what you want, cause I got you",0.9816,4,5,4,4,10,7,29,1,3,38
5,/songs/3269799,Mabel,Ivy,https://genius.com/Mabel-ivy-lyrics,http://api.genius.com/songs/3269799,Ivy to Roses (Mixtape),2017-10-13," You can't keep your feet on the ground Your head's in the sky, just so you can look down But you never notice and I keep on hoping I get what the joke is I stay wide awake while you're asleep Hold everything down just so you can find peace I know you deserve it, I hope it was worth it 'Cause you got me hurting   You don't call me anymore 'Cause you're scare of what to say I'm hearing rumors through the walls About the way you misbehave You don't wanna let me know But I'm with you anyway I'm with you anyway   And we grow, yeah, we grow We're growing like Ivy, growing like Ivy And we grow, yeah, we grow We're growing like Ivy, growing like Ivy   A half way moment we live I can't forget by can always forgive You need to tell me Why can't I just say? Why can't we just be?   You don't call me anymore 'Cause you're scare of what to say I'm hearing rumors through the walls About the way you misbehave You don't wanna let me know But I'm with you anyway I'm with you anyway   And we grow, yeah, we grow We're growing like Ivy, growing like Ivy And we grow, yeah, we grow We're growing like Ivy, growing like Ivy   I'm a part of you, because you're a part of me Yeah, no matter what we do, babe We'll keep on growing like Ivy, growing like Ivy I'm a part of you, because you're a part of me Yeah, no matter what we do, babe We'll keep on growing like Ivy, growing like Ivy   Ooh, ooh We're growing like Ivy",0.9971,4,13,0,5,10,9,18,3,3,16
6,/songs/2369923,Mabel,Know Me Better,https://genius.com/Mabel-know-me-better-lyrics,http://api.genius.com/songs/2369923,None,2015-08-21," Lose a layer or two and let's get lost in time Rest your head next to mine, there's nothing left to hide Let's talk all night until the sunlight turns up   I can go all day wearing nothing but your kiss I can go all day wearing nothing but your kiss   Take it off, tell me everything Now there's nothing in between us Nothing in between us Take it off, thought I knew everything There's so much more to love about you More to love about you   Doesn't matter what you wear now that I've see you like this I thought I knew you but there's something I missed You can hold me closer, feel the warmth of my skin   I could go all day wearing nothing but your kiss I could go all day wearing nothing but your kiss   Take it off, tell me everything Now there's nothing in between us Nothing in between us Take it off, thought I knew everything There's so much more to love about you More to love about you   We go back to sleep around twenty to ten We wasted the morning but I'll do it again We go back to sleep around twenty to ten We wasted the morning but I'll do it again   Take it off, tell me everything Now there's nothing in between us Nothing in between us Take it off, thought I knew everything There's so much more to love about you More to love about you",0.9795,3,9,3,2,10,5,12,2,5,1
7,/songs/3269800,Mabel,Low Key,https://genius.com/Mabel-low-key-lyrics,http://api.genius.com/songs/3269800,Ivy to Roses (Mixtape),2017-10-13," We hang out three days from the first date My girls say it's so unlike me But I'm gonna have to leave 'Cause I've got things to do, things to do I promise that it's not what you're thinking of I can't afford to spend all my time on us   Oh, you got it in your head that I'm using you But I really do enjoy the other things we do, oh (And you can use me back) And if this is your idea of me using you Go ahead, get me back, you can use me too, oh   I thought I told you that I don't want no pressure Appreciate the effort But if you wanna be with me Baby, we gotta keep it low key No pressure Appreciate the effort But if you wanna be with me Baby, we gotta keep it low key   Don't think it's over It doesn't mean that I want you If you wanna be with me Baby, we gotta keep it low key   We play it cool, all day Monday It's not the time of the week to be talking Don't take it bad, if I'll say ""Not today, not today I just need some time looking out for me It's not that I don't like your company""   Oh, you got it in your head that I'm using you But I really do enjoy the other things we do, oh (And you can use me back) And if this is your idea of me using you Go ahead, get me back, you can use me too, oh   I thought I told you that I don't want no pressure Appreciate the effort But if you wanna be with me Baby, we gotta keep it low key No pressure Appreciate the effort But if you wanna be with me Baby, we gotta keep it low key   Don't think it's over It doesn't mean that I want you If you wanna be with me Baby, we gotta keep it low key   How'd you like that encounter? And before it's like So how come you find yourself Still by my side? Your phone kept ringing 'Cause you should've been at home Bur you're still in my bed   I thought I told you that I don't want no pressure Appreciate the effort But if you wanna be with me Baby, we gotta keep it low key No pressure Appreciate the effort But if you wanna be with me Baby, we gotta keep it low key   Don't think it's over It doesn't mean that I want you If you wanna be with me Baby, we gotta keep it low key   Don't think it's over It doesn't mean that I want you If you wanna be with me Baby, we gotta keep it low key",0.9861,1,8,1,1,13,8,32,2,1,12
8,/songs/2369821,Mabel,My Boy My Town,https://genius.com/Mabel-my-boy-my-town-lyrics,http://api.genius.com/songs/2369821,My Boy My Town - EP,2015-11-12," Straight up Tell me everything you've been through Since I've been away showing off You've got every little thing going on for you So how come we can't connect How quickly you forget Straight up Tell me everything you've been through   Let's meet in the middle, cause we both want a little bit more If I waste what you're giving then I won't forgive it You'll leave me just wanting it all Let's meet in the middle Halfway in the middle Let's meet in the middle Halfway in the middle   Play tough So now you're way too busy for me to be the one I love What you  made of You've gotta show me if you want me to belong to you Not just be a silhouette, someone that you'll forget Play tough So now you're way too busy for me   Let's meet in the middle, cause we both want a little bit more If I waste what you're giving then I won't forgive it You'll leave me just wanting it all Let's meet in the middle Halfway in the middle Let's meet in the middle Halfway in the middle   Don't hide it, don't hide it I can see you tryna hide it I'm tired of this fighting, just take me there Head in the clouds and it's driving me crazy I'm tired of this fighting, just take me there Don't hide it, don't hide it I can see you tryna hide it I'm tired of this fighting, just take me there Head in the clouds and it's driving me crazy I'm tired of this fighting, I'm tired   So let's meet in the middle, cause we both want a little bit more If I waste what you're giving then I won't forgive it You'll leave me just wanting it all Let's meet in the middle Halfway in the middle Let's meet in the middle Halfway in the middle",-0.9641,6,0,3,8,1,30,11,10,3,5
9,/songs/3919681,Mabel,One Shot,https://genius.com/Mabel-one-shot-lyrics,http://api.genius.com/songs/3919681,Ivy to Roses (Mixtape) [Reissue],2018-08-31," So I'ma make one stop for you, for you And you only got one shot, don't ignore, yeah 'Cause I'm so choosy, choosy, yeah, yeah Mans say I'm too bougie, bougie, yeah, yeah So I'ma give you one shot, go ahead, pour it   You know that I feel you Say you wanna get familiar But I got tunnel vision, tunnel vision I like what I see but that don't mean I'm with Oh Lord, no, no I need something, real, yeah   Flashing your wrist on your rollie, rollie Like your time is precious Talking to me, say you show me, show me Boy, you better   So I'ma make one stop for you, for you And you only got one shot, don't ignore, yeah 'Cause I'm so choosy, choosy, yeah, yeah Mans say I'm too bougie, bougie, yeah, yeah So I'ma give you one shot, go ahead, pour it   And you only got one shot Gotta give me all you got So I'ma make a little time for you But babe you only got one shot, one shot   I wanna get to know you It's so hard to ignore you But no, I never make bad decisions, bad decisions I don't need your hands to catch the rhythm Oh Lord, no, no We got something for sure, yeah   Holding your chain like it's holy, holy I'm a blessing, blessing Still talking to me, say you show me, show me Boy, you better   So I'ma make one stop for you, for you And you only got one shot, don't ignore, yeah 'Cause I'm so choosy, choosy, yeah, yeah Mans say I'm too bougie, bougie, yeah, yeah So I'ma give you one shot, go ahead, pour it   And you only got one shot Gotta give me all you got So I'ma make a little time for you But babe you only got one shot, one shot   You stay right there I'll be right back Turn this one shot into a night cap Too much talking Why you like that? You only get one shot so baby, where you at? You stay with me, gotta pay attention 'Cause we have a good thing if you learn your lesson I'ma make sure that you don't forget it I'ma make sure that you don't regret it   So Imma make one stop for you, for you Boy you only got one shot, don't ignore, yeah 'Cause I'm so choosy, choosy, yeah, yeah Mans say I'm too bougie, bougie, yeah, yeah So I'ma give you one shot, go ahead, pour it   And you only got one shot Gotta give me all you got So I'ma make a little time for you But babe you only got one shot, one shot",0.9469,21,13,7,21,6,33,30,22,22,22
