,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/49130,Macklemore & Ryan Lewis,And We Danced,https://genius.com/Macklemore-and-ryan-lewis-and-we-danced-lyrics,http://api.genius.com/songs/49130,The Unplanned Mixtape,2009-09-07," And we danced And we cried And we laughed And had a really, really, really good time Take my hand, let's have a blast And remember this moment for the rest of our lives Our lives (our lives) Our lives (our lives) Oh, oh, oh, oh (oh, oh, oh, oh, oh) Tonight (tonight!) Tonight (tonight!) Tonight! Cause tonight's the night Am I right? Dance   Feels like the night for a party My nature's so naughty There's a knock on the door It's the neighbors, quit cock-blocking We're having a ho-down, are you hoes down? Don't make me pull my hose out Cause it's big, long, pink, strong And been known to dance, like, all night long Grab my hand, play this song DJ, save my life, come on! Leave your fear, back off the wall Free of beat and pussy pop And if you don't have a pussy Pop a cock into a booty, into a booty Yeah, yeah   And we danced And we cried And we laughed And had a really, really, really good time Take my hand, let's have a blast And remember this moment for the rest of our lives   I am not, I am not going to stand on the wall I will dance, I will dance, I will break that ass off And I see you in the corner, corner looking so small Doing the robot like, ""If I die tonight, at least I went hard"" I will not, I will not give a damn who watches me I will live, I will live! Liberate the fox in me I will be the discoball, freakin' give my all To whatever girl's booty I'm freaking on I'm not skeeting, nah it's just freaking hot Alright, I skeeted   I will not be a mannequin The ego banished The roof's on fire Let's burn down the Vatican I will moon walk to Pluto in honor of Michael Jackson In heaven he'll be saying that man is tight at dancing Rip to the king, Michael Jackson, we learned it all from you Dedicate this to the dance floor Party up the sorrow 'til tomorrow morning happens We pledge allegiance to the DJ Put your hands up   And we danced And we cried And we laughed And had a really, really, really good time Take my hand, let's have a blast And remember this moment for the rest of our lives Our lives   You see me looking at you from that bar right over there But your friends are huddled up and they are hating on a player I just want to dance with you, get on the back of you Tip tap the boots, extract the truth Da- Dance with you, get on the back of you Da- Dance, dance, dance Awesome   Oh-ee, oh-ee, oh (Oh-ee, oh-ee, oh) Hey-oh, hey-oh (Hey-oh, hey-oh) Uh-ah-ba-bo (Uh-ah-ba-bo) Zib-oh-da-we-bab-ba-dap-bop-bop (Zib-oh-da-we-bab-ba-dap-bop-bop)   And we danced And we cried And we laughed And had a really, really, really good time Take my hand, let's have a blast And remember this moment for the rest of our lives",0.9918,11,14,1,10,18,18,30,4,13,24
1,/songs/90902,Macklemore & Ryan Lewis,A Wake,https://genius.com/Macklemore-and-ryan-lewis-a-wake-lyrics,http://api.genius.com/songs/90902,The Heist,2012-10-09," I need love You need love Give me love And I'll give you my love   They say thirty's the new twenty And twenty's the new thirty, shit I guess Makes sense, 'cause fifteen-year-olds seem twenty And twenty-five -year-olds seem ten I used to drink away my paycheck Celebrate the mistakes I hadn't made yet Our generation isn't the best on safe sex We forget the latex, becoming Planned Parenthood patients Synthetic heroin is the new basehead So much to escape, fuck a straight edge Walk around looking through a fake lens Apps this good, who's got time to make friends? I wish I didn't care If cynical hispters with long hair And cocaine problems, like my music It's not my issue, I can't solve it   My flight has finally landed down And the ground has stopped moving all around Eyes open, awake for the very first time We both forfeit this game of crime   They say, ""It's so refreshing to hear somebody on records No guns, no drugs, no sex, just truth"" The guns - that's America, the drugs are what they gave to us And sex sells itself, don't judge 'til it's you Ah, I'm not more or less conscious Than rappers rapping 'bout them strippers up on a pole, popping These interviews are obnoxious Saying that ""It’s poetry, you’re so well spoken,"" stop it I grew up during Reaganomics When Ice T was out there on his killing cops shit Or Rodney King was getting beat on And they let off every single officer And Los Angeles went and lost it Now every month there's a new Rodney on YouTube It's just something our generation is used to And neighbourhoods where you never see a news crew Unless they're gentrifying, white people don't even cruise through And my subconscious telling me stop it This is an issue that you shouldn't get involved in Don't even tweet ""R.I.P Trayvon Martin"" Don't wanna be that white dude million-man marching Fighting for a freedom that my people stole Don't wanna make all my white fans uncomfortable ""But you don't even have a fuckin' song for radio Why you out here talking race, trying to save the fucking globe?"" Don't get involved if the cause isn't mine White privilege, white guilt, at the same damn time So we just party like it's 1999 Celebrate the ignorance while these kids keep dying   My flight has finally landed down And the ground has stopped moving all around Eyes open, awake for the very first time We both forfeit this game of crime   I need love You need love Give me love And I'll give you my love",0.9791,15,18,8,7,24,25,41,11,4,28
2,/songs/2414878,Macklemore & Ryan Lewis,Bolo Tie,https://genius.com/Macklemore-and-ryan-lewis-bolo-tie-lyrics,http://api.genius.com/songs/2414878,This Unruly Mess I've Made,2016-02-26," I never won the spelling bee I could read people's energy Listen to what have been said to me Heard the voices in elementary That I wouldn't amount to anything Ol' girl, she used to beg to me Like, if we just had a nice house and a mortgage And a front lawn, and a fucking wedding ring I danced in Paris, shed my shell Swam in oceans, felt the scales Put my CD in Starbucks, it did not sell Get the CD out the car trunk and did it myself These piano keys hold some weight In a bolo tie, I escort my date She ordered shrimp scampi on a porcelain plate The accordion played, I put my fork in a steak Afternoons need a coffee boost Attitude needs a confidence boost Yeah, I'm sort of the dude But where's the self-esteem when the costumes removed? Thanks for the invite, can't make it I could blame it on a flight to Vegas But, truth be told, rather not socialize And go and waste my time with an acquaintance These relationships need maintenance Everybody got expectations Text back, so impatient Where were you when I was an in-patient?   Motherfucker, you ain't my account You don't know what I'm doing Focusing on what I'm giving back Man, make better music Fuck preaching on top of the mountain People can see through it Keeping my name in your mouth Just don't bite your tongue while you chew it   Exactly, I got the man of the year Source Magazine was like our Vanity Fair In a mansion, picking out a chandelier But got a bone to pick with the man in the mirror Questioning the purchase while I'm standing there Questioning the purpose of my rap career Thinking ""Man, what the hell happened here?"" Feels like yesterday in a van packing gear What am I gonna go and give back this year? There's a whole lot of struggling rappers here Want a co-sign and a whole track this year If you know motherfuckers start acting weird Lot of backstabbers and some actors here Lot of has-beens and over-reactors here I remember laughing and cracking beers Now I climbed the ladder and you're mad I'm here   Motherfucker, you ain't my account You don't know what I'm doing Focusing on what I'm giving back Man, make better music Fuck preaching on top of the mountain People can see through it Keeping my name in your mouth Just don't bite your tongue while you chew it (400) Motherfucker, I'm gone   Judging me off of my past You don't see what I'm doing When I got shot that was headline news Y'all used me for views, I ain't stupid Cause what about all the good? The non-profit for the kids in the hood That ain't got no option in them shelter homes plotting Shit, I'm just doing what I should They must want no one to know Cause they don't put that on the news, bro They entertained by the culture, they vultures They suck us like leeches 'til we broke But I know the game, so I play it like chess Act like a square, but really be the threat The next time my name in the press Talk about how YG gave them kids Christmas   Motherfucker, you ain't my account You don't know what I'm doing Focused on what I'm giving back Man, make good music Preaching on top of the mountain People can see through it Keeping my name in your mouth Just don't bite your tongue while you chew it Motherfucker, I'm gone   Fuck, hey, woo Motherfucker, I'm gone (Four, four, four...) Hey where'd he go though? (400) Motherfucker, I'm gone (I am the victim not the motherfuckin' suspect) And he's gone, gone",-0.9874,10,18,9,14,12,26,39,12,9,24
3,/songs/2429131,Macklemore & Ryan Lewis,Brad Pitt's Cousin,https://genius.com/Macklemore-and-ryan-lewis-brad-pitts-cousin-lyrics,http://api.genius.com/songs/2429131,This Unruly Mess I've Made,2016-02-26," Slick shit man, that's all we do Hold up, little homie, let me talk my truth Made an Instagram for my cat and my cat doesn't even rap And got more followers than you Hold up Let me get my cat a bar, she's filthy Hey Cairo come here, baby (Meow) Now my cat's more famous than you ever will be I been hustling You can't tell me nothing I'm Brad Pitt's ugly cousin But when you're drunk at the wedding (Still gon' fuck him)   When you see me in the club Brad Pitt, that's my cousin Angelina show me love Brad Pitt, that's my cousin You got me fucked up Brad Pitt, that's my cousin Like you don't know what's up Bradley, he's cuzo   All my Angelinas If you got it let me see it All my Angelinas If you got it let me see it All my Angelinas If you got it let me see it All my Angelinas If you got it let me see it   You're embarrassed, huh? I'm in Paris, bruh You brought your whole crew I'm with my parents, bruh Every white dude in America went to the barber shop ""Give me the Macklemore haircut"" Australia, they heard of me Germany, they heard of me Japan, they heard of me It's a murder scene, you gon' learn some things My dick named Ron Burgundy I'm bad news with a pan flute In a plaid suit, no can do No, uh uh, I don't work for free I used to smoke that purple weed Sip a bunch of purple drink That shit did not work for me And now I just sip herbal tea I'm posted at the swapmeet in a robe eating Church's wings So cold, so cold, no emergen-C   When you see me in the club Brad Pitt, that's my cousin Angelina show me love Brad Pitt, that's my cousin You got me fucked up Brad Pitt, that's my cousin Like you don't know what's up Brad, Brad, Pitt   All my Angelinas if you got it let me see it All my Angelinas if you got it let me see it All my Angelinas if you got it let me see it All my Angelinas if you got it let me see it   Did it by myself, not a little bit of help Nobody, nobody did nothing, I knelt On my knees, said ""God, please give me a deal"" And God texted me back ""Don't be dumb, young man, gotta do it yourself"" It's up to you to turn the pen into a machete And make sure that every beat that you meet gets killed I treat the beat just like a pussy And I eat it up and beat it up and leave it fucked So you cannot compete with us I'm weaving in and out of traffic In the Cadillac, oh wait, is that us on the radio? Wait, is that us on the radio? It's what I always dreamed of Back when I had peach fuzz Shoutout to the homie D Who's D? Deez nuts I'm eating chicken wings and onions rings If you're wondering, yes, I does my thing And another thing, no puppet strings On the company, we sucker free I ain't trippin' on what the public think Ten thousand, we hustling This shit didn't happen overnight This shit didn't happen suddenly   When you see me in the club Brad Pitt, that's my cousin Angelina show me love Brad Pitt, that's my cousin You got me fucked up Brad Pitt, that's my cousin Like you don't know what's up Brad Pitt, Brad, Pitt  [Click here to learn more about the making of ""Brad Pitt's Cousin""]",-0.9951,8,12,9,6,11,16,26,4,6,17
4,/songs/2414869,Macklemore & Ryan Lewis,Buckshot,https://genius.com/Macklemore-and-ryan-lewis-buckshot-lyrics,http://api.genius.com/songs/2414869,This Unruly Mess I've Made,2016-02-26," I used to work at Subway Seven bucks an hour wasn't much money But I be rapping and kicking it on my lunch break Like ""I'ma make it out this motherfucker one day"" I was in the back, back seat of the bus before a bluetooth Got the boombox and a blunt, bootlegger deuce-deuce H on my crew, we get drunk, a little cuckoo Type of dudes who square up and knock a tooth loose Quick to the basement, the, the, the basement That is the window I'm planning to vacate with Pops put on bars just in case somebody breaks in That's not gonna stop me from getting to the pavement Shh, meeting Jerome at the bus stop I got the bigger roll, paranoid buck cops And all my city's known for grunge, flannel, butt rock And a bunch of Sub Pop, I was on that Buckshot   Window to window and wall to wall Can of Krylon and we out to bomb (Buckshot) Four in the morning, I'm with the squad There we go, there we go, there we go, there we go Window to window and wall to wall Can of Krylon and we out to bomb Four in the morning, I'm with the squad There we go, there we go, there we go, there we go   Just copped that new Boot Camp tape The neighbors keep complaining 'bout too much bass Bang, bang, let me do my thing Give me two cans and you gon' know my name You don't wanna get involved You know I be on these overpasses burning bridges, dog You know I be dippin' through these alleys tryna diss the law Sixteen with Adidas on I'm too speedy for police I'm chiefin' through these streets, I'm gone I got game, don't need to talk anymore Boppity-bo, tippity-toppity, I pop me some more I was underground where he come from and he pop out a hole Cracked the top back on the flat black aerosol I woke up in the morning and I had a vision These suit and ties got the nerve to call it vandalism They hella mad, say my art is really bad for business But I'ma paint a better world until the cans are empty Now let it drip, let it drip If they catch me doing dirt I'll plead the fifth I pop a top, I bomb the block Speakers bumpin', I was on that Buckshot   Window to window and wall to wall Can of Krylon and we out to bomb (Buckshot) Four in the morning, I'm with the squad There we go, there we go, there we go, there we go   Chill-chill-chilin' with the crew Just writing my name in graffiti on the wall Who-who-who is he? (Yeah, knowledge reigns supreme) Got the world following the...  [Verse 3: KRS-One] Turn up the CD or turn up the TV Turn up your T-A-P-E, turn your phone up, crank up the PC See, my boys are really beastie if you're talking graffiti See, we call it aerosol art when we splatter the city I got twenty-five cans in my napsack Crossing out the whick-whack T-O-Y-S's ain't even get that Fat tips and black books, yo, we rep that 149th street bench is where we slept at Clep-clap, clep-clep-clap, clep-clap Those are not my words, the spray can said that Where them reds at, or them green turquoise? Where my real graf writers? Make some noise   Chill-chill-chilin' with the crew Just writing my name in graffiti on the wall Who-who-who is he? (Macklemore) Got the world following the... Blow blow blow blow blow (Buckshot, shot, shot, shot)",-0.9918,16,11,7,17,7,31,26,17,22,20
5,/songs/57234,Macklemore & Ryan Lewis,Can't Hold Us,https://genius.com/Macklemore-and-ryan-lewis-cant-hold-us-lyrics,http://api.genius.com/songs/57234,The Heist,2011-08-16," Ay, ay, ay Good to see you, come on, let's go Yeah! Let's go! Alright, alright, okay Alright, okay Alright, okay   Return of the Mack Get 'em, what it is, what it does, what it is, what it isn't Looking for a better way to get up outta bed Instead of getting on the Internet And checking a new hit me, get up Thrift shop, pimp-strut walkin' Little bit of humble, little bit of cautious Somewhere between like Rocky and Cosby Sweater game, nope nope, y'all can't copy Yup, Bad, moonwalking, this here is our party My posse's been on Broadway, and we did it our way Grown music, I shed my skin and put my bones Into everything I record to it and yet I'm on Let that stage light go and shine on down Got that Bob Barker suit game and plinko in my style Money, stay on my craft and stick around for those pounds But I do that to pass the torch and put on for my town Trust me, on my I-N-D-E-P-E-N-D-E-N-T shit, hustlin' Chasing dreams since I was fourteen With the four-track, bussin' Halfway cross that city with the backpack, fat cat, crushin' Labels out here, nah, they can't tell me nothin' We give that to the people, spread it across the country Labels out here, nah, they can't tell me nothin' We give it to the people, spread it across the country   Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us   Now, can I kick it? Thank you Yeah, I'm so damn grateful I grew up really wanting gold fronts But that’s what you get when Wu-Tang raised you Y'all can't stop me Go hard like I got a 808 in my heartbeat And I'm eating at the beat like you gave a little speed To a great white shark on Shark Week, raw! Tell me go up, gone Deuces, goodbye, I got a world to see And my girl, she wanna see Rome Caesar'll make you a believer Nah, I never ever did it for a throne That validation comes from giving it back to the people Now sing a song, and it goes like Raise those hands, this is our party We came here to live life like nobody was watching I got my city right behind me, if I fall, they got me Learn from that failure, gain humility And then we keep marching, I said…   Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us   And so we put our hands up And so we put our hands up Oh, oh, oh, oh…   Na na na na, na na na na Hey-ee ay-ee ay-ee ay ay-ee ay-ee, hey And all my people say Na na na na, na na na na Hey-ee ay-ee ay-ee ay ay-ee ay-ee, hey And all my people say Na na na na, na na na na Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh And all my people say Na na na na, na na na na Mack-le-eh-eh-eh-eh-more!   Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us  ",0.9963,14,7,7,11,6,25,30,9,2,12
6,/songs/91971,Macklemore & Ryan Lewis,Castle,https://genius.com/Macklemore-and-ryan-lewis-castle-lyrics,http://api.genius.com/songs/91971,The Heist,2012-10-09," Unicorns and wizard sleeves Hammer pants and make believe Pirate ships sailing off to sea Will you come party with me in my Castle, in my castle, in my castle, in my castle?   This is for the freaks and for my magicians Booty clap and lap dancing technicians Dance parties in the name of Great Britain And American girls who love the Detroit Pistons Like Dennis Rodman, I got a rod man (awww yeah!) Long wong-dong in a soft hand And a pink palm pink schlong, let's all dance! From England to Stockholm I'm wearing a cape just like a poncho I got a cutey and I'm making a beat on her booty Like I was at Bonnaroo beating up on a bongo I got a bottle of Martinelli's and I'm dumping All over anybody that's kicking it in the grotto Neighbors keep tripping, I'm like, ""I'm in a castle Fuck your condo!""   Unicorns and wizard sleeves Hammer pants and make believe Pirate ships sailing off to sea   Unicorns and wizard sleeves Hammer pants and make believe Pirate ships sailing off to sea Will you come party with me in my Castle, in my castle, in my castle, in my castle?   You like to party, I am a party-er You like to wander, I am a wanderer Your thighs are the closet to Narnia Is it cool if I go and get lost in that? I'm the lion, the witch in the wardrobe Massage my lap, I have a sore bone Of course cold on the dance floor Like an Eskimo's toes in the North Pole With both toes poking out of two holes In the Eskimo socks, I'm hot Like a cauldron from a warlock Wearing sweatpants in a sauna Who's your father? I'm not I'm motherfuckin' Raven Bowie and here's my cock Rooster, cock-a-doodle-doo sir Take a hit of the hookah, now make it drop Girl's booty was bigger than the stomach of Rick Ross' Holy mother mountain of tender tendon to get lost in Bounce, bounce, that castle booty, that bottom Make it wobble, wobbly-wobble 'till my third leg has to hobble You don't want to look back on this night And think I should have been freaking on a booty Freak-freaking on a booty   Unicorns and wizard sleeves Hammer pants and make believe Pirate ships sailing off to sea Will you come party with me in my Castle, in my castle, in my castle, in my castle?   This might be the best night that we have ever had That-that we have ever had That-that we have ever had That-that we have ever had together Eh, motherfuckin' eh   Have you ever killed a coyote in the middle of a party In the night, in the middle of a party Have you ever killed a coyote in the middle of the night In the middle of a party Brought it home and threw it on the carpet Someone kill a coyote, I'm starving Who wants to eat a coyote? Who wants to eat a coyote? Who wants to eat a coyote? Grab your bagpipe, I grab my flute Cause drunk King John is still in the loo Get onto the pole in a birthday suit, our suit And M.J. was King, and Prince was Prince And Raven has ruled ever since   Unicorns and wizard sleeves Hammer pants and make believe Pirate ships sailing off to sea Will you come party with me in my Castle, in my castle, in my castle, in my castle?",0.9675,14,16,4,12,9,22,33,8,7,11
7,/songs/91013,Macklemore & Ryan Lewis,Cowboy Boots,https://genius.com/Macklemore-and-ryan-lewis-cowboy-boots-lyrics,http://api.genius.com/songs/91013,The Heist,2012-10-09," And we drink and get older And some of us even try to get sober Now here's to the assholes and the last calls We're city kids You get what you ask for   And acquaintances turn to friends I hope those friends they remember me Hold the night for ransom as we kidnap the memories Not sure there is a way to express what you meant to me Sit around a table and use those years as the centrepiece   Sounds of the city on Capitol Hill Where I question if what I'm seeing here is real Cowboy boots doing lines at the bar Where the time goes slow when you're drinking PBR Sounds of the city on Capitol Hill Where I question if what I'm seeing here is real Cowboy boots doing lines at the bar Where the time goes slow when you're drinking PBR   Hold on to what you were, forget what you're not The streets were ours that summer At least those two blocks Reminisce on those days I guess that's OK, you wonder why Some grow up, move on Close the chapter Live separate lives The twenty-something confusion before the suit and tie Strangers become mistakes But those mistakes made you feel alive Hindsight is vibrant, reality Rarely lit Memories, a collage pasted with glue that barely sticks Good Lord, they broke all my shields Locked bathroom doors Graffiti and high heels Until you felt that altitude you don't know how high feels Party mountain Some don't ever come down from around here To be young again I guess it's relative The Camel Lights The whiskey, ryes Sink into the skin I fantasize about a second wind Grow a moustache Pick up another bad habit and let the games begin   Sounds of the city on Capitol Hill Where I question if what I'm seeing here is real Cowboy boots doing lines at the bar Where the time goes slow when you're drinking PBR Sounds of the city on Capitol Hill Where I question if what I'm seeing here is real Cowboy boots doing lines at the bar Where the time goes slow when you're drinking PBR   So here's to the nights Dancing with the band Strangers into girlfriends from a one night stand Poor out a little liquor and turn up the Johnny Cash You could bring a receipt to Heaven but you cannot take it back And this is life, this is real Even when it feels like it isn't I'd be a goddamn liar to say at times I didn't miss it So deuces, I turn my back as I walk into the distance Dip my feet in every once in a while Just to say I visit   And we hold onto these nights Trying to find our way home by the street light Over time we figure out this is me, right Learn a lot about your friends right around two A.M   And acquaintances turn to friends I hope those friends they remember me Hold the night for ransom as we kidnap the memories Not sure there is a way to express what you meant to me Sit around a table and use those years as the centrepiece   Sounds of the city on Capitol Hill Where I question if what I'm seeing here is real Cowboy boots doing lines at the bar Where the time goes slow when you're drinking PBR",0.9687,9,16,4,10,14,22,30,8,8,22
8,/songs/63311,Macklemore & Ryan Lewis,Crew Cuts,https://genius.com/Macklemore-and-ryan-lewis-crew-cuts-lyrics,http://api.genius.com/songs/63311,The VS. EP,2009-11-27," If it ain't fresh, then you ain't gettin' play in my tape deck Way back, I used to rock the hat with the suede strap at ABC's Bought my food from the Arabs Played craps on corners where the OG's slang at Cross colors, I'm the boss of the playground Iesha on the nuts, cos I knew how to play house The 8 oz. baby from '84 to grow up Cleaner than my Easter suit was with my shoes buffed Don't step on my new ones These Reeboks beat blocks, you give 'em a few pumps Baby, why your attitude, ""boo boo""? She came from a new school, and all I wanna do is my zoom zoom My uncle stayed faded like crew cuts But I was just too young to know the what's-what and the who's-who 'Round here, they could give a fuck if you got props You get clowned for rockin' British Knights to the sock hop The BK stood for ""black kids,"" the hood was crackin' And ""Poison"" was on everybody's tracklist Spandex was in fashion, back then And bad chicks had tracks in that lasted   Before CDs and Internet the kings was in effect You fiends wasn't gettin' respect Before mp3s and CD-Js, we pop in a tape cassette Chain on my chest, I'm fresh   Let's take it back, b-b-b-back to the days of AC/DC, Back in Black Gimme a mullet, a 1984 Chevrolet Alright, I'm lying, I was listening to rap OshKosh B'Gosh, stone wash, so hard Overalls hung, one strap on, one off Eatin' on my cold lunch, grabbin' on both nuts Mom I want a jheri curl, fuck this bowl cut Ice Cube's got one Quik in my Walkman Blowin' on the cartridge Hypercolor, awesome Kube's in my pocket and I'm outta here I'm bouncing and Sam Goody's not getting shit from my allowance Day dreaming in class, know I'm zoning out and Rosie Perez's titties are right where my mouth is Who says that white men can't jump? They were hella wrong! A'ight, they were right, but I was really good at tetherball Before the days of getting drunk at kegs We were bumping some Jodeci and dry-humpin' legs That's right, I was born in the '80s Pimpin', adventurous, tryin to bone my babysitter House party? Crackin' Humpty dance? Crackin' Never find the baby, David Bowie, Labyrinth Why don't you reminisce and bring it back, rap shit Dodge Caravan, humpin' in the back, classic   Before CDs and Internet the kings was in effect You fiends wasn't gettin' respect Before mp3s and CD-Js, we pop in a tape cassette Chain on my chest, I'm fresh",-0.9696,10,9,9,7,13,20,23,5,6,14
9,/songs/2429093,Macklemore & Ryan Lewis,Dance Off,https://genius.com/Macklemore-and-ryan-lewis-dance-off-lyrics,http://api.genius.com/songs/2429093,This Unruly Mess I've Made,2016-02-26," I challenge you to a dance off Hands off, no trash talk, no back walk On the black top, just me, you, that's all No cat calls, no tag teams, no mascots Right now, dance off Get on the floor Get on the, get on the floor, go Get on the floor, do it Come on and get on the floor, go   I grab my ankle and pull it up And do that thing where I move my butt I got the juice, motherfucker don't use it up I say woo there it is, then loosen my tux Then I shimmy, shimmy, shimmy, shimmy, shimmy, to the left Shimmy, shimmy, shimmy, shimmy, shimmy, to the right Gimme, gimme, gimme, everything that you got Dance off motherfucker, do the damn thing right   She got loose elbows and a big ol' neck I like a big boned girl who could work up a sweat I rock shelltoes and a turtleneck She just wanna talk, I said, ""I ain't TED"" Dance off   Your grandma, that's a bad mama jama She doing the banana, grabbing my trunk like a hammock Mmm, she like the funk, god dammit, she can handle it She tugging my dick, I'm feeling a little bit inadequate (Dance off) Your grandpa got a cock like a ham hock Hella old, hella long, looking like Matlock Damn dog, I don't even wanna have a standoff He drunk talkin' 'bout he 'bout to take his pants off (Dance off) The hater with the macarena I can Roger Rabbit in my office space If you watch my pace looks like I'm concentrated Or constipated when I walk this way   I challenge you to a dance off Hands off, no trash talk, no back walk On the black top, just me, you, that's all No cat calls, no tag teams, no mascots Right now, dance off (dance off) Get on the floor Get on the, get on the floor, go Get on the floor, do it Come on and get on the floor, go   Rewind Go, go, go, go Go, go, go, go (Dance off) Go, go, go, go Go, go, go, go   I sneak up behind you like a panther Who ordered the private dancer? Can I get an amen from the pastor? Pulled the ol' ""Do you want a back rub?"" You must hurt like Grey Poupon Swag on tap like Savion Jump on the tablecloth, fake a fall Pretend to break my arm then I'm breaking you off But please don't tell my baby’s mama I wanna dance all night 'til the break of dawn I wanna sweat, sweat, sweat, sweat 'til your make-up's gone Baby girl, you looking like a champion   Hey you, you there, get up out of your chair Paid twenty bucks to get up in this club, put your cellphone down, you square I be going in, I can't help it, I got bruises on my pelvis Ladies, fellas, don't drunk dial your ex's Hello bouncer, I have a job for you While I'm dancing, watch my shoes Tonight is the night that we rendezvous Sweat the fountain of youth, bust a move Fringe jacket, pants of leather Tanktop, spandex and pleather Been a stressful week, I got a lot of pressure You have a lot of great moves but mine are better   I challenge you to a dance off Hands off, no trash talk, no back walk On the black top, just me, you, that's all No cat calls, no tag teams, no mascots Right now, dance off (dance off) Get down the floor Get down the, get down the floor, go Get down the floor, do it Come on and get down the floor, go   Rewind Go, go, go, go Go, go, go, go (Dance off) Go, go, go, go Go, go, go, go   Oh Lord, I can't sit down Better hold my phone, I'm going for the crown, good God But I'm confident this is my town Better hope my feet don't fail me now, good God   I challenge you to a dance off Go, go, go, go Go, go, go, go (Dance off) Go, go, go, go Go, go, go, go Rewind Get on the floor Get on the, get on the floor, go (Dance off) Get on the floor, do it Come on and get on the floor, go Rewind",0.8359,16,17,8,22,34,30,51,12,10,42
