,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/204695,Mariah Carey,100%,https://genius.com/Mariah-carey-100-lyrics,http://api.genius.com/songs/204695,None,2010-02-09," I am a dream, just beginning Truth is I prayed when you'd open my eyes And you revealed something to me Suddenly I am no longer confined My life ain't defined by limits I don't need no permission to live it I'm a break through the door 'til I get in Everything that I got I'm a give it 100 Percent and I ain't stopping 'til I reach the finish   I'm a believer, not just a dreamer I'm giving everything I got I'm a go getter, 100 Percenter Undoubtedly I can reach the top And I ain't gonna let nothing discourage or dissuade me Cause I'm walking out of here a champion either way, babe I am givin it 100 Percent so go on put your ones up   If you're putting in a hundred put your ones up, ones up If you know that this is something, put your ones up, ones up If you really comprehend this, put your ones up, ones up If you're walking into victory keep on shining One hundred percent   You can only do it if you do it like I did Cause suffering ain't easy But if you can turn your wounds into living proof That you've survived the fight and you no longer defined My life ain't defined by limits I don't need no permission to live it I was a break thru the door till I get in Everything that I got Ima give it 100 Percent and I won't stop till I reach the finish   I'm a believer, not just a dreamer I'm giving everything I got I'm a go getter, 100 Percenter Undoubtedly I can reach the top And I ain't gonna let nothing discourage or dissuade me Cause I'm walking out of here a champion either way, babe I am givin it 100 Percent, so go on put your ones up   If you're putting in a hundred put your ones up, ones up If you know that this is something, put your ones up, ones up If you really comprehend this, put your ones up, ones up If you're walking into victory keep on shining One hundred percent   Don't you ever (stop) Be discouraged (stop) Let nobody take your courage (stop) If you gonna pray don't worry (stop) If you gonna wait don't pray (stop) You just keep the faith and listen to me   If you're putting in a hundred put your ones up, ones up If you know that this is something, put your ones up, ones up If you really comprehend this, put your ones up, ones up If you're walking into victory keep on shining One hundred percent   I'm a believer, not just a dreamer I'm giving everything I got I'm a go getter, 100 Percenter Undoubtedly I can reach the top And I ain't gonna let nothing discourage or dissuade me Cause I'm walking out of here a champion either way, babe I am givin it 100 Percent, so go on put your ones up   If you're putting in a hundred put your ones up, ones up If you know that this is something, put your ones up, ones up If you really comprehend this, put your ones up, ones up If you're walking into victory keep on shining One hundred percent",3,19,2,10,14,9,33,7,5,23,0.9915
1,1,/songs/204605,Mariah Carey,4real4real,https://genius.com/Mariah-carey-4real4real-lyrics,http://api.genius.com/songs/204605,E=MC² ,2008-04-14," It's for real, for real, for real For real, for real, for real (Turn me up) It's for real, for real, for real, for real, for real It's for real, for real (Oh)   Baby it's, baby it's, for real, for real, for real Baby it's, baby it's, for real, for real, for real Baby it's, baby it's, for real, for real, for real Baby it's, baby it's, for real, for real, for real   Sometimes you be blowin' my mind If you were mine, I'd take my time with you But on the low, I'm shy Though I front like I'm so next level fly With them other guys Really I wanna reach out and just touch you If you could only realize how much I'd like to Come knock-knockin' at your door Give ol' girl the heave ho And give a demonstration of what it's like   When it's for real, for real 100 percent for real Hotter than cable TV Like something out of your dreams It's for real, for real Million percent the deal So I'll just keep doing me And eventually, you'll see I'm for real, for real   Baby it's, baby it's, for real, for real, for real (Baby, I'm real) Baby it's, baby it's, for real, for real, for real (Baby, I'm for real, for real) Baby it's, baby it's, for real, for real, for real (Baby, it's for real, for real) Baby it's, baby it's, for real, for real, for real   All my friends say I'm wasting my time on you Trying to dissuade me with schemes Wanna make it less than you seem But I'm not that one, to listen to dumb Chicks that wanna be, where I'm gonna be Really I wanna reach out and just touch you If you could only realize how much I'd like to Lay myself down next to you fall asleep Watching cartoons And wake you up with something good 'Cause it's real   When it's for real, for real 100 percent for real (100 percent) Hotter than cable TV (Hotter than cable TV) Like something out of your dreams (Dream) It's for real, for real Million percent the deal So I'll just keep doing me (Me) And eventually, you'll see I'm for real, for real   Baby it's, baby it's, for real, for real, for real (Baby, I'm real) Baby it's, baby it's, for real, for real, for real (Baby, I'm for real, for real) Baby it's, baby it's, for real, for real, for real (Baby, it's for real, for real) Baby it's, baby it's, for real, for real, for real   Check this out For real, for real, yo This ain't for play, ain't for play I been tryna figure it out How to come at you off tay day It's morning and I wanna Shirley Murdock ya Like as we lately But on the low, I'm shy like MJ I don't know what to say, say, say But I know who I wanna do, do, do I'm for real, for real, that's you, you, you You ain't ever met nobody like me, me, me Hotter than Comcast and satellite TV Lemme demonstrate how it's supposed to be 'Cause it's something you can't imagine Like outta ya dreams Obviously, people gon' hate on me They don't want me to date on ya They don't want you with a paid woman But they can't deny that I'm a rider since day one It's for real, for real   When it's for real, for real, for real (When it's for real, for real, for real) 100 percent for real Hotter than cable TV Like something out of your dreams (Like something out of your dreams) It's for real, for real (More than a million) Million percent the deal So I'll just keep doing me (Keep doing me) And eventually, you'll see I'm for real, for real   (I'm for real, for real, for real, for real, for real, for real) Baby, it's, baby, it's for real, for real, for real Baby, it's, baby, it's for real, for real, for real (Baby, I'm) ('Cause baby, I'm) Baby, it's, baby, it's for real, for real, for real (Hey, for real, for real, for real, for real, for real) Baby, it's, baby, it's for real, for real, for real (Baby, when it's for real)   When it's for real, for real 100 percent for real (I know) Hotter than cable TV (I love it, I love it) Like something out of your dreams (Oh, hur, hur best friend) It's for real, for real Million percent the deal So I'll just keep doing me (So I will keep on being me) And eventually, you'll see I'm for real, for real (I'm for real, oh)   Baby it's, baby it's, for real, for real, for real (Baby, I'm real) Baby it's, baby it's, for real, for real, for real (Baby, I'm for real, for real) Baby it's, baby it's, for real, for real, for real (Baby, it's for real, for real) Baby it's, baby it's, for real, for real, for real",2,7,2,2,61,6,206,3,10,151,0.996
2,2,/songs/4057570,Mariah Carey,8th Grade,https://genius.com/Mariah-carey-8th-grade-lyrics,http://api.genius.com/songs/4057570,Caution,2018-11-16," I'm not your world No, I'm not your life Tell me what that means to you If it was me that was by your side Limitless, without no rules Nothin' to lose Never no pressure Just put yourself into my shoes I'm not your world No, I'm not your life   That cigarette, put it out, put it out Keep lookin' my way, turn around, turn around This is a moment you can't buy I see that longing in your eyes   Somethin' is tellin' me you're ready, am I wrong? Maybe the lyrics are too heavy in my song How would you feel if you had me, then I was gone? Better not be leadin' me on   I'm not your world No, I'm not your life Tell me what that means to you If it was me that was by your side Limitless, without no rules Nothin' to lose Never no pressure Just put yourself into my shoes I'm not your world No, I'm not your life   I'm a confirmation, should you feel unsure I'm that security when you're insecure I'll be that baby girl when you're immature Don't be ambivalent towards me   Somethin' is tellin' me you're ready, am I wrong? Maybe the lyrics are too heavy in my song How would you feel if you had me, then I was gone? Better not be leadin' me on   I'm not your world No, I'm not your life Tell me what that means to you If it was me that was by your side Limitless, without no rules Nothin' to lose (Nothing) Never no pressure (Never) Just put yourself into my shoes (Into my shoes) I'm not your world No, I'm not your life (I'm not your life, oh baby I'm) I'm not your world No, I'm not your life (Baby, I wanna be your life) Tell me what that means to you If it was me that was by your side Limitless, without no rules (Limitless) Nothin' to lose (Nothing to lose) Never no pressure (No pressure) Just put yourself into my shoes I'm not your world No, I'm not your life, baby Ahh   Break it down (I'm not your world No, I'm not your life Tell me what that means to you) Said, I'm not your world (By your side Limitless, without no rules Nothin' to lose) Nothin' to lose, no pressure Uh (Limitless, without no rules Nothin' to lose) Nothing (C'mon, MC) Ooh, ooh, ooh, ooh (C'mon) Nothin' to lose, no pressure (Break it) No pressure (Break it) Ooh (C'mon, MC) Ah, ah, ah, ah (Uh, c'mon) La-da-da-da-da-da, I'm not your life (What you say, girl?) Limitless, without no rules (Break it) Your life (C'mon, what you say, girl? What you say, girl? What you say, girl? C'mon)",10,4,9,17,4,22,5,11,13,9,0.9779
3,3,/songs/204276,Mariah Carey,After Tonight,https://genius.com/Mariah-carey-after-tonight-lyrics,http://api.genius.com/songs/204276,Rainbow,1999-11-02," La-da-da   I look at you looking at me Feels like a feeling meant to be And as your body moves with mine It's like I'm lifted out of time And time again Patiently I've waited for this moment to arrive   After tonight Will you remember How sweet and tenderly You reached for me And pulled me closer? After you go Will you return to love me After tonight begins to fade?   I feel your touch caressing me This feeling's all I'll ever need With every kiss from your sweet lips It's like I'm drifting out of Time alone will tell If you feel the way I feel When I look in your eyes   After tonight Will you remember How sweet and tenderly You reached for me And pulled me closer? After you go Will you return to love me After tonight begins to fade?   Time and time and time again (Time and time again) So patiently I've waited for this moment to arrive   After tonight Will you remember How sweet and tenderly You reached for me And pulled me closer? After you go Baby, will you return to love me After tonight begins to fade?   After tonight begins to fade After all, after all, after all When the morning comes When the morning comes After tonight begins to fade (After tonight) Begins to fade",2,17,2,2,11,8,11,2,7,6,0.9923
4,4,/songs/1779034,Mariah Carey,Against All Odds,https://genius.com/Mariah-carey-against-all-odds-lyrics,http://api.genius.com/songs/1779034,Rainbow,2000-09-18," How can I just let you walk away? Just let you leave without a trace When I standing taking every breath with you You're the only one who really knew me at all   How can you just walk away from me When all I can do is watch you leave Cause we shared the laughter and the pain And even shared the tears You're the only one who really knew me at all   So take a look at me now 'Cause there's just an empty space There's nothing left here to remind me Just the memory of your face So take a look at me now There's just an empty space And you coming back to me is against all odds And that's what I've got to face   I wish I could just make you turn around Turn around and see me cry There's so much I need to say to you So many reasons why You're the only one who really knew me at all   So take a look at me now 'Cause there's just an empty space There's nothing left here to remind me Just the memory of your face So take a look at me now See there's just an empty space But to wait for you is all I can do When that's what I've got to face   Take a good look at me now Cause I'll still be standing here (Standing here) And you coming back for me is against all odds That's a chance I've got to take (A chance I've got to take, got to take) (Take a look at me now) Take a look at me now (Take a look at me now)",0,6,0,2,2,5,6,4,6,1,0.775
5,5,/songs/204287,Mariah Carey,Against All Odds (Take a Look at Me Now),https://genius.com/Mariah-carey-against-all-odds-take-a-look-at-me-now-lyrics,http://api.genius.com/songs/204287,Rainbow,2000-06-03," Whoa   How can I just let you walk away? Just let you leave without a trace When I stand here taking every breath with you, ooh You're the only one who really knew me at all   How can you just walk away from me When all I can do is watch you leave? 'Cause we shared the laughter and the pain And even shared the tears You're the only one who really knew me at all   So take a look at me now 'Cause there's just an empty space There's nothing left here to remind me Just the memory of your face So take a look at me now When there's just an empty space And you coming back to me is against all odds And that's what I've gotta face   I wish I could just make you turn around Turn around and see me cry There's so much I need to say to you So many reasons why You're the only one who really knew me at all   So take a look at me now There's just an empty space There's nothing left here to remind me Just the memory of your face So take a look at me now There's just an empty space But to wait for you is all I can do And that's what I've gotta face   Take a good look at me now 'Cause I'll still be standing here And you coming back to me Is against all odds It's the chance I've gotta take Hey, yeah Whoa Take a look at me now Mmh",0,6,0,2,2,5,4,4,5,1,0.8131
6,6,/songs/204159,Mariah Carey,All in Your Mind,https://genius.com/Mariah-carey-all-in-your-mind-lyrics,http://api.genius.com/songs/204159,Mariah Carey ,1990-06-12," Come closer You seem so far away There's something I know you need to say I feel your emotions When I look in your eyes   Your silence Whispering misunderstandings There's so much you need to realize You'll feel my emotions If you look in my eyes   Hey, darling I know you think my love is slipping away But, baby, it's all in your mind (Yes) Don't worry Hold on tight and hear me when I say Baby, it's all in your mind (Yeah. Yeah. Ooh)   Believe me I believe in you There's nothing this feeling couldn't do Move closer, my darling Feel the love in my eyes (Yes)   Hey, darling I know you think my love is slipping away But, baby, it's all in your mind (Yes) Don't worry Hold on tight and hear me when I say Baby, it's all in your mind (Yeah. Yes)  I know you feel my love In your mind, yeah   Hey, darling Well, I know you think my love is slipping away But, baby, it's all in your mind (Yes, yes) Don't worry Hold on tight and hear me when I say Baby, it's all in your mind (Yeah) Baby, it's all in your mind (Yes, uh, uh, hmm, hmm) Baby, it's all in your mind (Mind, oh, yeah, baby, ooh, darling) Got to let you know, baby Baby, it's all in your mind You know my love is good now, baby, yes Baby, it's all in your mind Baby, it's all in your mind (Yeah, darling) Baby, it's all in your mind (Wow, ooh, ooh, ooh) Baby, it's all in your mind Baby, it's all in your mind (Oh) Baby, it's all in your mind",2,5,1,4,32,5,35,5,2,11,0.9978
7,7,/songs/204219,Mariah Carey,All I've Ever Wanted,https://genius.com/Mariah-carey-all-ive-ever-wanted-lyrics,http://api.genius.com/songs/204219,Music Box,1993-08-31, If you only knew What I feel for you If you only lived for me The way I lived for you I'd be in Heaven My dreams would come true   'Cause all I've ever wanted Is you And you alone And I love you so More than you could ever know All I've ever wanted Is you   If you were my own To caress and hold I would shower you with love And drown within your soul 'Cause I live and breathe for you And I really need you to know   That all I've ever wanted Is you And you alone And I love you so More than you could ever know All I've ever wanted Is you   Everything I do is for you You are every part of me And I don't want to face Another day Alone Without your love   'Cause all I've ever wanted Is you And you alone And I love you so More than you could ever know All I've ever wanted Is you All I've ever wanted Is you Is you You,0,0,0,1,6,1,8,1,0,2,0.9677
8,8,/songs/1102379,Mariah Carey,All I Want for Christmas is You (Extra Festive),https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-extra-festive-lyrics,http://api.genius.com/songs/1102379,Merry Christmas II You,2010-11-02," I-I-I don't want a lot for Christmas There is just one thing I need Don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day   I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you, oooh   Oh, I won't ask for much this Christmas I won't even wish for snow I'm just going to keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click   'Cause I just want you here tonight Holding on to me so tight What more can I do? Baby, all I want for Christmas is you (you, you, baby)   Oh, all the lights are shining So brightly everywhere And the sound of children's laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me the one I really need? Won't you please bring my baby to me?   Oh, I don't want a lot for Christmas This is all I'm asking for I just want to see my baby Standing right outside my door   Oh, I just want you for my own More than you could ever know Make my wish come true Baby, all I want for Christmas is...you!   Ooh baby All I want for Christmas is you (baby) All I want for Christmas is you (baby) All I want for Christmas is you (baby) All I want for Christmas is you (baby) All I want, all I really want All I want for Christmas is you (baby) All I want for Christmas is you (baby) (All I really want, all I really want is) All I want for Christmas is you (baby) All I want for Christmas is you (baby) All I want for Christmas is you (baby) All I want for Christmas is you (baby)",1,7,1,0,25,0,30,0,4,11,0.7414
9,9,/songs/122672,Mariah Carey,All My Life,https://genius.com/Mariah-carey-all-my-life-lyrics,http://api.genius.com/songs/122672,Glitter,2001-09-11,"[Terrence Howard as his character Timothy Walker] Turn Silk way down, and bring billie all the way up    I've been waiting for someone to come into my life Who would bring me joy and give me pleasure I have taken chances on romances once or twice And I found that in my heart it's you I treasure   You and only you can make me feel the way I do You and only you can make it better You and only you can do the freaky things you do And I'm so into you and that's forever and ever   All my life my love's been waiting for you All my life my heart's been waiting too   All my, all my, all my life All my, all my, all my life   I've been wishing on a star, I've been praying on my knees I've got some sly and sexy tricks to show you Most of all I'll give you anything boy that you need To keep you right here by my side, I know you, I'll show you   You and only you can make me feel the way I do You and only you can make it better You and only you can do the freaky things you do And I'm so into you and that's forever and ever   All my life my love's been waiting for you All my life my heart's been waiting too Don't you know I need you and adore you All my life I'll give to only you   All my, all my, all my life All my, all my, all my life   I have taken chances of romances once or twice",1,5,2,3,9,3,11,2,5,9,0.979
