,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/893881,Mark Ronson,Amy,https://genius.com/Mark-ronson-amy-lyrics,http://api.genius.com/songs/893881,Version,2007-06-14,I don't know why I let go I want to be your friend Flowers grow through my window and I love you again Oh I love you oh When you laid me down into your beautiful garden Flowers in the love of my arms Its God shining through to me I guess  Its God shining through to me I guess I love you Amy  Do you still love me I go to the places where we used to I feel sad  I am out here looking for you  Sometimes I pretend Oh I miss you oh When you laid me down Into your beautiful garden Flowers and the love in my arms Is God playing evil tricks on me  Is God playing evil tricks on me Oh I love you Amy  Do you still love me,0.9912,2,7,2,6,20,5,21,2,4,7
1,/songs/1713880,Mark Ronson,Apply Some Pressure,https://genius.com/Mark-ronson-apply-some-pressure-lyrics,http://api.genius.com/songs/1713880,Version,2007-06-14," I like to wait to see how things turn out If you apply some pressure I like to wait to see how things turn out If you apply some pressure   You know that I would love to see you next year I hope that I am still alive next year You magnify the way I think about myself Before you came I rarely thought about myself  Behind your veil I found the body underneath Inside your head were things I'd never thought about You know that I would love to see you next year I hope that I am still alive next year  What's my view? Well, how am I supposed to know? Write a review? Well, how objective can I be? What's my view? Well, how am I supposed to know? Write a review? Well, how objective can I be?   I like to wait to see how things turn out If you apply some pressure I like to wait to see how things turn out If you apply some pressure   What happens when you lose everything?  You start all over again   I like to wait to see how things turn out If you apply some pressure I like to wait to see how things turn out If you apply some pressure   What happens when you lose everything? You just start again You start all over again  What happens when you lose everything? You just start again You start all over again  Everything  You start all over again  Everything  You start all over again   What happens when you lose some pressure? Apply some pressure Lose some pressure Apply some pressure Lose some pressure Apply some pressure Lose some pressure  What happens when you lose some pressure? Apply some pressure Lose some pressure Apply some pressure Lose some pressure Apply some pressure Lose some pressure   You know that I would love to see you next year I hope that I am still alive next year You know that I would love to see you in that dress I hope that I will live to see you undress",-0.7941,11,24,11,11,12,37,14,11,15,10
2,/songs/2011122,Mark Ronson,Bluegrass Stain'd,https://genius.com/Mark-ronson-bluegrass-staind-lyrics,http://api.genius.com/songs/2011122,Here Comes The Fuzz,2003-10-20,"Now I came up with little bad a** yeagas, to never had a** yeagas Slept and ate with our peeps but we let the streets raise us Kept the weed blazin', don't let the drink age us Used to live outrageous, now we just couch potatoes Without the wages, to break out the project cages Make do with what we got, use the logic that God gave us Losin' faith is enough to make a man crazy Can't even pay my landlady How the f*** I'm 'posed to save for my unplanned baby? Joined the Navy and my uncle sayin', ""Pay me"" Maybe I'm just too damn lazy but you can page me Lately, been hustlin' grams daily Holdin' down my spot on the corner like Champ Bailey But I know I ain't the only one, you feel me? On the gun livin' on the run, look how they done momma's only son X me out like I'm, a Roman numeral Damn and ain't tryin' to see me again, till my funeral For so long I been grindin' Paid my dues, put my time in Even went down for tryin', I pushed on Never once did I give up Every time I fell I would get up Always kept my spirit up, I pushed on Now we finally feelin' plush Doin' gotta do to keep our nails airbrushed Jade straight out the box, damn ne'er been touched Damn I'm feelin' good, B lined me up Till we never seen a Pontiac diamond-toed Nappy Roots, what it mean to ya? Mines and us And don't be callin' us slow, we ain't grind it up Now my people all smiles 'cause we out the slums Sayin', ""Look at Big Bud ol' sloppy drunk I remember when he sold tapes out the trunk Now here's the routine jump out the truck T-shirt and blue jeans '94 Jays with the blue shoe strings When I first hit the grind ain't stop for s*** And my only motivation was a pot to piss See it hit me so hard ain't have a penny to myself I swallowed up my pride and asked Skinny for some help And I'm sayin' For so long I been grindin' Paid my dues, put my time in Even went down for tryin', I pushed on Never once did I give up Every time I fell I would get up Always kept my spirit up, I pushed on Want me to stop, I did but I couldn't stop the s*** Dawg I cried for this, stole and lied for this Scream when I felt this s*** Toured for 16 months straight, lost breath for this Heh, yelled for this Sinnin' every night, know I'm goin' to hell for this The hurt and the betrayal, compelled by this Tough wall to climb but Nappy Roots scaled the s*** Just don't let me rap in vain, people pray over this Don't take my word for it, see for yourself and s*** Everybody out in the wind, ain't no help with this I coulda thrown in the towel, coulda walked away Eyes on the prize, so I'm strong today Simply want it, believe it, think it, breathe it Chase it, cease it, maintain, keep it Hold it, control it, never let go of it Hold on, press on, push on, I'm gone For so long I been grindin' Paid my dues, put my time in Even went down for tryin', I pushed on Never once did I give up Every time I fell I would get up Always kept my spirit up, I pushed on For so long I been grindin' Paid my dues, put my time in Even went down for tryin', I pushed on Never once did I give up Every time I fell I would get up Always kept my spirit up, I pushed on For so long paid my dues, now I I pushed on Alright, give up I pushed on I never have, kept on Now I came up with little bad a** yeagas, to never had a** yeagas",-0.8041,14,21,14,9,13,28,25,17,7,16
3,/songs/2014389,Mark Ronson,Bout to get ugly,https://genius.com/Mark-ronson-bout-to-get-ugly-lyrics,http://api.genius.com/songs/2014389,Here Comes The Fuzz,2003-10-20,"I think I'm ready to do some type of report Tell me whatcha really want Look at how lovely (Mark Ron) What they don't know (Rhymefest) it's bout to get ugly From the East to the Midwest Lemme tell ya how we do it here (It's 'bout to get ugly)  You know we shot till I die And I'm lovin' the spot But when I'm up in NY they say the clubbin is hot They say You could meet a broad Take her home on the spot And that broad could get a broad Bring 'em home and just watch (Yes!) They say Club Cheeta' That's the place where all the niggas gettin' shot in the face We can hit central fly Long as the chicks is fly I need some head no time to waaaaaste Who that DJ be They said Ronson Step in the club with one hand on mah Johnson That Midwest attitude gettin' 'em respondin"" Talkin bout ""Ohh his accent is so charmin'"" Yeah, you wanna dance chick lets go Glowsticks, lollipops, right foot, left toe Looked around the room I ain't see no Negroes Like ahhh ""niggas don't listen to techno"" Slow it down now, we goin downstairs They got the Cristal They got the lounge chairs With the pretty Puerto Rican girls around here (hey baby) I know its everyday for you I ain't from round here  Tell me whatcha really want, look at how lovely What they don't know it's bout to get ugly What they don't know it's bout to get ugly Right now it's gonna get ugly Tell me whatcha really want, look at how lovely What they don't know it's bout to get ugly Tell ya right now it's bout to get ugly Right now [?most thinkin' it's lovely]  I'm dancin with this chick, right? Music hard got her ass jumpin all night DJ throwin' out [?the pity part] that's right (No shirt on) Hey playa what that is, the White Stripes? (oooohhhh) Hold up Where the hell he get that mix White boys goin' wild doin back flips Playin rock n' roll Mixin' with the black shit M.O.P AC/DC That's it! Keep it goin' Now its Rob Zombie I never liked rock n' roll But now its gon' be Blonde hair blue eyes Kissin gold chains I'm Mos Def She the queen of the stone age Rhymefest I'm the king of my own age Get your motor running Head out on the highway The way this DJ like the start to the stop shit Should we dance? Hell nah, start a mosh pit And let 'em know we just Tell me whatcha really want, look at how lovely What they don't know it's bout to get ugly What they don't know it's bout to get ugly Right now it's gonna get ugly Tell me whatcha really want, look at how lovely What they don't know it's bout to get ugly Tell ya right now it's bout to get ugly Right now it's gonna get ugly Tell me whatcha really want For me to miss my plane Stay in NY and do it again Tell me whatcha really want Rock stars, electric guitars Baby who's pullin' your strings Tell me whatcha really want The DJ in the booth Thinking that we not playin the truth With the hard rock, hip-hop East to Midwest Mark Ronson's on the cut And my name is Rhymefest  (Right now it's getting pretty ugly) (Riiiiight now,) (Doin' it again, Doin' it again, Doin' it again, Doin' it again now (Going to get ugly right now,) (I can't, I can't help myself…) (*continued vocalizing*)",-0.9967,21,17,21,7,17,42,32,17,10,22
4,/songs/671964,Mark Ronson,Crack in the Pearl,https://genius.com/Mark-ronson-crack-in-the-pearl-lyrics,http://api.genius.com/songs/671964,Uptown Special,2015-01-13,"In the back room of the El Mago Casino Under a portrait of Doris Day You and I And a pair of C-notes Soft candy betting hard eight  Not quite how you laid it out for me When we split up that night, that night Coming out of the Sunset Marquis Before you left to deal the fine white  Is this how you pictured it Is this how you thought it would be We got right with the mutual problem That got right between you and me I told you the girl would be trouble I said she was going to break us Leave us lost in the rust and the rubble Nine exits north of Las Vegas, Vegas Nine exits north of Las Vegas, Vegas Nine exits north of Las Vegas, Vegas Nine exits north of Las Vegas",-0.7579,0,5,0,2,2,6,5,4,3,2
5,/songs/672166,Mark Ronson,"Crack in the Pearl, Pt. II",https://genius.com/Mark-ronson-crack-in-the-pearl-pt-ii-lyrics,http://api.genius.com/songs/672166,Uptown Special,2015-01-13," Cause there's always a flaw in the diamond A lightning-fork crack in the pearl A fault in the rock of the island And it's usually shaped like a girl, girl   Leave us lost in the rust and the rubble Nine exits north of Las Vegas, Vegas Nine exits north of Las Vegas, Vegas Nine exits north of Las Vegas   I was the first one to see her And you were the first one to fall Like a half-drunken downhill skier And she was the oncoming wall Now I get that it's all gone awry A joke I might like to take back Wipe a bright star from the night sky Nothing can fill in the black",0.8316,1,1,1,2,2,12,4,7,2,2
6,/songs/670078,Mark Ronson,Daffodils,https://genius.com/Mark-ronson-daffodils-lyrics,http://api.genius.com/songs/670078,Uptown Special,2015-01-13,"Run your fingers down the cool Underbelly of the blue evening Crank that vapor-wagon Start that kick dragon beating Step out on the patio Follow where your daddy-o's leading  Wrestle with our shadow twins Hold'em till they're glowin' in warning Hit that bubble kit now Laughin' as you breathe out, easy Drop another daffodil We can push on through till morning  Drop another daffodil sail off the map until morning  Baby just say no to sleep Bodies got to keep exploring Sweet volcano violence Vast new continents spawning Drop another daffodil We can push on through till morning  Drop another daffodil sail right off the map until morning  Put another record on Maybe Chaka Khan or Rocky Catch on fire above the Green empire of the kraken Flow with the isosceles To the beat of six knees knocking  Drop another daffodil we can push on through till morning Drop another daffodil sail right off the map until morning",-0.9382,4,2,0,7,3,6,6,3,3,4
7,/songs/212987,Mark Ronson,Diduntdidunt,https://genius.com/Mark-ronson-diduntdidunt-lyrics,http://api.genius.com/songs/212987,Here Comes The Fuzz,2003-10-20," See, John was a diduntdidunt, know'm sayin’?  That’s the whole point.  My man John was a fuckin’ diduntdidunt.  Holla.  You know you got them diduntdidunt niggas in the hood, know'm sayin’?  Niggas who don't mean nothin’ to nobody and shit.  Fuckin’ mother don't even like him.  You know what I'm talkin’ ‘bout.  Shit like…   In junior high, I knew a kid named John One day John started thinkin’ he could rhyme He used to see me battle with niggas one at a time He figured he’d test his skills against mine He came up to me one day and said, ""Hey Niggas saying you mean, lord.  Spit sixteen, god"" I said, ""No pa, I'm good"" He said, ""Well, I'mma spit some shit then.  You know, rep for my hood Check it: we ride drops, we pop mad shots We even got 20-inch rims on the yacht"" I told him to stop The nigga ain't listen—he kept goin' So I punch duke in his mouth while he was flowin' He got up off the ground and said, ""Why'd you hit me?"" ""You a diduntdidunt.  Here's a shot to the kidney"" The Mike Tyson of the rap shit I even got a speech impediment—""You fuckin' lil' bastards"" (“That's my word, man.  Any fuckin’ rapper man I'll eat his fuckin’ children, man.  Bring him to me, man”)   You a diduntdidunt—rappin 'bout ya gun and ya blunt A diduntdidunt—to you, it ain't nothin’ to front You a diduntdidunt—a pussy that always talk about pussy when the pussy prolly ain't had none in a month You a diduntdidunt.  Man, I done been where you from A diduntdidunt—you ain't come up in the slum You a diduntdidunt—act like you want beef I'll knock out ya teeth and you'll be literally bumpin’ ya gums, son   See, see back in the day, I knew a kid named Ray He was kind of sweet, so niggas thought he was gay Every day, little Ray would come around the way And try to shoot hoops, but dudes wouldn't let him play I remember it was like the third week of May Ray came through just like any other day But on this particular day, he had somethin’ to say Said if he couldn't play then niggas’ll have to pay Now me being the man that I am Threw the ball at him and told a nigga to scram He reached into the pocket of the jacket he was wearin' Pulled out a jammy no bigger than his hand He said, ""Fuck you Sai!"" then popped one in the sky Just started to cry like, ""Somebody gon' die"" I'm like, ""Bitch, give me this gun, you fuckin' punk"" (Put it down Ray) Ray you ain't a thug, you a diduntdidunt   You a diduntdidunt—rappin 'bout ya gun and ya blunt A diduntdidunt—to you, it ain't nothin’ to front You a diduntdidunt—a pussy that always talk about pussy when the pussy prolly ain't had none in a month You a diduntdidunt.  Man, I done been where you from A diduntdidunt—you ain't come up in the slum You a diduntdidunt—act like you want beef I'll knock out ya teeth and you'll be literally bumpin’ ya gums, son   I've been all over the U.S. of A Out west with Ronson, down south with Shey (hey!) And one thing I see everywhere that I be (is what?) Is a diduntdidunt I've been on the bottom, been on the top Been in the club and been on the block The one thing I see everywhere that I be (is what?) Is a diduntdidunt   So if you a punk, then say you a punk Type of nigga that get knocked out and say you was drunk I don't play that, niggas stay beefin’ on ADAT See them in the street, like Pat—they don't say jack (Sajak) My name is Saigon—I dare a rapper to say that I ain't gon’ run in the booth and get payback I'mma catch you while you eatin’ lunch Catch you with a sucker-punch (like umph) Take that, fuckin' diduntdidunt   You a diduntdidunt—rappin 'bout ya gun and ya blunt A diduntdidunt—to you, it ain't nothin’ to front You a diduntdidunt—a pussy that always talk about pussy when the pussy prolly ain't had none in a month You a diduntdidunt.  Man, I done been where you from A diduntdidunt—you ain't come up in the slum You a diduntdidunt—act like you want beef I'll knock out ya teeth and you'll be literally bumpin’ ya gums, son   Don’t get the ""Diduntdidunt"" stamped on your forehead.  Allido, we here.  Yeah.  Don’t be like John or Ray.  If you like John or Ray, stay the fuck out my way, ya heard?  Saigon.  Brratt!  Nigga.  2010, bitch!",-0.9981,27,10,23,17,7,43,23,12,10,17
8,/songs/4344294,Mark Ronson,Don't Leave Me Lonely,https://genius.com/Mark-ronson-dont-leave-me-lonely-lyrics,http://api.genius.com/songs/4344294,Late Night Feelings,2019-05-17," Tell me, baby, what's on your heart? 'Cause I've been wondering around in your dark, yeah I've got way too many questions, always learning lessons Loving too hard Give me just a second to breathe 'Cause you've been turning all the tables on me, yeah Whenever you would get up in your feelings, I would always listen Now you turn around and leave   Oh, if we fall apart, let's do it in the dark Hit me in the heart this time   Don't you leave me lonely tonight 'Cause I won't forgive you (Won't forgive you) Don't you leave me lonely tonight 'Cause I can't forget you (Can't forget you) I toss and turn alone in my bed When you should be laying here beside me instead Oh, don't you leave me lonely tonight 'Cause I won't forgive you, forgive you, forgive you this time   Tell me if this love is a lie 'Cause the ticking time is passing me by, babe I'm waiting, but the second hand is turning Burning all the circles in my mind, eh Anticipating 'cause you know I'm never satisfied And I don't want to hear the reasons why, why, why we fight, eh   Oh, if we fall apart, let's do it in the dark Hit me in the heart this time   Don't you leave me lonely tonight 'Cause I won't forgive you (Won't forgive you) Don't you leave me lonely tonight 'Cause I can't forget you (Can't forget you) I toss and turn alone in my bed When you should be laying here beside me instead Oh, don't you leave me lonely tonight 'Cause I won't forgive you, forgive you, forgive you this time   Don't you leave me lonely tonight 'Cause I won't forgive you Oh, don't you leave me lonely tonight 'Cause I won't forget you Oh, I toss and turn alone in my bed When you should be laying here beside me instead Oh, don't you leave me lonely 'Cause I won't forgive you, forgive you, forgive you this time",-0.9903,14,8,11,11,5,31,33,26,11,13
9,/songs/3006070,Mark Ronson,Edi wow,https://genius.com/Mark-ronson-edi-wow-lyrics,http://api.genius.com/songs/3006070,None,2003-11-18,"""7 Days""  On my way to see my friends Who lived a couple blocks away from me (owh) As I walked through the subway It must have been about quarter past three In front of me Stood a beautiful honey with a beautiful body She asked me for the time I said it'd cost her her name A six digit number & a date with me tomorrow at nine  Did she decline? No Didn't she mind? I don't think so Was it for real? Damn sure What was the deal? A pretty girl aged 24 So was she keen? She couldn't wait Cinnamon queen? let me update What did she say? She said she'd love to Rendezvous She asked me what we were gonna do Said we'd start with a bottle of moet for two    Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday & Friday & Saturday we chilled on Sunday I met this girl on Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday & Friday & Saturday we chilled on Sunday   Nine was the time Cos I'll be getting mine And she was looking fine Smooth talker She told me She'd love to unfold me all night long Ooh I loved the way she kicked it From the front to back she flipped (back she flipped it, ooh the Way she Kicked it) And I oh oh I yeah Hope that she'd care Cos I'm a man who'll always be there  Ooh yeah I'm not a man to play around baby Ooh yeah Cos a one night stand isn't really fair From the first impression girl hmm you don't seem to be like that Cos there's no need to chat for there'll be plenty for that From the subway to my home Endless ringing of my phone When you feeling all alone All you gotta do Is just call me call me    Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday & Friday & Saturday we chilled on Sunday I met this girl on Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday & Friday & Saturday we chilled on Sunday    (Break it down, uh break it down) Since I met this special lady Ooh yeah I can't get her of my mind She's one of a kind And I ain't about to deny it It's a special kinda thing With you-oh.......    Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday & Friday & Saturday we chilled on Sunday I met this girl on Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday & Friday & Saturday we chilled on Sunday  ",0.9975,4,11,2,2,20,6,27,2,5,11
