,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/59710,Melanie Fiona,4AM,https://genius.com/Melanie-fiona-4am-lyrics,http://api.genius.com/songs/59710,The MF Life,2011-09-06,T the lights on  Sitting here feeling kinda crazy But not just any crazy It's the kind you feel when you love somebody And I know that my baby Is calling somebody else baby And I can't sit still Look how gone it got me  Who knew that my heart could have a bruise? You see this scar here on my chest? I'm hurting and he don't even care  It's 4 AM and my lover won't answer He's probably somewhere with a dancer Sippin' champagne while I'm in his bed  It's 4 AM and I think I might lose it This mo'fucka thinking I'm stupid He must've bumped his head Don't he know it's 4 AM    Standing here and I'm getting heated Pourin' me up a drink I swear I need it I think I'm about 'Bout to hurt somebody Swear this man is begging me to leave Him Getting sick of being so mistreated Another night without.. Without his arms around me  Who knew that my heart could have a Bruise? You see this scar here on my chest? I'm hurting and he don't even care  It's 4 AM and my lover won't answer He's probably somewhere with a dancer Sippin' champagne while I'm in his bed  It's 4 AM and I think I might lose it This mo'fucka thinking I'm stupid He must've bumped his head Don't he know it's 4 AM  I don't deserve this life I'd make the perfect wife And I know love's a sacrifice But who's gonna sacrifice for me and Give me all their time and...  Who knew that my heart could have a Bruise? You see this scar here on my chest? I'm hurting and he don't even care  It's 4 AM and my lover won't answer He's probably somewhere with a dancer Sippin' champagne while I'm in his bed  It's 4 AM and I think I might lose it This mo'fucka thinking I'm stupid He must've bumped his head Don't he know it's 4 AM ..  Sitting here feeling kinda crazy But not just any crazy It's the kind you feel when you love somebody,-0.9005,18,11,9,16,13,26,24,18,6,18
1,/songs/208475,Melanie Fiona,6AM,https://genius.com/Melanie-fiona-6am-lyrics,http://api.genius.com/songs/208475,The MF Life,2012-03-20,"[Verse 1: T-Pain] Girl why you mad (why you mad) I know (know) Exactly what time it is You ain’t gotta tell me (you ain’t gotta tell me) So what’s up with the yelling (what’s up with the yelling) Shorty I was up in the club (club) Really turned up (up) Chilling just minding my bis' I wasn’t doing nothing wrong (wasn’t doing nothing wrong) Girl you know that I was coming home   I’m just saying It feels like forever you been gone Where did you go (where did you go) And how do I know (I know) It ain’t a lie (ain’t a lie) Cause it seems like it never takes this long For you to come back Boy tell me where your phone is You a grown man   It’s six in the morning Conversation got boring And I been waiting up for him Six in the morning Why did my lover not answer I was somewhere with a dancer It’s six in the morning Oochy wally wally you been at a party Getting all kinds of naughty It’s six in the morning Too many lies, not enough time Four and five, six in the morning It’s 6am, It’s 6am, It’s 6am, It’s 6am  [Verse 3: T-Pain] It’s way too early (too early) Calm down (down) You ain’t gotta jump in my face I’m bout to go to sleep (I’m bout to go to sleep) Holla at me round three (holla at me round three) (Girl, Girl) Girl I been drinking And I can’t even make up a lie right now With you in my ear (with you in my ear) Shorty I was just playing (I’m listening) What are you saying?   Boy who the hell you really think you’re talking to If only you knew (if only you knew) What I had planned for you (for you) you woulda been here Coulda had had my loving Instead you out there clubbing (that ain’t cool) And you ain’t even pick up the phone I’m tired of being all alone    [Outro: Melanie Fiona & T-Pain] What your ass doing up anyway, anyway Fuck that I was sitting here worried about you I been on my grind all week (like me) I was just trying to grab me a drink You could of picked up the phone And let your girl know Cause love should of brought you home  ",-0.2134,10,5,9,6,5,22,8,11,0,3
2,/songs/1712309,Melanie Fiona,Ay Yo,https://genius.com/Melanie-fiona-ay-yo-lyrics,http://api.genius.com/songs/1712309,The Bridge,2009-06-26,"© Sony/ATV Music Publishing LLC, Universal Music Publishing Group  I wanna thank you for everytime you tried To get the best of me inside How many times I compromised I don't do this for the glory Or for what people might say I'm gonna do this my own way Starting today  There's nothing that you can tell me I'll show you I was born ready  And I say AY YO Rise up lemme see your head high And if you're with it put your hands up in the sky La da di di da da di di da da da Ay yo ay yo ay yo AY YO And I'm gon' rock it to the fullest in this life So I'm a give all I got before I die La da di di da da di di da da da  Every woman has a purpose Nothing happens by chance This is your life here in your hands You gotta fight to take the stand And I know you might not see it But the high can fall so fast When you're in first don't forget the last You gotta give it all you have  Oh life can be unforgiving I'm fighting to keep on living  And I say AY YO Rise up lemme see your head high And if you're with it put your hands up in the sky La da di di da da di di da da da Ay yo ay yo ay yo AY YO And I'm gon' rock it to the fullest in this life So I'm a give all I got before I die La da di di da da di di da da da  If you have a light Then hold it up and let it shine Would you make the choice to meet your destiny Or let this lifetime pass you by Only you can make it What's yours is yours no one can take it If you have a dream Something you believe It's time to set it free  And I say AY YO Rise up lemme see your head high And if you're with it put your hands up in the sky La da di di da da di di da da da Ay yo ay yo ay yo AY YO And I'm gon' rock it to the fullest in this life So I'm a give all I got before I die La da di di da da di di da da da",-0.7947,3,4,0,4,3,8,28,7,1,4
3,/songs/980153,Melanie Fiona,Bang Bang,https://genius.com/Melanie-fiona-bang-bang-lyrics,http://api.genius.com/songs/980153,The Bridge,2009-10-18,"© Sony/ATV Music Publishing LLC   Finger on the trigger Let it bang bang, baby let it bang I don't give a dang cause I'm a rebel kind Watch me do my thang Let me introduce you to my Lucy I don't care if you like me (I'll walk it out on 'em) Running from the law I'll hit the borderline They trying to trap me So let's get down baby   I be locking and loading I be shooting forever Got my eye on the target And I'm aiming at ya See me moving in silence Feel destruction and violence Got my eye on the target And I'm aiming at ya   Bang, Bang (I'm aiming at ya) Bang, Bang (I'm aiming at ya)   Ain't nothing like the feeling of that cold cold metal in my hand Know I sound psycho, Daddy-o, you'll never understand Let me introduce you my chrome-plated bullet She shining (I'll whip it out on 'em) Polishing my '45 Chevy ride scraping the highway Top down, pick it up   I be locking and loading I be shooting forever Got my eye on the target And I'm aiming at ya See me moving in silence Feel destruction and violence Got my eye on the target And I'm aiming at ya   Bang, Bang (I'm aiming at ya) Bang, Bang (I'm aiming at ya)   I'm aiming at ya, I'm aiming at ya Maybe I should live and let die Taking it like a soldier, don't cry Hold my head Come down from my high I be locking and loading I be shooting forever Got my eye on the target And I'm aiming at ya   I be locking and loading I be shooting forever Got my eye on the target And I'm aiming at ya (Bang, Bang) See me moving in silence Feel destruction and violence (Let me introduce you to my Lucy) Got my eye on the target And I'm aiming at ya   Bang, Bang (I'm aiming at ya) Bang, Bang (I'm aiming at ya)   I'm aiming at ya, I'm aiming at ya Hey, mmmm yeah! Mmmm! Hey, hey, hey, hey! Let me introduce you to my Lucy Ow! Hey, oh! Bang, Bang, Bang Bang, Bang, Bang Bang, Bang, Bang Bang, ow!",-0.9566,42,4,28,38,6,46,12,35,28,7
4,/songs/1791973,Melanie Fiona,Bite The Bullet,https://genius.com/Melanie-fiona-bite-the-bullet-lyrics,http://api.genius.com/songs/1791973,Next Train,2015-08-20," The first time you shot me down I was grazed Second round was never found, ricocheted Nowhere to run, I was stunned in a daze A victim of a love I can't escape I remember when you said you loved me Three little words that burned into my soul Maybe you didn't mean those things you told me Maybe you didn't really mean those words at all   I'll bite the bullet I'll do it in the name of love I guess I'll bite the bullet Or stop playing with loaded guns Stop playing with loaded guns   What do you want from me? Baby what you want from me? You think you have the ability to love two women equally Well I don't have the energy to fight for your exclusivity Cause I remember when you said you loved me That's why it's so damn hard to let you go Did you mean them things you told me? Did you ever really love me at all?   All this back and forth, what is it for? The silent games, the tug of war Wish I could break down your walls Be the one you call, catch you when you fall Brick by brick, I thought that we could build again But now I know this is the end  ",0.8628,6,3,1,8,6,12,13,3,5,4
5,/songs/1761698,Melanie Fiona,Bones,https://genius.com/Melanie-fiona-bones-lyrics,http://api.genius.com/songs/1761698,The MF Life,2012-03-20,"Verse 1: You make my heart hurt You make my love burn You make the cuts down You make my world turn But words mean nothing Cause I'll abuse them oh, oh, oh And you're touching the surface When I need an infusion Oh, oh, oh  Chorus: Straight through your skin Pass your soul to your bones Closer, further, deeper Further inside you, than you've ever known Desperately trying to feel ya Oooh I need your bones Oooh Gimmie, gimmie, gimmie your bones!  Verse 2: I wanna own you I wanna consume you Get all the lack of love And pass myself through you! Hey, baby cause nothing's enough And I'm slowly dying Oh, oh, oh So please, save me now You gotta keep trying Oh, you gotta keep trying  Chorus: Straight through your skin Pass your soul to your bones Closer, further, deeper Further inside you, than you've ever known Desperately trying to feel ya Oooh I need your bones Oooh Gimmie, gimmie, gimmie your bones!  Bridge: I pass your liver and your kidneys and your lungs (closer, deeper) Cause I wanna get lost deep, mixed up in you Yeah yeah yeah yeah  Chorus: Straight through your skin Pass your soul to your bones, closer, further, deeper Further inside you, than you've ever known Desperately trying to feel ya Oooh I need your bones Oooh Gimmie, gimmie, gimmie your bones!",0.9725,3,0,2,3,4,5,8,4,0,2
6,/songs/1156548,Melanie Fiona,Break Down These Walls,https://genius.com/Melanie-fiona-break-down-these-walls-lyrics,http://api.genius.com/songs/1156548,The MF Life,2012-03-20,"I don't even try to fight it Yes i'm too mature to hide it All that i feel i can't even explain But i know not a day goes I don't go, imma wait for you  But you keep me on an island At best you're distant and at worst you're hiding Whats on your mind, baby tell me the time I try to break though your guard But its so damn hard child My heart beats every beat for you I hurt when you're hurt I'm blue when you're blue And i'm fighting but even the greatest of walls withstand  My love is strong But its weary from the climb Why can't you help me Can't you help me please break down your walls Can you please  Cause i'm holding on But my spirit gets weary Oh, i know what it is It ain't easy, we must break down your walls But we must break  Love has to fear, please take down your walls I'll be right here, please break down your walls  You don't prove you're tough by shutting me out You ain't living alone But that's the way you carry it Its dead, so you just bury it It still hurts, we don't work And here i am just bearing it all  My, my, my, my, my, my, my Why, why, why, why won't you Let me do what a lovers supposed too do Does it even matter to you that  My heart beats every beat for you I hurt when you're hurt I'm blue when you're blue And i'm fighting but even the greatest of walls withstand My love is strong But its weary from the climb Why can't you help me Can't you help me please break down your walls Can you please  Cause i'm holding on But my spirit gets weary Oh, i know what it is It ain't easy, we must break down your walls But we must break  Love has to fear, please take down your walls I'll be right here, please break down your walls",0.2604,11,6,1,13,7,17,18,15,9,7
7,/songs/1721950,Melanie Fiona,Can't Do This No More,https://genius.com/Melanie-fiona-cant-do-this-no-more-lyrics,http://api.genius.com/songs/1721950,The MF Life,2012-03-20,"I've been working on a recipe To mix my mind, body soul with your chemistry I think of us, think of us, like an old school melody 'Cause the rhythm that you're giving feels good to me  So why in the name of love would I feel this so much? If I can only look but can't touch So I just can't do this no more What am I supposed to do? Sit around in love with you 'Cause I hate to lose And I just can't do this no more  You belong to another Wonder if she knows about you undercover This thing between us is like no other And if we could you'd be the lightening to my thunder  So why in the name of love would I feel this so much? If I can only look but can't touch So I just can't do this no more What am I supposed to do? Sit around in love with you 'Cause I hate to lose And I just can't do this no more  I just can't do this no more When I want you so much more I just can't do this no more (x2)  I Just can't do this no more If I can only look but can't touch So I just can't do this no more  What am I supposed to do? Sit around in love with you 'Cause I hate to lose And I just can't do this no more",-0.9749,6,1,6,6,6,6,9,6,4,2
8,/songs/1300259,Melanie Fiona,Can't Say I Never Loved You,https://genius.com/Melanie-fiona-cant-say-i-never-loved-you-lyrics,http://api.genius.com/songs/1300259,The MF Life,2012-03-20,"Ohhhhh Oh ohhhh Huuuuhhh woooaaaahh  If my love can't be with you Who in the world can I give it to Who can I live my life to change the world with Oh yeah If I love what you tell me 'Cause I can't take responsibilities My pride is all I have Now you're gonna take it take it take it from me Promises were all I got It might mean nothing to you But to me it meant a lot  (CHORUS:) You said you love me but you left Lord knows I really did my best I relied on you to do the rest Can't say I never loved you And I was giving you me Hoping that the possibility Wouldn't need to set you free Can't say I never loved you  Where you going I hope you're staying There's no way you can't repay What you took from me Baby, no way I'm not crying over you Not gonna chase you down like some fool If this is it baby have it your way Promises were all I got It might mean nothing to you But to me it meant a lot  (CHORUS:) You said you love me but you left Lord knows I really did my best I relied on you to do the rest Can't say I never loved you And I was giving you me Hoping that the possibility Wouldn't need to set you free Can't say I never loved you  Can't say that I never loved you Loved you, loved you Can't say that I never loved you Loved you, loved you Can't say that I never loved you Loved you, loved you Can't say that I never loved you Loved you, loved you  Was it everything that you planned it to Believe it, baby I'm gonna get over you And now the change is all from red to blue You're like old news, old news, old news  (CHORUS:) You said you love me but you left Lord knows I really did my best I relied on you to do the rest Can't say I never loved you And I was giving you me Hoping that the possibility Wouldn't need to set you free Can't say I never loved you  Can't say that I never loved you Loved you loved you Can't say that I never loved you Loved you loved you Can't say that I never loved you Loved you loved you Can't say that I never loved you Loved you loved you",0.9991,1,5,4,2,13,6,25,2,1,7
9,/songs/91983,Melanie Fiona,Change The Record,https://genius.com/Melanie-fiona-change-the-record-lyrics,http://api.genius.com/songs/91983,The MF Life,2012-03-20,"I hear you DJ I hear you DJ   Cause this one's got scratches Went to get drinks and I'm asking him ""How did you get this way? Whose lipstick is on your face?"" It's been 15 minutes and 2 hours You think you can make it up with some damn flowers Thinking about the things you do And I'm waiting over here and you're with God knows who  Cause you don't care right here And you don't care who's there And you don't care Well here's the song I hear   You can do better Do better If you don't like how he's playing then change the record You can do better Do better Cause I don't know what kind of games you're playing But it's time to change the record record record I hear you DJ, I hear you DJ I hear you DJ, I hear you DJ   Cause this one's got played out Skips everything you wanna hear about About the purp it's a little played out Tired of the lies you wanna rap about, yeah yeah  Cause you don't care right here And you don't care who's there And you don't care Well here's the song I hear   You can do better Do better If you don't like how he's playing then change the record You can do better Do better Cause I don't know what kind of games you're playing But it's time to change the record record record I hear you DJ, I hear you DJ I hear you DJ, I hear you DJ  [B.o.B.] Well this is what the bussiness is I was with the model type Body like a gymnast Hot sex each night, it was just ridiculous It was a match made in heaven But we had to split because we couldn't fix the differences And the difference is She was manipulative And I wanted to do just whatever I did But apparently you had a better idea and you left I guess it's how it is Hollywood divorce after Hollywood romance Now when we're together, and we don't even hold hands And we don't even two-step And we don't even slow dance We was a duet, we was our own band But now I'm solo, it's no show with no fans That's how it go though You strike out like Roland But strike out like baseball, you go down the court man And now you're frozen and oh no, it's no chance So put them hooves on your head like a Colts fan Now they comment on your life like a spokesman I need a mediator, you need a mediator You need a mirror and then maybe you can see a hater  The faster we let it go, the faster you will hear me happy on the radio Stronger and let it flow, the deeper I will fall into this hole  Cause you don't care right here And you don't care who's there And you don't care Well here's the song I hear   You can do better Do better If you don't like how he's playing then change the record You can do better Do better Cause I don't know what kind of games you're playing But it's time to change the record record record I hear you DJ, I hear you DJ I hear you DJ, I hear you DJ",0.9374,8,10,4,10,8,10,33,4,4,31
