,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/4421200,Melanie Martinez,After You've Gone,https://genius.com/Melanie-martinez-after-youve-gone-lyrics,http://api.genius.com/songs/4421200,None,2017-12-22,"After you've gone and left me crying After you've gone, there's no denying You'll feel blue, you'll feel sad You'll miss the dearest pal you ever had  There'll come a time, now don't forget it There'll come a time, when you'll regret it Some day when you'll grow lonely Your heart will break like mine and you'll want me only After you've gone, after you've gone away  Now won't you listen dearie while I say How could you tell me that you're going away? Don't say that we must part Don't break my aching heart  You know I loved you truly many years Love you night and day How can you leave me? Can't you see my tears? Listen while I say  After you've gone and left me crying After you've gone, there's no denying You'll feel so sad, oh, you'll feel so bad You'll miss the bestest pal you ever had  There'll come a time and don't forget it There'll come a time, when you'll regret it Oh, babe, think what you're doin' You know my love for you will drive me to ruin  After you've gone, after you've gone away Away, away",-0.9423,2,7,2,3,3,13,7,10,3,5
1,/songs/654738,Melanie Martinez,Alphabet Boy,https://genius.com/Melanie-martinez-alphabet-boy-lyrics,http://api.genius.com/songs/654738,Cry Baby,2015-08-14," Ah ah ah, buh buh buh buh Ah ah ah, buh buh buh buh buh Ah ah ah, buh buh buh buh Buh buh buh buh, buh buh buh Buh buh buh buh   Always aiming paper airplanes at me when you're around You build me up like building blocks just so you can bring me down You can crush my candy cane but you'll never catch me cry If you dangle that diploma and I dead, you don't be surprised   I know my ABC's, yet you keep teaching me I say fuck your degree, alphabet boy You think you're smarter than me with all your bad poetry Fuck all your ABC's, alphabet boy   I'm not a little kid now Watch me get big now Spell my name on a fridge now With all your alphabet toys You won the spelling bee now But are you smarter than me now? You're the prince of the playground Little alphabet boy   Ah ah ah, buh buh buh buh Ah ah ah, buh buh buh buh buh Ah ah ah, buh buh buh buh Buh buh buh buh, buh buh buh Buh buh buh buh   Apples aren't always appropriate apologies Butterscotch and bubblegum drops are bittersweet to me You call me a child while you keep counting all your coins But you're not my daddy and I'm not your dolly And your dictionary's destroyed   I know my ABC's, yet you keep teaching me I say fuck your degree, alphabet boy You think you're smarter than me with all your bad poetry Fuck all your ABC's, alphabet boy   I'm not a little kid now Watch me get big now Spell my name on a fridge now With all your alphabet toys You won the spelling bee now But are you smarter than me now? You're the prince of the playground Little alphabet boy   Alphabet boy Oh, alphabet boy Alphabet boy Alphabet boy My alphabet boy Ooh ooh, ooh ooh   I'm not a little kid now Watch me get big now Spell my name on a fridge now With all your alphabet toys You won the spelling bee now But are you smarter than me now? You're the prince of the playground Little alphabet boy   (Ah ah ah, buh buh buh buh) (Ah ah ah, buh buh buh buh buh) Alphabet boy (Ah ah ah, buh buh buh buh) Oh, yeah (Buh buh buh buh, buh buh buh) (Buh buh buh buh) Alphabet boy (Ah ah ah, buh buh buh buh) Alphabet boy (Ah ah ah, buh buh buh buh buh) (Ah ah ah, buh buh buh buh) (Buh buh buh buh, buh buh buh) (Buh buh buh buh) Alphabet boy",-0.2865,7,7,18,10,4,20,17,4,5,5
2,/songs/2270583,Melanie Martinez,A Million Men,https://genius.com/Melanie-martinez-a-million-men-lyrics,http://api.genius.com/songs/2270583,None,2017-12-22,"Miss Maggie was way too young to understand Why she got thrown into someone else's hands Why she woke up to strange men They tore her to pieces And she couldn't comprehend Why she was locked up in a basement Filled with men Should've gone to school Instead she did them  Don't touch me I'm fragile I'm bitter in my heart  Momma sold me For candy And I was ruined from the start  Why do you have to sell me to those mean old men They cut me up in places I don't even understand It's normal see, to me but How will my friends understand I'm five years old Sleepin' with a million mehh-ehh-ehh-ennn  All grown up and her body has decayed All those promiscuous games she had to play Ohhhh She skipped the jungle-jungle-gym phase  She's tryin' to look at things in a bright way Sees the a light peekin' through the end of the hallway Ohh She's tryin' tryin' tryin' To escape...  I'm runnin' Full force dear But it's hard when you're close I'm weak kneed but I'm flyin' Out of this hell hole  Why do you have to sell me to those mean old men They cut me up in places I don't even understand It's normalcy, to me but How will my friends understand I'm ten years old Runnin' from a million mehh-ehh-ehh-ennn A million mehh-ehh-ehh-ennn  Finally, the light is comin' close No turning back Run full force Angels swoop down and grab me And now I'm safe away From the million men, who raised me  Why do you have to sell me to those mean old men They cut me up in places I don't even understand It's normalcy to me How will my boyfriend understand I'm seventeen With a history Of a million mehh-ehh-ehh-ennn Men A million mehh-ehh-ehh-ennn  A million men A million men A million A million Men  A million men A million men A million A million Men  A million men...",-0.7311,5,5,4,8,6,9,15,4,3,10
3,/songs/654704,Melanie Martinez,A Thousand Words,https://genius.com/Melanie-martinez-a-thousand-words-lyrics,http://api.genius.com/songs/654704,None,2017-12-22," How can I see when my eyes are closed How can you be so far away and already wanna go How can we talk when our mouths are closed And I want you to know I can't fix what you have broke   Close my eyes and go to sleep You're the last thing the last thing that I see   I had a thousand words to say you just chose to walk away And are you happy now you're free? You gave me your heart and took it back from me Now I've seen the light of day Boy, you don't mean shit to me   How can we write when the ink is gone Our loves an empty page that you've never written on How can we be what we used to be Was it all just make-believe when my heart was on my sleeve   Close my eyes and go to sleep You're the last thing the last thing that I see   I had a thousand words to say you just chose to walk away And are you happy now you're free? You gave me your heart and took it back from me Now I've seen the light of day Boy, you don't mean shit to me   Our loves a postcard on its way heading towards no destiny    Close my eyes and go to sleep You're the last thing the last thing that I see   I had a thousand words to say you just chose to walk away And are you happy now you're free? You gave me your heart and took it back from me Now I've seen the light of day Boy, you don't mean shit to me",0.9864,3,3,6,1,5,7,12,1,1,9
4,/songs/418511,Melanie Martinez,Birthing Addicts,https://genius.com/Melanie-martinez-birthing-addicts-lyrics,http://api.genius.com/songs/418511,None,2017-12-22,"Pupils begin to observe Watching the waste on this earth Mamas don't love their kids like they used to Letting them smoke their herbs  Nails bitten down to the nub Palms out as far as they run Soup never reaches its boil Dinner ain't the only thing they spoiled  Let the maggots and worms infest your brain Got your memory of Alzheimer's begins Let that hell of a drug emerge in your veins And I, will claim that I love you And I am the one who birthed you  Skin tearin' down to the bone Freckles fall off as they're told You realize soon your identity changes No longer the person you were No longer the person that you adore  Let the maggots and worms infest your brain Got your memory of Alzheimers begins Let that hell of a drug emerge in your veins And I, will claim that I love you And I am the one who birthed you  Thank you, mama For all you've done Gave me cancer And thick black lungs Left me rotting On the street Rather shoot up Than have food to eat  Let the maggots and worms infest your brain Got your memory of all timers begins Let that hell of a drug emerge in your veins And I, will claim that I love you And I am the one who birthed you And I am the one who birthed you  Do, do, do do do, do, do Do, do, do do do, do, do  Mamas don't love their kids like they used to Letting them smoke their herbs",-0.9879,5,4,10,6,7,16,12,6,3,4
5,/songs/434495,Melanie Martinez,Bittersweet Tragedy,https://genius.com/Melanie-martinez-bittersweet-tragedy-lyrics,http://api.genius.com/songs/434495,Dollhouse - EP,2014-05-19," Sweet, boy, straight out of the movie screen Candy hearts and chocolate dreams I met my prince upon a popcorn bowl He held my heart and let it go Ice cream, upon a summer's day Beginning sweetness never stays Melting through the cracks in my hands I guess I held on for too long   I'm done with your bittersweet, bittersweet tragedy It's no fun, when I'm sitting all alone You're right in front of me And I'm done with your bittersweet, bittersweet tragedy It's no fun, when I'm sitting all alone You're right in front of me (you're right in front of me)   You speak sour lemonade to me The bitter taste won't let me be One kiss was supposed to be so sweet But I found grapefruit in your teeth Old gum is all you'll ever be to me I spit you out and brush my teeth Melting through the cracks in my hands I guess I held on for too long   I'm done with your bittersweet, bittersweet tragedy It's no fun, when I'm sitting all alone You're right in front of me And I'm done with your bittersweet, bittersweet tragedy It's no fun, when I'm sitting all alone You're right in front of me (you're right in front of me)   Enough of your bittersweet Your sugar rots my teeth Clogs up my arteries Your bittersweet shit is a tragedy   I'm done with your bittersweet, bittersweet tragedy It's no fun, when I'm sitting all alone You're right in front of me And I'm done with your bittersweet, bittersweet tragedy It's no fun, when I'm sitting all alone You're right in front of me (you're right in front of me)",-0.9929,1,13,5,8,12,13,15,8,6,4
6,/songs/4463240,Melanie Martinez,Blue Knees/The Next Time It Rains,https://genius.com/Melanie-martinez-blue-knees-the-next-time-it-rains-lyrics,http://api.genius.com/songs/4463240,None,2017-03-19," Just 'cause I bought a band-aid Doesn't mean I'm able to clean the scars that run Deeper than all my old demons that I keep under still water Just 'cause you give me flowers Doesn't cover up the smell of the dead body Or raise the dead body of a girl who got shot down before   Just 'cause you crack the window Doesn't mean I'm able to clear the air that made it Hard to breathe before You came around here Just 'cause you say you love me Doesn't mean that I'm gonna look you in the eyes Pretend to be surprised And say I love you back (Love you back)   'Cause I'm tripping, tripping on rocks Cuttin' on my ankles, when will the blood stop? Blue, blue knees Fallin' for the next man Who breathes   I need a band-aid recovery Don't get too close 'cause you're really nothing to me You're just a band-aid on my knees You're just a band-aid recovery I'll rip you off when I please I'll rip you off when I bleed   Just 'cause I'm coming over Doesn't mean I'll be there when you wake up 'Cause coming over doesn't mean that I'm over him Just 'cause you are my band-aid Doesn't mean I want you to stick around 'Cause rebounds get washed away the next time it rains   'Cause I'm tripping, tripping on rocks Cuttin' on my ankles, when will the blood stop? Blue, blue knees Fallin' for the next man Who breathes   I need a band-aid recovery Don't get too close 'cause you're really nothing to me You're just a band-aid on my knees You're just a band-aid recovery I'll rip you off when I please I'll rip you off when I bleed",0.6745,8,3,3,3,4,10,20,11,2,4
7,/songs/4511047,Melanie Martinez,Bombs On Monday Morning,https://genius.com/Melanie-martinez-bombs-on-monday-morning-lyrics,http://api.genius.com/songs/4511047,None,2017-12-22,"Pinky promise I'll still love your garden Even with no flowers, even with no flowers Doctor's orders, don't be broken hearted Time will still be ours, time will still be ours Never thought that something Something so tragic could ever happen to Our peaceful little perfect family I promise, promise to love you You and the children, carousel spinnin' Our neighborhood will always be this pretty Bombs are fallin' on Monday morning Waitin' for the news, together An explosion, any moment You make moments last, forever and ever (You make moments last forever) Eyes like hazel, twinkle in the starlight Even when they're crying, even when they're crying Constellations formin' out of scar lines Even when they're dyin', love will still be tryin' Never thought that something Something so tragic could ever happen to Our peaceful little perfect family I promise, promise to love you You and the children, carousel spinnin' Our neighborhood will always be this pretty Bombs are fallin' on Monday morning Waitin' for the news, together An explosion, any moment You make moments last, forever and ever (Bombs are fallin' on Monday morning) Bombs are fallin' on Monday morning Waitin' for the news, together An explosion, any moment You make moments last, forever and ever (Bombs are fallin' on Monday morning) (Bombs are fallin', you make moments last forever) (You make moments last forever)",0.988,8,17,1,11,19,15,22,10,11,13
8,/songs/654646,Melanie Martinez,Bones Are Blue,https://genius.com/Melanie-martinez-bones-are-blue-lyrics,http://api.genius.com/songs/654646,None,2017-12-22," The air I breathe is the same as you And I like to know, if that's true Your heart and mind controlling you Or is it the fact that your bones are blue And why is your face so pale You see my name your lungs exhale You sigh in regret to what we had I didn't know I made you, so mad   Why, are you... Afraid of me for being interesting I'm, confused... By the things you say why are you so vague Don't tell me, who to be... I'm not like you but you're just like me Quit making, a fool... Who the hell are you Your bones are blue too   Now look at you, your grin so big When you saw me fall off that cliff Your smile melts off when I look at you You're glamored up but your bones are blue I've tried and tried to prove you're wrong I know you feel that in this song... I'm looking through that diamond skin, and all I see is an evil grin   Why, are you... Afraid of me for being interesting I'm, confused... By the things you say why are you so vague Don't tell me, who to be... I'm not like you but your just like me Quit making, a fool... Who the hell are you Your bones are blue too   Why, are you... Afraid of me for being interesting I'm, confused... By the things you say why are you so vague Don't tell me, who to be... I'm not like you but your just like me Quit making, a fool... Who the hell are you Your bones are blue too",0.0926,5,2,8,9,5,20,12,12,3,8
9,/songs/3392781,Melanie Martinez,Bulletproof,https://genius.com/Melanie-martinez-bulletproof-lyrics,http://api.genius.com/songs/3392781,The Voice Performances,2012-10-29,"Been there, done that, messed around I'm having fun, don't put me down I'll never let you sweep me off my feet Now I won't let you in again The messages I tried to send My information's just not going in  I'm burning bridges shore to shore I break away from something more I'm not turned off to love until it's cheap Been there, done that, messed around I'm having fun, don't put me down I'll never let you sweep me off my feet  This time baby I'll be, bulletproof This time baby I'll be, bulletproof  Now I won't let you turn around And tell me now I'm much too proud To walk away from something when it's dead Do, do, do, your dirty words Come out to play when you are hurt There are certain things that should be left unsaid  Tick, tick, tick, tick on the watch And life's too short for me to stop Oh, baby, your time is running out  This time baby I'll be, bulletproof This time baby I'll be, bulletproof  This time baby I'll be, bulletproof This time baby I'll be, bulletproof  This time I'll be bulletproof",0.2023,1,12,1,2,11,3,22,1,1,4
