,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3990705,Mumford & Sons,42,https://genius.com/Mumford-and-sons-42-lyrics,http://api.genius.com/songs/3990705,Delta,2018-11-16,"Where do I turn to when there's no choice to make? And how do I presume when there's so much at stake? I was so sure of it all  But what if I need you in my darkest hour? And what if it turns out there is no other? If this is our last hope We would see a sign, oh We would see a sign  Well I've been running from the ashes we left Forgiveness speaks for itself but how can I forget When there's a stain on it all  But what if I need you in my darkest hour? What if it turns out there is no other? We had it all If this is our time now We wanna see a sign, oh We would see a sign  So give us a sign I need some guiding light Children of darkness, oh Oh-oh, oh-oh-oh Oh-oh, oh-oh-oh Oh-oh, oh-oh-oh Oh-oh",-0.8876,1,3,1,1,2,4,3,1,1,1
1,/songs/100990,Mumford & Sons,Awake My Soul,https://genius.com/Mumford-and-sons-awake-my-soul-lyrics,http://api.genius.com/songs/100990,Sigh No More,2009-10-02," How fickle my heart and how woozy my eyes I struggle to find any truth in your lies And now my heart stumbles on things I don't know My weakness I feel I must finally show  Lend me your hand and we'll conquer them all But lend me your heart and I'll just let you fall Lend me your eyes I can change what you see But your soul you must keep, totally free  Har har, har har Har har, har har   Awake my soul Awake my soul   How fickle my heart and how woozy my eyes I struggle to find any truth in your lies And now my heart stumbles on things I don't know My weakness I feel I must finally show  Har har, har har Har har, har har   In these bodies we will live In these bodies we will die Where you invest your love You invest your life  In these bodies we will live In these bodies we will die And where you invest your love You invest your life   Yeah Awake my soul Awake my soul Awake my soul For you were made to meet your maker  Awake my soul Awake my soul Awake my soul For you were made to meet your maker You were made to meet your maker",0.8675,4,2,4,5,4,13,8,7,2,8
2,/songs/90659,Mumford & Sons,Babel,https://genius.com/Mumford-and-sons-babel-lyrics,http://api.genius.com/songs/90659,Babel,2012-09-21," ‘Cause I know that time has numbered my days And I’ll go along with everything you say But I’ll ride home laughing, look at me now The walls of my town, they come crumbling down And my ears hear the call of my unborn sons And I know their choices color all I’ve done But I’ll explain it all to the watchman’s son I never lived a year better spent in love   'Cause I know my weakness know my voice And I believe in grace and choice And I know perhaps my heart is farce But I’ll be born without a mask  (Woo!)   Like the city that nurtured my greed and my pride I stretch my arms into the sky I cry Babel! Babel! Look at me now Then the walls of my town, they come crumbling down You ask where will we stand in the winds that will howl As all we see will slip into the cloud So come down from your mountain and stand where we’ve been You know our breath is weak and our body thin   Press my nose up to the glass around your heart I should’ve known I was weaker from the start You’ll build your walls and I will play my bloody part To tear, tear them down Well, I’m gonna tear, tear them down   'Cause I know my weakness know my voice And I believe in grace and choice And I know perhaps my heart is farce But I’ll be born without a mask",-0.8807,3,3,4,2,3,13,12,5,2,2
3,/songs/715738,Mumford & Sons,Believe,https://genius.com/Mumford-and-sons-believe-lyrics,http://api.genius.com/songs/715738,Wilder Mind,2015-03-09,"   You may call it in this evening But you've only lost the night Present all your pretty feelings May they comfort you tonight And I'm climbing over something And I'm running through these walls   I don't even know if I believe I don't even know if I believe I don't even know if I believe Everything you're trying to say to me   I had the strangest feeling Your world's not all it seems So tired of misconceiving What else this could've been   I don't even know if I believe I don't even know if I believe I don't even know if I believe Everything you're trying to say to me   So open up my eyes Tell me I'm alive This is never gonna go our way If I'm gonna have to guess what's on your mind   Say something, say something Something like you love me Less you want to move away From the noise of this place   I don't even know if I believe I don't even know if I believe I don't even know if I wanna believe Anything you're trying to say to me   So open up my eyes Tell me I'm alive This is never gonna go our way If I'm gonna have to guess what's on your mind So open up my eyes Tell me I'm alive This is never gonna go our way If I'm gonna have to guess what's on your mind",0.9662,2,8,2,2,9,5,18,3,6,17
4,/songs/3990663,Mumford & Sons,Beloved,https://genius.com/Mumford-and-sons-beloved-lyrics,http://api.genius.com/songs/3990663,Delta,2018-11-16," Austere enthroned in white grandeur But tired and shift A whisper of wayward silver hair From your eyes I'd never seen you unkempt before As you whispered ""Darling close the door"" How have I not made a note of every word You ever said? And time, is not on our side But I'll pretend that it's alright She says the Lord has a plan But admits it's pretty hard to understand   Before you leave you must know you are beloved And before you leave, remember I was with you   Are you afraid? However could you not be In this rosy light This is strange I feel a hand come through the mirror Pointing at the light Pointing at the light we never see As you put your feathered arms over me   Before you leave you must know you are beloved And before you leave remember I was with you And as you leave I won't hold you back beloved   We'll sit and talk The stars down from the sky And I'll not forget the chaos in your eyes love   And as you leave you must know you are beloved And as you leave I can see the wild has come for you And as you leave I won't hold you back beloved And as you leave see my children playing at your feet",0.9935,1,6,1,3,6,17,12,11,10,6
5,/songs/90680,Mumford & Sons,Below My Feet,https://genius.com/Mumford-and-sons-below-my-feet-lyrics,http://api.genius.com/songs/90680,Babel,2012-09-21,"You were cold As the blood through your bones And the light which led us from our chosen homes Well I was lost  And now I sleep Sleep the hours that I can't weep When all I knew was steeped in blackened holes I was lost   Keep the earth below my feet For all my sweat, my blood runs weak Let me learn from where I have been Keep my eyes to serve, my hands to learn Keep my eyes to serve, my hands to learn  And I was still But I was under your spell When I was told by Jesus all was well For all must be well  Just give me time You know your desires and mine Wrap my flesh in ivy and in twine For I must be well   Keep the earth below my feet For all my sweat, my blood runs weak Let me learn from where I have been Keep my eyes to serve, my hands to learn Keep my eyes to serve, my hands to learn  Keep the earth below my feet For all my sweat, my blood runs weak Let me learn from where I have been Keep my eyes to serve, my hands to learn Keep my eyes to serve, my hands to learn",-0.3508,0,1,1,3,0,10,10,3,0,6
6,/songs/3682905,Mumford & Sons,Blind Leading The Blind,https://genius.com/Mumford-and-sons-blind-leading-the-blind-lyrics,http://api.genius.com/songs/3682905,None,2018-01-01," Let’s raise our hands for a moment and leave it all behind Don’t be afraid for a moment The blind leading the blind   My generation’s stuck in the mirror “Forget about the poor, ‘cause I don’t like the word” I need to know the name of my neighbor I am not known if I’m not seen or heard And I am afraid of that which I do not know So why don’t I just ask your fucking name Justice just gets buried in a white light There used to be a time you’d call it shame   Put your hand on me tonight And I will be here When you’re crying out tonight And I will be here   Your cynicism buys me no more time here Imagine my relief to hit the walls Running from the weight of ancient labels And leaving what identity there was Well my generation’s stuck in the mirror “Forget about the poor, ‘cause I don’t like the word” I need to know the name of my neighbor I am not known if I’m not seen or heard   So put your hand on me tonight And I will be here When you’re crying out tonight I will be here   Let’s raise our hands for a moment And leave it all behind Don’t be afraid for a moment The blind leading the blind  Put your hand on me tonight And I will be here When you’re crying out tonight I will be here",-0.922,1,6,2,6,2,19,13,8,3,15
7,/songs/4175795,Mumford & Sons,​​breathin,https://genius.com/Mumford-and-sons-breathin-lyrics,http://api.genius.com/songs/4175795,None,2018-11-29," Some days, things just take Way too much of my energy I look up and the whole room's spinning You take my cares away I can so over-complicate, people tell me to medicate   Feel my blood runnin', swear the sky's fallin' I know that all this shit's fabricated Time goes by and I can't control my mind Don't know what else to try, but you tell me every time   Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, keep on breathin'   Sometimes it's hard to find Find my way up into the clouds Tune it out, they can be so loud You remind me of a time When things weren't so complicated All I need is to see your face   Feel my blood runnin', swear the sky's fallin' I know that all this shit's fabricated Time goes by and I can't control my mind Don't know what else to try, but you tell me every time   Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin', mmm, yeah   My, my air, my, my air My, my air, my air My, my air, my, my air My, my air, yeah   Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin', mmm, yeah   Feel my blood runnin', swear the sky's fallin' I keep on breathin', oh yeah Time goes by and I can't control my mind I keep on breathin', mmm, yeah",0.9224,3,6,2,0,0,4,8,0,0,5
8,/songs/715750,Mumford & Sons,Broad-Shouldered Beasts,https://genius.com/Mumford-and-sons-broad-shouldered-beasts-lyrics,http://api.genius.com/songs/715750,Wilder Mind,2015-05-04," Broad-shouldered beasts fill the sky Manhattan beats at the night But you are wrapped up in wire Curled up in fright So I took you to the city for the night To dance under dizzy silver lights But for a moment, you were wild With abandon like a child, just a moment   But wasn't it you who said I was not free And wasn't it you who said I needed peace And now it's you who's floored by fear of it all   But it's alright Take it out on me But it's alright Take it out on me   These apartment walls are paper thin And no one is trying to listen in What to hear our doubts Hear our whispered shouts, they don't care   Wasn't it you who said I was not free And wasn't it you who said I needed peace And now it's you who's floored by fear of it all   But it's alright Take it out on me But it's alright Take it out on me   But when you feel the world wrapping round your neck Feel my hand round yours And when you feel the world wrapping round your neck Don't succumb   But it's alright Take it out on me But it's alright Take it out on me But it's alright Take it out on me",-0.2018,4,3,0,6,4,9,7,2,3,7
9,/songs/90677,Mumford & Sons,Broken Crown,https://genius.com/Mumford-and-sons-broken-crown-lyrics,http://api.genius.com/songs/90677,Babel,2012-09-21,"Touch my mouth and hold my tongue I’ll never be your chosen one I’ll be home, safe and tucked away You can’t tempt me if I don’t see the day The pull on my flesh was just too strong Stifles the choice and the air in my lungs Better not to breathe than to breathe a lie Cause when I open my body I breathe a lie I will not speak of your sin There was a way out for him The mirror shows not Your values are all shot And oh, my heart was flawed I knew my weakness So hold my hand, consign me not to darkness  So crawl on my belly ‘til the sun goes down I’ll never wear your broken crown I took the road and I fucked it all away Now in this twilight, how dare you speak of grace  So crawl on my belly 'til the sun goes down I'll never wear your broken crown I took the road and I fucked it all away Now in this twilight, how dare you speak of grace  So crawl on my belly 'til the sun goes down I'll never wear your broken crown I can take the road and I can fuck it all away But in this twilight, our choices seal our fate",0.3191,8,6,7,6,4,17,12,8,5,12
