,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/670136,My Chemical Romance,All I Want For Christmas Is You,https://genius.com/My-chemical-romance-all-i-want-for-christmas-is-you-lyrics,http://api.genius.com/songs/670136,Gift Wrapped - 20 Songs That Keep On Giving!,2010-11-02,"I don't want a lot for Christmas There is just one thing I need I don't care about the presents underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true Baby all I want for Christmas is you  I don't want a lot for Christmas there is just one thing I need And I don't care about the presents underneath the Christmas tree I don't need to hang my stocking way above the fireplace Santa Clause won't make me happy with a toy on Christmas day And I just want you for my own More than you could ever know Make my wish come true Oh baby all I want for Christmas is you, you baby  I won't ask for much this Christmas I won't even wish oh I won't even wish. I won't even wish for snow I'm just gonna keep on waiting underneath the mistletoe I won't make a list and send it to the North Pole for St Nick Won't even stay awake to hear the magic reindeer play  Cause I just want you here tonight Holdin on to me so tight What more can I do Oh baby all I want for Christmas is you, oh baby Oh our lives are shinin surrounding everywhere Where the sounds of children's laughter fills the air And everyone is singin' oh I hear those sleigh bells ringin' Santa won't you bring me the one I really need Won't you bring back my baby to me  Oh I don't want a lot for Christmas This is all I'm askin for I just want to see my baby standing right outside my door I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you, you, its you, you, oh baby All I want is you  You, you, you, you, you",0.9438,2,7,2,0,18,0,25,0,5,15
1,1,/songs/320607,My Chemical Romance,AMBULANCE,https://genius.com/My-chemical-romance-ambulance-lyrics,http://api.genius.com/songs/320607,Conventional Weapons,2012-11-23," You don’t know a thing about this life And we are up for everything it takes To prove we’re not the same as them And we will wear our masks again, out after dark 'Cause we are up for everything it takes And we are not the same   'Cause we are not afraid And we are not ashamed   And if you save my life I’ll be the one who drives you home, tonight And if I ever let you down I’ll be the one who drives you home, tonight   Remember once, you walked this kind of life Quietly, I’ll sleep behind the wheel And passing every face you see the first time Singing every piece as you walk by Proving that with all of my mistakes That we are not the same   'Cause we are not the same And we are all to blame   And if you save my life I’ll be the one who drives you home, tonight And if I ever let you down I’ll be the one who drives you home, tonight You home, tonight!   It's driving you down It's driving you down It's driving you down It's driving you down  It's driving you down 'Cause it's driving you down It's driving you Driving you down   You don’t know a thing about this life And you don’t know a thing about this life And you don’t know a thing about this life 'Cause you don’t know a thing about me You don’t know a thing   And if you save my life I’ll be the one who drives you home, tonight And if I ever let you down I’ll be the one who drives you home, tonight You home, tonight! You home, tonight!   'Cause it's driving you down 'Cause it's driving you down 'Cause it's driving you down 'Cause it's driving you, driving you Driving you down",0.8454,1,1,2,1,4,5,11,3,0,11
2,2,/songs/320642,My Chemical Romance,Art Is The Weapon,https://genius.com/My-chemical-romance-art-is-the-weapon-lyrics,http://api.genius.com/songs/320642,None,2013-03-25," Look Alive Sunshine 109 in the sky but the pigs won't quit You're here with me Dr. DeathDefying I'll be you surgeon, your proctor, your helicopter Pumping up the slaughtermatic sounds to keep you live A system failure for the masses Anti-matter for the master plan Louder than god's revolver and twice as shiny This ones for all you rock and rollers All you crash queens and motor babies Listen up! The future is bulletproof The aftermath is secondary It's time to do it now, and do it loud Killyjoys, make some noise  NA NA-NA-NA NA-NA-NA NANANANANANA NA NA-NA-NA NA-NA-NA NANANANANANA NA NA-NA-NA NA-NA-NA NA-NA-NA NA-NA-NA NA-NA-NA NA-NA-NA NA   NA NA-NA-NA NA-NA-NA For My Security (NA-NA-NANANA) (NA NA-NA-NA NA-NA-NA) To to every enemy (NA-NA-NANANA) (NA NA-NA-NA NA-NA-NA) We're on their property (NA-NA-NANANA) Standing in V formation  NA NA-NA-NA NA-NA-NA NA-NA-NA NA   NA NANANA NANANA Drop like a bullet shell (NA-NA-NANANA) NA NANANA NANANA Just like a sleeper cell (NA-NA-NANANA) NA NANANA NANANA Id rather go to hell (NA-NA-NANANA) Then be in a purgatory Cut my hair Gag and bore me Pull this pin Let this world explode",-0.963,6,4,7,10,4,14,11,7,3,4
3,3,/songs/320644,My Chemical Romance,Astro Zombies,https://genius.com/My-chemical-romance-astro-zombies-lyrics,http://api.genius.com/songs/320644,Tony Hawk's American Wasteland ,2005-10-18," Whoa, all I want to know All I want   With just a touch of my burning hand I send my astro zombies to rape the land Prime directive, exterminate The whole human race And your face just drops in a pile of flesh And then your heart, heart pounds Till it pumps in death Prime directive, exterminate Whatever stands left   All I want to say And all I gotta do Who'd I do this for Hey, me or you  And all I want to say And all I gotta do Who'd I do this for Hey, me or you   Whoa, all I want to know All I want   With just a touch of my burning hand I'm going to live my life to destroy your world Prime directive, exterminate The whole fucking race And your face just drops in a pile of flesh And then your heart, heart pounds Till it pumps in death Prime directive, exterminate The whole fucking place, well   All I want to say And all I got to do Who'd I do this for Hey, me or you  And all I want to say And all I got to do Who'd I do this for Hey, me or you   Whoa, all I want to know All I want to know All I want to know All I want (Go)",-0.5606,5,2,5,7,0,9,5,7,2,0
4,4,/songs/320176,My Chemical Romance,Blood,https://genius.com/My-chemical-romance-blood-lyrics,http://api.genius.com/songs/320176,The Black Parade,2006-10-23," Well, they encourage your complete cooperation Send you roses when they think you need to smile I can't control myself because I don't know how And they love me for it, honestly, I'll be here for a while   So give them blood, blood, gallons of the stuff Give them all that they can drink and it will never be enough So give them blood, blood, blood Grab a glass because there's going to be a flood   A celebrated man amongst the gurneys They can fix me proper with a bit of luck The doctors and the nurses, they adore me so But it's really quite alarming 'cause I'm such an awful fuck (Oh, thank you)   I gave you blood, blood, gallons of the stuff I gave you all that you can drink and it has never been enough I gave you blood, blood, blood I'm the kind of human wreckage that you love",0.8858,2,3,1,3,8,3,13,1,3,8
5,5,/songs/320556,My Chemical Romance,Boy Division,https://genius.com/My-chemical-romance-boy-division-lyrics,http://api.genius.com/songs/320556,Conventional Weapons,2012-10-30," If all my enemies threw a party Would you light the candles? Would you drink the wine, while watching television?  Watch the animals, and all the tragedies And sell your arteries, to buy my casket gown  Well, it better be black, it better be tight It better be just my size I'm stalking these metro malls and airport halls And all these schoolgirls   I'm not asking, you're not telling He's not dead, he only looks that way   Out nowhere, take me out there Far away and, save me from my Self-destruction, hopeless for you Sing a song for California   I bought my enemies Rope to hang me and, the knives to gang me You can watch them stab me, on your television  Stomp the halls, because the bathroom walls Would have a lot to say, about the lines you're putting down  Well, it better be white and it better be cut And it better be just my size Until my capillaries burst of boredom I'll be waiting   I'm not laughing, you're not joking I'm not dead, I only dress that way   Out nowhere, take me out there Far away, and save me from my Self-destruction, hopeless for you Sing a song for California   Wherever you are Whatever you are Whoever you are Whoever you are  La la la la  'Cause we got the bomb, we got the bomb, let's go! We got the bomb, we got the bomb, let's go! We got the bomb, we got the bomb, let's go! We got the bomb, we got the bomb, let's go!   Way out nowhere, take me out there Far away, and save me from my Self-destruction, hopeless for you Say a prayer for California   We got the bomb! We got the bomb! We got the bomb! We got the bomb!",0.9962,19,6,2,23,7,26,8,22,13,6
6,6,/songs/133521,My Chemical Romance,Breakup Letter,https://genius.com/My-chemical-romance-breakup-letter-lyrics,http://api.genius.com/songs/133521,None,2013-03-25,"A Vigil, On Birds and Glass  I woke up this morning still dreaming, or not fully aware of myself just yet. The sun poked through the windows, touching my face, and then a deep sadness overcame me, immediately, bringing me to life and realization- My Chemical Romance had ended. I walked downstairs to do the only thing I could think of to regain composure- I made coffee As the drip began, in that kind of silence that only happens in the morning, and being the only one awake, I stepped outside my home, leaving the door open behind me. I looked around and began to breathe. Things looked to be about the same- a beautiful day As I turned to step back into the house I heard sound from within, a chirp and a rustle. And I noticed a small brown bird had flown into the library. Naturally, I panicked. I knew I had to see the bird to safety and I knew I had to retain the order of things in our home, and he very well couldn’t take up residency with us. I chased him (still assuming he was a he) into my office, where I have these very large windows Just then, and luckily, I heard Lindsey’s footsteps coming down the stairs, and naturally being composed as she is, she grabbed a blanket and stepped into the office. He was impossible to catch, and I began to open the windows, via Lindsey’s direction, only to find out they were screened. The bird began to fly into the glass, over and over and in all different directions Smack Smack Smack! I heard another set of footsteps, Bandit’s, running down the stairs in anticipation of the new day. Her entrance into the situation caused just the right amount of chaos (she was very excited to meet the bird) and we found ourselves chasing the bird into the living room. Knowing that this where it could potentially get sticky, being the high ceilings and the beams to perch on, I opened the front door as Lindsey did her best to encourage our new friend out the door. After some coaxing, flying, chirping, a wrong turn back into the library and a short goodbye to Bandit, he simply hopped out the front door- taking off on the fifth leap We cheered I was no longer sad I didn’t realize it, but I stopped being sad the minute that bird had come into my life, because there was something that needed doing, a small vessel to aid and an order to keep. I closed the door. I decided to write the letter I always knew I would  It is often my nature to be abstract, hidden in plain sight, or nowhere at all. I have always felt that the art I have made (alone or with friends) contains all of my intent when executed properly, and thus, no explanation required. It is simply not in my nature to excuse, explain, or justify any action I have taken as a result of thinking it through with a clear head, and in my truth I had always felt this situation involving the end of this band would be different, in the eventuality it happened. I would be cryptic in its existence, and open upon its death  The clearest actions come from truth, not obligation. And the truth of the matter is that I love every one of you So, if this finds you well, and sheds some light on anything, or my personal account and feelings on the matter, then it is out of this love, mutual and shared, not duty Love This was always my intent  My Chemical Romance: 2001-2013  We were spectacular Every show I knew this, every show I felt it with or without external confirmation There were some clunkers, sometimes our secondhand gear broke, sometimes I had no voice- we were still great. It is this belief that made us who we were, but also many other things, all of them vital- And all of the things that made us great were the very things that were going to end us-  Fiction. Friction. Creation. Destruction. Opposition. Aggression. Ambition. Heart. Hate. Courage. Spite. Beauty. Desperation. LOVE. Fear. Glamour. Weakness. Hope  Fatalism  That last one is very important. My Chemical Romance had, built within its core, a fail-safe. A doomsday device, should certain events occur or cease occurring, would detonate. I shared knowledge of this “flaw” within weeks of its inception Personally, I embraced it because, again, it made us perfect. A perfect machine, beautiful, yet self aware of it’s system. Under directive to terminate before it becomes compromised. To protect the idea- at all costs. This probably sounds like something ripped from the pages of a four-color comic book, and that’s the point No compromise. No surrender. No fucking shit  To me that’s rock and roll. And I believe in rock and roll  I wasn’t shy about who I said this to, not the press, or a fan, or a relative. It’s in the lyrics, it’s in the banter. I often watched the journalists snicker at mention of it, assuming I was being sensational or melodramatic (in their defense I was most likely dressed as an apocalyptic marching-band leader with a tear-away hospital gown and a face covered in expressionist paint, so fair enough) I’m still not sure if the mechanism worked correctly, because it wasn’t a bang but a much slower process. But still the same result, and still for the same reason-  When it’s time, we stop  It is important to understand that for us, the opinion on whether or not it is in fact time does not transmit from the audience. Again, this is to protect the idea for the benefit of the audience. Many a band have waited for external confirmation that it is time to hang it up, via ticket sales, chart positioning, boos and bottles of urine- input that holds no sway for us, and often too late when it comes anyway.  You should know it in your being, if you listen to the truth inside you. And voice inside became louder than the music  Now- There are many reasons My Chemical Romance ended. The triggerman is unimportant, as was always the messengers- but the message, again as always, is the important thing. But to reiterate, this is my account, my reasons and my feelings. And I can assure you there was no divorce, argument, failure, accident, villain, or knife in the back that caused this, again this was no one’s fault, and it had been quietly in the works, whether we knew it or not, long before any sensationalism, scandal, or rumor  There wasn’t even a blaze of glory in a hail of bullets…  I am backstage in Asbury Park, New Jersey. It is Saturday, May 19th, 2012 and I am pacing behind a massive black curtain that leads to the stage. I feel the breeze from the ocean find its way around me and I look down at my arms, which are covered in fresh gauze due to a losing battle with a heat rash, which had been a mysterious problem in recent months. I am normally not nervous before a show but I am certainly filled with angry butterflies most of the time. This is different- a strange anxiety jetting through me that I can only imagine is the sixth sense one feels before their last moments alive. My pupils have zeroed-out and I have ceased blinking. My body temperature is icy We get the cue to hit the stage  The show is… good. Not great, not bad, just good. The first thing I notice take me by surprise is not the enormous amount of people in front of us but off to my left- the shore and the vastness of the ocean. Much more blue than I remembered as a boy. The sky is just as vibrant. I perform, semi-automatically, and something is wrong I am acting. I never act on stage, even when it appears that I am, even when I’m hamming it up or delivering a soliloquy. Suddenly, I have become highly self-aware, almost as if waking from a dream. I began to move faster, more frantic, reckless- trying to shake it off- but all it began to create was silence. The amps, the cheers, all began to fade  All that what left was the voice inside, and I could hear it clearly. It didn’t have to yell- it whispered, and said to me briefly, plainly, and kindly- what it had to say  What it said is between me and the voice  I ignored it, and the following months were full of suffering for me- I hollowed out, stopped listening to music, never picked up a pencil, started slipping into old habits. All of the vibrancy I used to see became de-saturated. Lost. I used to see art or magic in everything, especially the mundane- the ability was buried under wreckage  Slowly, once I had done enough damage to myself, I began to climb out of the hole. Clean. When I made it out, the only thing left inside was the voice, and for the second time in my life, I no longer ignored it- because it was my own  There are many roles for all of us to play in this ending. We can be well-wishers, ill-wishers, sympathizers, vilifiers, comedians, rain clouds, victims-  That last one, again, is important. I have never thought myself a victim, nor my comrades, nor the fans- especially not the fans. For us to adopt that role right now would legitimize everything the tabloids have tried to name us. More importantly, it completely misses the point of the band. And then what have we learned?  With honor, integrity, closure, and on no one’s terms but our own- the door closes  And another opens-  This morning I awoke early. I quickly brushed my teeth, threw on some baggy jeans, and hopped in my car. I gently sped down the 405 through the morning fog to a random parking lot in Palo Verde, where I was to meet a nice gentleman named Norm. He was older, and a self-proclaimed “hippie” but he also had the energy of Sixteen year old in a garage-rock band. The purpose of the meeting was the delivery of an amplifier into my possession. I had recently purchased the amp from him and we both agreed that shipping would jostle the tubes- so he was kind enough to meet me in the middle A Fender Princeton Amp from 1965, non reverb. A beautiful little device  He showed me the finer points, the speaker, the non-grounded plug, the original label and the chalk mark of the man or woman who built it-  “This amp talks.” he said I smiled We got coffee, talked about gold-foil pickups and life. We sat in the car and played each other music we had made. We parted ways, promising to stay in touch, I drove home  When I wanted to start My Chemical Romance, I began by sitting in my parent’s basement, picking up an instrument I had long abandoned for the brush- a guitar. It was a 90’s Fender Mexican Stratocaster, Lake Placid Blue, but in my youth I had decided it was too clean and pretty so I beat it up, exposing some of the red paint underneath the blue- the color it was meant to be. Adding a piece of duct tape on the pick guard, it felt acceptable. I plugged this into a baby Crate Amp with built in distortion and began the first chords of Skylines and Turnstiles  I still have that guitar, and it’s sitting next to The Princeton He has a voice, and I would like to hear what it has to say  In closing, I want to thank every single fan. I have learned from you, maybe more than you think you’ve learned from me. My only regret is that I am awful with names and bad with goodbyes. But I never forget a face, or a feeling- and that is what I have left from all of you I feel Love  I feel love for you, for our crew, our team, and for every single human being I have shared the band and stage with-  Ray. Mikey. Frank. Matt. Bob. James. Todd. Cortez. Tucker. Pete. Michael. Jarrod  Since I am bad with goodbyes. I refuse to let this be one. But I will leave you with one last thing-  My Chemical Romance is done. But it can never die It is alive in me, in the guys, and it is alive inside all of you I always knew that, and I think you did too  Because it is not a band- It is an idea  Love Gerard",0.9985,40,56,24,51,56,84,118,58,31,77
7,7,/songs/320255,My Chemical Romance,Bulletproof Heart,https://genius.com/My-chemical-romance-bulletproof-heart-lyrics,http://api.genius.com/songs/320255,Danger Days: The True Lives of the Fabulous Killjoys,2011-06-13," Gravity Don't mean too much to me I'm who I've got to be These pigs are after me, after you Run away, like it was yesterday And we could run away, if we could run away Run away from here   I got a bulletproof heart You got a hollow-point smile Me and your runaway scars Got a photograph dream on the getaway mile Let's blow a hole in this town And do our talking with a laser beam Gunning out of this place in a bullet's embrace Then we'll do it again   How can they say ""Jenny,​ could you come back home?"" 'Cause everybody knows you don't Ever want to come back Let me be the one to save you   Gravity Don't mean too much to me I'm who I've got to be These pigs are after me, after you Run away, like it was yesterday And we could run away, if we could run away Run away from here   I'm shooting out of this room Because I sure don't like the company Stop your preaching right there 'Cause I really don't care And I'll do it again So get me out of my head Because it's getting kind of cramped, you know Coming ready or not When the motor gets hot We can do it again   The papers say ""Johnny won't you come back home?"" 'Cause everybody knows you don't Want to give yourself up then tell the truth And God will save you   Gravity Don't mean too much to me I'm who I've got to be These pigs are after me, after you Run away, like it was yesterday And we could run away, if we could run away Run away from here   And though I know how much you hate this Are you going to be the one to save us From the black and hopeless feeling? Will you mean it when the end comes reeling? Hold your heart into this darkness Will it ever be the light to shine you out Or fail and leave you stranded? I'm not going to be the one left standing You aren't going to be the one left standing We aren't going to be the ones left standing   Gravity Don't mean too much to me Is this our destiny? This world is after me, after you Run away, like it was yesterday And we could run away, run away, run away Run away from here   Yeah Away from here Away from here",0.9615,6,5,6,7,9,15,24,9,4,18
8,8,/songs/320625,My Chemical Romance,Burn Bright,https://genius.com/My-chemical-romance-burn-bright-lyrics,http://api.genius.com/songs/320625,Conventional Weapons,2013-02-05," So give me all you've got, I can take it We walked alone in your city lights Did you make it? We lit the fire and it's burning bright  Did you take it? Kissed all the boys in your city lights Did you make it? Left all the stars in your city nights Can you fake it? I lost my way in your city lights Clutching me, we stole the fire and it's burning bright   So give me all you've got, I can take it We walked around in your city lights 'Cause it makes me who I am We lit the fire and it's burning bright  Not ashamed of what I am I took the pills for these empty nights 'Cause it makes me who I am   They always told me that you'll never get to heaven With a life like yours Well, if you're lost, little boy Oh, well, the cameras pull you right back down, yeah  It's like a chemical burn I'm peeling off your skin, yeah And when you see your face Well, you'll never be the same again, yeah   'Cause if you just stop breathing I'll stop, I'll stop my heart I'll stop breathing, too   So give me all you've got, I can take it We walked around in your city lights 'Cause it makes me who I am We lit the fire and it's burning bright  Not ashamed of what I am I'd trade the world for your city nights 'Cause it makes me who I am   And it makes me who I am And it makes me who I am  And though I missed the chance for this I confess that I can't wait until it's gone Know I mean this every single day  Don't go if you've got more to say 'Cause the world don’t need another hopeless cause Though, it makes me who I am  'Cause it makes me who I am And you made me who I am And you made me who I am Be afraid of what I am   I can take it We walked around in your city lights 'Cause it makes me who I am I burned it all and I'm doing fine  'Cause I'll never fade away If I steal the fire from your city nights 'Cause it makes me who I am Who I am",-0.56,1,2,4,8,1,13,6,6,1,6
9,9,/songs/989471,My Chemical Romance,Bury Me in Black,https://genius.com/My-chemical-romance-bury-me-in-black-lyrics,http://api.genius.com/songs/989471,Three Cheers for Sweet Revenge,2004-06-08," I said we'll drown ourselves In misery, tonight White lies, you've worn out All your dancing shoes, this time  Just give us war-worn lipstick By the purifying flame   These eyes have had too much To drink again, tonight Black skies, we'll douse ourselves In high explosive light  Just give us war, war I've been calling you all week for my shotgun   Pick up the phone Pick up the phone, fucker  I wanna see what your insides look like I bet you're not fucking pretty on the inside I wanna see what your insides look like I wanna see 'em   Well, you don't say And well, I can't explain what happened to my face Late, last night I sleep in empty pools and vacant alleyways  And what I'm going through Shot lip gloss through my veins And well, I can't complain With the falling rain  C'mon!   I wanna save your heart I wanna see what your insides may be...",-0.9692,5,4,2,7,3,14,10,10,2,5
