,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/988110,Natasha Bedingfield,A Little Too Much,https://genius.com/Natasha-bedingfield-a-little-too-much-lyrics,http://api.genius.com/songs/988110,Strip Me,2010-08-31," Sometimes it hits like a car crash And it's too late to reverse Sometimes you make me a better person Sometimes you bring out the worst Sometimes we get on like fire Sometimes we're stubborn like rain Just when I think that it's over, over You wave a white flag again Ahh, ahh We fall out and we fall back in Ahh, ahh We're always back where we begin   Everybody hurts just a little too much Everybody hurts, but it's never enough It's wonderful to fall Let's love and risk it all I'd rather love just a little too much   Sometimes we're trapped in a circle 'Til we're digging holes in the ground We try, but nothing is working But still I want you around 'Cause if I'm lost in the desert I know somehow you'll find me And if I drown in the oceans You'll be the first to rescue me   Everybody hurts just a little too much Everybody hurts, but it's never enough It's wonderful to fall Let's love and risk it all I'd rather love just a little too much Whoa, oh, oh, oh, oh Whoa, oh, oh, oh, oh Whoa, oh, oh, oh, oh Everybody hurts just a little too much Everybody hurts, but it's never enough Ahh, ahh We fall out then we fall back in Ahh, ahh We're always back where we begin Everybody hurts just a little too much Everybody hurts, but it's never enough It's wonderful to fall Let's love and risk it all Even if it hurts just a little too much I'd rather love just a little too much",11,5,1,16,11,25,12,21,5,6,-0.971
1,1,/songs/1837228,Natasha Bedingfield,All I Need,https://genius.com/Natasha-bedingfield-all-i-need-lyrics,http://api.genius.com/songs/1837228,Strip Me,2010-08-31," Hey, hey, hey Hey, hey, hey   I'm a dreamer, I'm a gypsy I'm a river passing by Got to run to keep up with me I'm a sailor in the sky And if I keep my heart open If I wear it on my sleeve No matter what life's throwing Nothing's ever gonna get to me Hey, hey, hey   All I need is what I've got My soul is free and I've got more than enough I believe in love and I'll never stop That's why all I need is what I've got Let it row, row, row, right off my back Let it flow, flow, flow, that's where I'm at Let it row, row, row, right off my back Let it flow, flow, flow, that's where I'm at   I'm working up to something So don't drag me down with you We're all looking for that one thing That's gonna pull us through And I'll keep my heart open Even if it starts to bleed And all the daggers that you're throwing Are gonna bounce right off of me Hey, hey, hey   Because when I arrive I, I bring the fire Make you come alive I can take you higher What this is? Forgot? I must now remind you Let it rock, let it rock, let it rock Let it row, row, row, right off my back Let it rock, let it rock, let it rock Let it row, row, row, right off my back Let it rock, let it rock, let it rock   When I release and I set free Giving fear it's amnesty And I give in, and I let out Overthrowing any doubt This is my sanctuary, yeah   All I need is what I've got My soul is free and I've got more than enough I believe in love and I'll never stop That's why all I need is what I've got Because when I arrive I, I bring the fire Make you come alive I can take you higher What this is? Forgot? I must now remind you Let it rock, let it rock, let it rock (that's why all I need is what I got)   Let it row, row, row, right off my back Let it rock, let it rock, let it rock Let it row, row, row, right off my back Let it rock, let it rock, let it rock That's where I'm at",19,6,0,5,6,23,35,1,0,6,0.969
2,2,/songs/1319085,Natasha Bedingfield,Angel,https://genius.com/Natasha-bedingfield-angel-lyrics,http://api.genius.com/songs/1319085,Pocketful of Sunshine,2008-01-15," A-N-G-E-L A-N-G-E-L   Just like a shadow I'll be beside you I'll be your comfort I'm there to guide you, home I will provide you a place of shelter I wanna be your zone I'll act as if you do Tell me what you wanted me to do I'll make you great to be a man With a woman who can stand With every promise given Making vows to please her man   If I could be your angel (your angel, your angel) Protect you from the pain (from the pain, oh) I'll keep you safe from danger (from danger, from danger) You'll never hurt again (no more) I'll be your A-N-G-E-L Yeah, A-N-G-E-L Hey A-N-G-E-L I'm gonna be your A-N-G-E-L I'll be your angel   Just like the moon I'll step beside And let your sun shine While I follow behind 'Cause baby, what ya got It deserves all the props You're everything I'm not And I’m so glad you’re mine I'll act as if you do Tell me what you wanted me to do I'll make it great to be a man With a woman who can stand With every promise given Making vows to please her man   If I could be your angel (If I could be your angel, your angel) Protect you from the pain (I will protect you from the pain, oh) I'll keep you safe from danger (I'm gonna keep you safe from danger, from danger) You'll never hurt again (you'll never hurt again) I'll be your A-N-G-E-L Yeah, A-N-G-E-L Hey A-N-G-E-L I'm gonna be, gonna be your A-N-G-E-L   Tell me why there's so many good men Left in the world misunderstood He's a dog, he's no good I wish somebody would Disrespect my man You're gonna have to come see me I work hard for my baby He's all that I need   So if you got a good one Put your hands up Come on girl and stand up Go ahead lift your man up Get up If you got a good one, put your hands up Go ahead lift your man up Get up If you got a good one, stand up Come on girl, and stand up   If I could be your angel (your angel, your angel) Protect you from the pain (from the pain, oh) I'll keep you safe from danger (I'll keep you sagefrom danger, from danger) You'll never hurt again (no more) I'll be your A-N-G-E-L A-N-G-E-L I'm gonna be your A-N-G-E-L A-N-G-E-L I'll be your angel",5,21,0,19,29,20,40,19,17,29,0.9847
3,3,/songs/116678,Natasha Bedingfield,Backyard,https://genius.com/Natasha-bedingfield-backyard-lyrics,http://api.genius.com/songs/116678,N.B.,2007-03-12," It’s been too long Don’t think I’ve seen you smile at me for quite a while And we’re too busy doing things, we haven’t noticed what’s missing Where’s the fun we used to have? My childish ways and your sarcasm Silly jokes and fairy tales, where did we leave them? Lost in the backyard   Your lasso, my tiara My wand, your plastic bazooka Why can’t we be how we were, in the backyard? Your cowboy hat, my tutu You hide and seek, I catch you Why can’t we be how we were, in the backyard? In the backyard   Simple days of hand in hand, and drawing our names in the sand Somehow life just complicates, our buried treasure it just waits Lost in the backyard   Your lasso, my tiara My wand, your plastic bazooka Why can’t we be how we were, in the backyard? Your cowboy hat, my tutu You hide and seek, I catch you Why can’t we be how we were, in the backyard? In the backyard   Oh, oh, oh In the backyard Lost, in the backyard Lost you, in the backyard Oh, oh, oh In the backyard You can still meet me in the garden, you and I And hide behind the roses bed You and I, you and I, lost in the backyard, again   Your lasso, my tiara My wand, your plastic bazooka Why can’t we be how we were, in the backyard? Your cowboy hat, my tutu You hide and seek, I catch you Why can’t we be how we were in the backyard? In the backyard",1,7,1,6,5,13,7,9,5,4,-0.644
4,4,/songs/1007789,Natasha Bedingfield,Break Thru,https://genius.com/Natasha-bedingfield-break-thru-lyrics,http://api.genius.com/songs/1007789,Strip Me,2010-08-31," For every taste For every try For every tear That never dried I need your touch For you to take Away the pain Through every fall Through every flame Through every trial Along the way I hope you'll wait Behind those clouds Just like the sun   I'd climb to the edge of a mountain for you I'll go to the ends of the world to find you We'll dance in the shadows until we reach a Breakthrough Breakthrough Oh What we need is a breakthrough What we need is a breakthrough   I lose my way I lose my trust I lose myself When I lose us I find my strength To start again When you're with me   I'd climb to the edge of a mountain for you I'll go to the ends of the world to find you We'll dance in the shadows until we reach a Breakthrough Breakthrough Oh What we need is a breakthrough What we need is a breakthrough What we need is a breakthrough, oh   That's what we need For us to breakthrough That's all that it takes All we need, all we need is breakthrough Oh   I'd climb to the edge of a mountain for you I'll go to the ends of the world to find you We'll dance in the shadows until we reach a Breakthrough Breakthrough Oh What we need is a breakthrough   We do whatever it takes We do whatever it takes We do whatever it takes",4,7,4,5,5,7,6,6,6,7,-0.2263
5,5,/songs/1592546,Natasha Bedingfield,Can't Fall Down,https://genius.com/Natasha-bedingfield-cant-fall-down-lyrics,http://api.genius.com/songs/1592546,Strip Me,2010-08-31," I'm at the point of almost breaking now I've knocked on every door in this cold town (yeah) The higher you go, the harder you fall If I wanna be safe, then I just stay small Wanna grow to the sky where it's beautiful But I can't see that from the forest floor   How can I hold it together When nothing I try makes it better? I just wanna lay here forever 'Cause if I don't get up, then I can't fall down   There is no manual for a broken heart I want to use it, but it's all in parts (oh) The more you fall in, the harder to see If this time it's different, will I want to release? And I don't know if I have it in me To love again in the face of defeat   How can I hold it together When nothing I try makes it better? I just wanna lay here forever 'Cause if I don't get up, then I can't fall down (Yeah, yeah, yeah, oh) And if I don't get up, I won't let me down   Hope is irresistible Hope is irresistible 'Cause if I don't get up, one day I will, somehow   Nothing I try makes it better I just wanna lay here forever 'Cause if I don't get up, then I can't fall down And if I don't get up, it can let me down No, no, no If I can't get up now, one day I will, somehow",1,4,0,1,6,9,14,6,2,12,0.976
6,6,/songs/1214501,Natasha Bedingfield,Chasing Cars,https://genius.com/Natasha-bedingfield-chasing-cars-lyrics,http://api.genius.com/songs/1214501,Radio 1's Live Lounge – Volume 2,2007-10-22,We'll do it all Everything On our own We don't need Anything Or anyone  If I lay here If I just lay here Would you lie with me And just forget the world  I don't quite know How to say How I feel Those three words Have said too much It's not enough  If I lay here If I just lay here Would you lie with me And just forget the world  Forget what we're told Before we get too old Show me a garden That's bursting into life  Let's waste time  Chasing cars Around our heads I need your grace To remind me To find my own  If I lay here If I just lay here Would you lie with me And just forget the world  Forget what we're told Before we get too old Show me a garden That's bursting into life  All that I am All that I ever was Is here in your perfect eyes They're all I can see  I don't know where Confused about how as well Just know that these things will never change For us at all  If I lay here If I just lay here Would you lie with me And just forget the world,4,2,5,1,3,11,8,4,0,7,-0.1625
7,7,/songs/1003639,Natasha Bedingfield,Drop Me in the Middle,https://genius.com/Natasha-bedingfield-drop-me-in-the-middle-lyrics,http://api.genius.com/songs/1003639,Unwritten,2004-09-06," Woah-woah, woah-woah, woah-woah, woah-woah Woah woah, woah woah Yeah, something different, Tasha, Estelle Come on, uh UK, stand up for this You know what, the world stand up for this This, come on, Tash, sing it   I think I found the recipe for creativity Put all you've got, then add some heart They fence us in to break us down But still, they can't shut us down The walls are thin But still, they're strong We're broken, but we beat as one  [Pre-Chorus: Natasha Bedingifeld & Estelle] From the UK to your street (London blood) Saying nothin' ain't different under the sun So I'm'a become somethin' like a ripple in the sea Cause I wanna be Where it's happening, oh   Drop me in the middle so I can make a ripple effect Upon the ocean, I'll be the moon that turns the tide Drop me in the middle so I can make a ripple A domino effect, falling through the sands of time   Da-da-da, oh, da-da-da, oh Da-da-da, oh, da-da-da, oh   Think I'll change the temperature 'Til it's the right weather Here in the core, it's getting warm Too many channels, nothing on To turn it off, it just takes one  [Pre-Chorus: Natasha Bedingifeld & Estelle] From the UK to your street (London blood) Saying nothin' ain't different under the sun So I'm'a become somethin' like a ripple in the sea Cause I wanna be Where it's happening, oh   Drop me in the middle so I can make a ripple effect Upon the ocean, I'll be the moon that turns the tide Drop me in the middle so I can make a ripple A domino effect, falling through the sands of time  [Post-Chorus: Natasha Bedingfield & (Estelle)] Da-da-da, oh, da-da-da, oh (Sing it tash, come on) Da-da-da, oh, da-da-da, oh   Put me in the middle, let me start the drama Said I'm trying to do this 'cause it affects my karma Listen, no one expected us to do this Well, so I know we're making best without any time to dwell Said I'm trying to make a stand for my family name I got my piece of gold and I had it engraved It's more than a chain, more than hearing what they say I'm trying to go, be global, be out in space Try to do it at a pace, but I got a little sick of it Robbin' me hot and lukewarm a little bit In my two feet two-stepping in my Timbo's Anyone in my way's getting moved out the window I have to represent my Mama my Nanny like Laila Ali I need your daddy every time she fight I'm trying to live my dreams 'stead of watching them flow You'll be just another memory   Drop me in the middle so I can make a ripple effect Upon the ocean, I'll be the moon that turns the tide Drop me in the middle so I can make a ripple A domino effect, falling through the sands of time Drop me in the middle so I can make a ripple effect Upon the ocean, I'll be the moon that turns the tide Drop me in the middle so I can make a ripple effect A domino effect, falling through the sands of time   Drop me in the middle Drop me in the middle Drop me in the middle",3,12,1,4,5,8,13,8,3,5,-0.9185
8,8,/songs/1261125,Natasha Bedingfield,Freckles,https://genius.com/Natasha-bedingfield-freckles-lyrics,http://api.genius.com/songs/1261125,Pocketful of Sunshine,2008-01-15," I used to care so much about what others think about Almost didn't have a thought of my own The slightest remark would make me embark on a journey of self doubt But that was a while ago This girl has got stronger And if I knew then what I know now I would have told myself don't worry any longer It's OK   'Cause a face without freckles is like a sky without the stars Why waste a second not loving who you are? Those little imperfections make you beautiful, loveable, valuable They show your personality inside your heart Reflecting who you are   (Who you are, who you are, who you are Oh, yeah, yeah, ah)   I wondered if I could trade my body with somebody else in magazines Would the whole world fall at my feet? I felt unworthy and would blame my failures on the ugliness I could see When the mirror looked at me (Sometimes I feel) Sometimes I still feel like a little girl who doesn't belong in the wrong world But I'll get it better by reminding myself   That a face without freckles is like a sky without the stars Why waste a second not loving who you are? Those little imperfections make you beautiful, loveable, valuable They show your personality inside your heart Reflecting who you are (Who you are)   Reflecting who you are Reflecting who you are Mmm, ooh, ooh, ooh, oh   'Cause a face without freckles is like a sky without the stars Why waste a second not loving who you are? Those little imperfections make you beautiful, loveable, valuable They show your personality inside your heart Reflecting who you are Reflecting who you are Reflecting who you are Reflecting who you are Reflecting who you are",1,6,7,5,10,14,17,5,0,12,-0.7157
9,9,/songs/1051683,Natasha Bedingfield,Frogs & Princes,https://genius.com/Natasha-bedingfield-frogs-and-princes-lyrics,http://api.genius.com/songs/1051683,Unwritten,2005-04-04," Whoa, oh   The in and out of dating's got me all confused I build up expectations, end up feeling used Seems everybody's into fast food, everybody's in too quick I want someone to take the time Fine dine me, not rush it Now it's nearly 7:30, I'm slippin' on a dress I keep my fingers crossed, you're not like all the rest So when you come to pick me up, come right to my door Don't stay in your car and beep beep the horn   Maybe I'm a hopeless romantic You'll pick the sounds for the background to our drive into town Baby, don't be one of the traffic Had too many nights with the wrong guys Coming up red lights   Tell me, how many frogs do I have to kiss Before I find my prince, before I find my prince? All you girls that are goin' through this Tell 'em how it is, tell 'em how it is   We pull up to our premiere, red carpet good You check my coat, get my chair, like I hoped you would You're funny and your flirtin's really working for me But where it goes from here, better wait and see   Maybe I'm a hopeless romantic You'll pick the view to kiss to Make me go oooh, oooh And baby, it'll all turn out tragic And you'll push for more, back at my front door More than I'm ready for   Tell me, how many frogs do I have to kiss Before I find my prince, before I find my prince? All you girls that are goin' through this Tell 'em how it is, tell 'em how it is Tell me, how many frogs do I have to kiss Before I find my prince, before I find my prince? All you girls that are goin' through this Tell 'em how it is, tell 'em how it is   Come on You gotta, you gotta tip the waiter, that's how it works You can't skip the starter, go straight to desert You gotta pop the cork before you taste the wine Now make your mad dash for the finish line Line up in a row 'cause the dating game is (whoa) We get hooked up, but the real shame is Too much connection, followed by rejection Gonna hurt a girl, 'til she learns her lesson   Tell me, how many frogs do I have to kiss Before I find my prince, before I find my prince? All you girls that are goin' through this Tell 'em how it is, tell 'em how it is Tell me, how many frogs do I have to kiss Before I find my prince, before I find my prince? All you girls that are goin' through this Tell 'em how it is, tell 'em how it is   Yuck! Oh, yeah, yeah",6,16,5,8,13,15,35,8,9,9,0.9098
