,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/227377,Neil Diamond,Acapulco,https://genius.com/Neil-diamond-acapulco-lyrics,http://api.genius.com/songs/227377,The Jazz Singer (Original Motion Picture Soundtrack),1981-01-01,"There's love in the air Well, can you feel it now? There's love in the air, and that's nice  You're learnin' a lot About each other's ways You're learnin' a lot, ain't that right?  You work like a dog to try and get it good You work with your heart, every day You know when you're through You're gonna take your friend and get away  To Acapulco (to Acapulco) That's where they'll find us In sunny blue waters Where the sand is warm and friendly  Hey Acapulco, (hey Acapulco) I hear you softly calling We're sailing around the horn of love To Acapulco  It's good and it's bad When things are going right It's good and it's bad, when they swing But you know that you're glad You finally get it right You know that you're glad, so you sing  But at seventy two, it's hard to get around At seventy two, but not now It's me and it's you and we can get around 'Cause we know how....  In Acapulco, (in Acapulco) That's where they'll find us In sunny blue waters Where the sand is warm and friendly  Hey Acapulco, (hey Acapulco) I hear you softly calling We're sailing around the horn of love To Acapulco We're sailing around the horn of love To Acapulco",0.9931,2,11,3,2,17,2,17,5,6,8
1,/songs/227373,Neil Diamond,Amazed and Confused,https://genius.com/Neil-diamond-amazed-and-confused-lyrics,http://api.genius.com/songs/227373,The Jazz Singer (Original Motion Picture Soundtrack),1981-01-01,"Somebody's waitin' on the River Jordan Somebody's waitin' on the other side I cast my stones on the way to Heaven But on the way you know that I will abide Yes, on the way you know that I will abide  Yeah, walk that line boy I'm amazed, I'm confused I've been dazed, (yeah), I've been used  Take me home to that golden river Take me back to that other shore I'll find my way To that peaceful playground I know I'll find it 'Cause I've been there before I know I'll find it 'Cause I've been there before  Somebody's callin' 'cross the River Jordan Somebody's callin' from the other side I cast my stones on the way to Heaven And on the way you know that I will abide Yes, on the way you know that I will abide  Hey, welcome to the new world boys I'm amazed, I'm confused I've been dazed, yeah, I've been used I'm amazed and I'm confused I've been dazed, yeah Yes, I've been used Amazed, yeah Oh yes, oh yes",0.994,3,2,2,1,2,8,2,1,2,2
2,/songs/148913,Neil Diamond,America,https://genius.com/Neil-diamond-america-lyrics,http://api.genius.com/songs/148913,The Jazz Singer (Original Motion Picture Soundtrack),1981-01-01,"Far We've been traveling far Without a home But not without a star Free Only want to be free We huddle close Hang on to a dream  On the boats and on the planes They're coming to America Never looking back again They're coming to America  Home, don't it seem so far away Oh, we're traveling light today In the eye of the storm In the eye of the storm  Home, to a new and a shiny place Make our bed, and we'll say our grace Freedom's light burning warm Freedom's light burning warm  Everywhere around the world They're coming to America Every time that flag's unfurled They're coming to America  Got a dream to take them there They're coming to America Got a dream they've come to share They're coming to America  They're coming to America They're coming to America They're coming to America They're coming to America Today, today, today, today, today  My country 'tis of thee Today Sweet land of liberty Today Of thee I sing Today Of thee I sing Today",0.9873,2,17,0,0,8,2,13,2,2,9
3,/songs/1182216,Neil Diamond,America (reprise),https://genius.com/Neil-diamond-america-reprise-lyrics,http://api.genius.com/songs/1182216,The Jazz Singer (Original Motion Picture Soundtrack),1981-01-01,"Far, we've been travelin in far Without a home, But not without a star Free, only one can be free We huddle close, and hang on to a dream  On the boats and on the planes, They're coming to America Never looking back again, They're coming to America  Home...though it seems so far away And we'll travel in the light today In the eye of the storm...in the eye of the storm Home...to a new and a shiny place Make our beds and we'll say our grace Freedoms light burnng warm, freedoms light burning warm  Everywhere around the world, they're coming to America Every time that flags unfurled, they're coming to America Got a dream to take them there, they're coming to America Got a dream they come to share, they're coming to America  They're coming to America They're coming to America They're coming to America They're coming to America  Today My country 'tis of thee (today) Sweet land of liberty (today) Of thee I sing (today) Of thee I sing (today) Today My country 'tis of thee (today) Sweet land of liberty (today) Of thee I sing (today) Of thee I sing (today) Today My country 'tis of thee (today) Sweet land of liberty (today) Of thee I sing (today) Of thee I sing (today) Today My country 'tis of thee (today) Sweet land of liberty (today) Of thee I sing (today) Of thee I sing (today)  Today, today, today, today, today",0.9966,2,29,0,0,20,2,25,8,8,20
4,/songs/226050,Neil Diamond,And the Grass Won't Pay No Mind,https://genius.com/Neil-diamond-and-the-grass-wont-pay-no-mind-lyrics,http://api.genius.com/songs/226050,Brother Love's Travelling Salvation Show,1969-01-29,"Listen easy You can hear God callin' Walkin' barefoot by a stream Come unto me Your hair softly fallin' On my face as in a dream And the time will be our time And the grass won't pay no mind  Sayin' nothin', lyin' where the sun is Bakin' down upon our sighs My lips touch you With their soft wet kisses Your hands gentle in reply And the time will be our time And the grass won't pay no mind  Child, touch my soul with your cries And the music Will know what we've found I'll hear a hundred goodbyes But today I hear only one sound The moment we're livin' is now Na, na, na, na  Young bird flyin' And a soft wind blowin' Cools the sweat inside my palms Close my eyes And hear the flowers growin' As you lay sleeping in my arms And the time will be our time And the grass won't pay no mind No, the grass won't pay no mind",0.8476,0,15,0,2,11,1,12,2,3,7
5,/songs/226032,Neil Diamond,Brooklyn Roads,https://genius.com/Neil-diamond-brooklyn-roads-lyrics,http://api.genius.com/songs/226032,Velvet Gloves and Spit,1968-10-15,"If I close my eyes I can almost hear my mother Callin', ""Neil go find your brother Daddy's home, and it's time for supper Hurry on.""  And I see two boys Racin' up two flights of staircase Squirmin' into Papa's embrace And his whiskers warm on their face Where's it gone? Oh, where's it gone?  Two floors above the butcher First door on the right And life filled to the brim As I stood by my window And looked out on those Brooklyn Roads  I can still recall The smells of cookin' in the hallways Rubbers drying in the doorways And report cards I was always Afraid to show  Mama'd come to school And as I sit there softly crying Teacher'd say, ""He's just not trying Got a good head if he'd apply it But you know yourself It's always somewhere else.""  I built me a castle With dragons and kings And I'd ride off with them As I stood by my window And looked out on those Brooklyn roads  Thought of going back But all I'd see are stranger's faces And all the scars that love erases But as my mind walks through those places I'm wonderin' What's come of them?  Does some other young boy Come home to my room Does he dream what I did As he stands by my window And looks out on those Brooklyn roads Brooklyn roads",0.8476,3,7,5,5,5,9,8,3,3,7
6,/songs/226045,Neil Diamond,Brother Love's Travelling Salvation Show,https://genius.com/Neil-diamond-brother-loves-travelling-salvation-show-lyrics,http://api.genius.com/songs/226045,Brother Love's Travelling Salvation Show,1969-01-29,"Hot August night And the leaves hanging down And the grass on the ground smellin' sweet Move up the road to the outside of town And the sound of that good gospel beat Sits a ragged tent Where there ain't no trees And that gospel group tellin' you and me It's Love, Brother Love, say Brother Love's Traveling Salvation Show Pack up the babies and grab the old ladies And ev'ryone goes, cause everyone knows Brother Love's show  Room gets suddenly still And when you'd almost bet You could hear yourself sweat, he walks in Eyes black as coal And when he lifts his face Ev'ry ear in the place is on him Starting soft and slow Like a small earthquake And when he lets go Half the valley shakes  It's Love, Brother Love, say Brother Love's Traveling Salvation Show Pack up the babies and grab the old ladies And ev'ryone goes, cause everyone knows Brother Love's show    Take my hand in yours Walk with me this day In my heart I know, I will never stray Halle, halle, halle, halle Halle, halle, halle, halle It's Love, Brother Love, say Brother Love's Traveling Salvation Show Pack up the babies And grab the old ladies and ev'ryone goes I say, Love, Brother Love, say Brother Love's Traveling Salvation Show Pack up the babies And grab the old ladies and ev'ryone goes...",0.9936,8,7,2,3,25,9,42,3,5,26
7,/songs/226248,Neil Diamond,Chelsea Morning,https://genius.com/Neil-diamond-chelsea-morning-lyrics,http://api.genius.com/songs/226248,Stones,1971-11-01,"Woke up, it was a Chelsea morning And the first thing that I heard Was the song outside my window And the traffic wrote the words It came ringing up like Christmas bells And rapping up like pipes and drums  Won't you stay We'll put on the day And we'll wear it 'till the night comes  Woke up, it was a Chelsea morning And the first thing that I saw Was the sun through yellow curtains And a rainbow on the wall Red, green and gold to welcome you And crimson crystal beads to beckon  Won't you stay We'll put on the day There's a sun shower every second (instrumental) Woke up, it was a Chelsea morning And the first thing that I knew There was milk and toast and honey And a bowl of oranges, too And the light poured in like butterscotch And stuck to all my senses  Won't you stay We'll put on the day And we'll talk in present tenses",0.765,1,3,0,0,5,1,11,0,3,6
8,/songs/226225,Neil Diamond,Childsong,https://genius.com/Neil-diamond-childsong-lyrics,http://api.genius.com/songs/226225,Tap Root Manuscript,1970-11-06,Weeping sky We bring the sun To make you glad And fill you with the day  Quiet tree We have the wind To make you dance And fill you with our play  And you shall be glad And you shall dance And you shall come To hear our song And learn its tune Before it fades away....,0.6705,1,4,1,0,6,1,9,2,2,6
9,/songs/226221,Neil Diamond,Coldwater Morning,https://genius.com/Neil-diamond-coldwater-morning-lyrics,http://api.genius.com/songs/226221,Tap Root Manuscript,1970-11-06,"One, knowing I'm one, hearing of two And like a child believing dreams Always a dream to take you home  Day, after the day, there comes the night There comes the knowing when you laugh If you should laugh The night alone will hear And the night don't care  Coldwater morning Take off your nighttime shoes Coldwater morning I've been waiting so long for you  One, knowing I'm one, hearing of two Hearing of things that I once had That you once had And when the night would come We'd sleep like one Coldwater morning Take off your nighttime shoes Coldwater morning I've been waiting so long for you I've been waiting so long for you....",0.9056,0,4,0,3,3,3,8,0,2,2
