,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/35295,Nelly,#1,https://genius.com/Nelly-1-lyrics,http://api.genius.com/songs/35295,Nellyville,2001-08-29,"Uh uh uh I just gotta bring it to they attention dirty, that's all..  You better watch who you talkin bout; runnin your mouth, like you know me You gon' fuck around and show why the ""Show Me"" get called the ""Show Me"" Why one-on-one you can't hold me if your last name was Hanes Only way you wear me out is stitch my name on your pants No resident of France; but you swear I'm from Paris Hundred-six karats - total? Naw that's per wrist Trying to compurr this - my chain to yo' chain I'm like Sprint or Motorola - no service, out of your range You out of your brains, thinkin I'mma shout out your name You gotta come up with better ways than that to catch your fame All that pressure you applyin it's time to ease off Before I hit you from the blindside takin your sleeves off As much as we's floss, still hard to please boss Don't be lyin bitchin and cryin - suck it up as a loss Cause your, acts is wack, your whole label is wack And matter fact, eh eh-eh eh a-hold that   I.. am..  #1 - no matter if you like it Here take it sit down & write it I.. am.. number one Hey hey hey hey hey hey - now let me ask you man What does it take to be #1? 2 is not a winner and three nobody remembers (hey) What does it take to be #1? Hey hey hey hey..  Do you like it when I shake it for ya, daddy? Move it all around? Let you get a peep before it touches the ground?  Hell yeah ma I love a girl that's willin to learn Willin to get in the driver's seat and willin to turn And not concerned about that he say, she say, did he say What I think he said? Squash that, he probably got that off eBay Or some, Internet access some, website chat line Mad cause I got mine, don't wind up on the flat line Ohh if my uncle could see me now If he could see how many rappers wanna be me now Straight emulatin my style right to the ""down down"" Can't leave out the store now better wait 'til they calm down I got hella shorties, comin askin, ""Yo where the party?"" Ohh lordy - will I continue to act naughty? Mixing Cris' and Bacardi, got me thinkin fo' sho' I'm not a man of many words but there's one thing I know - Pimp   I.. am.. number one - no matter if you like it Here take it sit down and write it Hey I.. am.. number one Hey hey hey hey hey hey hey hey Tell me now Dirty What does it take to be number one? Two is not a winner and three nobody remembers (tell me) What does it take to be number one? Hey hey hey hey hey hey hey hey  Check it, uhh, check, yo Aiyyo I'm tired of people judgin what's real Hip-Hop Half the time you be them niggas who fuckin album flop YOU KNOW! Boat done sank and it ain't left the dock C'MON! Mad cause I'm hot; HE JUST - mad cause he not You ain't gotta gimme my props, just gimme the yachts Gimme my rocks, and keep my fans comin in flocks 'Til you top the Superbowl, keep your mouth on lock Shhhhh.. {*crickets*} I'm awake, ha ha ha! I'm cocky on the mic but I'm humble in real life Taking nothin for granted blessin e'rything on my life Trying to see a new light at the top of the roof Baby name not Sigel but I speak The Truth I heat the booth - Nelly actin so uncouth Top down shirt off in the coupe, spreadin the loot With my family and friends, and my closest of kin And I'll do it again if it means I'mma win   Hey Dirty I.. am.. number one - no matter if you like it Here take it sit down and write it I..I..I am.. number one Two is not a winner and three nobody remembers Number one Cause two is not a winner and three nobody remembers",9,13,9,7,7,21,29,9,9,19,0.6362
1,1,/songs/166722,Nelly,1000 Stacks,https://genius.com/Nelly-1000-stacks-lyrics,http://api.genius.com/songs/166722,5.0,2010-11-12," Yeah, hey yo Nelly Let's do this  [Hook: Notorious B.I.G.] At, at, at last I'm literally loungin' Black Sittin back count double digit thousand stacks At last I'm literally loungin' Black Sittin back count double digit thousand stacks   Got a bad bitch with me, she in the Valentino Half black and Filipino I let her count casinos Her under apple bottom all Lou and Sean John A hundred on every arm, hundred more in my charm, tell 'em Puff   Let your mind, let your body and your soul go It's alright, get your money stacked more dough, tell 'em Puff Pick a day, get your girl, come and play You know my motherfuckin' name You know my motherfuckin' name   How 'bout we hop in the Monte Carlo tomorrow We'll ice the bottles in the ocean with the goggles And act like you won the lotto Lamborghini, Vergato my matchin' on the throttle My motto is snatch, your motto with my latto is a lot  Insane my game is like James Kobe or maybe Dwayne Wade Fresh shades Alexander Mcclain's Bottles of Rosay, some rockin OJ's, tell 'em Puff   Let your mind, let your body and your soul go It's alright, get your money stacked more dough, tell 'em Puff Pick a day, get your girl, come and play You know my motherfuckin' name You know my motherfuckin' name   At last I'm literally loungin' Black Tip back count double digit thousand stacks At last I'm literally loungin' Black Tip back count double digit thousand stacks  Tip back count double digit thousand stacks Tip back count double digit thousand stacks Tip back, tip back, tip back, tip back, tip back Count double digit thousand stacks   I kick in the door wavin' the fo fo All you heard was derrty, don't hurt 'em no more Well fuck that, I'm takin' my reign back So take that, so take that, tell 'em Puff   Let your mind, let your body and your soul go It's alright, get your money stacked more dough, tell 'em Puff Pick a day, get your girl, come and play, come on You know my motherfuckin' name You know my motherfuckin' name   I pull up to the party Bacardi smokin' cigary With the baddest little shawty Cause shawty love to get naughty Dollar after dollar you niggas might wanna holler  I'll cinch your lil doller out, did ya with a comma, hey Keep time AP shine, we fly only in G5, she's fine Yep she mine, puttin' the peace high hoppin' for BI   Let your mind, let your body and your soul go It's alright, get your money stacked more dough, tell 'em Puff Pick a day, get your girl, come and play You know my motherfuckin' name You know my motherfuckin' name   At last I'm literally loungin' Black Tip back count double digit thousand stacks At last I'm literally loungin' Black Tip back count double digit thousand stacks  Tip back count double digit thousand stacks Tip back count double digit thousand stacks Tip back, tip back, tip back, tip back, tip back Count double digit thousand stacks   Now watch ya wanna do, you fuckin' with a baller A St Louis prowler you can hate me She gonna fuck with me regardless We be a flawless all this, tell 'em Puff   Let your mind, let your body and your soul go It's alright, get your money stacked more dough, tell 'em Puff Pick a day, get your girl, come and play You know my motherfuckin' name You know my motherfuckin' name   Stackin' papers contagious, buildin' paper skyscrapers Stuntin' outrageous, comin' straight out the matrix Hustle lil mommy countin' papers my hobby Throw in up the tachycardia down the streets of Miami  My neck gold, the bling is real gold It came rolled and made to hang low And the bank roll is made to stay swoll You ain't fold more paper than cringold   At last I'm literally loungin' Black Tip back count double digit thousand stacks At last I'm literally loungin' Black Tip back count double digit thousand stacks  Tip back count double digit thousand stacks Tip back count double digit thousand stacks Tip back, tip back, tip back, tip back, tip back Count double digit thousand stacks, let's go",13,9,5,7,8,21,38,14,6,44,0.9711
2,2,/songs/221048,Nelly,100k,https://genius.com/Nelly-100k-lyrics,http://api.genius.com/songs/221048,M.O.,2013-09-30," I am so faded, might put fifty on the ladies 100k tomorrow, money in the bag I'm so faded, might put fifty on the ladies 100k tomorrow, money in the bag   50k today a 100 more tomorrow Hustle what I want man I'll forever ball Money coming heavy never weigh a little It's either high or low it's never in the middle Ice buckets nigga for the gold ace Big cash duffle bag with the gold lace Heard a nigga say throw in the towel Numbers speak the truth these niggas out here in denial   I am so faded, 10,000 square feet gated 100k tomorrow, money in the bag I'm so faded, might put fifty on the ladies 100k tommorrow, money in the bag   50k today, 100k tommorrow Rollie Sundays, Monday Audemar Tuesday in the photo, Wednesday in the two door Thursday's made for fucking Friday's back to getting you know You in that right place again Face not American, body saying African Fuck you with an uppercut, baby that won't take a lot 50k today we running money like a marathon Yo bread, yo bed, yo booty lights on Her phone playing your music like your music our songs Give her that banana clip most of all her clothes on Beatin' on my chest went through the roof top     So dope you could snort every line When it's reppin time, whe- when it's reppin time Told her I take her shoppin' after we fuck Soon after we fuck I had to tell her never mind You wouldn't know swag if it slapped you in the face This that macaroni tony A1 on the steak And designer shoe laces, gold on the bracelets Got her in the back seat balls on her braces Photo grails full of money stacks You a blocker and nigga I got a hundred sacks Ya, this the luxury distribution Up so early got me arguing with the rooster Tru university is my institution Niggas couldn't graduate if you had tutor One thing for sure, two things for certain My crib got blinds, my car got curtains  ",10,18,0,3,12,4,24,5,7,13,-0.7783
3,3,/songs/1176761,Nelly,5000,https://genius.com/Nelly-5000-lyrics,http://api.genius.com/songs/1176761,Nellyville,2002-06-25,"5000 Ones lyrics  Hook: Nelly I got 5000 ones lookin for the baddest bitch in the club I'm lookin for her I'm lookin for her I got 5000 ones when I see her pimp i'm throwin it up I'm lookin for her I'm lookin for her  Verse 1: (T.I.) See me when I walk in ain't nothin to it Brought ten stacks to the back then threw it Make it rain Ain't a thang When it come to money i got it Mayne You the next best thang I'm the hottest mayne You Talk that shit I'm bout it mayne We way over here Up out your range Don't try to be G That's not your thang You try me G That Glock gon' bang K-I-N-G that's not gon' change I'm rich bitch I don't care about no fame Cuz If all else fails I got cocaine Still see me all on TV wit it Still in da hood what ya need he get it Dough low 44 see me wit it If a nigga runnin up best believe he get it See us in da club nigga we be trippin Niggas rap bout that shit we livin 7 or 8 stacks on 2 or 3 bitches Sucka niggas over there hatin we chillin I ran out of ones so go back get more Say shawty bend it over back real slow Jack dat ass up grab that pole Show me you bout that action hoe  Hook I got 5000 ones lookin for the baddest bitch in the club I'm lookin for her I'm lookin for her I got 5000 ones when I see her pimp i'm throwin it up I'm lookin for her I'm lookin for her Stacks so fat rubberbands can't hold Stacks so fat rubberbands can't hold Stacks so fat rubberbands can't hold it no They can't hold it no they can't hold it no  Verse 2: (Yung Joc) Eeenie meenie miny moe I'm lookin for the direction this money bout to go I'm bout ta blow We pop bottles Me and the whole clique certified shot callas Blow top dollas Got this bitch jumpin off the chain like rotweilers 5000 ones throw em then stop See i'm lookin for the baddest bitch Splurge for a second when i'm done you can have this bitch  Verse 3: (Willie Da Kid) 5000 10,000 20 Ones in my hand that's good money Ones in my fan we get money She pop that thang she get that That money's fallin like rain I'm VIP that's champaigne I'm K I D do my thang And yes indeed i got change Or shall i say i got paper Stacked money tall as skyscrapers Hater's you fly i fly paper She pop that thang she get that She make it hot like wasabbe  Look at that body on mommy She probably stand right beside me And i tsunami lil mommy  Hook I got 5000 ones lookin for the baddest bitch in the club I'm lookin for her I'm lookin for her I got 5000 ones when I see her pimp i'm throwin it up I'm lookin for her I'm lookin for her  Verse 4: (Jeezy) They call me young My money long I make it rain Now loose your thong Now loose your bottoms Now loose your tops You saw what I just spent I could've bought a watch I could've bought a car Maybe a couple bricks I send my hood bitch the fifths on a shoppin trip 5000 Ones ya you know young wit it So high up in the air she need a flight to go get it Still mr. magic city You know no replacements This is what i do i got a pole in my basement If i can make it to onyx i bring onyx to the condo Call lil bro bring me 20 grand pronto  Hook I got 5000 ones lookin for the baddest bitch in the club I'm lookin for her I'm lookin for her I got 5000 ones when I see her pimp i'm throwin it up I'm lookin for her I'm lookin for her Stacks so fat rubberbands can't hold Stacks so fat rubberbands can't hold Stacks so fat rubberbands can't hold it no They can't hold it no they can't hold it no  Verse 5: (Twista) It's the twista and can't nobody hold him The money the stacks that we makin you can't fold em Get love in the strip club Gotta nigga feeling so freaky they askin is you roamin Yea makin it rain is automatic when She's askin if you trickin you got it Pimpin is a habit from twista magic city And the muthafuckin betta bet not bitch about it Steady stackin paper that's the reason we be throwin it up Dollas at the coke they slang d Really lil mamma all over Dj Drama And t.i. joc and nelly When we In da club I'ma pop a couple of bottles and i'ma start that good shit up Got 5000 ones and i'm about to throooow it up Sip on some that patrone I'ma bout put a hundred on one of them thongs Gotta cup a lil something cuz i pay the bill Still money ain't shit i make major deal Better ring the alarm hear come the paper Twista comin in the club when i get i pop alot When she come up wit a fatty i gladly tip her Jazze, tell em what i got  Hook I got 5000 ones lookin for the baddest bitch in the club I'm lookin for her I'm lookin for her I got 5000 ones when I see her pimp i'm throwin it up I'm lookin for her I'm lookin for her Stacks so fat rubberbands can't hold Stacks so fat rubberbands can't hold Stacks so fat rubberbands can't hold it no They can't hold it no they can't hold it no",38,21,30,21,17,53,31,28,25,23,-0.9626
4,4,/songs/3368,Nelly,Air Force Ones,https://genius.com/Nelly-air-force-ones-lyrics,http://api.genius.com/songs/3368,Nellyville,2002-06-25," (I said) give me two pairs (Cause) I need two pairs (So I) can get to stompin' in my Air Force Ones Big boys stompin' in my Air Force Ones   I like the all-white, high-top strap with the gum bottom There's somethin' bout 'em, now dirty that's why I got 'em I leave 'em strapped and laced and come up out 'em The last person that touched 'em I been shot 'em   Now if you look, and see lime-green Forces; it's Kiwi You couldn't get this color if you had a personal genie You know I keeps it hip-hop; my niggas flip-flop Yeah, my Force Ones in tip-top (me) now form a flip flops   Me? I like the limited edition in khaki and army green Patent leather pin stripe you should see how I do the strings Size twelve with the strap, red and white with a Cardinal cap All flavors but it just depend on when and where I'm at   Don't get me wrong, man And Murphy Lee ain't dumb, man Cause if the shoe is on the shelf You should have some, man You can not sit up and tell me that you have none, man You may not have three or four But you got one, man (big boy)   (I said) give me two pairs (Cause) I need two pairs (So I) can get to stompin' in my Air Force Ones Big boys stompin' in my Air Force Ones   We up in Foot Locker; I'm lookin' like I need those Ten in a half and if you got 'em give me two of those I can tell she never seen Murphy Lee befo' Cause she's just standin there as if I'm shootin free throws I said, ""Excuse me miss I only wanna buy shoes"" She said, ""I love you Murph especially in the white 'n blue"" I said, The white 'n blue sound nice make it twice"" And I signed an (yo) autograph (yo), ""Thanks for the advice""   I keep it real dirty, dirty you know how I do Purple in gold with the Lakers the Broncos the orange and blue I like 'em floppy with ankle socks Lows mids and high tops,  which are clear so But this tims and fat laces with it is cold But when the winter go (burrr) and the hot summer flow Then it's back to the all purpose wit them lil' dots in the toe Then I'm stopping this dough that I'm spending fa sho On dem Nike Air Force, ""NE"" behind the ""O""   O-kay Lee, I treat my shoe like my ride Chrome on the fat laces at what wood on the inside Spray candy on the swoosh, with the electric roof Since I put a kit on the sole, I got a wider shoe You see that low-mid Skittle purple coupe I'm drivin in (Kyjuan, were you getting dem colors, are you dyin them) Ten is my size in dem, no point in tyin dem Ain't no point in tryin these on, you know I'm buyin dem   Now don't nothing get the hype on first sight like, white on whites Them three quarters, them lows, they all tight The only problem they only good for one night Cause once you scuff 'em you fucked up your whole night What's my basis? The look on store owner's faces This kid's outrageous, he's buyin them by the cases Cause once I cop 'em gut 'em and switch the laces They all purpose ya heard me kinda like my daytons   (I said) give me two pairs (Cause) I need two pairs (So I) can get to stompin' in my Air Force Ones Big boys stompin' in my Air Force Ones   I wore spurs at first now theres tape on dem Damn, when those came out? So I write the date on them These Louis Vuitton ones, you gotta wait on dem I had to get em early so I spent more cake on dem   Look I'm tryin to keep it up like a one minute man While Ali on the Kawasaki two head bands Jewelry and all (wow) fish bowlin 'em all (I got some fifteens) security buyin shoes and all   Now some time I get em free some time I gotta pay Walk in the mall and they now what I'm bout to say Gimme the black and platinum, and leather gray Ones in the back and (yo) the pair you got on display (check)   Now where da boxes where I keep mine (keep mine) You should peep mine , (beep mine) Maybe once or twice but never three times I'm just a sneaker pro, I love Pumas and shell toes But can't nothin compare to a fresh crispy white pearl",20,22,15,20,15,44,29,20,8,26,0.991
5,5,/songs/225812,Nelly,All Around the World,https://genius.com/Nelly-all-around-the-world-lyrics,http://api.genius.com/songs/225812,M.O.,2013-09-30," There's no place I won't go To find the one so beautiful Just like the one I used to know The one I used to know  All around the world, all around the world I'd never find another you, baby! All around the world, all around the world In search of a girl so beautiful   I've been around, I've been around the world Have seen so many, many pretty girls Been to Tokyo with no luck I left France with no luck Found nobody in Toronto like you Seen a million pretty faces Still ain't found one like yours With a walk mean as yours New bags, shoes couture I've been a million different places Still ain't found one like you It's the little things you do That make you so beautiful     So tell me have you seen her? The one I used to know? Tell me have you seen her? The one...   I've been to so many cities looking for you girl L.A. to London I can't find nobody nothing like you girl And ain't that something? Left St. Louis with no luck, Paris with no luck I found nobody in Chicago like you Seen a million different faces Still ain't find one like yours With a walk mean as yours New shades,  clothes couture I've been a million different places Still ain't found one like you It's the little things you do That make you so beautiful And there's     Baby girl where you hiding? Guess I'll have to come find ya I'm the only one you need Girl let me just remind ya I've been around, been around the world And I still ain't find, I still ain't find my girl  ",0,6,0,1,17,0,17,0,5,7,0.9946
6,6,/songs/35266,Nelly,American Dream,https://genius.com/Nelly-american-dream-lyrics,http://api.genius.com/songs/35266,Sweat,2004-09-13," Yo it be I man, fuckin it up for errbody I can't lie man, they thought I was just gettin started Peep the pie man, its the american dream I'm just participatin, my participation is game   I'm makin this one for the hotel, motel, Holiday Inns Super 8, Red and the Ritz Carlton's All my niggas that tryin to ball, my niggas ballin All my soldiers and generals, errbody fall in Stop stallin, pick up the phone and call in Tell your boss you ain't gon make it to work in the mornin And while you explainin go head and throw a cough in And kindly explain that this won't happen often But I'm long and I'm amazed, I'm be willin then dazed I rage that niggas think that derrty don't need a cage I should be put on display, for the display I'm displayin Half you niggas is dyin and all the rest are decayin I'm doin tracks in hotels steady rockin girls bells Kinda like a young L residin in Nellyville I never squeal, not the type to kiss and tell But if I catch ya in the shower I might kiss ya tail   Yo it be I man, fuckin it up for errbody I can't lie man, they thought I was just gettin started Peep the pie man, its the american dream I'm just participatin, my participation is game   Now as I bounced off, Kyweezy writin movies Slo done took that mask off Mo's the leader what do ya know, Murph run his ass off I got every whip, derrty even got a Nascar And you know we fucked up at his house Ayo my rain on weed, naps and Japanese Clap at g's, smack 'em back on they knees Drop on wack, simple facts that rap needs And its always Christ-a-mas and wrap trees And I got my game, I said I got my game from the OG's Smokin reefer, moonshine pumpin OD's Bought a old plain chain, yeah you know me Shipped in from Cali got it home, cops'll know these Yo we smashed the summer We oughta recoup, call NASA to do the numbers All the friendship on the vocals started fire in the booth Got more whips and chains than amastad and russe   Ali I'm sicka ballin, unnecessary phone callin Man down, pimp in distress I think I'm fallin For anything but the okey doke I'm old school like her and bones and nooky ropes I can't stand no groupie folks They want me to turn around like this is hokey poke They wanna bring me down like Irv before I choked I'm not a joke at all, I'm Quick-Draw-McGraw And number 20 on the Lakers couldn't hold me yall I'm climbin over yall, I'm still scorin 85 percenta yall awake but still snorin Got knowledge of self and now my style is much older now We Derrty Ent., We all we got we hold it down I'm feelin cooler than cool, my wrist cold and wild If theres a fashion king then I deserve the crown I'm U-City, you dressin up I'm dressin down And you keep messin up, me and your girl gon be messin  Around   Yo it be I man, fuckin it up for errbody I can't lie man, they thought I was just gettin started Peep the pie man, its the american dream I'm just participatin, my participation is game   Ayo I'm fresh out the gate From the Lou with a Grammy in my resi' Nelly bought me a presi' with a diamond in the besi' Tics taught me how to walk so when I run I be ready Female fans sayin that I'm they baby daddy Whoa more attention than Justin and Janet How I Midwest Swang and how I St. Louis Ram it Derrty Ent. damnit, got more bread than a samich And my wrist got more nuggets than Carmelo and Camby Look, I'm from the Lou and I'm important like the Arch So tourists look for me like an important part shoot Find your talent, use your talent get your money Or don't find your talent and don't use it and stay bummy But that ain't on me cuz we built it from scratch My neck shit is a house witha house in the back Man I been wild since middle school, I was that little dude That been around more waist lines than hula hoops",15,17,7,4,11,22,35,8,10,20,0.9465
7,7,/songs/35267,Nelly,Another One,https://genius.com/Nelly-another-one-lyrics,http://api.genius.com/songs/35267,Sweat,2004-09-13," (This, is, Derty E-N-T, Bassment Beat Productions) Uh, uh, uh, uh, uh, sing that shit!   Oh! You can search in the gutter down low You can even wait 'til the mountain comes down And if you wanna wait 'til the river runs dry But you'll never find another one You can search around the whole damn globe Search from in the North, to the East, Westside I bet your bottom dime No matter what you do, you'll never find another one   Hey yo this chronic got me to', I try to shake it and break it Thinkin it won't go, I went to see the doctor X-rays it won't show, I even wrapped myself up in blankets Just like a cold cause I'm so sick-wid-it It just happened on a song, I feel it in my eyes My urrs and in my nose, my fingers and my toes Translated into flows, man rap gon' need a facelift I'm just so hungry I can taste it Imagine me up in the sto', somewhere behind the counter Pushin buttons on the drawer, like doo-doo-doo-doo-doo-doo Chk-chicka, here you go, please come another day I waited a lot of winter days and summer nights to rock the mic City locked down, right before me and the other 'Tics went down You fuckin right it went down Fuckin right I drink Crown, fuckin right we move crowds It's a Derty E-N-T thang, want ya pretty sweet thang   I said I like the way you do that right thurr - uh You just remember why you do that right thurr - uh I made it tight to be country, they thought country was bummy Until country start makin money, now they all in Kentucky Oklahomas and Nashvilles, they givin out record deals (They eventually had their shot) man they been had skills But leave it up to Moses, cause he gon' lead us out I made the world accept on how we speak and how we shout I started that whassup dirty, that dirty how ya doin I let the dirty go up and now niggas runnin through it Huh, that's why I did it - mayne, just don't forget it - mayne The whole world know I killed it but I still get acquited - mayne I'm a thoroughbred, with some thorough bread I got a thorough chick waitin with some thorough head I'mma pro model, I'm fitted for the new era ranks I should move to Bel-Air the way I fill up banks   I take a pair of black nines and I'm - the man I said a pair of black nines make 'em - jump man I push your wig from the back to the - front man Just cause I'm peaceful don't mistake me for no - punk man Shit I'mma come clean, I should sleep on the triple beam I'm too damn dope nigga to hang around fiends Plus a team, playa, I never play the team Cause even if I win, we all gettin rings We all gon' bling whether I rap or sing Matter of fact, I should hit a note now just for the hell of it Ohhhhhhh-e-ohh, HOE, ohhhhhhh-oh, oh I'm a muh'fucka, a motherfucker muh'fucka Have my son daddy uncle newphew brother muh-fucka I'mma low pro arsenal, and you can ask SoundScan or ASCAP if you doubtin yo   - 2X",10,14,12,3,10,23,20,11,8,19,-0.9703
8,8,/songs/35226,Nelly,Batter Up,https://genius.com/Nelly-batter-up-lyrics,http://api.genius.com/songs/35226,Country Grammar,2001-09-11," Welcome ladies and gentlemen This is Mark, oh-who-gives-a-fuck from '93 TV This is my co-host, Bob Buttafuoco (Hey hey guys) Yeah, yeah, yeah We got a crowd that's in a frenzy Bob Let's go down to the announcers for the start of the game And now.. please rise for the singing of our national anthem   Mmm, I say the fish don't fry in the kitchen Beans don't burn on the grill (that's right) It took a whole lot of trying Just to get up that hill I said but now we're up in the big leagues My dirty it's our turn at bat And just as long as we livin', it's Lunatics playa It ain't nothin' wrong with that, huh, batter up   I'm the first to swing Home run with that give-me-what-you-got thing, hot wings Fuck a dub, smoke an ounce, show me love Hit the club, me and T-Luv holla what I put my mack down, she throw a curve ball She owed Milli smoked that herb and some Llly-bone She tip-top 'em, Optimo First base, god livin; like a worst race First chase, throw yo' people and yo' kind Second lesson, smoke that herb and clear yo' mind It's about time, second base wisdom rhyme Sittin' strong, skipped third base and headed home Third baseman just don't understand, baby, what the bong What the fuck wrong, with this world today? With these girls today, diamonds and pearls the way You wasn't fuckin' with me, leave, for the wrap that's in my seed Now you stays on yo knees cause we's be in the big league 'Cause we's be in the big league   Mmm, I say the fish don't fry in the kitchen Beans don't burn on the grill (that's right) It took a whole lot of trying Just to get up that hill I said but now we're up in the big leagues My dirty it's our turn at bat And just as long as we livin', it's Lunatics playa It ain't nothin' wrong with that, huh, batter up   Well you should see me now, I'm eatin' Wheaties now I'm stealin' second and third, lookin' home, gettin' greedy now See me now, people call me speedy now Known for runnin' the quickest miles Hit and run in any town, any ground Rules 'fore I hit it, split it, lick it and quit it And hit it, lick it, did I say lick it, (yeah) fuck it, lick it Ain't no shame in my game, that normal shit ain't my thang If I think with my dick then put your mouth on my brain I maintain through the atmosphere, what we got here A sucker in fear, hear the roars and the cheers From the crowd when I take the mile, let me show 'em how Hit the ball on the ground and make 'em get down   Mmm, I say the fish don't fry in the kitchen Beans don't burn on the grill (that's right) It took a whole lot of trying Just to get up that hill I said but now we're up in the big leagues My dirty it's our turn at bat And just as long as we livin', it's Lunatics playa It ain't nothin' wrong with that, huh, batter up   Well uhh this next young batter on deck He's still in high school (yeah, I heard that) (It's a great day though) A good high school out in U-City of St. Louis, Missouri (I think his name's umm, who knows Mur-uhh, Murphey Lee or somethin)   I want my name not, not said but screamed I went from fantasies to dreams, dreams to bigger things I'm like Bennett I been in it since, ninety-three You can tell cause my L angle 90 degrees I'm a sixteen-year-old school boy, platinum skills Swear to tell the real, the whole real to make a mill' I lie little but still, talk straight up like motto I could tell you somethin' now, you think twice about it tomorrow I promise, I gets deeper than file cabinets when rappin' Money, money, money, money what's happenin' I'm comin' up like family members in basements, and I stay bent Make a milli to play with, buy a building you can pay me And the 'tic is who I came with, you know how we do We do, we do, we do, we do, we do   Mmm, I say the fish don't fry in the kitchen Beans don't burn on the grill (that's right) It took a whole lot of trying Just to get up that hill I said but now we're up in the big leagues My dirty it's our turn at bat And just as long as we livin', it's Lunatics playa It ain't nothin' wrong with that, huh, batter up",23,19,17,13,14,39,42,3,9,38,0.9791
9,9,/songs/35210,Nelly,Bay,https://genius.com/Nelly-bay-lyrics,http://api.genius.com/songs/35210,Brass Knuckles,2008-09-16,"* Wal-Mart online bonus track   Uh, mm, mm, mm, mm, mm Mm, mm, mm, mm, mm, mm, mm   I was out in the - Bay Bay Bay Bay Bay Met some niggas from the - Bay Bay Bay Bay Bay Met some girls from the - Bay Bay Bay Bay Bay Lot of folks in the - Bay Bay Bay Bay Bay And they all go - dum dum dum dum dum dum dum dum They all get - dum dum dum dum dum dum dum dum They all go - dum dum dum dum dum dum dum dum They all get - dum dum dum dum dum dum dum dum Ohh!   Uh, uh, uh Aiyyo I represent that Derrty E-N-T all the way But I'mma rip this shit up like I'm straight from the Bay But no it ain't the Spiggity 1 from back in the day It's the diggity-diggity Derrty one, they call him Nelly Leanin' on his Cutlass with his cellular phone You could tell that the St. Lou' was his home More mail than the rest of them rappers Cause they did more stompin than the cappers And that's why Ice clique was it First name St., last name 'Tics Half-brothers and they name Murph' and Ky' Slo had a mask, City and Ali Old school rep, color cranberry Up in the abyss with homie E-40 Orange juice, mix it with the Tang-and-a-ray Hey, what can I say? (huh?) I was out in the..     Who you think this is? This ain't Short, this St. Louis +Born to Mack+, ma that's my biz Life's +Too Short+, baby catch my drift I was told not long ago ""Nelly, don't stop that rap If you do it well enough She just might bring it back"" Then I yelled out BIATCH! I go on and on Baby girl skills on the level of porn A freaky tail that I met out on tour Mama was bad like Lena Horne $hort then said I got a dirty mouth Sometimes that might be true But I'm the CEO of Derrty mayne So, I ain't trippin off you I'm just out in the..     Rock a green fitted, with a yellow A Yeah I'm from the Lou', but today I'm reppin Bay Bring the yellow tape, he ain't gettin far Mirror in my pocket so I practice lookin hard And you don't wanna be around when them boys pullin out them thangs All my niggas is pimps, man they all carryin canes I met this girl up in the club, she told me call her Wassie Red bone thick, with a bangin-ass body Now is I, now is I, should I save her? Think about it, no way, UGHH! Look up in the sky, it's a bird, it's a plane What's his crew name? Derrty E-N-T mayne! I just wanna know (know) tell me when to go (go) Price is on the Cavi', but I can get it low Pocket full of fatty and sippin that hurricane So just sprinkle me mayne   Mm, mm, mm, mm, mm, mm, mm, mm Mm, mm, mm, mm, mm, mm, mm, mm",3,4,6,4,6,9,15,3,3,9,-0.8755
