,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/3101307,Nickelback,After the Rain,https://genius.com/Nickelback-after-the-rain-lyrics,http://api.genius.com/songs/3101307,Feed the Machine,2017-06-16," All your life, scramble and scurry Take your time, rather than hurry Never too late to write the best of your story Remember to breathe or else you're gonna be sorry Life's no race, it's a companion Always face with reckless abandon The ticket to life as my mother once told me Stick with your pride and you're gonna be lonely (gonna be lonely)   Everybody says that life takes patience But nobody wants to wait Everybody says we need salvation But nobody wants to be saved The light in the tunnel is just another runaway train The blue skies we wait on Are gonna have to come after the rain   Spend your days happy and grateful Avoid the taste of wanting and wasteful Every good thing will come in moderation Envy and greed will only lead to frustration Choose your friends, carefree and kindly Choose your words, careful and wisely Always be there to lend a comforting shoulder One will be there to share a day when you're older (a day when you're older)   Everybody says that life takes patience But nobody wants to wait Everybody says we need salvation But nobody wants to be saved The light in the tunnel is just another runaway train The blue skies we wait on Are gonna have to come after the rain   All mistakes, committed upon us Always take a toll on the conscience Every regret is a debt that you live with Never forget to remember forgiveness   Everybody says that life takes patience But nobody wants to wait Everybody says we need salvation But nobody wants to be saved The light in the tunnel is just another runaway train The blue skies we wait on Are gonna have to come after the rain (ra-ai-ai-ain)   Gonna have to come after the rain (ra-ai-ai-ain) Gonna have to come after the rain (ra-ai-ai-ain) Gonna have to come after the rain (ra-ai-ai-ain) Rain, yeah Ra-ai-ai-ain Gonna have to come after the rain",6,18,4,5,10,24,23,18,1,16,0.9869
1,1,/songs/196492,Nickelback,Animals,https://genius.com/Nickelback-animals-lyrics,http://api.genius.com/songs/196492,All the Right Reasons,2005-11-08," I, I'm driving black on black Just got my license back I got this feeling in my veins this train is coming off the track I'll ask polite if the devil needs a ride 'Cause the angel on my right ain't hanging out with me tonight I'm driving past your house while you were sneaking out I got the car door opened up so you can jump in on the run Your mom don't know that you were missing She'd be pissed if she could see the parts of you that I've been kissing Screamin'   No, we're never gonna quit Ain't nothing wrong with it Just acting like we're animals (Animals) No, no matter where we go 'Cause everybody knows We're just a couple of animals (Animals)   So come on baby, get in Get in, just get in Check out the trouble we're in   You're beside me on the seat Got your hand between my knees And you control how fast we go by just how hard you wanna squeeze It's hard to steer when you're breathing in my ear But I got both hands on the wheel while you got both hands on my gears By now, no doubt that we were heading south I guess nobody ever taught her not to speak with a full mouth 'Cause this was it, like flicking on a switch It felt so good I almost drove into the ditch I'm screamin'   No, we're never gonna quit Ain't nothing wrong with it Just acting like we're animals (Animals) No, no matter where we go 'Cause everybody knows We're just a couple of animals (Animals)   So come on baby, get in Get in, just get in Look at the trouble we're in   We were parked out by the tracks We're sitting in the back and we just started getting busy When she whispered ""What was that?"" ""The wind, I think 'cause no one else knows where we are"" And that was when she started screamin' ""That's my dad outside the car!"" Oh please, the keys, they're not in the ignition Must have wound up on the floor while we were switching our positions I guess they knew that she was missing As I tried to tell her dad it was her mouth that I was kissing Screamin'   No, we're never gonna quit Ain't nothing wrong with it Just acting like we're animals (Animals) No, no matter where we go 'Cause everybody knows We're just a couple of animals (Animals)   So come on baby, get in (We're just a couple of animals) Get in, just get in Ain't nothing wrong with it Check out the trouble we're in (We're just a couple of animals) Get in, just get in",4,8,3,8,7,17,11,9,7,7,-0.9644
2,2,/songs/196477,Nickelback,Another Hole in the Head,https://genius.com/Nickelback-another-hole-in-the-head-lyrics,http://api.genius.com/songs/196477,The Long Road,2004-03-21," I'm through, thinking of things to say to you It's true, I've said enough and so have you Just drive, you slam the door and so do I Tongue tied, from all the little things And they're the reason that I scream   I needed you Probably as bad as I need another hole in the head Was I mean to you? Car keys in your hand I believe that you would leave me for dead   Your turn, you'd rather leave then live and learn That's why, you want an end and so do I This time, I'll leave, and leave it all behind Tongue tied, from all the little things And they're the reason that I scream   I needed you Probably as bad as I need another hole in the head Was I mean to you? Car keys in your hand I believe that you would leave me for dead I needed you Probably as bad as I need another hole in the head Was I mean to you? Car keys in your hand I believe that you would leave me for dead   I believe, you would leave, me for dead, me for dead I believe, you would leave, me for dead, me for dead   I'm through, thinking of things to say to you It's true, I've said enough and so have you Just drive, you slam the door and so do I Tongue tied, from all the little things And they're the reason that I scream   I needed you Probably as bad as I need another hole in the head Was I mean to you? Car keys in your hand I believe that you would leave me for dead I needed you Probably as bad as I need another hole in the head Was I mean to you? Car keys in your hand I believe that you would leave me for dead   I believe, you would leave, me for dead, me for dead I believe, you would leave I believe that you would leave me for...",10,1,8,10,2,23,6,18,18,2,-0.9964
3,3,/songs/196470,Nickelback,Because of You,https://genius.com/Nickelback-because-of-you-lyrics,http://api.genius.com/songs/196470,The Long Road,2004-03-21," Hands on the mirror, can't get much clearer Can't make this all go away Now that you're bleeding, you stare at the ceiling Watch as it all fades away   From what you do, because of you You know I can't be there Each time that you call I swore not to come, but I'm here after all I know by the look that I see in your eye I won't stand around and I won't watch you die From what you do, because of you   What you do, what you do What's become of you? What you do, what you do What's become of?   Now that you did this, you ask for forgiveness Doctor, could you be my priest? You say you're mistaken, but look what you've taken You laugh as you lie through your teeth   From what you do, because of you You know I can't be there Each time that you call I swore not to come, but I'm here after all I know by the look that I see in your eye I won't stand around and I won't watch you die From what you do, because of you   What you do, what you do What's become of you? What you do, what you do What's become of?   From what you do   Hands on the mirror, can't get much clearer Can't make this all go away Now that you're bleeding, you stare at the ceiling Watch as it all fades away   What you do, what you do What's become of you?   From what you do, because of you You know I can't be there Each time that you call I swore not to come, but I'm here after all I know by the look that I see in your eye I won't stand around and I won't watch you die From what you do, because of you   What you do, what you do What's become of you? What you do, what you do What's become of?",1,8,3,11,1,9,3,6,1,2,0.9634
4,4,/songs/196467,Nickelback,Believe It or Not,https://genius.com/Nickelback-believe-it-or-not-lyrics,http://api.genius.com/songs/196467,The Long Road,2004-03-21," Believe it or not, everyone has things that they hide Believe it or not, everyone keeps most things inside Believe it or not, everyone, believe in something above Believe it or not, everyone, needs to feel loved   Feel loved But we don't, and we won't until we figure out Could someone deliver us and send us some kind of sign? So close to giving up 'Cause faith is so hard to find But you don't, and you won't, until we figure out   I've seen it a lot Every time to the world turns upside down Believe it or not Most of us feel like we're losing ground Believe it or not, everyone, hate admitting fear Believe it or not, most of us wanna know why we're here   Why we're here, but we don't, and we won't until we figure out Could someone deliver us and send us some kind of sign? So close to giving up 'Cause faith is so hard to find Someone deliver us, just send us some kind of sign So close to giving up 'Cause faith is so hard to find But you don't, and you won't, until we figure out   Most of us have nothing to complain about Most of us have things we could live without Everyone need advice on how to get along Get along; we don't, until we figure out Believe it or not everyone (Everyone, everyone)   Believe it or not, everyone has things that they hide Believe it or not, everyone keeps most things inside Believe it or not, everyone, believe in something above Believe it or not, everyone, needs to feel loved   Feel loved, but we don't, and we won't Until we figure out Could someone deliver us and send us some kind of sign? So close to giving up 'Cause faith is so hard to find Someone deliver us and send us some kind of sign So close to giving up 'Cause faith is so hard to find But you don't, and you won't, until we figure out You don't, and you won't, until we figure out",4,6,1,4,10,4,23,3,0,20,0.9931
5,5,/songs/196561,Nickelback,Bottoms Up,https://genius.com/Nickelback-bottoms-up-lyrics,http://api.genius.com/songs/196561,Here And Now,2012-02-24," Hey Who's coming with me, to kick a hole in the sky? I love the whiskey, let's drink that shit till it's dry So grab a Jim Beam, JD, whatever you need Have a shot from the bottle, doesn't matter to me Another round, fill her up, hammer down, grab a cup, bottoms up   This is what it's all about, no one can slow us down We ain't gonna stop until the clock runs out (Bottoms up) Hell can't handle all of us, so get your bottles up Drinking every drop until it all runs out Another round, fill her up, hammer down, grab a cup, bottoms up Ooh, bottoms up   So grab your best friends and make your way to the bar But keep your distance, we're gonna light it on fire We're drinking black tooth, 80 proof, straight gasoline Slam as much as you can take and hand the bottle to me Another round, fill her up, hammer down, grab a cup, bottoms up   This is what it's all about, no one can slow us down We ain't gonna stop until the clock runs out (Bottoms up) Hell can't handle all of us, so get your bottles up Drinking every drop until it all runs out Another round, fill her up, hammer down, grab a cup, bottoms up Ooh, bottoms up   This is what it's all about, no one can slow us down We ain't gonna stop until they throw us all out Hell can't handle all of us, so get your bottles up Drinking every drop until it all runs out   This is what it's all about, no one can slow us down We ain't gonna stop until the clock runs out (Bottoms up) Hell can't handle all of us, so get your bottles up Drinking every drop until it all runs out Another round, fill her up, hammer down, grab a cup, bottoms up   Another round, fill her up, hammer down, grab a cup, bottoms up Hey, bottoms up",16,4,5,7,3,34,4,18,2,8,-0.9847
6,6,/songs/196331,Nickelback,Breathe,https://genius.com/Nickelback-breathe-lyrics,http://api.genius.com/songs/196331,The State,1998-09-04," Two men They started walking Started talking about better days One says to the other We do it all again Seems I knew I would And now I found it Found I adored it I didn't want this Somebody help me see Now I feel it Feel like I've been there I didn't need this Somebody help me breathe   Here we are again Just face to facing Each other another day Who wins? Well, who cares It always ends up the same Seems I knew I would   And now I found it Found I adored it I didn't want this Somebody help me see And now I feel it Feel that I've been there I didn't need this Would somebody help me stand? And now I've told them Already warned them I didn't want this Somebody help me breathe   If I was them Then I wanna be What I see If I could drag my life in a moment Wanna know, do you want me to go? Going to keep it all from ending Never stop myself from pretending That you always knew that I never could   All I ever really wanted was to be the same Equal treatment never ever comes And there they go again All I ever really wanted was to be like you So perfect So worthless If I could take it all back think again I would   And now I found it Found I adored it I didn't want this Somebody help me see Now I feel it Feel that I've been there I didn't need this Somebody help me stand And now I've told them I didn't want this I didn't need this Would somebody help me breathe? Would somebody help me breathe? Would somebody help me?",2,2,1,1,7,2,7,1,1,7,0.9927
7,7,/songs/196521,Nickelback,Burn It to the Ground,https://genius.com/Nickelback-burn-it-to-the-ground-lyrics,http://api.genius.com/songs/196521,Dark Horse,2008-11-17," Well, it's midnight, damn right, we're wound up too tight I've got a fist full of whiskey, the bottle just bit me Oh That shit makes me bat shit crazy We've got no fear, no doubt, all in, balls out   We're going out tonight (Hey!) To kick out every light (Hey!) Take anything we want (Hey!) Drink everything in sight (Hey!) We're going till the world stops turning While we burn it to the ground tonight Ooh Ooh   We're screaming like demons, swinging from the ceiling I got a fist full of fifties, tequila just hit me Oh We got no class, no taste, no shirt, and shit faced We got it lined up, shot down, firing back straight crown   We're going out tonight (Hey!) To kick out every light (Hey!) Take anything we want (Hey!) Drink everything in sight (Hey!) We're going till the world stops turning While we burn it to the ground tonight Ooh Ooh   Tickin' like a time bomb, drinkin' till the nights gone Well, get your hands off of this glass, last call my ass Well, no chain, no lock, and this train won't stop We got no fear, no doubt, all in, balls out   We're going out tonight (Hey!) To kick out every light (Hey!) Take anything we want (Hey!) Drink everything in sight (Hey!) We're going till the world stops turning While we burn it to the ground tonight Ooh We're going out tonight (Hey!) To kick out every light (Hey!) Take anything we want (Hey!) Drink everything in sight (Hey!) We're going till the world stops turning While we burn it to the ground tonight",17,1,6,10,0,19,2,7,2,6,-0.9923
8,8,/songs/3101303,Nickelback,Coin for the Ferryman,https://genius.com/Nickelback-coin-for-the-ferryman-lyrics,http://api.genius.com/songs/3101303,Feed the Machine,2017-06-16," Flying down the highway like a bat out of hell My buddy Bradley's in the middle Darcy's lookin' out the window We just got high and hopin' no one can tell But with the icky of the sticky It don't matter where the wind blows   Lighter in my hand and I've got nothing to burn Except a little turpentine inside of those five paint cans Get grandpa's shotgun and we'll all take turns But don't you ever say a word Cause you know momma's gonna hate that   The dice that we've been rollin' With our lives are better stolen When you're walking through the fire for fun Tidal wave in motion You can't hide from the explosion In three, two, one   We're smokin' dynamite Too many fuses to light (Got kingdom come, on the run) Gonna steal, beg, and borrow A thousand fahrenheit and we're about to ignite So keep the throttle to the bottom We may never see tomorrow If tonight's our time to go, the one thing I know We'll need a coin for the ferryman Leave us a coin for the ferryman   Countin' every nickel, dime and five dollar bill So we've been stealin' gasoline and laying low out on the backroads The city lights are glowin' over the hill And we can make it, but we take the chance of never coming back home   The dice that we've been rollin' With our lives are better stolen When you're walking through the fire for fun Tidal wave in motion You can't hide from the explosion In three, two, one   We're smokin' dynamite Too many fuses to light (Got kingdom come, on the run) Gonna steal, beg, and borrow A thousand fahrenheit and we're about to ignite So keep the throttle to the bottom We may never see tomorrow If tonight's our time to go, the one thing I know We'll need a coin for the ferryman Leave us a coin for the ferryman   One for the road and one for those in heaven One for the lord and take it from the devil Don't even try, 'cause you know you can't hide Better run, better run, better run   We're smokin' dynamite Too many fuses to light (Got kingdom come, on the run) Gonna steal, beg, and borrow A thousand fahrenheit and we're about to ignite So keep the throttle to the bottom We may never see tomorrow If tonight's our time to go, the one thing I know (one thing I know) We're smokin' dynamite (smokin' dynamite) (Got kingdom come, on the run) A thousand fahrenheit So keep the throttle to the bottom We may never see tomorrow If tonight's our time to go, the one thing I know We'll need a coin for the ferryman Leave us a coin for the ferryman",12,15,5,14,3,25,12,16,6,9,-0.6356
9,9,/songs/196335,Nickelback,Cowboy Hat,https://genius.com/Nickelback-cowboy-hat-lyrics,http://api.genius.com/songs/196335,The State,1998-09-04," Yes, he wore a cowboy hat Each bone broken in his back All the money and all the gold Couldn't buy my love at eight years old Now I'm in love with a girl that's wrong for me Ask her, she will disagree Her father was a small town man With small time dreams and small town hands But...   But I was there when there was nobody home Please believe me when I say, I don't know Gone for good in fact, but what does it mean? Within a year, they always sold them, but..   Easy enough to just look at her Whole world on a silver platter What's that? Is that bad for me? If I would set her conscience free Won round one, but it's not over He don't care cause he didn't know her Too long it's not the same If I could lend a hand in shame   But I was there when there was nobody home Please believe me when I say, I don't know Gone for good in fact, but what does it mean? Within a year, they always sold them, but...   You'll always be So much easier to see Don't hide from me That which I've already seen You lie to me More than occasionally Don't lie to me You lied to me   I'm as high as I'll ever be I don't mind, stay and see They've all gone, why don't we? Lonely as you and me But I'm as high as I'll ever be Later on, last to see My past is gone, only from me I'm alive   But I was there when there was nobody home Please believe me when I say, I don't know Gone for good in fact, but what does it mean? Within a year, they always sold them, but...   Remember when it was me Driving has come down just for me And then we'll try as we've been",7,7,5,5,7,11,17,6,4,18,0.9844
