,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/1508092,Norah Jones,2 Men,https://genius.com/Norah-jones-2-men-lyrics,http://api.genius.com/songs/1508092,Not Too Late,2007-01-30,There are two men sitting in the same bar And I have kissed them both But that's okay They don't know each other And I'll keep it that way  There are two sets of lips that I have kissed All in the same room And I don't know If that's a good thing But I think it's okay Its not like I kissed them both On the same day  Each one of them is something to me I don't know how to explain Each one of them means love to me Don't know how it can be  There are two men in the same bar And I have missed them both But that's okay they don't know that I'm here So I'll turn and walk away,0.963,0,1,0,0,2,0,8,0,1,7
1,/songs/743535,Norah Jones,4 Broken Hearts,https://genius.com/Norah-jones-4-broken-hearts-lyrics,http://api.genius.com/songs/743535,Little Broken Hearts,2012-01-01,: Oooh Oooh  : People can't be hand-made But he keeps slaving away At a stone that's too hard to break A girl who's too lost to save  : So you tried to replace me But you didn't get far And I tried to repay you But I only got scarred  : She'll be breaking your fall And I'll be building new walls But this time I'll have to make sure To add a window for you to come back  : And we tried to be faithful But didn't get far Now all we'll be left with Is four broken hearts I tried to erase you But didn't get get far Enough away from you because You still can break my heart  ,0.5267,3,2,0,2,2,5,4,3,2,3
2,/songs/1402650,Norah Jones,Above Ground,https://genius.com/Norah-jones-above-ground-lyrics,http://api.genius.com/songs/1402650,Feels Like Home,2004-02-10,"Underground I'm waiting Just below the crowded avenue Watchin' red lights fading out of view  Oh the air feels heavy Everything just passes by And I think that I'm a little shy  Meet me outside above ground I see you on your way I'll be with you someday, someday  Drawing lines above my head But the fan keeps spinning over me Just my thoughts to keep me company  Now I know I'm ready Pour the night into a glass Can I sip it slow and make it last?  Meet me outside above ground I see you on your way I'll be with you someday, someday  Meet me outside above ground I see you on your way I'll be with you someday I'll be with you someday I'll be with you someday I'll be with you someday",0.7047,0,2,0,0,0,0,0,0,0,3
3,/songs/1091046,Norah Jones,After the Fall,https://genius.com/Norah-jones-after-the-fall-lyrics,http://api.genius.com/songs/1091046,Little Broken Hearts,2012-04-25, I never told you about the summer Every day was changing Only photographs But life goes on In your mind so warm   Out on my own now And I like the way it feels You couldn't come through And I'm too far gone   After the fall Do you still want it all?   You never told me about the winter Every day was changing But I remember But life went on In my mind so cold   Out on your own now Do you like the way it feels? Didn't I come through? You were too far gone   After the fall I still want it all,0.9037,0,0,0,0,0,3,0,2,0,0
4,/songs/1495729,Norah Jones,All a Dream,https://genius.com/Norah-jones-all-a-dream-lyrics,http://api.genius.com/songs/1495729,Little Broken Hearts,2012-04-25," And we finally awake And walk into the sunny day I can see it in your face That everything will be okay 'Cause you never hurt Someone who wants to learn To be your slave   And the night is oh so clear The clouds will never reappear But the moon is out of place And all the trees are looking strange   And feeling the warmth of your breath Against my skin Now I hope this isn't only just a dream   So we run into a church The people all look the same And the sun is in my eyes I'm trying hard to scream your name   My stomach starts to churn And the curtains in the wind begin to burn And now I know it's all a dream   Enemy sleeps with me night or day Enemy teases every minute in my mind He's in my mind Enemy throws all my money away Enemy knows how to make me always pay I always pay Enemy lies don't cross my mind Enemy talks, talking so nice and kind So nice and kind   And how long does it take To fight off this weakness? And tell him To guard me 'Cause God knows I'm sorry   Mmm Ooo",-0.9572,16,14,12,14,13,15,17,6,9,14
5,/songs/2875440,Norah Jones,And Then There Was You,https://genius.com/Norah-jones-and-then-there-was-you-lyrics,http://api.genius.com/songs/2875440,Day Breaks,2016-10-07,"And then there was you And then there was you, my dear I thought love was a game One would win or would lose until  I found you Until I found you, my dear I thought love was a shame So I threw it away And then there was you  I thought I was right But now it seems I was wrong I just waited so long And I feared love had gone And then there was you",0.5031,1,4,2,2,5,3,7,2,1,2
6,/songs/1207887,Norah Jones,Are You Lonesome Tonight?,https://genius.com/Norah-jones-are-you-lonesome-tonight-lyrics,http://api.genius.com/songs/1207887,None,2017-05-23,"Are you lonesome tonight ? Do you miss me tonight ? Are you sorry we drifted apart ? Does your memory stray to a bright summer day When Ikissed you and called you sweetheart  Do the chairs in your parlor seem empty and bare? Do you gaze at your doorstep and picture me there ? Is your heart filled with pain ? Shall I come back again ? Tell me dear, are you lonesome tonight ?  Do the chairs in your parlor seem empty and bare? Do you gaze at your doorstep and picture me there ? Is your heart filled with pain ? Shall I come back again ? Tell me dear, are you lonesome tonight ?",-0.7319,0,1,0,2,1,6,3,6,0,1
7,/songs/3971771,Norah Jones,A Song with No Name,https://genius.com/Norah-jones-a-song-with-no-name-lyrics,http://api.genius.com/songs/3971771,Begin Again,2018-09-21, Do I love you too much? Do I hold you too tight? Have you had enough? Shake me off in the night   If I had a gun If I had a knife If I had your love If I was your wife   If I go on my own And I see you in my dreams And I hope to again I have silently schemed   If I had a gun If I had a knife If I was the one If I was your wife,0.8762,2,1,0,2,3,2,3,0,1,1
8,/songs/1489898,Norah Jones,Back To Manhattan,https://genius.com/Norah-jones-back-to-manhattan-lyrics,http://api.genius.com/songs/1489898,The Fall ,2009-11-11,I'll go back to Manhattan As if nothing ever happened When I cross that bridge It'll be as if this don't exist  I've a prince who is waiting And a kingdom downtown I'll go back to Manhattan As if nothing ever happened  We don't have to speak at all I won't look in your eyes And I won't have to fall We don't have to speak at all  But Brooklyn holds you And it holds my heart too What a fool I was to think I could live in both worlds  We don't have to speak at all I won't look in your eyes And I won't have to fall We don't have to speak at all  I should go back to Manhattan It's just a train ride away I know nothing about leaving But I know I should do it today,-0.5927,1,0,1,1,0,4,6,3,0,5
9,/songs/4293287,Norah Jones,Begin Again,https://genius.com/Norah-jones-begin-again-lyrics,http://api.genius.com/songs/4293287,Begin Again,2019-04-12," Every thought that I ignore Another question's at my door Yes, when will we begin To believe in this again? Can we believe? Can we believe? I walk down the street With shadows at my feet And words in my head So much left unsaid Do you know how we got here? Do you know how we got here?   I drank to clear my throat Enough to eat the words you wrote I've said these words before Felt this way, closed that door Are you a stranger? Are you a stranger?   Never seemed to bother me Now I find it hard to breathe Everything that you wrote Sticks inside and chokes my throat Do I think way too much? Are we running out of luck?   Can a nation built on blood Find its way out of the mud? Will the people at the top Lose their way enough to stop? Can we begin again? Can we begin again? Can we begin again? Can we begin again?",0.3173,2,3,1,3,1,7,7,2,2,5
