,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/102497,Omarion,Admire,https://genius.com/Omarion-admire-lyrics,http://api.genius.com/songs/102497,Care Package,2012-11-26," When you on the pole Everything be stopping Girl you in control everybody watching I admire what you do I see you when you walk, gon' mommy pop it Green make you go, I don't want you to stop it I admire what you do I do   What? What? Baby you are so sexy, a maniac, yeah a brainiac Shit maybe you should come test me Balling big, yeah balling big, shit I should win the espy Jay-Z thanks for that line I heard about you from the home boys but I didn't think you was that fine Like damn, where you been?! Body like a house girl let me in Your man is a loser bet I win, bet I win, bet I win Your looking like a lick I could run up in Bet if I hit you your mind be gone,til November Then cold as December,last love stop me if I'm wrong Shh,quiet huh? Make you laugh I'm a riot huh?you can tell by my look I'm a bad bitch crook Walk in the spot every bad bitch look Walk in the spot every bad bitch took Had so many bad bitches with ass in my past No gas,i should write a bad bitch book Holding the book with that average look   When you on the pole Everything be stopping Girl you in control everybody watching I admire what you do I see you when you walk, gon' mommy pop it Green make you go, I don't want you to stop it I admire what you do I do   I come in, a cool night, she pulling on my chest My tattoo she kissing, my tattoo she kissing Her panties, got missing, Hennessy I’m sipping She so wet, I’m swimming, she so wet, I’m drowning And it all happened at your job K.O.D., Sin City, Perfections, Stadium, Onyx I'm just being honest I tip her she owes me The tip in,no clothing Looking at my Rolex,while your hands in motion To myself I'm toasting Lame niggas get no sex Turn around and back it up Drop it low then arch it up Fuck a hater they don't know Just keep dancing on that pole   When you on the pole Everything be stopping Girl you in control everybody watching I admire what you do I see you when you walk, gon' mommy pop it Green make you go, I don't want you to stop it I admire what you do I do   If you want to cut ,baby I can chop it Put you on the ropes,beat it till I knock it If you holding bags, you should gone and drop it I got all this cash,you should gone and drop it off   I'm willing to manage you and take this whole thing over Find out what your real name is and get a little closer These other niggas in here playing with your feelings I would take you outta here and make you have my children Yeah,i'm gone,a nigga really out here getting turnt up But quicker now but in the work up I go work up in this thang I got bands playing all night,bands set to take flight Bands that a niggas wanna give you Then a band is for life",-0.9939,20,6,18,17,13,28,28,15,6,20
1,/songs/610482,Omarion,Already,https://genius.com/Omarion-already-lyrics,http://api.genius.com/songs/610482,Sex Playlist,2014-12-02," Thank you, thank you for coming You could be with anyone else in the world But you came with me   Girl I'm so anxious for you I've been so patient with you We don't need to rush we can take our time You and me, you and me, you and me   (Love, Love, Love) Your hair done, and your nails done already Your dress on, and your heels on already (Already) (Love, Love, Love) I don't know 'bout you girl but I'm ready I'm ready. I'm ready   I can have a motherfuckin' helicopter scoop you from the water to the land, baby hold up Breakfast in the morning more important bitches calling, I ignore it, who's the master? Baby, sho' nuff You telling me you might change But I tell you not to Baby you're a star, you're the one   Girl I'm so anxious for you I've been so patient with you We don't need to rush we can take our time You and me, you and me, you and me   (Love, Love, Love) Your hair done, and your nails done already Your dress on, and your heels on already (Already) (Love, Love, Love) I don't know 'bout you girl but I'm ready I'm ready. I'm ready",0.9881,3,14,1,4,16,8,26,1,0,6
2,/songs/2369094,Omarion,Angel (Interlude),https://genius.com/Omarion-angel-interlude-lyrics,http://api.genius.com/songs/2369094,Care Package 3,2015-11-20," Okay, okay I say, I say Omarion, Kehlani Heyyyy  [Hook / Verse: Kehlani] Every morning there's this tension Hate to leave the bed cause I miss ya and I Wish I had another minute Can't believe how hard you got me trippin' (I) I watch you while you're sleepin' Thanking God 'cause you... ...  [Hook? Omarion & Kehlani] Damn I got a confession I don't know if I need to go to heaven Everyday is a blessing 'Til I get to the days I ain't stressing 'cause I woke up kissing the lips of an angel (On your lips, between your lips) I woke up kissing the lips of an angel I-I-I",0.9198,3,6,2,4,4,4,5,3,4,5
3,/songs/193642,Omarion,Arch It Up,https://genius.com/Omarion-arch-it-up-lyrics,http://api.genius.com/songs/193642,Care Package,2012-11-29," Yeah I walk in and I turn up Pockets full of them hundreds Girl I know that you want it Oh my God you got Omarion in your city It's maybach maybach So baby girl relax and hop in that maybach maybach Girl you wannna follow my protocol As long as your clothes keep falling off It's Gucci gucci I won't waste your time Woah Let me serenade your mind tonight   Let me serenade your mind tonight I'm a do you right all right girl I will show you what I got in mind When you arch your back I love it when you do it like that girl  Arch it up arch arch it up Arch it up arch arch it up Arch it up arch arch it up For me yeah Arch it up arch arch it up Arch it up arch arch it up When you arch your back I love it when you do it like that girl   Arch it over me baby arch it over me darling It's 1 am in the morning I keep by your side And I'm kissing all down your spine girl Baby baby just lay back and let me blow your mind You're out of line for your body baby Here I am deep inside you baby I wanna take you on a ride So arch it for me tonight   Let me serenade your mind tonight I'm a do you right all right girl I will show you what I got in mind When you arch your back I love it when you do it like that girl  Arch it up arch arch it up Arch it up arch arch it up Arch it up arch arch it up For me yeah Arch it up arch arch it up Arch it up arch arch it up When you arch your back I love it when you do it like that girl   Baby threes nothing saying but stay major Lace off ain't nobody trying to come save ya Trying to run up in ya like it was game time Got a few in the body and can't fade ya Say you man got a lock but I'm a pass him I'm the king of the streets you better ask him I hear you riding stick when you in front of the rari I ain't worried about it I'm bout it I'm bout to crash him I know that fly shit cool but I'm a thug for days Old school with the swag franky beverly mase I know the streets ain't safe but you can tell him it pays Wardrobe high-class trying to get him a raise I've been in it a minute but I ain't ready to stop I ain't nothing like haters rather see you on top Haters get off your clothes rather open up shop I ain't worried bout time stone froze up the watch I don't say shit boy I shoot shots Headboard knock you can hear it up the block In a minute I'll have it going down like Joc Ain't nothing here fake you can tell how I rock Bout that life tell him stop that pose My grill is platinum baby then yours gold See the truth is hot but everything else cold I'm what's not everything your soul   Let me serenade your mind tonight I'm a do you right all right girl I will show you what I got in mind When you arch your back I love it when you do it like that girl  Arch it up arch arch it up Arch it up arch arch it up Arch it up arch arch it up For me yeah Arch it up arch arch it up Arch it up arch arch it up When you arch your back I love it when you do it like that girl  Imma let it ride I got some questions for you Tell me what's your name Tell me what's your sign Tell me what you into Tell me what you like If you was rich tomorrow, tell me what would you do with it And if you could see the future baby would you see me in it Would you date me for a minute Girl before you let me hit it Are you single are you taken Working towards your education I'm just asking I'm just saying What's your current situation Cause I see you across the room and you the baddest in the building What's up",0.9941,14,10,5,7,20,23,34,6,2,13
4,/songs/2376342,Omarion,Ballin',https://genius.com/Omarion-ballin-lyrics,http://api.genius.com/songs/2376342,Care Package 3,2015-11-12," Omarion (is it the shoes)   Westbrook with the ball Number one in the Rose Ballin' out of control Big whip with the hoes Drive 40 on the road [??] AP on my wrist Nigga you ain't got this I park my whip in the hallway Call it the Timothy Hardaway I'm MVP on my all day Just might sell out the Barclay I just might jump on the foul line I'm eatin' up on my down time Every time you come around Put on a show like it's half time (Swish)   Ballin', ballin', ballin' (Swish) Ballin', it's Magic, Jordan I'm scorin', I'm scorin' (Swish) Ballin'   I turn a lay up to a dunk See I've been ballin' from the jump Ok see KD, Rondo, no KG Black card got no limit, call that Master P I'm from the west like Delonte I got my Yeezy's from Kanye I'm pass for a week [?] with the ball mayne Y'all niggas got hoop dream I'm MJ with the hoop [?] Call me [?] all your friends come Told her ""baby that's a Air One's""   Ballin', ballin', ballin' (Swish) Ballin', it's Magic, Jordan I'm scorin', I'm scorin' (Swish) Ballin'   Is it the shoes? Is it the shoes? Is it the shoes? I turn a lay up to the dunk I've been ballin' from the jump",0.7757,3,3,1,1,5,4,6,1,0,2
5,/songs/2981617,Omarion,BDY ON ME,https://genius.com/Omarion-bdy-on-me-lyrics,http://api.genius.com/songs/2981617,Reasons,2017-02-03,"Put your body on me Put your body on me Omarion (ahh yeah) And your chick  Oh come get it About to catch on my fly Just come with it Yeah come get it  You’re the only when I see I’m just being honest And I know you want to leave with me Why you trying to hide it  Baby when we’re grinding I get so excited The way you’re feeling on me Want you put me on  Put your body on me (yeah), on Put your body on me (yeah), on Put your body on me, put that on Yeah yeah yeah Put that on Yeah yeah yeah  All nights just fine Anytime is a good time And pour a drink or two Cause you know we got things to do A little bit of this A little that Don’t you know I want you so bad Cause I know what you’re thinking But save that for later  Baby when we’re grinding I get so excited The way you’re feeling on me Want you put me on  Put your body on me (yeah), on Put your body on me (yeah), on Put your body on me, put that on Yeah yeah yeah Put that on Yeah yeah yeah  Put your body on me (yeah), on Put your body on me (yeah), on Put your body on me, put that on Yeah yeah yeah Put that on Yeah yeah yeah Put your body on me",0.9942,4,6,4,5,9,6,10,5,7,8
6,/songs/1537466,Omarion,Been With a Star,https://genius.com/Omarion-been-with-a-star-lyrics,http://api.genius.com/songs/1537466,21,2006-12-26,"You see me on TV Different videos Ive got a new chick every week i know Don't use that to judge me Come and get to kno me Hopefully i can show u just what im all about  (you never know) What u might be missin' (gimme a go) Yes I'll beat your interest (this is a show) You won't be dissapointed heres your invatation come on (right now)   Have you ever been with a star everywhere you go everybody knows ya Have you ever been with a star 24/7 red carpet Have you ever been a star Its obvious to see where you should be, with me have you ever been with a star  I bet you never thought I'd wash my own dishes Ill take out the trash girl u know im getin I know ur asumin that it's just a song Only chasin groupies you couldn't be ma wrong   There's only so much i can say To persuade you my way (oh girl) girl u need to trust in me Forget about what you heard Baby ima show you what im all about (baby)   Have you ever been with a star Have you ever been with a star Have you ever been with a star Its obvious to see..",0.8609,1,8,2,1,9,4,13,2,0,15
7,/songs/1345649,Omarion,Beg for It,https://genius.com/Omarion-beg-for-it-lyrics,http://api.genius.com/songs/1345649,21,2006-12-26,"Can you say Omarion? There's just something I wanna do to you I been watchin you all night long (2x)  (Chorus) Beg For it Don't panic, when you see it you betta hold on You said you need it, well damnit come on Imma lay right here while they play my song And watch you beg for it Take that off, when you go in there you betta get it all Dont play wit it baby, go head get it all Imma beg for you baby as soon as you get all  (Verse 1) Ain't neva had body make yo hood friends Ask you ""how long does he give it"" Baby, get ready to know (they ain't ready) For the play, I'm a game When its up, I'll make you  (Chorus) Beg For it Don't panic (hey), when you see it you betta hold on You said you need it, well damnit come on Imma lay right here while they play my song (play my song) And watch you beg for it Take that off (hey), when you go in there you betta get it all (get this) Dont play wit it baby, go head get it all (hit this) Imma beg for you baby as soon as you get all  (Verse 2) Ain't no me lovin you, ain't no you lovin me This is strictly because, when we came in free No we were chosen for Understand whats the dress code Dont be mad if I ain't playin for keys Damn Imma do, all those things in my dream On my hood in the cold While its raining on us When I get it I'm gone, you gon let all ya girls know Ain't gon be no second guessing bout me  (Chorus) Beg For it (ho!) Don't panic (whoo), when you see it you betta hold on (hold on) You said you need it, well damnit come on Imma lay right here while they play my song (while they play my song) And watch you beg for it Take that off, (ooo) when you go in there you betta get it all (ooo yeah) Dont play wit it baby, go head get it all (come on) Imma beg for you baby as soon as you get all  (Hook) (Can I get a hit on the dance floor?) You can get it, oo yeah (Can I get a hit on the dance floor?) Tell me, can you feel it Can I get a hit on the dance floor, can I get it (ooo) Can I get a hit on the dance floor, can I get it (ooo) Can I get a hit on the dance floor, can I get it (oh) Can I get a hit on the dance floor, can I get it (hey)  (Chorus) Beg For it Don't panic, when you see it you betta hold on You said you need it, well damnit come on Imma lay right here while they play my song And watch you beg for it Take that off, when you go in there you betta get it all Dont play wit it baby, go head get it all Imma beg for you baby as soon as you get all  You see, I been watchin you (laughs) I'm sorry (laughs)",0.9888,12,8,4,11,18,29,31,13,2,11
8,/songs/2369085,Omarion,Bet That,https://genius.com/Omarion-bet-that-lyrics,http://api.genius.com/songs/2369085,Care Package 3,2015-11-12," Fuck what you heard about (They don't know) Bongo know by the way   Fuck what they saying, it's what they do I wouldn't call a body guard if I were you Ain't that some shit? They talkin' rumors Behind my back but they don't ever come up to me  Westside nigga rep that, (Bet that) Goin' up like a jetpack (Bet that) Gettin' money what I'm best at (Bet that) Nigga never had a setback (Bet that) Too close nigga step back (Bet that) Do you see me in the mini nigga? (Bet that) Can you see me on the ceiling nigga? (Bet that) Well I ain't tryin to stress that (Bet that)   Niggas lyin' I'mma press that (Bet that) Where your hoes where your checks at? (Bet that) Where your whips, where your flex at? (Bet that) Hunnid racks I invest that (Bet that) Said trip nigga clic-clac (Bet that) Playin' checkers on the chess mat (Bet that) Niggas talkin' out they name (Bet that) I only just got (Bet that)   Back that boy you had that (Say what) I don't give a damn (Say what) If it ain't about the bread (Say what) I ain't gon' sweat (Say what) So please don't believe (Yeah) All that you read (Yeah, yeah) They don't know about this thing Fuck what you heard about That's just word of mouth (I don't think they know about me) Fuck what you heard about They don't know about this thing   Fuck what they on and I keep my life private in school with the kids with the uniform on Finding a nigga that's solid these days bruh you gotta better a chance of bringing a unicorn home Beautiful homes have my kids over they play in the back Girl if I buy you some titties and we break up Four mamas I'm needin' em  back Why go to roll with a couple of dope Thank God I'm alive I feel blessed with the pope Yeah I know I'm a target They eyes is the scope Got my hand on my gun With my eyes on them folks Niggas know I got bread Yeah them obvious loafs I try not to boast Soft henny I want more like Demi If like is a bitch I will lick and eat it and kiss it And pin it and hit it and lick it and kiss it again And kiss it again till she calling for heaven Cause life is the man and I leave she gon make sure That he got that plan Fool with that mic yeah he leading his band I'll take you places no nigga can take you And teach things so no more niggas can play you no Pussy game baby I'm talking bout game from a real nigga  Real one you can bet that (bet that) Bang you real with the bagget (bet that) And your bitch I already had that (bet that) Fuck nigga better bag that (bet that) In your hood you'd be laughed at (hahaha) I'm bout to pull them pants to where your calves at   Niggas lyin' I'mma press that (Bet that) Where your hoes where your checks at? (Bet that) Where your whips, where your flex at? (Bet that) Hunnid racks I invest that (Bet that) Said trip nigga clic-clac (Bet that) Playin' checkers on the chess mat (Bet that) Niggas talkin' out they name (Bet that) I only just got (Bet that)   Back that boy you had that (Say what) I don't give a damn (Say what) If it ain't about the bread (Say what) I ain't gon' sweat (Say what) So please don't believe (Yeah) All that you read (Yeah, yeah) They don't know about this thing Fuck what you heard about That's just word of mouth (I don't think they know about me) Fuck what you heard about They don't know about this thing",0.9853,14,7,12,9,11,26,35,8,13,26
9,/songs/254701,Omarion,Between The Covers,https://genius.com/Omarion-between-the-covers-lyrics,http://api.genius.com/songs/254701,Care Package 2,2013-11-05," Sip until we faded And just like it's your Birthday or belated We gone celebrate it I hear your body callin' me Feel free to release your ? No need to keep waiting I'm gripping on your curves like I'm racing Givin' you motivation You go girl, you are all I need Explore all your fantasies   Just take a ride, just take a ride, just take a ride with me Girl, let me dive, girl, let me dive, I wanna swim in your sea Tell me how you feel and keep it real I'll never leave you lonely Sex you like we're in P Close your eyes and you'll see   Just let me have my way, girl don't be scared Cause I just wanna love ya (just wanna love ya) In between the covers (between the covers) There will be no panties in my bed Cause I just wanna love ya (just wanna love ya) In between the covers (between the covers)   Got my hormones racing And in between you legs is my location ('cation) You say it's been so vacant I'll bring that flow, you'll never know Got your legs up to the board Sweet love is all you tasting (all you tasting) Throw it back (Throw it back) Girl, I like it like that Might need some ventilation It's getting hot but girl it's cold Give you what you need times two     (2x) In between the covers I will love you like nobody, baby Promise to do you right (you right) We can make it last all night (all night) Hope you're ready girl (oh girl) Gonna take you on that flight (that flight)  ",0.9919,2,9,1,2,13,4,17,2,4,11
