,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/572269,One Direction,18,https://genius.com/One-direction-18-lyrics,http://api.genius.com/songs/572269,FOUR,2014-11-17," I got a heart and I got a soul Believe me, I will use them both We made a start, be it a false one I know Baby, I don't want to feel alone   So kiss me where I lay down My hands pressed to your cheeks A long way from the playground   I have loved you since we were eighteen Long before we both thought the same thing To be loved and to be in love All I can do is say that these arms were made for holding you I wanna love like you made me feel When we were eighteen  [Verse 2: Niall & Liam] We took a chance, God knows we've tried Yet all along, I knew we'd be fine So pour me a drink, oh love Let's split the night wide open And we'll see everything we can Living love in slow motion, motion, motion   So kiss me where I lay down My hands pressed to your cheeks A long way from the playground   I have loved you since we were eighteen Long before we both thought the same thing To be loved and to be in love All I can do is say that these arms were made for holding you And I wanna love like you made me feel When we were eighteen When we were eighteen Oh Lord, when we were eighteen  [Bridge: Zayn & Louis & Harry] Kiss me where I lay down My hands pressed to your cheeks A long way from the playground I have loved you since we were eighteen Long before we both thought the same thing To be loved and to be in love   And all I can do is say that these arms were made for holding you And I wanna love like you made me feel When we were eighteen I wanna love like you made me feel When we were eighteen I wanna love like you made me feel When we were eighteen",0.9983,1,20,1,1,18,3,20,1,7,6
1,/songs/581266,One Direction,Act My Age,https://genius.com/One-direction-act-my-age-lyrics,http://api.genius.com/songs/581266,FOUR,2014-11-17," One, two, three, four  [Verse 1: Niall & Liam] When I'm fat and old and my kids think I'm a joke 'Cause I move a little slow when I dance I can count on you after all that we've been through 'Cause I know that you'll always understand   I won't act my age, no I won't act my age No, I'll still feel the same around you, hey  [Verse 2: Louis & Zayn] When I'm fat and old and my kids think I’m a joke 'Cause the stories that I told, I tell again and again I can count on you after all we got up to 'Cause I know that you truly understand   I won't act my age, no I won't act my age No, I'll still feel the same around you I won't act my age, no I won't act my age No, I'll still feel the same and you will too, hey   When I can hardly walk and my hair is falling out We'll still stay up 'til morning, we'll throw the after party, oh yeah, oh yeah   I won't act my age, no I won't act my age No, I'll still feel the same around you I won't act my age, no I won't act my age No, I'll still feel the same and you will too, hey",-0.7351,0,0,2,0,1,5,3,3,0,3
2,/songs/3542766,One Direction,All You Need Is Love,https://genius.com/One-direction-all-you-need-is-love-lyrics,http://api.genius.com/songs/3542766,None,2010-11-20,"[Verse 1: Liam & Harry] There's nothing you can do that can't be done There's nothing you can sing that can't be sung There's nothing you can say, but you can learn how to play the game It's easy Oh, there's nothing you can make that can't be made There's no one you can save that can't be saved There's nothing you can do, but you can learn how to be you in time It's easy, yeah, yeah, yeah, yeah   All you need is love, all you need is love All you need is love, love, love is all you need  [Verse 2: Niall & (All) & Harry] (Love, love, love, love) There's nothing you can know that isn't known (Love, love, love, love) (Love, love, love, love) There's nothing you can see that isn't shown (Love, love, love, love) There's nowhere you can be that isn't where you're meant to be It's easy yeah, yeah, yeah, yeah   All you need is love, all you need is love All you need is love, love, love is all you need   (Love, love, love, love) Love is all you need (Love, love, love, love) Love is all you need (Love, love, love, love) Love is all you need (Love, love, love, love) Come on!   All you need is love, all you need is love (Oh!) All you need is love, love, love is all you need   Love is all you need Love is all you need (Yeah!) Love is all you need Love is all you need Love is all you need (Love is all you need)",0.9998,2,2,0,0,58,2,60,3,0,2
3,/songs/2346320,One Direction,A.M.,https://genius.com/One-direction-am-lyrics,http://api.genius.com/songs/2346320,Made in the A.M.,2015-11-13," Won't you stay 'til the A.M.? All my favourite conversations Always made in the A.M Yeah, yeah   Feels like this could be forever tonight Break these clocks, forget about time There could be a World War 3 going on outside You and me were raised in the same part of town Got these scars on the same ground Remember how we used to kick around just wasting time?   Won't you stay 'til the A.M.? All my favourite conversations Always made in the A.M 'Cause we don't know what we're saying We're just swimming 'round in our glasses And talking out of our asses Like we're all gonna make it, yeah yeah   Feels like this could be forever right now Don't wanna sleep 'cause we're dreaming out loud Trying to behave but you know that we never learn how You and me were raised  in the same part of town Got these scars on the same ground Remember how we used to kick around just wasting time?   Won't you stay 'til the A.M.? All my favourite conversations Always made in the A.M 'Cause we don't know what we're saying We're just swimming 'round in our glasses And talking out of our asses Like we're all gonna make it, yeah yeah   You know I'm always coming back to this place You know and I'll say You know I'm always gonna look for your face You know   Won't you stay 'til the A.M.? All my favourite conversations Always made in the A.M 'Cause we don't know what we're saying We're just swimming 'round in our glasses And talking out of our asses Like we're all gonna make it, yeah yeah   Won't you stay 'til the A.M.? You know I'm always coming back to this place Won't you stay 'til the A.M.? You know, and I'll say Won't you stay 'til the A.M.? You know I'm always gonna look for your face Won't you stay 'til the A.M.? Yeah yeah",0.9706,4,6,4,5,0,11,5,4,1,6
4,/songs/179916,One Direction,Another World,https://genius.com/One-direction-another-world-lyrics,http://api.genius.com/songs/179916,Up All Night,2011-11-18," It's not me, it's not you, there's a reason I'm just tryna read the signals I'm receiving Just like a stone on fire, can you feel it? I don't know about you girl but I believe it   Words will be just words 'til you bring them to life   I'll lift you up, I'll never stop You know I'll take you to another world I'll build you up, I'll never stop You know I'll take you to another world Everyday, in every way, oh I'll lift you up, I'll never stop You know I'll take you to another world   One for me, one for you, whatcha doing? Girl the music sounds so good when you're moving Let me take you higher, let me prove it 'Cause, hey, hey, pretty girl, I believe it   Words will be just words 'til you bring them to life   I'll lift you up, I'll never stop You know I'll take you to another world I'll build you up, I'll never stop You know I'll take you to another world Everyday, in every way, oh I'll lift you up, I'll never stop You know I'll take you to another world Take you to another world You know I'll take you to another world   Baby let me find out your secret Just let me in and let me show you that I keep it Close to my heart, jump in the deep end Just let me in and let me show you what I'm meaning I'll lift you up, I'll never stop You know I'll take you to another world I'll build you up, I'll never stop You know I'll take you to another world  [Chorus: Harry & Zayn & Liam] Everyday, in every way, oh I'll lift you up, I'll never stop You know I'll take you to another world, take you to another world Oh yeah You know I'll take you to another world I'll build you up, I'll never stop You know I'll take you to another world Yeah Take you to another world I'll lift you up, I'll never stop",0.9891,2,3,0,1,6,2,18,2,2,10
5,/songs/97055,One Direction,Back For You,https://genius.com/One-direction-back-for-you-lyrics,http://api.genius.com/songs/97055,Take Me Home,2012-11-09,"[Verse 1: Liam & Harry] Whenever I close my eyes, I picture you there I’m looking out at the crowd, you’re everywhere I’m watching you from the stage, yeah Your smile is on every face now But every time you wake up, you’re hearing me say Goodbye   Baby, you don’t have to worry I’ll be coming back for you, back for you, back for you, you Lately, I’ve been going crazy So I'm coming back for you, back for you, back for you, you  [Verse 2: Louis & Harry] I’ve never been so into somebody before And every time we both touch I only want more So tell me nothing’s gonna change, yeah And you won’t ever walk away, yeah 'Cause even though every night you’ll know what I’ll say Goodbye   Baby, you don’t have to worry I’ll be coming back for you, back for you, back for you, you Lately, I’ve been going crazy So I'm coming back for you, back for you, back for you, you  [Bridge: Louis & Liam & Zayn] Right back for you Right back for you, right back for you Lately, I’ve been going crazy So I’m coming back, yeah I am coming back For you   Baby, you don’t have to worry I’ll be coming back for you, back for you, back for you, you Lately, I’ve been going crazy So I'm coming back for you, back for you, back for you, you   Right back for you, right back Right back for you, right back Right back for you, right back Right back for you, right back Lately, I’ve been going crazy So I’m coming back for you, back for you, back for you, you",-0.9505,7,14,0,10,4,11,7,10,1,4
6,/songs/2066451,One Direction,Believe in your heart,https://genius.com/One-direction-believe-in-your-heart-lyrics,http://api.genius.com/songs/2066451,None,2018-02-13,Paroles de la chanson Believe In Your Heart : How many times in my life have I questioned Scared to make a choice Because I’m afraid of what may come I question it all the time The second thing I could’ve asked I can’t escape the past but now it’s time to leave it behind  No regrets I don’t want to hear them You don’t have enough time to think twice Don’t you wish upon a star ’cause you’ve gotten this far And when any day could be your last believe in your heart  I’m no longer living for what I haven’t done Things have changed I’m better now I’m taking it day by day (taking it day by day)  And I feel the way I should And you should do do it if you could And I can’t tell you how could this feels  No regrets I don’t want to hear them You don’t have enough time to think twice Don’t you wish upon a star ’cause you’ve gotten this far And when any day could be your last believe in your heart Believe in your heart  No regrets I don’t want to hear them You don’t have enough time to think twice Don’t you wish upon a star ’cause you’ve gotten this far And when any day could be your last believe in your heart,-0.6124,0,11,0,2,3,6,16,4,1,13
7,/songs/194065,One Direction,Best Song Ever,https://genius.com/One-direction-best-song-ever-lyrics,http://api.genius.com/songs/194065,Midnight Memories,2013-07-22,"   Maybe it's the way she walked Straight into my heart and stole it Through the doors and past the guards Just like she already owned it   I said, ""Can you give it back to me?"" She said, ""Never in your wildest dreams""   And we danced all night to the best song ever We knew every line now I can't remember How it goes but I know that I won't forget her 'Cause we danced all night to the best song ever I think it went oh, oh, oh I think it went yeah, yeah, yeah I think it goes  [Verse 2: Liam & Harry] Said her name was Georgia Rose And her daddy was a dentist Said I had a dirty mouth But she kissed me like she meant it   I said, ""Can I take you home with me?"" She said, ""Never in your wildest dreams""   And we danced all night to the best song ever We knew every line now I can't remember How it goes but I know that I won't forget her 'Cause we danced all night to the best song ever I think it went oh, oh, oh I think it went yeah, yeah, yeah I think it goes  [Bridge: Louis & Zayn & Harry] You know, I know, you know I'll remember you And I know, you know, I know you'll remember me And you know, I know, you know I'll remember you And I know, you know, I hope you'll remember how we danced, how we danced 1, 2 - 1, 2, 3  [Chorus: All & (Zayn) & Harry] How we danced all night to the best song ever (How we danced!) We knew every line now I can't remember (We knew every line) How it goes but I know that I won't forget her 'Cause we danced all night to the best song ever We danced, we danced And it goes exactly like this And we danced all night to the best song ever We knew every line now I can't remember How it goes but I know that I won't forget her (I know that I won't forget her) 'Cause we danced all night to the best song ever (Best song ever!) I think it went oh, oh, oh I think it went yeah, yeah, yeah I think it goes   Best song ever It was the best song ever It was the best song ever It was the best song ever",0.999,3,1,1,1,1,9,3,3,2,2
8,/songs/273183,One Direction,Better Than Words,https://genius.com/One-direction-better-than-words-lyrics,http://api.genius.com/songs/273183,Midnight Memories,2013-11-25,"[Verse 1: Harry & Liam] Better than words, more than a feeling Crazy in love, dancing on the ceiling Every time we touch, I'm all shook up You make me wanna, how deep is your love? God only knows, baby   I don't know how else to sum it up 'Cause words ain't good enough, oh There's no way I can explain your love, no I don't know how else to sum it up 'Cause words ain't good enough, oh I can't explain your love, no It's better than words Better than words  [Verse 2: Louis & Niall] Better than words, you drive me crazy Someone like you, always be my baby Best I ever had, hips don't lie You make me wanna, one more night, irreplaceable, yeah, crazy, we're crazy   I don't know how else to sum it up 'Cause words ain't good enough, oh There's no way I can explain your love, no (There's no way I can explain it, no) I don't know how else to sum it up 'Cause words ain't good enough, oh I can't explain your love, no  [Bridge: Louis & Harry & Louis and Harry & Liam] Everyone tries (they try) to see what it feels like (feels like) But they'll never be right 'cause it's better, better, it's better Ooh, one more time Ooh, better than words, ah   I don't know how else to sum it up (I don't know) 'Cause words ain't good enough, ooh There's no way I can explain your love, no I don't know how else to sum it up (to sum it up) 'Cause words ain't good enough, ooh (No, words ain't good enough) I can't explain your love, no It's better than words, better than words It's better than words",0.989,9,11,2,6,19,9,49,9,8,39
9,/songs/2127758,One Direction,Catch me,https://genius.com/One-direction-catch-me-lyrics,http://api.genius.com/songs/2127758,None,2018-02-13,Another night I'm waiting for you Waiting for my fantasy to crash and burn It's you I am looking for Another night of summer passes Wide awake I'm waiting for you patiently I want something more...  Light a flame and I will find you Call for me I'll be beside you You're the one I think about each day Just tell me that you want me Fall and I will run to catch you Look to me and I'll provide you With a light to guide you on your way Just tell me that you want me  Tell me why can't you just tell me How you feel are you that scared of hurting me? I'm stronger than you know Are we friends are something more than just another passing moment I'm sure what you're looking for  Light a flame and I will find you Call for me I'll be beside you You're the one I think about each day Just tell me that you want me Fall and I will run to catch you Look to me and I'll provide you With a light to guide you on your way Just tell me that you want you  Remember last November When I met you in the rain Remember what you told me Are you feeling still the same Did you tell the truth then Or was it just another game Tell me (x3),0.6124,2,1,1,3,2,5,7,5,4,7
10,/songs/97051,One Direction,Change My Mind,https://genius.com/One-direction-change-my-mind-lyrics,http://api.genius.com/songs/97051,Take Me Home,2012-11-09," The end of the night, we should say goodbye But we carry on while everyone’s gone   Never felt like this before Are we friends or are we more? As I’m walking towards the door I’m not sure  [Chorus: Liam & Liam and Harry] But baby if you say you want me to stay, I’ll change my mind 'Cause I don’t wanna know I’m walking away, if you’ll be mine Won’t go, won’t go, so baby if you say you want me to stay Stay for the night, I’ll change my mind   Lean in when you laugh, we take photographs There’s no music on but we dance along   Never felt like this before Are we friends or are we more? As I’m walking towards the door I’m not sure   But baby if you say you want me to stay, I’ll change my mind 'Cause I don’t wanna know I’m walking away, if you’ll be mine Won’t go, won’t go, so baby if you say you want me to stay Stay for the night, I’ll change my mind, I’ll change my mind   Baby if you say you want me to stay I’ll change my mind   But baby if you say you want me to stay, I’ll change my mind 'Cause I don’t wanna know I’m walking away, if you’ll be mine Won’t go, won’t go, so baby if you say you want me to stay Stay for the night, I’ll change my mind, I’ll change my mind",0.8269,1,0,0,9,12,1,16,2,1,6
11,/songs/589916,One Direction,Change Your Ticket,https://genius.com/One-direction-change-your-ticket-lyrics,http://api.genius.com/songs/589916,FOUR,2014-11-17," Watching you get dressed messes with my head Take that bag off your shoulder Come get back in bed, we still got time left This don't have to be over   And you say it's hard to keep a secret Girl, don't leave me all alone in this hotel And these shades can hide us from the streets, yeah One weekend, I'll promise that I'll never tell   You should probably stay, probably stay, a couple more days Come on, let me change your ticket home, oh You should probably stay, be with me, a couple more days Come on, let me change your ticket home Don't go, it's not the same when you're gone And it's not good to be all alone So you should probably stay, be with me, a couple more days Come on, let me change your ticket home  [Verse 2: Zayn & Niall] Don't play innocent, I know what you meant When you said you'd come over Aren't we way past that, playing hard to get? We did that when we were younger   And you say it's hard to keep a secret Girl, don't leave me all alone in this hotel And these shades can hide us from the streets yeah One weekend I'll promise that I'll never tell  [Chorus: Liam & Harry & Liam] You should probably stay, probably stay, a couple more days Come on, let me change your ticket home, oh You should probably stay, be with me, a couple more days Come on, let me change your ticket home Don't go, it's not the same when you're gone And it's not good to be all alone (oh) Don't go, it's not the same when you're gone Come on, let me change your ticket home, oh   Why don't we take some time? Why don't we take just a little more time? Why don't we make it right? Girl, I don't wanna say goodbye   You should probably stay, probably stay, a couple more days Come on, let me change your ticket home, oh You should probably stay, be with me, a couple more days (A couple more days) Come on, let me change your ticket home Don't go, it's not the same when you're gone And it's not good to be all alone Don't go (don't go), it's not the same when you're gone Come on, let me change your ticket home",-0.9145,1,6,1,11,5,4,23,3,5,23
12,/songs/3546601,One Direction,Chasing Cars,https://genius.com/One-direction-chasing-cars-lyrics,http://api.genius.com/songs/3546601,None,2010-12-04, We'll do it all Everything On our own We don't need Anything Or anyone   If I lay here If I just lay here Would you lie with me and just forget the world?   Let's waste time Chasing cars Around our heads   If I lay here If I just lay here (Lay here) Would you lie with me and just forget the world? (Lie with me and just forget the world) Forget what we were told Before we get too old (Too old) Show me a garden that's bursting into life (A garden that's bursting into life)   Let's waste time Chasing cars Around our heads,-0.89,3,2,5,0,2,9,3,3,0,2
13,/songs/572368,One Direction,Clouds,https://genius.com/One-direction-clouds-lyrics,http://api.genius.com/songs/572368,FOUR,2014-11-17,"[Verse 1: Harry & Louis] I know you say that you don’t like it complicated That we should try to keep it simple But love is never ever simple, no Someday, you’re gonna see the things that I see You’re gonna want the air that I breathe You’re gonna wish you never left me   Here we go again Another go-round for all of my friends Another non-stop, will it ever end? Here we go again Another go-round for all of my friends Another non-stop, will it never end We're never coming back down Yeah, we're looking down on the clouds  [Verse 2: Liam & Zayn] I know you said that you don’t like it complicated That you are tired of all the changes Well love is always, always changing, woah Someday, you’re gonna see the things that I see You’re gonna want the air that I breathe You’re gonna wish you never left me   Here we go again Another go-round for all of my friends Another non-stop, will it ever end? Here we go again Another go-round for all of my friends Another non-stop, will it never end We're never coming back down Yeah, we're looking down on the clouds   And we go, and we go, and we go and we don’t stop But we don’t, no, we don’t, no, we don’t ever grow up And we go, and we go, and we go and we don’t stop But we don’t, no, we don’t, no, we don’t ever grow up   Here we go again Another go-round for all of my friends Another non-stop, will it ever end? Here we go again Another go-round for all of my friends Another non-stop, will it never end? Here we go again Another go-round for all of my friends Another non-stop, will it ever end? Here we go again Another go-round for all of my friends Another non-stop, will it never end?",0.997,1,4,0,1,12,4,22,1,0,20
14,/songs/97047,One Direction,"C'mon, C'mon",https://genius.com/One-direction-cmon-cmon-lyrics,http://api.genius.com/songs/97047,Take Me Home,2012-11-09," C'mon, c'mon   The one that I came with She had to go But you look amazing Standing alone  [Pre-Chorus: Liam & Louis & Harry] So c'mon, c'mon Move a little closer now C'mon, c'mon Ain't no way you're walking out C'mon, c'mon Show me what you're all about   Yeah, I've been watching you all night There's something in your eyes Saying c'mon, c'mon and dance with me baby Yeah, the music is so loud, I wanna be yours now So c'mon, c'mon and dance with me baby   The one that I came with Didn't know how to move The way that you let your hair down I can tell that you do  [Pre-Chorus: Liam & Louis & Harry] So c'mon, c'mon Move a little closer now C'mon, c'mon Ain't no way you're walking out C'mon, c'mon Show me what you're all about   Yeah, I've been watching you all night There's something in your eyes Saying c'mon, c'mon and dance with me baby Yeah, the music is so loud, I wanna be yours now So c'mon, c'mon and dance with me baby   Every step I take, I'm feeling more and more She's calling out, she's a lucky girl My heart is racing, she's turning around I reach for her hand and I say   Hey, I've been watching you all night There's something in your eyes (in your eyes) Saying c'mon, c'mon and dance with me baby (Dance with me baby, yeah) Yeah, the music is so loud, I wanna be yours now So c'mon, c'mon and dance with me baby, yeah C'mon, c'mon, c'mon, c'mon C'mon, c'mon and dance with me baby",0.9862,3,1,1,1,21,3,24,6,2,11
15,/songs/225024,One Direction,Diana,https://genius.com/One-direction-diana-lyrics,http://api.genius.com/songs/225024,Midnight Memories,2013-11-18," Diana  [Verse 1: Liam & Harry] The front pages are your pictures, they make you look so small How could someone not miss you at all? I never would mistreat you, oh I'm not a criminal I speak a different language, but I still hear your call   Diana, let me be the one to Light a fire inside those eyes You've been lonely, you don't even know me But I can feel you crying Diana, let me be the one to Lift your heart up and save your life I don't think you even realize Baby, you'd be saving mine, Diana  [Verse 2: Niall & Louis] It's only been four months, but you've fallen down so far How could someone mislead you at all? I wanna reach out for ya, I wanna break these walls I speak a different language, but I still hear you call   Diana, let me be the one to Light a fire inside those eyes You've been lonely, you don't even know me But I can feel you crying Diana, let me be the one to Lift your heart up and save your life I don't think you even realize Baby, you'd be saving mine   We all need something This can't be over now If I could hold you I swear I'd never put you down   Diana, let me be the one to Light a fire inside those eyes You've been lonely, you don't even know me But I can feel you crying Diana, let me be the one to Lift your heart up and save your life I don't think you even realize Baby, you'd be saving mine Diana, Diana Baby, you'd be saving mine Diana, Diana Baby, you'd be saving mine",-0.965,6,0,4,8,8,10,15,7,1,11
