,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/2869640,OneRepublic,A.I.,https://genius.com/Onerepublic-ai-lyrics,http://api.genius.com/songs/2869640,Oh My My,2016-09-30," 'Member when we met? We fell in love on a Sunday Yeah I'll never forget The way that you spelled my name It took me a year To find a new attraction My hope and my fear Is human interaction   Yeah I just want my love automatic If artificial love makes sense I just want your love, I'm an addict Artificial intelligence   Artificial Artificial   Remember when we met? I got obsessed on a Monday And I'll never forget I felt such a cliche I'm wanting to be there Dreaming of your soft skin With no emotion You can really make my head spin   Yeah I just want my love automatic If artificial love makes sense I just want your love, I'm an addict Artificial intelligence Yeah I just want my love automatic If artificial love makes sense I just want your love, I'm an addict Artificial intelligence   Artificial Artificial   I just want my love automatic If artificial love makes sense I just want your love, I'm an addict Artificial intelligence     It's all too real Love the way you love me Artificial intelligence Way you love me Love the way you love me It's so clear You make everything inside me feel Just automatic hurt Bring me back tonight Cause you're intelligent, so real So real",0.9988,2,1,0,7,24,6,33,3,1,15
1,1,/songs/338021,OneRepublic,All Fall Down,https://genius.com/Onerepublic-all-fall-down-lyrics,http://api.genius.com/songs/338021,Dreaming Out Loud,2007-11-20," Step out the door and it feels like rain That's the sound, that's the sound on your window pane Take to the streets, but you can't ignore That's the sound, that's the sound you're waiting for   If ever your world starts crashing down Whenever your world starts crashing down Whenever your world starts crashing down That's where you'll find me   Yeah, God love your soul and your aching bones Take a breath, take a step, meet me down below Everyone's the same, our fingers to our toes We just can't get it right, but we're on the road   If ever your world starts crashing down Whenever your world starts crashing down Whenever your world starts crashing down That's where you'll find me, yeah   Lost 'til you're found Swim 'til you drown Know that we all fall down Love 'til you hate Strong 'til you break Know that we all fall down   If ever your world starts crashing down Whenever your world starts crashing down If ever your world starts crashing down That's where you'll find, find me   Lost 'til you're found Swim 'til you drown Know that we all fall down Love 'til you hate Strong 'til you break Know that we all fall down   All fall down, we all fall down, all fall down We all fall down, we all fall down, all fall down   Lost 'til you're found Swim 'til you drown Know that we all fall down Love 'til you hate Strong 'til you break Know that we all fall down",0.697,3,13,3,10,11,23,11,22,3,4
2,2,/songs/135916,OneRepublic,All the Right Moves,https://genius.com/Onerepublic-all-the-right-moves-lyrics,http://api.genius.com/songs/135916,Waking Up,2009-09-29," All the right friends in all the right places So yeah, we're going down They've got All the right moves and all the right faces So yeah, we're going down   Let's paint the picture of the perfect place They've got it better than when anyone's told you They'll be the King of Hearts, and you're the Queen of Spades Then we'll fight for you like we were your soldiers I know we got it good, but they got it made And their grass is getting greener each day I know things are looking up, but soon they'll take us down Before anybody's knowing our name They've got   All the right friends in all the right places So yeah, we're going down They've got All the right moves and all the right faces So yeah, we're going down   They say Everybody knows, everybody knows where we're going Yeah, we're going down They say Everybody knows, everybody knows where we're going Yeah, we're going down   Do you think I'm special? Do you think I'm nice? Am I bright enough to shine in your spaces? Between the noise you hear And the sounds you like Are we just sinking in the ocean of faces? It can't be possible, that rain can fall Only when it's over our heads The sun is shining everyday, but it's far away Over the world that's dead They've got, they've got   All the right friends in all the right places So yeah, we're going down They've got All the right moves and all the right faces So yeah, we're going down   They say Everybody knows, everybody knows where we're going Yeah, we're going down They say Everybody knows, everybody knows where we're going Yeah, we're going down   It don't matter what you see I know I could never be Someone that'll look like you It don't matter what you say I know I could never fake Someone that could sound like you   All the right friends in all the right places So yeah, we're going down They've got All the right moves and all the right faces So yeah, we're going down All the right friends in all the right places So yeah, we're going down They've got All the right moves and all the right faces So yeah, we're going down   They say Everybody knows, everybody knows where we're going Yeah, we're going down They say Everybody knows, everybody knows where we're going Yeah, we're going down   Yeah, we're going down Yeah, we're going down All the right moves, hey Yeah, we're going down All the right moves, hey Yeah, we're going down",0.9986,2,4,0,1,10,4,16,2,2,10
3,3,/songs/2874620,OneRepublic,All These Things,https://genius.com/Onerepublic-all-these-things-lyrics,http://api.genius.com/songs/2874620,Oh My My,2016-10-07, I’ll be a fool when the suns out Burn you a fire when you burn out And give you the future you gave away And give you my youth for some million days   I’ll do all these things for you Take what’s broken make it new Yesterdays gone yeah it went away I’ve been lost but I’m here today I’ll do all these things for you   I’ll be the drug that you can’t buy I’ll tell you the truth when it’s all lies hey I’ll give you the future you gave away I’ll give you my youth for some million days   I’ll do all these things for you Take what’s broken make it new Yesterdays gone yeah it went away I’ve been lost but I’m here today I’ll do all these things for you   Something to trust for the first time oh Making it up for the last nights Sucks to love when you just lie oh A couple of years and I’ll have your soul and I   I’ll do all these things for you hey Take what’s broken and make it new Yesterdays gone yeah it went away I’ve been lost but I’m here today I’ll do all these things for you I’ll do all these things for you I’ll do all these things for you,-0.7269,7,4,3,6,4,10,5,8,3,3
4,4,/songs/327581,OneRepublic,All This Time,https://genius.com/Onerepublic-all-this-time-lyrics,http://api.genius.com/songs/327581,Waking Up,2009-11-17," Six on the second hand To new years resolutions And there's just no question What this man should do Take all the time lost All the days that I cost Take what I took and Give it back to you   All this time We were waiting for each other All this time I was waiting for you We got all these words Can't waste them on another So I'm straight in a straight line Running back to you   I don't know what day it is I had to check the paper I don't know the city But it isn't home But you say I'm lucky To love something that loves me But I'm torn as I could be Wherever I roam Hear me say...   All this time We were waiting for each other All this time I was waiting for you We got all these words Can't waste them on another So I'm straight in a straight line Running back to you   Yeah, oh, running back to you Oh, running back to you, yeah Oh, every time is so far It's just so far To get back to where you are   All this time We were waiting for each other All this time I was waiting for you We got all this love Can't waste it on another So I'm straight in a straight line Running back to you I'm straight in a straight line Running back to you, yeah   Straight in a straight line Running back to you",0.9953,0,8,3,0,4,5,9,1,1,4
5,5,/songs/137410,OneRepublic,All We Are,https://genius.com/Onerepublic-all-we-are-lyrics,http://api.genius.com/songs/137410,Dreaming Out Loud,2007-11-20," I tried to paint you a picture The colors were all wrong Black and white didn’t fit you And all along You were shaded with patience, and strokes of everything That I need just to make it, but I can see that   Lord knows I failed you time and again But you and me are all right   We won’t say our goodbyes You know it’s better that way We won’t break, we won’t die It's just a moment of change   All we are, all we are Is everything that’s right All we need, all we need A lover’s alibi   I walked a minute in your shoes They never would’ve fit I figured there’s nothing to lose I need to get Some perspective on these words Before I write them down You’re an island and my ship Has run aground   Lord knows I'll fail you time and again But you and me are alright, yeah   We won’t say our goodbyes You know it’s better that way We won’t break, we won’t die It's just a moment of change   All we are, all we are Is everything that’s right All we need, all we need A lover’s alibi   Every single day that I can breathe You change my philosophy I’m never gonna let you pass me by   So don’t say your goodbyes You know it’s better that way We won’t break, we won’t die It's just a moment of change, yeah So don't say our goodbyes You know it’s better that way We won’t break, we won’t die It's just a moment of change   All we are, all we are Is everything that’s right All we need, all we need A lover’s alibi, yeah   So don’t say our goodbyes You know it’s better We won’t break, we won’t die",-0.7152,1,8,3,12,4,12,11,8,6,11
6,6,/songs/338017,OneRepublic,Apologize,https://genius.com/Onerepublic-apologize-lyrics,http://api.genius.com/songs/338017,Dreaming Out Loud,2006-04-30," I'm holding on your rope, got me ten feet off the ground And I'm hearing what you say, but I just can't make a sound You tell me that you need me, then you go and cut me down But wait You tell me that you're sorry, didn't think I'd turn around And say (That)   It's too late to apologize, it's too late I said it's too late to apologize, it's too late Too late, oh, oh   I'd take another chance, take a fall, take a shot for you, oh, oh I need you like a heart needs a beat, but it's nothing new Yeah, yeah I loved you with a fire red, now it's turning blue And you say Sorry like the angel Heaven let me think was you But I'm afraid   It's too late to apologize, it's too late I said it's too late to apologize It's too late, oh, oh It's too late to apologize, it's too late I said it's too late to apologize, it's too late I said it's too late to apologize, yeah I said it's too late to apologize, yeah   I'm holding on your rope, got me ten feet off the ground",0.9122,1,2,0,4,1,20,9,26,3,11
7,7,/songs/192094,OneRepublic,Au Revoir,https://genius.com/Onerepublic-au-revoir-lyrics,http://api.genius.com/songs/192094,Native,2013-03-25," Today I'm not myself And you, you're someone else And all these rules don't fit And all that starts can quit What a peculiar state we're in What a peculiar state we're in   Let's play a game Where all of the lives we lead can change Let's play a game Where nothing that we can see, the same   But we'll find other pieces to the puzzles Slipping out under the locks I could show you how many moves to checkmate, right now We could take apart this life we're building And pack it up inside a box All that really matters is we're doing it, right now Right now But we'll find other pieces to the puzzles Slipping out under the locks I could show you how many moves to checkmate, right now We could take apart this life we're building And pack it up inside a box All that really matters is we're doing it, right now Right now",0.5609,0,1,0,2,0,1,4,0,0,4
8,8,/songs/2874604,OneRepublic,Better,https://genius.com/Onerepublic-better-lyrics,http://api.genius.com/songs/2874604,Oh My My,2016-10-07," I don’t set alarms Lately I don’t set alarms But that’s because of the ringing that’s happening inside my head Inside my head Yeah yeah It keeps me safe from harm At least I tell myself I’m safe from harm But really it’s probably filling my dreams with dread So I get out of bed Yeah yeah Yes I’m neurotic I’m obsessed and I know it I can’t take vacations in the brain Oh believe me I’d be on one Hawaii under warm sun Yeah yeah   I think I lost my mind But don’t worry about me Happens all the time In the morning I’ll be better In the morning I’ll be better Sing it again I think I lost my mind But don’t worry about me Happens all the time In the morning I’ll be better Things are only getting better Sing it again   I tell myself I’ll change That’s right I tell myself I’ll change But then I begin to realize that the problem’s inside my veins But it’s inside my veins (veins, veins) Yeah yeah I swear I'm not insane Yes most likely not insane Everybody goes through moments of losing their clarity At least I’m never boring But I've been losing sleep So call the doctor said, ""Take one of these And call me in the morning""   I think I lost my mind But don’t worry about me Happens all the time In the morning I’ll be better In the morning I’ll be better Sing it again I think I lost my mind But don’t worry about me Happens all the time In the morning I’ll be better Things are only getting better Sing it again Sing it again   So here’s the question asked Of all the things you love the people places from the future to your ancient past Of every one of those, which one will cause you to let it go, let it go? Need to crash   Think you lost your mind Well don't worry about it Happens all the time In the morning you’ll be better Things are only getting better Sing it again I think I lost my mind But don’t worry about me Happens all the time In the morning I’ll be better In the morning I’ll be better Sing it again I think I lost my mind But don’t worry about me (But that’s because of the ringing that’s happening inside my head) Happens all the time In the morning I’ll be better (Inside my head) Things are slowly getting better Sing it again",0.99,4,25,1,19,13,28,25,26,4,22
9,9,/songs/2874606,OneRepublic,Born,https://genius.com/Onerepublic-born-lyrics,http://api.genius.com/songs/2874606,Oh My My,2016-10-07," I was born, born to love you I was born, born to love you   Bust through the door said, ""What’s your name"" Looking for somebody and you match the shame Now don’t lie Don't lie You’ve seen the television and you know what’s up The world's going crazy and you’re mighty stuck So don’t lie So don’t lie   I said here that’s where I’ll be living until my times up Yeah found someone to keep my head up Yeah, trading darkness for the dawn   I was born, born to love you I was born, born to love you   Lost in stars since she was a girl She dreamt of a place of a better world It felt like sunlight Tired of the days living in the dark She ran to the place where the wild things are It felt right Cause it felt right   She said here is where I’ll be living until my times up, yeah Found my people now I’m made up Always dark before the dawn Always dark before the dawn   I was born, born to love you I was born, born to love you   I said here is where I’ll be living until my time's up I said here I found my people now I’m made up, yeah I was born (I was born in the city, born and raised) to love you I was born (I was born in the city all my friends are here) I was born (I was born in the city, born and raised) (I was born in the city, all my friends are here) I was born (I was born inside) to love you No woo I woo I…",0.9929,7,7,5,4,18,10,22,11,4,14
