,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/423150,Owl City,Air Traffic,https://genius.com/Owl-city-air-traffic-lyrics,http://api.genius.com/songs/423150,Maybe I'm Dreaming,2008-03-17," The bird is here and we are off To wherever those wings take us The atmosphere is crawling with airlines That wind through the clouds and look down on the crowds   Relax your back and let the noise Sing you to sleep in my arms If you awake before we arrive I will carry you down And I won't make a sound   The scent is strong as we move on And breathe in the pristine crime scene The false veneer is old like a substitute volunteer From, oh, some other year   I'm just a shell as far as I can tell So I paint my eyes a light green The silver beams are twirling And swirling throughout your dreams like air traffic streams",0.8555,2,3,0,2,4,3,5,2,1,3
1,/songs/55447,Owl City,Alligator Sky,https://genius.com/Owl-city-alligator-sky-lyrics,http://api.genius.com/songs/55447,All Things Bright and Beautiful,2011-04-12," Where was I when the rockets came to life And carried you away into the alligator sky? Even though, I'll never know what's up ahead I'm never letting go, I'm never letting go   Uh uh, that's not a plane, that's me I'm sitting where I'm supposed to Floating on the cloud, can't nobody come close to The concrete and the sky switch places So now my ceiling is painted with cosmic spaces Firecracker to the moon, keep your eyes shut Blasting off like a rocket from the ground up Heh, I used to catch a cab on the Monday Now the taxi's selling lights on the runway, fly high Condo on the milky way A house on the cloud and God's my landlord And for my rent, all I pay is my drive Got that, so if you need me, you can find me in the alligator sky   Where was I when the rockets came to life And carried you away into the alligator sky? Even though, I'll never know what's up ahead I'm never letting go, I'm never letting go   Rollercoaster through the atmosphere I'm drowning in this starry serenade Where ecstasy becomes cavalier Imagination's taking me away Reverie whispered in my ear I'm scared to death that I'll never be afraid Rollercoaster through the atmosphere Imagination's taking me away   Uh, now I'mma dance like I never danced Sing like I never sing, dream like I've never dreamed Or-or tried to, because we've been lied to That the sun is something that we can't fly to Well, I sit on my star and see street lights Look up, ha, you'll miss me if you blink twice Imagination is high and if you got it you can meet me When you see me in the alligator sky  [Chorus: Adam Young and Shawn Chrystopher] Where was I when the rockets came to life And carried you away into the alligator sky? Even though, I'll never know what's up ahead I'm never letting go, I'm never letting go Owl City Where was I when the rockets came to life (boom) And carried you away into the alligator sky? (like a rocket from the ground up) Even though, I'll never know what's up ahead (never know) I'm never letting go, I'm never letting go  [Outro: Adam Young and Shawn Chrystopher] Never letting go In the alligator sky In the alligator sky In the alligator sky In the alligator sky Look up, ha, you'll miss me if you blink twice In the alligator sky",0.5432,7,11,1,3,12,2,30,3,5,10
2,/songs/3296097,Owl City,All My Friends,https://genius.com/Owl-city-all-my-friends-lyrics,http://api.genius.com/songs/3296097,Cinematic,2017-11-03," It's been this way from the start It's like they're always trying to tear us apart But we will stand strong, stand true And everybody’s gonna watch what we do And they'll be awestruck saying aw shucks They either got real good or they got real good luck   And I'd be lying if I said that I could take any more 'Cause I've been on my own, trying like never before And I was lying on the couch and there's this knock on the door And it's like...   All my friends Woah, come right in Woah, all my friends We can take it all back again Woah, put your hands on in And lemme hear you say Oh yeah Lemme hear you say yeah   Another day, another chance We got our card and we're going to the dance We're gonna stay strong, hold true And everybody's gonna watch what we do And they'll be awestruck, saying aw shucks They either got real good or they got real good luck   And I'd be lying if I said that we could take any more 'Cause we’re about to light a fire like never before And if you're lying on the couch and there’s a knock on the door It's like...   All my friends Woah, come right in Woah, all my friends We can take it all back again Woah, put your hands on in And lemme hear you say Oh yeah All my friends Woah, come right in Woah, all my friends We can take it all back again Woah, put your hands on in And lemme hear you say Oh yeah Lemme hear you say yeah   We'll always be young at heart And nothing's ever gonna tear us apart Because we stand strong, stand true And everybody's gonna watch what we do And they'll be awestruck saying aw shucks They either got real good or you know what   All my friends Woah, come right in Woah, all my friends We can take it all back again Woah, put your hands on in And lemme hear you say Oh All my friends Woah, come right in Woah, all my friends We can take it all back again Woah, put your hands on in And lemme hear you say Oh yeah Lemme hear you say yeah",0.9986,4,12,4,4,22,4,27,2,9,24
3,/songs/3300997,Owl City,Always,https://genius.com/Owl-city-always-lyrics,http://api.genius.com/songs/3300997,Cinematic,2018-06-01," When the road is long And your strength is gone Remember I am just a prayer away When the way is hard And you are faint of heart Remember I am just a prayer away   Hold fast, I'll guide you through the night And fear not for I am by your side   Listen through the rain And you can hear the angels say Help is on the way The moment you begin to pray When the thunders roar You don't need to be afraid I'll lead you through the storm So please remember when I say I'm with you always   When you are worn out And you are let down Remember I am just a prayer away When every door is locked And you feel so lost Remember I am just a prayer away   Hold fast, I'll guide you through the night And fear not for I am by your side   Listen through the rain And you can hear the angels say Help is on the way The moment you begin to pray When the thunders roar You don't need to be afraid I'll lead you through the storm So please remember when I say I'm with you always   Come and walk with me, yeah Come and talk with me, yeah Soar on eagles' wings Run and I'll be there   Listen through the rain And you can hear the angels say Help is on the way The moment you begin to pray When the thunders roar You don't need to be afraid I'll lead you through the storm So please remember when I say I'm with you always I'm with you always",0.9484,5,7,0,8,6,10,16,2,6,13
4,/songs/423251,Owl City,Angels,https://genius.com/Owl-city-angels-lyrics,http://api.genius.com/songs/423251,All Things Bright and Beautiful,2011-06-14," Wake me if you're out there   Through the glass in my bedroom window In the bushes far below I thought I saw an unfamiliar shadow Among the ones I so clearly know   I've been sleeping with the night light unplugged With a note on the rocking chair That says, ""I'm dreaming of the life I once loved So wake me if you're out there.""   Livin' close to the ground Is seventh Heaven 'cause there are angels all around Among my frivolous thoughts I believe there are beautiful things seen by the astronauts   Wake me if you're out there Wake me if you're out there   In the dust on my cellar staircase A pair of footprints followed me I saw a flicker in the fake fireplace Blinked again but there was nothing to see   I've been leaving all the windows unlocked With a basket by the oak tree 'Cause I'll be picking up the acorns that fall off If you'll be climbing up to meet me   Livin' close to the ground Is seventh Heaven 'cause there are angels all around Among my frivolous thoughts I believe there are beautiful things seen by the astronauts   Wake me if you're out there   I keep my knees black and blue 'Cause they often hit the hard wood floor (Wake me if you're out there) And I believe So I'm not praying to the ceiling anymore   I've been sleeping with the night light unplugged With a note on the rocking chair That says, ""I'm dreaming of the life I once loved So wake me if you're out there.""   Livin' close to the ground Is seventh Heaven 'cause there are angels all around Among my frivolous thoughts I believe there are beautiful things seen by the astronauts   The indications reveal (Wake me if you're out there) That few of us realize life is quite surreal So if you're dying to see I guarantee there are angels around your vicinity   So if you're dying to see I guarantee there are angels around your vicinity",0.9878,4,10,3,2,9,10,15,5,6,11
5,/songs/1792172,Owl City,Back Home,https://genius.com/Owl-city-back-home-lyrics,http://api.genius.com/songs/1792172,Mobile Orchestra,2015-07-10," I'm saying goodbye to the skyline Hello to the sweet pines Gonna see you later street lights I'm headed back to tree lines To free time and starry nights To bonfires and fireflies Pack your bags it's time to go Cause we got brighter lights back home   I've got aching feet From walking over miles of concrete And I can't wait to dream But the city, you know she won't go to sleep So I'm saying...   Goodbye to the skyline Hello to the sweet pines Gonna see you later street lights I'm headed back to tree lines To free time and starry nights To bonfires and fireflies Pack your bags it's time to go Cause we got brighter lights back home Yeah, we got brighter lights back home   Back home there's a girl named Mary Lou A diner off the highway with a corner booth And every gravel road is a trip down memory lane And back home, where the corn grows ten feet tall Every year's measured on the pantry wall The willow trees are waving 'til we come back home again   I'm saying goodbye to the skyline Hello to the sweet pines Gonna see you later street lights I'm headed back to tree lines (To free time and starry nights To bonfires and fireflies Pack your bags it's time to go) Pack your bags it's time to go  [Chorus: Owl City (Jake Owen) Together] I'm saying goodbye to the skyline Hello to the sweet pines Gonna see you later street lights I'm headed back to tree lines To free time and starry nights (To bonfires and fireflies) Pack your bags it's time to go Pack your bags it's time to go (Cause we got brighter lights back home)",0.9912,5,24,5,0,13,6,15,5,10,10
6,/songs/1625095,Owl City,Beautiful Mystery,https://genius.com/Owl-city-beautiful-mystery-lyrics,http://api.genius.com/songs/1625095,Unreleased,2012-08-19," When I'm dressed to the nines, I'm just a shirt and tie With a taste for prestige, and beautiful mystery But, clever girls dressed to kill are pretty bittersweet And better-suited for grief than beautiful mystery  Oh, beautiful mystery   Fly by, feather This time, I'm not ready to die But I lose myself (Oh, oh, I'm falling for you!)  Now or never Stand back, cause I'm ready to fly But I lose myself (Oh, oh, I'm falling for you!)   She enjoys it the most, with flowers in her hair Dressin' up like a ghost for beautiful mystery So I kiss her goodnight, and stumble from the room Mighty high on mystique, and beautiful mystery  Oh, beautiful mystery   Fly by, feather This time, I'm not ready to die But I lose myself (Oh, oh, I'm falling for you!)  Now or never Stand back, cause I'm ready to fly But I lose myself (Oh, oh, I'm falling for you!)  Oh, oh, I'm falling for you!  Fly by, feather This time, I'm not ready to die! But I lose myself (Oh, oh, I'm falling for you!)  Now or never Stand back, cause I'm ready to fly But I lose myself (Oh, oh, I'm falling for you!)  Fly by, feather This time, I'm not ready to die But I lose myself (Oh, oh, I'm falling for you!)  Now or never Stand back, cause I'm ready to fly But I lose myself (Oh, oh, I'm falling for you!)",-0.6152,9,20,8,15,10,24,11,23,15,3
7,/songs/397798,Owl City,Beautiful Times,https://genius.com/Owl-city-beautiful-times-lyrics,http://api.genius.com/songs/397798,Ultraviolet - EP,2014-04-08," A spark soaring down below pouring rain And restoring life to the lighthouse A slow-motion wave on the ocean stirs My emotion up like a rain cloud   When did the sky turn black? And when will the light come back?   A cab driver turned to skydiver then To survivor dying to break down A blood brother, surrogate mother Hugging each other, crying their eyes out   When did the sky turn black? And when will the light come back? I'm ecstatic like a drug addict Locked in the attic, strung out, and spellbound   I fought all through the night Oh oh, but I made it alive! The sun starting to rise Oh, oh these are beautiful times! This fight of my life is so hard, so hard, so hard! But I'm gonna survive Oh oh these are beautiful times!  [Violin Post-Chorus: Lindsey Stirling]   A bad feeling burned through the ceiling Leaving my healing heart with a new scar A dead fire rose, and rose higher like A vampire up from the graveyard   When did the sky turn black? And when will the light come back? We all suffer but we recover just To discover life where we all are   I fought all through the night Oh oh, but I made it alive! The sun starting to rise Oh, oh these are beautiful times! This fight of my life is so hard, so hard, so hard! But I'm gonna survive Oh oh these are beautiful times!    This fight of my life is so hard, so hard, so hard! But I'm gonna survive, oh oh these are beautiful times   My heart's burning bad And it's turning black But I'm learning how to be stronger And sincerely I love you dearly Oh, but I'm clearly destined to wonder",0.9323,9,15,6,10,14,16,26,11,5,9
8,/songs/3301002,Owl City,Be Brave,https://genius.com/Owl-city-be-brave-lyrics,http://api.genius.com/songs/3301002,Cinematic,2018-04-06," In the basement of an empty house I slept on the floor like a vagrant I braved a Minnesota winter night And drove to a movie feeling lonely  And as I thawed my heart out by the light Of the silver screen I was unaware that you were there In the dark, a silhouette Was climbing up the stairs  And what I thought In the parking lot Was like, I just wanna know your name I drove away With not much to say But in my hand I held a paper bird And written on it were the words Be brave   Wildflower knew I wasn’t well But on the kitchen floor I got better again I grabbed my keys and drove toward a star And there, I was understood for the first time in my life  Cause that’s when I was introduced to true Serendipity I knew it when You showed up again In the snow, I was always told Your heart is where you’re home  And what I thought In the coffee shop Was like, the last eight hours was a dream I drove away With not much to say But in my hand I held a paper bird And written on it were the words  Ok, I'll be brave Ok, I'll be brave   And in my mind After all this time I think, ain't life beautiful and strange I’m blown away With no words to say Cause I, I’ll forever be amazed How I learned the meaning of the phrase Be brave",0.9935,2,6,2,2,4,3,7,3,1,6
9,/songs/1792171,Owl City,Bird with a Broken Wing,https://genius.com/Owl-city-bird-with-a-broken-wing-lyrics,http://api.genius.com/songs/1792171,Mobile Orchestra,2015-07-10," So I walk alone down the darkest roads Cause I've always known how the story goes When the curtain falls I'll be wearing thin Clawing at the walls as they're closing in In this twisted plot I was destined for I'm an astronaut on the ocean floor So misunderstood 'till the bloody end How I wish I could do it all again   It feels like I'm a lone survivor Forgotten in a dark and deadly world And on my own I walk alone To see the sun again I'd give anything But life demands a final chapter A story that we all must leave behind It's do or die, and this is mine The anthem of a bird with a broken wing   It's another night of the living dead Like a viper bite in a spiderweb It's so deathly dark in the alleyway And a bleeding heart makes you easy prey I would run and hide for the afternoon With the butterfly in the panic room Though I won't be missed, I would say it's time For a different twist in the story line   It feels like I'm a lone survivor Forgotten in a dark and deadly world And on my own I walk alone To see the sun again I'd give anything But life demands a final chapter A story that we all must leave behind It's do or die, and this is mine The anthem of a bird with a broken wing The anthem of a bird with a broken wing   It feels like I'm a lone survivor Forgotten in a dark and deadly world And on my own I walk alone To see the sun again I'd give anything But life demands a final chapter A story that we all must leave behind It's do or die, and this is mine The anthem of a bird with a broken wing The anthem of a bird with a broken wing The anthem of a bird with a broken wing   Tell the world I know that my mind is made It's a horror show, but I'm not afraid Though I won't be missed, I would say it's time For a different twist in the story line",-0.9956,14,6,6,23,3,30,4,29,7,4
