,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/3059320,Paramore,26,https://genius.com/Paramore-26-lyrics,http://api.genius.com/songs/3059320,After Laughter,2017-05-12," Man, you really know how to get someone down Everything was fine, until you came around And I've been chasing after dreamers in the clouds After all wasn't I the one who said To keep your feet on the ground? Man, you really brought me back down   Hold onto hope if you got it Don't let it go for nobody And they say that dreaming is free But I wouldn't care what it cost me   You got me tied up, but I stay close to the window And I talk to myself about the places that I used to go I'm hoping someday maybe I'll just float away And I'll forget every cynical thing you said When you gonna hear me out? Man, you really bring me down   Hold onto hope if you got it Don't let it go for nobody And they say that dreaming is free But I wouldn't care what it cost me   Reality will break your heart Survival will not be the hardest part It's keeping all your hopes alive When all the rest of you has died So let it break your heart   Hold onto hope if you got it Don't let it go for nobody Hold onto hope if you got it Don't let it go for nobody And they say that dreaming is free But I wouldn't care what it cost me",0.9445,0,6,0,0,6,1,12,0,7,11
1,1,/songs/3325494,Paramore,7 Years In The Making,https://genius.com/Paramore-7-years-in-the-making-lyrics,http://api.genius.com/songs/3325494,None,2004-09-14,"I wanna go someplace Where everybody wins 'Cause I've lost all my friends Since they got brand new eyes They don't look at me the same It's anyone's guess where I went wrong Now I'm the only one Who's thinking back  Seven years ago Seven years in the making But we're always taking for granted The hands that fed us full Ten miles left to go Time is healing nothing Only a matter of numbers That won't make us right  But I'm gonna make it through Hey, hey, hey I'm just tired So don't push me There's more than enough room For a sad song or two  There was a beginning to the story But I don't remember, I don't remember There was a reason Something we wanted And I'm not backing down till I get it  Twenty years ago Twenty years in the making Well, I know the highway Better than I know myself In a few years I hope I settle in to The big idea that I can't live for anyone else  But I'm gonna make it through Hey, hey, hey I'm just tired So don't push me There's more than enough room For a sad song or two  I'm carrying bricks around my neck I can't keep my head up I can't see too far ahead I can't keep my head up It's like carrying bricks around my neck To make you remember It's like digging up the dead 'Cause you won't remember How we got here Why we are here?  When you finally decide it's worth the pain I'm here I never went anywhere Growing older, I never thought that I Would look back and not regret a thing",-0.7185,0,5,1,1,4,6,14,4,3,9
2,2,/songs/189863,Paramore,Adore,https://genius.com/Paramore-adore-lyrics,http://api.genius.com/songs/189863,The B Sides,2008-11-04," I don't mean to run But everytime you come around I feel More alive, than ever And I guess it's too much Maybe we're too young And I don't even know what's real But I know I've never wanted anything so bad I've never wanted anyone so bad   If I let you love me Be the one adored Would you go all the way? Be the one I'm looking for? If I let you love me, (If I say,) Be the one adored, (It's okay,) Would you go all the way? (Stay,) Be the one I'm looking for?   Help me come back down From high above the clouds You know I'm suffocating But I blame this town Why do I deny The things that burn inside Down deep I'm barely breathing But you just see a smile And I don't wanna let this go Really, I just want to know   If I let you love me Be the one adored Would you go all the way? Be the one I'm looking for? If I let you love me, (If I say,) Be the one adored, (It's okay,) Would you go all the way? (Stay,) Be the one I'm looking for?   If I let you love me Be the one adored Would you go all the way? Be the one I'm looking for?   If I let you love me Be the one adored Would you go all the way? Be the one I'm looking for? If I let you love me, (If I say,) Be the one adored, (It's okay,) Would you go all the way? (Stay,) Be the one I'm looking for?",0.9967,4,2,4,3,10,5,14,3,3,6
3,3,/songs/153803,Paramore,Ain't It Fun,https://genius.com/Paramore-aint-it-fun-lyrics,http://api.genius.com/songs/153803,Paramore,2013-04-09," I don't mind Letting you down easy, but just give it time If it don't hurt now just wait, just wait a while You're not the big fish in the pond no more You are what they're feeding on   So what are you gonna do When the world don't orbit around you So what are you gonna do When the world don't orbit around you   Ain't it fun Living in the real world Ain't it good Being all alone   Where you're from You might be the one who's running things Well you could ring anybody's bell and get what you want You see it's easy to ignore trouble When you're living in a bubble   So what are you gonna do When the world don't orbit around you So what are you gonna do When nobody wants to fool with you   Ain't it fun Living in the real world Ain't it good Being all alone   Ain't it good to be on your own Ain't it fun, you can't count on no one Ain't it good to be on your own Ain't it fun, you can't count on no one Ain't it fun Living in the real world   Don't go crying to your mama 'Cause you're on your own in the real world Don't go crying to your mama 'Cause you're on your own in the real world Don't go crying to your mama 'Cause you're on your own in the real world Don't go crying to your mama 'Cause you're on your own in the real world  Ain't it fun, ain't it fun Baby now you're one of us Ain't it fun, ain't it fun, ain't it fun   Ain't it fun Living in the real world Ain't it good, ain't it good Being all alone Ain't it fun Living in the real world ('Cause the world don't orbit around you) Ain't it good, ain't it good Being all alone   Don't go crying to your mama (To your mother) 'Cause you're on your own in the real world (Don't go crying) Don't go crying to your mama (To your mama) 'Cause you're on your own in the real world Don't go crying to your mama 'Cause you're on your own in the real world (This is the real world) Don't go crying to your mama 'Cause you're on your own in the real world This is the real world This is the real world Don't go crying to your mama 'Cause you're on your own in the real world Don't go crying to your mama 'Cause you're on your own in the real world Don't go crying to your mama 'Cause you're on your own in the real world Don't go crying to your mama 'Cause you're on your own in the real world Don't go crying Don't go crying (You're on your own) Don't go crying...",-0.9885,1,24,1,1,22,22,66,18,8,53
4,4,/songs/135122,Paramore,All I Wanted,https://genius.com/Paramore-all-i-wanted-lyrics,http://api.genius.com/songs/135122,​brand new eyes (Deluxe Version),2009-09-29," Think of me when you're out, when you're out there I'll beg you nice from my knees And when the world treats you way too fairly Well, it's a shame, I'm a dream   All I wanted was you All I wanted was you   I think I'll pace my apartment a few times And fall asleep on the couch Wake up early to black and white re-runs That escaped from my mouth Oh, oh   All I wanted was you All I wanted was you All I wanted was you All I wanted was you   I could follow you to the beginning And just to relive the start And maybe then we'll remember to slow down At all of our favorite parts   All I wanted was you All I wanted was you All I wanted was you All I wanted was you All I wanted was you",0.7003,1,4,2,3,3,5,4,6,2,4
5,5,/songs/117000,Paramore,All We Know,https://genius.com/Paramore-all-we-know-lyrics,http://api.genius.com/songs/117000,All We Know Is Falling (Deluxe Version),2006-12-16," We've tried so hard to understand But we can't We held the world out in our hands And you ran away   It takes some time to let you go And it shows   'Cause all we know is falling, it falls Remember, cause I know that we won't forget at all   Now we could follow you back home But we won't Is this what you had waited for Just to be alone   It takes some time to let you go And it shows   'Cause all we know is falling, it falls Remember, cause I know that we won't forget at all   You never You never said This wasn't what you wanted Was it? Was it? This isn't what you wanted This isn't what you wanted   Cause all we know is falling, it falls Remember, cause I know that we won't forget at all",-0.4581,0,2,0,0,0,9,0,6,0,2
6,6,/songs/189914,Paramore,Anklebiters,https://genius.com/Paramore-anklebiters-lyrics,http://api.genius.com/songs/189914,Paramore,2013-04-09," Why do you care what people think? Are you hooked up to their leash? You know anklebiters Ate up your personality  Try to remember how it felt To just make up your own steps And let anklebiters Chew up, spit out someone else  Fall in love with yourself   Because someday you’re gonna be the only one you’ve got Someday you’re gonna be the only one you’ve got Why you wanna please the world and leave yourself to drop dead? Someday you’re gonna be the only one you’ve got   What do you actually expect A broken mirror to reflect? You know, anklebiters gave you a false perception And why do I defend your ignorance? Oh, why do I defend the state you're in?  You should fall in love with yourself Oh, again Fall in love with yourself   Because someday you’re gonna be the only one you’ve got Someday you’re gonna be the only one you’ve got Why you wanna please the world and leave yourself to drop dead? Someday you’re gonna be the only one you’ve got   Anklebiters! Anklebiters! Someday you’re gonna be alone Anklebiters! Anklebiters!",0.5759,1,1,1,3,3,8,6,6,3,1
7,7,/songs/189865,Paramore,Another Day,https://genius.com/Paramore-another-day-lyrics,http://api.genius.com/songs/189865,The B Sides,2008-11-04," And if you're listening, I miss you And if you hear me now, I need you   Where did you go? Cause you're not gone Everyone knows that something's wrong There was a cut and I'm alone   I know we're getting closer I know you're coming back for me this time This time   And do you ever want me, do you ever need me? I know that you left before goodbye And it's okay, there's always another day And anytime you want me, anytime you see me I don't think you meant to say goodbye But it's okay, there's always another day   Your voice comes in and now it's fading I can't believe this is so frustrating Cause you never seem to understand And you let me slip straight through your hands And how does it feel to be alone?   I know we're getting closer I know you're coming back for me this time This time   And do you ever want me, do you ever need me? I know that you left before goodbye And it's okay, there's always another day And anytime you want me, anytime you see me I don't think you meant to say goodbye But it's okay, there's always another day   If you ever find what you were looking for I will be waiting there, I will be there   And do you ever want me, do you ever need me? I know that you left before goodbye And it's okay, there's always another day And anytime you want me, anytime you see me I don't think you meant to say goodbye But it's okay, there's always another day",0.6806,0,6,0,0,0,2,3,0,1,3
8,8,/songs/189959,Paramore,Be Alone,https://genius.com/Paramore-be-alone-lyrics,http://api.genius.com/songs/189959,Paramore,2013-04-09," So what if I don't have a lot to talk about? I shut my mouth and keep it locked until it counts And what if I don't ever want to leave my house? Stay on the couch while all my friends are going out   Alone   You should be alone Yeah, you should be alone You should be alone with me We could be alone Yeah, we could be alone But never get too lonely   I'll make the journey down the hall back to my room And kill more time, and let it rot inside its tomb (inside its tomb) See, I ain't one to climb some social ladder too Some Shangri-La that all the cool kids will abuse   Alone   You should be alone Yeah, you should be alone You should be alone with me We could be alone Yeah, we could be alone But never get too lonely  (We could be alone together)  Oh-oh-oh, oh-oh Oh-oh-oh, oh-oh I'm a loner in love, with you alone  Oh-oh-oh, oh-oh Oh-oh-oh, oh-oh-oh Come be a loner, in love with me alone  Oh-oh-oh, oh-oh   You should be alone Yeah, you should be alone You should be alone with me We could be alone Yeah, we could be alone But never get too lonely   You should be alone with me",-0.9653,4,2,5,7,4,7,9,10,2,4
9,9,/songs/135033,Paramore,Born For This,https://genius.com/Paramore-born-for-this-lyrics,http://api.genius.com/songs/135033,Riot! (Deluxe Version),2007-06-12," Oh no, I just keep on falling (Back to the same old) And where's hope, when misery comes crawling (Oh, my way) With your faith, you'll trigger a landslide (Victory) And kill off this common sense of mine  And it takes acquired minds To taste, to taste, to taste this wine You can't down it with your eyes So we don't need the headlines We don't need the headlines, we just want We want the airwaves back, we want the airwaves back   Everybody sing Like it's the last song you will ever sing Tell me, tell me do you feel the pressure now? Everybody live Like it's the last day you will ever see Tell me, tell me do you feel the pressure now?   Right now, you're the only reason I'm not letting go (Oh) And time out if everyone's worth pleasing You'll trigger a landslide Victory To kill off their finite state of mind  And it takes acquired minds To taste, to taste, to taste this wine You can't down it with your eyes So we don't meet the headlines No, we don't want your headlines, we just want We want the airwaves back, we want the airwaves back   Everybody sing Like it's the last song you will ever sing Tell me, tell me do you feel the pressure now? Everybody live Like it's the last day you will ever see Tell me, tell me do you feel the pressure now? Everybody sing Like it's the last song you will ever sing Tell me, tell me do you feel the pressure?   Alright, so you think you're ready OK, then you say this with me, go We were born for this (We were born for this) Alright, so you think you're ready OK, then you say this with me, go We were born for this (We were born for this) We were born for this (We were born for this) We were born for, we were born for...   Everybody sing Like it's the last song you will ever sing Tell me, tell me can you feel the pressure now? Everybody live Like it's the last day you will ever see Tell me, tell me can you feel the pressure now? Everybody sing Like it's the last song you will ever sing Tell me, tell me can you feel the pressure? Tell me, tell me can you feel the pressure?   We were born for this (We were born for this) We were born for this",0.8758,1,17,1,5,14,15,21,16,1,18
