,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2922413,Pharrell Williams,Able,https://genius.com/Pharrell-williams-able-lyrics,http://api.genius.com/songs/2922413,Hidden Figures: The Album,2016-12-02," Don't you know that we're able? That alone makes us major We can all sit at the table And grow in his favor Say yeah (yeah) Say yeah (yeah) Say yeah (yeah) Say yeah (yeah)   Yes, we can Yours and mine, alchemy Yes, we can Are one and one equals three Yes, we can I feel it like lightning in the forest Yes, we can And they can know to pick a note to harmonize a chorus   You're my woman, don't need another Get behind the other, we can lift each other Tornado weather, we another level   Don't you know that we're able? That alone makes us major We can all sit at the table And grow in his favor Say yeah (yeah) Say yeah (yeah) Say yeah (yeah) Say yeah (yeah)   Yes, we can Like a solar system thoughts surrounded by you Yes, we can Won't no another star up there say it ain't true Yes, we can We shine so bright they can't ignore us Yes, we can Who could be against us when you know who is for us?   You're my woman, don't need another Get behind the other, we can lift each other Tornado weather, we another level   Don't you know that we're able? That alone makes us major We can all sit at the table And grow in his favor Say yeah (yeah) Say yeah (yeah) Say yeah (yeah) Say yeah   Baby, yes, we can The love that we have like the clouds in the sky (Baby, yes, we can) We ain't in no rush, we can take our time blowin' by  Thats why   You're my woman, don't need another Get behind the other, we can lift each other Tornado weather, we another level You're my woman, don't need another Get behind the other, we can lift each other Tornado weather, we another level",0.9968,1,6,0,5,8,1,26,0,1,17
1,/songs/37070,Pharrell Williams,Angel,https://genius.com/Pharrell-williams-angel-lyrics,http://api.genius.com/songs/37070,In My Mind,2006-01-21," Hahaha I don't know why these niggas don't see what I see in you girl Bad girl! Haha, yup (Yeah, yeah)   She got an ass like loaf of bread Make you want a slice But she's the girl, you take her home to mother But she dont want ya bread Brother, ya betta think twice (twice) See, you can see the heat I will be her butter   She's an angel She's the girl, I want to share my dreams She's an angel I don't care if she can't fly over things Ohhh She's an angel I don't care if ya can't see her wings Watch her fly, yeah, motherfucker oh oh   She's in my dreams when I sleep (yeahhh, yeah) (Whoa oh) But when I wake she's gone so I weep (yeahhh, yeah)   Hello, hey Ma I love you too I'm just nervous about this girl What do you think I should do? I'm talking to her I'm here with her dad You sure? I'm do it now   Ding, Dong Father can she hang with me tonight To go to the mall (Whoa oh) I won't touch her, we'll be in your sight Don't you see at all  ",-0.6307,1,7,1,3,6,5,12,3,3,12
2,/songs/2927457,Pharrell Williams,Apple,https://genius.com/Pharrell-williams-apple-lyrics,http://api.genius.com/songs/2927457,Hidden Figures: The Album,2016-12-09," Funny thing about the apple The peach is sweet, but ain't the same The pear compares, but that's natural This ain't no cobbler or meringue  [Pre-Chorus: Pharrell Williams (chorus)] You turn my ovens on (Flame) You can smell when it's warm (Flame) Burn the house to the lawn (Flame) Happens quick as they on (Flame)   It was Adam and Eve And the God in the trees And the snake, oh yeah Cause everybody is destined To learn all these lessons alone Don't be afraid   This gon' wake you up (woo-woo) Smell when it hit the flame (woo-woo) Hurry 'for it burn up (woo-woo) Cause it won't be the same (woo-woo)   It's funny when the arrow's aiming at you Inscribed with your name You pray that it just goes past you Cupid's only gonna shoot if he knows it's his game  [Pre-Chorus: Pharrell Williams (chorus)] You turn my ovens on (Flame) You can smell when it's warm (Flame) (Lucy Liu!) Burn the house to the lawn (Flame) Happens quick as they on (Flame)   It was Adam and Eve And the God in the trees And the snake, oh yeah Cause everybody is destined To learn all these lessons alone Don't be afraid   This gon' wake you up (woo-woo) Smell when it hit the flame (woo-woo) Hurry 'for it burn up (woo-woo) Cause it won't be the same (woo-woo)   Hey baby, I'm bananas about you Oh girl, I lose control Life would be nuts without you I got this heart shaped bowl Cover my soul  Can I have a bite?   You know that Harlem isn't here right now Okay, one two three, stop  [Pre-Chorus: Pharrell Williams (chorus)] You turn my ovens on (Flame) You can smell when it's warm (Flame) Burn the house to the lawn (Flame) Happen quick as they on (Flame)   It was Adam and Eve And the God in the trees And the snake, oh yeah Cause everybody is destined To learn all these lessons alone Don't be afraid   This gon' wake you up (woo-woo) Smell when it hit the flame (woo-woo) Hurry 'for it burn up (woo-woo) Cause it won't be the same (woo-woo)",0.9611,14,18,13,12,9,18,24,1,6,15
3,/songs/37072,Pharrell Williams,Baby,https://genius.com/Pharrell-williams-baby-lyrics,http://api.genius.com/songs/37072,In My Mind,2006-07-25," Excuse me I'm taking to you, hey Girl, I just want to talk to you for a minute...Ow   Manolo pumps is tapping and your lips stick's red (we're just eye fucking, eye fucking) Your Louis purse and I just think I love your hair (we're just eye fucking, eye fucking) Meet me in the hallways where the bathrooms are (we're just eye fucking, eye fucking) Can you drive a stick I wanna know I'll be your car (woo)   I see that look in your eyes, I wanna touch you (baby) Are you by your self tonight, I wanna touch you (baby) I see that look in your eyes, I wanna touch you (baby) Excuse me I'm talking to you, hey   I can imagine having my arms around your back (we're just eye fucking, eye fucking) And I can imagine your heart beat pumping through your chest (we're just eye fucking, eye fucking) I hope it goes beep beep, beep beep, beep beep, hey (ooh girl) Beep beep, beep beep Excuse me I'm talking you, hey   I see that look in your eyes, I wanna touch you (baby) Are you by your self tonight, I wanna touch you (baby) I see that look in your eyes, I wanna touch you (baby) Excuse me I'm talking to you, hey   As I look through the crowd of the pupils into ya pupils Yeah boo I see you too Damn right I wanna do you too In ya eyes I can tell what you thinking Why ain't we somewhere hot for the weekend Seafood eatin', I heard you like Red Lobster You the type might like to sun bathe Jump off the yacht and jet ski the runway I give it to you like (uhh) Wanna moan and scream out (baby) Do the things that will make you say (uhh) Damn right I spoils my (baby) It ain't nothing to me I'm (uhh) Billion dollar boy type (baby)   Girl you ain't gotta close your eyes or wish real hard Or click your heels (your heels) I can make everything that you feel be real (yeah)   I see that look in your eyes, I wanna touch you (baby) Are you by your self tonight, I wanna touch you (baby) I see that look in your eyes, I wanna touch you (baby) Excuse me I'm talking to you, hey  [Outro, Pharrell ad-lib] Can I splash you with uh, champagne Um, you wanna roll up a 100 dollar bill and use it as a straw Bye baby",0.9282,4,3,5,2,17,13,20,1,4,4
4,/songs/37082,Pharrell Williams,Best Friend,https://genius.com/Pharrell-williams-best-friend-lyrics,http://api.genius.com/songs/37082,In My Mind,2006-07-25," Yeah, yep Spit my gum out right now, yeah What up, world? Got my inspiration in the studio with me tonight, feelin' good Got a lot to smile about Talk to y'all niggas Yessir, hey   My best friend say I'm bottled up, I need a fuckin' therapist But I can't think of nobody I wanna share this with Why should I open up on somebody else's carelessness? Pop, there goes the top, nigga, so here it is Mama workin' all day, Daddy out in the streets Imagine ten years old, full of doubt and defeat Growing up around criminals, with clout and deceit My grandma Loucelle used to tell me, ""You about what you weep"" She used to help me with my homework, addiction, subtraction Added faith to my life and doubt got subtracted Wanna skip your mind from crying? Better learn something, son You be beatin' on my couches, why don't you try hit the drums? Look, ooh, you see me, Ma, they wish they could be me, Ma As I got better, her body was eaten by leukaemia Seventh grade, it was cursed and sad But the gift within it was when I first met Chad But even Chad could tell you that my Christmas was jinxed 'Cause Grandma Loucelle died on 12th 19th I can't help but wonder what kind of black cloud I was under 'Cause fifteen years later, the other died that summer Bummer   My best friend told me (What?) You be actin' tough, that's fine (Uh-huh) But the weight of the world can really crush one's mind So let it out, P (What?) Let it out, P (What?) Let it out, P (What?) Let it out, P (What?) See, you won't even know you hurt sometimes Until you in conversations, it comes out in a line So let it out, P (What?) Let it out, P (What?) Let it out, P (What?) My nigga, let it out   Ayo, 1021 Atlantis Drive, nigga was action packed That's Atlantis Apartments, we live in half the back That's where the 12-year-olds there, they be flashing crack And when they shoot you, nigga, they ain't tryna pass it back Ayo, Didi, Fleet and Marvian, can you imagine that? The place we love the most, the hood was built to smash us flat But I escaped 'cause I chased, what made me passionate Now I got my skate team and spit these acid raps So many niggas will rise, so many them niggas try So many them niggas ended up duck-taped and tied So many them same niggas, man, they moms eyes cry So, they just got older, still on the corner with they pride Well, let me tell you niggas something, I'm so glad you alive Long as you got a breath, a pulse, nigga strive Divine intervention this is, I heard a voice, nigga, listen to this   My best friend told me (What?) You be actin' tough, that's fine (Uh-huh) But the weight of the world can really crush one's mind So let it out, P (What?) Let it out, P (What?) Let it out, P (What?) Let it out, P (What?) See, you won't even know you hurt sometimes (Uh-huh) Until you in conversations, it comes out in a line So let it out, P (What?) Let it out, P (What?) Let it out, P (What?) My nigga, let it out (Okay)   Jesus will arrange it, but Jesus won't change it Hold yourself responsible, on yourself, you blame it You mad, nigga don't articulate in Sans Script I.E. we best friends, speak best friend language I'm a happy nigga, you can't approach me in anguish Whoever said anything worth working for would be painless? Can't be mad at the world 'cause you and your girl ain't famous 'Cause you both on Bape, BBC and chain-less Also you're Range-less, therefore switch lane-less Now you brainless, dangerous, 'cause you pull out the stainless All of a sudden you smart, now you do something heinous First time you get caught, now your ass is famous No longer chain-less, and the bus switching lanes is a bad look Your girl with ya man sellin' lane-less, stop Nigga, rewind and reverse slides three times Reassess your thinking and trust me, it'll be fine First, picture your goal, and repeat, ""It'll be mine"" Or fuck it, nigga, just keep imagine killin' me, fine Now you scrunching your face, tryna ace attainment When you should be tryna find a place to base your shame, nigga Success is tangible, don't wait for fame I thought you would receive it better if I ain't say your name You unsure of yourself, sit still and think Review those actions if it fit, put your name in the blank   My best friend told me (What?) You be actin' tough, that's fine (Uh-huh) But the weight of the world can really crush one's mind So let it out, P (What?) Let it out, P (What?) Let it out, P (What?) Let it out, P (What?) See, you won't even know you hurt sometimes (Uh-huh) Until you in conversations, it comes out in a line So let it out, P (What?) Let it out, P (What?) Let it out, P (What?) My nigga, let it out (Okay)   Star Trak is who we are Star Trak is who we are, ooh Star Trak is who we are Star Trak is who we are",0.9651,17,24,15,23,27,40,50,25,9,31
5,/songs/370485,Pharrell Williams,Brand New,https://genius.com/Pharrell-williams-brand-new-lyrics,http://api.genius.com/songs/370485,G I R L,2014-03-03," My love, ooo My love   A winner never quits And a quitter never wins I thought about what I wanted And you were on my list   Remember where I was? In the desert with no love No cactuses, just dust And you swept me from above   My Love  [Pre-Chorus: Pharrell and Justin Timberlake] So I just wanna say Thank you for this day Cause it is so good   Good morning, you got me feelin' (brand new) You got me feelin' (brand new) Like the tag's still on me Got the tags still on me Jumpin' 'round in your bag Jumpin' 'round in your bag So good morning, ooh girl You are the feeling I'm jammin' to (brand new) You are the feeling I'm jammin' to (brand new) Like the tag's still on me Got the tags still on me   My love, ooo My love   Life to me is easy People make it complicated When love is the tool No reason we can't make it   Come on, let's go, be brave Feel somethin' that they'll praise Once we know that we're made Then give it all the way   My love  [Pre-Chorus: Pharrell and Justin Timberlake] So I just wanna say Thank you for this day Cause it is so good   Good morning, you got me feelin' (brand new) You got me feelin' (brand new) [Like the tag's still on me Got the tags still on me Jumpin' 'round in your bag Jumpin' 'round in your bag So good morning, ooh girl You are the feeling I'm jammin' to (brand new) You are the feeling I'm jammin' to (brand new) Like the tag's still on me Got the tags still on me  [Bridge: Pharrell and Justin Timberlake All my life, when I describe What I want, I've been misunderstood The more I try, at bein' satisfied And didn't think that I could But then you came along, and you made me strong Like God said you would  [Pre-Chorus: Pharrell and Justin Timberlake] So I just wanna say Thank you for this day Cause it is so good   Good morning, you got me feelin' (brand new) You got me feelin' (brand new) [Like the tag's still on me Got the tags still on me Jumpin' 'round in your bag Jumpin' 'round in your bag So good morning, ooh girl You are the feeling I'm jammin' to (brand new) You are the feeling I'm jammin' to (brand new) Like the tag's still on me Got the tags still on me",0.9973,7,18,7,8,27,9,31,7,16,17
6,/songs/3999,Pharrell Williams,Can I Have It Like That,https://genius.com/Pharrell-williams-can-i-have-it-like-that-lyrics,http://api.genius.com/songs/3999,In My Mind,2005-10-31," Ladies and Gentlemen Yes, Sir... let's do it Yes, Sir... hot... yo   On and on and, my nuts I'm palmin' Take two of these and call me in the morning You should see the way the chain harness the charm and Fly, I'm like a bird like Nelly Furtado Shit, pop your bottles, toast and scream, ""Cheers!"" Get your two-step 'cause this the record of the year Nigga that brought you Ice Creams, two for a pair Officially announcing, ""This is warfare,"" 'cause Back in the day, my clouds was grey And it seemed liked my angels couldn't blow them away But then I sold my first verse and copped that NSX But I was still ridin' in them thin-ass jets, but now Man, my vision so clear out the window of the Lear And I'm talkin' on my celly all the shit that you should hear Listen clearly now Hello? Can you hear me now?   Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) So drop your purse and grab your hips (Uh huh) And act like you tryin' to get this money right quick So can I have it like that? (You got it like that) Can I have it like that? (You got it like that)   On and on and, this beat is on and I control their mind from straight over the phone And let 'em explore the words, something like a tourist And never get addicted unless that heady-wop is serious (Yes, Sir) From Louisville to Jimmy Choos, he's real She know the time, she sees the Richard Mille Plat-double skeletal, Tourbillion It's just like her body, move, it turns her on She like the way my hands use her body for hand warmers And all our car doors go up like Transformers See, I can do it this-a-way, I can do it that-a-way From the crib in Virginia to that new Miami getaway So cool it like New Edition unless you hot as you say I get it, okay, let it boil away But please run along, 'cause ladies is feelin' wrong And I got something right for them right after this song My name is Skate... board... P Ladies and gentlemen   Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) So drop your purse and grab your hips (Uh huh) And act like you tryin' to get this money right quick So can I have it like that? (You got it like that) Can I have it like that? (You got it like that)   On and on and, the temperature is warm and I spit heat flashes, niggas get nauseous Bright as a bitch, so analyze with caution When the light hit the ice, bet a hundred that you vomit And should I mention the fact the Transition is the track? No incision to the vision just to get me where I’m at, huh Little Skateboard, he too grown (Come on) Ridin' up and down Collins in that that new Two-Tone It's so cold, you don't wanna feel the chill of it (Uh) Just stand back and just look at the grill of it (Uh) I don't smoke but I bet the sense a mil' of it Totally intensifies the vivid-ass appeal of it You can be jealous, and grit your teeth (Uh huh) But all these little niggas got somethin' in reach So, you want heat? These niggas can front heat While I'm on my boat party, tryin' to Sunseek My name is Skate... board... P Ladies and Gentlemen   Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) Can I have it like that? (You got it like that) So drop your purse and grab your hips (Uh huh) And act like you tryin' to get this money right quick So can I have it like that? (You got it like that) Can I have it like that? (You got it like that)",0.9994,17,16,9,4,8,17,24,3,8,17
7,/songs/602824,Pharrell Williams,CC The World,https://genius.com/Pharrell-williams-cc-the-world-lyrics,http://api.genius.com/songs/602824,None,2014-12-02," See see... (x4)   Beauty is not hard to define It is there inside When you open your eyes Hey, don't be blind, be open to see Could she be the girl to help me see See the world?   (x9) (See see..) The world  (Pharrell Williams) Beauty is not hard to define It is there inside When you open your eyes Hey, don't be blind, be open to see Could she be the girl to help you see (to help you see) See the world?   (x8) (See see...) The world",0.9646,0,0,0,0,2,2,4,0,0,2
8,/songs/3116646,Pharrell Williams,Chuck Berry,https://genius.com/Pharrell-williams-chuck-berry-lyrics,http://api.genius.com/songs/3116646,Despicable Me 3 (Original Motion Picture Soundtrack),2017-06-23," See I can tell you need to get away Won't you stand there and shake your place Look! Let me see your energy Let me see your energy Let me see your energy (oh, come on now) Let me see your energy (hey)   Do your move, uh Chuck through the wind, uh And do it all again, uh (Ooh) Come on now (Ooh) A-come on now (Ooh) Come on now Do your move (hey) Chuck through the wind, a-come on now Do it all again (oh, oh) (Ooh) Come on now (Ooh) A-come on now (Ooh) Hey, let's go   I remember when I was a boy Used to watch the old folks catch the joy Would laugh so hard that we had to leave Ooh, I gotta a baby now to help me see You can feel what they see But little did I know that the energy Is the same thing as the energy   Some do not believe that you can Feel the need within you but We can prove it with the music Move your body, let your body go Some do not believe that you can Feel the need within you but We can prove it with the music Everybody, let your body go   I feel so good, a-come on now Chuck through the wind, uh Do it all again (Ooh) Come on now Do your move (hey) Chuck through the wind Do it all again, do it all again now (Ooh) Make the girls say (Ooh) Make the girls say (Ooh) Make the girls say (Ooh) Make the girls say A-looka here   I remember when I was a boy Used to think the old folks told us stories I wouldn’t believe what I could not see I woke up and I was on my knee Can feel what they can see The darkness told me that I could not leave Light broke the shackles and now I'm free   Some do not believe that you can Feel the need within you but We can prove it with the music Move your body, let your body go Some do not believe that you can Feel the need within you but We can prove it with the music Everybody, let your body go   One, two, three, now Go go go Go go go Go go go Go go go Go go go Go go go Go go go Go go go Go go One, two One, two, three, four Come on now Come on now",0.9727,2,3,3,4,8,7,12,9,5,1
9,/songs/370517,Pharrell Williams,Come Get It Bae,https://genius.com/Pharrell-williams-come-get-it-bae-lyrics,http://api.genius.com/songs/370517,G I R L,2014-03-03," You miss me? I miss all of y'all All of you girls standin' together like that I can't take it   Wait a minute Women, I can do anything you like I can do anything you need And I got a better body Than the magazines you read   None of them boys know the first thing About your fantasy And if they tried, they cannot do it Just like me  [Pre-Chorus: Pharrell and Miley Cyrus] I know you certainly been gone And it's been much too long And there's some things we need to do So I know you need to get home  [Chorus: Pharrell Williams and Miley Cyrus] Come get it bae, come get it bae Come get it bae, come get it bae You wanna ride it, my motorcycle You've got a license, but you got the right to Gonna pop a wheelie, don't try too high to Take it easy on the clutch, cause girl I like you   Wait a minute I can see it the way you like I can do anything you need I can give you dirty looks Like them niggas that's on TV   None of them boys know the first thing About your fantasy And if they tried, they cannot do it Just like me  [Pre-Chorus: Miley Cyrus and Pharrell Williams] I know you certainly been gone And it's been much too long And there's some things we need to do So I know you need to get home  [Chorus: Pharrell Williams and Miley Cyrus] Come get it bae, come get it bae Come get it bae, come get it bae You wanna ride it, my motorcycle You've got a license, but you got the right to Gonna pop a wheelie, don't try too high to Take it easy on the clutch, cause girl I like you, hey  [Bridge A: Miley Cyrus, Tori Kelly & Pharrell Williams] There comes a time, comes a time The craving will grab your wrist You'll need a sugar fix, baby There comes a time, comes a time And you won't believe what you'll do When that sugar's callin' you   Girl, there will come a time (Sugar, sugar), this is where you wanna be H-O-M-E (Sugar, sugar), satisfaction guaranteed And now it's comes your time (Sugar, sugar), this is where you wanna be Cause everything you need (Sugar, sugar), you will only find in me   Come get it bae, come get it bae Come get it bae, come get it bae Come get it bae, come get it bae Come get it bae, come get it bae You wanna ride it, my motorcycle You've got a license, but you got the right to Gonna pop a wheelie, don't try too high to Take it easy on the clutch, cause girl I like you   Wait a minute (hey) Wait a minute (hey) Wait a minute (hey) Wait a minute (hey) Wait a minute (hey) Wait a minute (hey) Wait a minute (hey) Wait a minute (hey) Wait a minute (hey)",0.9885,1,20,3,0,1,18,18,0,3,3
