,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/979715,Phillip Phillips,A Fool's Dance,https://genius.com/Phillip-phillips-a-fools-dance-lyrics,http://api.genius.com/songs/979715,The World from the Side of the Moon,2013-07-29,"A raindrop hits the edge of the town as there comes more From the porch to the ceiling, makes its way down to the floor But I won’t worry you won’t see I’m right by you and you by me As we wake up the night as the thunder roars  The staircase could never teach me more Like life, I climb I fall just to step once more You tricked me, fooled me. I was yours Only to act out a game that I did not know  Who am I, who are you. What are we anymore? Just a darkness in my life or like a whole in the floor Won’t you take it all away and I’ll take mine to the lord The angels may fall but never close enough to let me soar  Eagles are flying and crows are dying I guess I’ll jump quick Just to see if I still have a chance to live I played around and around I went but a circle grows old I guess I’m just another square in this circled world that we call home  Who am I, who are you. What are we anymore? Just a darkness in my life or like a hole in the floor Won’t you take it all away and I’ll take mine to the lord The angels may fall but never close enough to let me soar",0.3781,4,3,3,5,4,10,7,7,6,6
1,/songs/691066,Phillip Phillips,Armless Crawler,https://genius.com/Phillip-phillips-armless-crawler-lyrics,http://api.genius.com/songs/691066,Behind the Light,2014-01-01," I saw you there again With your head hanging low Seemed all the world was weighing you down Like a heavy stone Finding out that it's hard not to fall when you stumble Here it goes again   Pull me out and push again You never noticed when it all began Let me go and reel me in But it's too late now, I'm just an armless crawler It's too late now, I'm just an armless crawler   I saw it there again The shadow through the window Seems to follow me around Like I've nowhere to go Knowing now that we can not change the future Here it goes again   Pull me out and push again You never noticed when it all began Let me go and reel me in But it's too late now, I'm just an armless crawler It's too late now, I'm just an armless crawler Pull me out and push again You never noticed when it all began Let me go and reel me in But it's too late now... Pull me out and push again You never noticed when it all began Let me go and reel me in But it's too late now, I'm just an armless crawler It's too late now, I'm just an armless crawler",0.5023,2,0,1,2,0,11,5,9,0,0
2,/songs/1633331,Phillip Phillips,Can't Go Wrong,https://genius.com/Phillip-phillips-cant-go-wrong-lyrics,http://api.genius.com/songs/1633331,The World from the Side of the Moon,2013-07-29,"I’ve seen the lights come from the flashes in the dark I feel like a blind man trying to make a start And I don’t know, no I don’t know where I’m gonna go  I’ve seen the sun come up a mile off the ground Flew back the other way and saw it go back down I know the days change but always seem the same I’ll take the best of what I can from my mistakes And now I know, now I know  I can’t go wrong As long as I remember where I’m from Hold my head up just to keep it clear I want a chance just to face my fear, face my fear  Never mind all the times that I just couldn’t wait I can’t remember when it all began to change Watching the grass grow and die From summer to fall It’s funny how a year passes by and you don’t notice at all Well I know, I know  I can’t go wrong As long as I remember where I’m from Hold my head up just to keep it clear I want a chance just to face my fear, face my fear",-0.9153,4,7,0,7,2,11,5,4,3,6
3,/songs/3322344,Phillip Phillips,Dance With Me,https://genius.com/Phillip-phillips-dance-with-me-lyrics,http://api.genius.com/songs/3322344,Collateral,2018-01-19,"I have seen a sunset in the western sky Ain’t nothin’ like the brightness in your eyes And I have seen the moon reflecting in the sea But that don’t compare to how you shine on me  After everything I’ve seen, I rather see you smile Cause all I really want is just to hold you for a while and be your man  So will you dance with me? I will lead you Give every moment that I have Just to be near you & when the song ends and everyone else leaves Will you dance one more with me?  When my hands are heavy and your words are slow Kiss my lips and tell me you won’t let me go And with every single heart beat I have left I’ll make it known you are my world and nothing less  Cause all I really want is just to hold you for a while and be your man  So will you dance with me? I will lead you Give every moment that I have Just to be near you & when the song ends and everyone else leaves Will you dance one more with me? Will you dance one more with me?",0.9222,0,2,0,0,7,0,16,0,2,8
4,/songs/3322343,Phillip Phillips,Don't Tell Me,https://genius.com/Phillip-phillips-dont-tell-me-lyrics,http://api.genius.com/songs/3322343,Collateral,2018-01-19," You call me up to let me know, just how good you've been doing I don't wanna let it show but I can't keep pretending I bet you think that I've moved on but I can't move since you've been gone And I can't believe that we said it and now you won't let me forget it   Don't tell me that you're going out tonight Don't tell me 'cause I, I don't wanna know Don't tell me that you're all alone tonight Don't tell me 'cause I, I don't wanna know   It's getting harder not to fool, 'cause I love how you fool me There's a lovely lonely road, I'm lying where you left me Take my heart and take my gold, leave what's left and let me go It's hard to believe that you said it and now you won't let me forget it   Don't tell me that you're going out tonight Don't tell me 'cause I, I don't wanna know Don't tell me that you're all alone tonight Don't tell me 'cause I, I don't wanna know That tonight you're getting out with your friends And how you wish it was me, not them, yeaaaah   Don't tell me that you're going out tonight Don't tell me 'cause I, I don't wanna know Don't tell me that you're all alone tonight Don't tell me 'cause I, I don't wanna know   Don't tell me that you're going out tonight Don't tell me 'cause I, I don't wanna know Don't tell me that you're all alone tonight Don't tell me 'cause I, I don't wanna know",0.9131,3,2,4,1,4,8,30,3,3,29
5,/songs/691062,Phillip Phillips,Don’t Trust Me,https://genius.com/Phillip-phillips-dont-trust-me-lyrics,http://api.genius.com/songs/691062,Behind the Light,2014-01-01,"I don't believe, I don't believe What just happened, it seems Like clouds of rain just poured out on me The light was much further I could see But it's too late now I'm gonna make it through these clouds  Clouds hide behind what can't be seen Just the darkness holds us up, you and me The dice keeps rolling it never stops on what I need So I'll change the game, let's see where that takes me  You've gotta live to know who you are  I wanna be the one you run to When your dreams won't leave you alone Out in this night you run to your head But your head won't even hold you On top of this world, in this life you think you've got it all Then you look up at the stars And realize where you are So dream boy, dream boy And see where you find yourself in this life  You've gotta live to know who you are  Tell me I'm wrong Beg me please I've gotta find out if it's really me Who I believe So when I say I'm okay Don't trust me  I wanna stand on top of the mountain Shine more than the sun brings out To each of us each is a key we hold So why don't we unlock the treasures that we long for Every fall you catch, every thought you forget Don't let it slip through your hands to let the next one catch Everything that was coming your way Don't let it all start to slowly step away  You've gotta live to know who you are  Tell me I'm wrong Beg me please I've gotta find out if it's really me Who I believe So when I say I'm okay Don't trust me",0.8605,1,10,2,3,3,12,13,6,5,14
6,/songs/1602303,Phillip Phillips,Drive Me,https://genius.com/Phillip-phillips-drive-me-lyrics,http://api.genius.com/songs/1602303,The World from the Side of the Moon,2013-07-29,"All I wonder, if my night is gonna change Lights moving, bodies grooving but can not feel a thing I’ve got one step to the door then I hear Oooooo Like gravity pulling me in I’m sinking in this space within I can’t help but giving in to This stranger with no name Dancing like a flame Like a moth I cannot be turned away  Lead me Take me Far from here, sweetly  Do what you do Do what you will Let me get down take a hold of the wheel Let me drive you crazy Do what you do Do what you will Let me get down I’ll be all the drug you feel I’ll let you drive me crazy  I love your moves I like your style With them hips you drive me wild I’m the puppet to your strings You keep on moving me Into a world you keep on turning Turning for me now Everything we have is moving down down down We just keep on grooving on down down down  Lead me Take me So far from here, sweetly  Do what you do Do what you will Let me get down take a hold of the wheel Let me drive you crazy Do what you do Do what you will Let me get down I’ll be all that you feel I’ll let you drive me crazy",0.9664,4,0,0,6,1,6,4,4,1,0
7,/songs/690934,Phillip Phillips,Face,https://genius.com/Phillip-phillips-face-lyrics,http://api.genius.com/songs/690934,Behind the Light,2014-08-12,"I know it's all there Why don't you open up and let me in?  Take it out of your head Take it out of your thoughts Cause when you find what you've been missing I'll be lonely my love, my love  You know it's all here Why don't you open up and let me in?  I'll take it out of your head I'll take it out of your thoughts Give you a reason to stay, give you a reason to not  Cause you saw my heart And you saw how much it broke and I Could not ask for more So I picked up my heart, brushed it off And walked out the door  I found what you need Come on and give me what I want, a taste of you with me The further I go, the closer you seem Why won't you leave me alone, why won't you leave me be?  Cause you saw my heart And you saw how much it broke and I Could not ask for more So I picked up my heart, brushed it off And walked out the door (x2)  When you find your way back in Darling, I won't give my heart again (x4)   Cause you saw my heart And you saw how much it broke and I Could not ask for more So I picked up my heart, brushed it off And walked out the door",0.304,1,2,1,5,4,7,8,7,2,4
8,/songs/690945,Phillip Phillips,Fly,https://genius.com/Phillip-phillips-fly-lyrics,http://api.genius.com/songs/690945,Behind the Light,2014-08-12,"When the day is done, the weight is on my mind How should I give up, how should I survive? Leaning to the side of the busy street Looking down, these people never notice me Am I the only one who thinks it's hard to breathe?  I feel it's hard to say what's on my mind I feel it's hard to say what's not inside You think your fight is over It's only so much closer I reach my hands to the sky And fly  Ten thousand faces here, but who am I? Am I the only one with a reason to hide? Searching through a maze only to find Another wall to break, another wall to climb It's when I lose myself, then I realize  I feel it's hard to say what's on my mind I feel it's hard to say what's not inside You think your fight is over It's only so much closer I reach my hands to the sky And fly  I feel it's hard to say what's on my mind I feel it's hard to say what's not inside You think your fight is over It's only so much closer I reach my hands to the sky And fly",-0.9508,4,1,2,6,1,5,6,2,3,2
9,/songs/690946,Phillip Phillips,Fool For You,https://genius.com/Phillip-phillips-fool-for-you-lyrics,http://api.genius.com/songs/690946,Behind the Light,2014-08-12,"Walked through the door After day had turned its cheek The letter that you wrote Yeah, you left it here to read  Said this love's not just for you It was also meant for me Let me give you more to feel Let me show you more to see  Tell me  What you're made of My sugar and wine Down from above You make me so high High, high  I'm much too young But just hold on I'm such a fool Seeing it now Saying it loud You know it's true That I'm just a fool for I'm just a fool for you  Everyday I wake up And I'm twisted in a dream In between who I am And the things I want to be  Then there you are raining down Like water from a fall You wash me down, dry me off You keep pouring out your love  Tell me  What you're made of My sugar and wine Down from above You make me so high High, high  I'm much too young But just hold on I'm such a fool Seeing it now Saying it loud You know it's true That I'm just a fool for I'm just a fool for you  I know it's alright my friend You know it's alright my friend  I'm much too young But just hold on I'm such a fool Seeing it now Saying it loud You know it's true That I'm just a fool for I'm just a fool for you",0.3919,0,4,9,0,10,10,12,1,3,6
