,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/3109371,R. Kelly,12 Nights of Christmas,https://genius.com/R-kelly-12-nights-of-christmas-lyrics,http://api.genius.com/songs/3109371,12 Nights of Christmas,2016-10-21," Come inside, the world is cold I’ll cuddle you and love you slow Open arms waiting for you Girl, just call and I'm there for you Oh, what I've got planned tonight You and I scheduled to fly So let love take us right off from this room  You look like you could use a friend Refuse to let loneliness win No way Girl, it’s Christmas for Christ's sake   Would you like to spend 12 Nights of Christmas with me? Tell me, baby, now Would you like to spend 12 Nights of Christmas with me?   We'll take a trip around the world I'd make one wish and you'd be my girl I believe in Christmas magic, baby, yeah Look into each other's eyes Discover Christmas paradise Just let me take your body away tonight  You look like you could use a friend Refuse to let loneliness win No way It’s Christmas for Christ's sake   Would you like to spend 12 Nights of Christmas with me? Tell me, girl Would you like to spend 12 Nights of Christmas with me? Girl   Tonight I'm gonna put the world under your Christmas Tree, girl And the greatest gift of all, girl, is you here lying next to me, girl Would you baby? (Repeat 7X)  Tell me would you like   Would you like to spend 12 Nights of Christmas with me? Baby, tell me, would you like, girl Would you like to spend 12 Nights of Christmas with me? Just come go with me, girl Would you like to spend 12 Nights of Christmas with me? I can take you there, baby Would you like to spend 12 Nights of Christmas with me? If you wanna go, just reach out to me, baby Would you like to spend 12 Nights of Christmas with me? Would you like to spend 12 Nights of Christmas with me?",0.9951,2,2,2,2,13,6,13,2,3,4
1,1,/songs/592881,R. Kelly,12 Play,https://genius.com/R-kelly-12-play-lyrics,http://api.genius.com/songs/592881,12 Play,1993-11-09," Yo, I got 12 things to say and 12 ways of saying it So wait a minute, check it out check it out   Do you mind If I give you some of my 12 play? Do you mind, baby, do you mind if I Give you some of my 12 play? Okay, here we go   12 play, give 'em a little 12 play, a sample of it 12 play, just a little 12 play (do you mind if I give you some of my) 12 play, give 'em a little 12 play, a sample of it 12 play... (oh yes, here we go)   1, we'll go to my room of fun 2, then I'll say give me your tongue 3, 'cause tonight I'm gonna fulfill your fantasies, yes 4, lie down on the floor 5, cannot wait to come inside 6, anything that's broken, I'll fix 7, spread your legs apart 8, feel me, I'm so hard 9, see I want you from behind (slip the bump and grind yes) 10, baby climb on top of me 11, up and down we'll go you'll see 12, and that's when I'll go down on my knees Giving you some of my   12 play, give 'em a little 12 play, a sample of it 12 play, just a little 12 play (of my 12 play) 12 play, give 'em a little 12 play, a sample of it 12 play (see everything's gonna be alright, once I, give you some of my 12 play) 12 play, give 'em a little 12 play, a sample of it (hey hey, woo!) 12 play, just a little (is it alright, tell me baby?) 12 play (is it alright?) 12 play, give 'em a little (if I give you) 12 play, a sample of it (just a little bit of my 12 play) 12 play (12 play, 12, heyyyyyyyyeaaaaaahhh) 12 play, give 'em a little 12 play, a sample of it (12, oww!) 12 play, just a little (just a little bit of my) 12 play (just an example baby of my 12, 12 play) 12 play, give 'em a little (ha, and you won't regret baby) 12 play, a sample of it (come on and let me drive you crazy) 12 play, I'll be stroking you up and down Spinning you all around Change your frown to a smile Band, break it down (give 'em a little) Ohh ohh ohh ohh ohh, oh yes   Break it down Oh..... Oh yeah yeah yeah Oh baby baby baby Just a little 12 play, huh Listen baby Whether it's morning, noon, or night I can make you feel alright, sing it (12 play, just a little) yeah Yeah, yeah yeah, yeah yeah Once the lights go down There'll be no fooling around, no (12 play) 12 play, 12 play ooohh 1 2 3 4 5 6 7 8 9 10 11 12 12 ways 12 ways to love you baby, yeah yeah You won't regret it baby And you surely won't forget it baby After I give you some of my 12 play Baby, and your body's looking good to me And in your eyes I can plainly see That you need some of my Just, just a little bit of my 12, 12 play",0.999,3,6,1,3,19,10,21,7,5,4
2,2,/songs/1475019,R. Kelly,2nd Kelly,https://genius.com/R-kelly-2nd-kelly-lyrics,http://api.genius.com/songs/1475019,R.,1998-11-10," Hey yo, R Let me handle my business I just wanna take over the show for a minute Not the whole show, just a little bit   Now that he's outta the way Can I talk to you for a minute? Can I break it down and break you off Some of this computer lovin' type of shit? Lookin' at you from the inside of this internet I'm in the mood, and my tongue is in the mood Ladies, can we have a little fun? Can we play a little game? Said, can we have a little fun? Can we play a little game?   I got something for y'all Can I give it to you?   Now listen, second Kelly what you got for me, y'all say I got some down low, down low, sing it for me Now second Kelly, what you got for me, y'all say I got some 12 play, 12 play, sing it Now 2nd Kelly, what you got for me, sing I got some bump and grind, bump and grind, sing it y'all Now second Kelly, what you got for me, say Do you mind if I stroke you up Do you mind if I stroke you down   Ladies, ladies, tell me do you want more? I said do you want more? Na na na na na na na na na na na na na na sing   Now y'all having fun? Too bad it's time for me to get up out of here But before I do I wanna blow the roof off this place with this last one Are y'all ready? All right, now everybody let me hear you say Ooh na na na na na na Ooh na na na na na na Yeah, now, that was loud, right? But I think y'all can get a little louder If y'all what Kelly to come back out here With what he about to get dressed in Y'all do it louder come on here we go, come on Ooh na na na na an na what Ooh na na na na na na   I know y'all must be trippin' on me Damn I wanna go half on a baby",0.7858,3,10,3,3,9,5,10,8,2,7
3,3,/songs/1819468,R. Kelly,3-Way Phone Call,https://genius.com/R-kelly-3-way-phone-call-lyrics,http://api.genius.com/songs/1819468,Happy People/U Saved Me,2004-08-24," Hello   Hey little brother   Hey sis how you doing?   Fine, what's going on with you?   Oh nothing much   Got your message from earlier this afternoon And something just didn't sound right And so I'm calling you back to check on you How you holding up?   Oh everything is fine   You know I don't believe you   Whatcha saying? You think I'm lying?   I'm not saying that, but I know you   How you know me?   'Cause you're my brother, and therefore I can tell when something is troubling you   Ok Ok, I give you that Nothing's wrong, I take that back There is something on my mind but sis, I don't want to waste your time   But I done told you time and time again whatever you're going through...you can come and talk to me and I will say a prayer with you   But I done prayed and prayed night and day I still can't seem to find my way   Rob that ain't nothing but the devil telling you That you're washed up and you're through, but sister's here to let you know Boy you're gonna make it through   Sister, do you really believe that I can rise again?   Yes, and not only that, Rob, God will forgive you for your sins   Can you tell me what to do?   Well, first you've gotta believe the truth   Sometimes it's hard to believe in Him   That's okay because he believes in you   The winds, the rain The storm The weapons that are formed against us (I will survive) The trying times The sleepless nights Just know that faith is with us (and I believe, yeah) Through all of the hills And valleys roamed Trust hat we must come to (woah) Walk side by side, follow the light And we'll make it through (We'll make it through yeah)   So, so...What you're saying is believe a little more?   Yes, cause faith is the key that opens up the door   What you're saying to me, it's hard to receive Especially when trouble follows me   When we're keeping it real Robert, sometimes Trouble can follow where you lead   Yes sister, I know sometimes, but I...   Just wait, let me make a phone call   To who?   A prayer buddy of mine She can help you tear down your walls   I don't want nobody in my business   She's a friend And besides you need this   You know how church folk can be   Boy, I'm your sister, trust in me...Now hold on  (Phone dials)   Maybe she's gone...   No   Maybe we ought to just try...   Hello?   Shh shh, hello, is Kim there?   Yes, I think she's around here somewhere Hold on   Now you just let me do the talking   Hello?   Hey girl, how you doin'?   Hey Kelly   My little brother's on the line and needed advice from you   Ooh what can I do for you?...Hello?   Go ahead Rob, she's talking to you   Oh, well, I know you must be very busy So I'm not going to mess around, nah Just telling my sister how my life is upside down And I don't know whether I'm going left or right half the time I Sometimes think I'm gonna lose my mind, you feel me?   Mmm hmm... similar to what I used to go through   Really?   Yes, and sometimes I still do   Yeah?   See it doesn't matter who you are Or where you're from If you struggle, God will use you   Amen sister, what you're saying is so true Rob are you there?   Yes, I'm just listening to the both of you It's so easy to say, but not so easy to do   Yes but if you stand the truth It will free you Just stand strong   Stand strong   With your head held high   With your head held high   Said it won't be long In time he will provide   Will he?   Yes he will   You just stay in the race   Just stay in the race   And keep on running   And down to the end   For your day is coming   The winds, the rain The storm The weapons that are formed against us The trying times The sleepless nights Just know that faith is with us Through all of the hills And valleys roamed Trust thatwe must come to Walk side by side Follow the light And we'll make it through   He'll give you peace In the midst of your storm   Sometimes I feel like it's too late for me   But he'll never leave you   No way   You just gotta hang on   Hang on   Robert say a prayer, keep your head God will do just what he said   Finally I think I get it   Yes, that's it That's the spirit  [Chorus: Kim Burrell+Kelly Price+R. Kelly] The winds, the rain The storm The weapons that are formed against us The trying times The sleepless nights Just know that faith is with us Through all of the hills And valleys roamed Trust that we must come to Walk side by side Follow the light And we'll make it through   So if you really want it..   ..yes, I do   Fall to your knees, and lift your hands. And now repeat after me and say Lord (God) I love you ( I love you) I've sinned (I've sinned) Forgive me (Forgive me) I'm sorry (I'm sorry) I love you (I love you) Please (Please) help me, Lord (Help me, Lord) I need you ( I need you), to come (to come) into (into) my life (my life) and save me (and save me) save me (save me) save me (save me) save me (save me) save me (save me) save me (save me) save me, yeah (save me) save me, yeah (save me) save me, yeah   I'm gonna have to call y'all back",0.9995,13,24,16,12,36,25,59,11,3,51
4,4,/songs/4361910,R. Kelly,Air,https://genius.com/R-kelly-air-lyrics,http://api.genius.com/songs/4361910,None,2020-02-26,"I can feel this club, yeah I can feel this drink, yeah I can feel a good vibe coming over me (Oh, I feel) I can feel a party, yeah It's somebody's birthday (Happy birthday) I can feel a groove, yeah I feel the dj I can feel joy (Joy) I can feel trust (Around me) I can feel people (People) And I can feel the love, yeah  And it's all in the air tonight And it's all in the air tonight, yeah It's all in the air tonight It's all in the air tonight  I can feel the high, yeah And I can feel the shots, oh I feel all the ladies in here (Ladies) Looking so hot, oh I feel I'm on top, yeah Feels like a good day, oh It feels like everybody is happy (Happy) And it makes me feel great, oh  And it's all in the air tonight, yeah (Yeah) And it's all in the air tonight, yeah (Oh) It's all in the air tonight, yeah (Oh) It's all in the air tonight, oh  So come on let's stop all this hating (Let's stop hating) Let's start celebrating Life is too short for all this drama, pain and madness (Oh yeah) Let's have drinks and party up until we see the morning (Morning, morning) And let's make a a toast to change (Let's make) Cause I feel it's coming  And it's all in the air tonight (Air tonight, oh) And it's all in the air tonight (Air tonight) (Oh) And It's all in the air tonight (Air tonight) I can feel it, yeah all around It's all in the air tonight (Air tonight) And I'm so glad that the spirit found me And it's all in the air tonight (Air tonight) Can you feel it in the air? Oh, yeah It's all in the air tonight (Air tonight) Blessings and miracles, yeah I'm claiming it, oh (Yeah) I'm claiming it, yeah I'm claiming it, oh (Yeah) You know I'm claiming it, yeah It's mine, ya'll (Yeah)",0.9962,5,15,0,4,16,5,18,2,6,10
5,5,/songs/484653,R. Kelly,All I Really Want,https://genius.com/R-kelly-all-i-really-want-lyrics,http://api.genius.com/songs/484653,TP-2.com,2000-11-07," Baby, we been knowing each other for a long long time For something like this to just go and break up everything   Here we are, just sitting here Knowing we're all alone My Rollie's looking at me Saying it's time to get it on You know what I want And baby, I know what you need So stop hesitating, girl And give your love to me   All I really want is to love you, baby Make your body feel like heaven, baby I just wanna satisfy ya, baby That's all I want, that's all I want I just wanna give ya something, baby Just wanna keep it coming, baby I just wanna make you happy, baby That's all I want, that's all I want   Though the fireplace is burning marshmallows just right To who it may concern You won't be coming home tonight Body parts that he DON'T kiss Girl, I will kiss for you Just put this CD on the repeat And let me pamper you   All I really want is to love you, baby Make your body feel like heaven, baby I just wanna satisfy ya, baby That's all I want, that's all I want I just wanna give ya something, baby Just wanna keep it coming, baby I just wanna make you happy, baby That's all I want, that's all I want   Now the swimming pool's out back Come on and skinny dip, baby Eat breakfast in the morning That'll be complements of me In the middle of the night There's no need for morning here So hold your pillow tight 'Cause I wanna do it again and again   All I really want is to love you, baby Make your body feel like heaven, baby I just wanna satisfy ya, baby That's all I want, that's all I want I just wanna give ya something, baby Just wanna keep it coming, baby I just wanna make you happy, baby That's all I want, that's all I want   ('Til the sun comes up) Baby, we'll be making love (And when the sun goes down) Still we won't have enough Take this love to you I will take care of all you need Baby, let's assure I just wanna set you free, free, yeah   All I really want is to love you, baby Make your body feel like heaven, baby I just wanna satisfy ya, baby That's all I want, that's all I want I just wanna give ya something, baby Just wanna keep it coming, baby I just wanna make you happy, baby That's all I want, that's all I want All I really want is to love you, baby Make your body feel like heaven, baby I just wanna satisfy ya, baby That's all I want, that's all I want I just wanna give ya something, baby Just wanna keep it coming, baby I just wanna make you happy, baby That's all I want, that's all I want All I really want is to love you, baby Make your body feel like heaven, baby I just wanna satisfy ya, baby That's all I want, that's all I want I just wanna give ya something, baby Just wanna keep it coming, baby I just wanna make you happy, baby That's all I want, that's all I want All I really want is to love you, baby Make your body feel like heaven, baby I just wanna satisfy ya, baby That's all I want, that's all I want I just wanna give ya something, baby Just wanna keep it coming, baby I just wanna make you happy, baby That's all I want, that's all I want",0.9993,0,24,0,0,69,0,76,0,6,12
6,6,/songs/2390792,R. Kelly,All My Fault,https://genius.com/R-kelly-all-my-fault-lyrics,http://api.genius.com/songs/2390792,The Buffet,2015-12-11, Nowhere to hide from the truth Cannot run from what I did to you There's nowhere for me to point the blame I did what I did and I'm so ashamed (That's my bad) I accuse myself (That's my bad) For what has happened here (That's my bad) It takes a man who's strong to admit when he's wrong And so I'm standing here to let you know   It's all my fault It's all my fault It's all my fault It's all my fault   No longer will I act like you caused all of this Won't turn around the truth no more I've made this nest Oh you deserve better than what I've shown you I pray for the chance to make it all up to you (That's my bad) I accuse myself (That's my bad) For what has happened here (That's my bad) It takes a man who's strong to admit when he's wrong And so I'm standing here to let you know   It's all my fault Yes It's all my fault And I'm sorry babe It's all my fault Said It's all my fault It's all my fault All my   First of all you're not the one whose been untrue Second of all you deserve someone who's good to you Third of all the last thing you need is to raise a man Fourth of all I realise without you I'm lost Get tired of lying to that mirror on the wall All of my fingers and I still can't count my flaws But you hide right in my hands and I dropped the ball   It's all my fault It's all my fault It's all my fault I did it to myself Said It's all my fault See I made my bed It's all my fault And now I gotta lay in it lay in it lay in it It's all my fault No-one else but me,-0.9834,10,4,9,9,2,30,9,24,3,8
7,7,/songs/32013,R. Kelly,All of My Days,https://genius.com/R-kelly-all-of-my-days-lyrics,http://api.genius.com/songs/32013,Space Jam: Music From and Inspired by the Motion Picture,1996-11-12," Changing Faces, Jay Z, R Kelly Uh, yeah, Jigga, uhu Changing Faces   How we do Yo, all of my rhymes for, all of my days I trade All of my dimes and all of my bad ways I fade Killing late nights cruisin' All you see is the brake lights And hair blowing you know where we going Or at the club in the rear frontin' Poppin, droppin' The amount some cats but will wear ain’t trying to hear nothing Probably was wilder than Bobby are you the Whitney to get me Hold me down and make me slow down the v twizzy Keep the ice out the club lights change face Get ""i love wifey"" on the license plates Wait – make me think about you even when you not around Use the bathroom, put the toilet seat back down Cop you some sprinkles the hound with the wrinkles If preferred his and her furs to the ankles Keep your friends buggin' lovin' all my ways Jigga keep you jiggy all of my days   In the middle of the night Got me thinkin' 'bout you babe Got me dreamin' 'bout you baby   All that I have All that I have Baby it's yours Baby it's yours forever and ever baby All I want is to be with you all of my days All I want all I need All I want is to be with you all of my days All I want baby   Anything that turn you on I'll be givin' it to you babe You dont have to worry baby  (Hook: Changing Faces)   Yeah ha ha, check it   All I want, all I need Is you in my life, loving me All I want, all I need Is you in my life (Uh huh) Loving me   Now we going house shoppin' Everybody want to know the price your spouse droppin' Keep it on the low R Kelly style it’s quite shockin' A year ago all I did was spend nights hoppin' In the club in search of pretty faces and nice stockings Who would have thought i’d walk down the aisle Rice droppin' got you a nice rock and … Now it’s on and poppin' droppin' hotter than platinum bracelets Jigga – R Kelly – Changing Faces Uh  ",0.993,4,4,2,5,12,11,13,4,0,8
8,8,/songs/1547450,R. Kelly,All Rounds on Me,https://genius.com/R-kelly-all-rounds-on-me-lyrics,http://api.genius.com/songs/1547450,Write Me Back,2016-01-26,"Hey, me and my baby got into a fight Man, it must've lasted all through the night By the time we rest the crawl at the crack of the light We made love, now everything's alright All rounds on me 'cause I feel good tonight Said, all rounds on me 'cause I feel good tonight Ye-yeah, I'm back with my baby Everything gonna be alright  Hey, bartender fix up a drink for everybody in here tonight Smell in my face and I'm ready to rock No bad news tonight Where the band is crookin', the girls are looking And I only want a night We and my baby reunited Feels so outside Told her I was sorry, she said she forget me We gon' make some love tonight Where the joy is swinggin' and everybody's singing Rock 'n roll songs tonight  Hey, all rounds on me 'cause I feel good tonight Said, all rounds on me 'cause I feel good tonight Ye-yeah, I'm back with my baby Everything gonna be alright All rounds on me, all rounds on me, all rounds on me All rounds on me, all rounds on me, all rounds on me Ye-yeah, I'm back with my baby Everything gonna be alright He-e-ey!  Oh, everything I own I'm gonna give it to my baby Lou girl, know she drives me crazy Last call and the party's over We're going to a motel room and we're gonna make some love Shots on me 'cause feel real good tonight Ye-yeah, I'm back with my baby Everything gonna be alright All rounds on me, all rounds on me, all rounds on me All rounds on me, all rounds on me, all rounds on me  Said I'm back with my baby Everything gon' be alright Hey, hey, hey Hey, hey, hey Alright (alright)! Hey, hey, hey Hey, hey, hey Alright (alright)!",0.9879,5,7,3,4,17,8,21,3,6,7
9,9,/songs/294028,R. Kelly,All The Way,https://genius.com/R-kelly-all-the-way-lyrics,http://api.genius.com/songs/294028,Black Panties,2013-12-06," We gonna let it smoke What’s baby? I wanna hit that You wanna hit this? Let's go   It’s 3am and I’m not with him It’s the moment that I know we’ve both been waiting for Now we can pretend we’re together again In the dark letting this slow chill take control And we ain’t supposed to be doin this We know the consequence But we’re past the limit and there ain’t no turnin’ back now You already got my body gripped Yeah boy you know I like that shit So we’re past the limit And there ain’t no turnin’ back now   Might as well go all the way Hey there ain’t no such thing as a half mistake So baby boy we might as well go all the way Might as well go all the way Might as well go all the way You don’t know if your addicted till you relapse  [Verse 2: R. Kelly] From detox of lovin’ each other If just for an hour or two or three Till six in the morning Do you have a good excuse To be on the down low with me In the tele suite We know that we ain’t supposed to be doin this We know the consequence But we’re past the limit And there ain’t no turnin back now I already got the Magnum glove You already got your ass poked up So we’re past the limit And there ain’t no turnin back now    [Bridge: Kelly Rowland + R. Kelly] I’m right back smokin’ you You’re right back injectin’ me Love is in our veins ain’t it I’m right back smokin’ you You’re right back injectin’ me Guess there ain’t no cure We might as well go all the way   You know you’re wrong for this, I know And I know you’ve got somebody, Oh well baby But he ain’t here no So we might as well, might as well, do what we wanna do You know how I like it, oh boy Don’t it feel good to be back together If only for a moment, a minute, an hour For just one night, one night About to hit it out the park again Going, going, going gone Going, going, going gone Going, going, going gone Close the curtains, potential remix",0.6662,4,2,4,1,6,12,8,3,3,4
