,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2383473,Rachel Platten,Angels in Chelsea,https://genius.com/Rachel-platten-angels-in-chelsea-lyrics,http://api.genius.com/songs/2383473,Wildfire ,2016-01-01," Last night I saw a suit give a buck to a bum Twenty feet down the street, someone yelling, look up Some girl, maybe eighteen, probably drunk Just in time, out the way of a bus   And maybe things are finally getting better, better Maybe everyone is finally fed up enough Maybe all the clouds are gonna let up, let up   Brown bags, sky high, I see angels in Chelsea Wall Street, chic life, I see angels in Chelsea Lost souls pass by through the chain link and concrete And everywhere I look tonight, I see angels around me And everywhere I look tonight, I see angels in Chelsea   Spring Street, hear a busker singing the blues 'Bout peace in the world and some money for food And little kid says, ""I'm gonna be like you A superstar, and I'ma make a difference too And I'ma make a difference too""   And maybe things are finally getting better, better Maybe everyone is finally fed up enough Maybe all the clouds are gonna let up, let up   Brown bags, Sky high, I see angels in Chelsea Wall Street, chic life, I see angels in Chelsea Lost souls pass by through the chain link and concrete And everywhere I look tonight, I see angels around me And everywhere I look tonight, I see angels in Chelsea   Subway, saw a woman in a beautiful dress Head down in her hands, makeup a mess Young mom, two kids, holes in their shoes Says I've been there too, and you're gonna get through Yeah, I've been there too and you're gonna get through   Brown bags, Sky high, I see angels in Chelsea Wall Street, chic life, I see angels in Chelsea Lost souls pass by through the chain link and concrete And everywhere I look tonight, I see angels around me And everywhere I look tonight, I see angels in Chelsea   I see them living in the cold streets I see angels in Chelsea I see angels around me All these angels in Chelsea All these angels around me All these angels around me I see angels in Chelsea",0.9531,2,26,6,1,28,8,32,5,25,26
1,/songs/2383474,Rachel Platten,Astronauts,https://genius.com/Rachel-platten-astronauts-lyrics,http://api.genius.com/songs/2383474,Wildfire ,2016-01-01," Let's meet up far away Where astronauts and gravity Have opened up the atmosphere We'll be so safe up here Navigating the space We'll create our own star And I'll name it after you We'll be so calm up there We'll fly around with the quiet air The sun will bring us 'round again Inhaling and orbiting Our great planet will fit on the tip of your thumb You'll say I finally see how time stops And everything that hurts us drops off   I'll be what you want When everything is gone Let the world disappear There are places up here we can hide We'll be safe way up high Somewhere only we can find   And no one’s safe from being called out or evaluated And people change on a whim So cue the violence Let's go rescue a planet that's been thrown away (yeah) You'll name it after me 'Cause after all we're only one triumphant bang away From resting in infinity or darkness or some brighter place Let's not waste one more second on caring about Trying to figure out what looks right 'Cause that can't take away that you're mine   I'll be what you want When everything is gone Let the world disappear There are places up here we can hide Somewhere only we can find I'll be what you want when everything is gone Let the world disappear There are places up here we can hide We'll be safe way up high Somewhere only we can find   My, suddenly the stars are flashlights The universe will make your eyes shine Can't you feel away that time stops? Everything that hurts drops off   Now I'll be what you want When everything is gone Let the world disappear There are places up here we can hide Somewhere only we can find I'll be what you want when everything is gone Let the world disappear There are places up here we can hide We'll be safe way up high Somewhere only we can find",0.9639,5,11,3,16,14,7,17,6,6,12
2,/songs/1800222,Rachel Platten,Beating Me Up,https://genius.com/Rachel-platten-beating-me-up-lyrics,http://api.genius.com/songs/1800222,Wildfire ,2015-05-12," We threw words like they were sharp knives Felt like we tripped over a landmine You said we lost love, you made your mind up And I just got quiet, my body went numb And I pretend that I can handle it And if I hold my head up, I won't drown I can't let go, you're like the chemical You're racing through me, my heart just pounds, pounds, pounds...   It's getting louder and louder Every time I think about you, about you I'll be better off without you, without you I wish my heart would stop, wish my heart would stop Beating me up (Whoa, oh, whoa) Beating me up (Whoa, oh, whoa) Beating me up   You've moved on, I know I should too My cuts are all gone, my pain feels brand new Who turned the lights down? Who took my flashlight? Why does my heart sound like it might burst tonight?   It's getting louder and louder Every time I think about you, about you I'll be better off without you, without you I wish my heart would stop, wish my heart would stop Beating me up (Whoa, oh, whoa) Beating me up (Whoa, oh, whoa) Beating me up (Whoa, oh, whoa) I wish my heart would stop (Whoa, oh, whoa) I wish my heart would stop   I won't let you get the best of me How'd my heart become my enemy? I won't let you get the best of me How'd my heart become my enemy? (Beating me up, beating me up) (Beating me up, beating me up)   It's getting louder (louder, louder) Every time I think about you (about you, about you) I'll be better off without you (without you, without you) I wish my heart would stop I wish my heart would stop Beating me up (Whoa, oh, whoa) Beating me up (Whoa, oh, whoa) Beating me up (Whoa, oh, whoa) Whoa, whoa Wish my heart would (Whoa, oh, whoa) Wish my heart would stop Beating me up Beating me up",-0.9931,20,3,2,19,1,25,3,19,0,1
3,/songs/590011,Rachel Platten,Begin Again,https://genius.com/Rachel-platten-begin-again-lyrics,http://api.genius.com/songs/590011,None,2019-03-15, I need a wrecking ball I want the sky to fall God I feel so small tonight I need a wrecking ball I could crash and fall Could it break my walls And make it right Can I begin again? Can I begin again?   I need a tidal wave Come and wash away All the mess I made to make it right I need to make it right   I need a big move I need a sharp knife I need to cut these scars Right out of my life I need a big move I need a sharp knife Need to be shaken up tonight I need a wrecking ball   Feel paralyzed Like I'm frozen in time Just wanna close my eyes Make it go away When did everything fall apart When did the nightmares start Why is it so hard To find away to begin again Oh to begin again   But I need big move I need a sharp knife I need to cut these scars Right out of my life I want a big move I need a sharp knife Need to be shaken up tonight I need a wrecking ball   I wanna a wrecking ball Cause I'ma wreck Yeah cause I'ma wreck I need a wrecking ball Come and break my walls,-0.8805,5,3,5,8,1,12,2,9,6,1
4,/songs/2393479,Rachel Platten,Better Place,https://genius.com/Rachel-platten-better-place-lyrics,http://api.genius.com/songs/2393479,Wildfire ,2015-12-18," I'll tell the world, I'll sing the song It's a better place since you came along Since you came along Your touch is sunlight through the trees Your kisses are the ocean breeze Everything's alright when you're with me   And ah, you're my favorite thing Ah, all the love that you bring But it feels like I've opened my eyes again And the colors are golden and bright again There's a song in my heart, I feel like I belong It's a better place since you came along It's a better place since you came along   I see the whole world in your eyes It's like I've known you all my life We just feel so right So I pour my heart into your hands It's like you really understand You love the way I am   And ah, you're my favorite thing Ah, all the happiness you bring But it feels like I've opened my eyes again And the colors are golden and bright again And the sun paints the skies And the wind sings our song It's a better place since you came along It's a better place since you came along Ooooohhh, aaahhhh Ooooohhh   Now I'm alright, now I'm alright Everything's alright   'Cause it feels like I've opened my eyes again And the colors are golden and bright again There's a song in my heart, I feel like I belong It's a better place since you came along It's a better place since you came along",0.998,1,5,1,0,9,0,10,1,3,5
5,/songs/2838688,Rachel Platten,Bright Star,https://genius.com/Rachel-platten-bright-star-lyrics,http://api.genius.com/songs/2838688,None,2019-03-15," When you think you're gonna cry Cause you feel too much sometimes Dreading when it's quiet When your heart's convinced you that you're a mess Know it's just an organ in your chest, yeah You can try to let go Of all the weight you're holding Yeah let it crash, fall See you were never broken Even for one night Even for just a moment You might see what I see   Look at you shining like a bright star, baby, tonight You're gonna get so high Look at you blowing up, it's your sky, baby, tonight You're gonna get so high You never were alone, you just had to be shown Even if you try to hide it, I can see the light you're shining Look at you blowing up, it's your sky, baby, tonight Yeah tonight it's your night   When you think you're gonna break Cause you gave your best that day But it was not enough Or you lost something you loved that can't be replaced Oh you feel you're stuck just running in place Well, although it feels hard I swear the pain is worth it And all your big scars Well they make you perfect   Look at you shining like a bright star, baby, tonight You're gonna get so high Look at you blowing up, it's your sky, baby, tonight You're gonna get so high You never were alone, you just had to be shown Even if you try to hide it, I can see the light you're shining Look at you blowing up, it's your sky, baby, tonight Yeah tonight it's your night   Look at you shining like a bright star, baby, tonight You're gonna get so high Look at you blowing up, it's your sky, baby, tonight You're gonna get so high You never were alone, you just had to be shown Even if you try to hide it, I can see the light you're shining Look at you blowing up, it's your sky, baby, tonight Yeah tonight it's your night",0.9849,2,12,3,8,21,9,29,9,3,7
6,/songs/3183491,Rachel Platten,Broken Glass,https://genius.com/Rachel-platten-broken-glass-lyrics,http://api.genius.com/songs/3183491,Waves,2017-08-18," I'm on a highway full of red lights I lost so many long nights Felt words that cut like knives I know, I know they're gonna say what they wanna And I know they're gonna say what they want   But I feel it changing, I can taste it I'm on the wave and I won't waste it I have been patient, but I'm not waiting anymore Not anymore, no   I'm gonna dance on broken glass, on broken glass And I'm gonna make that ceiling crash, that ceiling crash So what? Still got knives in my back So what? So I'm tied to the tracks Yeah, I'm gonna dance on broken glass And here I go, here I go (Oh, oh, oh) Yeah, here I go, here I go (Oh, oh, oh) Yeah, here I go, here I go   So I'll bet on me and my own heartbeat When all the odds are piling like bricks around my feet You know, you know it's more than, more than just for me You know it's worth it I still believe, yeah yeah   I'm gonna dance on broken glass, on broken glass And I'm gonna make that ceiling crash (uh), that ceiling crash So what? Still got knives in my back So what? So I'm tied to the tracks Yeah, I'm gonna dance on broken glass And here I go, here I go (Oh, oh, oh) Yeah, here I go, here I go (Oh, oh, oh) And here I go, here I go   Through to the other side, baby, I survive 'Cause you know I'm a fighter Through to the other side, baby, I'm on fire 'Cause you know I'm a survivor Through to the other side, baby, I survive 'Cause you know I'm a fighter Through to the other side, baby, I'm on fire, fire, fire   I'm gonna dance on broken glass, on broken glass And I'm gonna make that ceiling crash (uh), that ceiling crash So what? Still got knives in my back So what? So I'm tied to the tracks Yeah, I'm gonna dance on broken glass And here I go, here I go (Oh, oh, oh) Yeah, here I go, here I go (Oh, oh, oh) And here I go, here I go",-0.9892,9,5,1,19,10,17,16,16,6,7
7,/songs/3262257,Rachel Platten,Collide,https://genius.com/Rachel-platten-collide-lyrics,http://api.genius.com/songs/3262257,Waves,2017-10-20," Lately, I feel like I'm pushing you away Acting moody for no reason And even though you know I'm always gonna stay I've been talking like I'm leaving I don't know why I keep playing these dumb games Love is not a competition No one's winning when I'm pushing you away Sometimes darkness is a prison   Turn the lights on, honey, honey, I don't wanna hide Turn the lights on, honey, I'm surrendering tonight Although I'm not perfect, I feel perfect in your eyes Turn the lights on, honey, I don't really wanna hide, not tonight Come and crash into me 'cause I want us to collide Collide, collide, collide Collide, collide, collide   Look into my eyes and tell me we're okay And we both can be forgiven Kiss me gently, say the things you wanna say You don't need to ask permission I'm a stormy ocean, but you're steady And I'm all commotion, but you get me Too many emotions, but you let me Let me blossom in the dark   Turn the lights on, honey, honey, I don't wanna hide Turn the lights on, honey, I'm surrendering tonight Although I'm not perfect, I feel perfect in your eyes Turn the lights on, honey, I don't really wanna hide, not tonight Come and crash into me 'cause I want us to collide Collide, collide, collide Collide, collide, collide   I'm a stormy ocean, but you're steady I'm like all commotion, but you get me Too many emotions, but you let me Let me blossom in the dark   Turn the lights on, honey, honey, I don't wanna hide Turn the lights on, honey, I'm surrendering tonight Although I'm not perfect, I feel perfect in your eyes Turn the lights on, honey, I don't really wanna hide, not tonight Come and crash into me 'cause I want us to collide Collide, collide, collide Collide, collide, collide Collide, collide, collide Collide, collide, collide",-0.9797,5,9,1,13,11,15,34,12,7,17
8,/songs/1872892,Rachel Platten,Congratulations,https://genius.com/Rachel-platten-congratulations-lyrics,http://api.genius.com/songs/1872892,Wildfire ,2016-01-01," I'm stupid and confused My ego's raw and bruised Your words were weapons and They tore me down again Replay our conversation You threw your accusations I'm always so complacent I never change the station   Help me find a sharper knife I need to cut you out my life I take it all; I let it slide But hey, you went too far this time   Congratulations, got what you wanted You're winning now Congratulations, you got your shot in You wore me down And I really don't think you get it now No, I really don't think you get it now It's killing me, I admit it now Congratulations, you tore my heart out Congratulations   It must feel good digested To be so damn aggressive But the pounding in my chest is Begging for protection You think you're innocent Pure gold and heaven-sent, but My tears are instruments and They sound like consequences   Help me find a sharper knife I need to cut you out my life I take it all; I let it slide But hey, you went too far this time   Congratulations, got what you wanted You're winning now Congratulations, you got your shot in You wore me down And I really don't think you get it now No, I really don't think you get it now It's killing me, I admit it now Congratulations, you tore my heart out Congratulations   Save me from myself, 'cause I Need somebody's help Yeah, I dig the deepest wells And I get lost You, you got it all, I guess And me, I'll take the fall for this Ohh   Help me find a sharper knife I need to cut you out my life I take it all; I let it slide But hey, you went too far this time   Congratulations, got what you wanted You're winning now Congratulations, you got your shot in You wore me down And I really don't think you get it now No, I really don't think you get it now It's killing me, I admit it now Congratulations, you tore my heart out Congratulations (Congratulations)",0.9974,9,7,5,8,5,13,14,11,8,13
9,/songs/3268161,Rachel Platten,Even If It Hurts,https://genius.com/Rachel-platten-even-if-it-hurts-lyrics,http://api.genius.com/songs/3268161,Waves,2017-10-27," Used to be, used to be love Used to be you and me, love Now, there's no love Used to feel, used to feel good Used to feel right where I should Now, it's no good Ooh, thought you were the one Ooh, now look what you've done    I don't wanna compromise Or cave when I see you tonight   Maybe I'll be brave When we're face to face, and you say sorry Maybe I won't break When I wanna stay with my whole body I need to stop needing you And this is the right thing to do, oh, I know (I know) Even if it hurts to let you go   Used to have, used to have fun More with you than anyone Now, it's no fun Can't catch the tears as they come Tasting the salt on my tongue Drown in my lungs Ooh, I thought you were the one Ooh, now what have we done?   I don't wanna compromise Or cave when I see you tonight   Maybe I'll be brave When we're face to face, and you say sorry Maybe I won't break When I wanna stay with my whole body I need to stop needing you And this is the right thing to do, oh, I know (I know) Even if it hurts to let you go Maybe I can choose to be okay with being lonely Maybe I can prove that without you, I'm still somebody I need to stop needing you And this is the right thing to do, oh, I know (I know) Even if it hurts to let you go   Whoa-oh, oh oh, oh oh, oh oh, oh Even if it hurts Whoa-oh, oh oh, oh oh, oh oh, oh Even if it hurts   I don't wanna compromise Or cave when I see you tonight   Maybe I'll be brave When we're face to face, and you say sorry Maybe I won't break When I wanna stay with my whole body I need to stop needing you And this is the right thing to do, oh, I know (I know) Even if it hurts to let you go Maybe I can choose to be okay with being lonely Maybe I can prove that without you, I'm still somebody I need to stop needing you And this is the right thing to do, oh, I know (I know) Even if it hurts to let you go   Whoa-oh, oh oh, oh oh, oh oh, oh Whoa-oh, oh oh, oh oh, oh oh, oh Even if it hurts to let you go",-0.8092,10,6,2,11,7,11,12,11,6,5
