,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3692127,Rae Sremmurd,"""42""",https://genius.com/Rae-sremmurd-42-lyrics,http://api.genius.com/songs/3692127,SR3MM,2018-05-04," Yeah Hey, hey, hey Word Uh, uh   European size, that's a 42 (42) Left from the scene being cordial (yeah) European bitch payin' more than you Young nigga hot, that's scorchin' (I'm hot) Walk in the store, that's a shoe sale (Swae) And all my bitches get Chanel (Chanel) Drop the top and they eyes super glued (drop it) Fuck the check up, that's how we do   MILFs fuckin' with me like I'm 42 (hey), baby ass soft, that's Gucci goo (ooh) In the new Lou', skip to my lou (yeah), whippin' up checks like tofu (whip it) Gone, but I'm back in a few (gone), plush carpet, got no shoes (shoes) In a one-seater with no room (no room), do a donut, then swoop (skrrt) Drop a nigga cash like, ""Oops"" (yeah), smokin' on loud, go mute (smoke) Eatin' my meals like stew (stew), makin' that bitch look cute (cute) Pickin' these cars like fruit, pickin' these girls like fruit Super sweet for a spa day, and I wan' fuck a masseuse Me and my juvies, divvy it up with the juvies The money a discus, just by the way that I threw it VVS movin', sir, you better cool it (yeah) Engine is vroomin', in other words, bitch I'm zoomin'   European size, that's a 42 (42) Left from the scene being cordial (being cordial) European bitch payin' more than you (ayy) Young nigga hot, that's scorchin' (scorching) Walk in the store, that's a shoe sale (show sale) And all my bitches get Chanel (ayy) Drop the top and they eyes super glued Fuck the check up, that's how we do   Ayy, ayy, European size bitch, 42 (42) European move in a Bentley Coupe (Bentley Coupe) And I'm gettin' head like shampoo (shampoo) Cop some ice, you can brag too (ayy) My cash do the same thing the grass do (grass do) If her ass got bounce, it's a natural (it's a natural) Valentino boots had to snag 'em (snag 'em) I be throwin' bands like a tantrum (tantrum) Nigga so goofy, I'm laughin' (ayy) Might buy that watch with my backend (back end) Leave out the mall with baggage (baggage) Foreign car, stoppin' up traffic Ayy, I ain't cappin' (no cappin') Shoes with the holes, that was back then (that was back then) Rollin' big blunts, not passin' (we ain't passin') Gotta keep a slut for the action (ayy, ayy, Jxm) And I can't let them squares in my circle (no squares) Private plane and I don't do commercial (commercial) All my niggas' gon' get it, no turtles (no turtles) Havin' kids with the money, I'm fertile (I'm fertile) Roll me up a Backwood of that purple (that purp') Got them Gucci shades on like I'm Urkel (I'm Urkel) Got the European drip like I'm Virgil (ayy)   European size, that's a 42 (42) Left from the scene bein' cordial (yeah) European bitch paying more than you Young nigga hot, that's scorchin' (I'm hot) Walk in the store, that's a shoe sale (Swae) And all my bitches get Chanel (Chanel) Drop the top and they eyes super glued (drop it) Fuck the check up, that's how we do (ayy)   In the front seat, givin' more juice, send me that rum, not Grey Goose Nigga, y'all lookin' like sore losers, it's a straight shot, oops, I mean straight shooter I chief and I cough up a gasbag, throw cash, I don't care where it land at Louis V lookin' like grab bag, my pockets really stuffed, like jam-packed I go continent to continent (yeah), got a bitch in every continent I'ma buy the whole store, call it shoplift, Telemundo, they watchin' it Supa' G's for the lottery, it's increasin' our bottom end Yeah, the boss niggas coppin' it, care less if it cost a bit Lemme Tokyo Drift (drift), lemme six-gear shift Bought my bitch a new Range Rover and a big box of chocolate Go pack up that old lifestyle, baby, my life's too wild Fuckin' that bitch for a while, diamonds they hit like wow   European size, that's a 42 (42) Left from the scene being cordial (yeah) European bitch payin' more than you Young nigga hot, that's scorchin' (I'm hot) Walk in the store, that's a shoe sale (Swae) And all my bitches get Chanel (Chanel) Drop the top and they eyes super glued (drop it) Fuck the check up, that's how we do   That's how we do That's how we do European size, that's a 42 European size, that's a 42",-0.9938,33,23,17,22,15,32,39,19,13,19
1,/songs/3692399,Rae Sremmurd,Bedtime Stories,https://genius.com/Rae-sremmurd-bedtime-stories-lyrics,http://api.genius.com/songs/3692399,SR3MM,2018-05-04," Ear Drummers Marzarati, Marzarati, Marzarati Mike WiLL Made-It   I'm not tryna tell you bedtime stories I'm not like those other niggas talkin' to you I'm not lookin' at you, I'm lookin' right through you Said I'm not like those other niggas that pursue you You know, tell me you know Tell me you know, tell me you know Tell me you know, tell me you know Tell me you know, tell me you know, yeah   Oh, girl, stop that right there Fallin' in love, not your worst nightmare Oh, girl, you can stop that right there Fallin' in love, not your worst nightmare   Go ahead and say it You feel every word that I'm sayin' Hundred somethin' thousand on the table I ain't mean to throw it in your face I don't wanna play those games I'm not tryna hide my pain Nigga say he's ballin', I'm like same, same, same, same She love a different nigga every day   I'm not tryna tell you bedtime stories I'm not like those other niggas talkin' to you I'm not lookin' at you, I'm lookin' right through you Said I'm not like those other niggas that pursue you You know, tell me you know (tell me you know) Tell me you know, tell me you know (tell me you know) Tell me you know, tell me you know (tell me you know) Tell me you know, tell me you know, yeah (Jxm, ayy)   You tell me lies, you tell me lies and I'ma listen (ayy, ayy) You outta your mind, and I'm a witness (I'm nasty at all) I'm diggin' your vibe, I'm diggin' your vision (diggin' your vision) And in the night, we do no kissin', ayy (ain't doin' no kissin') I can come but I can't stay (yeah) Just put that love on layaway (lawaway) It's always you I put in first place (it's always you) It's always you I put in first place (ayy)   But ayy, girl, you can stop right there (yeah, there) Fallin' in love is my worst nightmare (can't do it) I said, ayy, girl, you can stop that there (woah, stop it) Fallin' in love is my worst nightmare (Jxm!)   I'm not tryna tell you bedtime stories I'm not like those other niggas talkin' to you I'm not lookin' at you, I'm lookin' right through you Said I'm not like those other niggas that pursue you You know, tell me you know Tell me you know, tell me you know Tell me you know, tell me you know Tell me you know, tell me you know, yeah   Oh, girl, you can stop that right there Fallin' in love, not your worst nightmare   Hittin' me with that cold stare Sayin', ""Can you help me take these down?"" Talkin' about your box braids Five minutes later, I'm takin' you down Now you're callin' my name Thinkin' of me when you're out and about Ooh, pray for your crew Pray for your crew, make 'em salute Watch how I move, cash comin' through Watch what you do and what you choose   I'm not tryna tell you bedtime stories I'm not like those other niggas talkin' to you I'm not lookin' at you, I'm lookin' right through you Said I'm not like those other niggas that pursue you You know, tell me you know Tell me you know, tell me you know Tell me you know, tell me you know Tell me you know, tell me you know, yeah",0.9634,4,7,3,13,11,10,16,4,2,8
2,/songs/2819932,Rae Sremmurd,Black Beatles,https://genius.com/Rae-sremmurd-black-beatles-lyrics,http://api.genius.com/songs/2819932,SremmLife 2,2016-08-12," Black Beatles in the city Be back immediately to confiscate the moneys (Ear Drummers) Rae Sremm, Guwop, Mike WiLL! I sent flowers, but you said you didn't receive 'em But you said you didn't need 'em (Mike WiLL!)   That girl is a real crowd pleaser Small world, all her friends know of me Young bull livin' like an old geezer Quick release the cash, watch it fall slowly Frat girls still tryna get even Haters mad for whatever reason Smoke in the air, binge drinking They lose it when the DJ drops the needle   Getting so gone I'm not blinkin' What in the world was I thinkin'? New day, new money to be made There is nothin' to explain I'm a fuckin' black Beatle, cream seats in the Regal Rockin' John Lennon lenses, like to see ‘em spread eagle Took a bitch to the club and let her party on the table Screamin', ""Everybody's famous!"" Like clockwork, I blow it all And get some more Get you somebody that can do both Black Beatles got the babes belly rollin' She think she love me, I think she trollin'   That girl is a real crowd pleaser Small world, all her friends know of me Young bull livin' like an old geezer Quick release the cash, watch it fall slowly Frat girls still tryna get even Haters mad for whatever reason Smoke in the air, binge drinkin' They lose it when the DJ drops the needle   Came in with two girls, look like strippers in their real clothes A broke ho can only point me to a rich ho A yellow bitch with green hair, a real weirdo Black man, yellow Lamb', red light go They seen that Guwop and them just came in through the side door There's so much money on the floor we buyin' school clothes Why you bring the money machine to the club for? Pint of lean, pound of weed, and a kilo I Eurostep past a hater like I'm Rondo I upgrade your baby mama to a condo Like Chapo servin' yayo to the gringos Black Beatle, club close when I say so   That girl is a real crowd pleaser Small world, all her friends know of me Young bull livin' like an old geezer Quick release the cash, watch it fall slowly Frat girls still tryna get even Haters mad for whatever reason Smoke in the air, binge drinkin' They lose it when the DJ drops the needle   She's a good teaser, and we blowin' reefer Your body like a work of art, baby Don't fuck with me, I'll break your heart, baby D&G on me, I got a lot of flavor 15 hundred on my feet, I'm tryna kill these haters I had haters when I was broke, I'm rich, I still got haters I had hoes when I was broke, I'm rich, I'm still a player I wear leather Gucci jackets like it's still the 80s I've been blowin' OG Kush, I feel a lil' sedated I can't worry about a broke nigga or a hater Black Beatle, bitch, me and Paul McCartney related   That girl is a real crowd pleaser Small world, all her friends know of me Young bull livin' like an old geezer Quick release the cash, watch it fall slowly Frat girls still tryna get even Haters mad for whatever reason Smoke in the air, binge drinkin' They lose it when the DJ drops the needle",-0.9513,21,21,12,26,25,39,44,29,16,29
3,/songs/3692406,Rae Sremmurd,Buckets,https://genius.com/Rae-sremmurd-buckets-lyrics,http://api.genius.com/songs/3692406,SR3MM,2018-05-04," Yeah, uh, Uncle Jxm (Maserati) Uh, Sremm born with it When you come from the bottom then you gon' spend it Ear Drummers   Fuck it, ball (ayy) Fuck it, I'm ballin' (wasn't born with it) Fuck it, I'm ballin Fuck it (ayy), I'm ballin' (skrrt) Fuck it, ball Fuck it, I'm ballin' Fuck it, I'm ballin' (ayy) Fuck it   I just woke up this mornin' On that bullshit, where the fuck am I goin'? Gotta get some money, I ain't even got one cent How the fuck the nigga finna go and get a lunch meal? All that's on my mind is I gotta get a dollar, dollar, dollar (get it) Hit up my partner Mike, we gotta get some guala (Mike with it) Everywhere we go, man, we fuckin' shit up (skrrt) Passed her two cups, told her mix that shit up   Fuck it (Sremm life), ball (yeah) Fuck it, I'm ballin' (wasn't born with it) Fuck it, I'm ballin (yeah) Fuck it (ayy), I'm ballin' Fuck it   I just get lost in these mothafuckin' drugs (yeah) I might just get lost inside of this drug (ah) Don't let me get lost inside of this cup (yeah) Don't let me get lost inside of this cup (Slim Jxmmi)   Candy paint and some vogues on these ho niggas Bitch, don't come for me if I ain't send you, I ain't no ho, nigga They done got back in their feelings, they some old niggas They put up 28s on a Chevy, and it got drip on it Got a little bit of Promethazine in that cup, I'm 'bout to sip on it I turned a U-turn on Moreland, got that lift on it (skrrt, skrrt) See back in 2003 when they wasn't hip to me I was sellin' them breakdowns, tell the truth I was tryna live through it They keep a liquor store on every damn corner They hop up out the paddy wagon, run up on us They tryna search us every day, we ain't got nothin' on us I drink that lean every day like it's a Corona   Fuck it, ball (ayy) Fuck it, I'm ballin' (wasn't born with it) Fuck it, I'm ballin Fuck it (ayy), I'm ballin' (skrrt) Fuck it, ball Fuck it, I'm ballin' Fuck it, I'm ballin' (ayy) Fuck it   Cut down the net, Swae Lee put them points up (buckets) Put them tens up (yeah), both hands, I slam dunk (woo) What's in my cup, that's wonderful stuff (juice) Nah, these ain't drugs (huh?), but even if they was I'd be focused on the prize (focused), Trey ball every time (yo) Flex like exercise (hey), shot clock, never mind that 'Cause we pull it at the perfect time (we pull it) Ball like Porziņģis, and your foot was on the line (you blew it) Couple hundred, I'll sign (sign)   Buckets, ballin' Buckets (woo), I'm ballin' Couple thousand, I'm ballin' (woo) In front of millions, I'm ballin' (ayy, ayy, ayy)   Fuck it (Sremm life), ball (yeah) Fuck it, I'm ballin' (wasn't born with it) Fuck it, I'm ballin (yeah) Fuck it, I'm ballin' Fuck it, ball (yeah) Fuck it, I'm ballin' (ah) Fuck it, I'm ballin' (yeah) Fuck it, I'm ballin' (Slim Jxmmi) Fuck it   Post up, post up, post up Blow up, roll up, roll up Hol' up, hol' up, hol' up Hol' up Post up, post up, post up Post up, post up, post up Hol' up, hol' up, hol' up Hol' up, hol' up, hol' up Hol' up, hol' up Hol' up, hol' up, hol' up Post up, post up, hol' up, post up, hol' up, post up Hol' up, hol' up, post up Wasn't born with it Post up, post up, post up",-0.9977,11,7,5,4,5,16,14,9,5,8
4,/songs/2401700,Rae Sremmurd,By Chance,https://genius.com/Rae-sremmurd-by-chance-lyrics,http://api.genius.com/songs/2401700,SremmLife 2,2016-01-04," These yours? Yeah It’s purp, purp purp, yeah   Bad bitch with a tan Do you know one by chance? Hundred bands in the Lamb' Do you have one by chance? Need to see the Xan man Do you know him by chance? A Ziploc full of kush Are you plugged in, by chance? Bad bitch with a suntan Do you know one by chance? Hundred bands in the Lamb' Do you have one by chance? Need to see the Xan man Do you know him by chance? A Ziploc full of kush Are you plugged in, by chance?  [Verse 1: Swae Lee & (Slim Jxmmi)] Pick a price for me, please We can spend whatever Camera lights bounce off my shiny bezel Kill the lights, would you? I am on my level Flexin' like I've been up in the gym forever All these bitches give me brain, damn they sure is clever I took a bitch out, let her shop 'til she drop All these big bags come at once like nonstop Ridin' droptop so I can't even hotbox We can spend whatever Young Swae Lee, damn, check out my bezel I blow lots of cash cause I won't live forever (do it)   Bad bitch with a tan Do you know one by chance? Hundred bands in the Lamb' Do you have one by chance? Need to see the Xan man Do you know him by chance? A Ziploc full of kush Are you plugged in, by chance? Bad bitch with a suntan Do you know one by chance? Hundred bands in the Lamb' Do you have one by chance? Need to see the Xan man Do you know him by chance? A Ziploc full of kush Are you plugged in, by chance?   I'm thumbin' through the cash, damn my pockets got a leech You tryna roll with me, you gotta be a 10 at least Mona Lisa with a Visa vibin' to the beat No she not a keeper, she just my little freak Hotbox the coupe and we fuckin' in it I do what I do, and the bitches dig it Straight out the blue, I got your attention (she love it, man) Was it the coupe or the watch glistenin'? I'm winnin', mane, I'm winnin', chain yellow like the Simpsons I'm pimpin' like I'm Lennon, got a lot of foreign women They can't control my spendin', fuck it, I ain't got no limit Tippin', Slim Jxmmi! We can spend whatever   Bad bitch with a tan Do you know one by chance? Hundred bands in the Lamb' Do you have one by chance? Need to see the Xan man Do you know him by chance? A Ziploc full of kush Are you plugged in, by chance? Bad bitch with a suntan Do you know one by chance? Hundred bands in the Lamb' Do you have one by chance? Need to see the Xan man Do you know him by chance? A Ziploc full of kush Are you plugged in, by chance?   Name a price, we can spend whatever Since I am, let's spend forever Since I lost, it's been forever Yeah, we can spend forever (Swae)",-0.9681,20,4,18,19,10,22,22,18,25,9
5,/songs/2457817,Rae Sremmurd,Came a Long Way,https://genius.com/Rae-sremmurd-came-a-long-way-lyrics,http://api.genius.com/songs/2457817,SremmLife 2,2016-08-12," Now, grind like a rich nigga, shine like a rich nigga Ridin' round town, hey, hey Ridin' round town, top down like a rich nigga Wishin' that somebody say hey, hey Choppin' all the bad bitches wanna come around Man you know I'm tryna make her body break, hey Pop a Lortab now I'm feelin' real weird Now I'm feelin' real floaty everyday, hey Wish a nigga would say I ain't got cash Man, I throw all the 100s in your face, hey In the strip club, Magic City, what's up What's really goin' down in the A? Hey Out in LA, out-out in LA Secret Sunday, hangin' with your babes, hey You know how we do it man, you know how we do it Young nigga, I done came a long way, hey   Young nigga, I done came a long way, hey Young nigga, I done came a long way Came a long way Young nigga, I done came a long way   Came a long way from the sip Livin' on the edge, I don't never slip Strippers in my bed, bed tryna flip Tryna get that bread, out that money clip All the young niggas what I represent Pockets on swole cause I stay committed Let my top down when I'm in the city It's a celebration when I'm in the city Yeah, all my niggas here Feel like we a 100 deep in here I keep it real with ya, if you keep it real I can't worry 'bout the hate cause the money real If you from the bottom, you know how I feel Pocket full of money, everything chill Through the bullshit, I remain ill Through the bullshit, I remain real   Now, grind like a rich nigga, shine like a rich nigga Ridin' round town, hey, hey Ridin' round town, top down like a rich nigga Wishin' that somebody say hey, hey Choppin' all the bad bitches wanna come around Man you know I'm tryna make her body break, hey Pop a Lortab now I'm feelin' real weird Now I'm feelin' real floaty everyday, hey Wish a nigga would say I ain't got cash Man, I throw all the 100s in your face, hey In the strip club, Magic City, what's up What's really goin' down in the A? Hey Out in LA, out-out in LA Secret Sunday, hangin' with your babes, hey You know how we do it man, you know how we do it Young nigga, I done came a long way, hey   What a journey All the broke shit don't concern me Chinchilla hella furry Catch me on a yacht eatin' curry I don't do drugs, naw, I don't do drugs I'm the motherfuckin' drugs, do me Bad bitch dancin' in my head like She say she wanna fuck, and I told her feel free I got a new spot in Cali, but I can't tell you the addy Cause I stay up on the road If I ever write a book about the shit I been through It'd be the greatest story ever told She get money off the floor We gettin' paid like so Backwood in my ear, LV money clippin' If you see the state trooper, man, hit it   Now, grind like a rich nigga, shine like a rich nigga Ridin' round town, hey, hey Ridin' round town, top down like a rich nigga Wishin' that somebody say hey, hey Choppin' all the bad bitches wanna come around Man you know I'm tryna make her body break, hey Pop a Lortab now I'm feelin' real weird Now I'm feelin' real floaty everyday, hey Wish a nigga would say I ain't got cash Man, I throw all the 100s in your face, hey In the strip club, Magic City, what's up What's really goin' down in the A? Hey Out in LA, out-out in LA Secret Sunday, hangin' with your babes, hey You know how we do it man, you know how we do it Young nigga, I done came a long way, hey   Young nigga, I done came a long way Young nigga, I done came a long way Came a long way Young nigga, I done came a long way",0.9788,22,37,15,16,20,27,43,16,24,31
6,/songs/3538533,Rae Sremmurd,CLOSE,https://genius.com/Rae-sremmurd-close-lyrics,http://api.genius.com/songs/3538533,SR3MM,2018-04-18," 30, you a fool for this one Oh, C-L-O-S-E Ear Drummers Mike WiLL Made-It   One rope in the chain, yeah, lightin' propane, yeah Dousin' the flame, yeah, bounce for some change, yeah Gang can't be tamed, yeah, ice in our veins, yeah Somethin' feels strange, this cup is dangerous Somethin' ain't right, dawg (yeah), we in too easy (yeah) Been here all night, dawg, really, I'm tweakin', yeah (it's lit) Lookin' to pipe some, ass in the party, look like a pageant (pop it) If we gon' fight some, beat it and dash it, lawyer do magic (alright)   Love right up my avenue (ooh) but that’s just not up my avenue (no) You cried and said, ""Look what you made me do"" (you made me do) It's not my fault that I don't wanna end up screwed (ooh) And everything I'm tryna say, you beat me to it (to it) And all the ups and all the downs, we have been through it (through it) Now you're C-L-O-S-E (you're too close), you're too C-L-O-S-E to me (you're so close)   C-L-O-S-E (it's ruined) You're so C-L-O-S-E to me C-L-O-S-E to me (it's ruined) I mean, seriously, can I breathe? C-L-O-S-E You're so C-L-O-S-E to me You're too C-L-O-S-E to me (yeah, C-L-O-S-E) You're so C-L-O-S-E (yeah) (Jxm, ayy)   You know I'm a dog and I can't control it (dog) Wanna settle someday but not at the moment (wanna settle someday) I'ma stack up the cake like Obama told me (gotta stack up the cake) Niggas smile in your face and they're not your homie (too close) Makin' me claustrophobic (claustrophobic), bust down the AP and wet the Rollie (bust it down) Stop callin' me ""brother,"" you barely know me (I'm not your bro) Don't tell me you love me, you gotta show me (don't tell me you love me) I'm so anti (Jxm), gotta get paid to go outside (woo) Blowin' on the strong like ""How High"" (blowin' on strong) Haters still watch from the sideline (haters still watchin') Sremm and La Flame on the incline (incline) Mixin' up brands, it's drip time (drip) Stuck to the plan, had to get mine (get mine) Stayed down and it paid off big time   So many, so many drugs You only get so many, so many tries So many, so many tries You only get so many, so many tries So many, so many tries You only get so many, so many tries So many, so many tries You only get so many, so many tries   C-L-O-S-E (ooh) You're so C-L-O-S-E to me (you know) C-L-O-S-E to me (you made me do) I mean, seriously, can I breathe? (Ooh) C-L-O-S-E (through it) You're so C-L-O-S-E to me (through it) You're too C-L-O-S-E to me (you're too close) You're so C-L-O-S-E (you're so close)",0.8577,6,4,4,8,4,10,8,3,2,8
7,/songs/637994,Rae Sremmurd,Come Get Her,https://genius.com/Rae-sremmurd-come-get-her-lyrics,http://api.genius.com/songs/637994,SremmLife,2015-09-29," Somebody come to the floor, it feels like we've met before   Somebody come get her, she's dancin' like a stripper Somebody come get her, she's dancin' like a stripper Somebody come tip her, she's dancin' like a stripper Somebody come get her, she's feelin' all the liquor   Chopped and screwed up I'm a pothead, true enough At your ex's crib and you're boo'd up Take it slow baby, we in no rush Hennessy or Don Q, that's a very hard choice For the diamonds on my pinky, need a gang of cool points And the drop head make 'em drop dead, yeah Ye ain't scared, ye ain't scared, ye ain't scared, yeah Believe me, I'm out here, you see me, in action I've heard a lot, a lot about you Passin' round blunts like a hot potato And you dancin' on the table, gushin' like volcano   Somebody come get her, she's dancin' like a stripper Somebody come get her, she's dancin' like a stripper Somebody come tip her, she's dancin' like a stripper Somebody come get her, she's feelin' all the liquor   You got girls in here? I'm recruitin' And they fine, hop the line I've been sippin' on Patrón and wine I'm just tryna have a good fuckin' time I was chillin' with the open container Grabbed her arm, told her not to be a stranger I was blowin' on the dank with my niggas I was lookin' for the girls who willin' Baby girl, if you fuck with me then we gettin' bands If you smokin' with me then we on dabs I don't fuck with local hoes, I told you that How you movin', you deserve a couple racks   Somebody come get her, she's dancin' like a stripper Somebody come get her, she's dancin' like a stripper Somebody come tip her, she's dancin' like a stripper Somebody come get her, she's feelin' all the liquor   Hundreds on your face, baby girl Come and do that little thing that you was doin' Aye they was in this mothafucka trippin' What the hell they think we was doin'? It seems like we're fuckin' in this club Baby girl, what they think that we're doin'? You gettin' on my nerves with them questions Girl you know I'm tryna start a little movement I ain't got no business fuckin' with you Out the blue, you actin' brand new Washingtons mean nothing to you Same way with us   Somebody come get her, she's dancin' like a stripper Somebody come get her, she's dancin' like a stripper Somebody come tip her, she's dancin' like a stripper Somebody come get her, she's feelin' all the liquor",0.9711,9,4,2,4,11,11,16,7,2,5
8,/songs/2732541,Rae Sremmurd,Do Yoga,https://genius.com/Rae-sremmurd-do-yoga-lyrics,http://api.genius.com/songs/2732541,SremmLife 2,2016-06-27," All my girls do yoga All my girls do yoga, hey All my girls do yoga All my girls do yoga, hey Then get high at night Then get high at night Then get high at night Then get high at night All my girls do yoga All my girls do yoga, hey All my girls do yoga All my girls do yoga, hey Then get high at night Then get high at night Then get high at night Then get high at night   Caught shawty in the rover, she said she a smoker But the girl ain't a roller, shawty colder than a cola She don't even want me, cause she want my nigga Bola All she wanna do is fuck and smoke my doja Ain't that some shit? I'm lovin' that chick She a die hard fan of that dick, she want a pic Stretched out in the front, stretched out in the back Stretched out my pocket, stretched out my sack   All my girls do yoga All my girls do yoga, hey All my girls do yoga All my girls do yoga, hey Then get high at night Then get high at night Then get high at night Then get high at night All my girls do yoga All my girls do yoga, hey All my girls do yoga All my girls do yoga, hey Then get high at night Then get high at night Then get high at night Then get high at night   When the beat drop 'pon the river Uncle Jim, I'm a real lady killer Throw it back, make me feel like a winner Throw it back, make me feel like a winner I been eyeing you for a minute (hey) Girl you bad and you handle your business Ass fat, tights barely can fit you Went to college, coulda been a stripper (But she ain't a stripper) Thinking 'bout the money when she doin' yoga keep her motivated (keep her motivated) She ain't outchea chasin' niggas, lookin' crazy, that shit overrated (that shit overrated) Light the blunt, yeah, we getting faded Ease your mind, let me relax you baby Know the world can be intimidating I know the world can be intimidating, hey   All my girls do yoga All my girls do yoga, hey All my girls do yoga All my girls do yoga, hey Then get high at night Then get high at night Then get high at night Then get high at night All my girls do yoga All my girls do yoga, hey All my girls do yoga All my girls do yoga, hey Then get high at night Then get high at night Then get high at night Then get high at night   Say come a little closer Sure wouldn't mind getting to know ya Ain't no push-over Can I come put the mack on ya? Fourteen hundred, I'll pull over Fendi, pull over Panties drop when I roll one New chick, I'mma stunt on my old one Two feet, seven hundred on both of 'em Two girls, I'm cummin' on both of 'em   All my girls do yoga All my girls do yoga, hey All my girls do yoga All my girls do yoga, hey Then get high at night Then get high at night Then get high at night Then get high at night All my girls do yoga All my girls do yoga, hey All my girls do yoga All my girls do yoga, hey Then get high at night Then get high at night Then get high at night Then get high at night",0.6508,7,3,5,3,4,9,9,4,3,3
9,/songs/2456686,Rae Sremmurd,First Day Back,https://genius.com/Rae-sremmurd-first-day-back-lyrics,http://api.genius.com/songs/2456686,None,2016-02-09,"[Produced by Mike Will Made It]  Uhh, yeah Hocus, we back, uh   Ain't nobody know she go slow when she hold it That's why I held back when I wrote this But I'm back now, yeah it's hocus Got a gold chain but still broke like Cobain Tryna get this money, no dope game    Uh, guess you can't focus your efforts To try to make yo shit look better Just face it I'm cheesin, it's fuck all your cheddar It's fuck all your net worth Oh, your head shots make yo head hurt? Oh, my deadlifts ain't shit but a feather that I flew away with tryna weather Yeah The storm of the norms that you poured in of course It's funny I wrote this but don't give a fuck so I'm feelin like fuck all remorse Not above trying to settle the score Dame Lill, one second in the 4th   Ain't nobody know she go slow when she hold it That's why I held back when I wrote this But I'm back now, yeah it's hocus Got a gold chain but still broke like Cobain Tryna get this money, no dope game   Get the fuck up out my face, with these faces You got better luck up out my way, don't say shit It's my time only way I fade away is  from the J hit I'm crossfaded on the lettuce, dressin sharp like Thugga, Jayden Im just tryna blow up all on my pervasive Michael Bay shit Underage but catch me out in Vegas Or in Cancun with the crew you know we climb the runes You know all my Latinas swoon, yeah   Ain't nobody know she go slow when she hold it That's why I held back when I wrote this But I'm back now, yeah it's hocus Got a gold chain but still broke like Cobain Tryna get this money, no dope game",-0.9806,12,6,5,5,5,13,14,6,8,7
