,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/336941,Reba McEntire,All Dressed Up (With Nowhere to Go),https://genius.com/Reba-mcentire-all-dressed-up-with-nowhere-to-go-lyrics,http://api.genius.com/songs/336941,For My Broken Heart,1991-10-01," The sign says, ""families welcome"" At the Oaks Retirement Home But mostly, no one comes except on the weekends Ruby Wilson lives in 303 Where she spends most her time But it's almost noon on Sunday And she's been sitting in the lobby since nine   She's all dressed up in her best hat and gloves She's all dressed up Watching and waiting, but nobody comes Some days sure are lonely days And time can move so slow When you're all dressed up With nowhere to go   As Ruby watches all the others Leaving with their families The nurse tells her, it's time to come to dinner She says she's expecting company They're just running late But, the nurse knows the truth too well She just sighs and walks away  ",0.8873,1,6,1,3,1,3,6,3,0,4
1,/songs/337316,Reba McEntire,All of You,https://genius.com/Reba-mcentire-all-of-you-lyrics,http://api.genius.com/songs/337316,If You See Him / If You See Her Bonus EP,1998-06-02," I think about holding you and kissing you Wanting you and missing you   Clock is ticking and the wind is howling And I'm just staring at the candle burning Bottle of red that we never opened Your voice in my head, tossing and turning The radio is playing our song I can't sing along, can't even listen I dial your number but I don't let it ring   I think about Holding you and kissing you Wanting you and missing you Building up and breaking down walls I dream about Finding you and keeping you Loving you and living you I'm telling you, I want it all All of you   I can't let go and I keep can't holding on to nothing But i just keep trying To tell myself there's a damn good reason But it's not enough To keep me from crying I've memorized every look, every touch Every time you told me our hearts weren't lying I'm wondering now, do you even know   I can't break free of you I don't know how Oh, I'm not about To let go of you I love you I need you now  ",0.951,2,4,2,2,4,8,9,6,2,5
2,/songs/337129,Reba McEntire,All This Time,https://genius.com/Reba-mcentire-all-this-time-lyrics,http://api.genius.com/songs/337129,If You See Him,1999-03-30," I remember the first time I held you all night long Well, we're still here now But where have all the years gone? Holding you this way tonight It's easy to see why   All this time We held on to each other We knew we had to be strong All this time Through the tears and the laughter It's still forever after all this time   In the fast moving world Love is made and just thrown away But we've always kept the promises that we made Who would of thought you and me? Would still be here where we said we would be  ",0.9731,0,7,0,0,3,0,3,0,1,1
3,/songs/2978868,Reba McEntire,Amazing Grace,https://genius.com/Reba-mcentire-amazing-grace-lyrics,http://api.genius.com/songs/2978868,Sing It Now: Songs of Faith & Hope,2017-02-03," Amazing grace How sweet the sound That saved a wretch like me I once was lost But now I'm found I was blind but now I see   T'was grace that taught my heart to fear And grace my fears relieved How precious did that grace appear The hour I first believed  When we've been there ten thousand years Bright shining as the sun We've no less days to sing God's praise Than when we've first begun   Amazing grace How sweet the sound That saved a wretch like me I once was lost But now I'm found I was blind but now I see I was blind, oh, but now I see I see",0.9862,4,8,2,3,10,9,15,5,4,10
4,/songs/336943,Reba McEntire,Am I The Only One Who Cares,https://genius.com/Reba-mcentire-am-i-the-only-one-who-cares-lyrics,http://api.genius.com/songs/336943,Sweet Sixteen,1989-05-02," Jamie turned 13 tonight But she didn't blow out the birthday lights Jamie and her momma had another big fight She locked herself in her room  She climbed up on her windowsill Sat and stared at the cars on the street And listened to her own heart beat And whispered to the moon  Am I the only one who cares what I do Because if I'm the only one then who can I turn to Oh moon can you tell me that it's not just me and you   Or am I the only one who cares what I do   The moon said Jamie can't you hear yourself You're acting like there isn't nobody else Come on girl take a big, old breath You know what you got to do  There's one more thing before I go A woman's been standing at the window below Searching for the words to let you know How much she loves you too  And you're not the only one who cares what you do And I'm not the only one that you can turn to Now Jamie please believe me It's not just me and you   Jamie heard her mama Softly knocking at her door The moon just smiled and whispered You all don't need me anymore  I'm not the only one who cares what you do And I'm not the only one you can tell your troubles to I've done the best I can Now the rest is up to you  ",0.9866,1,1,0,1,2,1,6,0,1,2
5,/songs/337051,Reba McEntire,And Still,https://genius.com/Reba-mcentire-and-still-lyrics,http://api.genius.com/songs/337051,Read My Mind,1995-02-18,"Thousands of people live in this town And I had to run into him When I saw him there on that busy street Those feelings came back again There was nowhere to run, nowhere to hide He walked up to me, looked in my eyes  And still The world stood still I couldn't move And all I could feel Was this aching in my heart Saying I loved him still  He said how have you been It's great to see you again You're really a sight for sore eyes I said I can't complain Oh, I'm doing fine We talked as the people rushed by We laughed about old times and all we went through That's when he hugged me and said I've missed you  And still The world stood still I couldn't move And all I could feel Was this aching in my heart Saying I loved him still  That's when she walked up to him He said this is my wife I gave my best smile But I was dying inside He said we've got to go now It's getting late It was so good to see you Then they walked away  And still My world stood still I couldn't move And all I could feel Was this aching in my heart Saying I loved him still",0.9321,4,3,2,3,3,8,3,8,3,3
6,/songs/336993,Reba McEntire,A New Love,https://genius.com/Reba-mcentire-a-new-love-lyrics,http://api.genius.com/songs/336993,Sweet Sixteen,1989-05-02," Love's the only thing I know in this life That's cut me deeper than the sharpest knife And once again, here I am And I'd pay any price for a new love  I still hurt for the one I lost I'm standing here on a bridge that I can't get across And I can't burn, but I will When I walk with a new love   (And/Oh) I believe (I believe that) It's going to be better than ever before That's why I'm looking for A new love for this old heart A new love and I just can't wait to start (To feel that way again) I want to feel that way again (Oh I'm wondering when) On when I find my new love For this old heart of mine   Said I'm looking for a new love Somebody tell me where I'll find a new love For this old heart of mine  Love's the only thing that's ever made me cry But nothing's ever made me feel more alive And that's why, once again, here I am Looking for the eyes of a new love  I know that somewhere in this world tonight There's a guy, and I'd take a bus, car, a train or a flight I'd even walk if I thought I might find a new love   Said I need a new love For this old heart of mine   Oh, I'm looking for a new love For this old heart of mine",0.997,1,5,0,1,15,4,16,3,0,2
7,/songs/336284,Reba McEntire,Angel In Your Arms,https://genius.com/Reba-mcentire-angel-in-your-arms-lyrics,http://api.genius.com/songs/336284,Reba McEntire,1977-08-15," Do you think I'm such a fool To believe everything you say is true Well that just goes to show That you really don't know While you are out painting the town Do you think I'm home just sitting around Waiting on you Now who is really the fool?   When I first found out I hurt all over I felt so left out until I got to know her So I drive away as she got over And I became just like her   So don't be surprised to find that The angel in your arms this morning Is going to be the devil in someone else's arms tonight Yes, the angel in your arms this morning Is going to be the devil in someone else's arms tonight   Why would you slip around secretly If you were tired of loving me? Why do you keep holding on When love was already gone? The time you said you were not feeling well Did you think I could not tell You have been with someone else? You were only kidding yourself  ",-0.8113,4,6,5,4,7,8,9,4,5,9
8,/songs/3292525,Reba McEntire,Angel on My Shoulder,https://genius.com/Reba-mcentire-angel-on-my-shoulder-lyrics,http://api.genius.com/songs/3292525,Sing It Now: Songs of Faith & Hope,2017-02-03,"Wish I could explain, but there's no explanation How I got out of some desperate situations Turned around at the end of a dead end road The devil got my tongue every time I went to pray Didn't know what to ask or know what to say Oh heaven only knows how to save a stubborn soul like me  There must be an angel on my shoulder Whispering in my ear Thank God, the angel on my shoulder Knows it ain't good for me to be alone down here  Never looking forward, but I'm always finding trouble Good at digging holes, don't even have a shovel I get myself into something, something always helps me out Make another promise there ain't gonna be a next time Then I turn around, I'm back in the same bind Crying out please, ""Somebody come and rescue me""  Must be an angel on my shoulder Whispering in my ear Thank God, the angel on my shoulder Oh, knows it ain't good for me to be alone down here  Oh, must be an angel on my shoulder Oh, whispering in my ear Thank God, the angel on my shoulder Oh, knows it ain't good for me to be alone down here  Angel on my shoulder Whispering in my ear Hey, thank God, the angel that's on my shoulder Knows it ain't good for me to be alone down here Oh, no, I don't need to be alone down here, oh no",-0.379,1,22,1,6,21,3,33,2,15,32
9,/songs/3050329,Reba McEntire,Angels Singin',https://genius.com/Reba-mcentire-angels-singin-lyrics,http://api.genius.com/songs/3050329,Sing It Now: Songs of Faith & Hope,2017-02-03,"Midnight moonlight shining through the curtain lace Paints a perfect picture on your perfect face One sweet angel sleeping in my arms You are the promise I knew God would keep You are the gift that makes my world complete  And you'll never know how much I love you But I'll keep on telling you my whole life through Now I believe in miracles, and you're the reason why So dream on while I sing you my angel's lullaby",0.931,1,10,0,2,12,1,14,2,5,10
