,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/1934090,Red Hot Chili Peppers,1970,https://genius.com/Red-hot-chili-peppers-1970-lyrics,http://api.genius.com/songs/1934090,None,2015-04-06,"Out of my mind on Saturday night 1970 rollin' in sight Radio burnin' up above Beautiful baby, feed my love All night till I blow away All night till I blow away I feel alright I feel alright Baby, oh baby, burn my heart Baby, oh baby, burn my heart Fall apart babe, fall apart Baby oh baby, burn my heart All night till I blow away All night till I blow away I feel alright I feel alright Feel alright Feel alright Feel alright Out of my mind on Saturday night 1970 rollin' in sight Radio burnin' up above Beautiful baby, feed my love All night till I blow away All night till I blow away I feel alright I feel alright I feel alright I feel alright I feel alright I feel alright Feel alright I feel alright I feel alright I feel alright I feel alright I feel alright I feel alright I feel alright Feel alright Feel alright Feel alright Feel alright I feel alright I feel alright Feel, feel Blow, blow I feel alright I feel alright Feel alright Feel alright Blow, blow I feel alright Feel alright I feel alright I feel alright I feel alright I feel alright Feel alright I feel alright I feel alright Feel alright Feel alright Feel alright Feel alright So Sure",0,0,0,0,12,2,14,2,0,0,0.9978
1,1,/songs/2964569,Red Hot Chili Peppers,21 Century,https://genius.com/Red-hot-chili-peppers-21-century-lyrics,http://api.genius.com/songs/2964569,None,2006-05-09,"All the creatures, on the beaches Makin' waves in the motion picture Won't you keep this, in between us Search and seizure, wake up venus  The dollar bill will Return the ill pill Mom and Dad take your 'dont be sad' pill Turn the screw and twist my language Don't forsake me im contagious!  Theres a reason for the twenty-first century... Not too sure but I know that its meant to be And that it's meant to be  It's my favorite combination Comin' down with the favored nations Deep rotation, mutilation Learn to give and take dictation Oh, oh, oh, oh-oh Like the Cain and Able Oh, oh, oh, oh-oh Time to run this table  There's a reason for the 21st Century Not too sure but I know that's it's meant to be And that it's meant to be  Read me your scripture and Read me your scripture Read me your scripture and I will twist it Show me your wrist and I Show me your wrist and Show me your wrist and I'll Kiss it kiss it Oh, oh, oh, oh-oh Like the Cain and Able Oh, oh, oh, oh-oh It's time to run this table  Simple Soldier, hand it over Stop and read what you just told her Strangulation , altercation Of all the sex and good vibrations  There's a reason for the 21st Century Not to sure but I know that's it's meant to be And that it's meant to be yeah  There's a reason for the 21st Century Not to sure but I know that's it's meant to be And that it's meant to be",4,7,4,5,6,6,14,4,3,13,0.9726
2,2,/songs/386804,Red Hot Chili Peppers,21st Century,https://genius.com/Red-hot-chili-peppers-21st-century-lyrics,http://api.genius.com/songs/386804,Stadium Arcadium,2006-05-05," All the creatures on the beaches Making waves in a motion picture Won't you keep this in between us? Search and seizure wake up Venus The dollar bill will mentally ill bill Mom and dad take your 'Don't be sad pill' Turn the screw and twist my language Don't forsake me I'm contagious   There's a reason for the 21st century Not too sure but I know that it's meant to be And that it's meant to be Come on, ooh   It's my favorite combination Coming down with the favored nations Deep rotation, mutilation Learn to give and take dictation   Oh, oh oh, oh oh Like the Cain and Abel Oh, oh oh, oh oh Time to run this table   There's a reason for the 21st century Not too sure but I know that it's meant to be And that it's meant to be   Read me your scripture and Read me your scripture Read me your scripture and I will twist it Show me your wrist and I Show me your wrist and Show me your wrist and I'll kiss it kiss it   Oh, oh oh, oh oh Like the Cain and Abel Oh, oh oh, oh oh It's time to run this table   Simple soldier hand it over Stop and read what you just wrote her Strangulation, altercation Oral sex and bird migration   There's a reason for the 21st century Not too sure but I know that it's meant to be And that it's meant to be",4,7,4,5,5,6,12,4,2,12,0.9566
3,3,/songs/150852,Red Hot Chili Peppers,A Certain Someone,https://genius.com/Red-hot-chili-peppers-a-certain-someone-lyrics,http://api.genius.com/songs/150852,Venus,2006-07-17," When will it come around The wind I will inspire When will it make a sound The sound I desire   Cause we all need something to do A certain something, that's true   Floating upstream I've seen The spider and the snake A trip without pause when I saw my mistake   Cause we all need something to do A certain something, that's true   All my life, I have known who I am A troubled man but I stand All my life I have seen what it means To be myself in this dream   Cause we all need something to do A certain something, that's true",0,1,2,2,4,2,4,1,1,4,0.9277
4,4,/songs/198205,Red Hot Chili Peppers,Aeroplane,https://genius.com/Red-hot-chili-peppers-aeroplane-lyrics,http://api.genius.com/songs/198205,One Hot Minute,1995-09-12," I like pleasure spiked with pain And music is my Aeroplane It's my Aeroplane Songbird sweet and sour Jane And music is my Aeroplane It's my Aeroplane Pleasure spiked with pain That motherfucker's always spiked with pain   Looking in my own eyes, hey Lord I can find the love I want Someone better slap me Before I start to rust Before I start to decompose Looking in my rearview mirror Looking in my rearview mirror I can make it disappear I can make it disappear, have no fear   I like pleasure spiked with pain And music is my Aeroplane It's my Aeroplane Songbird sweet and sour Jane And music is my Aeroplane It's my Aeroplane Pleasure spiked with pain That motherfucker's always spiked with pain   Sitting in my kitchen, hey girl I'm turning into dust again My melancholy baby The star of Mazzy must Push her voice inside of me I'm overcoming gravity I'm overcoming gravity It's easy when you're sad to be It's easy when you're sad, sad like me   I like pleasure spiked with pain And music is my Aeroplane It's my Aeroplane Songbird sweet and sour Jane And music is my Aeroplane It's my Aeroplane Pleasure spiked with pain That motherfucker's always spiked with pain   Just one note could make me float Could make me float away One note from the song she wrote Could fuck me where I lay Just one note could make me choke One note, that's not a lie Just one note could cut my throat One note could make me die   I like pleasure spiked with pain And music is my Aeroplane It's my Aeroplane Songbird sweet and sour Jane And music is my Aeroplane It's my Aeroplane Pleasure spiked with pain That motherfucker's always spiked with pain   My aeroplane, my aeroplane... It's my Aeroplane...",4,7,7,16,15,25,16,24,5,6,-0.6249
5,5,/songs/344191,Red Hot Chili Peppers,American Ghost Dance,https://genius.com/Red-hot-chili-peppers-american-ghost-dance-lyrics,http://api.genius.com/songs/344191,Freaky Styley,1985-08-16, Oh give me a home Where the buffalo roam And the death of a race is a game Where seldom is heard A peaceable word From the white trash Who killed as they came Though these words dig deep They offer no relief God save the queen I am an Indian chief There is a secret I keep It's called the talking leaf And you better believe That he speaks his beliefs Like a rock that bleeds A sea of grief My talking leaf speaks of A wounded knee creek   American ghost dance   A new man who is with old ways He walks the streets of life But he's in chains I'm alive he cried I can feel the flame Burning red inside I am an Indian brave There is a memory That lives in my blood Of the brand you laid On all you touched But the burning flame Turns to burning pain Genuine genocide And that's truly insane So like a wild hurricane I will dance on the grave Of my race that died When it should have been saved   American Ghost Dance!   Oh give me a home Where the buffalo roam And the death of a race is a game Where seldom is heard A peaceable word From the white trash Who killed as they came Though these words dig deep They offer no relief God save the queen I am an Indian chief There is a secret I keep It's called the talking leaf And you better believe That he speaks his beliefs Like a rock that bleeds A sea of grief My talking leaf speaks of A wounded knee creek   American ghost dance,3,7,4,11,11,12,26,8,3,18,-0.9425
6,6,/songs/287513,Red Hot Chili Peppers,Animal Bar,https://genius.com/Red-hot-chili-peppers-animal-bar-lyrics,http://api.genius.com/songs/287513,Stadium Arcadium,2006-05-05," Never 21 when everyone's a sailor Coming up strong at the animal bar Ever loving mug of Mr. Norman Mailer Turn another page at the animal bar And it won't be long No it won't be long No it won't be long Because it can't be long   I I I the cry of isolation I I I the high of meditation I I I for sweet precipitation I I I the high of deprivation And it won't be long No it won't be long No it won't be long Because it can't be long   Rain on my frustration Stake my claim now break this Wash me down my station Makes more rain forsaken In between the sky and every piece of the earth (1,2,3 let's break this) Runnin' through the mud I gotta feeling of worth (1,2,3 forsake this)   All aboard the ship Cause you're gonna need an ark When the wet comes down You'll be swimming like a shark Mopping up the pain and I'm a little older Right as rain At the animal bar And it won't be long No it won't be long No it won't be long Because it can't be long     Raindrops will fall from the sky Stealing their shape from your eye Now we can all get some sleep The water the water the water Saving us from the heat  Some things will die in their place Others will leave little trace Fire will come find its day The water the water the water Washing it all away  ",5,16,3,7,3,15,8,12,5,3,-0.3386
7,7,/songs/74872,Red Hot Chili Peppers,Annie Wants A Baby,https://genius.com/Red-hot-chili-peppers-annie-wants-a-baby-lyrics,http://api.genius.com/songs/74872,I'm With You,2011-08-30," Lucy Rebar She's a friend of mine Later she'll go Back and redefine the line It's getting longer all the time Oh yeah   Drinking sunshine She likes the taste of it She had a goldmine But then she wasted it away You should have seen her yesterday Oh yeah   Sing along the way Nothing stops the ache   Sugar daddy Loves her madly Cosma Sheiva Got off, made you a believer I don't need to Tender, why do I believe you? Annie wants a baby now Annie wants a baby any way she can   Missing pieces She's got a lot of them Time decreases I wish I thought of them before Before it's time to close the store Oh yeah   Distillation A lonely sycophant Some liberation The only seed we ever plant I want to help you but I can't No, no   Sing along the way Nothing stops the ache   Sugar daddy Loves her madly Love her, leave her Got off, made you a believer Neon soldiers Left her now you've gotten older Annie wants a baby now Annie wants a baby any way she can   It's getting longer all the time It's time to re-design the sign Oh yeah Sing along the way",3,11,2,2,14,8,20,10,2,8,0.9853
8,8,/songs/70276,Red Hot Chili Peppers,Apache Rose Peacock,https://genius.com/Red-hot-chili-peppers-apache-rose-peacock-lyrics,http://api.genius.com/songs/70276,Blood Sugar Sex Magik,1991-09-24," Sittin' on a sack of beans Sittin' down in New Orleans You wouldn't believe what I've seen Sitting on that sack of beans Lunatics on pogo sticks Another southern fried freak on a crucifix Hicks don't mix with politics People on the street just kickin' to the licks   Yes my favorite place to be Is not a land called Honah Lee Mentally or physically I wanna be in New Orleans   Oh good brother just when I thought That I had seen it all My eyes popped out, my dick got hard And I dropped my jaw I saw a bird walkin down the block Name Apache Rose Peacock I could not speak I was in shock I told my knees to please not knock   A little boy came along Name of Louis Armstrong Said that girl who left me silly She liked the looks of me and my willy So I found her in the quarter Good God how I adored her Oh she made me feel so cozy When she told me I could call her Rosey   I kiss your hair your skin so bare I'll take you with me girl anywhere You fare well in stormy weather I never met a girl that I liked better   Twinkle twinkle little star Shining down on my blue car Drivin' down the boulevard She was soft and I was hard Apache Rose gotta rockin' peacock Hottest ass on the goddamn block Rockin' to the beat of the funky ass Meters She has one of those built in heaters   I kiss your hair your skin so bare I'll take you with me girl anywhere You fare well in stormy weather I never met a girl that I liked better   Voodoo gurus casting their spells Cockatoo drag queens shakin' their bells Silver sound escapes the trumpet Watch your leg someone might hump it Chicken strut your butt let's rock Gettin' it on under your frock Flowing like a flame all through the night My girl's insane but it's all right  ",4,12,3,11,12,15,19,1,5,9,0.6542
9,9,/songs/54310,Red Hot Chili Peppers,Around The World,https://genius.com/Red-hot-chili-peppers-around-the-world-lyrics,http://api.genius.com/songs/54310,Californication,1999-09-14," All around the world, we could make time Rompin' and a-stompin' 'cause I'm in my prime Born in the North and sworn to entertain ya 'Cause I'm down for the state of Pennsylvania  I try not to whine, but I must warn ya 'Bout the motherfuckin' girls from California Alabama baby said ""Hallelujah"" Good God, girl, I wish I knew ya   I know, I know for sure That life is beautiful around the world I know, I know it's you You say ""Hello"" and then I say ""I do""   Come back baby, 'cause I'd like to say I've been around the world, back from Bombay Fox hole love, pie in your face Living in and out of a big fat suitcase  Bonafide ride, step aside, Mike Johnson Yes I could, in the woods of Wisconsin Wake up the cake, it's a lake she's kissin' me As they do when they do in Sicily   I know, I know for sure That life is beautiful around the world I know, I know it's you You say ""Hello"" and then I say ""I do""   Where you want to go, who you want to be What you want to do, just come with me I saw God and I saw the fountains You and me girl, sitting in the Swiss mountains  Me Oh My O, me and Guy O Freer than a bird 'cause we're rocking Ohio Around the world, I feel dutiful Take a wife 'cause life is beautiful   I know, I know for sure Ding, dang, dong, dong, deng, deng, dong, dong, ding, dang I know, I know it's you Ding, dang, dong, dong, deng, deng, dong, dong, ding, dang  Mother Russia, do not suffer, I know you're bold enough I've been around the world and I have seen your love I know, I know it's you You say ""Hello"" and then I say ""I do""",1,8,2,3,12,6,15,3,2,6,0.9971
