,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/100277,Rick Ross,100 Black Coffins,https://genius.com/Rick-ross-100-black-coffins-lyrics,http://api.genius.com/songs/100277,Django Unchained (Original Motion Picture Soundtrack),2013-01-01," ""Oooh, now you are one lucky nigga."" ""You better listen to your boss white boy."" ""Oh, I'm gonna walk in the moonlight with you."" ""You wanna hold my hand?""   I need a hundred black coffins for a hundred bad men A hundred black graves, so I can lay they ass in I need a hundred black preachers, with a black sermon to tell From a hundred black Bibles, while we send them all to hell I need a hundred black coffins, black coffins, black coffins (Oh, Lord!) I need a hundred black coffins, black coffins, black coffins (Oh, Lord!) Black coffins! (I need a hundred...)   I seen a hundred niggas die I put that on my life, Lord, I wouldn't tell a lie Unless it had to do with mine, in the middle of the night Killers coming for you life, all you wanna do is shine? I broke off the chains only the realest remain I see your praying to Jesus, but will that help ease the pain? Seen a brother get slain for a jar full of change Yet I post on the block, look like I'm Big Daddy Cane Is you a cat or a mouse? Keep them rats out the house A lotta scars on my back, get tattoes all around Hundred dead bitches, hundred black coffins Money on his head, bitch, I'm trying to make a fortune   I need a hundred black coffins for a hundred bad men A hundred black graves, so I can lay they ass in I need a hundred black preachers, with a black sermon to tell From a hundred black Bibles, while we send them all to hell I need a hundred black coffins, black coffins, black coffins (Oh, Lord!) I need a hundred black coffins, black coffins, black coffins (Oh, Lord!) Black coffins! (I need a hundred...)   I seen a hundred women burn As they stood firm, treat a nigga like a germ What did she do to deserve? Put me on the farm Pigs' feet in a jar; serve it to me warm Any questions, they hang 'em, better pray for Dj-Django Got me working in fields, too many years it gets fatal All I want is my woman, such a wonderful mother, (mama!) On the days that it rains, her smile bright like a summer Our revenge is the sweetest, bitch cause I'm coming Gonna die in my arms, for what you did to my mother (my mama!) Hundred dead bitches, (Lord) hundred black coffins (why?) 12 gauge, shotgun, chest full of carbon (boom-boom)   I need a hundred black coffins for a hundred bad men A hundred black graves, so I can lay they ass in I need a hundred black preachers, with a black sermon to tell From a hundred black Bibles, while we send them all to hell I need a hundred black coffins, black coffins, black coffins (Oh, Lord!) I need a hundred black coffins, black coffins, black coffins (Oh, Lord!) Black coffins! (I need a hundred...)",-0.9975,18,13,25,48,10,97,29,84,8,23
1,/songs/4956,Rick Ross,10 Bricks,https://genius.com/Rick-ross-10-bricks-lyrics,http://api.genius.com/songs/4956,Ashes to Ashes,2010-12-24," Look at my wrist Look at, look at My wrist Equivalent to 10 bricks 10 bricks to the fish   Look at my wrist, it's 200 thou That mean fuck that nigga, come and fuck me now Suck me down, blow my socks Push that coupe, Ima drop that top And all them niggas that talk, them bitches never had money Whip it with a fork and get that extra mall money Get you first million and the come in with a test Watch for the feds, jack boys, and IRS 4 Jesus pieces and a motherfucking tec Clapping at all you niggas imitating Sammy Gravano Got them argentines and kilos up in the condo And my European bitch always screaming Armani 10 bricks on the wrist, I find it funny I'm counting cash, you don't know me nigga Its Rozay, the one and only nigga     See I'm richer than the richest Filthy by my riches Dope boy fresh, made man getting tickets Holiday sunshine how we get it Flipping in the Bentley every time we come and spin it So she love the way I shine homie Put on her mind, do it big time homie Priceless, you know the game with no line homie Tote it all the time, see my son did time on it So 100 mill what we eat The feast of the streets, Cash money young beast Full grind, Cash Money all the time Fire flame spitter do this shit in day time Flip a nigga another top The watch on rocks, do this shit hard knocks A all red new fleet, swagged out nigga, YMCMB  ",-0.9434,14,20,8,10,11,11,22,2,5,10
2,/songs/2478219,Rick Ross,#1 Stunna,https://genius.com/Rick-ross-1-stunna-lyrics,http://api.genius.com/songs/2478219,Renzel Remixes,2015-12-04," Black Market, Black bottoms Young Rezio, ﻿you heard? (Made back music) Black Market, Black bottoms Young Rezio, ﻿you heard? (Made back music) Black Market, Black bottoms Black Market, Black bottoms Black Market, Black bottoms Young Rezio, ﻿you heard? (Made back music)   Chain swinging on me every time I walk through Black Ts bodyguards for your lawsuits At the office bitches walking through and Oak one six clips in the carpool Real bosses get money and we never beat We drop a bag and we let the killers clip freeze Am talking money, we go bust down the Buhdahcon I know the chef, I got them cooking up they two for one How they got another wire nigga, street ready for me Got them back on fire nigga, net worth through the roof, now we in the stocks Never limb champs for their bandage these bitches on the block Third generation hustle and I'm proud on Smile looking at the stash, it's pile high Go and get your mamma house, not a stunt nigga Cost me a quarter mil to live every month nigga Flashbacks of a dough seen, purple frozen cuts Talking heavy Codeine, how am balling back in '03 Sitting on gold days, where them yo seen I got a chopper, fuck the police Chopping on the black market, yeah that boy a beast I charge them extra for the air lift Had to put the elevators in the last crib Weighed Nassa for my niggas at the mansion Weighed Nassa for the Muslims at the mansion   Shout out to all my niggas man Pray for passion, huh uh",-0.9307,7,10,4,7,12,22,19,23,9,10
3,/songs/2300931,Rick Ross,2 Shots,https://genius.com/Rick-ross-2-shots-lyrics,http://api.genius.com/songs/2300931,Black Dollar,2015-09-03," Baby we can get lifted any time of day (Cause the drugs baby) Cause the drugs get me feeling some kinda way (oh yeah) Oh hell, here we go again, we did this last night Two shots, pour Belaire or the Blue Dot Two bad bitches blowing smoke on my rooftop, yeah Damn you just completely reminded me (reminded me) When you're leaving they feeling some kinda way Oh hell, here we go again, I'm just tryna stay alive Two shots, floor niggas shooting through your rooftop Who got popped, young nigga tone two Glocks, yeah   I just wanna hold your hand, sip me some Champagne, love, that's it, you heard?   Suckers for love, yes, I've heard it before Show them my hustle which is such an incredible source Stumble through the boutiques, always watching my step Credit Cards in my name, she swipe them, then sign them herself Trust is a must, never letting me down Got her selfies with Beyonce, this is Destiny Child Won't answer my calls after I gave you my all Before I shed a tear, I thought I'd just write you a song Rewrite all my wrongs, or recite you a poem Knowing you're leaving but the question is, ""Where are you going?""   Baby we can get lifted any time of day (Cause the drugs baby) Cause the drugs get me feeling some kinda way (oh yeah) Oh hell, here we go again, we did this last night Two shots, pour Belaire or the Blue Dot Two bad bitches blowing smoke on my rooftop, yeah   Shawty was a dancer, hustle was her answer Get in where I fit in, mid-town Atlanta Bags and boots, baby girl wanted those big things Parking lot in magic City, since she was sixteen Don't let them stop you baby, he can't knock you baby When you winning is when they wanna say she not a lady Hold your bag in the sky, all those bitches respect it Now run home to your nigga, make sure that head is perfected Never seeking acceptance, reaping my blessings Fat mob figure, black Bob Dylan If the pussy good it's hard to stay at odds with it If she want it, you ain't got it, get on your job nigga   Baby we can get lifted any time of day (Cause the drugs baby) Cause the drugs get me feeling some kinda way (oh yeah) Oh hell, here we go again, we did this last night Two shots, floor niggas shooting through your rooftop Who got popped, young nigga tone two Glocks, yeah   Your opinion, I don't care And my niggas we show up and it ain't fair Killing these niggas for real Shades on but my vision's so clear And I do this for my niggas that ain't here Tell me 'bout I got two bad bitches to myself, oh And I can't wait to get 'em home She playing games with you, probably cause she with me nigga It ain't 'bout the fame dog, it's about the figures niggas Money, yeah, yeah, yeah   Baby we can get lifted any time of day (Cause the drugs baby) Cause the drugs get me feeling some kinda way (oh yeah) Oh hell, here we go again, we did this last night Two shots, pour Belaire or the Blue Dot Two bad bitches blowing smoke on my rooftop, yeah",-0.9802,33,21,22,28,27,38,40,31,15,18
4,/songs/57238,Rick Ross,300 Soldiers,https://genius.com/Rick-ross-300-soldiers-lyrics,http://api.genius.com/songs/57238,The Albert Anastasia EP,2010-07-20,"Right back at you Teflon Don Bitch I think I'm Scarface Bitch I think I'm Scarface  [ Hook ] Bitch get your mind right Better get mine right (4X) I got 300 soldiers cause I'm a rolla (3X) Bitch I'm a rolla  [ Verse 1: Rick Ross ]  I barely fuck with these niggas, cuz im fuckin with money Cuz when you fuckin with niggas, you be fucking up money Barely fuck with these hoes, im just fucking these bitches Cuz when you fuck with these hoes, you be fucking up business My niggas poppin them pills, you know that shit get addictive I get it popping for real, bitch I got my prescription Bitch I got me a plan Bitch I got a connect Bitch I got me some work, went and got me a check Cuz I be hustlin Musclin' Nigga I'mma soldier Cut throat, in the fields Still ain't trustin no bitch or no nigga Ho or no sucka, label or cracka This fat muthafucka Just hustlin get it on the muscle Throwing up signs for them niggas that I fuck wit Wrong one to fuck wit City on my back Like thats tatted on my stomach bitch we can run it Ricky Ross  [ Hook ]  [ Verse 2: Rick Ross ]  Now look at me, look at me, look at me, look at me, look at me, look at me, look at me Bitches watchin me jockin me Niggas knockin me blockin me Im the hardest muthafucka still whipping it properly I got change for days A nigga loving to shop I won't change for days Put daddy dick in her mouth WHHHHAAAATTTT!  [ Hook ]",-0.9972,17,3,15,14,3,15,10,15,3,7
5,/songs/2345497,Rick Ross,30 for 30 Freestyle,https://genius.com/Rick-ross-30-for-30-freestyle-lyrics,http://api.genius.com/songs/2345497,Renzel Remixes,2015-12-04," Good news, they just let me off house arrest So get the beach house ready, yeah Let's do something special Young Rizzale, Young Rizzale   Write you niggas rhymes, they should call me ghost face Barely take my time, I'm just tryna motivate Moving up the co-sign of my first apartment True enough, I fuck around but it's you regardless Caught her on the cameras, got me enrolling in college Gold Rollie, Polo ghetto, wardrobe of a scholar We used to smoke weed on the PS3 But now I pop Percs with the codeine Seen things, she a senior on the drill team Graduated all honours, she the real thing Told her I would cop her all designer gear Straight to the mall when the wire clear LA Reid and Steel calling back to back 20 mil, new deal and that's after tax Can't rap with a nigga who ain't got a rap It ain't trap music if you never had to trap Don't ask 'bout it if you can't handle the facts My whole rap style built for the counter attacks The late night walks on the beach though Fuck her, legs in the air, I’m licking each toe Bread sticks, she want the sushi with the Miso Soup Glass of Bel-Air Rose, I keep the weed rolled Chauffeurs always told to use the key code Parked outside, the condo look like a casino She ask what I use for the sex drive I'ma have to get her tools for the next time Fuck her 'til the mouth dry, I need a rest break You be right back on my dick by the next take, Rizzale",-0.1316,2,8,1,4,10,7,16,4,7,9
6,/songs/80548,Rick Ross,3 Kings,https://genius.com/Rick-ross-3-kings-lyrics,http://api.genius.com/songs/80548,"God Forgives, I Don't",2012-07-19,"   Yeah, classic hip hop shit Dr. D-R-E, Rozay and Jay, let's get 'em  [Verse 1: Dr. Dre] We started out mopping floors And now we front row at the awards Number one for the last twenty years If you real, mothafucka scream cheers! Mothafucka scream cheers! Heh, and it is what it is He wanted to shine at the swap meet Till the white boys got him in that hot seat I only love it when her hair long You should listen to this beat through my headphones Money long, number one twenty years strong Fuck a gym, I am him, I'm Andre Young G5s to 64s, Dre got 'em If the bitch bad I got her in red bottoms Great weed, nice homes, bread proper Tec nine, one chamber, top shotta Bentley coupe, new yacht, my helicopter Born broke, real nigga straight out of Compton The fuck you magazine niggas want from me? I rewrote the game, nigga, now talk money All black on my Al Capone shit I built a house, nigga get your own shit I only love it when her hair long You should listen to this beat through my headphones   See y'all niggas Hit the switches on that shit one time, ugh Let the top down   I came a long way from the weed game Twenty stack seats at the Heat game And I'm still strapped with the heat man Can't be steppin' on a nigga feet man 80 pair of sneakers came from the D game Cousin was a Crip, said it was a C thing Brown bag money in a duffle bag Fuck 'em all, wet 'em and we gotta double back The homie whippin' chickens in his momma kitchen On the mission, said he get it for his son tuition Real nigga's dreams comin' to fruition Stumble, but I never fall, leanin' on my pistol I only love it when the ass fat We should listen to this track in my Maybach I'm just tryin' to be a billionaire Come and suck a dick for a millionaire   Uh, it's just different I know it feels different  [Verse 3: Jay-Z] Uh, I only love her if her eyes brown Play this shit while you play around with my crown King H-O, y'all should know by now But if you don't know, uh Millions on the wall in all my rooms Niggas couldn't fuck with my daughter's room Niggas couldn't walk in my daughter's socks Banksy bitches, Basquiat I ran through that buck fifty Live Nation fronted me They workin' on another deal, they talkin' two hundred fifty I'm holdin' out for three Two seventy five and I just might agree Ex-D-boy, used to park my Beamer Now look at me, I can park in my own arena I only love her if her weave new I'm still a hood nigga, what you want me to do? Been hoppin' out the BM with your BM Taking her places that you can't go with your per diem Screamin' carpe diem until I'm a dead poet Robin Williams shit, I deserve a Golden Globe bitch! I take a Ace in the meanwhile You ain't gotta keep this Khaled, it's just a freestyle Fuck rap money, I've made more off grapes Fuck show money, I spent that on drapes Close the curtains, fuck boy, out my face I whip the coke, let the lawyer beat the case Murder was the case that they gave me I killed the Hermès store, somebody save me Stuntin' to the max like wavy, oh shit! Oh, stuntin' to the max, I'm so wavy Used to shop at TJ Maxx back in '83 I don't even know if it was open then I ain't know Oprah then Have the XL 80 bike Loud motor, they be like, ""Damn!"" when I'm comin' through, rrraaanngg Had the grill in '88, y'all niggas is late You got all that, right? I love this shit like my own daughter Let's spray these niggas, baby, just like daddy taught ya Young, this is just different",-0.9948,28,22,22,14,23,37,40,13,15,22
7,/songs/413096,Rick Ross,737,https://genius.com/Rick-ross-737-lyrics,http://api.genius.com/songs/413096,Rise To Power,2007-09-18," I'm fresh from my head to feet 737 get like me So fly but we keep it so street Check my swag and do it like me   Yeah I'm flyer than the best of them Fresher than the rest of them 737 bitch, that's the new testament Picture perfect specimen of pimpin' in the flesh I make, top down music or ? just to flex a bit Debonaire veteran, know your tired of peddlin' With petty rappers who say they're trappers with no medicine Plus I'm riding better than, half of them who swear by that Know that I'm a client, but i'm still the player president Lavish is the residence Plus I fuck with Meryll Lynch Hotter than a kettle bitch and I got precedence Over lames who claim they on some better shit Bitch niggas delicate, been the shit ever since 1983 80's baby and i'm hella rich, rhyme' while i text your bitch Tell her she's my favorite, let her suck me out She like vanilla berry flavor dick Jiggolo I'm heaven sent, niggas hate to use it    Verse 2 Man I'm on the scene with a polo and jeans that's so clean You should see the way your bitch neck lean when I'm gleamin' Niggas say they fly but they don't understand the meanin' Suave House, we been here we not leavin' Jiggolo I'm cool but look see these heathens That bust a nigga head on sight no more breathin' Just give them a reason to click and then clack Don't try em they been to jail and they dyin' to go back You ain't 737 cause you got a little beamer Pockets on beast buy you earn a little leaner Man up a squad pimp you better get your team up Flood you like Katrina, you gonna need FEMA A great imagination but an even better dreamer To think that you can see us, it's best you try to be us To go to war ? probably need Jesus Please believe us we will not ease up    Verse 3 See I used to be modest about it but they doubters So I put it in their face and let them see that I'm about it You wanna shine like me but your cues too clouded These VVS's got my charms so crowded If you could only see all this money that I've counted Came a long way from pushin' carts in Thomas County Now they crowd around me, tell me I'm that new nigga From Phoenix to Mississippi, I'm down to talent nigga No need for a hint of febreze My feces is so easy on the nose, it's like berry and roses For those of you that's slow, my shit got no odor Flip her like yoga, fuck her and then show her To the door cause, I'm on a dough hunt I'm runnin' circles bout this paper call me dough nuts And this is no luck, I'm in the fore front Cuz I'm the shit, fuckin' dirty roll the ? up   ",0.2295,14,7,15,12,7,25,26,10,2,16
8,/songs/80553,Rick Ross,911,https://genius.com/Rick-ross-911-lyrics,http://api.genius.com/songs/80553,"God Forgives, I Don't",2012-07-30," God forgives, I don't In other words, retaliation is a must! Boom boom boom boom!   I bow my head, I pray to God Survival of the fittest: help me hold my chopper lord If I die today, on the highway to heaven Can I let my top down in my 911? In my 911? In my 911? In my 911? In my 911? Financial fanatic, 40 bricks in my attic 400K in my baggage, 80 round automatic You can't stop a bullet, this one for the money Secret indictments, Porsche costs me 200   Fuck all these broke niggas cause all I do is ball Ain't no more off days, my crib look like a mall Fired the stylist, went and bought a big and tall Niggas still schemin', but we slidin' on 'em all I remember pickin' watermelons Now the Porsche cost me a quarter million If I die tonight I know I'm comin' back nigga Reincarnated: big black fat nigga   I bow my head, I pray to God Survival of the fittest: help me hold my chopper lord If I die today, on the highway to heaven Can I let my top down in my 911? In my 911? In my 911? In my 911? In my 911? Financial fanatic, 40 bricks in my attic 400K in my baggage, 80 round automatic You can't stop a bullet, this one for the money Secret indictments, Porsche costs me 200   Fuck your investigation, study my elevation Cherry red 911, straight to my destination Mayweather got a fight, make me some reservations Knew I flew private nigga, strapped with no hesitations Gucci Pucci money long, he got 20 cars Graduated from them blocks, now it's stocks and bonds Hoes wanna know, hoes wanna show They know a nigga's name, they know a nigga's strong, fuck with me   I bow my head, I pray to God Survival of the fittest: help me hold my chopper lord If I die today, on the highway to heaven Can I let my top down in my 911? In my 911? In my 911? In my 911? In my 911? Financial fanatic, 40 bricks in my attic 400K in my baggage, 80 round automatic You can't stop a bullet, this one for the money Secret indictments, Porsche costs me 200   Fuck your insinuation, work come from Venezuela Love me some skinny bitches, fat boy just 'bout his paper Hustle while niggas gossip, hatin', that switch the topic Jump in my 911, 2 bricks in my compartment She let me smell her pussy I know you smell the money Still smell the gunpowder 911: 100 miles and runnin'   I bow my head, I pray to God Survival of the fittest: help me hold my chopper lord If I die today, on the highway to heaven Can I let my top down in my 911? In my 911? In my 911? In my 911? In my 911? Financial fanatic, 40 bricks in my attic 400K in my baggage, 80 round automatic You can't stop a bullet, this one for the money Secret indictments, Porsche costs me 200",0.9226,13,23,11,26,19,31,31,11,11,35
9,/songs/6265,Rick Ross,9 Piece,https://genius.com/Rick-ross-9-piece-lyrics,http://api.genius.com/songs/6265,The Bling Ring (Original Motion Picture Soundtrack),2011-05-10," Huh YMCMB Huh As I look around, we the only niggas with that A1 Perico Huh   I’m smoking dope, I’m on my cell phone I’m selling dope, straight off the iPhone He wanna quote, he talking 9 zones He bought four, I front him 5 more 9 piece, straight 8 balls MJG bitch I got 8 balls 9 piece, straight 8 balls MJG bitch I got 8 balls   Suave House, still independent Distribution Mexican, he still sending No contract, take my word Send a hundred packs, bitch, them my birds Shoe box, no shoes in 'em In the 2-seater, me and 2 women No Def Jam, went solo Took the custy’s price so low   I’m smoking dope, I’m on my cell phone I’m selling dope, straight off the iPhone He wanna quote, he talking 9 zones He bought four, I front him 5 more 9 piece, straight 8 balls MJG bitch I got 8 balls 9 piece, straight 8 balls MJG bitch I got 8 balls   It’s Lil Tunechi, what up doe? I’m talking white girl; Marilyn Monroe And I can get 'em for the sweet 16 Hard dope, call it HD Flat screen Fuck outta here, your shit water whipped You got that tan dope, look like a Florida bitch Automatic leave 'em dead in the living room Get it? Leave 'em dead in the living room Fuck all these niggas and tell them bitches to kiss my ass I put that pistol to his head and tell the nigga to have a blast Fuck you mean I’m talking keys like Ray Charles Rack 'em up, pool table full of 8 balls   I’m smoking dope, I’m on my cell phone I’m selling dope, straight off the iPhone He wanna quote, he talking 9 zones He bought four, I front him 5 more 9 piece, straight 8 balls MJG bitch I got 8 balls 9 piece, straight 8 balls MJG bitch I got 8 balls   Soft white, I got that G-mix I'm going gold, crumbs to the bricks I'm on the road, lets buy some new whips Trick a hundred hoes, spend a few chips 9 piece, straight 8 balls Bitch I'm blowing up like napalm Got your bottom bitch going AWOL Nigga's looking at ya like you fell off No sir, not me I'm double platinum just like my Ferrari Bullet proof nigga Teflon Why you snorting that, that shit stepped on   I’m smoking dope, I’m on my cell phone I’m selling dope, straight off the iPhone He wanna quote, he talking 9 zones He bought four, I front him 5 more 9 piece, straight 8 balls MJG bitch I got 8 balls 9 piece, straight 8 balls MJG bitch I got 8 balls",-0.9965,17,8,15,14,4,28,14,18,10,7
10,/songs/2707,Rick Ross,9 Piece (Original),https://genius.com/Rick-ross-9-piece-original-lyrics,http://api.genius.com/songs/2707,Ashes to Ashes,2010-12-24," I'm smoking dope, I'm on my cell phone I'm selling dope, straight off the iPhone He want a quote, he talking 9 zones He bought four, I front him 5 more 9 piece, straight 8 balls MJG bitch I got 8 balls 9 piece, straight 8 balls MJG bitch I got 8 balls   Suave house, still independent Distribution Mexican, he still sending No contract, take my word Send a hundred packs bitch, them my birds Shoe box, no shoes in 'em In the two seater, me and two women No Def Jam, went solo Took the custies prices solo   I'm smoking dope, I'm on my cell phone I'm selling dope, straight off the iPhone He want a quote, he talking 9 zones He bought four, I front him 5 more 9 piece, straight 8 balls MJG bitch I got 8 balls 9 piece, straight 8 balls MJG bitch I got 8 balls  [Verse 2: T.I.] It's the king young gunner Hotter than a sauna in the summer Nigga think I'm playing round if you wanna Bring the thunder and the lightening Like a sighting if you try me On my Warren Buffet shit That monkey shit behind me You want a square, nigga, you know where to find me Don't call me on my cell You tryna send a pimp to jail If you buying 25 you can get it for the twelve Uncut, rocked up, got tan and pale yeah Hey let me send a little message to my enemies You nigga get to telling have 'em buried 'fore they sentence me Come to ATL, hit any trap bet they remember me Billionaire swag with a dope boys energy   I'm smoking dope, I'm on my cell phone I'm selling dope, straight off the iPhone He want a quote, he talking 9 zones He bought four, I front him 5 more 9 piece, straight 8 balls MJG bitch I got 8 balls 9 piece, straight 8 balls MJG bitch I got 8 balls   Soft white, I got that G-mix I'm going Gold, crumbs to the bricks I'm on the road, lets buy some new whips Trick a hundred hoes, spend a few chips 9 piece, straight 8 balls Bitch I'm blowing up like Napalm Got your bottom bitch going AWOL Nigga's looking at ya like you fell off No sir, not me I'm double platinum just like my Ferrari Bullet proof, nigga, Teflon Why you snorting that, that shit stepped on   I'm smoking dope, I'm on my cell phone I'm selling dope, straight off the iPhone He want a quote, he talking 9 zones He bought four, I front him 5 more 9 piece, straight 8 balls MJG bitch I got 8 balls 9 piece, straight 8 balls MJG bitch I got 8 balls",-0.9878,19,7,17,15,2,30,13,16,6,5
