,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2442409,Rod Stewart,A Friend For Life,https://genius.com/Rod-stewart-a-friend-for-life-lyrics,http://api.genius.com/songs/2442409,Another Country,2015-06-23," Through a smoke-filled glass, on a desperate night When the sole of my shoe lets in rain When the heart's tired of running and the milk's gone sour Will your feelings still be the same When the match won't light, so the flames don't tremble And the years are condemning us too I'll need a soulmate, to hold me, and a friend for life And I'm hoping it might be you When I think of life, as a chance not taken Or as a compromise tinged with regret When the kids leave for breeding and the TV's king Will you tell me we're not done yet Will you think of me, as a distant island Or will you come with me to the moon I'll need a soulmate, to hold me, and a friend for life And I'm hoping it might be you Give me asylum, and I'll keep the faith Keep me in coffee and so safe And I'll feed your cats, and I'll paint walls And I'll be your one night stand Will you come with me, in the certain knowledge That the catch is, there's no catch at all I'll need a soulmate, to hold me, and a friend for life And I'm hoping it might be you Yes, I'm certain it must be you",0.9878,1,2,2,5,6,10,9,3,5,7
1,/songs/1463202,Rod Stewart,Ain't Love a Bitch,https://genius.com/Rod-stewart-aint-love-a-bitch-lyrics,http://api.genius.com/songs/1463202,Blondes Have More Fun,1978-11-17," Been in pain and I've been in shame But ain't love a bitch I been in fights, locked away for nights But ain't love a bitch I been tailed, impaled, strung up And nailed and left without a stitch I been scratched and taxed and finally axed But ain't love a bitch   Oh, I didn't understand 'til I was 17 She took me way upstairs and she wiped me clean Oh, I didn't realise she made a first class fool out of me Oh Maggie, if you're still out there the rest is history   You're all alone in the freezing cold By the underground Your hands are numb and you're feeling dumb 'Cause you been let down You thought you were rough and kinda tough And maybe out of reach You're acting chic, playing hide and seek But ain't love a bitch   Oh, I must state right here I been there before My eyes were closed and so my friends I still don't know the score Oh, don't underestimate the strength of it It may be unwise to analyse even the cause of it   You're driving home late one night and on the radio Comes an old familiar song you used to know so well (You know a lot about that) Oh, I can't comprehend this thing called love Maybe it's a matter of fact I just can't grow up Deep down ain't we all a little juvenile All I really wanna know is there one sweet angel That can make me smile Ain't love a bitch   Torrential rains, wars and hurricanes I wouldn't budge an inch Your rent's unpaid and your team lose again But ain't love a bitch You can lose your job, your home and your health But ain't love a bitch Take it or leave it some day you'll feel it 'Cause love is the bitch   Ain't love the bitch, ain't love a bitch Ain't love a bitch, ain't love a bitch Ain't love a bitch",-0.9825,18,8,19,22,23,32,31,22,10,14
2,/songs/1538966,Rod Stewart,All In the Name of Rock 'N' Roll,https://genius.com/Rod-stewart-all-in-the-name-of-rock-n-roll-lyrics,http://api.genius.com/songs/1538966,Atlantic Crossing (Deluxe Edition),1975-08-15," Went downtown on the 249 Playin' for recognition of the New York town See, me and the boys got a rock 'n' roll band They were so damn good, gonna lift up the man Yeah Well, we got ups, we got downs We got just so high 'til the sun goes down Got the ego, can be abused I got my two-toned shoes And I can sing the blues   Look out, kids, it's the FBI We got a problem, you keep me high Put on your clothes, take the smile off your face And put your money where your mouth is or get out this place   New York town is a mean ass town We got a thousand bands singin' underground Way down in New Orleans it's the same old thing Emotional music a merry old thing Well, Old King Soul, he finally gave us a jolt He played the vibes 'til 9 and read from 10 to 4 He played upside down, he played inside out Then a uniform band he was thrown into jail   Look out, kids, it's the FBI We got a problem, you keep me high Put on your clothes, take the smile off your face And put your money where your mouth is or get out this place   Gettin' hungry, I know, little woman Can't get a smell 'cause my nose is blocked I'm so high, I can't believe it Hotel dogs are knockin' on my door Two night of singin' nearly out on the end Left the two parts red, oh what a square As soon as the man, there's no sweeter song Listen, Mc Cartney, we're the band on the run   Look out, kids, it's the FBI We got a problem, you keep me high Put on your clothes, take the smile off your face And put your money where your mouth is or get out this place Oh yeah",0.7084,5,8,5,4,12,8,14,7,13,10
3,/songs/1415559,Rod Stewart,All Right Now,https://genius.com/Rod-stewart-all-right-now-lyrics,http://api.genius.com/songs/1415559,Camouflage (Bonus Track Version),1984-06-18," There she stood in the street Smiling from her head to her feet I said hey what is this Now maybe, baby Maybe you're in need for a kiss I said, ""Hey, what's your name?"" Maybe we can see things the same Now don't you wait or hesitate Let's move before they raise the parking rate   I took her home to my place Watching every move on her face She said, ""Look, what's your game? Are you trying to put me in shame?"" I said, ""Sow, don't talk so fast Don't you think that love can last?"" She said, ""Love, Lord above Now you're trying to trick me in love""   All right now Baby, it's all right now All right now Baby, it's all right now   Who's that girl? Watch that girl Look at that girl She lives down my street Who's that girl, w-w-w-watch that girl Well look at that girl She lives down my street     I took her home to my place Watching every move on her face She said, ""Look, what's your game? Are you trying to put me in shame?"" I said, ""Sow, don't talk so fast Don't you think that love can last?"" She said, ""Love, Lord above Now you're trying to trick me in love""   All right now Baby, it's all right now Baby, baby, baby it's all right Baby, baby, baby it's all right   Took me home to her place And I watched the smile on her face When she moves me I just watch that girl, watch that girl And she said, ""Love, you tryin' to trick me in love"" What's this now, baby, that's no good Tryin' to trick me in love Don't do that, no don't do that Don't do that, oh, baby All right now Don't do, don't do that You can't do that, can't do that All right now, baby",0.9874,0,7,4,6,26,9,40,2,7,14
4,/songs/961424,Rod Stewart,Almost Illegal,https://genius.com/Rod-stewart-almost-illegal-lyrics,http://api.genius.com/songs/961424,Out of Order,1988-07-03,"Yeah, I said yeah I remember the first time That I ever seen her face I was standing by the drug store Trying to save the human race  Took a raincheck on a blind date To get her prescription filled We had a short talk and a long walk Through the lazy cottonfield  It was hot She was cool and sultry We made love I was broke and lonely  She's wonderful, so beautiful So delectable, she's mine She's desirable, so lovable And it's criminal, almost illegal  Well we woke up in a barnyard When I heard a farmer shout Get away, boy, from my daughter When a shotgun rang out We took off She was right behind me Ran like the wind What a crazy lady  She's fabulous, so sensuous She's marvelous, she's mine I'm delirious, it's serious Kinda dangerous, almost illegal  Bring it down now We had a one child by the Springtime And another on the way I got a new life and a good wife Ain't that amazing grace  It was hot She was cool and sultry We made love I was broke and lonely  She's wonderful, she's beautiful She's desirable, she's mine I'm delirious, she's serious It's kinda dangerous, almost illegal Wonderful, so beautiful She's not a radical, but she's mine She's fabulous, so sensuous And it's marvelous, almost illegal Beautiful and she's wonderful So desirable, almost illegal",0.9876,12,5,9,13,19,18,31,12,6,7
5,/songs/1263519,Rod Stewart,Alright for an Hour,https://genius.com/Rod-stewart-alright-for-an-hour-lyrics,http://api.genius.com/songs/1263519,Atlantic Crossing (Deluxe Edition),1975-08-15," Aw yeah   Oh, didn't I mess around like ev'rybody did? I said, ""Woman, you're foolin' around with a man that just don't fit"" I said, ""I'd better get along before I get right under your skin"" Remember the song, wasn't it fun? 'Cause it was just one of those things   But it was alright for an hour, it was alright for a day But it did not last, it did not last 'til the weekend And I packed my bags and moved right away   I said goodbye to money, I don't owe no alimony I paid my dues and payroll cues, gonna leave it all up to you I'll take my dog and my car, the best friends I've found so far And I'll keep goin' with the mornin' sun, singin' the same old song   But it was alright for an hour, it was alright for a day But it did not last, it did not last 'til the weekend And I packed my bags and moved right away   Well I guess you needed somebody to open each and ev'ry door With a large amount in the Swiss account to give you thrills and nothing more But my Volkswagen is hardly a custom built Ferrari You want first-class but I pump gas, so I'll get on out of your way   But it was alright for an hour, it was alright for a day But it did not last, it did not last 'til the weekend And I packed my bags and moved right away It was alright for an hour, it was alright for a day But it did not last, it did not last 'til the weekend And I packed my bags and moved right away It was alright for an hour, it was alright for a day But it did not last, it did not last 'til the weekend And I packed my bags and moved right away",0.9911,1,5,1,1,6,3,8,1,5,7
6,/songs/1357530,Rod Stewart,Angel,https://genius.com/Rod-stewart-angel-lyrics,http://api.genius.com/songs/1357530,Never a Dull Moment,1972-07-21," Angel came down from Heaven yesterday Stayed with me long enough to rescue me And she told me a story yesterday About the sweet love between the moon and the deep blue sea Then she spread her wings high over me She said she's goin' now, come back tomorrow   And I said, ""Fly on my sweet angel, fly on through the sky Fly on my sweet angel, tomorrow I'm gonna be by your side"" Fly away, high away, fly away   Sure enough this morning came unto me Silver wings silhouetted against a child's sunrise And my angel she said unto me Today's the day for you to rise Take my hand, you're gonna be my man, you're gonna rise Then she took me high over yonder   And I said, ""Fly on my sweet angel, fly on through the sky Fly on my sweet angel forever I will be by your side"" And I said, ""Fly on my sweet angel, fly on through the sky Fly on my sweet angel forever I will be by your side"" Fly away, come back another day",0.9885,0,20,0,0,18,0,22,1,16,16
7,/songs/2442400,Rod Stewart,Another Country,https://genius.com/Rod-stewart-another-country-lyrics,http://api.genius.com/songs/2442400,Another Country,2015-06-23," Every day i'm awake, i've been thinking about you And i can't get you off of my mind You're the girl of my dreams, the mother of my children I'm as proud as any man can be tonight As the wind blows heavy down the mountain side And the darkness of night closes in As i lie in my bed, I can hear your heart pounding Far away in another country, far away in another country And i dream of the day, we'll be packing up and leaving This God forsaken corner of the world All the boys getting taller, is your tummy getting broader Do we know if its a boy or it's a girl And I reach out to touch you, in the middle of the night And I swear you're lying next to me But you're not, I awake with my poor heart aching Far away in another country, far away in another country One of these bright sunny days I'll be coming down that road again My journey, had an end God bless you until then How I miss, how I miss, the colour of the springtime And the moonlight shining through your hair Say hello to my friends, and all of our kindreds Tell them I, will soon will be there There's a tear in my eye, as i try to sleep All the boys still calling out my name Tell them daddy's in a fight, between good and evil Far away in another country, far away in another country Far away in another country",0.4404,6,13,6,6,12,11,13,6,2,9
8,/songs/1699184,Rod Stewart,Attractive Female Wanted,https://genius.com/Rod-stewart-attractive-female-wanted-lyrics,http://api.genius.com/songs/1699184,Blondes Have More Fun,1978-11-17," I'm tired of buying Penthouse and Oui and Hustler It's Friday night I'm all alone, still a bachelor She said she'd call me when she'd finished work Haven't heard a word all day   I may not be Warren Beatty or Mohammed Ali (Attractive female wanted) I ain't asking a great deal, just a female to move in with me (Attractive female wanted) I'll share all my records, toothbrush and car And color TV, honestly A single girl for my single bed is my remedy (Attractive female wanted)   She doesn't have to be a movie star Cover of a magazine She can work in a garage all day In the evening some canteen   I'm tired of blind dates making silly mistakes It's embarrassing (Attractive female wanted) I've had no complaints But obviously you've guessed No compliments (Attractive female wanted) Won't someone please answer my prayers Before I'm old and grey (Attractive female wanted) I've been lonely too long All of my family think I'm gay   She doesn't have to be a movie star Cover of magazine She can work in a garage all day In the evening some canteen   Attractive female wanted Active female wanted I may get drunk stink like a skunk But she'll look after me (Attractive female wanted) Put me to bed ease my aching head And made fuss of me You know what I gonna do Think I'll write a letter To Mr. Hugh Heffner confidentially Dear Sir A single girl for my single bed is my remedy",-0.7219,3,9,2,1,8,12,22,4,2,13
9,/songs/1442325,Rod Stewart,Baby Jane,https://genius.com/Rod-stewart-baby-jane-lyrics,http://api.genius.com/songs/1442325,Body Wishes (Bonus Track Version),1983-05-27," Baby Jane, don't leave me hanging on the line I knew you when you had no one to talk to Now you're moving in high society Don't forget I know secrets about you I used to think you were on my side But now I'm no longer sure I wish I knew what I know now before   When I give my heart again I know it's gonna last forever No one tell me where or when I know it's gonna last forever   Baby Jane, don't it make you feel sad Just when I thought that we were winning You and I were so close in every way Don't time fly when you're loving and laughing I've said goodbye so many times The situation ain't all that new Optimism's my best defense I'll get through without you   When I give my heart again I know it's gonna last forever No one tell me where or when I know it's gonna last forever I won't be that dumb again I know it's gotta last forever When I fall in love again I know it's gonna last forever   Baby Jane, I've said all I want to say Go your own way don't think twice about me 'Cause I've got ideas and plans of my own So long darlin' I'll miss you believe me The lesson learned was so hard to swallow But I know that I'll survive I'm gonna take a good look at myself and cry   When I give my heart again I know it's gonna last forever No one tell me where or when I know it's gonna last forever When I fall in love next time I know it's gonna last forever I won't be that dumb again I know it'll last forever",0.9872,2,11,2,2,10,8,19,6,4,11
